link_id,matrix_row_id,intervention_id,target_community_or_variety,language_or_profile_tag,target_territory_scope,observation_id,link_status,observation_language_label,observation_edition_profile,observation_iso_or_id,observation_territory,observation_script_or_profile,measure_type,count_unit,population_low,population_base,population_high,reference_date_or_year,population_source_id,population_source_url,source_locator,target_mapping_status,observation_use,overlap_group_id,alternative_measure_role,nonadditivity_or_exclusion_note,usable_as_package_population_total
EDGE-TUR-009-P01,EDGE-TUR-009,IL-TURKIC,Uzbek-standard cell,uz-Latn-UZ,Uzbekistan,ALG-UZ-L001,direct_rounded_preliminary_context,Uzbek,preliminary national mother-tongue category; published rounded,uzb,Uzbekistan,,preliminary_census_mother_tongue_persons_rounded,persons,35650000,35700000,35749999,2026,ALG-S018,https://stat.uz/ru/press-tsentr/novosti-goskomstata/68978-a-oli-va-ishlo-kh-zhaligini-r-jkhatga-olish-tadbirining-dastlabki-natizhalariga-ba-ishlangan-konferentsiya-tkazildi-3,Preliminary-results paragraph published 2026-06-30,source_named_label_pending_edition_profile_evidence,context_or_sensitivity_only,UZ-MT-2026,direct_language_population_pending_exact_target_mapping,Preliminary rounded Uzbek mother-tongue range; exact target mapping remains pending.,false
EDGE-TUR-010-P01,EDGE-TUR-010,IL-TURKIC,Uyghur-standard cell,ug-Arab-CN,Xinjiang and diaspora,ALG-KZ-L004,diaspora_lower_bound_subcell,Uyghur,nationality-scoped native-language lower bound,uig,Kazakhstan,,census_native_language_of_own_nationality_persons,persons,247322,247322,247322,2021,ALG-S007,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 6, printed p. 243",source_named_language_lower_bound,gross_lower_bound_pending_intervention_edges,KZ-UYGHUR-NATIVE-2021,direct_language_population_lower_bound,Uyghur native-language lower-bound subcell in Kazakhstan; not Xinjiang and not a global total.,false
EDGE-TUR-010-P02,EDGE-TUR-010,IL-TURKIC,Uyghur-standard cell,ug-Arab-CN,Xinjiang and diaspora,ALG-KG-L006,diaspora_lower_bound_subcell,Uyghur,ethnicity-scoped native-language lower bound,uig,Kyrgyzstan,,census_native_language_of_own_ethnic_group_persons,persons,17220,17220,17220,2022,ALG-S008,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf,"Table 3.8, printed p. 118",source_named_language_lower_bound,gross_lower_bound_pending_intervention_edges,KG-UYGHUR-NATIVE-2022,direct_language_population_lower_bound,Uyghur native-language lower-bound subcell in Kyrgyzstan; not Xinjiang and not additive across years without explicit union rules.,false
EDGE-GER-001-P00,EDGE-GER-001,IL-GERM,Dutch-standard cell,nl-Latn,Netherlands and Belgium profiles separate,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-002-P01,EDGE-GER-002,IL-GERM,Afrikaans-standard cell,af-Latn,South Africa and Namibia cells separate,ZA-AFR-2022,direct_exact_territory_language_observation,Afrikaans,Census category: Afrikaans; edition variety/standard unresolved,afr,South Africa,Latin,census_language_most_often_spoken_in_household_persons_age_1_plus,persons,6365488,6365488,6365488,2022,ZA-S001,https://www.statssa.gov.za/publications/Census2022inBrief/Census2022inBriefJune2024.pdf,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",gross_named_spoken_language_observation,gross_upper_bound_pending_intervention_edges,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,mutually_exclusive_census_response_category,South African household-language observation; not total Afrikaans speakers or academic comfort.,false
EDGE-GER-003-P00,EDGE-GER-003,IL-GERM,Low German exact-standard cell,nds-Latn-DE,Germany and diaspora cells separate,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-004-P00,EDGE-GER-004,IL-GERM,Plautdietsch cell,pdt-Latn,exact diaspora territories separate,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-005-P00,EDGE-GER-005,IL-GERM,Pennsylvania Dutch cell,pdc-Latn,United States exact communities,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-006-P00,EDGE-GER-006,IL-GERM,Hutterisch cell,geh-Latn,North American communities,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-007-P00,EDGE-GER-007,IL-GERM,West Frisian cell,fy-Latn-NL,Netherlands,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-008-P00,EDGE-GER-008,IL-GERM,Yiddish exact-register cell,yi-Hebr,diaspora territories separate,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-009-P00,EDGE-GER-009,IL-GERM,Scots cell,sco-Latn-GB,Scotland,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-GER-010-P00,EDGE-GER-010,IL-GERM,Faroese cell,fo-Latn-FO,Faroe Islands,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-IDMS-001-P01,EDGE-IDMS-001,IL-IDMS,Indonesian standard cell,id-Latn-ID,Indonesia,POP-ID-002,direct_exact_territory_home_language_observation,Indonesian,BPS source label Indonesia,ind,Indonesia,Latin,daily_language_at_home_age5plus_persons,persons,42682566,42682566,42682566,2010,PM-S005,https://www.bps.go.id/en/publication/2012/05/23/55eca38b7fe0830834605b35/nationality--ethnicity--religion--and-dailylanguage-of-indonesian-population.html,"Table L4.1, printed p. 47",source_named_language_observation,gross_upper_bound_pending_intervention_edges,,standalone_observation,Indonesian daily-home-language count aged 5+; not total reachable Indonesian readership.,false
EDGE-IDMS-002-P00,EDGE-IDMS-002,IL-IDMS,Malaysian Malay Rumi cell,ms-Latn-MY,Malaysia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-IDMS-003-P00,EDGE-IDMS-003,IL-IDMS,Malaysian Malay Jawi-reading stratum,ms-Arab-MY,Malaysia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-IDMS-004-P00,EDGE-IDMS-004,IL-IDMS,Brunei Malay educational-standard cell,ms-Latn-BN,Brunei,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-SCAND-001-P00,EDGE-SCAND-001,IL-SCAND,Danish-standard cell,da-Latn-DK,Denmark,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-SCAND-002-P00,EDGE-SCAND-002,IL-SCAND,Norwegian Bokmal cell,nb-Latn-NO,Norway,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-SCAND-003-P00,EDGE-SCAND-003,IL-SCAND,Norwegian Nynorsk cell,nn-Latn-NO,Norway,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-SCAND-004-P00,EDGE-SCAND-004,IL-SCAND,Swedish-standard cell,sv-Latn-SE,Sweden,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-001-P00,EDGE-AR-001,IL-AR,Readers comfortable with Modern Standard Arabic,ar,territories separately modeled,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-002-P00,EDGE-AR-002,IL-AR,Egyptian Arabic scaffold users,arz-Arab-EG,Egypt,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-003-P00,EDGE-AR-003,IL-AR,Levantine Arabic scaffold users,apc-Arab,Levant exact country cells,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-004-P00,EDGE-AR-004,IL-AR,Mesopotamian Arabic scaffold users,acm-Arab-IQ,Iraq,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-005-P00,EDGE-AR-005,IL-AR,Gulf Arabic scaffold users,afb-Arab,exact Gulf country cells,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-006-P00,EDGE-AR-006,IL-AR,Moroccan Arabic scaffold users,ary-Arab-MA,Morocco,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-007-P00,EDGE-AR-007,IL-AR,Tunisian Arabic scaffold users,aeb-Arab-TN,Tunisia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-AR-008-P00,EDGE-AR-008,IL-AR,Sudanese Arabic scaffold users,apd-Arab-SD,Sudan,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-PDT-001-P00,EDGE-PDT-001,IL-PDT,Iranian Persian cell,fa-Arab-IR,Iran,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-PDT-002-P00,EDGE-PDT-002,IL-PDT,Dari-standard cell,prs-Arab-AF,Afghanistan and displaced cells,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-PDT-003-P00,EDGE-PDT-003,IL-PDT,Tajik-standard cell,tg-Cyrl-TJ,Tajikistan,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-BCMS-001-P00,EDGE-BCMS-001,IL-BCMS,Bosnian-standard cell,bs-Latn,Bosnia and Herzegovina,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-BCMS-002-P00,EDGE-BCMS-002,IL-BCMS,Croatian-standard cell,hr-Latn,Croatia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-BCMS-003-P00,EDGE-BCMS-003,IL-BCMS,Montenegrin-standard cell,cnr-Latn,Montenegro,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-BCMS-004-P00,EDGE-BCMS-004,IL-BCMS,Serbian Latin-reading stratum,sr-Latn,Serbia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-BCMS-005-P00,EDGE-BCMS-005,IL-BCMS,Serbian Cyrillic-reading stratum,sr-Cyrl,Serbia,,none_present_in_current_population_master,,,,,,,,,,,,,,,,,,,No compatible exact population observation is linked; no package or family ceiling may be substituted.,false
EDGE-HU-001-P01,EDGE-HU-001,IL-HU,Standard Hindi-oriented cell,hi-Deva-IN,India,POP-IN-COMP-006,preferred_same_name_component_existing_edition_baseline,Hindi,C-16 same-name mother-tongue component: Hindi; edition orthography separately evidenced,hin,India,Devanagari,census_same_name_mother_tongue_component_persons,persons,322230097,322230097,322230097,2011,PM-S001,https://censusindia.gov.in/nada/index.php/catalog/42458/download/46089/C-16_25062018.pdf,"Statement 1, printed pp. 5-6; Statement 1 same-name mother-tongue component",same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-006-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,Preferred same-name Hindi component; existing complete Hindi edition makes this baseline rather than new reach.,false
EDGE-HU-001-P02,EDGE-HU-001,IL-HU,Standard Hindi-oriented cell,hi-Deva-IN,India,POP-IN-006,parent_aggregate_context_nonadditive,Hindi,C-16 Hindi census language umbrella,hin:ORGI-006,India,Devanagari,census_mother_tongue_persons,persons,528347193,528347193,528347193,2011,PM-S001,https://censusindia.gov.in/nada/index.php/catalog/42458/download/46089/C-16_25062018.pdf,"Statement 1, printed pp. 5-6",c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-006-CATEGORY-COMPONENT,scheduled_language_category_parent_context,Hindi census-language parent aggregate; never sum with POP-IN-COMP-006 and never treat as Standard Hindi reach.,false
EDGE-HU-002-P01,EDGE-HU-002,IL-HU,Pakistani Urdu cell,ur-Arab-PK,Pakistan,POP-PK-001,direct_exact_territory_language_observation,Urdu,Pakistan 2023 mother-tongue category,urd,Pakistan,Perso-Arabic,census_mother_tongue_persons,persons,22249307,22249307,22249307,2023,PM-S003,https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf,"Table 11, national all-localities all-sexes row",source_named_language_observation,gross_upper_bound_pending_intervention_edges,,standalone_observation,Pakistan Urdu mother-tongue count; not total Urdu knowledge.,false
