matrix_row_id,intervention_id,mechanism_class,package_mechanism_class,source_row_type,edge_role,coverage_mode,target_community_or_variety,language_or_profile_tag,script,territory_scope,population_link_status,population_observation_ids,population_source_ids,population_count_summary,existing_edition_overlap,communities_excluded,double_count_rule,comprehension_evidence_status,direct_comprehension_source_ids,observed_task_score,observed_task_type,tested_task,localized_output_c_low,localized_output_c_base,localized_output_c_high,localized_output_c_status,cross_language_incremental_c_low,cross_language_incremental_c_base,cross_language_incremental_c_high,cross_language_incremental_c_status,incremental_access_gain_low,incremental_access_gain_base,incremental_access_gain_high,incremental_access_gain_status,rankable_under_current_evidence,source_ids,source_urls,source_locator,confidence,notes
EDGE-ISV-010,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Montenegrin-standard cohort,cnr-Latn,Latn,Montenegro,none_present_in_current_population_master,,,,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-011,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Serbian Latin-script reading cell,sr-Latn,Latn,Serbia,none_present_in_current_population_master,,,,unknown,No additive credit with Serbian Cyrillic,Partition one Serbian population by observed script use; then deduct named Serbian access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,Script projections are not independent languages.
EDGE-ISV-012,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Serbian Cyrillic-script reading cell,sr-Cyrl,Cyrl,Serbia,none_present_in_current_population_master,,,,unknown,No additive credit with Serbian Latin,Partition one Serbian population by observed script use; then deduct named Serbian access,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,Do not double the population for dual literacy.
EDGE-ISV-013,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Bulgarian-literate cohort,bg-Cyrl,Cyrl,Bulgaria,none_present_in_current_population_master,,,,unknown,No Macedonian or other South-Slavic transfer credit,Zero until exact testing and overlap subtraction,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ISV-014,IL-ISV,constructed_bridge,constructed_bridge,interlanguage_overlap_edge,coverage_candidate,cross_language_bridge,Macedonian-literate cohort,mk-Cyrl,Cyrl,North Macedonia,none_present_in_current_population_master,,,,unknown,No Bulgarian or other South-Slavic transfer credit,Zero until exact testing and overlap subtraction,inference_only,ACE-E014;ACE-E015,,,none at exact leaf level in current register,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E014;ACE-E015,https://interslavic-language.org/doc/ijeg-2019-interslavic.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Pooled study only,low,No pooled result is inherited.
EDGE-ROM-000,IL-ROM,constructed_bridge,pluricentric_shared_core,interlanguage_overlap_edge,hypothetical_surface,constructed_bridge_hypothesis,Proposed constructed pan-Romance surface,art-romance-hypothesis,Latn,no defensible pooled territory,none_present_in_current_population_master,,,,Spanish and Brazilian Portuguese complete locally,All named Romance languages absent exact testing,Constructed surface has zero coverage; design artifacts cannot claim demographic ceilings,hypothesis_only,ACE-E015,,,none,,,,not_applicable,0,,,unknown_exact_surface_task_cohort_conservative_zero,,,,not_applicable,false,ACE-E015;ACE-A010,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-pair study plus local provisional state,low,The local provisional surface has zero canon-admitted units.
EDGE-ROM-001,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Spanish-standard cell,es,Latn,Spanish-language territories separately modeled,context_only_links_present_not_rankable_population,POP-PE-010,PM-S007,POP-PE-010:23178478/23178478/23178478 persons [context_negative_control_subcell],complete local edition,Catalan Galician and other languages are not Spanish cells,Spanish output claims only exact Spanish residual cells and is subtracted before any bridge scenario,architecture_not_comprehension_claim,,,,none required for own localized output,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A010,https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1544/00TOMO_01.pdf,Current local workflow state,medium,Shared semantic source saves compute.
EDGE-ROM-002,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Brazilian Portuguese cell,pt-BR,Latn,Brazil,none_present_in_current_population_master,,,,complete local edition,European and African Portuguese profiles not automatically included,pt-BR output is subtracted from residual bridge scenarios; no additive bridge credit,architecture_not_comprehension_claim,,,,none required for own localized output,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A010,,Current local workflow state,medium,Named locale retained.
EDGE-ROM-003,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,French-standard cell,fr,Latn,French-language territories separately modeled,context_only_links_present_not_rankable_population,POP-CA-002;POP-MU-006,PM-S009;PM-S013,POP-CA-002:7189245/7189245/7189245 persons [context_negative_control_subcell] || POP-MU-006:30039/30039/30039 persons [context_negative_control_subcell],not established in current successor census,Other Romance languages,Claims only exact French cell; bilingual overlap deducted separately,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://statsmauritius.govmu.org/Documents/Census_and_Surveys/Census2022/HPC_TR_Vol2_Demography_Yr22.pdf;https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf;https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=14&LANG=E&STATISTIClist=1%2C4&SearchText=Canada,Natural-language pair study is not a coverage bound,low,No pan-Romance comprehension probability.
EDGE-ROM-004,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Italian-standard cell,it-Latn-IT,Latn,Italy,none_present_in_current_population_master,,,,not established,Sardinian Sicilian Neapolitan Friulian and Ladin,Claims only Italian cell,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-language pair study,low,Related minority languages remain separate.
EDGE-ROM-005,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Romanian-standard cell,ro-Latn-RO,Latn,Romania and Moldova profiles separate,none_present_in_current_population_master,,,,not established,Aromanian and other Eastern Romance varieties,Claims only exact Romanian cell,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-language pair study,low,No bridge reach.
EDGE-ROM-006,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Catalan-standard cell,ca-Latn,Latn,Catalan territories separately modeled,none_present_in_current_population_master,,,,not established,Occitan and other Romance languages,Claims only Catalan cell; Spanish overlap deducted by cohort,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-language pair study,low,Named output required.
EDGE-ROM-007,IL-ROM,pluricentric_shared_core,pluricentric_shared_core,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Galician-standard cell,gl-Latn-ES,Latn,Galicia,none_present_in_current_population_master,,,,not established,Portuguese and Spanish are separate baseline editions,Claims only residual Galician cell after measured Spanish/Portuguese comfort,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-language pair study,low,No automatic Portuguese or Spanish coverage.
EDGE-TUR-001,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Turkish-standard cell,tr-Latn-TR,Latn,Turkey,none_present_in_current_population_master,,,,complete local Turkish edition,All other Turkic languages,Turkish population is already covered locally and is never added to branch reuse reach,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A008,,Current Turkish state,medium,Engineering baseline only.
EDGE-TUR-002,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Azerbaijani-standard cell,az-Latn-AZ,Latn,Azerbaijan,none_present_in_current_population_master,,,,Turkish overlap unmeasured,Other Oghuz languages,Cross-language Turkish credit is zero; named Azerbaijani output claims only Azerbaijani cell,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A008,,No direct directional task registered,low,Oghuz reuse saves compute.
EDGE-TUR-003,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Turkmen-standard cell,tk-Latn-TM,Latn,Turkmenistan,direct_or_lower_bound_links_present_not_automatically_additive,ALG-TM-L001,ALG-S009,ALG-TM-L001:6297965/6297965/6297965 persons [direct_exact_territory_language_observation],Turkish overlap unmeasured,Other Oghuz languages,Cross-language reach zero; named output only,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A008,https://stat.gov.tm/population-census-pdfs/results/en/4.pdf,No direct directional task registered,low,Oghuz branch.
EDGE-TUR-004,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Gagauz-standard cell,gag-Latn,Latn,Moldova exact communities,none_present_in_current_population_master,,,,Turkish overlap unmeasured,Other Oghuz languages,Cross-language reach zero; named output only,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,,Candidate seed only,low,Small residual Oghuz profile.
EDGE-TUR-005,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Kazakh-standard cell,kk-Cyrl-KZ,Cyrl,Kazakhstan,direct_or_lower_bound_links_present_not_automatically_additive,ALG-KZ-L001;ALG-KZ-P001,ALG-S007,ALG-KZ-L001:13380107/13380107/13380107 persons [direct_exact_territory_lower_bound] || ALG-KZ-P001:12670407/12670407/12670407 persons [context_alternative_fluency],Russian and Turkic overlap unmeasured,Oghuz and other Kipchak languages,No cross-language credit; script projection is not additive,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,Candidate seed only,low,Kipchak profile.
EDGE-TUR-006,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Kyrgyz-standard cell,ky-Cyrl-KG,Cyrl,Kyrgyzstan,direct_or_lower_bound_links_present_not_automatically_additive,ALG-KG-L001,ALG-S008,ALG-KG-L001:5527168/5527168/5527168 persons [direct_exact_territory_language_observation],Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf,Candidate seed only,low,Kipchak profile.
EDGE-TUR-007,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Tatar-standard cell,tt-Cyrl-RU,Cyrl,Russian Federation,none_present_in_current_population_master,,,,Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,,Candidate seed only,low,Kipchak profile.
EDGE-TUR-008,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Bashkir-standard cell,ba-Cyrl-RU,Cyrl,Russian Federation,none_present_in_current_population_master,,,,Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,,Candidate seed only,low,Kipchak profile.
EDGE-TUR-009,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Uzbek-standard cell,uz-Latn-UZ,Latn,Uzbekistan,direct_or_lower_bound_links_present_not_automatically_additive,ALG-UZ-L001,ALG-S018,ALG-UZ-L001:35650000/35700000/35749999 persons [direct_rounded_preliminary_context],Russian and Turkic overlap unmeasured,Uyghur and all other Karluk profiles,No cross-language credit; legacy Cyrillic is a script-access cell,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,https://stat.uz/ru/press-tsentr/novosti-goskomstata/68978-a-oli-va-ishlo-kh-zhaligini-r-jkhatga-olish-tadbirining-dastlabki-natizhalariga-ba-ishlangan-konferentsiya-tkazildi-3,Candidate seed only,low,Karluk profile.
EDGE-TUR-010,IL-TURKIC,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Uyghur-standard cell,ug-Arab-CN,Arab,Xinjiang and diaspora,context_only_links_present_not_rankable_population,ALG-KZ-L004;ALG-KG-L006,ALG-S007;ALG-S008,ALG-KZ-L004:247322/247322/247322 persons [diaspora_lower_bound_subcell] || ALG-KG-L006:17220/17220/17220 persons [diaspora_lower_bound_subcell],Uzbek and Turkic overlap unmeasured,Other Karluk profiles,No cross-language credit,architecture_not_comprehension_claim,,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-A021,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf;https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,Candidate seed only,low,Karluk profile with distinct script.
EDGE-GER-001,IL-GERM,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Dutch-standard cell,nl-Latn,Latn,Netherlands and Belgium profiles separate,none_present_in_current_population_master,,,,English overlap expected high but unmeasured,All residual Germanic communities,Claims only residual Dutch cell; cross-language credit zero,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf,Natural-language comparison study,low,Negative-control tendency after English overlap.
EDGE-GER-002,IL-GERM,natural_intercomprehension_reuse,natural_intercomprehension_reuse,interlanguage_overlap_edge,coverage_candidate,localized_native_output,Afrikaans-standard cell,af-Latn,Latn,South Africa and Namibia cells separate,direct_or_lower_bound_links_present_not_automatically_additive,ZA-AFR-2022,ZA-S001,ZA-AFR-2022:6365488/6365488/6365488 persons [direct_exact_territory_language_observation],Dutch and English overlap unmeasured,Other Germanic languages,Claims only residual Afrikaans cell; directional Dutch credit zero,architecture_not_comprehension_claim,ACE-E015,,,none,1,1,1,target_definition_identity_conditional_on_literacy_not_empirical_math_comprehension,0,,,zero_conservative_missing_base_high_no_cross_language_credit,,,,not_applicable,false,ACE-E015,https://www.let.rug.nl/~gooskens/pdf/publ_speechcom_2017.pdf;https://www.statssa.gov.za/publications/Census2022inBrief/Census2022inBriefJune2024.pdf,Natural-language comparison study,low,Clearest narrower reuse pair.
