edge_id,intervention_id,mechanism,staging_profile_id,population_cell_id,population_join_status,edge_role,community_label,territory,language_tag,script,coverage_mode,comprehension_low,comprehension_base,comprehension_high,observed_task_score,observed_task_type,prior_study_required,receptive_or_productive,tested_task,script_match,existing_edition_overlap,exclusions,double_count_rule,recommended_portfolio,adaptation_depth,source_ids,source_locator,confidence,inference_flag,rankable,notes
EDGE-ISV-010,IL-ISV,constructed_bridge,CELL-ISV-CNR-LATN,,pending_exact_composite_join,coverage_candidate,Montenegrin-standard cohort,Montenegro,cnr-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No unnamed BCMS population aggregation,Zero until exact testing and after any named BCMS edition,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-011,IL-ISV,constructed_bridge,CELL-ISV-SR-LATN,,pending_exact_composite_join,coverage_candidate,Serbian Latin-script reading cell,Serbia,sr-Latn,Latn,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match,unknown,No additive credit with Serbian Cyrillic,Partition one Serbian population by observed script use; then deduct named Serbian access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,Script projections are not independent languages.
EDGE-ISV-012,IL-ISV,constructed_bridge,CELL-ISV-SR-CYRL,,pending_exact_composite_join,coverage_candidate,Serbian Cyrillic-script reading cell,Serbia,sr-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,exact script match to projection only,unknown,No additive credit with Serbian Latin,Partition one Serbian population by observed script use; then deduct named Serbian access,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,Do not double the population for dual literacy.
EDGE-ISV-013,IL-ISV,constructed_bridge,CELL-ISV-BG-CYRL,,pending_exact_composite_join,coverage_candidate,Bulgarian-literate cohort,Bulgaria,bg-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,Cyrl projection plausible but untested,unknown,No Macedonian or other South-Slavic transfer credit,Zero until exact testing and overlap subtraction,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ISV-014,IL-ISV,constructed_bridge,CELL-ISV-MK-CYRL,,pending_exact_composite_join,coverage_candidate,Macedonian-literate cohort,North Macedonia,mk-Cyrl,Cyrl,cross_language_bridge,unknown,unknown,unknown,,,unknown for sustained mathematics,receptive,none at exact leaf level in current register,Cyrl projection plausible but untested,unknown,No Bulgarian or other South-Slavic transfer credit,Zero until exact testing and overlap subtraction,FR-2,D2,ACE-E014;ACE-E015,Pooled study only,low,inference_only,false,No pooled result is inherited.
EDGE-ROM-000,IL-ROM,pluricentric_reuse,CELL-ROM-CONSTRUCTED-HYP,,non_population_evidence,hypothetical_surface,Proposed constructed pan-Romance surface,no defensible pooled territory,art-romance-hypothesis,Latn,constructed_bridge_hypothesis,unknown,unknown,unknown,,,unknown,receptive,none,unknown,Spanish and Brazilian Portuguese complete locally,All named Romance languages absent exact testing,Constructed surface has zero coverage; design artifacts cannot claim demographic ceilings,FR-2,D2,ACE-E015;ACE-A010,Natural-pair study plus local provisional state,low,hypothesis_only,false,The local provisional surface has zero canon-admitted units.
EDGE-ROM-001,IL-ROM,pluricentric_reuse,CELL-ROM-ES,,pending_exact_composite_join,coverage_candidate,Spanish-standard cell,Spanish-language territories separately modeled,es,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in the named standard,receptive,none required for own localized output,exact,complete local edition,Catalan Galician and other languages are not Spanish cells,Spanish output claims only exact Spanish residual cells and is subtracted before any bridge scenario,FR-2,D2,ACE-A010,Current local workflow state,medium,architecture_not_comprehension_claim,false,Shared semantic source saves compute.
EDGE-ROM-002,IL-ROM,pluricentric_reuse,CELL-ROM-PTBR,,pending_exact_composite_join,coverage_candidate,Brazilian Portuguese cell,Brazil,pt-BR,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in the named standard,receptive,none required for own localized output,exact,complete local edition,European and African Portuguese profiles not automatically included,pt-BR output is subtracted from residual bridge scenarios; no additive bridge credit,FR-2,D2,ACE-A010,Current local workflow state,medium,architecture_not_comprehension_claim,false,Named locale retained.
EDGE-ROM-003,IL-ROM,pluricentric_reuse,CELL-ROM-FR,,pending_exact_composite_join,coverage_candidate,French-standard cell,French-language territories separately modeled,fr,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in exact locale standard,receptive,none,exact,not established in current successor census,Other Romance languages,Claims only exact French cell; bilingual overlap deducted separately,FR-2,D2,ACE-E015,Natural-language pair study is not a coverage bound,low,architecture_not_comprehension_claim,false,No pan-Romance comprehension probability.
EDGE-ROM-004,IL-ROM,pluricentric_reuse,CELL-ROM-IT,,pending_exact_composite_join,coverage_candidate,Italian-standard cell,Italy,it-Latn-IT,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in named standard,receptive,none,exact,not established,Sardinian Sicilian Neapolitan Friulian and Ladin,Claims only Italian cell,FR-2,D2,ACE-E015,Natural-language pair study,low,architecture_not_comprehension_claim,false,Related minority languages remain separate.
EDGE-ROM-005,IL-ROM,pluricentric_reuse,CELL-ROM-RO,,pending_exact_composite_join,coverage_candidate,Romanian-standard cell,Romania and Moldova profiles separate,ro-Latn-RO,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in exact standard,receptive,none,exact,not established,Aromanian and other Eastern Romance varieties,Claims only exact Romanian cell,FR-2,D2,ACE-E015,Natural-language pair study,low,architecture_not_comprehension_claim,false,No bridge reach.
EDGE-ROM-006,IL-ROM,pluricentric_reuse,CELL-ROM-CA,,pending_exact_composite_join,coverage_candidate,Catalan-standard cell,Catalan territories separately modeled,ca-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in exact standard,receptive,none,exact,not established,Occitan and other Romance languages,Claims only Catalan cell; Spanish overlap deducted by cohort,FR-2,D2,ACE-E015,Natural-language pair study,low,architecture_not_comprehension_claim,false,Named output required.
EDGE-ROM-007,IL-ROM,pluricentric_reuse,CELL-ROM-GL,,pending_exact_composite_join,coverage_candidate,Galician-standard cell,Galicia,gl-Latn-ES,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond literacy in exact standard,receptive,none,exact,not established,Portuguese and Spanish are separate baseline editions,Claims only residual Galician cell after measured Spanish/Portuguese comfort,FR-2,D2,ACE-E015,Natural-language pair study,low,architecture_not_comprehension_claim,false,No automatic Portuguese or Spanish coverage.
EDGE-TUR-001,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-TR,,pending_exact_composite_join,coverage_candidate,Turkish-standard cell,Turkey,tr-Latn-TR,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,complete local Turkish edition,All other Turkic languages,Turkish population is already covered locally and is never added to branch reuse reach,FR-2,D2,ACE-A008,Current Turkish state,medium,architecture_not_comprehension_claim,false,Engineering baseline only.
EDGE-TUR-002,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-AZ,,pending_exact_composite_join,coverage_candidate,Azerbaijani-standard cell,Azerbaijan,az-Latn-AZ,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Turkish overlap unmeasured,Other Oghuz languages,Cross-language Turkish credit is zero; named Azerbaijani output claims only Azerbaijani cell,FR-2,D2,ACE-A008,No direct directional task registered,low,architecture_not_comprehension_claim,false,Oghuz reuse saves compute.
EDGE-TUR-003,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-TK,,pending_exact_composite_join,coverage_candidate,Turkmen-standard cell,Turkmenistan,tk-Latn-TM,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Turkish overlap unmeasured,Other Oghuz languages,Cross-language reach zero; named output only,FR-2,D2,ACE-A008,No direct directional task registered,low,architecture_not_comprehension_claim,false,Oghuz branch.
EDGE-TUR-004,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-GAG,,pending_exact_composite_join,coverage_candidate,Gagauz-standard cell,Moldova exact communities,gag-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Turkish overlap unmeasured,Other Oghuz languages,Cross-language reach zero; named output only,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Small residual Oghuz profile.
EDGE-TUR-005,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-KK,,pending_exact_composite_join,coverage_candidate,Kazakh-standard cell,Kazakhstan,kk-Cyrl-KZ,Cyrl,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Russian and Turkic overlap unmeasured,Oghuz and other Kipchak languages,No cross-language credit; script projection is not additive,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Kipchak profile.
EDGE-TUR-006,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-KY,,pending_exact_composite_join,coverage_candidate,Kyrgyz-standard cell,Kyrgyzstan,ky-Cyrl-KG,Cyrl,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Kipchak profile.
EDGE-TUR-007,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-TT,,pending_exact_composite_join,coverage_candidate,Tatar-standard cell,Russian Federation,tt-Cyrl-RU,Cyrl,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Kipchak profile.
EDGE-TUR-008,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-BA,,pending_exact_composite_join,coverage_candidate,Bashkir-standard cell,Russian Federation,ba-Cyrl-RU,Cyrl,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Russian and Turkic overlap unmeasured,Other Kipchak languages,No cross-language credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Kipchak profile.
EDGE-TUR-009,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-UZ,,pending_exact_composite_join,coverage_candidate,Uzbek-standard cell,Uzbekistan,uz-Latn-UZ,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Russian and Turkic overlap unmeasured,Uyghur and all other Karluk profiles,No cross-language credit; legacy Cyrillic is a script-access cell,MV-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Karluk profile.
EDGE-TUR-010,IL-TURKIC,natural_intercomprehension_reuse,CELL-TUR-UG,,pending_exact_composite_join,coverage_candidate,Uyghur-standard cell,Xinjiang and diaspora,ug-Arab-CN,Arab,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Uzbek and Turkic overlap unmeasured,Other Karluk profiles,No cross-language credit,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Karluk profile with distinct script.
EDGE-GER-001,IL-GERM,natural_intercomprehension_reuse,CELL-GER-NL,,pending_exact_composite_join,coverage_candidate,Dutch-standard cell,Netherlands and Belgium profiles separate,nl-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,English overlap expected high but unmeasured,All residual Germanic communities,Claims only residual Dutch cell; cross-language credit zero,FR-1,D2,ACE-E015,Natural-language comparison study,low,architecture_not_comprehension_claim,false,Negative-control tendency after English overlap.
EDGE-GER-002,IL-GERM,natural_intercomprehension_reuse,CELL-GER-AF,,pending_exact_composite_join,coverage_candidate,Afrikaans-standard cell,South Africa and Namibia cells separate,af-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Dutch and English overlap unmeasured,Other Germanic languages,Claims only residual Afrikaans cell; directional Dutch credit zero,FR-1,D2,ACE-E015,Natural-language comparison study,low,architecture_not_comprehension_claim,false,Clearest narrower reuse pair.
EDGE-GER-003,IL-GERM,natural_intercomprehension_reuse,CELL-GER-NDS,,pending_exact_composite_join,coverage_candidate,Low German exact-standard cell,Germany and diaspora cells separate,nds-Latn-DE,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond exact-standard literacy,receptive,none,exact,German overlap unmeasured,Dutch Afrikaans and other Germanic communities,No pan-Germanic credit; named output only,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Standard resolution remains necessary.
EDGE-GER-004,IL-GERM,natural_intercomprehension_reuse,CELL-GER-PDT,,pending_exact_composite_join,coverage_candidate,Plautdietsch cell,exact diaspora territories separate,pdt-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond community-standard literacy,receptive,none,exact,German English Russian Spanish and Portuguese overlaps vary,Other Germanic diaspora languages,Deduplicate by residence and dominant academic-language access; no pan-Germanic credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Diaspora-specific.
EDGE-GER-005,IL-GERM,natural_intercomprehension_reuse,CELL-GER-PDC,,pending_exact_composite_join,coverage_candidate,Pennsylvania Dutch cell,United States exact communities,pdc-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond community-standard literacy,receptive,none,exact,English overlap likely high but unmeasured,Other Germanic diaspora languages,Count only residual community readers; no pan-Germanic credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Prestige-domain candidate.
EDGE-GER-006,IL-GERM,natural_intercomprehension_reuse,CELL-GER-GEH,,pending_exact_composite_join,coverage_candidate,Hutterisch cell,North American communities,geh-Latn,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond community-standard literacy,receptive,none,exact,English and German overlap unmeasured,Other Germanic diaspora languages,Count only residual community readers; no pan-Germanic credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Separate from Plautdietsch and Pennsylvania Dutch.
EDGE-GER-007,IL-GERM,natural_intercomprehension_reuse,CELL-GER-FY,,pending_exact_composite_join,coverage_candidate,West Frisian cell,Netherlands,fy-Latn-NL,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Dutch and English overlap unmeasured,Other Frisian languages and Germanic communities,No pan-Germanic credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Exact Frisian language required.
EDGE-GER-008,IL-GERM,natural_intercomprehension_reuse,CELL-GER-YI,,pending_exact_composite_join,coverage_candidate,Yiddish exact-register cell,diaspora territories separate,yi-Hebr,Hebr,localized_native_output,unknown,unknown,unknown,,,none beyond exact-register literacy,receptive,none,distinct script,English Hebrew Russian and German overlaps vary,All Latin-script Germanic profiles,No pan-Germanic credit; residence and community register define separate cells,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Must remain separate.
EDGE-GER-009,IL-GERM,natural_intercomprehension_reuse,CELL-GER-SCO,,pending_exact_composite_join,coverage_candidate,Scots cell,Scotland,sco-Latn-GB,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond exact-standard literacy,receptive,none,exact,English overlap expected very high but unmeasured,Other Germanic communities,Count only residual comfortable-reader gain; no pan-Germanic credit,FR-1,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Likely low raw marginal reach.
EDGE-GER-010,IL-GERM,natural_intercomprehension_reuse,CELL-GER-FO,,pending_exact_composite_join,coverage_candidate,Faroese cell,Faroe Islands,fo-Latn-FO,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Danish and English overlap unmeasured,Mainland Scandinavian and other Germanic languages,No pan-Germanic or mainland Scandinavian credit,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Named output is defensible.
EDGE-IDMS-001,IL-IDMS,pluricentric_reuse,CELL-IDMS-ID,,pending_exact_composite_join,coverage_candidate,Indonesian standard cell,Indonesia,id-Latn-ID,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,722 of 722 Open Logic units complete,Javanese Sundanese Madurese Minangkabau Acehnese and other languages,Completed Indonesian Open Logic is excluded from forward reach; no Malaysian reach,FR-2,D2,ACE-A011;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,Current Indonesian complete baseline,medium,architecture_not_comprehension_claim,false,Complete baseline retained to prevent double counting; future work must name an exact uncovered component.
EDGE-IDMS-002,IL-IDMS,pluricentric_reuse,CELL-IDMS-MS-MY,,pending_exact_composite_join,coverage_candidate,Malaysian Malay Rumi cell,Malaysia,ms-Latn-MY,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,none,exact,Indonesian cross-standard overlap untested,Other Malayic and Indonesian languages,Zero Indonesian credit pending directional technical-text audit; localized output claims Malaysian cell,FR-2,D2,ACE-A011,Local state records Malaysian Malay as distinct and unstarted,medium,architecture_not_comprehension_claim,false,MABBIM-aligned termbase can reduce compute.
EDGE-IDMS-003,IL-IDMS,pluricentric_reuse,CELL-IDMS-MS-JAWI,,pending_exact_composite_join,coverage_candidate,Malaysian Malay Jawi-reading stratum,Malaysia,ms-Arab-MY,Arab,script_derivative,unknown,unknown,unknown,,,none beyond Jawi literacy,receptive,none,exact,Same language as ms-Latn-MY,Other Malayic languages,Partition or model dual literacy; never add Jawi and Rumi populations,FR-2,D2,ACE-A011,No direct script-stratum evidence registered,low,inference_only,false,Script derivative only.
EDGE-IDMS-004,IL-IDMS,pluricentric_reuse,CELL-IDMS-MS-BN,,pending_exact_composite_join,coverage_candidate,Brunei Malay educational-standard cell,Brunei,ms-Latn-BN,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond exact-standard literacy,receptive,none,exact,Indonesian and Malaysian overlap untested,Other Malayic languages,Named Brunei cell only; no regional blanket credit,FR-2,D2,ACE-A021,Candidate seed only,low,architecture_not_comprehension_claim,false,Locale-specific output may be small adaptation.
EDGE-SCAND-001,IL-SCAND,natural_intercomprehension_reuse,CELL-SCAND-DA,,pending_exact_composite_join,coverage_candidate,Danish-standard cell,Denmark,da-Latn-DK,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,exact pair values not registered,exact,English and Scandinavian overlap unmeasured,Faroese Icelandic,Named output only; cross-language reach zero until exact directional value is imported,FR-1,D2,ACE-E015,Gooskens and van Heuven 2017 natural-language tests,medium,architecture_not_comprehension_claim,false,Spoken and written asymmetries matter.
EDGE-SCAND-002,IL-SCAND,natural_intercomprehension_reuse,CELL-SCAND-NB,,pending_exact_composite_join,coverage_candidate,Norwegian Bokmal cell,Norway,nb-Latn-NO,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,exact pair values not registered,exact,English and Scandinavian overlap unmeasured,Nynorsk Faroese Icelandic,Named output only; no cross-language credit,FR-1,D2,ACE-E015,Natural-language tests,medium,architecture_not_comprehension_claim,false,Keep Bokmal and Nynorsk outputs distinct.
EDGE-SCAND-003,IL-SCAND,natural_intercomprehension_reuse,CELL-SCAND-NN,,pending_exact_composite_join,coverage_candidate,Norwegian Nynorsk cell,Norway,nn-Latn-NO,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,exact pair values not registered,exact,Bokmal English and Scandinavian overlap unmeasured,Faroese Icelandic,Partition Norwegian readers and do not add dual-standard literacy,FR-1,D2,ACE-E015,Natural-language tests,low,architecture_not_comprehension_claim,false,Named output required.
EDGE-SCAND-004,IL-SCAND,natural_intercomprehension_reuse,CELL-SCAND-SV,,pending_exact_composite_join,coverage_candidate,Swedish-standard cell,Sweden,sv-Latn-SE,Latn,localized_native_output,unknown,unknown,unknown,,,none beyond named-standard literacy,receptive,exact pair values not registered,exact,English and Scandinavian overlap unmeasured,Faroese Icelandic,Named output only; cross-language reach zero until exact directional value is imported,FR-1,D2,ACE-E015,Natural-language tests,medium,architecture_not_comprehension_claim,false,High English overlap likely reduces marginal access.
EDGE-AR-001,IL-AR,pluricentric_reuse,CELL-AR-MSA,,pending_exact_composite_join,coverage_candidate,Readers comfortable with Modern Standard Arabic,territories separately modeled,ar,Arab,existing_formal_base,unknown,unknown,unknown,,,formal literacy required,receptive,none registered for target corpus,exact,complete local Arabic edition,Amazigh Kurdish Nubian Modern South Arabian and signed languages,Existing MSA coverage is baseline and cannot be claimed again by scaffolds,FR-2,D2,ACE-A009;ACE-E001,Current Arabic state and aggregate policy synthesis,medium,baseline_only,false,Residual intervention begins after this base.
EDGE-AR-002,IL-AR,pluricentric_reuse,CELL-AR-EG,,pending_exact_composite_join,coverage_candidate,Egyptian Arabic scaffold users,Egypt,arz-Arab-EG,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Non-Arabic Egypt languages,Credit only measured increase from dialect glossary plain-language or audio scaffold beyond MSA,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific comprehension bound registered,low,inference_only,false,Not a replacement for a source-faithful MSA edition.
EDGE-AR-003,IL-AR,pluricentric_reuse,CELL-AR-LEV,,pending_exact_composite_join,coverage_candidate,Levantine Arabic scaffold users,Levant exact country cells,apc-Arab,Arab,scaffold_on_existing_msa,unknown,unknown,unknown,,,unknown,receptive,none,exact dialect script,complete MSA base,Kurdish Armenian and other non-Arabic communities,Credit only residual scaffold gain and deduplicate country cells,FR-2;AX-3,separate_derivative,ACE-A009,No dialect-specific bound registered,low,inference_only,false,Country layers remain separate.
