needs_profile_id,candidate_ids,display_name,target_profiles,territory_or_scope,production_regime,first_priority_stage,first_package,follow_on_package,existing_supply,need_evidence,source_urls,delivery_spec,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,evidence_confidence,package_confidence,caveat,prerequisite_route
HRN-011,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,secondary_tvet_tertiary_transition,TVET-university,Five coherent courses: data/programming/AI/cybersecurity; climate-smart rice/aquaculture/green skills; public health/evidence appraisal; MSME accounting/digital finance; applied biology/chemistry with low-cost labs.,"Quarterly frontier-to-field briefs, datasets/notebooks and postgraduate research-design/causal-inference/systematic-review/reproducibility courses.","National digital textbooks, VOER and digital-skills platforms exist.",Official higher-education evidence identifies fragmentation/interoperability issues and TVET e-learning remains early-stage.,https://vnfoundation.org/en/vietnam-open-educational-resources/ ; https://baochinhphu.vn/de-xuat-quy-dinh-ve-khai-thac-su-dung-tai-nguyen-giao-duc-mo-trong-giao-duc-dai-hoc-102260508102509726.htm ; https://documents1.worldbank.org/curated/en/099000005132229736/pdf/P174258045156b0060972302fec6a3015b8.pdf,Offline interoperable HTML/EPUB/PDF plus low-cost labs/notebooks.,"Prerequisite map, complete solutions, applied cases and bilingual search terminology.","Semantic math, captions, screen-reader testing and low-bandwidth download.","Mong, J'rai, Khmer and other early-years language overlays remain separate.",medium-high,medium-high,National supply fragmentation is not proof that every listed course is absent.,Secondary quantitative/digital diagnostic -> TVET/university applied courses -> research design and reproducibility.
HRN-012,NAT-033,Filipino,fil-Latn-PH with replaceable home-language tracks,Philippines,secondary_tvet_tertiary_transition,grades 7-12/ALS/TVET,"One hundred twenty Filipino-English STEM-Kabuhayan micro-lessons: health, finance/SME, agriculture/climate/disaster, core science and computing/data/AI/cybersecurity.","Higher/professional/research spine in open science, biostatistics, public health, programming/data, management and climate-smart agriculture/renewables.","DepEd, TESDA Online, UPOU OER, agricultural e-extension and STARBOOKS already exist.",Home Internet was 48.8% nationally in 2024 and much lower in some regions; extend offline STARBOOKS-like infrastructure rather than duplicate it.,https://stii.dost.gov.ph/starbooks/ ; https://e-tesda.gov.ph/course ; https://oer.upou.edu.ph/ ; https://psa.gov.ph/content/percentage-households-internet-connection-increased-488-percent-2024-two-every-three,Offline local-server/USB/SD package plus print and low-data audio.,"Full answers, practical projects, terminology, mastery checks and local livelihood cases.","Captions, semantic text/math, screen-reader support and replaceable home-language audio/glossaries.","Filipino is a learned national standard for many, not everyone's L1; exact functional denominator remains unresolved.",high delivery evidence; medium language reach,high package architecture,Do not rank the Philippines territory as Filipino comfortable readers.,Grades 7-12/ALS diagnostic -> STEM-Kabuhayan modules -> TVET/first-year bridge -> professional/research spine.
HRN-013,NAT-063;NAT-064,Standard Kiswahili country package,swh-Latn-TZ; swh-Latn-KE; swh-Latn-UG; swc-Latn-CD,East/Central Africa,foundation_DRC_Uganda_then_transition,DRC grades 1-3 and Uganda P4 L2,"Reuse or adapt the DRC ministry's listed Kiswahili grades 1-3 and literacy materials where rights permit; complete specifically missing worked feedback, science/health, accessible/offline and regional-variety components with a French bridge. Add a separate Uganda P4 Kiswahili-L2 package with self-study scripts and offline audio.","Kiswahili-English/French biology, chemistry, climate/agriculture, health, computing and finance; then TVET/statistics/R/Python/open science.","Tanzania/Kenya have meaningful Kiswahili school supply. The DRC ministry lists grades 1-3 pupil books, workbooks, teacher guides and initial/functional literacy materials. Uganda's L2 implementation and exact regional/format gaps remain separate.","Country and regional-variety fit, self-study feedback, download integrity, open reuse and semantic/offline accessibility are the targets. The DRC inventory contradicts a blanket absence-of-textbooks claim; a ministry listing alone does not prove every linked file is correct or every function complete.",https://edu-nc.gouv.cd/national-programmes ; https://kiswahili.eac.int/wp-content/uploads/2022/10/EAKC-Strategic-Plan-FINAL.pdf ; https://www.unesco.org/gem-report/sites/default/files/medias/fichiers/2023/02/Spotlight%20Advocacy_DRC_EN_v2.pdf,Print/audio/offline HTML with country curriculum overlay.,"Teacher and self-study scripts, diagnostics, worked answers, French/English bridges and locally relevant cases.","Captions, audio, semantic text/math, large print and offline delivery.","No blanket 200M written reach; Tanzania, Kenya, Uganda and DRC profiles remain separate.",high existence of ministry-listed materials; medium exact functional gaps; low exact incremental readership,"provisional adaptation/completion design, not proof every proposed component is absent","The UNESCO/AU headline is a gross user diagnostic, not a deduplicated reader count.",Country/variety-specific literacy or L2 entry -> primary science/health -> secondary/TVET bilingual bridge -> tertiary methods.
HRN-014,NAT-069,Hausa Nigeria/Niger package,ha-Latn-NG; ha-Latn-NE; optional established Ajami,Nigeria and Niger,foundation_functional_then_tvet,pre-primary/grades 1-3/adult literacy,"Structured boko phonics, graded reading, diagnostics and Hausa-English Nigeria / Hausa-French Niger bridges with print, radio, IVR and optional Ajami parallel text/audio.","Secondary/TVET science, agriculture, public health and computing; mobile-money safety, microenterprise, livestock/water and solar/GSM trades; later statistics/R/Python/open science.","Nigeria has RANA stories and early readers, while foundational outcomes/connectivity remain weak and advanced practical supply is thinner.","Country orthography, boko literacy, optional Ajami use and written readership must remain separate.",https://education.gov.ng/e-learning-resources/ ; https://www.unicef.org/nigeria/stories/enabling-teachers-educating-children ; https://archives.au.int/handle/123456789/1556 ; https://nmec.gov.ng/faqs/,"Print, radio, IVR, basic-phone and offline HTML/PDF.","Structured phonics/mastery, full feedback, country terminology and practical projects.","Audio, large print, semantic boko, optional local Ajami and captions/transcripts.",No universal Ajami and no automatic Nigeria/Niger or 60M/94M population merge.,high need regime; low exact written reach,high foundational; medium advanced,A compatible functional-reader denominator remains unresolved.,Boko/Ajami placement and oral-literacy entry -> foundational mastery -> practical TVET -> statistics/programming/open science.
HRN-015,IL-AR,Arabic MSA plus country spoken scaffolds,arb-Arab plus named country spoken-language layers,MENA and displaced communities,foundation_emergency_then_disciplinary_research,pre-primary/grades 1-3 and emergency catch-up,"Fully vowelled leveled MSA phonics/morphology/comprehension with country spoken narration; in parallel offline accelerated literacy, science, health/WASH and safety for Sudan, Yemen, Syria and Gaza.","MSA disciplinary literacy in science/health/climate/finance/computing, country TVET pathways, then research methods/meta-analysis/R/Python/FAIR data and scholarly navigation.","WHO, FAO, ILO and ITU Arabic professional material exists but is fragmented; formal MSA availability does not resolve diglossia.","Conflict exclusion, learning poverty and spoken-to-MSA distance create stage- and country-specific needs. UNICEF's at-least-30M out-of-school figure concerns children aged 5-18 across 12 MENA countries, not 30M Arabic readers or one language-specific beneficiary cohort.",https://documents1.worldbank.org/curated/en/909741624654308046/pdf/Advancing-Arabic-Language-Teaching-and-Learning-A-Path-to-Reducing-Learning-Poverty-in-the-Middle-East-and-North-Africa.pdf ; https://www.emro.who.int/entity/global-arabic-programme/ ; https://elearning.fao.org/course/view.php?id=628&lang=ar ; https://www.unicef.org/mena/press-releases/least-30-million-children-out-school-middle-east-and-north-africa,Offline print/radio/SD/local-server bundle plus maintained professional pathways.,"Diagnostics, complete feedback, local spoken narration, country curriculum/re-entry maps and versioning.","Unicode RTL/bidi metadata, logical reading order, TTS-tested vowelization, captions, sign-language video where relevant and semantic math.","MSA is not an ordinary L1; dialect, non-Arabic L1 and country profiles remain separate.",high regime; variable locale evidence,high emergency/foundation; medium later,No single 400-450M Arabic comfort or newly served count is asserted.,Local spoken-language oral scaffold -> vowelled MSA literacy -> disciplinary MSA -> TVET/tertiary -> research methods.
HRN-016,,Latin American Spanish localized recovery,es-419 plus country overlays,Latin America,strong_supply_mastery_access_residual,grades 3-9,"Teacher-independent mastery recovery in literacy, numeracy and practical science with health, household finance, digital safety and climate; diagnostics and full answers.","No-login/offline/accessibility conversion of high-value OER, then exact nursing, computing, business, research-method and frontier gaps.","Spain/Latin America have extensive school OER, Spanish OpenStax editions and SciELO infrastructure.",ERCE shows widespread minimum-competency shortfalls; this is a mastery/pedagogy/access problem rather than proof of textbook absence.,https://procomun.intef.es/es/contenido/acerca-de-procomun ; https://www.scielo.org/en/about-scielo/program-publication-model-and-scielo-network/ ; https://siteal.iiep.unesco.org/eje/educacion_basica,Country-localized offline HTML/EPUB/PDF and print.,"Diagnostics, misconception repair, full answers and country examples/regulation.","Semantic text/math, captions, TTS, reflow and low-bandwidth assets.",`es-ES` does not dictate Latin American curricula or professional terminology; global Spanish totals are nonadditive models.,high broad regime,medium-high,Exact country cohorts and artifact gaps still require local inventories.,Grades 3-9 diagnostic recovery -> country secondary transition -> professional or first-year path -> exact frontier residual.
HRN-017,,Brazilian Portuguese,pt-BR,Brazil,strong_supply_open_reuse_access_residual,adult/vocational/professional/research,"No-login/offline, semantic, teacher-independent mastery and transition bundles using lawfully reusable Brazilian sources.",Research methods/reproducibility and exact advanced-content gaps.,"PNLD Digital and UNA-SUS are extensive, but authentication/DRM and reuse constraints matter.","Resource abundance does not guarantee lawful retain/adapt/redistribute rights, independent sequencing or offline access.",https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/programas-do-livro/pnld/guia-do-livro-didatico/obras-digitais-do-pnld ; https://www.unasus.gov.br/institucional,No-login offline bundle with editable source and print.,"Complete answers, diagnostic progression and current professional examples.","Semantic text/math, captions, screen-reader support and reflow.","Brazil is separate from Portugal, Angola, Mozambique and other PALOP outputs.",high supply/access diagnosis,medium,Brazil territory is not a Portuguese-reader or unique-need count.,Adult/secondary placement -> teacher-independent transition bundle -> professional/research methods -> exact advanced residual.
HRN-018,,PALOP local-language to Portuguese bridges,pt-AO; pt-MZ plus exact local-language outputs,"Angola, Mozambique and other PALOP contexts",foundational_bilingual_then_tvet,primary/literacy,Exact local-language plus Portuguese foundational bridges rather than Portuguese-only replacement.,"Bilingual health, agriculture, enterprise, finance and TVET pathways with local audio and Portuguese written progression.",Portuguese official materials exist; home-language reach varies sharply.,Mozambique evidence shows Portuguese mother-tongue/ability and rural access do not justify Portuguese-only foundational design.,https://www.unesco.org/gem-report/en/2026-gem-report-country-case-studies/mozambique ; Africa audit AFR-014/015,Print/audio/offline bilingual packages.,"Local-language mastery, Portuguese transition, full feedback and livelihood projects.","Audio, captions, semantic text/math, large print and low bandwidth.",Each local language and `pt-AO`/`pt-MZ` edition retains its own population and curriculum.,medium-high regime,medium,No PALOP-wide additive reader count is asserted.,Named local-language foundation -> Portuguese transition -> bilingual TVET/health/agriculture/enterprise pathway.
HRN-019,,Russian learned-standard residual,ru-Cyrl-RU plus localized overlays,Russian Federation and separately audited learned-language contexts,strong_supply_open_reuse_frontier_residual,professional/postgraduate/research,"Open, accessible, no-login/offline statistics/causal inference, reproducible Python/R, research integrity, open licensing/data stewardship and AI evidence evaluation with applied tracks.",Exact modern frontier review/monograph translations and semantic-accessible editions only where inventory proves absence.,National Open Education and Math-Net show strong university/research infrastructure; rights and full-text access vary.,"The marginal need is reuse/accessibility/current methods and exact frontier gaps, not wholesale school translation.",https://openedu.ru/ ; https://www.mathnet.ru/ ; https://www.mathnet.ru/ej.phtml?jorder=jrn&jrnid=&option_lang=eng,Open no-login offline semantic bundle plus source and print.,"Exercises/answers, reproducible notebooks, datasets and bilingual search/navigation where relevant.","Cyrillic semantic text/math, captions, screen-reader testing and reflow.","Russian competence is not blanket coverage for Indigenous, displaced, diaspora or successor-state communities.",high supply diagnosis,medium,Global speaker estimates do not measure academic comfort or unique residual.,Disciplinary prerequisite check -> statistics/programming/research integrity -> reproducible professional/research work -> exact frontier gaps.
HRN-020,NAT-125,"Bhojpuri, India",bho-Deva-IN,"India, with Bihar and eastern Uttar Pradesh localization declared",foundational_to_secondary_bilingual_bridge_then_tertiary_audit,foundational numeracy through algebra,"Create a declared versioned Devanagari Bhojpuri editorial register and a teacher-independent foundational-numeracy-through-algebra sequence with diagnostics, full worked answers, phone/offline delivery, audio, and Bhojpuri-to-Hindi bridge terminology.","After an exact supply audit, add missing secondary/TVET practical science, health, finance and computing; keep tertiary/professional work as a separately evidenced residual.","Official sources evidence Hindi-medium schooling and some Bhojpuri-as-subject provision, but no continuous open Bhojpuri-medium mathematics/STEM sequence has been evidenced.","The exact 50,579,447 mother-tongue return establishes scale but not literacy, academic comfort, current population or the number newly served; Hindi academic-reading overlap is unmeasured.",https://censusindia.gov.in/nada/index.php/catalog/10191 ; https://censusindia.gov.in/nada/index.php/catalog/45247/download/48954/LSI_BIHAR.pdf ; https://scert.bihar.gov.in/public/uploads/deled_books/S-9-D_PEDAGOGY_OF_ENGLISH_%282%291.pdf ; https://bstbpc.bihar.gov.in/Class9.aspx?download=zwtpxAyp.html,"Download-once semantic HTML/MathML, EPUB, tagged PDF, print workbook and low-data audio; no login required.",Entry diagnostic; Bhojpuri oral-to-Devanagari support; complete worked feedback; explicit Hindi bridge glossary; reversible Bihar/eastern-UP terminology overlays.,"Devanagari font/TTS/screen-reader tests, semantic mathematics, reflow, captions/transcripts, large print and keyboard navigation.","Never add Bhojpuri to the parent Hindi census umbrella; award zero automatic Hindi comprehension credit; keep Nepal, Mauritius, Magahi and Maithili outputs separate.",high exact population identity; medium supply diagnosis,medium-high foundational package,"Devanagari is a defensible production default, not proof of one transregional standard.",Bhojpuri oral/Devanagari entry diagnostic -> foundational numeracy -> pre-algebra/algebra -> secondary/TVET bridge -> separately audited tertiary residual.
