evidence_identity_id,source_lane,source_record_id,edition_target_id,evidence_role,measure_class,population_unit,population_low_persons,population_base_persons,population_high_persons,population_definition,reference_year,territory,script_or_mode,source_ids,source_urls,source_locators,additivity_class,overlap_group,disposition,rank_eligible,row_sha256
canonical:pop:036221d53ad09a48edd1d3e2,v2_population,pop:036221d53ad09a48edd1d3e2,edition-target:lang:ciw-CA,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_2021_language_knowledge,,2040,,People reporting knowledge of Anishinaabemowin / Chippewa; mother-tongue count 765. Counts randomly rounded.,2021,,,SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,c54d204e5582162eb09b5c6a6e8869340230e25f69e5849cac58fc546c437fa2
canonical:pop:04283d29e33f25b5fd2e9344,v2_population,pop:04283d29e33f25b5fd2e9344,edition-target:lang:sme,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_language_users_literature_range,20000,,25000,Peer-reviewed speaker estimate or range; not harmonized census count.,,,,SRC_AMAR_SAMI_REVIEW_2025,https://www.tandfonline.com/doi/abs/10.1080/14790718.2025.2517902,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,e084bd5cf8cea9eeeae816940d151ba873af22efd35e552329c5871044acb2bb
canonical:pop:048524fec04276d0618e84c3,v2_population,pop:048524fec04276d0618e84c3,edition-target:lang:ms-Latn-MY,POPULATION_OR_CONTEXT,ethnicity_or_identity_proxy,persons_ethnicity_proxy_range,17600000,,18500000,Approximate ethnic-Malay planning range from Malaysian population data; not a direct language-use count and smaller than national exposure.,,,,MYS_DOSM_POP,https://open.dosm.gov.my/data-catalogue/population_malaysia,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,a32ae1caab81e4b181365554fe1bf62b9284c5ed27d31dcfc88ed98eaf7fa242
canonical:pop:04b6889e80d1ae18e50eb6fd,v2_population,pop:04b6889e80d1ae18e50eb6fd,edition-target:lang:kem-Latn-TL,POPULATION_OR_CONTEXT,home_or_first_language,persons_L1,,68995,,2015 census L1 count reproduced in an open peer-reviewed study.,2015,,,TLS_CENSUS_LANGUAGE_STUDY,https://pmc.ncbi.nlm.nih.gov/articles/PMC9411783/,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,f5cee03ecfb863b5234cf0bbf119bf73d230489549b5b2ca57edbc23d816d570
canonical:pop:05c20aff41345522bcbcdfc4,v2_population,pop:05c20aff41345522bcbcdfc4,edition-target:lang:ta-Taml-LK:community:sri-lanka-tamil,POPULATION_OR_CONTEXT,ethnicity_proxy,persons_ethnicity_proxy,2681627,2681627,2681627,Sri Lanka Tamil ethnicity count; L1 equivalence not enumerated,2024,,,LKA_CENSUS_2024,https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,de6be7a89bdc562a146f582d4df830083a8c5a7fc240a29ad8d41acd35cb315c
canonical:pop:067a026b2b1f291099c85232,v2_population,pop:067a026b2b1f291099c85232,edition-target:lang:hil-Latn-PH,POPULATION_OR_CONTEXT,ethnicity_or_identity_proxy,persons_ethnicity_proxy,,8608191,,"2020 ethnicity proxy; the census also reports 1,933,512 home-language households, not persons.",2020,,,PH_PSA_ETHNICITY_2020,https://psa.gov.ph/content/ethnicity-philippines-2020-census-population-and-housing,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,319d07c869284761eecb31f63400bdae03b95c3240a264d553acbc8b4c537dcb
canonical:pop:07dba49c932795d75471c5e8,v2_population,pop:07dba49c932795d75471c5e8,edition-target:lang:sid-Latn-ET,POPULATION_OR_CONTEXT,persons_basis_not_stated,people,,2981471,,2007 Ethiopia mother-tongue count,2007,,,SRC_ESS_CENSUS_2007,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,b3faa8c979463e91dd2f7a326de76fc95b1317644ed7e7a33ed738f73ec8bbfa
canonical:pop:07e3cc4eb493772ea61be502,v2_population,pop:07e3cc4eb493772ea61be502,edition-target:lang:unresolved-tag:multilingual-mainland-population-zh-hans-cn-capable-subset-unmeasured:mainland-china-people-offline-in-the,POPULATION_OR_CONTEXT,offline_population_estimate,persons,,279900000,,Approximate offline population derived from rounded NBS year-end population and CNNIC internet-user count,2025,,,SRC_CNNIC_57_2025,https://www3.cnnic.cn/n4/2026/0304/c88-11549.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,ba6c807f85612ad52daeee80b6ad3b9b088b719eda09b351d2b08ba3391972d9
canonical:pop:08314d40297a9bc50863eb49,v2_population,pop:08314d40297a9bc50863eb49,edition-target:lang:zh-Hans-CN:written,POPULATION_OR_CONTEXT,enrolment,persons,,8059000,,Adult undergraduate and associate learners enrolled in 2025,2025,,,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,3d34ac29ffc487f82fb77b380d51cccba0080c39a89b31c925a7197227e725b8
canonical:pop:086035c2c540a39c8767d8f5,v2_population,pop:086035c2c540a39c8767d8f5,edition-target:lang:cuk-PA,POPULATION_OR_CONTEXT,ethnicity_or_identity_proxy,persons_indigenous_identity_proxy,,112319,,People identifying with the Guna people; not a speaker count.,2023,,,SRC_AMAR_PAN_INEC_2023,https://www.inec.gob.pa/Publicaciones/Default3.aspx?ID_CATEGORIA=19&ID_PUBLICACION=1212&ID_SUBCATEGORIA=71,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,155757fa45394fcf2678eec7ecbf096ed8ced3938bfd760d3454076885cae4bf
canonical:pop:098f8cc1eee32013c992f2ab,v2_population,pop:098f8cc1eee32013c992f2ab,edition-target:lang:st-Latn-ZA,POPULATION_OR_CONTEXT,percentage_only,percent,,7.8,,Share of South Africa population reporting Sesotho as household language,2022,,,SRC_STATSSA_CENSUS_2022,https://www.statssa.gov.za/wp-content/uploads/2023/11/Mbalo-brief-November.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,34dfab372c4ee74a5d1b406a2a9b014f2438411da825aee2897f87b9c9b17e3e
canonical:pop:0ba3c9b0647aa75ce1659d19,v2_population,pop:0ba3c9b0647aa75ce1659d19,edition-target:lang:bzj-BZ,POPULATION_OR_CONTEXT,percentage_only,percent_population_age4plus_multiple_response_speaking_ability,,49,,"Share of population age 4+ reporting ability to speak Belize Kriol; multiple languages allowed, not a mother-tongue share.",2022,,,SRC_AMAR_BLZ_SIB_2022,https://sib.org.bz/wp-content/uploads/CensusKeyFindingsReport_2022.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,583e1346d479a2c4cc54fbf282403f0ca015c577830794bae149be9383486797
canonical:pop:0ba8b556e1bc941de0d5d9f6,v2_population,pop:0ba8b556e1bc941de0d5d9f6,edition-target:lang:zun-US,POPULATION_OR_CONTEXT,home_or_first_language,persons_age5plus_home_language,,8109,,People age 5+ reporting Zuni at home in the 2017–2021 ACS.,2017-2021,,,SRC_AMAR_US_ACS_2017_2021,https://www.census.gov/library/stories/2025/06/native-american-language-use.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,98125e6dc3a9442600a8d6ae37388af77cb19fbe717006cdb2c5921bb4e2dd70
canonical:pop:0bc384a44a55e0b2b57a72bd,v2_population,pop:0bc384a44a55e0b2b57a72bd,edition-target:lang:plg-AR,POPULATION_OR_CONTEXT,percentage_only,percent_of_self_identified_people_speak_or_understand_own_language,,89,,Share of the self-identified Pilagá people who speak or understand the people's language; denominator count is not encoded here.,2022,,,SRC_AMAR_ARG_INDEC_2022,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_poblacion_indigena.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,27c009f248cbe65805c2b7c161724a73aa3b4fd62254b65773c813d60ff3c48c
canonical:pop:0d1a88a9d77adca9e17f7173,v2_population,pop:0d1a88a9d77adca9e17f7173,edition-target:lang:lo-Laoo-LA,POPULATION_OR_CONTEXT,ethnicity_or_identity_proxy,persons_ethnicity_proxy,,3450000,,Rounded ethnic-Lao count derived from 53.2% of the 2015 census population; not a language-use census.,2015,,,LAO_CENSUS_2015,https://lao.unfpa.org/en/publications/results-population-and-housing-census-2015-english-version,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,6790f1b33a645ec5f19414569aeca14eb30de90f56ec85e2a27a86ce6466af3e
canonical:pop:0ea1c757685c2d2d888ffedf,v2_population,pop:0ea1c757685c2d2d888ffedf,edition-target:lang:mh-Latn-MH,POPULATION_OR_CONTEXT,percentage_only,percent_age5plus_speaking,,96,,People aged 5+ reported speaking Marshallese,2021,,,OIO_F4F04B63A55A,https://prdrse4all.spc.int/sites/default/files/marshall_islands_census_report_2021.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,172c049fcabec22c4d14deb5b055cb67a1c91f56a8608f5af77a537fe7042c53
canonical:pop:0febc04682405966e45d0186,v2_population,pop:0febc04682405966e45d0186,edition-target:lang:ja-Jpan-JP,POPULATION_OR_CONTEXT,enrolment,persons,,92442,,Residence-status Student holders enrolled in university undergraduate programs,2025,,,JPN-S007,https://www.studyinjapan.go.jp/ja/statistics/enrollment/data/2605291000.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,908b6078335f03160439491011a26cecab8a8e618f2eb77efe339c3ae255087d
canonical:pop:122da67a31b6e9f10514b3b8,v2_population,pop:122da67a31b6e9f10514b3b8,edition-target:lang:zh-Hans-CN:written,POPULATION_OR_CONTEXT,enrolment,persons,,5423500,,Web-based higher-education learners enrolled in 2025,2025,,,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,5072c2a63d249a0ec1e353d4505fe9a6987875fa8ff0d1d5a010f4ede2b5a926
canonical:pop:124acde14997257ccf4fbab1,v2_population,pop:124acde14997257ccf4fbab1,edition-target:lang:tca-CO,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_named_language_speaker_estimate,,4512,,Named-language speaker estimate in the national decennial language plan.,,,,SRC_AMAR_COL_LANG_PLAN,https://dokumen.pub/plan-decenal-de-lenguas-nativas-de-colombia-9789587534948.html,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,660f083cc46f5a0dcbbf472fc369e804ed71dd569c2f20f5dd8c1a195bad4ca9
canonical:pop:132d9d37cb993953ece8aff0,v2_population,pop:132d9d37cb993953ece8aff0,edition-target:lang:mtp-AR,POPULATION_OR_CONTEXT,percentage_only,percent_of_self_identified_people_speak_or_understand_own_language,,63.1,,Share of the self-identified Weenhayek people who speak or understand the people's language; denominator count is not encoded here.,2022,,,SRC_AMAR_ARG_INDEC_2022,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_poblacion_indigena.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,1ef9542cd9932f66643906bdf900867961a8ca6eee5265f1d9c93b5177868583
canonical:pop:13469bc5808556f0312a2d3e,v2_population,pop:13469bc5808556f0312a2d3e,edition-target:lang:pon-Latn-FM,POPULATION_OR_CONTEXT,home_or_first_language,persons_age5plus_home_language,17787,17787,17787,People aged 5+ reporting the named home language,2023,,,OIO_EA133B14931A,https://www.pacificweb.org/library/preview.php?file=fsm/states/2023FSMMunicipality.xlsx,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,d2af9d9a27579a1da146e59e88d7a53c4cb445434da65ed21457205379395377
canonical:pop:13a2f93c14c2492f765ccdd3,v2_population,pop:13a2f93c14c2492f765ccdd3,edition-target:macro:AMAR_MEX_NAHUATL_LOCALITY_REQUIRED,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_age3plus_language_speakers_aggregate,,1651958,,People age 3+ reported under the census aggregate Náhuatl; not assignable to an INALI variety.,2020,,,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,f20da422761959909195a88791c0a4b5595d127465f9dcf15fdd6f4189720047
canonical:pop:141c2af19850479410aacb44,v2_population,pop:141c2af19850479410aacb44,edition-target:lang:rap-Latn-CL,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_age5plus_speak_or_understand,7006,7006,7006,People age 5+ nationwide reporting that they speak or understand Rapa Nui; combined ability question,2024,,,OIO_A7D1D42EC130,https://censo2024.ine.gob.cl/wp-content/uploads/2025/12/sintesis_resultados_censo2024.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,c6a347f5f51f1b308d53ee5a701962866fed6e614f1d61f03146014bbbf98835
canonical:pop:14603b503b0999e150581667,v2_population,pop:14603b503b0999e150581667,edition-target:lang:cac-GT,POPULATION_OR_CONTEXT,home_or_first_language,persons_age4plus_mother_tongue,,58592,,People age 4+ reporting Chuj as mother tongue.,2018,,,SRC_AMAR_GTM_INE_2018,https://censo2018.ine.gob.gt/archivos/resultados_censo2018.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,3eee8f7b309d089bde36cde69ede10d96b66a0b113fb49dc467a51c938183a72
canonical:pop:1575dbef18144b6e088d695f,v2_population,pop:1575dbef18144b6e088d695f,edition-target:lang:bho-Deva-NP,POPULATION_OR_CONTEXT,l1,persons_L1,1820795,1820795,1820795,Census mother-tongue count,2021,,,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,b4d822eb8744e3c818a6f936cd30840c6454ae4afada4aad62a3ef7ace32fc32
canonical:pop:1599a45394c261baef7f6b5d,v2_population,pop:1599a45394c261baef7f6b5d,edition-target:lang:so-Latn-ET,POPULATION_OR_CONTEXT,persons_basis_not_stated,people,,4609274,,2007 Ethiopia mother-tongue count for Somali overall,2007,,,SRC_ESS_CENSUS_2007,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,9259625fee1169bdc9fa531d9cb8b0216f8868afcd4bf46859c246adfff88149
canonical:pop:159fe34a7c15edc5d3942d40,v2_population,pop:159fe34a7c15edc5d3942d40,edition-target:macro:AMAR_MEX_ZAPOTEC_LOCALITY_REQUIRED,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_age3plus_language_speakers_aggregate,,490845,,People age 3+ reported under the census aggregate Zapotec; not assignable to a local variety.,2020,,,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,f70dfc0bad696bdcf9a312a90f951d97f8eca688dd3d6aac109dbbcf3caff8b8
canonical:pop:15ce6665932281053a92aacb,v2_population,pop:15ce6665932281053a92aacb,edition-target:lang:gcf-GP,POPULATION_OR_CONTEXT,percentage_only,percent_adults_age15plus_language_mastery,,88,,Adult age 15+ mastery share in 2019–2020; not a headcount.,2019-2020,,,SRC_AMAR_FRA_CREOLE_2019_20,https://www.bnsp.insee.fr/ark:/12148/bc6p089kb96/f1.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,eb6009b072778d54c39eaa7491bed542b606e60a058093c6837e62f7f56cd29c
canonical:pop:15f112591a81374743bc3e66,v2_population,pop:15f112591a81374743bc3e66,edition-target:lang:ha-Latn-NG,POPULATION_OR_CONTEXT,speaker_estimate_lower_bound,people,80000000,,,Institutional lower-bound estimate for Nigeria; upper bound not stated.,2026,,,SRC_UNESCO_HAUSA_2026,https://www.unesco.org/en/articles/african-languages-blind-spot-ai,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,79d72b2e968d93db1b1ce099596d7c9fb76ebf6679f3eaa3e188d8f7fc0bdd94
canonical:pop:161c1a9a3b5fe3578f628f35,v2_population,pop:161c1a9a3b5fe3578f628f35,edition-target:lang:cab-BZ,POPULATION_OR_CONTEXT,percentage_only,percent_population_age4plus_multiple_response_speaking_ability,,2,,"Share of population age 4+ reporting ability to speak Belize Garifuna; multiple languages allowed, not a mother-tongue share.",2022,,,SRC_AMAR_BLZ_SIB_2022,https://sib.org.bz/wp-content/uploads/CensusKeyFindingsReport_2022.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,2bd47874cdbd796a2e8e88c30cf5ab4477ca1a17b788b17ac91fd115f6211a1d
canonical:pop:166940960f3e75dade277ada,v2_population,pop:166940960f3e75dade277ada,edition-target:lang:gil-Latn-TV-x-nui,POPULATION_OR_CONTEXT,percentage_only,percent_age5plus_literate,,19,,People aged 5+ reported literate in Nuian,2022,,,OIO_0C068ED806B3,https://stats.gov.tv/download/85/population-and-housing-census/1836/tuvalu_2022_census_report,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,8793a18c3136adc99079ec1d6bfbbd3c62c6402fc93f7a239569b72a2aee3402
canonical:pop:1698830a17c6f59ef42306e5,v2_population,pop:1698830a17c6f59ef42306e5,edition-target:lang:moe-CA,POPULATION_OR_CONTEXT,speaker_or_reported_ability,persons_2021_language_knowledge,,10740,,People reporting knowledge of Innu-Aimun; mother-tongue count 9430. Counts randomly rounded.,2021,,,SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,ac9660d78a626504c959b5de0e6e868ed171e4840664ac0de7a94b18ef1e0945
canonical:pop:17cf10e73d97cfe655727995,v2_population,pop:17cf10e73d97cfe655727995,edition-target:lang:tkl-Latn-TK,POPULATION_OR_CONTEXT,proxy,persons_population_count_scope,1647,1647,1647,"Population count including Tokelau public-service families based in Samoa; 1,480 were on atolls on census night",2019,,,OIO_6B422DE3E061,https://www.tokelau.org.nz/site/tokelau/2019%20Tokelau%20Population%20Count.pdf,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,77e2c44ddf60257838c1494650550f63ed0c8f31e43901677b129b85bfe504b9
canonical:pop:1890df4e838ba013835e1dac,v2_population,pop:1890df4e838ba013835e1dac,edition-target:lang:ig-Latn-NG,POPULATION_OR_CONTEXT,speaker_estimate,people,23000000,25000000,27000000,"Approximate federal-government speaker estimate, around 25m.",2026,,,SRC_NIGERIA_FMACCE,https://www.fmacce.gov.ng/indigenous-language,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,55223433df61b8389cc32511a13d394309809bfd854f8f666563e79e1bf18351
canonical:pop:18db243036b830db09e6124f,v2_population,pop:18db243036b830db09e6124f,edition-target:lang:bho-Deva-IN,POPULATION_OR_CONTEXT,l1,persons_L1,50579447,50579447,50579447,Raw mother-tongue return inside Census Hindi umbrella,2011,,,IND_C16_2011,https://censusindia.gov.in/nada/index.php/catalog/10191,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,992d72dcd3416f34fd9cd6b669ad0435c073f79679d4155fc13949c634b506b7
canonical:pop:1992ed381313830db0336e77,v2_population,pop:1992ed381313830db0336e77,edition-target:lang:fcs-CA,POPULATION_OR_CONTEXT,home_or_first_language,persons_sign_language_mother_tongue,,990,,LSQ mother-tongue respondents; not all users.,2021,,,SRC_AMAR_CAN_SIGN_2021,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000224%2C2021A000011124&GENDERlist=1%2C2%2C3&HEADERlist=15%2C13%2C18%2C12%2C16%2C14%2C17&Lang=E&STATISTIClist=1%2C4&SearchText=,,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,V2_CANONICAL_EVIDENCE,false,fbcb8cf06552f3d3632be57757b4fa1a26122511cfac782483b86c903c127b0c
