source_id,title,organization,year,url,access_date,source_type,locator,claim_scope,territory_or_scope,notes
GN_UNESCO_IBE_2023,National Curriculum Orientation Framework for Guinea,UNESCO International Bureau of Education,2023,https://www.ibe.unesco.org/sites/default/files/medias/fichiers/2023/10/COC%20R%C3%A9publique%20de%20Guin%C3%A9e%20Version%2028%2009%2023%20V3_0.pdf,2026-09-01,policy_document,p.14: national-language primary reform remains pilot/progressive scale-up,Stage-specific reform status.,Guinea,No Pular-specific implementation denominator.
GN_UNICEF_LP,Learning Passport for Guinean education,UNICEF Guinea,2021,https://www.unicef.org/guinea/recits/bient%C3%B4t-le-learning-passport-une-plateforme-denseignement-%C3%A0-distance-pour-l%C3%A9ducation,2026-09-01,implementation_page,Online/offline operation for schools without internet,Country-specific offline feasibility.,Guinea,No verified Pular/Adlam course inventory.
IFRA_NAIJA_ORTHO,Guide to Standard Naijá Orthography,IFRA-Nigeria,2010,https://ifra-nigeria.org/research/former-projects/89-guide-to-standard-naija-orthography-an-nla-harmonized-writing-system-for-common-naija-publications,2026-09-01,orthography_guide,Introduction and 2009 conference outcomes,Harmonized Naijá writing route and remaining adoption context.,Nigeria,No speaker or literacy count.
KE_BASIC_ED_ACT,Basic Education Act No. 14 of 2013,Kenya Law,2013,https://new.kenyalaw.org/akn/ke/act/2013/14/eng%402022-12-31,2026-09-01,law,Language and culture provisions; early-childhood/lower-primary provisions,Legal language-in-education context.,Kenya,Read with implementation evidence in the UNICEF review.
KE_KNBS_CENSUS_2019,2019 Kenya Population and Housing Census Results,Kenya National Bureau of Statistics,2019,https://new.knbs.or.ke/2019-kenya-population-and-housing-census-results/,2026-09-01,census_release,"Total enumerated population: 47,564,296",Territorial exposure ceiling.,Kenya,Not a Kiswahili-user or literacy count.
LR_LISGIS_CENSUS_2022,Liberia Population and Housing Census 2022 report,Liberia Institute of Statistics and Geo-Information Services,2023,https://www.lisgis.gov.lr/document/LiberiaCensus2022Report.pdf,2026-09-01,census_report,"Executive summary: population 5,250,187; literacy 59.9% in a simple language",Country learning/literacy context.,Liberia,No Liberian Kreyol or script count.
LR_MOE_ESP,Education Sector Plan 2022/23-2026/27,Liberia Ministry of Education,2022,https://moe.gov.lr/,2026-09-01,policy_page,Education Sector Plan link and national curriculum portal,Formal-system functional context.,Liberia,No exact Kreyol stage mapping verified in this bounded audit.
MA_HCP_AMAZIGH_2024,Use of the Amazigh language: RGPH 2024 note,Haut-Commissariat au Plan du Maroc,2026,https://www.hcp.ma/file/242745/,2026-09-01,census_note,2024 daily Amazigh use 24.8%; urban 19.9%; rural 33.3%,Current aggregate context.,Morocco,No variant split in the note; retained only as secondary context.
MA_HCP_Q2014,RGPH 2014 questionnaire,Haut-Commissariat au Plan du Maroc,2014,https://www.rgph2014.hcp.ma/Questionnaire-du-RGPH-2014_a89.html,2026-09-01,census_metadata,Questionnaire note: first census question on reading/writing Amazigh in Tifinagh,Defines the Tifinagh literacy construct.,Morocco,Does not make oral variety counts into script-reader counts.
MA_HCP_RGPH2014,RGPH 2014 national demographic and socio-economic characteristics,Haut-Commissariat au Plan du Maroc,2015,https://www.hcp.ma/file/230026/,2026-09-01,census_report,"Table E17 p.81: age 10+ written-language literacy including Amazigh 542,781; Table E18 p.81: local-language use counts",Exact census constructs for Moroccan rows.,Morocco,Local-language use permits multiple responses; it is not script literacy.
MA_IRCAM_MOOC,Launch of MOOC-IRCAM,Institut Royal de la Culture Amazighe,2024,https://www.ircam.ma/fr/%C3%A9v%C3%A8nement/Coup_d%27envoi_officiel_des_cours_d%27enseignement_%C3%A0_distance_de_la_langue_amazighe_%3A_MOOC-IRCAM,2026-09-01,implementation_page,"Free distance courses in northern, central and southern variants",Direct functional variety-aware access.,Morocco,Online accessibility/offline and reuse licences unverified.
MA_IRCAM_TIFAWIN,Tifawin a Tamazight,Institut Royal de la Culture Amazighe,2007,https://www.ircam.ma/fr/node/325,2026-09-01,curriculum_resource,Student manuals and teacher guides covering first five primary years,Direct functional Neo-Tifinagh school resources.,Morocco,Standard resource; spoken-variety comprehension and licence coverage remain separate.
MG_INSTAT_CENSUS_2018,Troisième Recensement Général de la Population et de l'Habitation: Résultats globaux,Institut National de la Statistique Madagascar,2021,https://instat.mg/documents/upload/main/INSTAT_RGPH3-Definitif-ResultatsGlogaux-Tome1_17-2021.pdf,2026-09-01,census_report,Table 31 p.47: age 3+ language ability; Table 33 p.49: age 11+ literacy by language,Compatible Malagasy ability interval and literacy/non-overlap context.,Madagascar,Reported percentages rounded to one decimal; French/English literacy categories overlap.
MG_MOE_PROGRAMS,Official school programmes and lycée resources,Madagascar Ministry of National Education,n.d.,https://www.education.gov.mg/systeme-educatif/lycee/,2026-09-01,curriculum_page,"Downloadable subject programmes, including Malagasy and French",Direct functional curricular access.,Madagascar,Licence and offline completeness unverified.
MG_UNICEF_LUL,Learning on: learning from the Madagascar experience,UNICEF Madagascar,n.d.,https://www.unicef.org/madagascar/en/documents/learning-learning-madagascar-experience-improve-access-secondary-education-vulnerable,2026-09-01,implementation_page,"Malagasy lower-secondary materials, bilingual dictionaries and 35,000 self-learning textbook recipients",Direct functional and offline/self-study evidence.,Madagascar,"Programme-specific, not nationwide inventory or open licence."
ML_WB_CONVERGENT,Mali Education Sector Expenditure Program annex on pédagogie convergente,World Bank,2003,https://documents1.worldbank.org/curated/en/968431468756910910/pdf/273450ML.pdf,2026-09-01,project_document,Additional Annex 9: mother tongue first year; French progressively from year two through grades 7-9,Stage transition context.,Mali,Historical programme; no Maasina Fulfulde-specific coverage count.
NE_UIL_ABC_2024,Alphabetisation de base par cellulaire (ABC) / Mobiles 4 Literacy,UNESCO Institute for Lifelong Learning,2024,https://www.uil.unesco.org/fr/litbase/alphabetisation-de-base-par-cellulaire-abc-mobiles-4-literacy-niger,2026-09-01,program_page,Implementation and language sections: local instruction in Hausa or Zarma; basic literacy and SMS/mobile practice,Direct functional mobile-literacy delivery in named languages.,Niger,"No script-specific reach, open licence, accessibility audit or national coverage claim."
NE_UNICEF_MLE_2022,Multilingual education in Niger: sociolinguistic situation and implementation review,UNICEF West and Central Africa,2022,https://www.unicef.org/wca/media/9196/file/Etude%20MLE%20-%20rapport%20complet.pdf,2026-09-01,research_report,Sociolinguistic context and section 2: French as principal medium; Hausa-French bilingual schooling since 1973-74; national-language legal framework,Country-stage multilingual-education evidence.,Niger,The report does not enumerate Hausa readers by Boko/Ajami script.
NG_LEARNING_PASSPORT_2024,Nigeria Learning Passport reaches one million subscribers,UNICEF Nigeria,2024,https://www.unicef.org/nigeria/press-releases/nigeria-learning-passport-reaches-one-million-subscribers-milestone-educational,2026-09-01,implementation_page,"Features list: English, Hausa, Igbo, Yoruba; free, data-free, offline download",Direct functional/offline evidence for named languages.,Nigeria,"Does not establish Ajami, Fulfulde or Nigerian Pidgin coverage; content licences vary."
NG_NERDC_LDC,Language Development Centre achievements,Nigerian Educational Research and Development Council,n.d.,https://www.nerdc.gov.ng/content_manager/ldc_achievements.html,2026-09-01,administrative_page,"Curricula for Hausa, Igbo, Yoruba and Fulfulde; bilingual dictionaries; Pidgin translation example",Functional institutional resource-development evidence.,Nigeria,Inventory is not exhaustive and gives no open licences.
NG_UNICEF_FACTS_2023,Nigeria Education Fact Sheets 2023,UNICEF Nigeria,2023,https://www.unicef.org/nigeria/media/9211/file/Nigeria%20Education%20Fact%20Sheets,2026-09-01,assessment_report,p.14 Figure 19: foundational reading by ethnicity; p.15 Figure 21: home/school-language grouping,Ethnicity- and language-group learning evidence.,Nigeria,Ethnicity is not a language or script denominator.
NG_UNICEF_LIE,Language in Education in Nigeria: Phase II report,UNICEF Nigeria,2022,https://www.unicef.org/nigeria/media/7861/file/Language%20in%20Education%20Report.pdf,2026-09-01,research_report,"p.45: immediate-environment language first three primary years, progressive English from year four; pp.45-48 implementation/materials discussion",National policy-to-practice stage evidence.,Nigeria,Not a speaker or script count.
RW_EDUCATION_LAW_2021,Law No. 010/2021 governing education,Republic of Rwanda,2021,https://rwandalii.org/akn/rw/act/law/2021/10/eng%402021-02-18,2026-09-01,law,Article 20,English is the medium of instruction.,Rwanda,National legal context.
RW_NISR_EDUCATION_2022,Fifth Rwanda Population and Housing Census: Education characteristics of Population,National Institute of Statistics of Rwanda,2023,https://www.statistics.gov.rw/sites/default/files/documents/2025-02/Education.pdf,2026-09-01,census_report,"Table 7.7: age 15+ language literacy; Kinyarwanda 78.3%, English 21.2%, French 8.2%, Swahili 4.0%; definition requires reading, writing and understanding",Compatible adult language-literacy constructs and academic-language overlap context.,Rwanda,Language rates overlap; percentage-rounding intervals are not sampling confidence intervals.
RW_REB_KISWAHILI,"Kiswahili ECLPE, SME & SSE course",Rwanda Education Board,2021,https://uat-coremis.reb.rw/course/view.php?id=1088&section=1,2026-09-01,curriculum_resource,Course landing page and uploaded student/teacher guides,Direct functional curricular access.,Rwanda,Access/licence/offline completeness not independently verified.
SD_UNICEF_LP,The Learning Passport,UNICEF Sudan,2022,https://www.unicef.org/sudan/reports/learning-passport,2026-09-01,implementation_page,Arabic/English; online and offline,Direct country functional/offline evidence.,Sudan,Not Sudanese-Arabic-specific and not automatically open licensed.
SL_LASS_2021,Learning and School Safety Study 2021,Sierra Leone Ministry of Basic and Senior Secondary Education,2022,https://mbsse.gov.sl/wp-content/uploads/2022/04/LASS-Study_BN1_Pupil-Learning_WEB_2.pdf,2026-09-01,assessment_report,"p.6 Figure 6: English/Krio versus other home-language learning; 54% English/Krio, footnote only 2% English",Pidgin/English-group learning and instruction-language context.,Sierra Leone,"Survey pupil group, not a national Krio population count."
SL_MBSSE_ACT_2023,Basic and Senior Secondary Education Act 2023,Sierra Leone Ministry of Basic and Senior Secondary Education,2023,https://mbsse.gov.sl/wp-content/uploads/2023/06/Basic-and-Senior-Secondary-Education-Act-2023-.pdf,2026-09-01,law,Section 84: English instruction; local/community language allowed ages 3-8,Stage-specific language-of-instruction law.,Sierra Leone,No Krio implementation denominator.
SL_STATS_CENSUS_2015,2015 Population and Housing Census national analytical report,Statistics Sierra Leone,2017,https://www.statistics.sl/images/StatisticsSL/Documents/Census/2015/2015_census_national_analytical_report.pdf,2026-09-01,census_report,"Population 7,092,113; language narrative identifies Mende, Temne, then Krio",Krio country context.,Sierra Leone,No compatible Krio user count is supplied.
SN_ANSD_CENSUS_2013,RGPHAE 2013 final report,Agence Nationale de la Statistique et de la Démographie du Sénégal,2014,https://www.ansd.sn/sites/default/files/recensements/rapport/rapport_national/Rapport-definitif-RGPHAE2013.pdf,2026-09-01,census_report,Tables 3.6-3.7: age 10+ literacy in national languages and Arabic; Pulaar 0.8%,Script-unspecified Pulaar literacy context.,Senegal,Not assigned to Latin or Adlam population fields.
SN_WB_LANGUAGE,Learning to read in a language children understand,World Bank,n.d.,https://blogs.worldbank.org/en/education/learning-read-language-children-understand,2026-09-01,implementation_article,"Senegal local-language programmes, including Pulaar, alongside French formal schooling",Stage/program context.,Senegal,"Programme evidence, not national Pulaar exposure rate."
SO_UNESCO_RADIO_2024,Somalia celebrates World Radio Day 2024,UNESCO,2024,https://www.unesco.org/en/articles/somalia-celebrates-world-radio-day-2024,2026-09-01,implementation_page,Radio reach and oral/low-print context,Direct delivery-channel evidence.,Somalia,No language-specific listener count.
SO_UNFPA_PESS_2014,Population Estimation Survey of Somalia 2014,UNFPA Somalia,2014,https://somalia.unfpa.org/sites/default/files/pub-pdf/Population-Estimation-Survey-of-Somalia-PESS-2013-2014.pdf,2026-09-01,population_survey,"p.22: estimated population 12,316,895 and settlement categories",Territorial exposure ceiling.,Somalia,Not a Somali-language user count; excludes later growth.
STP_RGPH2012_LANG,Resultados Nacionais do IV Recenseamento Geral da População e da Habitação 2012,Instituto Nacional de Estatística de São Tomé e Príncipe,2013,https://www.ine.st/phocadownload/userupload/Documentos/Recenseamentos/2012/Dados%20Distritais%20e%20Nacional%20Recenseamento%202012/Resultados%20Nacionais%20do%20IV%20RGPH%202012.pdf,2026-09-03,official census report,"Quadro 10, PDF p. 48","Direct multiple-response resident counts for Portuguese, Forro, Angolar and Lung'Ie.",São Tomé and Príncipe residents,"Spoken-language responses overlap; not L1, literacy or exclusive identity."
TZ_IESALC_2025,Higher Education Policy Observatory: Tanzania country profile,UNESCO IESALC,2025,https://hepo.iesalc.unesco.org/pc/static/countrydocs/cp/2025/tza/tza_HEEdPlanLi.pdf,2026-09-01,policy_profile,Language-of-instruction section,Kiswahili primary versus English secondary/higher transition.,Tanzania,"System evidence, not an individual exposure count."
TZ_NBS_CENSUS_2022,2022 Population and Housing Census: Initial Results,Tanzania National Bureau of Statistics,2022,https://www.nbs.go.tz/uploads/statistics/documents/sw-1720088450-2022%20PHC%20Initial%20Results%20-%20English.pdf,2026-09-01,census_report,"Summary of Key Indicators: Mainland 59,851,347; Zanzibar 1,889,773",Territorial exposure ceilings.,Tanzania,Not language-user or literacy counts.
UG_NCDC_KISWAHILI,Kiswahili: A subject on the Ugandan School Curriculum,Uganda National Curriculum Development Centre,2022,https://ncdc.go.ug/wp-content/uploads/2025/09/Curriculum-Magazine-Issue-04-10.10.2022-Web-file-1.pdf,2026-09-01,curriculum_document,"p.10, Cabinet decision and implementation status",Kiswahili as compulsory/examinable subject and implementation gap.,Uganda,"Kiswahili subject evidence, not medium-of-instruction reach."
UG_NCDC_KISW_RES,Kiswahili lower-secondary syllabus and prototype textbook,Uganda National Curriculum Development Centre,2020,https://ncdc.go.ug/wp-content/uploads/2024/02/KISWAHILI_TEXTBOOK_-_SENIOR_ONE_Prototype.pdf,2026-09-01,curriculum_resource,Cover/copyright notice and Senior One prototype contents,Direct functional school resource for Ugandan Kiswahili.,Uganda,Reproduction restricted for commercial gain; not treated as open/adaptable OER.
UG_NCDC_PRIMARY,National Curriculum Development Centre directorates,Uganda National Curriculum Development Centre,2026,https://ncdc.go.ug/directoratesn/,2026-09-01,curriculum_page,Primary Phase 2 (P4) transition to English; Phase 3 (P5-P7) English primary medium,Stage-specific English transition.,Uganda,Current web description; no learner cross-tab.
UNESCO_AFRICAN_LANG_AI,African languages: the blind spot of artificial intelligence,UNESCO,2024,https://www.unesco.org/en/articles/african-languages-blind-spot-ai,2026-09-01,institutional_article,Hausa example and Nigeria-wide cluster statement,Hausa cluster/digital-functionality context.,Nigeria and Africa,Cluster/oral reach is never assigned to Boko or Ajami population fields.
UNESCO_KISWAHILI,World Kiswahili Language Day,UNESCO,n.d.,https://www.unesco.org/en/days/kiswahili-language?hub=71635,2026-09-01,institutional_page,Overview statement: more than 200 million users,Cross-border cluster context only.,"Eastern, Central and Southern Africa","Never allocated to a national, variety or script row."
UNESCO_NG_LANGUAGE_REVIEW,The state of language development in Nigeria,UNESCO,1988,https://unesdoc.unesco.org/in/rest/annotationSVC/DownloadWatermarkedAttachment/attach_import_fb201c1b-b6b1-47c1-90d7-6ee59e15df9d?_=149503engo.pdf,2026-09-01,language_report,Nigerian Pidgin section: formal written corpus/orthography constraints,Historical formal-resource development context.,Nigeria,Later harmonization efforts exist; read with IFRA source.
UNICEF_LANGUAGE_LEARNING_2016,The impact of language policy and practice on children's learning: Evidence from Eastern and Southern Africa,UNICEF,2016,https://www.unicef.org/esa/sites/unicef.org.esa/files/2018-09/UNICEF-2016-Language-and-Learning-FullReport.pdf,2026-09-01,research_report,Country reviews: Burundi pp.34-37; Eritrea pp.40-43; Ethiopia pp.44-47; Kenya pp.48-49; Madagascar pp.54-55; Rwanda pp.66-69; Somalia pp.71-73; South Africa pp.76-80; South Sudan pp.81-85; Tanzania pp.87-90; Uganda pp.91-94,Country-stage policy/practice and implementation evidence.,Eastern and Southern Africa,Published 2016; later laws/policies supersede where cited.
UNICEF_LP_OFFLINE,Offline Learning,UNICEF Learning Passport,n.d.,https://www.unicef.org/learningpassport/offline-learning,2026-09-01,implementation_page,Hub/learner-device and physical-sync ('sneakernet') concepts,Feasibility of low/no-connectivity delivery; not evidence of deployment or language coverage in every row.,Global,A transfer context only unless a country-specific source is also cited.
UNICODE_HAUSA_AJAMI_2018,Proposal to encode Arabic-script Hausa characters,Unicode Consortium,2018,https://www.unicode.org/L2/L2018/18094-arabic-hausa.pdf,2026-09-01,technical_standard,Character inventory and usage evidence,Hausa Ajami is a living distinct script route.,Hausa-use regions,Encoding/usage evidence only; no Ajami reader denominator.
UNICODE_TIFINAGH,Unicode Technical Note 59: Modern Tifinagh Orthographies,Unicode Consortium,2025,https://www.unicode.org/notes/tn59/tn59-1.html,2026-09-01,technical_standard,"IRCAM subset, modern Tuareg letters and language-specific glyph variants",Script/variety separation evidence.,North Africa and Sahara,Encoding guidance; no reader counts.
WB_ARABIC_2021,Advancing Arabic Language Teaching and Learning,World Bank,2021,https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa,2026-09-01,regional_report,Diglossia and formal-Arabic/home-variety discontinuity sections,Regional structural evidence for named Arabic varieties.,Middle East and North Africa,Transport is limited to the shared structural discontinuity; no row-level effect or population estimate.
WB_WDI_COMPLETION_2026,"Primary completion rate, total (% of relevant age group)",World Bank World Development Indicators,2026,https://data.worldbank.org/indicator/SE.PRM.CMPT.ZS,2026-09-01,indicator_dataset,Indicator SE.PRM.CMPT.ZS; latest non-null observation by country; API last updated 2026-07-13,Country-level gross primary-completion context.,Countries in dataset,May exceed 100; not language-disaggregated.
WB_WDI_ELECTRICITY_2026,Access to electricity (% of population),World Bank World Development Indicators,2026,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS,2026-09-01,indicator_dataset,Indicator EG.ELC.ACCS.ZS; latest non-null observation by country; API last updated 2026-07-13,Country-level electricity context.,Countries in dataset,"Not cross-tabulated by language, script, disability or schooling."
WB_WDI_INTERNET_2026,Individuals using the Internet (% of population),World Bank World Development Indicators,2026,https://data.worldbank.org/indicator/IT.NET.USER.ZS,2026-09-01,indicator_dataset,Indicator IT.NET.USER.ZS; latest non-null observation by country; API last updated 2026-07-13,Country-level connectivity context.,Countries in dataset,"Not cross-tabulated by language, script, disability or schooling."
WMF_TERMS,Wikimedia Foundation Terms of Use,Wikimedia Foundation,2024,https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,2026-09-01,license_policy,Section 7: Licensing of Content,Licence context for Wikimedia user-contributed text.,Wikimedia projects,Per-page exceptions and attribution/share-alike obligations still apply.
WMF_WIKI_STATS_20260901,Wikipedia site statistics data table,Wikimedia Commons,2026,https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab?action=raw,2026-09-01,open_catalog_snapshot,Rows for named *.wikipedia sites; articles column; retrieved 2026-09-01; table license CC0-1.0,Reproducible open general-reference article-count snapshot.,Global language editions,Edition counts are not curriculum/OER completeness measures and do not establish country or script coverage beyond the edition.
ZA_DBE_MTBBE_2025,Mother Tongue-Based Bilingual Education,South Africa Department of Basic Education,2025,https://www.education.gov.za/Programmes/MTbBE.aspx,2026-09-01,implementation_page,Grade 4 transition evidence and curriculum/toolkit rollout,Direct stage and functional-resource evidence for official African languages.,South Africa,No row-specific learner denominator or open licence stated.
ZA_DBE_PIRLS_2021,PIRLS 2021 South African Preliminary Highlights Report,South Africa Department of Basic Education,2023,https://www.education.gov.za/Portals/0/Documents/Reports/2023/PIRLS%202021_Highlights%20Reports.pdf,2026-09-01,assessment_report,p.7 Figure 6: 81% Grade 4 below low international benchmark; Grade 6 56%,National learning endpoint context.,South Africa,Not isiZulu/isiXhosa-specific in this extract.
ZA_STATSSA_CENSUS_2022,Census 2022 Statistical Release,Statistics South Africa,2023,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,2026-09-01,census_report,"Table 2.8 p.22: isiZulu 24.4%, isiXhosa 16.3%",Household-language distribution.,South Africa,Question is language most often spoken in household; universe age 1+.
ZA_STATSSA_METADATA_2022,Census 2022 ten-percent metadata,Statistics South Africa,2024,https://census.statssa.gov.za/assets/documents/2022/Census2022tenpercentmetadata.pdf,2026-09-01,census_metadata,Variable P08: language most often spoken in household; universe age 1+,Definition for census language counts.,South Africa,"Not necessarily mother tongue, work language or literacy."
ZA_UNDATA_LANGUAGE_2022,"Population by language, sex and urban/rural residence",United Nations Statistics Division,2024,"https://data.un.org/Data.aspx?c=2,3,6,8,10,12,14,15,16&d=POP&f=tableCode:27%3BcountryCode:710&s=refYear:desc",2026-09-01,census_dataset,"South Africa 2022, both sexes, total: age 1+ 60,135,415; isiZulu 14,613,202; isiXhosa 9,786,928",Exact national-authority-reported count anchors.,South Africa,UNdata republishes final national census tabulation.
