edition_target_id,edition_key,target_kind,canonical_target_id,regional_stratum_id,language_tags,language_variety_names,scripts_orthographies,territories_communities,language_mode,exactness,effective_order_l_target,disposition,evidence_identity_count,row_sha256
edition-target:lang:aeb-Latn-TN,lang:aeb-Latn-TN,canonical_language_edition,lang:aeb-Latn-TN,,aeb-Latn-TN,Tunisian Arabic,"Latin romanization; optional learner/search aid, never the only edition",TN,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,47b467f89fc8bca1589aa682048bf4c0b1317a2dbbbda2a55398e197d1c4a1ff
edition-target:lang:af-Latn-ZA,lang:af-Latn-ZA,sentinel_exact_edition,,,af-Latn-ZA,Afrikaans,Latin,South Africa and Namibia,written_or_multimodal,exact_sentinel_target,true,GLOBAL_SENTINEL_EXACT_TARGET_NO_POPULATION_INFERENCE,0,a1fdbef5590ba898b94d81df05e0ff3e16917bee092d3b5e2cb278f62523d5e1
edition-target:lang:afb-Arab-AE,lang:afb-Arab-AE,canonical_language_edition,lang:afb-Arab-AE,,afb-Arab-AE,Gulf Arabic — United Arab Emirates,Arabic,United Arab Emirates,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,dd7270b0160d83cee0052260fe6ecc34914285b5991905b4c44a7877eee49783
edition-target:lang:afb-Arab-BH,lang:afb-Arab-BH,canonical_language_edition,lang:afb-Arab-BH,,afb-Arab-BH,Gulf Arabic — Bahrain,Arabic,Bahrain,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,2f35e6fd7c907959b3f30fafc77c2e1dc1daf9b03db89b4375a3486bf6d4cbbb
edition-target:lang:afb-Arab-KW,lang:afb-Arab-KW,canonical_language_edition,lang:afb-Arab-KW,,afb-Arab-KW,Gulf Arabic — Kuwait,Arabic,Kuwait,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,26f02673641d5d5a2a8c2a0cbc34c1092e8c2b85db776bd412b805550f6dc54c
edition-target:lang:afb-Arab-QA,lang:afb-Arab-QA,canonical_language_edition,lang:afb-Arab-QA,,afb-Arab-QA,Gulf Arabic — Qatar,Arabic,Qatar,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,730221cdf8d31f85bb1340216405318bb5bba07eb3568700475e84b7554f239b
edition-target:lang:agr-PE,lang:agr-PE,canonical_language_edition,lang:agr-PE,,agr-PE,Awajún,Official Latin Awajún alphabet,Peru; Awajún communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,b495293e4708c907ead8a033711dd4c34a42748b2afda80209784be1259c3921
edition-target:lang:agu-GT,lang:agu-GT,canonical_language_edition,lang:agu-GT,,agu-GT,Awakateko,ALMG-standard Latin orthography for Awakateko,Guatemala; ALMG language communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,6776c37b9558a3ba3a8c19f2fb5389200e41937a7dc2e9e19d041b188b3a22fc
edition-target:lang:aji-Latn-NC,lang:aji-Latn-NC,canonical_language_edition,lang:aji-Latn-NC,,aji-Latn-NC,Ajië,Ajië Latin orthography with diacritics,New Caledonia; Ajië-using communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,82722ee99fdeb13ad9be5f92eff9c06b74cd4c792409032e753d224e726eed34
edition-target:lang:ajp-Arab-JO,lang:ajp-Arab-JO,canonical_language_edition,lang:ajp-Arab-JO,,ajp-Arab-JO,South Levantine Arabic — Jordan,Arabic,Jordan,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,681ec3b3eb2efc8277be98056c277d6722365d151bc72c21140c2e75f53c4573
edition-target:lang:ajp-Arab-PS,lang:ajp-Arab-PS,canonical_language_edition,lang:ajp-Arab-PS,,ajp-Arab-PS,South Levantine/Palestinian Arabic,Arabic,Palestine-refugee communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,f8118d26ff5e5674e234b655cce78d39fc99996ab9a5108df0a40fd31c17f2f6
edition-target:lang:akl-Latn-PH,lang:akl-Latn-PH,canonical_language_edition,lang:akl-Latn-PH,,akl-Latn-PH,Aklanon,Latin,"Aklan, Philippines; Aklanon communities",written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,916f731603862d2f1839d5b9bbda6a1e4a1925b63a567cd2847fa9cf55b8ec56
edition-target:lang:alc-CL,lang:alc-CL,canonical_language_edition,lang:alc-CL,,alc-CL,Kawésqar,Latin; community-approved Kawésqar orthography,Chile; Kawésqar communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,9a56a2cce7c25a18537df95552cb759aac2fae8b16117fc634d4c6dc0f815389
edition-target:lang:ale-US,lang:ale-US,canonical_language_edition,lang:ale-US,,ale-US,Unangam Tunuu,Latin; Eastern or Western Unangam variety must be resolved,United States; Unangam Tunuu communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,7fa67757281143190a5701a335d876b4bf24fd04e45a9ead7ba0e24e5f868c3f
edition-target:lang:alq-CA,lang:alq-CA,canonical_language_edition,lang:alq-CA,,alq-CA,Anicinabemowin / Algonquin,Community Latin orthography,"Canada; Anicinabemowin / Algonquin communities, including urban/reclamation learners",written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,58e0cee47d896449866454fae628ee1efa5813b3ad9a630e1faf0dd665f98db8
edition-target:lang:am-Ethi-ET,lang:am-Ethi-ET,canonical_language_edition,lang:am-Ethi-ET,,am-Ethi-ET,Amharic;Standard Amharic,Ethiopic;Ethiopic; normalized and font-embedded,Ethiopia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,2,8a14dcc29a2479c14b9f8237c46fe3366071f41150e683883076be5d596700e7
edition-target:lang:ane-Latn-NC,lang:ane-Latn-NC,canonical_language_edition,lang:ane-Latn-NC,,ane-Latn-NC,Xârâcùù,Xârâcùù Latin orthography with diacritics,New Caledonia; Xârâcùù-using communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,156ab9490a4f1f9d87083211ebf6097fd173cba78a8724750c41b9c2dba2111e
edition-target:lang:anu-Latn-ET,lang:anu-Latn-ET,canonical_language_edition,lang:anu-Latn-ET,,anu-Latn-ET,Anuak,Latin; Ethiopia educational orthography,Ethiopia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,bafcb78fef7173166e31645c3820a1e91ffa46c016d040cea2b3ebe38824c5b9
edition-target:lang:any-Latn-CI,lang:any-Latn-CI,canonical_language_edition,lang:any-Latn-CI,,any-Latn-CI,Anyin,Latin; Anyin standard,Côte d'Ivoire,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,c6f90dd20aebdddfed9c4f5bd58b7c5ad65ec623868229a0058945f3b1108f73
edition-target:lang:aoa-Latn-ST,lang:aoa-Latn-ST,canonical_language_edition,lang:aoa-Latn-ST,,aoa-Latn-ST,Angolar,Latin; community orthography,"São Tomé and Príncipe, São Tomé",written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,a874d43c94010343524e53ed4f19d6c3a594bdca235091df8d0133f753159aa5
edition-target:lang:aoc-VE,lang:aoc-VE,canonical_language_edition,lang:aoc-VE,,aoc-VE,Pemón — Taurepán,Latin; community-approved Pemón — Taurepán orthography,Venezuela; Pemón — Taurepán communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,9f7657bb87ba05c3336688e9b622052e9fed3f3ddf6362e8458fb25a0d3fb7e7
edition-target:lang:apc-Arab-001,lang:apc-Arab-001,sentinel_exact_edition,,,apc-Arab-001,North Levantine Arabic,Arabic,Levant,written_or_multimodal,exact_sentinel_target,true,GLOBAL_SENTINEL_EXACT_TARGET_NO_POPULATION_INFERENCE,0,2103144f1b5e248a5001e203027897007b598c981c72bad0f88f9d7cb196acad
edition-target:lang:apc-Arab-LB,lang:apc-Arab-LB,canonical_language_edition,lang:apc-Arab-LB,,apc-Arab-LB,North Levantine Arabic — Lebanon,Arabic,Lebanon,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,597b3b5f105f010428cd091eab39a875bb907dac714d14e7c1eea3703ba96e0b
edition-target:lang:apc-Arab-SY,lang:apc-Arab-SY,canonical_language_edition,lang:apc-Arab-SY,,apc-Arab-SY,North Levantine Arabic,Arabic,Syrian refugees worldwide,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,0eeed14a49a6c7fc07bce73850f7afbe89f3d7baae0de5ef521add0fd0df9c96
edition-target:lang:apd-Arab-SD,lang:apd-Arab-SD,canonical_language_edition,lang:apd-Arab-SD,,apd-Arab-SD,Sudanese Arabic,Arabic; graded-vowel support in paired Modern Standard Arabic,SD,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,2,c78988fb909737fa502a5ecbf4b60ba74c067af22d1533df67c7dd1500017a1e
edition-target:lang:apd-Latn-SD,lang:apd-Latn-SD,canonical_language_edition,lang:apd-Latn-SD,,apd-Latn-SD,Sudanese Arabic,"Latin romanization; optional learner/search aid, never the only edition",SD,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,d9914dc645a15daa327f0918a0b4eea1a0455bbd1b565165f9b3b1e486e37282
edition-target:lang:aqt-PY,lang:aqt-PY,canonical_language_edition,lang:aqt-PY,,aqt-PY,Angaité,Latin; community-approved Angaité orthography,Paraguay; Angaité people,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,680c17d2e77ce2aedf859fce15334de2ceaeac8ec5895f7b2b3467bf92276447
edition-target:lang:ar-Arab-001,lang:ar-Arab-001,sentinel_exact_edition,,,ar-Arab-001,Modern Standard Arabic,Arabic,Arabic-using education systems,written_or_multimodal,exact_sentinel_target,true,GLOBAL_SENTINEL_EXACT_TARGET_NO_POPULATION_INFERENCE,0,a3fd782726368a4c014ca646c58845f426221b879bfaa0b311b4bd213719ec29
edition-target:lang:arb-Arab-001,lang:arb-Arab-001,canonical_language_edition,lang:arb-Arab-001,,arb-Arab-001,Modern Standard Arabic,Arabic,Arabic-speaking world,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,3,55ac3c9b3fb966e0ba7c8d762b44ee2881b1d79135e8c72f29e00b22b1b378e6
edition-target:lang:arn-AR,lang:arn-AR,canonical_language_edition,lang:arn-AR,,arn-AR,Argentina Mapuche,Latin; community-approved Argentina Mapuche orthography,Argentina; people self-identifying as Argentina Mapuche,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,51652d13324b76ca7e6caec080241d4a5a00622001909a7b260890f3faf5d6ab
edition-target:lang:arn-CL:variety:chezungun-williche-mapudungun,lang:arn-CL:variety:chezungun-williche-mapudungun,canonical_language_edition,lang:arn-CL:variety:chezungun-williche-mapudungun,,arn-CL,Chezungun / Williche Mapudungun,"Latin; support Wirilzugun, Raguileo, Unificado, and Azümchefe reversibly; local variety layer required",Chile; Chezungun / Williche Mapudungun communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,4ea0ec7e8a3a08b39581bae5c6076dcace10e74df994eb4b148bcd8dc25ff0e1
edition-target:lang:arn-CL:variety:mapuzugun-exact-regional-variety-required,lang:arn-CL:variety:mapuzugun-exact-regional-variety-required,canonical_language_edition,lang:arn-CL:variety:mapuzugun-exact-regional-variety-required,,arn-CL,Mapuzugun — exact regional variety required,"Latin; support Wirilzugun, Raguileo, Unificado, and Azümchefe reversibly; local variety layer required",Chile; Mapuzugun — exact regional variety required communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,0e91b4b4a6a703eb9be09db68069ebda1c493c83ffb159c42609bbab4cdc1ab3
edition-target:lang:arq-Arab-DZ,lang:arq-Arab-DZ,canonical_language_edition,lang:arq-Arab-DZ,,arq-Arab-DZ,Algerian Darja,Arabic; graded-vowel support in paired Modern Standard Arabic,DZ,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,0d9bf96aaca6a4aace462881792b5c063167dd308dbbf77092346be79bbb831f
edition-target:lang:arq-Latn-DZ,lang:arq-Latn-DZ,canonical_language_edition,lang:arq-Latn-DZ,,arq-Latn-DZ,Algerian Darja,"Latin romanization; optional learner/search aid, never the only edition",DZ,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,1c536b47a5e8f16758f341a14dcca3b75bd842cb4ce13788adf8c546ba5fc89c
edition-target:lang:ars-Arab-SA,lang:ars-Arab-SA,canonical_language_edition,lang:ars-Arab-SA,,ars-Arab-SA,Najdi Arabic — Saudi Arabia,Arabic,Saudi Arabia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,57aa7722a5ac8a2c168d9dd4c30c9b3de414bb98a437c0a1757bf5bbd494d9f5
edition-target:lang:arw-SR,lang:arw-SR,canonical_language_edition,lang:arw-SR,,arw-SR,Lokono / Arawak,Latin; community-approved Lokono / Arawak orthography,Suriname interior; Lokono / Arawak communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,a9fdcf2d8431a8fff8fc306f775ff4be78df678c508837b21c3cb8f7352ae843
edition-target:lang:ary-Arab-MA,lang:ary-Arab-MA,canonical_language_edition,lang:ary-Arab-MA,,ary-Arab-MA,Moroccan Arabic;Moroccan Darija,Arabic;Arabic; graded-vowel support in paired Modern Standard Arabic,MA;Morocco,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,92da4fed150bd3b5089792dde22ce0dfdd0a6cab2b6596cc422df01ecf479c6d
edition-target:lang:ary-Latn-MA,lang:ary-Latn-MA,canonical_language_edition,lang:ary-Latn-MA,,ary-Latn-MA,Moroccan Darija,"Latin romanization; optional learner/search aid, never the only edition",MA,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,1ef0e5106431bd293c5697cac2b946decf7a8538a1da98b41bcef2176c16da6b
edition-target:lang:arz-Arab-EG,lang:arz-Arab-EG,canonical_language_edition,lang:arz-Arab-EG,,arz-Arab-EG,Egyptian Arabic,Arabic;Arabic; graded-vowel support in paired Modern Standard Arabic,EG;Egypt,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,2,39d3b0a5cfa12ce0aacec6e8aa5a237a02c1e67a8c6edfc4cab2bcde4afb90be
edition-target:lang:arz-Latn-EG,lang:arz-Latn-EG,canonical_language_edition,lang:arz-Latn-EG,,arz-Latn-EG,Egyptian Arabic,"Latin romanization; optional learner/search aid, never the only edition",EG,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,450b1de883f11905fb3e4b80187ea8ecd1cd2546307a1d657b305682a016da56
edition-target:lang:as-Beng-IN,lang:as-Beng-IN,canonical_language_edition,lang:as-Beng-IN,,as-Beng-IN,Assamese,Assamese variant of Eastern Nagari script,India; Assam,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,3e0cd6553a3f8763d39eefd1444349b970da3f2033ec29c9d7953b0d967f1b9d
edition-target:lang:ase-CA,lang:ase-CA,canonical_language_edition,lang:ase-CA,,ase-CA,American Sign Language in Canada,Visual-manual; no primary written script,Canada; American Sign Language in Canada communities,signed,exact,true,CANONICAL_V2_EDITION,2,38b71138ecd64d82d901cc5613364162cbd3a43f78d8827c0ee014510aeb2017
edition-target:lang:ase-US,lang:ase-US,canonical_language_edition,lang:ase-US,,ase-US,American Sign Language;American Sign Language in the United States,Visual-manual; no ordinary script;Visual-manual; no primary written script; pair with written English,United States;United States; ASL-using Deaf communities,signed,exact,true,CANONICAL_V2_EDITION,1,b058568a13fac3b400afdb0d50b4be54ffa4ce6a755620ff5150d55ebb3cde8f
edition-target:lang:ase-US:community:guam,lang:ase-US:community:guam,canonical_language_edition,lang:ase-US:community:guam,,ase-US,American Sign Language,Visual-manual language; no written script assumed,Guam; deaf and hard-of-hearing learners,signed,exact,true,CANONICAL_V2_EDITION,0,aad58ae95be496d109b13a13e36bf010e01be1b22b6a8783412ac9999a84a6b9
edition-target:lang:ase-US:community:hawai-i,lang:ase-US:community:hawai-i,canonical_language_edition,lang:ase-US:community:hawai-i,,ase-US,American Sign Language,Visual-manual language; no written script assumed,Hawaiʻi; deaf and hard-of-hearing Hawaiian-medium learners,signed,exact,true,CANONICAL_V2_EDITION,0,b2455d98df68967395a098e2b249c4d5e5cb1a400178e55a890bb54efda7b175
edition-target:lang:ase-US:community:northern-mariana-islands,lang:ase-US:community:northern-mariana-islands,canonical_language_edition,lang:ase-US:community:northern-mariana-islands,,ase-US,American Sign Language,Visual-manual language; no written script assumed,Northern Mariana Islands; deaf and hard-of-hearing learners,signed,exact,true,CANONICAL_V2_EDITION,0,65fdec77466be772e2fc3b7a28f5b8215f011908b5821f9679eb171a352f4a77
edition-target:lang:asf-AU,lang:asf-AU,canonical_language_edition,lang:asf-AU,,asf-AU,Auslan,Visual-manual language; no written script assumed,Australia; deaf and hard-of-hearing learners in Torres Strait,signed,exact,true,CANONICAL_V2_EDITION,1,09513bf6c5a3db56f87698e7afcb628534473fadbd3f3610ffc5b9bc0ca04181
edition-target:lang:auc-EC,lang:auc-EC,canonical_language_edition,lang:auc-EC,,auc-EC,Wao Tededo,Latin; community-approved Wao Tededo orthography,Ecuador; Wao Tededo communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,bf7b40c136047c4b748276bfc70d2f5c1d13d649697684ab1c78b9ee098bfad4
edition-target:lang:aut-Latn-PF-x-rimatara,lang:aut-Latn-PF-x-rimatara,canonical_language_edition,lang:aut-Latn-PF-x-rimatara,,aut-Latn-PF-x-rimatara,Rimatara,Rimatara Latin orthography,French Polynesia; Rimatara community,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,f26e59df6ed92fc54ce3c2cbbf5c5d05cd9207a2cb2687a55ba216054ee08551
edition-target:lang:aut-Latn-PF-x-rurutu,lang:aut-Latn-PF-x-rurutu,canonical_language_edition,lang:aut-Latn-PF-x-rurutu,,aut-Latn-PF-x-rurutu,Rurutu,Rurutu Latin orthography,French Polynesia; Rurutu community,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,937b0bdc44e12d2e3f588c232358e40759bf17d283c66f553d2ac5ed38fd42b2
edition-target:lang:awa-Deva-IN,lang:awa-Deva-IN,canonical_language_edition,lang:awa-Deva-IN,,awa-Deva-IN,Awadhi (India),Devanagari,India; especially Uttar Pradesh,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,d693a52053d8f42bd232eee332c077293648a3f52e4895ff978c9dc2f321c79b
edition-target:lang:awa-Deva-NP,lang:awa-Deva-NP,canonical_language_edition,lang:awa-Deva-NP,,awa-Deva-NP,Awadhi (Nepal),Devanagari,Nepal; Awadhi-speaking Terai communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,6296d33067c428c8cd493928cc585f81d3f618039f4106db43193a0dbbdd2910
edition-target:lang:ayl-Arab-LY,lang:ayl-Arab-LY,canonical_language_edition,lang:ayl-Arab-LY,,ayl-Arab-LY,Libyan Arabic,Arabic; graded-vowel support in paired Modern Standard Arabic,LY,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,0be3ad098b7690c9344abdb4a72b55d9ae2e88933bfd3ceab6276609493e6a7d
edition-target:lang:ayl-Latn-LY,lang:ayl-Latn-LY,canonical_language_edition,lang:ayl-Latn-LY,,ayl-Latn-LY,Libyan Arabic,"Latin romanization; optional learner/search aid, never the only edition",LY,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,9acfcf816a5e9d7592e0451a3dc3a66d38020b0e546e13332f06684aa623b081
edition-target:lang:ayn-Arab-YE,lang:ayn-Arab-YE,canonical_language_edition,lang:ayn-Arab-YE,,ayn-Arab-YE,Sanaani Arabic — Yemen,Arabic,Yemen,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,82e6041804d8156c684e0a3de94516cbee8ea0231e3fb57b881345a0797311cf
edition-target:lang:ayo-PY,lang:ayo-PY,canonical_language_edition,lang:ayo-PY,,ayo-PY,Ayoreo,Latin; community-approved Ayoreo orthography,Paraguay; Ayoreo people,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,e78ff6f0fd43429397f8a328b3d67f3e942e9ea44b2d707fe2b752b0ca0ca44c
edition-target:lang:ayr-AR,lang:ayr-AR,canonical_language_edition,lang:ayr-AR,,ayr-AR,Argentina Aymara,Latin; community-approved Argentina Aymara orthography,Argentina; people self-identifying as Argentina Aymara,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,44e9af96b026c91fe4ce2d014cb118c49f086abce518c8cc01a7dbd786078756
edition-target:lang:ayr-BO,lang:ayr-BO,canonical_language_edition,lang:ayr-BO,,ayr-BO,Bolivian Aymara,Latin; Bolivia official/community Bolivian Aymara orthography,Bolivia; named-language communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,86e3a0314b915cec98d5ee23fc32b62d7a575dc716321ee2f1808998c0e74b51
edition-target:lang:ayr-CL,lang:ayr-CL,canonical_language_edition,lang:ayr-CL,,ayr-CL,Chilean Aymara,Latin; community-approved Chilean Aymara orthography,Chile; Chilean Aymara communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,5e69b0340a85425fbd65b2f5d5878d047b1394948b1a9b03cbe6dcded1abb3c8
edition-target:lang:ayr-Latn-BO,lang:ayr-Latn-BO,canonical_language_edition,lang:ayr-Latn-BO,,ayr-Latn-BO,Aymara varieties,Latin,Bolivia,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,129443086aaf875b225340de435126b257ce29b3d4762f722d30c152d74047e8
edition-target:lang:ayr-PE,lang:ayr-PE,canonical_language_edition,lang:ayr-PE,,ayr-PE,Aymara in Peru,Official Peru Latin Aymara alphabet,Peru; Aymara communities,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,5c71f8ed8a3411394be2311a578f8e66ce4004cc7b0363d33c296c3206bbf8e6
edition-target:lang:az-Latn-AZ,lang:az-Latn-AZ,canonical_language_edition,lang:az-Latn-AZ,,az-Latn-AZ,Azerbaijani,Latin,Azerbaijan,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,2,84070cfb73468b44877aee87fd3f28360c51d0815cf28f6e6ad2c7e756e8ac7e
edition-target:lang:bal-Arab-PK,lang:bal-Arab-PK,canonical_language_edition,lang:bal-Arab-PK,,bal-Arab-PK,Balochi (Pakistan education pack),Balochi Perso-Arabic right-to-left,Pakistan; especially Balochistan,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,1,55fbf952f782f257d2fc254004d50cad230dd3de29a34f2b274f8eee8e223c55
edition-target:lang:ban-Bali-ID,lang:ban-Bali-ID,canonical_language_edition,lang:ban-Bali-ID,,ban-Bali-ID,Balinese,Balinese script; parallel Latin transliteration,Balinese script learners/readers,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,81d82b975786738d4cb874366afb322bab6a32e57f92b0c9526bba46f9b9c70c
edition-target:lang:ban-Latn-ID,lang:ban-Latn-ID,canonical_language_edition,lang:ban-Latn-ID,,ban-Latn-ID,Balinese,Latin core; Balinese script separately tagged,"Bali and Balinese communities, Indonesia",written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,7bb1e691bd2f1caa39f23fdc4e205764ea814d2043e7502b888531200e52cd44
edition-target:lang:bas-Latn-CM,lang:bas-Latn-CM,canonical_language_edition,lang:bas-Latn-CM,,bas-Latn-CM,Basaa,Latin; Cameroon standard,Cameroon,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,c40a25981cc89934334fcee906c809e2cb97d91b5086071c68bde4ba566a7e96
edition-target:lang:bba-Latn-BJ,lang:bba-Latn-BJ,canonical_language_edition,lang:bba-Latn-BJ,,bba-Latn-BJ,Bariba/Baatonum,Latin; Benin standard,Benin,written_or_multimodal,exact,true,CANONICAL_V2_EDITION,0,92a11ef4dca9c5920a069c1032b53ff8cf439103529136814176a8c6023bf369
