assumption_id,category,parameter,unit,low,base,high,evidence_status,formula_or_definition,override_rule,notes,source_ids
M2-A031,accessibility,diagram_description_tokens,declared model driver,30,80,180,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A032,accessibility,table_summary_tokens,declared model driver,10,25,60,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A033,accessibility,html_structure_fit_fraction,declared model driver,0.08,0.2,0.5,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A034,accessibility,html_structure_fot_fraction,declared model driver,0.02,0.05,0.1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A035,accessibility,html_structure_frt_fraction,declared model driver,0.03,0.1,0.3,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A036,accessibility,description_audit_frt_multiplier,declared model driver,0.5,1,2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A037,accessibility,description_repair_fot_multiplier,declared model driver,0.25,0.5,1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A038,accessibility,description_repair_frt_multiplier,declared model driver,0.25,0.5,1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A039,accessibility,publication_triage_fit_fraction,declared model driver,0.02,0.05,0.12,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A040,accessibility,publication_triage_fot_fraction,declared model driver,0.005,0.015,0.04,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A041,accessibility,publication_triage_frt_fraction,declared model driver,0.005,0.015,0.04,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A042,accessibility,validator_cycles,declared model driver,2,4,8,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A043,media,audio_context_fit_fraction,declared model driver,0.05,0.1,0.25,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A044,media,audio_adaptation_fot_fraction_target,declared model driver,0.1,0.35,1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A045,media,audio_frt_fraction_target,declared model driver,0.1,0.3,0.8,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A046,media,pronunciation_entries_per_100k,declared model driver,100,500,2000,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A047,media,pronunciation_fit_per_entry,declared model driver,10,20,40,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A048,media,pronunciation_fot_per_entry,declared model driver,5,10,20,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A049,media,pronunciation_frt_per_entry,declared model driver,5,10,20,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A050,media,audio_audit_fot_fraction_target,declared model driver,0.02,0.05,0.1,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A051,media,audio_audit_frt_fraction_target,declared model driver,0.1,0.25,0.5,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A052,media,caption_fit_multiplier_target,declared model driver,0.25,1,2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A053,media,caption_fot_multiplier_target,declared model driver,0.15,1,2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A054,media,caption_frt_multiplier_target,declared model driver,0.1,1,2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A055,media,sign_fit_multiplier_target,declared model driver,0.8,1.5,3,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A056,media,sign_fot_multiplier_target,declared model driver,0.7,1.5,3,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A057,media,sign_frt_multiplier_target,declared model driver,0.5,1,2,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A058,media,target_words_per_working_token,declared model driver,0.55,0.75,0.95,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A059,media,narration_words_per_minute,declared model driver,170,150,125,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A060,media,pause_description_factor,declared model driver,1.05,1.15,1.25,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A061,media,words_per_caption_cue_proxy,declared model driver,8,6,4,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A062,media,signed_to_audio_duration_ratio,declared model driver,0.8,1.2,1.8,PLANNING_MODEL_DEFINITION,See factor derivation in build_standardized_compute_model_v2.py,Replace only through a versioned model or exact run ledger,Coupled scenario driver; not an empirical confidence interval,SRC04;SRC06;SRC07;SRC17;SRC20
M2-A063,accounting,fresh_equivalent_compute_units,fresh token events,FIT+FOT+FRT,FIT+FOT+FRT,FIT+FOT+FRT,DEFINED_STANDARD,"FECU=sum of disjoint fresh input, visible output, and hidden reasoning token events",Retain components even when scalar is displayed,"Not FLOPs, energy, quality, labor, duration, price, or throughput",SRC25
M2-A064,exclusion,cached_gross_tokens,excluded diagnostic,0,0,0,FORBIDDEN_TARGET_FACTOR,"Cache hits remain within FIT once and never create a discount, credit, or extra gross term",None; exclusion is invariant,May be recorded only in a non-scoring execution receipt,
M2-A065,exclusion,local_or_project_state,excluded diagnostic,0,0,0,FORBIDDEN_TARGET_FACTOR,"No prior assets, completion, readiness, reuse, counters, staffing, funding, or schedule term",None; exclusion is invariant,A separately labeled programme observation cannot calibrate this model,
