flores_code,held_out_language_code,script_code,actual_r,predictive_p05_r,predictive_p50_r,predictive_p95_r,interval_90_hit,log_median_error,absolute_log_median_error,training_rows,script_training_rows
ces_Latn,ces,Latn,1.578654992,1.2558406999583935,1.6967101853999729,2.3095171875344933,True,-0.07211797749751586,0.07211797749751586,202,125
cjk_Latn,cjk,Latn,1.711610625,1.2530359565443092,1.7014208935006894,2.3057206450117116,True,0.0059710915175511525,0.0059710915175511525,202,125
ckb_Arab,ckb,Arab,2.738687367,1.0686891838068628,1.752137024584687,2.883341225968389,True,0.4466425426385706,0.4466425426385706,202,21
crh_Latn,crh,Latn,1.703369877,1.2489513125441474,1.711762111732273,2.294598064798968,True,-0.004914745112416186,0.004914745112416186,202,125
cym_Latn,cym,Latn,1.719483482,1.260071858172286,1.7055921050468883,2.2878974983394875,True,0.008111618426587586,0.008111618426587586,202,125
dan_Latn,dan,Latn,1.379074387,1.258250444064486,1.6971664768744865,2.319983297789549,True,-0.2075475420642076,0.2075475420642076,202,125
deu_Latn,deu,Latn,1.295857553,1.2570098978222755,1.7097254486059714,2.322105419299703,True,-0.27716012217265207,0.27716012217265207,202,125
dik_Latn,dik,Latn,1.836914134,1.2652423896221376,1.704253589935542,2.2749482385410493,True,0.07495982490637632,0.07495982490637632,202,125
dyu_Latn,dyu,Latn,1.837208447,1.2575217972191024,1.7083031976131005,2.30612152055737,True,0.07274667543722024,0.07274667543722024,202,125
dzo_Tibt,dzo,Tibt,8.893973953,0.7422596530450328,2.425780261562113,7.964162314857014,False,1.2992207334988093,1.2992207334988093,202,1
ell_Grek,ell,Grek,2.116069458,0.9325075699309558,1.8643461020883823,3.663368249366439,True,0.12664996248551197,0.12664996248551197,202,0
epo_Latn,epo,Latn,1.508608638,1.2602640991504042,1.7043614339580335,2.3077531510889813,True,-0.1220027207859376,0.1220027207859376,202,125
est_Latn,est,Latn,1.478331249,1.2594946041328874,1.7036338235189654,2.2807082044461335,True,-0.14184959584203155,0.14184959584203155,202,125
eus_Latn,eus,Latn,1.585534545,1.249139945156194,1.7094773217197985,2.327503726838798,True,-0.07526606113972484,0.07526606113972484,202,125
ewe_Latn,ewe,Latn,2.312449415,1.2611680916939259,1.7052469683967157,2.3132807401706357,True,0.3045973658252519,0.3045973658252519,202,125
fao_Latn,fao,Latn,1.635972335,1.2590737359094042,1.7080576403708454,2.307292826082588,True,-0.04311951419579546,0.04311951419579546,202,125
fij_Latn,fij,Latn,1.831211831,1.2706555413035323,1.6978365738543655,2.3027877995742982,True,0.07562311342663541,0.07562311342663541,202,125
fin_Latn,fin,Latn,1.543595026,1.25845579399751,1.6989756956104736,2.314377557779456,True,-0.0959114091342394,0.0959114091342394,202,125
fon_Latn,fon,Latn,2.791406078,1.2623055947419954,1.7005750131691342,2.27055646919779,False,0.49557900258050047,0.49557900258050047,202,125
fra_Latn,fra,Latn,1.35413141,1.2544717501106248,1.7044931879385405,2.3001534861904087,True,-0.23010759311536744,0.23010759311536744,202,125
fur_Latn,fur,Latn,1.712751085,1.251635719621449,1.710883477533223,2.304923028722098,True,0.0010910087615463304,0.0010910087615463304,202,125
fuv_Latn,fuv,Latn,1.582554632,1.2558314441337548,1.7101782671628292,2.315731049082998,True,-0.07755721785261893,0.07755721785261893,202,125
gaz_Latn,gaz,Latn,1.857883894,1.2499271200380977,1.7117607809567303,2.315386858695353,True,0.08191561145840276,0.08191561145840276,202,125
gla_Latn,gla,Latn,1.966485174,1.2496398335635195,1.690574191034641,2.3153721221573127,True,0.15117954433935332,0.15117954433935332,202,125
gle_Latn,gle,Latn,1.82738577,1.245226325189085,1.698341689132583,2.3112008485581477,True,0.07323410653822104,0.07323410653822104,202,125
glg_Latn,glg,Latn,1.319991171,1.2698479677458887,1.7033301366201945,2.314793900020728,True,-0.2549601908665836,0.2549601908665836,202,125
grn_Latn,grn,Latn,1.75796483,1.2533551756102645,1.709672851433596,2.3016500029039886,True,0.02785475611417132,0.02785475611417132,202,125
guj_Gujr,guj,Gujr,1.770840998,0.9665341887997786,1.8909359012264406,3.750320257885297,True,-0.06561731848618968,0.06561731848618968,202,0
hat_Latn,hat,Latn,1.395960562,1.2532073055933555,1.7026486391067137,2.301692833906225,True,-0.1986023083826855,0.1986023083826855,202,125
hau_Latn,hau,Latn,1.532631889,1.2632254677342916,1.702955706330941,2.3116488886498474,True,-0.10537894567860101,0.10537894567860101,202,125
heb_Hebr,heb,Hebr,1.466448385,1.029662173108421,1.9019987840158938,3.4571822440881164,True,-0.2600619120333581,0.2600619120333581,202,1
hin_Deva,hin,Deva,1.554815687,1.2155015796137012,1.8213335533978992,2.7099726376315036,True,-0.1582119450808519,0.1582119450808519,202,9
hne_Deva,hne,Deva,1.709440071,1.2007033301088286,1.802170588066951,2.727422414794828,True,-0.05282594763603521,0.05282594763603521,202,9
hrv_Latn,hrv,Latn,1.462659113,1.2736600365531388,1.7082684844464198,2.307054442678772,True,-0.15522418589202425,0.15522418589202425,202,125
hun_Latn,hun,Latn,1.773563388,1.2720014367122885,1.7108478163816059,2.306554623532416,True,0.036001689646014245,0.036001689646014245,202,125
hye_Armn,hye,Armn,1.767051725,0.945686235853911,1.8602684379173686,3.6948482550921957,True,-0.05140833308487969,0.05140833308487969,202,0
ibo_Latn,ibo,Latn,1.644065926,1.2640275492315354,1.706111810823893,2.280942602823478,True,-0.03704458987474191,0.03704458987474191,202,125
ilo_Latn,ilo,Latn,1.822272092,1.2666266326519016,1.712413264872145,2.3224068362670707,True,0.06218048305868895,0.06218048305868895,202,125
ind_Latn,ind,Latn,1.235008461,1.2560396599775605,1.7140252703420789,2.3011254389493514,False,-0.3277667424884133,0.3277667424884133,202,125
isl_Latn,isl,Latn,1.590280333,1.2652708054215234,1.7079787503972526,2.2966448286123717,True,-0.07140034331533762,0.07140034331533762,202,125
ita_Latn,ita,Latn,1.452394967,1.2457221670296024,1.7041122505657968,2.3019634445369683,True,-0.1598304057294404,0.1598304057294404,202,125
jav_Latn,jav,Latn,1.354793613,1.2822093063884954,1.7246714209512644,2.3338313609655352,True,-0.24138742413023972,0.24138742413023972,202,125
jpn_Jpan,jpn,Jpan,1.639283349,0.9290687341620456,1.8956570192660744,3.793546840802732,True,-0.1453063264429904,0.1453063264429904,202,0
kab_Latn,kab,Latn,2.114671474,1.270021933581999,1.6936885365031442,2.3018992096591386,True,0.22199075241497723,0.22199075241497723,202,125
kac_Latn,kac,Latn,2.114561107,1.2577184539139954,1.7022363544557604,2.2842735288760823,True,0.21690438737560958,0.21690438737560958,202,125
kam_Latn,kam,Latn,1.799977927,1.2480064653276852,1.6986431606816896,2.3058068806432566,True,0.05794461044638888,0.05794461044638888,202,125
kan_Knda,kan,Knda,1.948237804,0.9196894446201601,1.8606152169465577,3.785709722559501,True,0.0460180789103275,0.0460180789103275,202,0
kas_Arab,kas,Arab,2.573136635,1.0752619947021553,1.7595097669466422,2.8748893548142385,True,0.38009040652835957,0.38009040652835957,201,21
kas_Deva,kas,Deva,2.183540578,1.225331730633658,1.783240131478792,2.5674259344253407,True,0.20251566954380174,0.20251566954380174,201,9
kat_Geor,kat,Geor,1.765138695,0.9478227743244172,1.8627231834176485,3.6579614585600764,True,-0.053810226080932666,0.053810226080932666,202,0
kaz_Cyrl,kaz,Cyrl,1.567544699,1.2547727363670482,1.782334561576832,2.574646436404465,True,-0.1284135471925274,0.1284135471925274,202,11
kbp_Latn,kbp,Latn,3.853616364,1.2704405767497038,1.6888324292366579,2.235951523093475,False,0.8249746028438185,0.8249746028438185,202,125
kea_Latn,kea,Latn,1.530350968,1.2536699624718515,1.7061040893783992,2.315763818798577,True,-0.10871536096390161,0.10871536096390161,202,125
khk_Cyrl,khk,Cyrl,1.868626297,1.2322592546089082,1.7425377567561067,2.533588362561757,True,0.06986102881004452,0.06986102881004452,202,11
khm_Khmr,khm,Khmr,3.297844162,0.9603267576474692,1.8787380173343469,3.743242799946364,True,0.5626686866811871,0.5626686866811871,202,0
kik_Latn,kik,Latn,2.56905305,1.263686206151672,1.691526876336465,2.256538063769566,False,0.4179057698055689,0.4179057698055689,202,125
kin_Latn,kin,Latn,1.693400044,1.2625257830587007,1.70079563567823,2.323250425512756,True,-0.004357794352433997,0.004357794352433997,202,125
kir_Cyrl,kir,Cyrl,1.654587595,1.2305455617117527,1.7778559583105364,2.5652075336983677,True,-0.0718563300207673,0.0718563300207673,202,11
kmb_Latn,kmb,Latn,1.812670149,1.2711818181629437,1.7074662004188736,2.313705899668536,True,0.059790461160785346,0.059790461160785346,202,125
kmr_Latn,kmr,Latn,1.993856228,1.2580500480932029,1.693453966135132,2.2870236621011695,True,0.163300356404804,0.163300356404804,202,125
knc_Arab,knc,Arab,2.731255978,1.0753359546105123,1.7465132879849774,2.834135602507963,True,0.4471401750140057,0.4471401750140057,201,21
knc_Latn,knc,Latn,2.100912368,1.2704252821539548,1.7024538578751027,2.3103753959441,True,0.21030105522636644,0.21030105522636644,201,125
kon_Latn,kon,Latn,1.738871312,1.2465606264895135,1.7049167132654126,2.3200550517712455,True,0.019719970466172132,0.019719970466172132,202,125
kor_Hang,kor,Hang,1.455595615,0.9464141584567145,1.8699182225042914,3.7956202359067563,True,-0.25047952438123217,0.25047952438123217,202,0
lao_Laoo,lao,Laoo,8.136413803,0.9594076587889457,1.8508907391889828,3.706159651769739,False,1.4806825143369597,1.4806825143369597,202,0
lij_Latn,lij,Latn,1.788867633,1.2581222239322796,1.7103410493619255,2.3139677919487966,True,0.044890017710146,0.044890017710146,202,125
lim_Latn,lim,Latn,1.587079685,1.267328213658013,1.713057950203087,2.312537065027003,True,-0.07638439705330541,0.07638439705330541,202,125
lin_Latn,lin,Latn,1.598557869,1.231456168021433,1.700662234007844,2.2889266168075015,True,-0.06191583369695863,0.06191583369695863,202,125
lit_Latn,lit,Latn,1.656684571,1.2642005230636126,1.7073236435009775,2.3123276150865086,True,-0.03010866484723751,0.03010866484723751,202,125
lmo_Latn,lmo,Latn,1.823155029,1.2652158707860546,1.7084427992839633,2.295184362552117,True,0.0649862207400943,0.0649862207400943,202,125
ltg_Latn,ltg,Latn,1.864138033,1.263360834564267,1.7092884702653452,2.281727315895786,True,0.08672158089909154,0.08672158089909154,202,125
ltz_Latn,ltz,Latn,1.648995659,1.2512512479043372,1.6956197503821928,2.311817303239681,True,-0.027881897378752685,0.027881897378752685,202,125
lua_Latn,lua,Latn,1.679751306,1.262013522603081,1.7107609177640992,2.3117918017594525,True,-0.018292502373941977,0.018292502373941977,202,125
lug_Latn,lug,Latn,1.643477301,1.2569065255504943,1.6998585555949917,2.313688763783246,True,-0.03373074236085877,0.03373074236085877,202,125
luo_Latn,luo,Latn,1.656794938,1.2513775820382746,1.7035577605247796,2.304365074578068,True,-0.027833888707599508,0.027833888707599508,202,125
lus_Latn,lus,Latn,1.807078214,1.2594420363713086,1.6969375818988013,2.307788642504669,True,0.06288609043223303,0.06288609043223303,202,125
lvs_Latn,lvs,Latn,1.792546538,1.2537131920714288,1.7041195995326912,2.3333788525059367,True,0.050588642313371346,0.050588642313371346,202,125
mag_Deva,mag,Deva,1.696821426,1.200962858832358,1.8017817395693752,2.67658626691942,True,-0.06001927914766014,0.06001927914766014,202,9
mai_Deva,mai,Deva,1.738025164,1.2104130811388392,1.7915239991206697,2.6389695570758374,True,-0.030317148327794863,0.030317148327794863,202,9
mal_Mlym,mal,Mlym,1.934368332,0.9377022787823791,1.859683619677384,3.8155652602121606,True,0.03937445346730317,0.03937445346730317,202,0
mar_Deva,mar,Deva,1.801375911,1.2175772156497435,1.7987209029049807,2.6880556685298824,True,0.0014749650987719853,0.0014749650987719853,202,9
min_Arab,min,Arab,2.629754985,1.0840727112870328,1.7565920800599517,2.848942362437446,True,0.40351506643806667,0.40351506643806667,201,21
min_Latn,min,Latn,1.542344198,1.2540390572142803,1.7014786137726228,2.33046222513384,True,-0.0981941802993061,0.0981941802993061,201,125
mkd_Cyrl,mkd,Cyrl,1.764218968,1.2152867451244762,1.7587944815725658,2.5585212641496797,True,0.00307946069001086,0.00307946069001086,202,11
mlt_Latn,mlt,Latn,1.847104702,1.2605481108755556,1.7158452818638046,2.3226940221999817,True,0.07371355229504195,0.07371355229504195,202,125
mni_Beng,mni,Beng,3.049702009,1.0682222237531134,1.8498001097913181,3.223951751823324,True,0.4999662993878633,0.4999662993878633,202,2
mos_Latn,mos,Latn,2.01162534,1.2621528986051387,1.704455162720602,2.3036710609824365,True,0.16569751516298103,0.16569751516298103,202,125
mri_Latn,mri,Latn,1.806305643,1.2621294836740466,1.713123006005129,2.31374796589152,True,0.05296565409479592,0.05296565409479592,202,125
mya_Mymr,mya,Mymr,3.127915532,0.7488127595668155,2.5225887640937716,8.27225485357498,True,0.21508115691855156,0.21508115691855156,202,1
nld_Latn,nld,Latn,1.232948275,1.263765110716182,1.7066133648251272,2.308188106673245,False,-0.32510264557272495,0.32510264557272495,202,125
nno_Latn,nno,Latn,1.390846884,1.2668386976649297,1.70885966404009,2.3400763220540437,True,-0.20591345424968976,0.20591345424968976,202,125
nob_Latn,nob,Latn,1.333750276,1.2517855817948933,1.7048012405522739,2.339584444821614,True,-0.24545379891486846,0.24545379891486846,202,125
npi_Deva,npi,Deva,1.59579869,1.2219804235802876,1.8199360033605858,2.689337604254846,True,-0.1314269804949511,0.1314269804949511,202,9
nso_Latn,nso,Latn,1.839636524,1.2672143203053703,1.7101644309348318,2.3183594259335534,True,0.07297848646962901,0.07297848646962901,202,125
nus_Latn,nus,Latn,3.214222647,1.2665651457735119,1.6948495872904286,2.2642243470814165,False,0.6399915411960588,0.6399915411960588,202,125
nya_Latn,nya,Latn,1.593848871,1.2569294754824947,1.6953244519237187,2.2924664305407747,True,-0.06172237487236093,0.06172237487236093,202,125
oci_Latn,oci,Latn,1.583032889,1.246431176743342,1.7089641184865543,2.3178303998896923,True,-0.0765448512366837,0.0765448512366837,202,125
ory_Orya,ory,Orya,4.94025458,0.9419914296910499,1.8565274297934256,3.6337637594503884,False,0.9787090947558942,0.9787090947558942,202,0
pag_Latn,pag,Latn,1.412147745,1.274760285941206,1.7139076381683318,2.321117386733052,True,-0.1936641631411034,0.1936641631411034,202,125
pan_Guru,pan,Guru,2.590133176,0.9209356314768657,1.8672943421449917,3.6495870685240055,True,0.3272187864219621,0.3272187864219621,202,0
pap_Latn,pap,Latn,1.566146715,1.256626304194527,1.7012656023159463,2.295323445953838,True,-0.0827541651112933,0.0827541651112933,202,125
pbt_Arab,pbt,Arab,1.694650872,1.0746806980127699,1.7904829171590912,2.9734169176629135,True,-0.05500862519396377,0.05500862519396377,202,21
pes_Arab,pes,Arab,1.512618645,1.094819344430497,1.7962271981633466,2.980365524836679,True,-0.17184611337580924,0.17184611337580924,202,21
plt_Latn,plt,Latn,1.772202193,1.2571603376124676,1.7014056391473913,2.3173240494331804,True,0.040768194105123556,0.040768194105123556,202,125
pol_Latn,pol,Latn,1.619895519,1.2592799599835953,1.707465462539978,2.3112142684521477,True,-0.05264843262169172,0.05264843262169172,202,125
por_Latn,por,Latn,1.211169156,1.271456074839281,1.711785452397708,2.3050248937695086,False,-0.3459508122823136,0.3459508122823136,202,125
prs_Arab,prs,Arab,1.459348098,1.0878223403314895,1.7917946362035362,2.9409539334359582,True,-0.20522787986618196,0.20522787986618196,202,21
quy_Latn,quy,Latn,1.80877051,1.270263700385529,1.714739347858099,2.327036955351462,True,0.0533862529110124,0.0533862529110124,202,125
ron_Latn,ron,Latn,1.613788537,1.2541689049454163,1.703213524523337,2.2994801716500533,True,-0.05393223192408236,0.05393223192408236,202,125
run_Latn,run,Latn,1.760135384,1.2483369255674028,1.7012007373068694,2.290100212323677,True,0.03405641101769352,0.03405641101769352,202,125
rus_Cyrl,rus,Cyrl,1.404900302,1.2500206524906066,1.791777634660997,2.5245814439152303,True,-0.24324187821506316,0.24324187821506316,202,11
sag_Latn,sag,Latn,1.80100802,1.2538238367372694,1.7044925396886543,2.319129242067377,True,0.05507908351198798,0.05507908351198798,202,125
san_Deva,san,Deva,2.065447723,1.2003892071663806,1.7767879827798274,2.625569956253678,True,0.15053978775513666,0.15053978775513666,202,9
sat_Olck,sat,Olck,13.544183651,0.9974251343588395,1.8570648527299645,3.5289661439948854,False,1.9869599991745575,1.9869599991745575,202,0
scn_Latn,scn,Latn,1.792399382,1.26429153319498,1.7002169886495424,2.300014761993526,True,0.052799275841768245,0.052799275841768245,202,125
shn_Mymr,shn,Mymr,7.83901111,1.0587059232315483,2.0744328645370143,4.187180612869782,False,1.3294248944491978,1.3294248944491978,202,1
sin_Sinh,sin,Sinh,2.664704584,0.9269911592907797,1.8178639424100997,3.7412295532177917,True,0.3824310473956988,0.3824310473956988,202,0
slk_Latn,slk,Latn,1.657972187,1.2411268207331232,1.7055557842354316,2.30331994112793,True,-0.028295749234140022,0.028295749234140022,202,125
slv_Latn,slv,Latn,1.494260908,1.2649313345562396,1.705323205517927,2.3028882241255495,True,-0.13212294744538983,0.13212294744538983,202,125
smo_Latn,smo,Latn,1.902582591,1.2504056468902631,1.700282992592752,2.3031267308535552,True,0.11241751819874646,0.11241751819874646,202,125
sna_Latn,sna,Latn,1.681370024,1.2586032708497294,1.702518270483067,2.3044316830216847,True,-0.012499538985557557,0.012499538985557557,202,125
snd_Arab,snd,Arab,1.690714443,1.0595049425988576,1.7843816598237092,2.9293317277235507,True,-0.05392075921599504,0.05392075921599504,202,21
som_Latn,som,Latn,1.70366419,1.2450002231421158,1.7083753745100883,2.3427631722730418,True,-0.0027615081331529012,0.0027615081331529012,202,125
sot_Latn,sot,Latn,1.815061438,1.2552378418797503,1.7066798053664884,2.31561037596858,True,0.0615694684710516,0.0615694684710516,202,125
spa_Latn,spa,Latn,1.302884262,1.2734898628651579,1.71478785257978,2.288270140779801,True,-0.274708901900753,0.274708901900753,202,125
srd_Latn,srd,Latn,1.764623648,1.2532260996161921,1.7069501036624577,2.2967246583466494,True,0.03322922409460849,0.03322922409460849,202,125
srp_Cyrl,srp,Cyrl,1.75950997,1.2161771337389045,1.750979659409491,2.5287199208794693,True,0.004859907466246205,0.004859907466246205,202,11
ssw_Latn,ssw,Latn,1.786329188,1.2601533878838036,1.7010942374561715,2.286960746304631,True,0.04889106817177691,0.04889106817177691,202,125
sun_Latn,sun,Latn,1.369251711,1.266337308220718,1.7045391331000017,2.324098140744033,True,-0.21903037675973608,0.21903037675973608,202,125
swe_Latn,swe,Latn,1.334964315,1.2719196642512502,1.698135176301611,2.294261564640256,True,-0.2406261326919798,0.2406261326919798,202,125
swh_Latn,swh,Latn,1.468766095,1.250903267445115,1.7109904669352167,2.3213222766620616,True,-0.15264976611295106,0.15264976611295106,202,125
szl_Latn,szl,Latn,1.941762931,1.2569455703164287,1.713898967415054,2.3130223249419553,True,0.12482541481268894,0.12482541481268894,202,125
tam_Taml,tam,Taml,1.956993599,0.9302090456876815,1.854906858459726,3.792286368965568,True,0.05357493386004597,0.05357493386004597,202,0
taq_Latn,taq,Latn,2.052608344,1.2718195220447772,1.702443691453865,2.300124909947834,True,0.1870466628507319,0.1870466628507319,201,125
taq_Tfng,taq,Tfng,10.095541167,0.6740580711361834,2.5862272626354486,9.988024523603,False,1.361893699352858,1.361893699352858,201,1
tat_Cyrl,tat,Cyrl,1.728386432,1.2135477527864547,1.7545264899729416,2.5286148174874024,True,-0.015010739220226332,0.015010739220226332,202,11
tel_Telu,tel,Telu,1.90769627,0.9579855997851378,1.874675128040062,3.711259643486102,True,0.017460993358419885,0.017460993358419885,202,0
tgk_Cyrl,tgk,Cyrl,1.871127952,1.2212891718829593,1.7480278197514896,2.5282257558130876,True,0.06805323961617882,0.06805323961617882,202,11
tgl_Latn,tgl,Latn,1.675557354,1.2633956528530663,1.6976863776969782,2.2824631238753392,True,-0.013120511241677568,0.013120511241677568,202,125
tha_Thai,tha,Thai,1.941762931,0.9736019899828627,1.8759195634529036,3.6945500451295326,True,0.034497314711568805,0.034497314711568805,202,0
tir_Ethi,tir,Ethi,5.89838864,0.8499411585546344,2.2689081169856236,6.276814278185326,True,0.9553804917056915,0.9553804917056915,202,1
tpi_Latn,tpi,Latn,1.772128615,1.252633921678692,1.7079870261911725,2.291965239402513,True,0.036865931946676755,0.036865931946676755,202,125
tsn_Latn,tsn,Latn,1.88713119,1.2688652040668216,1.7054296842164454,2.318579156625405,True,0.10124069383383316,0.10124069383383316,202,125
tso_Latn,tso,Latn,1.723861379,1.264611152649948,1.7034217266586902,2.317226489488837,True,0.011927753874977243,0.011927753874977243,202,125
tuk_Latn,tuk,Latn,1.648848503,1.2477654561025466,1.703299143701242,2.3333646822281042,True,-0.03248987584169827,0.03248987584169827,202,125
tum_Latn,tum,Latn,2.082885733,1.2543800472141913,1.7041497147582794,2.291080172902043,True,0.20068801851579765,0.20068801851579765,202,125
tur_Latn,tur,Latn,1.414833346,1.2660012484639187,1.7062357545565736,2.310841398584028,True,-0.18727788345790952,0.18727788345790952,202,125
twi_Latn,twi,Latn,1.835405783,1.256361588250095,1.7047223494623336,2.294962955225226,True,0.07386333962493963,0.07386333962493963,202,125
tzm_Tfng,tzm,Tfng,10.032153631,0.6990012944932424,2.5845439151195917,9.894169185028765,False,1.3562462406311533,1.3562462406311533,202,1
uig_Arab,uig,Arab,2.489588698,1.0790152978015226,1.750892717940304,2.9258399282882253,True,0.35199173290309116,0.35199173290309116,202,21
ukr_Cyrl,ukr,Cyrl,1.72923258,1.2365500998950503,1.770347137899397,2.526896028835164,True,-0.023497935746689125,0.023497935746689125,202,11
umb_Latn,umb,Latn,1.768523287,1.2545910420458397,1.705001669009159,2.2967452335034992,True,0.036578807606908015,0.036578807606908015,202,125
urd_Arab,urd,Arab,1.634022515,1.0873516181266285,1.792730652062468,2.995883935499099,True,-0.09269518598639725,0.09269518598639725,202,21
uzn_Latn,uzn,Latn,1.755279229,1.2675297576400357,1.7011522921550069,2.293393805914583,True,0.031322108743908506,0.031322108743908506,202,125
vec_Latn,vec,Latn,1.538334192,1.2685069935692908,1.7016077143456085,2.3117223396390836,True,-0.10087338101067123,0.10087338101067123,202,125
vie_Latn,vie,Latn,1.472665735,1.2665083453250676,1.7042400696294557,2.3097461760710694,True,-0.1460451207259998,0.1460451207259998,202,125
war_Latn,war,Latn,1.700610698,1.251881395254914,1.699609876521001,2.2944948656164126,True,0.0005886803435053434,0.0005886803435053434,202,125
