sentinel_id,target_label,expected_edition_target_id,expected_language_tag,script_or_mode,territory_or_community,sentinel_class,minimum_lane,presence_status,matched_target_ids,matched_context_strata,current_rank_status,current_direct_person_ranks,why_required,preferred_evidence_action,publication_disposition,row_sha256
S011,Punjabi — India,edition-target:lang:pa-Guru-IN,pa-Guru-IN,Gurmukhi,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:pa-Guru-IN,,DIRECT_PERSON_RANKED,28,Large language population with separate script and curriculum,Use India-specific population and schooling evidence,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,EABA6A3C6525C2F05420334877ED0881FADF69EFA06FC268C3AABB43A1D7E771
S012,Urdu — Pakistan,edition-target:lang:ur-Arab-PK,ur-Arab-PK,Perso-Arabic Nastaliq,Pakistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ur-Arab-PK,,DIRECT_PERSON_RANKED,31,Large national and academic bridge language,Measure comfortable educational reach rather than official status alone,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,B1A7D06EB13FFA387B603DFAF3F8B08BB19AEA37527EEE5620C0C633880CD69D
S013,Urdu — India,edition-target:lang:ur-Arab-IN,ur-Arab-IN,Perso-Arabic Nastaliq,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ur-Arab-IN,,DIRECT_PERSON_RANKED,14,Large minoritized territorial population,Keep India and Pakistan evidence separate,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,48C96D5647345616491E8F8B3E36487601A7CAE8EE5D9B39F3FF786B012CF1D3
S014,Marathi,edition-target:lang:mr-Deva-IN,mr-Deva-IN,Devanagari,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:mr-Deva-IN,mr-Deva-IN-reported-L123-2011,DIRECT_PERSON_RANKED,6,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,E3FD66761837BD9E9B8AA7EC99853CCE84453C2782D31A4CCB5C2F0299F670EC
S015,Telugu,edition-target:lang:te-Telu-IN,te-Telu-IN,Telugu,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:te-Telu-IN,te-Telu-IN-reported-L123-2011,DIRECT_PERSON_RANKED,7,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,E6C2B8211944F37EB6D7CB4563BA99BD66CDF2F224BA6742512EB2D6CC29E5DC
S016,Tamil — India,edition-target:lang:ta-Taml-IN,ta-Taml-IN,Tamil,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ta-Taml-IN,,DIRECT_PERSON_RANKED,8,Large state-language population and research tradition,Separate India and Sri Lanka strata,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,EFE142C3B893FCC9B702D7B0C6533D212C1EE157B01870040CE4675D2A1215C4
S017,Tamil — Sri Lanka,edition-target:lang:ta-Taml-LK,ta-Taml-LK,Tamil,Sri Lanka,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ta-Taml-LK,,EXACT_TARGET_UNRANKED,,Large national-minority and diaspora-linked population,Use Sri Lanka-specific educational and population evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,B98189ECB07AAFF1652AC9FFC93C3877D3B64099FB1B51D094A8DE408FFA6E9E
S018,Gujarati,edition-target:lang:gu-Gujr-IN,gu-Gujr-IN,Gujarati,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:gu-Gujr-IN,,DIRECT_PERSON_RANKED,11,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,C04D6AC16A6E56AEF33929771042E91CDF00DDBAF4CC4AFEBF63DB76D06D62C1
S019,Kannada,edition-target:lang:kn-Knda-IN,kn-Knda-IN,Kannada,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:kn-Knda-IN,,DIRECT_PERSON_RANKED,17,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,D7FD326794BAB79F9ECB22CC7D8F582D2FD24C84BF66864E6B5137604F7AE074
S020,Malayalam,edition-target:lang:ml-Mlym-IN,ml-Mlym-IN,Malayalam,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ml-Mlym-IN,,DIRECT_PERSON_RANKED,21,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,03E77C72AA544AEF51F9CF91255381DF58EE24A77410BD820697877364149A13
S021,Odia,edition-target:lang:or-Orya-IN,or-Orya-IN,Odia,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:or-Orya-IN,,DIRECT_PERSON_RANKED,24,Large state-language population,Retain direct person measure and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,1ED22D73025B3DB43068D13FBD2921F943B6AAFC013BA6BC37C3F34FE44AB4CA
S022,Bhojpuri,edition-target:lang:bho-Deva-IN,bho-Deva-IN,Devanagari,India and transnational communities,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:bho-Deva-IN,,DIRECT_PERSON_RANKED,13,Large language often hidden under Hindi aggregates,Do not credit Hindi without functional overlap evidence,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,3B13A55D175F3FF4045EDB6491DA6EAC3EEDC6A1AC588F8B1D0B424318E6EF1B
S023,Maithili,edition-target:lang:mai-Deva-IN,mai-Deva-IN,Devanagari and Tirhuta context,India and Nepal,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:mai-Deva-IN,,DIRECT_PERSON_RANKED,41,Large cross-border language often hidden by national standards,Keep territory and script arms explicit,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,34D15A449F4B6D5F779FF52BF797C221C59D1B1720F1FEFC127F0BAF5CF3EDAD
S024,Nepali — Nepal,edition-target:lang:ne-Deva-NP,ne-Deva-NP,Devanagari,Nepal,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ne-Deva-NP,,DIRECT_PERSON_RANKED,38,National language and regional bridge,Use Nepal-specific evidence and do not erase other Nepal languages,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,AE384E76CC154B6118000144701B1055508AC87026BE82B5A3BC9555C6678023
S025,Sinhala,edition-target:lang:si-Sinh-LK,si-Sinh-LK,Sinhala,Sri Lanka,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:si-Sinh-LK,,EXACT_TARGET_UNRANKED,,National language with distinct script,Use stage and subject-specific evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,CBD7909D6AA8CBACE256D6AB617BFADB345432889BFAA3EB49469840C1CB39E3
S026,Thai,edition-target:lang:th-Thai-TH,th-Thai-TH,Thai,Thailand,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:th-Thai-TH,,DIRECT_PERSON_RANKED,10,Official census home-language construct exceeds fifty million,Integrate official 2010 usual-home-language evidence and newer education context separately,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,01973EBC3994EAF1B9E980FE4E27D6B02EC6C5FF4C834BB9C0A59BE93D663FB5
S027,Vietnamese,edition-target:lang:vi-Latn-VN,vi-Latn-VN,Latin quốc ngữ,Viet Nam,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:vi-Latn-VN,,EXACT_TARGET_UNRANKED,,At least eighty-six million identity-proxy and hundred-million territorial-scale screening case,Keep ethnicity proxy and territorial exposure separate until a direct language-user denominator is found,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,B2C61E2648276A81AA79EFE2048866F7199A4418CB4058F3D877B583C1CBCB42
S028,Burmese,edition-target:lang:my-Mymr-MM,my-Mymr-MM,Myanmar,Myanmar,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:my-Mymr-MM,,DIRECT_PERSON_RANKED,15,Large national language amid severe education disruption,Retain interval and displacement context without treating it as all Myanmar languages,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,50EC70CB68AE5B543B07BC47BAAE6BC7532243C90A6793A4463BDE38295A19E7
S029,Filipino — national standard,edition-target:lang:fil-Latn-PH,fil-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:fil-Latn-PH,,EXACT_TARGET_UNRANKED,,Large national educational standard,Separate language knowledge from territorial exposure,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,8850D0182945754C3B94785F4F1AB9A3623DCEFF595E3353924DFD313A145A69
S030,Tagalog,edition-target:lang:tl-Latn-PH,tl-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:tl-Latn-PH,,EXACT_TARGET_UNRANKED,,Large home-language population related to but not identical with Filipino,Audit overlap with Filipino before aggregation,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,91842ACD97991F690641A4F12011CC5F2976FFC47F7C8ABB4150001AF11BBFB1
S031,Javanese,edition-target:lang:jv-Latn-ID,jv-Latn-ID,Latin with Javanese-script continuity context,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:jv-Latn-ID,,DIRECT_PERSON_RANKED,9,Large regional-language population not replaced by Indonesian,Retain direct person evidence and bilingual curriculum role,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,6B67C6818E5C5D03B13B3B0CF04A568403E1C854FBD1164BC1E9140258F4B797
S032,Sundanese,edition-target:lang:su-Latn-ID,su-Latn-ID,Latin with Sundanese-script context,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:su-Latn-ID,,DIRECT_PERSON_RANKED,26,Large regional-language population not replaced by Indonesian,Retain direct person evidence and bilingual curriculum role,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,B9CA1C79AC82FDD9467CF71FE04B8919DC08998A32BDF082DC2A9B8EBE168035
S033,Cebuano,edition-target:lang:ceb-Latn-PH,ceb-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ceb-Latn-PH,,EXACT_TARGET_UNRANKED,,Large Philippine language hidden by national-language totals,Use exact home-language or knowledge evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,5E1D70DCB20FD35DDC6EBAA0AEF8991D16AAD95F7E8720BE5DA6994222D0C152
S034,Ilocano,edition-target:lang:ilo-Latn-PH,ilo-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ilo-Latn-PH,,EXACT_TARGET_UNRANKED,,Major Philippine regional language,Use exact regional and diaspora evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,8F443B52B881063B5567B20E2D2292EE3DCA0D7694AF0AD7545EDBBB06A8C1E9
S035,Hiligaynon,edition-target:lang:hil-Latn-PH,hil-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:hil-Latn-PH,,EXACT_TARGET_UNRANKED,,Major Philippine regional language,Use exact regional evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,C5C7496019A2B34AB22C26E8B0E99ADD108299542668686A0EBD8C4CA0A68E52
S036,Waray,edition-target:lang:war-Latn-PH,war-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:war-Latn-PH,,EXACT_TARGET_UNRANKED,,Major Philippine regional language,Use exact regional evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,E8366840A1B1B7B162E8D5A89F4178B8DA38B38128E9D602478A7D8038B346FA
S037,Khmer,edition-target:lang:km-Khmr-KH,km-Khmr-KH,Khmer,Cambodia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:km-Khmr-KH,,DIRECT_PERSON_RANKED,35,National language with distinct script and limited academic-language substitution,Use direct population and stage-specific learning evidence,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,FAE831F2621F5E9E25EC849C022546302523C91DCD8789B288CB3BC00BE1965A
S038,Lao,edition-target:lang:lo-Laoo-LA,lo-Laoo-LA,Lao,Lao PDR,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:lo-Laoo-LA,,EXACT_TARGET_UNRANKED,,National language with distinct script,Use direct population and stage-specific learning evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,472BC2EB07FA5C4EC1E5F0C98BAA6CFD33121DB8DE7A2DCE481BAA08A80FBB92
S039,Malay — Rumi Malaysia,edition-target:lang:ms-Latn-MY,ms-Latn-MY,Latin Rumi,Malaysia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ms-Latn-MY,,EXACT_TARGET_UNRANKED,,Large national language and regional bridge,Keep Jawi as a separate delivery arm and do not award blanket Indonesian overlap,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,217C7B3D6E297BB884E7FC1D6CE5C7C7A438470A1ACD28C7486CDEC91A62B2D2
S040,Malay — Jawi Malaysia,edition-target:lang:ms-Arab-MY,ms-Arab-MY,Jawi Perso-Arabic,Malaysia,SCRIPT_ACCESS,STRUCTURAL_OR_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ms-Arab-MY,,EXACT_TARGET_UNRANKED,,Script-specific access intervention,Measure Jawi literacy rather than duplicate the full Malay population,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,9B0F7683DD9E4449F9D77BD258A4316110CC626E039B8E55776D671E145F4428
S041,Tetum,edition-target:lang:tet-Latn-TL,tet-Latn-TL,Latin,Timor-Leste,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:tet-Latn-TL,,DIRECT_PERSON_RANKED,84,National language in a multilingual education system,Keep Portuguese and local-language bridge functions explicit,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,104ACF10C103C578DD9BE23D626E18772DF20F5A73C117AF401B104C8A82A244
S042,Kiswahili — Tanzania,edition-target:lang:sw-Latn-TZ,sw-Latn-TZ,Latin,Tanzania,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:sw-Latn-TZ,,EXACT_TARGET_UNRANKED,,Large national and regional bridge language,Use Tanzania-specific direct population and education evidence,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,114A7FBE1505A079F84362DD91D502329C30A3753CF072750E11756A9B79B45A
S043,Kiswahili — Kenya,edition-target:lang:sw-Latn-KE,sw-Latn-KE,Latin,Kenya,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:sw-Latn-KE,,EXACT_TARGET_UNRANKED,,Large national and regional bridge language,Keep Kenya-specific curriculum and denominator separate,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,D9DB7634B18BB78AA9C6BB6121E5353E232188424118437B94B88DF308729CFC
S044,Hausa,edition-target:lang:ha-Latn-NG,ha-Latn-NG,Latin with Ajami arm separate,Nigeria and cross-border communities,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ha-Latn-NG,,EXACT_TARGET_UNRANKED,,Large cross-border bridge language,Keep script and territory strata explicit,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,0681DFEAC5ACC628828997316E4F687D01F96D8D756454B26A772BF53F23EFA6
S045,Standard Yoruba,edition-target:lang:yo-Latn-NG,yo-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:yo-Latn-NG,,DIRECT_PERSON_RANKED,25,Large national and diaspora-linked language,Retain direct population and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,8403FF2DDAF0AA05487581638C0B2FB0750AB322D2E402EDDD13051AA724685E
S046,Standard Igbo,edition-target:lang:ig-Latn-NG,ig-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:ig-Latn-NG,,DIRECT_PERSON_RANKED,30,Large national language,Retain direct population and stage-specific scarcity,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,FE1D7B9E602D2287BDCAB5E7914647A6F52A24497F06BA911F07B9C3E4987349
S047,Nigerian Pidgin,edition-target:lang:pcm-Latn-NG,pcm-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:pcm-Latn-NG,,EXACT_TARGET_UNRANKED,,Very large bridge-language candidate often omitted from formal-language lists,Find direct use and educational-comprehension evidence without substituting Nigeria population,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,30B4BEB6B9C01A327246AC61DE9E9C94B5E8D6BFE3EC3F827FCA055C4DA7CEB0
S048,Amharic,edition-target:lang:am-Ethi-ET,am-Ethi-ET,Ethiopic,Ethiopia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:am-Ethi-ET,,DIRECT_PERSON_RANKED,29,Large national and academic language,Use exact language and stage evidence rather than national exposure ceilings,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,C5316BE880AAC27FCF34F39B932D02F168105AA21C96726DEB6E9D50945F8683
S049,Oromo,edition-target:lang:om-Latn-ET,om-Latn-ET,Latin,Ethiopia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:om-Latn-ET,,DIRECT_PERSON_RANKED,23,Large national language,Retain direct population and multilingual education context,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,9B7D376F5AB8BCCDB4CE9666F753009BC14D5F9F14AED49411D7AD7B2FF8B692
S050,Somali,edition-target:lang:so-Latn-SO,so-Latn-SO,Latin,Somalia and diaspora,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:so-Latn-SO,,EXACT_TARGET_UNRANKED,,Large cross-border language with displaced populations,Separate resident-language and displacement portfolios,VISIBLE_UNRANKED_EVIDENCE_PRIORITY_OR_NEGATIVE_CONTROL,EA898C612453F94083FA9F4DD042E225136F2A822E3D1D05E8B038BBE6DCBFF6
S051,Kinyarwanda,edition-target:lang:rw-Latn-RW,rw-Latn-RW,Latin,Rwanda,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,PRESENT_EXACT_TARGET,edition-target:lang:rw-Latn-RW,,DIRECT_PERSON_RANKED,45,National language with broad reach,Measure stage and subject scarcity rather than infer from official status,VISIBLE_DIRECT_PERSON_LANE_PLUS_STAGE_SUBJECT_PROFILE,095B2D25E3B55ED253CB45E36623697E7C1132F5DA582E183B8CEDEB5F54A018
