edition_target_id,label,language_tag,reference_rank,population_point_for_model_persons,top10_probability,top100_probability,prior_family_rank_min,prior_family_rank_max,prior_family_rank_span,prior_families_top10_count,factor_removal_rank_min,factor_removal_rank_max,factor_removal_rank_span,factor_removal_scenarios_top10_count,robust_top10_all_prior_families,robust_top10_all_factor_removals,robust_top100_all_scenarios,row_sha256
edition-target:lang:hne-Deva-IN,Chhattisgarhi,hne-Deva-IN,36,16245190.000000,0.000000,1.000000,35,36,1,0,36,37,1,0,false,false,true,4D50999576E74415EA299A190616C2F64B30EE37BDC039309C5E8125FE98BC6E
edition-target:lang:zu-Latn-ZA,isiZulu,zu-Latn-ZA,37,14613202.000000,0.000000,1.000000,37,37,0,0,35,40,5,0,false,false,true,69DBE151F2DCA84BD6BE11592CE71E0E2B6BC6D4651C790811F7651527A19C9D
edition-target:lang:ne-Deva-NP,Nepali (Nepal standard),ne-Deva-NP,38,13084457.000000,0.000000,1.000000,39,39,0,0,37,39,2,0,false,false,true,A71E54DD71D96BF0E01107BBBEE0880F7167B297A8DC60C5C6907630F27A0316
edition-target:lang:as-Beng-IN,Assamese,as-Beng-IN,39,14816414.000000,0.000000,1.000000,38,38,0,0,38,40,2,0,false,false,true,97BF292D75BA33F62B3913786057FD320C44156E69CFB7AA43B49AF08B5E7884
edition-target:lang:kk-Cyrl-KZ,Kazakh,kk-Cyrl-KZ,40,12670407.000000,0.000000,1.000000,40,40,0,0,38,41,3,0,false,false,true,3D14600FF996634BF7034ADB39AFB8FD27628C44A1D7B70BF8C2107173F862DF
edition-target:lang:mai-Deva-IN,Maithili (India),mai-Deva-IN,41,13353347.000000,0.000000,1.000000,41,41,0,0,40,41,1,0,false,false,true,300276DD0D995EB2C9FA78E23CD539A2BD2928125F0810FC31F66EF14F7E2996
edition-target:lang:mag-Deva-IN,Magahi,mag-Deva-IN,42,12706825.000000,0.000000,1.000000,42,42,0,0,42,42,0,0,false,false,true,ADB1B7102F734A32BD1D65E16D4C93CE2091755624B281A0578A12FFB504BEB6
edition-target:lang:ca-Latn-ES,Catalan,ca-Latn-ES,43,10000000.000000,0.000000,1.000000,43,43,0,0,43,44,1,0,false,false,true,F851FB439252DE7BA6DEE0B352EFE391A8FBCC05662FA095BD92D2DB9424472D
edition-target:lang:xh-Latn-ZA,isiXhosa,xh-Latn-ZA,44,9786928.000000,0.000000,1.000000,44,44,0,0,43,44,1,0,false,false,true,7098C6BC8A1A2F838590B7AC86A88D0AD57322D5ABBF98F6EBF7B1CF784C84D2
edition-target:lang:rw-Latn-RW,Standard Kinyarwanda,rw-Latn-RW,45,6490743.000000,0.000000,1.000000,45,47,2,0,45,47,2,0,false,false,true,E06AF247410BA004971CDD67C0CE7C639180BBE1C1A1BDD7E1E4F79CF9DC8C96
edition-target:lang:mwr-Deva-IN,Marwari,mwr-Deva-IN,46,7831749.000000,0.000000,1.000000,45,46,1,0,45,46,1,0,false,false,true,DC504BF8A467DEEDE1A4CEF82D1AB55461643445FF3EA98AB8C0EF22AC433309
edition-target:lang:mad-Latn-ID,Madurese,mad-Latn-ID,47,7743533.000000,0.000000,1.000000,46,47,1,0,46,50,4,0,false,false,true,AED8F727A8C1A2D6F1142F5BAA356FAEFE6130E3C035291D2FCC8009F03E46B0
edition-target:lang:yue-Hant-HK,Cantonese (Yue),yue-Hant-HK,48,6328947.000000,0.000000,1.000000,48,48,0,0,47,49,2,0,false,false,true,7D773FD06A494574B0BF82F2340062192E7D25E19511AE632CBD6C0167AF5B0F
edition-target:lang:tk-Latn-TM,Turkmen,tk-Latn-TM,49,6297965.000000,0.000000,1.000000,49,50,1,0,48,50,2,0,false,false,true,0D88FBB86F0A7BBE07CE70E65FBF4FACADF3B03B0B36063F08055555C0E457BE
edition-target:lang:so-Latn-ET,Standard Somali,so-Latn-ET,50,4609274.000000,0.000000,1.000000,51,52,1,0,49,51,2,0,false,false,true,B819588D99720E46F058FD91E9369563C75A35F201F33DD3B9B2E8268B545759
edition-target:lang:ckb-Arab-001,Sorani Kurdish,ckb-Arab-001,51,7000000.000000,0.000000,1.000000,49,50,1,0,48,51,3,0,false,false,true,F56ED82C303C8A7199B1A70DE89C2A29FDBB1FAEE0DEF38CFF0D2803CD92A3DF
edition-target:lang:ky-Cyrl-KG,Kyrgyz,ky-Cyrl-KG,52,5360056.000000,0.000000,1.000000,51,52,1,0,52,52,0,0,false,false,true,8B1B016FD7E27D6E032C6A7B5DF4A476C4ADB11659E8E7FA45E0174234E2A3F8
edition-target:lang:ti-Ethi-ET,Tigrinya,ti-Ethi-ET,53,4324933.000000,0.000000,1.000000,53,53,0,0,53,53,0,0,false,false,true,C0FA3AA11BD88B704EEA3E6A64FEC99CA35234FA309EDF2841091C78C986A23A
edition-target:lang:gug-Latn-PY,Paraguayan Guarani,gug-Latn-PY,54,3792294.000000,0.000000,1.000000,54,55,1,0,54,55,1,0,false,false,true,C037A3E5DFD9B786F131C09C2D1C0267D9EC26192FB346C4B7B8E1BE55E5DA29
edition-target:lang:ka-Geor-GE,Georgian,ka-Geor-GE,55,3343987.000000,0.000000,1.000000,56,57,1,0,55,56,1,0,false,false,true,533B97584D9B4186E1F7FFFAB979D965D67AD9987044EF61703DBE889F686B78
edition-target:lang:min-Latn-ID,Minangkabau,min-Latn-ID,56,4230000.000000,0.000000,1.000000,54,55,1,0,54,56,2,0,false,false,true,F09B7457AE7615F6A175F8F7181509474003A188FF38906ADDE3F55FAEF4CF01
edition-target:lang:awa-Deva-IN,Awadhi (India),awa-Deva-IN,57,3850906.000000,0.000000,1.000000,56,57,1,0,57,59,2,0,false,false,true,0D231227F24BC644AEC672DE9FB1A5E2880CD94C21A212A09AACE5CC6E48BD8A
edition-target:lang:mai-Deva-NP,Maithili (Nepal),mai-Deva-NP,58,3222389.000000,0.000000,1.000000,58,59,1,0,57,60,3,0,false,false,true,534F93075A1A0AFB4B2D5D14819C4AC3C72413D01079E15F7FFF3F508A9EDDAA
edition-target:lang:hy-Armn-AM,Armenian,hy-Armn-AM,59,2840631.000000,0.000000,1.000000,60,61,1,0,58,61,3,0,false,false,true,281932995B7D4B30491DACC19C7191027832E6D4B44AFE34F043D3E6EDC6B73A
edition-target:lang:bjn-Latn-ID,Banjarese,bjn-Latn-ID,60,3650000.000000,0.000000,1.000000,58,59,1,0,58,60,2,0,false,false,true,81D81AC2095C3C65C79D506952B2F5C2034D2DB9E4E37A5A47615571CE8C2164
edition-target:lang:bug-Latn-ID,Buginese,bug-Latn-ID,61,3510000.000000,0.000000,1.000000,60,61,1,0,59,62,3,0,false,false,true,03A6CB27A26ECC575E94377744ABE08F565AFB833BAEA2AECC7990B9F9432572
edition-target:lang:brh-Arab-PK,Brahvi,brh-Arab-PK,62,2778670.000000,0.000000,1.000000,62,62,0,0,61,63,2,0,false,false,true,D8BD8B0AB950156717907296C509B73B657A7146A5058B890CD17EFA554BD780
edition-target:lang:ne-Deva-IN,Nepali (India jurisdiction pack),ne-Deva-IN,63,2925796.000000,0.000000,1.000000,63,63,0,0,62,63,1,0,false,false,true,2938938EACFD74366F965B8B669D6A017BE72FC9A6878E6BA47DFAF713A9DFE9
edition-target:lang:bho-Deva-NP,Bhojpuri (Nepal),bho-Deva-NP,64,1820795.000000,0.000000,1.000000,64,64,0,0,64,64,0,0,false,false,true,C4656D3D95B1AAA3BACFDF7821E8BFB116D3DD08253917DEDAEB0E6C0DD37F57
edition-target:lang:pov-Latn-GW,Guinea-Bissau Kriol,pov-Latn-GW,65,1303743.000000,0.000000,1.000000,65,65,0,0,65,65,0,0,false,false,true,6D7005E4E3A4AEF288464B14F57F0BF9686723D332F558C79F1A1B71D1DB9C6C
edition-target:lang:kek-GT,Q’eqchi’,kek-GT,66,1127387.000000,0.000000,1.000000,66,67,1,0,66,67,1,0,false,false,true,A25F35EE949918FC38323F0B70F3280B4C869A8027FBC5EBBF16CEED82E8212E
edition-target:lang:hak-Hant-TW,Taiwan Hakka,hak-Hant-TW,67,1193332.000000,0.000000,1.000000,66,67,1,0,66,67,1,0,false,false,true,FC309EDCF245E4D4E2A8BDF7D27AD95E76A892935D00E5DBFCC5F5157DBBCB97
edition-target:lang:quc-GT,K’iche’,quc-GT,68,1054818.000000,0.000000,1.000000,68,68,0,0,68,68,0,0,false,false,true,48CD6DD7CB2A0ACD504A1E659AEAA00E9A72327A355CE9209F0A52547986C45A
edition-target:lang:mfe-Latn-MU,Kreol Morisien,mfe-Latn-MU,69,1002135.000000,0.000000,1.000000,69,69,0,0,69,69,0,0,false,false,true,F06E8EC3435C7B4653D4FB4777263839946474B9D97E9F2837E7290C694BAE10
edition-target:lang:eu-Latn-ES,Basque,eu-Latn-ES,70,936812.000000,0.000000,1.000000,70,70,0,0,70,70,0,0,false,false,true,E4820A1926BA1C61B95F2310A2E44FC58FB65416B3ED69B5F3ABCE846B7353EC
edition-target:lang:awa-Deva-NP,Awadhi (Nepal),awa-Deva-NP,71,864276.000000,0.000000,1.000000,71,71,0,0,71,71,0,0,false,false,true,EEF682F5C0A9AF8FA3F56CC4EFAEE54EB9192F410687DB8E195E4BA79DA3769E
edition-target:lang:mam-GT,Mam,mam-GT,72,590641.000000,0.000000,1.000000,73,74,1,0,72,74,2,0,false,false,true,D5477753328F4B857A7653F5964DA75A15849D27A9AA4546E566F2B98FDEA273
edition-target:lang:yua-MX,Maayat’aan,yua-MX,73,774755.000000,0.000000,1.000000,72,72,0,0,72,75,3,0,false,false,true,B19E21228DBF9A270C9825F63073C5D9EDEEBA6BD56C98E44DEFDC0677C581A0
edition-target:lang:sn-Latn-ZA,Shona,sn-Latn-ZA,74,716967.000000,0.000000,1.000000,73,74,1,0,73,74,1,0,false,false,true,8CBD1129789F0322296B5CA236001D875B9B46BD522284C10FAE09DD942A0738
edition-target:lang:zgh-Tfng-MA,Standard Moroccan Amazigh,zgh-Tfng-MA,75,542781.000000,0.000000,1.000000,75,75,0,0,73,75,2,0,false,false,true,6E334056AB759E3F7494C2872536AAEA332B94B0E66E112F6B54CD110DD54337
edition-target:lang:tzh-MX,Tseltal,tzh-MX,76,589144.000000,0.000000,1.000000,76,76,0,0,76,79,3,0,false,false,true,56B63F9EB6157CA05FBC5B107241995D6F752CA6B1AC64603BD6882F3A8BBD72
edition-target:lang:ayr-BO,Bolivian Aymara,ayr-BO,77,457358.000000,0.000000,1.000000,78,79,1,0,76,80,4,0,false,false,true,D1F2E957A705FACA162958011BB12467C114313DC8F0B6BECD4AB3A7965423B1
edition-target:lang:cak-GT,Kaqchikel,cak-GT,78,411089.000000,0.000000,1.000000,80,81,1,0,76,79,3,0,false,false,true,6E3C9E190BCB4B786A14E7FE0DF2B71A359B88F4BE132FD480A03A51721120A5
edition-target:lang:cy-Latn-GB,Welsh,cy-Latn-GB,79,538300.000000,0.000000,1.000000,78,79,1,0,76,83,7,0,false,false,true,42F5627C43891B3FDAF002688AB50FCF23BABCD75757A53E09AD20C97C6ABA48
edition-target:lang:ayr-PE,Aymara in Peru,ayr-PE,80,444389.000000,0.000000,1.000000,80,81,1,0,77,81,4,0,false,false,true,D3BFB0CDFDCB75D13FFD369D1494B9022C12AC540E7110DFB271B22A1F4A09D1
edition-target:lang:tzo-MX,Tsotsil,tzo-MX,81,550274.000000,0.000000,1.000000,77,77,0,0,78,82,4,0,false,false,true,09D5F98B8BA1B7E96456E463AD2DBF706AFE48758A2F65C2A4B4B46A7AA82BA0
edition-target:regional:ru-Cyrl-EE,Russian mother-tongue population in Estonia,ru-Cyrl-EE,82,379210.000000,0.000000,1.000000,82,82,0,0,80,82,2,0,false,false,true,2A21B0FB3E53C1256D7AA327247038B470A4E5CB92BE074A1AF54EE007CC5EA9
edition-target:lang:swh-Latn-RW,Rwanda Kiswahili,swh-Latn-RW,83,331583.000000,0.000000,1.000000,84,84,0,0,83,84,1,0,false,false,true,046454D50D36A7331F61F4F6889D09D24BF383D78F18C929ADD61FBED8DF40DE
edition-target:lang:tet-Latn-TL,Tetun Prasa,tet-Latn-TL,84,361027.000000,0.000000,1.000000,83,83,0,0,82,84,2,0,false,false,true,72FA09BE583A9A0D54820B0B76502CF31C79667065C8EF27C854DE77A871D033
edition-target:lang:mag-Deva-NP,Magahi,mag-Deva-NP,85,230117.000000,0.000000,1.000000,85,85,0,0,85,86,1,0,false,false,true,6C6DA4A2822CB2CEA6E5647E193A9DA687DBEC6CD57FEC1F3A39942F6F32BE23
edition-target:lang:mi-Latn-NZ,Maori,mi-Latn-NZ,86,213849.000000,0.000000,1.000000,86,87,1,0,86,87,1,0,false,false,true,EF25F5E237BFDF2ADAC56277F14B8D265F00D2DAB6F74B93B5DBDA9D03C5925A
edition-target:lang:bzj-BZ,Belize Kriol,bzj-BZ,87,180792.000000,0.000000,1.000000,89,89,0,0,87,89,2,0,false,false,true,CD4E342D4CCAC191BFB11A35D3130A76AEEF390C4A39B23A5AFFA357B30EF2EF
edition-target:lang:ctu-MX,Chol,ctu-MX,88,254715.000000,0.000000,1.000000,86,87,1,0,85,89,4,0,false,false,true,A7ABB7D42248F876806F1D3E78A7CA35C6EE77903F66A3B99831940FF2E883CA
edition-target:lang:mgm-Latn-TL,Mambai,mgm-Latn-TL,89,195778.000000,0.000000,1.000000,88,88,0,0,87,89,2,0,false,false,true,7DAEC85D4088B415FD2335DF0F48BF7EAB8987741BF6D552361D3F2F20FCE839
edition-target:lang:kjb-GT,Q’anjob’al,kjb-GT,90,166261.000000,0.000000,0.984375,90,91,1,0,90,91,1,0,false,false,true,F04172B601F2BACAF608FC6B0DE0706A2327D6B73D0F953F1B81B7A3BAED7E09
edition-target:regional:nah-huasteca-hidalguense-Latn-MX,Mexicano de la Huasteca hidalguense,nah-huasteca-hidalguense-Latn-MX,91,195770.000000,0.000000,0.988281,90,91,1,0,90,91,1,0,false,false,true,3B24C5859789174D89CCCC6667AD3B6CF0298A7741C336EC5FE06A7290C71EAC
edition-target:lang:poh-GT,Poqomchi’,poh-GT,92,133074.000000,0.000000,0.941406,92,93,1,0,92,93,1,0,false,false,true,135FD6BD0B6F697BBE39FA6B857A1418744D98A552ED33D1AE1A9AA425E807FF
edition-target:lang:mkz-Latn-TL,Makasae,mkz-Latn-TL,93,123840.000000,0.000000,0.886719,94,95,1,0,94,95,1,0,false,false,true,5FF3089AB91AC24049E8CA0D83CB424926E910BC3E510247220D5AD15027EC83
edition-target:lang:acr-GT,Achi,acr-GT,94,124338.000000,0.000000,0.906250,93,94,1,0,93,94,1,0,false,false,true,9A7A299BB31DAEA2E3E6A5BE3200D33FA1B8EFB66457656E3459A14E087B5543
edition-target:lang:nav-US,Diné Bizaad,nav-US,95,161174.000000,0.000000,0.898438,92,95,3,0,92,98,6,0,false,false,true,9F116F76D1D96E33892669B2ECE856D29924E581544055D4C478A4ADC7FF3A4F
edition-target:lang:ixl-GT,Ixil,ixl-GT,96,114997.000000,0.000000,0.867188,97,99,2,0,96,99,3,0,false,false,true,59A780CE2BB96792C03E97B0354F1567E7D6E5D6A4DDCB0FFA7CA031AAF13031
edition-target:lang:pap-CW,Curaçao Papiamentu,pap-CW,97,115048.000000,0.000000,0.820312,96,98,2,0,95,98,3,0,false,false,true,3987F9FC6681438BB6243491456EB1F313A20789AB37C1760B1C3D7D2529EA99
edition-target:lang:pis-Latn-SB,Solomon Islands Pijin,pis-Latn-SB,98,101588.000000,0.000000,0.820312,100,101,1,0,97,101,4,0,false,false,false,A0101AF4461A835F7B6948C1735143F1396201294B76FC7E3E10BE38E1C48DF4
edition-target:regional:nah-sierra-noreste-puebla-Latn-MX,Náhuatl de la Sierra noreste de Puebla,nah-sierra-noreste-puebla-Latn-MX,99,134737.000000,0.000000,0.691406,96,98,2,0,96,99,3,0,false,false,true,606E183D29A5C71C4CB7B8226B7E2542D239721F6B9E87D1D2D0020F191B37F0
edition-target:regional:nah-huasteca-potosina-Latn-MX,Náhuatl de la Huasteca potosina,nah-huasteca-potosina-Latn-MX,100,133234.000000,0.000000,0.652344,97,99,2,0,97,101,4,0,false,false,false,522832BCF193D995766DBE6B94FCB15AFB1F5C958361606F7F9D3A0642B7C5E7
edition-target:regional:nah-mexicano-guerrero-Latn-MX,Mexicano de Guerrero,nah-mexicano-guerrero-Latn-MX,101,124762.000000,0.000000,0.578125,100,101,1,0,100,102,2,0,false,false,false,40B65207E1352BE1E2AA231E1CEDDDECCF44F1B36917C3AC8675D8C1C1702A2C
edition-target:lang:crs-Latn-SC,Kreol Seselwa,crs-Latn-SC,102,87323.000000,0.000000,0.433594,103,103,0,0,100,103,3,0,false,false,false,0B71AA6B27C018ED0DA9D2ED06CDC3B6491E50F27B2D6F02B62B3A12FE23D6FB
edition-target:regional:chol-northwest-Latn-MX,Chol del noroeste in Mexico,chol-northwest-Latn-MX,103,117379.000000,0.000000,0.445312,102,102,0,0,102,103,1,0,false,false,false,C82BA1DA6259A9D504ED966D3CA7E9183E124B2DFC464B4B93F0B539E9185810
edition-target:lang:pap-AW,Aruba Papiamento,pap-AW,104,69354.000000,0.000000,0.050781,104,105,1,0,104,104,0,0,false,false,false,80F7DD88999A5CE3B10429671452972066B89081B91DBD3DED82AC52731F3C96
edition-target:lang:kem-Latn-TL,Kemak,kem-Latn-TL,105,68995.000000,0.000000,0.007812,106,106,0,0,105,107,2,0,false,false,false,7DDD7C7C1DA668234D130A45B7C8AD7627D8B3890B72ED69383A74435875095D
edition-target:regional:tseltal-north-Latn-MX,Tseltal del norte in Mexico,tseltal-north-Latn-MX,106,84198.000000,0.000000,0.019531,104,105,1,0,105,108,3,0,false,false,false,9804B46222FCEFED5992BD3373C40286E3465C707ABEFE47F660E5D03EDCF3AB
edition-target:lang:bfn-Latn-TL,Bunak,bfn-Latn-TL,107,64686.000000,0.000000,0.003906,108,108,0,0,106,109,3,0,false,false,false,237CF26CB8910438136D6DB30B61BA62FE24CCBBA42332BD4968CFD4E98CF933
edition-target:lang:cri-Latn-ST,Forro,cri-Latn-ST,108,62707.000000,0.000000,0.003906,109,110,1,0,107,111,4,0,false,false,false,A07D5B7390BDAC750070B4D86B571842B013AADF40BEFB42FE1D202B477A5A7F
edition-target:regional:tsotsil-north-high-Latn-MX,Tsotsil del norte alto in Mexico,tsotsil-north-high-Latn-MX,109,77699.000000,0.000000,0.000000,107,107,0,0,106,111,5,0,false,false,false,83EE491BBD8C3AC9414E49BB25EEB5753976263328254463A42E2DF2341B6137
edition-target:lang:jiv-EC,Shuar Chicham,jiv-EC,110,58770.000000,0.000000,0.000000,111,112,1,0,109,112,3,0,false,false,false,A791B33954224AE915F04D18A60A8A3D7D71DC49B3BBB22701FA37D6C26F3EE9
edition-target:lang:cac-GT,Chuj,cac-GT,111,58592.000000,0.000000,0.000000,113,113,0,0,110,113,3,0,false,false,false,9C337C1818D41327B6F373EFEE7AA1FC2DDCE7D3ED854F4E30A082BFDFEBD84A
