target_id,language_tag,language_names_json,script_orthography_json,territories_json,language_mode,identity_exactness,identity_only_not_access_evidence,target_row_hash
lang:ayr-BO,ayr-BO,"[""Bolivian Aymara""]","[""Latin; Bolivia official/community Bolivian Aymara orthography""]","[""Bolivia; named-language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,97a317b40acf0a9a3712a952962e5478794ff127a9da036121b36bad5f4a50eb
lang:ayr-PE,ayr-PE,"[""Aymara in Peru""]","[""Official Peru Latin Aymara alphabet""]","[""Peru; Aymara communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,3869c7f18f6d41d94935cc26cb72e43d04ad1d94eef975967ecafbaf6ecc304a
lang:bfn-Latn-TL,bfn-Latn-TL,"[""Bunak""]","[""Latin-based orthography""]","[""Timor-Leste; Bunak L1 communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,c5df492b377749a4d18e943e5b22f925d8775693e72a81bfc618e677c4c43aa7
lang:bho-Deva-IN,bho-Deva-IN,"[""Bhojpuri"",""Bhojpuri (India)""]","[""Devanagari"",""Devanagari; optional Kaithi heritage companion""]","[""India"",""India; especially Bihar and eastern Uttar Pradesh""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,b2113b3d8bc766e96acc337d6e160b7b5cf59e4e948ffe29bb0f5a78e677145e
lang:bho-Deva-NP,bho-Deva-NP,"[""Bhojpuri (Nepal)""]","[""Devanagari""]","[""Nepal; Bhojpuri-speaking Terai communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,7aa17d8e694f8038226e78391c11004326a930515910b86595ced0999534d15e
lang:bjn-Latn-ID,bjn-Latn-ID,"[""Banjarese""]","[""Latin; Banjar Kuala and Banjar Hulu locale tags""]","[""Indonesia; Banjarese daily home users age 5+""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,b641d6b95922d21aea1d5263b1e4cf59baff4181887cc4c4fbf2d675679a0182
lang:bla-CA,bla-CA,"[""Blackfoot""]","[""Community Blackfoot Latin orthography""]","[""Canada; Blackfoot communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,da342a6a5e370423fd942c91edc437d769cc6fd33cd3db0077d4feac2727113e
lang:bn-Beng-IN,bn-Beng-IN,"[""Bengali"",""Bengali (India standard)""]","[""Bengali"",""Bengali script; Indian Bengali orthography""]","[""India"",""India; especially West Bengal, Tripura, and Assam""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,dae9371a084cf9d7a29dc1b2d521ddd21c3e1a099640c0285f1dfe2f2a68984d
lang:brh-Arab-PK,brh-Arab-PK,"[""Brahvi""]","[""Brahvi Perso-Arabic right-to-left""]","[""Pakistan; especially Balochistan""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,0d30527ba74102abe07ced41dd165fcc7e949264938bf2a8f929ab20dd4658e5
lang:bug-Latn-ID,bug-Latn-ID,"[""Buginese""]","[""Latin core; Lontara is a separate literacy track""]","[""Indonesia; Buginese daily home users age 5+""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,c0bea31432ddfb2d2f543228fc110eec696077483384e0768ef4499f2db5cfca
lang:ca-Latn-ES,ca-Latn-ES,"[""Catalan""]","[""Latin""]","[""Catalan-speaking territories in Spain""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,6e2022e99bfd889090b48a4ab96d3c3b274376d1fe2e79e5a21320b70efad370
lang:caa-GT,caa-GT,"[""Ch\u2019orti\u2019""]","[""ALMG-standard Latin orthography for Ch\u2019orti\u2019""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,23231ed18eacfd6575da79dce54a8476f791f81e17b30b8abf2e8ae1d7420c90
lang:cac-GT,cac-GT,"[""Chuj""]","[""ALMG-standard Latin orthography for Chuj""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,628e1ac247a4d5e6fd8b634d545191037e1a4779f1a0b55f9f017cca07541ca6
lang:cak-GT,cak-GT,"[""Kaqchikel""]","[""ALMG-standard Latin orthography for Kaqchikel""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,80925b64bb985e08138844c57d6223c3e010552ec34563431c0652a263a841f0
lang:ccr-GT,ccr-GT,"[""Chalchiteko""]","[""ALMG-standard Latin orthography for Chalchiteko""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,95a7dec62a8feee9ee39c99e0791e35cdad0ca5009cce5da68e9589b2d73654a
lang:ch-Latn-MP,ch-Latn-MP,"[""CHamoru / Chamorro""]","[""CHamoru Latin orthography with \u00e5 and glottal conventions""]","[""Northern Mariana Islands; CHamoru home-language learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,f5a4523c66f2518b295ce7988a4df262ba49320ae9936463830431fb5e220d5a
lang:chk-Latn-FM,chk-Latn-FM,"[""Chuukese""]","[""Chuukese Latin orthography""]","[""Federated States of Micronesia; Chuukese-using communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,3cf25c9c3e9f9097d50169edc98fb3322023ed594e008373e7dd005adedc19d9
lang:cho-US,cho-US,"[""Choctaw""]","[""Community Choctaw Latin orthography""]","[""United States; Choctaw communities and urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,b5ce24ce703051ff82aacc11a6094101ff4da33c4f50b41eadbe919b3ff43384
lang:chr-US,chr-US,"[""Cherokee""]","[""Cherokee syllabary as first-class script; Latin transliteration only as support""]","[""United States; Cherokee communities and urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,cb803bad446e2a5af44a1970ba1197b00283e71899fd8b15e4a6aef9149c0413
lang:ciw-CA,ciw-CA,"[""Anishinaabemowin / Chippewa""]","[""Community double-vowel and/or syllabic conventions""]","[""Canada; Anishinaabemowin / Chippewa communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,2ec92876010a9f3aaacfadb72dab99e2c0c43ae16a0efe99b9ebe2b00c44bbb5
lang:ckt-RU,ckt-RU,"[""Chukchi""]","[""Cyrillic; exact Chukchi standard/local variety required""]","[""Russian Arctic and sub-Arctic; Chukchi communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,4821ac4a347871cc4a91eb285ee5682947ddf952735e0a36320c7fa793682067
lang:cmn-Hans-CN:spoken,cmn-Hans-CN,"[""Putonghua, spoken standard Mandarin"",""Standard Mandarin (Putonghua)""]","[""Simplified Han"",""Spoken; optional Hanyu Pinyin and Simplified Chinese transcript""]","[""Mainland China"",""Mainland China; Putonghua users and learners""]",spoken,EXACT_TARGET_IDENTITY,1,ca760e816e72c915e3c7a66afed44a6ad54f9733368a79362ddf746c0b4dfc85
lang:cod-PE,cod-PE,"[""Kukama Kukamiria""]","[""Official 18-grapheme Latin alphabet: a \u00eb i \u0268 u p t k m n j r ts ch sh w \u00ff y""]","[""Peru; Kukama Kukamiria communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,37e80b2a42aab08a0f101c77730a5bc970580f59a498e7d9c4f963a90c7170d3
lang:crj-CA,crj-CA,"[""Inu Ayimun / Southern East Cree""]","[""Eastern Cree syllabics and Roman orthography""]","[""Canada; Inu Ayimun / Southern East Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,3981a4578a7296ac740726c4fcf18be5f55517342c9af49a8171c19a8a8eaad3
lang:crk-CA,crk-CA,"[""Nehiyawewin / Plains Cree""]","[""Standard Roman Orthography and/or syllabics""]","[""Canada; Nehiyawewin / Plains Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,570b9a944d7c0637fe9a9be5f38ce1914d65ef76d684e273bc5baf8773799fac
lang:crl-CA,crl-CA,"[""Iyiyiw-Ayimiwin / Northern East Cree""]","[""Eastern Cree syllabics and Roman orthography""]","[""Canada; Iyiyiw-Ayimiwin / Northern East Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,f4b24fd21b5db5fb9793e9486ac9e39f012bcf65354a93251fc357d1efca102c
lang:crm-CA,crm-CA,"[""Ilimowin / Moose Cree""]","[""Latin and/or Canadian Aboriginal syllabics as community selected""]","[""Canada; Ilimowin / Moose Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,7abb812f29a70a8e0a21c41fb35cca8add60516e1bc53a9a9a25606dd6d5be17
lang:csw-CA,csw-CA,"[""Nehinawewin / Swampy Cree""]","[""Community Roman and/or syllabic orthography""]","[""Canada; Nehinawewin / Swampy Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,70142b37f83a72ea7928b27ece4b7ffcb957990b0cea0110440e3da0b7d40213
lang:ctu-MX,ctu-MX,"[""Chol""]","[""Latin; community and official Chol conventions""]","[""Mexico""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,4db38bf05098fbe7ee2c334f79690000b7da01da6b8110b09b7dd0f8489f3ec8
lang:cwd-CA,cwd-CA,"[""Nihithawiwin / Woods Cree""]","[""Community Roman and/or syllabic orthography""]","[""Canada; Nihithawiwin / Woods Cree communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,1ad73fe680a41d64ed90a618d0713f43fec0f67c4ba05c9eeb7bf5b60211dc7e
lang:cy-Latn-GB,cy-Latn-GB,"[""Welsh""]","[""Latin""]","[""Wales""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,5ff1204c98361a8fdf35c0bbb6120223fa82e465219141bdd7ffe2c0f3f834fc
lang:dhv-Latn-NC,dhv-Latn-NC,"[""Drehu""]","[""Drehu Latin orthography""]","[""New Caledonia; Drehu-using communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,464d96f94408955e38c8359fc676a349c60196f721934dafe05bdca813701d29
lang:dlg-RU,dlg-RU,"[""Dolgan""]","[""Cyrillic; exact Dolgan standard/local variety required""]","[""Russian Arctic and sub-Arctic; Dolgan communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,2aee2596e9d948a12d7f2d13d97933b7c299744374f2df584c932f25c52f8877
lang:es-Latn-US,es-Latn-US,"[""Spanish""]","[""Latin""]","[""United States""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,a9862fda720c4860dff4f91c21b662dd0e933e250d7cb54028b0ebed0ccd54e2
lang:eu-Latn-ES,eu-Latn-ES,"[""Basque""]","[""Latin""]","[""Basque Country, Spain""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,8b7ec9739d00c00143fd49abb969f93e1da472dbdd0532a86108c1ec7d4e2c3a
lang:eve-RU,eve-RU,"[""Even""]","[""Cyrillic; exact Even standard/local variety required""]","[""Russian Arctic and sub-Arctic; Even communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,253624c78581eb7f8862ae74c9d79079764e7d3836dd16547eeb4655ced59ca0
lang:evn-RU,evn-RU,"[""Evenki""]","[""Cyrillic; exact Evenki standard/local variety required""]","[""Russian Arctic and sub-Arctic; Evenki communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,1e7f0055284769501edbaadc0faecc881380d4a828a7e1c38ad9ffdb05bbbfaa
lang:gu-Gujr-IN,gu-Gujr-IN,"[""Gujarati""]","[""Gujarati"",""Gujarati script""]","[""India"",""India; especially Gujarat""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,56d808542c71ed056a3deece89097d4caf19e138af47c870264bad9d913bd4fb
lang:gub-BR,gub-BR,"[""Guajajara""]","[""Latin; community-approved Guajajara orthography""]","[""Brazil; Guajajara communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,ef3c705bda7b3b9fd394517e58354c09b3ff3418a0dc592c5ecccce26dcc3a7b
lang:gug-Latn-PY,gug-Latn-PY,"[""Paraguayan Guarani""]","[""Latin""]","[""Paraguay covered household-survey population""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,0e1bc2b82db7c39133ed5c50e7767d45e878084661d0510ecf05d9c5e2b3e922
lang:gui-BO,gui-BO,"[""Bolivian Guaran\u00ed""]","[""Latin; Bolivia official/community Bolivian Guaran\u00ed orthography""]","[""Bolivia; named-language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,eec3a40dc4cfd1c49ea50b6455fb264e8a48fba795c2166ac8fd80dc0561ce5a
lang:hi-Deva-IN,hi-Deva-IN,"[""Hindi (raw standard return)"",""Hindi proper""]","[""Devanagari""]","[""India"",""India; Hindi-speaking communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,a2ab762f54b70eed70dee0e8d08d42fd6108b45a50e6c019bf539b05839d4fa8
lang:hne-Deva-IN,hne-Deva-IN,"[""Chhattisgarhi""]","[""Devanagari""]","[""India; Chhattisgarh""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,b013c8362a401973faf06af8cdb602f04be64c5175c2542713b5644871334fa1
lang:hop-US,hop-US,"[""Hopi""]","[""Community Hopi Latin orthography""]","[""United States; Hopi communities and urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,dae15ecc49b32b032e8e2a7616f5154ab103b7796a12ae608ac82878d9075489
lang:id-Latn-ID,id-Latn-ID,"[""Bahasa Indonesia"",""Bahasa Indonesia plus English terminology"",""Bahasa Indonesia with English literature bridge"",""Bahasa Indonesia with English terminology and abstract bridge"",""Bahasa Indonesia with English terminology bridge"",""Bahasa Indonesia with optional regional-language companions"",""Bahasa Indonesia with regional-language and sign-language companions"",""Bahasa Indonesia with regional-language bridges"",""Bahasa Indonesia with regional-language companions"",""Bahasa Indonesia with regional-language support"",""Indonesian"",""Indonesian / Bahasa Indonesia""]","[""Latin"",""Latin (standard Indonesian orthography)"",""Latin; companion orthography and signed modality language-specific"",""Latin; companion orthography language-specific"",""Latin; standard Indonesian orthography""]","[""Indonesia"",""Indonesia; daily home users age 5+"",""Indonesia\u2014PISA-eligible in-school 15-year-olds"",""Indonesia\u2014agriculture, forestry and fishing workers"",""Indonesia\u2014bachelor's students"",""Indonesia\u2014children ages 3\u20136 and caregivers"",""Indonesia\u2014employed adults, households and enterprise operators"",""Indonesia\u2014hazard-exposed communities, schools and services"",""Indonesia\u2014higher-education learners"",""Indonesia\u2014higher-education learners and researchers"",""Indonesia\u2014late-primary-age children"",""Indonesia\u2014master's and doctoral learners"",""Indonesia\u2014national"",""Indonesia\u2014residents, caregivers and health trainees"",""Indonesia\u2014school-based vocational secondary learners"",""Indonesia\u2014youth ages 15\u201324 not in employment, education or training""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,b3d4560bafdf501f9a429aa8ad9a99e17188f327a405a10955188a0574fb7106
lang:ig-Latn-NG,ig-Latn-NG,"[""Igbo"",""Standard Igbo""]","[""Latin"",""Latin with required diacritics and learner tone support""]","[""Nigeria""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,67cc2121df3b7edb08c992215c6b92faa78d3b43930bf81660de2c2d6d668e7f
lang:ikt-CA,ikt-CA,"[""Inuinnaqtun""]","[""Roman Inuinnaqtun orthography""]","[""Canada; Inuinnaqtun communities and learners outside Inuit Nunangat""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,62824f9564eb1671d3f0d81e7ac8e1b174d913a8415e8cc16355a500c1a48c82
lang:iku-CA,iku-CA,"[""Inuktitut""]","[""Inuktitut syllabics in Nunavut/Nunavik plus standardized Roman where locally used""]","[""Canada; Inuktitut communities and learners outside Inuit Nunangat""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,3d7ca947964a969a5d3d3d698c9678da02d81e7358267d6ce3b853d1ea4dc395
lang:itl-RU,itl-RU,"[""Itelmen""]","[""Cyrillic; exact Itelmen standard/local variety required""]","[""Russian Arctic and sub-Arctic; Itelmen communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,2488a3e5044006cb96fadcb92a79a56896162907e634a7c4d1f0f3d8b7273fcb
lang:itz-GT,itz-GT,"[""Itza\u2019""]","[""ALMG-standard Latin orthography for Itza\u2019""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,f9334a9e55846ef3ad25012f5055f4a54167a61336e460f45dbdaa06e3bba3aa
lang:iu-Cans-CA,iu-Cans-CA,"[""Inuktitut""]","[""Canadian Aboriginal syllabics""]","[""Canada""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,d3648e1644acedb8dd6c67c56140808556a9689cacd8868793c08fa9c1b7f6f7
lang:ixl-GT,ixl-GT,"[""Ixil""]","[""ALMG-standard Latin orthography for Ixil""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,2e7a167f0258d6aee6c475fffeaa4c028807ece54c7d918538ffc028248ad51d
lang:jac-GT,jac-GT,"[""Popti\u2019 / Jakalteko""]","[""ALMG-standard Latin orthography for Popti\u2019 / Jakalteko""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,644608335359af8c9585b5b2626e9eccf2351affcf319f0b385e65256938b80e
lang:jiv-EC,jiv-EC,"[""Shuar Chicham""]","[""Latin; official/community Shuar Chicham orthography""]","[""Ecuador; Shuar Chicham communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,163776f1c7622cd40c60eef1b515c6c4d18454f754b30603fd3905f3c37ded6f
lang:jv-Latn-ID,jv-Latn-ID,"[""Javanese""]","[""Latin"",""Modern Latin orthography; dialect-tagged audio""]","[""Indonesia"",""Indonesia; Javanese daily home users age 5+""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,0cf525300dfb3e5859c90909ee0e848f541785d40eb74082191a5babe0c210b1
lang:kek-GT,kek-GT,"[""Q\u2019eqchi\u2019""]","[""ALMG-standard Latin orthography for Q\u2019eqchi\u2019""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,9aba97e15f1ffe9d6ffb9b6632de629c944a651846e8392d1ab6466a939bbeef
lang:kek-Latn-GT,kek-Latn-GT,"[""Q'eqchi'""]","[""Latin""]","[""Guatemala""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,cf9f9daf38d43344efb6ca1a5119f6de2b7dab49ce0fc571b65157c1894b9bf2
lang:kem-Latn-TL,kem-Latn-TL,"[""Kemak""]","[""Latin-based orthography""]","[""Timor-Leste; Kemak L1 communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,201f690dcc0e628662ac398131537726c896273ff8e8e2ed62e1ed96a101d210
lang:kgk-BR,kgk-BR,"[""Guarani Kaiow\u00e1""]","[""Latin; community-approved Guarani Kaiow\u00e1 orthography""]","[""Brazil; Guarani Kaiow\u00e1 communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,34daae4b37c9cf3a83c7b4d985d09a2813460e06548a606e11ce85dcc33d4e08
lang:kgp-BR,kgp-BR,"[""Kaingang""]","[""Latin; community-approved Kaingang orthography""]","[""Brazil; Kaingang communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,c3bd7809b6e6417991f01d468bd2ec27cea35867fe6864d6d60d73ddc1160578
lang:kjb-GT,kjb-GT,"[""Q\u2019anjob\u2019al""]","[""ALMG-standard Latin orthography for Q\u2019anjob\u2019al""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,dbfd2c1bfa30cfde6c91de48be7f3e86f6f8be3c9bd430406ed2a17d0a11ed09
lang:km-Khmr-KH,km-Khmr-KH,"[""Khmer""]","[""Khmer script; Cambodian standard""]","[""Cambodia; Khmer mother-tongue population""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,4580165d230d0c235ebf9169991efc04c5876fcf04aeea500fccd9d805248e2d
lang:kn-Knda-IN,kn-Knda-IN,"[""Kannada""]","[""Kannada"",""Kannada script""]","[""India"",""India; especially Karnataka""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,5f307a3aa2f0a01a2ac4755db99a5b7e1bbc6ea01029f983f1ffc624d65750d4
lang:knj-GT,knj-GT,"[""Akateko""]","[""ALMG-standard Latin orthography for Akateko""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,9eb7132ed07ae490155252984263971b80bdd6fc483b42b71d9ed6ed3dc6f8a1
lang:kos-Latn-FM,kos-Latn-FM,"[""Kosraean""]","[""Kosraean Latin orthography""]","[""Federated States of Micronesia; Kosraean-using communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,5e10e85729fce55542cd7b3d2059b92da0bbe4b7bc9f636c7b6a51cde0d14c5d
lang:ky-Cyrl-KG,ky-Cyrl-KG,"[""Kyrgyz""]","[""Cyrillic""]","[""Kyrgyzstan""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,594cb975e6d6776c9a3a735aa12cd53be0860e5dd4d4b84b034de571a222f545
lang:mad-Latn-ID,mad-Latn-ID,"[""Madurese""]","[""Latin; locale-tag eastern/western speech where material""]","[""Indonesia; Madurese daily home users age 5+""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,f185db5b62a4e467d423b26075e5040d85f9a248f949b59dbe06831f80914779
lang:mag-Deva-IN,mag-Deva-IN,"[""Magahi/Magadhi (India)""]","[""Devanagari""]","[""India; especially Bihar and Jharkhand""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,ff0f59decc58602da23d5783b438601270937e3dc3900d645e8f04538798e478
lang:mag-Deva-NP,mag-Deva-NP,"[""Magahi/Magadhi (Nepal)""]","[""Devanagari""]","[""Nepal; Terai communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,1db1bca489dad581a501ad24a27dab09782b1a88d6d001309d494539612ad89a
lang:mai-Deva-IN,mai-Deva-IN,"[""Maithili (India)""]","[""Devanagari mainstream; optional Tirhuta access companion""]","[""India; especially Bihar and Jharkhand""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,e7ced2dcb9d447eb7422c1058f8bbd3ce94c1dd96c3be2183c6c53084af0f2e1
lang:mai-Deva-NP,mai-Deva-NP,"[""Maithili (Nepal)""]","[""Devanagari mainstream; optional Tirhuta access companion""]","[""Nepal; especially Madhesh/Terai""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,46f4eaa6f032245c0342fee27a4029f0e1fd053ca0fe3aa4245673869e558d24
lang:mam-GT,mam-GT,"[""Mam""]","[""ALMG-standard Latin orthography for Mam""]","[""Guatemala; ALMG language communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,24e357acdef2c6fb941776c0ce530c847fbdb179488b9b818ce383a61f77ca0e
lang:mgm-Latn-TL,mgm-Latn-TL,"[""Mambai""]","[""Latin-based orthography""]","[""Timor-Leste; Mambai L1 communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,dedbaebca28409189bad5992be793b6bea7d9aa3df28740db632ffb74146b054
lang:mi-Latn-NZ,mi-Latn-NZ,"[""Maori"",""te reo M\u0101ori""]","[""Latin with macrons"",""M\u0101ori Latin orthography with macrons; iwi/dialect labels retained""]","[""Aotearoa New Zealand"",""Aotearoa New Zealand; M\u0101ori-medium learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,c7454fbd9fcd76a3c6df5b1b61c9c3d43a14c81a1980b3393f56605742f7c14c
lang:mic-CA,mic-CA,"[""Mi\u2019kmaq""]","[""Community-approved Francis-Smith or other accepted orthography""]","[""Canada; Mi\u2019kmaq communities, including urban/reclamation learners""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,92d22898d37ece4d213116be46df7dac4b7ae971a6a0287130858cfa0ed93bc1
lang:min-Latn-ID,min-Latn-ID,"[""Minangkabau""]","[""Latin; dialect-tagged""]","[""Indonesia; Minangkabau daily home users age 5+""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,811699376905ddef25db478324d416c4dc28415cc3771362da4f6043ae92cfe5
lang:mkz-Latn-TL,mkz-Latn-TL,"[""Makasae""]","[""Latin-based orthography""]","[""Timor-Leste; Makasae L1 communities""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,1db6a258e0353e0bedaf30d3f4603f4c72721d5e6931da887de8d85396165c11
lang:ml-Mlym-IN,ml-Mlym-IN,"[""Malayalam""]","[""Malayalam"",""Malayalam script""]","[""India"",""India; especially Kerala""]",written_or_multimodal,EXACT_TARGET_IDENTITY,1,c7940d37a76bdaa2336797e06199db1eda3875a257490d6a13b13a1299cc2894
