source_id,organization_or_authors,title,source_type,url,publication_or_update,claim_used,evidence_class,limitations,retrieved_utc
SRC14,DAISY Consortium,Ace by DAISY validation guidance,Official accessibility validation guidance,https://kb.daisy.org/publishing/docs/epub/validation/ace.html,accessed 2026-09-01,Ace results require complementary validation and do not alone prove WCAG conformance,OFFICIAL_VALIDATION_GUIDANCE,Automated rule coverage is incomplete,2026-09-01
SRC16,W3C Voice Browser Working Group,Speech Synthesis Markup Language 1.1,W3C Recommendation,https://www.w3.org/TR/speech-synthesis/,2010-09-07,"Pronunciation, language, rate, and other speech controls need explicit handling",NORMATIVE_TECHNICAL_SPECIFICATION,Synthesis behavior varies and no speed prior is supplied,2026-09-01
SRC17,W3C Web Accessibility Initiative,Making Audio and Video Media Accessible,Official accessibility guidance,https://www.w3.org/WAI/media/av/,accessed 2026-09-01,"Captions, descriptive transcripts, visual description, and sign language are separate media branches",AUTHORITATIVE_GUIDANCE,No universal workload rate,2026-09-01
SRC18,United States Federal Communications Commission,Closed Captioning Quality Order FCC 14-12,Primary regulatory source,https://docs.fcc.gov/public/attachments/FCC-14-12A1_Rcd.pdf,2014-02-24,"Accuracy, synchronicity, completeness, and placement form a useful caption QA checklist",PRIMARY_REGULATORY_SOURCE,"US television context, not a global workload standard",2026-09-01
SRC19,W3C,WebVTT,Technical specification,https://www.w3.org/TR/webvtt1/,accessed 2026-09-01,Timed-text cue and timestamp structure,NORMATIVE_TECHNICAL_SPECIFICATION,Validity does not prove caption quality,2026-09-01
SRC20,World Federation of the Deaf,WFD Charter,Representative-organization charter,https://wfdeaf.org/wfd-charter-2/,accessed 2026-09-01,Sign languages are complete natural languages,AUTHORITATIVE_RIGHTS_AND_LANGUAGE_SOURCE,No production effort rate,2026-09-01
SRC21,World Federation of the Deaf and WASLI,Sign Language Interpreter Guidelines for the United Nations,Official practice guidance,https://wfdeaf.org/wp-content/uploads/2017/02/Interpreter-Guidelines-for-UN-Updated-August-2017-1.pdf,2017,Sign language is not universal,AUTHORITATIVE_GUIDANCE,Event guidance does not quantify localization duration,2026-09-01
SRC22,World Federation of the Deaf,Primacy of Deaf People in National Sign Language Development and Teaching,Official position paper,https://wfdeaf.org/resources/position-paper-on-the-primacy-of-deaf-people-in-the-development-and-teaching-of-national-sign-languages/,accessed 2026-09-01,Named sign-language work requires Deaf-community leadership and language-specific scope,AUTHORITATIVE_RIGHTS_AND_LANGUAGE_SOURCE,Not a compute benchmark,2026-09-01
SRC23,W3C Web Accessibility Initiative,Understanding Success Criterion 1.2.6: Sign Language (Prerecorded),Official WCAG explanatory guidance,https://www.w3.org/WAI/WCAG22/Understanding/sign-language-prerecorded.html,accessed 2026-09-01,Named sign-language access is distinct from captions,AUTHORITATIVE_GUIDANCE,No workload multiplier,2026-09-01
SRC24,NLLB Team / Meta AI,FLORES-200 devtest parallel corpus,Public sentence-aligned multilingual evaluation corpus,https://dl.fbaipublicfiles.com/nllb/flores200_dataset.tar.gz,2022 archive snapshot,Exact aligned token counts for 204 language-script files and 203 non-English target variants,PUBLIC_CORPUS_MEASUREMENT,"General-domain 1,012-sentence proxy, not educational text or a population-weighted language sample",2026-09-01
SRC25,OpenAI,tiktoken 0.11.0 with cl100k_base and o200k_base encoding assets,Pinned open-source tokenizer implementation and vocabularies,https://pypi.org/project/tiktoken/0.11.0/,2025-08-08,Reproducible reference and working token counts with exact vocabulary-asset hashes,PINNED_SOFTWARE_MEASUREMENT,Tokenizer representation is not linguistic difficulty or architecture-independent compute,2026-09-01
