record_id,domain,intervention_or_language,jurisdiction,reference_year,evidence_role,measure_label,value,value_qualifier,unit,numerator,denominator,denominator_unit,reported_rate_percent,rate_basis,population_universe,age_scope,measure_definition,directness,language_specificity,valid_sign_language_user_count,source_tier,source_publisher,source_title,publication_date,source_url,source_locator,additivity_class,overlap_group,population_evidence_key,double_count_rule,applicable_interventions,recommended_use,status,limitations
SL-CSL-CN-2025-HEARING-PROXY,signed_language,Chinese Sign Language (CSL),China,2025,need_proxy,Hearing-impaired population facing information barriers,27800000,case_claim,persons,27800000,,,,,National hearing-impaired population as described in a government-published case,,Target population stated for an AI sign-translation deployment case.,government_published_case_proxy,not_CSL_user_count,no,official_case_publication,National Data Administration of China,AI sign-language translation data annotation enables accessible information,2025-05-20,https://www.nda.gov.cn/sjj/zhuanti/sjbz/0520/20250520203734249576249_pc.html,Case introduction: 27.8 million hearing-impaired people,proxy_not_additive,CN_HEARING_IMPAIRMENT_PROXY,CN_2025_CASE_HEARING_IMPAIRED,Never treat the hearing-impaired count as CSL users; it may include oral-language users and people needing captions or other supports.,CSL signed-language version; captions; multimodal accessibility,Broad need context and deployment rationale only.,proxy_only,"Submitted deployment case, not a population survey; no signer definition or compatible denominator."
SL-ISLINDIA-IN-2011-HEARING-PROXY,signed_language,Indian Sign Language (ISL-India),India,2011,need_proxy,Hearing disability share among persons with disabilities,19,reported,percent,,26800000,persons with disabilities,19,reported,Persons with disabilities enumerated by Census 2011,,Share of persons with disabilities reported as having hearing disabilities.,official_disability_context,not_ISL_user_count,no,primary_official,Press Information Bureau / Ministry of Social Justice and Empowerment,Parliament question: Indian Sign Language,2025-03-11,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2110150&lang=2&reg=48,Census 2011: 2.68 crore persons with disabilities; 19% hearing disabilities,proxy_not_additive,IN_CEN2011_DISABILITY,IN_CEN2011_PWD_HEARING_SHARE,Do not multiply this disability rate into an ISL-user count; hearing disability and ISL use are not equivalent.,ISL-India signed-language version; captions; multimodal accessibility,Policy context only; preserve the ISL-user measurement gap.,proxy_only,"Old disability census; no ISL ability, use, home-language, or native-language question."
SL-AUSLAN-AU-2021-HOME,signed_language,Auslan,Australia,2021,language_user_measure,Auslan used at home,16242,census_count_with_perturbation,persons,16242,25422788,census usual residents,0.063888,derived_from_official_counts,All Census persons at place of usual residence,all persons,Main non-English language used at home; 2021 form explicitly included sign languages and accepted one response.,direct_restricted,named_Auslan,yes,primary_official,Australian Bureau of Statistics,2021 Census All persons QuickStats and LANP dictionary,2022,https://www.abs.gov.au/census/find-census-data/quickstats/2021/AUS,"Language used at home: Auslan; national value 16,242",single_response_home_language,AU_2021_MAIN_NONENGLISH_HOME_LANGUAGE,AU_CEN2021_AUSLAN_HOME,Do not add to broader Auslan ability estimates; one-response home use omits users selecting another language or using Auslan only outside home.,Auslan signed-language version,Direct but lower-bound home-use audience.,direct_restricted,LANP non-response 5.7%; small random perturbations; not all users or native signers.
SL-NZSL-NZ-2023-CANUSE,signed_language,New Zealand Sign Language (NZSL),New Zealand,2023,language_user_measure,Can speak or use NZSL,24678,randomly_rounded_census_count,persons,24678,4993923,census usually resident population,0.494161,derived_from_official_counts,Census usually resident population,all persons,NZSL among languages a person can speak or use; up to six responses allowed.,direct_broad_ability,named_NZSL,yes,primary_official,Stats NZ,2023 Census place and ethnic group summaries; Languages spoken quality statement,2024,https://tools.summaries.stats.govt.nz/ethnic-group/pacific-peoples-not-further-defined,"Total New Zealand population column: NZSL 0.5%, count 24,678",multiple_response_overlay,NZ_2023_LANGUAGES_SPOKEN,NZ_CEN2023_NZSL_CANUSE,Do not sum with other language responses; a person may report up to six languages.,NZSL signed-language version,Direct NZSL ability/use audience under Census definition.,direct_restricted,"Random rounding; 85.3% current Census response, 8.8% historical responses, 0.4% deterministic derivation, 5.4% statistical imputation."
SL-LSQ-CA-2021-KNOW,signed_language,Quebec Sign Language (LSQ),Canada,2021,language_user_measure,Knowledge of LSQ,6195,census_sample_estimate,persons,6195,36328480,persons,0,published_rounds_below_0.05,Population in private households; 25% Census sample,all in universe,Reported LSQ among languages the person could use well enough to conduct a conversation.,direct_restricted,named_LSQ,yes,primary_official,Statistics Canada,"Census Profile, 2021 Census of Population",2022,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1%2C4,"Knowledge of languages; Quebec Sign Language; denominator 36,328,480",multiple_response_overlay,CA_2021_KNOWLEDGE_LANGUAGES,CA_CEN2021_PRIVATE_HH_KNOWLEDGE,Do not add to ASL or other language knowledge; multiple languages may be reported.,LSQ signed-language version,Direct Canada-specific LSQ ability/knowledge audience.,direct_restricted,"Not primary language, daily use, native language, or interpreter need; sample estimate and rounded output."
SL-IRSL-IE-2011-HOME,signed_language,Irish Sign Language (IrSL),Ireland,2011,language_user_measure,Irish Sign Language used at home,2590,census_count,persons,2590,,,,,People reporting a language other than English or Irish at home,,Irish Sign Language reported in the Census language-at-home response.,direct_restricted,named_IrSL,yes,primary_official,Central Statistics Office Ireland,Census 2011 Profile 8: Our Bill of Health,2012,https://www.cso.ie/en/media/csoie/census/documents/census2011profile8/Profile_8_Full_document.pdf,"Irish Sign Language section and Table B: 2,590",home_language_restricted,IE_CEN2011_SIGN_LANGUAGE_HOME,IE_CEN2011_IRSL_HOME,"Do not add the disability/hearing-impaired subgroups; they are nested within the 2,590 total.",Irish Sign Language signed-language version,Direct but home-use-restricted IrSL audience.,direct_restricted,Old Census; home-use question does not count every IrSL user; acronym kept as IrSL to avoid confusion with Indian Sign Language.
SL-SPAIN-SIGN-2020-USE,signed_language,"Spanish sign language(s), undifferentiated",Spain,2020,language_user_measure,Uses sign language among people with hearing disability,27300,survey_estimate_from_thousands,persons,27300,1230000,persons age 6+ with hearing disability,2.219512,derived_from_official_absolute_table,People age 6+ with hearing disability,6+,"Reported use of lengua de signos; survey table does not separate Spanish, Catalan, or other sign languages.",direct_restricted,undifferentiated_sign_languages,qualified,primary_official,National Statistics Institute of Spain (INE),EDAD 2020: Utilizacion de la lengua de signos por sexo y edad,2022,https://www.ine.es/jaxi/Tabla.htm?L=0&tpx=51816,"Absolute table 51628: total hearing disability 1,230.0 thousand; uses sign language 27.3 thousand",restricted_population_overlay,ES_EDAD2020_HEARING_DISABILITY_AGE6PLUS,ES_EDAD2020_SIGN_USE_AGE6PLUS,Do not assign the full count to one named language and do not add its age strata.,Spanish sign-language versions where language identity is separately established,Direct generic sign-use need in a restricted population; not a named-language count.,qualified_restricted,"Excludes hearing family members, learners, and interpreters; language identity is not distinguished."
AC-VISION-GLOBAL-2020-BLIND,accessibility_overlay,Screen-reader-native semantic HTML/MathML; EPUB; tagged PDF; audio/DAISY,Global,2020,population_need_proxy,People who are blind,43300000,estimated,persons,43300000,,,,,Global population,,Blindness under vision-impairment definitions cited by the GBD study.,population_need_proxy_not_usage,,,official_publication_relaying_peer_reviewed_estimate,WHO Eastern Mediterranean Health Journal,Systematic review and meta-analysis of childhood visual impairment,2023,https://www.emro.who.int/emhj-volume-29-2023/volume-29-issue-6/systematic-review-and-meta-analysis-of-childhood-visual-impairment-in-the-eastern-mediterranean-region.html,Introduction: 43.3 million blind in 2020,person_overlay_not_additive,GLOBAL_VISUAL_ACCESS,GLOBAL_2020_BLINDNESS_ESTIMATE,Subset/overlap of broader visual impairment and assistive-technology populations; never sum.,screen-reader-native semantic HTML; MathML; EPUB; tagged PDF; audio/DAISY,"Narrow population-need proxy, not a screen-reader-user count.",context_only,"Blindness does not imply screen-reader use; access mode varies by person, task, literacy, device, and context."
AC-VISION-GLOBAL-2026-BROAD,accessibility_overlay,Screen-reader-native semantic HTML/MathML; EPUB; tagged PDF; audio/DAISY,Global,2026,broad_population_context,Near or distance vision impairment,2200000000,at_least,persons,2200000000,,,,,Global population,,People with near or distance vision impairment.,broad_population_context_not_usage,,,primary_official,World Health Organization,Blindness and vision impairment,2026-02-10,https://www.who.int/news-room/fact-sheets/detail/blindness-and-visual-impairment,Key facts and prevalence: at least 2.2 billion,person_overlay_not_additive,GLOBAL_VISUAL_ACCESS,GLOBAL_2026_NEAR_OR_DISTANCE_VISION_IMPAIRMENT,"Includes many people who do not need a screen reader and overlaps blindness, literacy, dementia, and AT need; never sum.",semantic HTML; MathML; EPUB; tagged PDF; audio/DAISY; scalable text,"Broad upper-context for visual accessibility, not an intervention beneficiary count.",context_only,Heterogeneous severity and correction status; no digital access-mode measure.
AC-AT-GLOBAL-2022-NEED,accessibility_overlay,Assistive-technology-compatible delivery,Global,2022,broad_population_context,Needs one or more assistive products,2500000000,more_than,persons,2500000000,,,,,Children and adults with disabilities and older persons globally,,"Need for one or more assistive products across mobility, hearing, self-care, vision, cognition, and communication.",broad_cross_domain_need,,,primary_official_joint_report,WHO and UNICEF,Global Report on Assistive Technology launch,2022-05-16,https://www.who.int/news/item/16-05-2022-almost-one-billion-children-and-adults-with-disabilities-and-older-persons-in-need-of-assistive-technology-denied-access--according-to-new-report,More than 2.5 billion need one or more assistive products,person_overlay_not_additive,GLOBAL_ASSISTIVE_TECHNOLOGY,GLOBAL_GReAT2022_AT_NEED,Umbrella population overlaps every disability-access intervention and cannot be allocated or added across formats.,screen readers; communication/cognition apps; accessible digital and physical formats,Cross-domain context only.,context_only,"Not specific to reading, education, digital content, or any one assistive product."
AC-AT-GLOBAL-2022-DENIED,accessibility_overlay,Assistive-technology-compatible delivery,Global,2022,access_gap,People needing assistive technology who are denied access,1000000000,nearly,persons,1000000000,,,,,People in the global assistive-technology need population,,People needing one or more assistive products who lack access.,broad_access_gap,,,primary_official_joint_report,WHO and UNICEF,Global Report on Assistive Technology launch,2022-05-16,https://www.who.int/news/item/16-05-2022-almost-one-billion-children-and-adults-with-disabilities-and-older-persons-in-need-of-assistive-technology-denied-access--according-to-new-report,Nearly one billion denied access; access in some LMICs as low as 3%,nested_subset_not_additive,GLOBAL_ASSISTIVE_TECHNOLOGY,GLOBAL_GReAT2022_AT_DENIED,Nested within the more-than-2.5-billion need population; do not add to it.,screen readers; communication/cognition apps; accessible digital and physical formats,Broad unmet-access context only.,context_only,Not specific to educational content or any single accessibility format.
AC-HTML-UK-2022-24-INFOREL,accessibility_supply,Screen-reader-native semantic HTML/MathML,United Kingdom public sector,2022-2024,supply_access_gap,Websites failing WCAG 1.3.1 Info and Relationships,51.7,reported,percent_of_websites,,1151,websites in simplified monitoring,51.7,reported,"1,151 public-sector websites receiving simplified tests",,Percentage of tested websites with WCAG 1.3.1 Info and Relationships issues.,direct_supply_side,,,primary_official,UK Government Digital Service,Accessibility monitoring of public sector websites and mobile apps from 2022 to 2024,2024-12-17,https://www.gov.uk/government/publications/accessibility-monitoring-of-public-sector-websites-and-mobile-apps-from-2022-to-2024/accessibility-monitoring-of-public-sector-websites-and-mobile-apps-from-2022-to-2024,"Simplified testing n=1,151; WCAG 1.3.1 failure 51.7%",supply_unit_not_person_count,UK_GDS_2022_24_WEB_MONITORING,UK_GDS_2022_24_INFO_RELATIONSHIPS,Website failure rate cannot be combined with person counts or treated as the MathML failure rate.,semantic HTML; labeled structures; native tables/headings/forms; MathML for mathematical content,Direct evidence of semantic-structure remediation need in the monitored supply.,supply_gap,Public-sector UK sample; simplified testing covers limited pages and criteria; MathML was not separately measured.
AC-PDF-IE-2023,accessibility_supply,Tagged PDF and HTML alternatives,Ireland public sector,2023,supply_access_gap,Sites where PDF errors were the largest error category,137,reported,sites,137,231,sites under simplified review,59.307359,derived_from_reported_counts,231 public-sector sites in simplified review,,PDF errors accounted for the highest total number of errors on the site.,direct_supply_side,,,primary_official,National Disability Authority of Ireland,Ireland's Monitoring Report for the EU Web Accessibility Directive 2023,2023,https://nda.ie/uploads/publications/Monitoring-Report-EU-WAD-Ireland-2023.pdf,"Executive summary, PDF p. 6: 137 of 231 sites; p. 7 recommends HTML instead of PDF forms",supply_unit_not_person_count,IE_NDA_2023_WEB_MONITORING,IE_NDA2023_PDF_ERROR_DOMINANT_SITES,Site count is not a count of PDFs or people and cannot be combined with user-population overlays.,tagged PDF; semantic HTML alternative; accessible forms,Direct supply-side PDF remediation signal.,supply_gap,"Indicates error dominance, not that every PDF on each site failed; tagging alone does not guarantee cognitive or visual usability."
AC-EPUB-GLOBAL-WIPO-ACCESS,accessibility_supply,Accessible EPUB and other born-accessible publications,Global,current portal; estimate date not stated,supply_access_gap,Published materials readable by blind or low-vision people,10,less_than,percent_of_published_materials,,,,10,upper_bound_reported,All published materials in the World Blind Union estimate,,Share estimated readable by blind or low-vision people.,official_portal_relaying_WBU_estimate,,,official_secondary,WIPO Accessible Books Consortium,Accessible Books Consortium portal,,https://www.wipo.int/en/web/abc/portal/index,WBU estimates less than 10% of all published materials can be read by blind or low-vision people,supply_unit_not_person_count,GLOBAL_ACCESSIBLE_PUBLISHING,WIPO_WBU_PUBLISHED_MATERIAL_ACCESS_GAP,Do not convert a materials share into people or add it to population counts.,accessible EPUB; DAISY; braille; audio; born-accessible publishing,Global publication-access scarcity context.,supply_gap,"Estimate date, publication universe, and sampling method are not stated on the portal; not EPUB-specific."
AC-AUDIO-US-NLS-FY2024,accessibility_utilization,Audio/DAISY,United States NLS service,FY2024,observed_service_use,Audio readers served,202947,reported,readers,202947,,,,,National Library Service for the Blind and Print Disabled readership,,Readers served using audio; NLS digital talking-book players support DAISY/ANSI-NISO formats.,direct_service_utilization,,,primary_official,Library of Congress,"Annual Report of the Librarian of Congress, FY2024",2026,https://www.loc.gov/static/portals/about/reports-and-budgets/documents/annual-reports/fy2024.pdf,"Table 12: total readers 219,589; audio readers 202,947",service_categories_overlap,US_NLS_FY2024_READERSHIP,US_NLS_FY2024_AUDIO_READERS,"Do not add audio, BARD, cartridge, and braille readership categories; they overlap.",audio; DAISY digital talking books; navigable offline cartridges,"Observed utilization and proof of demand, not prevalence.",utilization,One national service system; excludes eligible nonusers and other audio-book services; annual report notes one library data issue in the overall total.
AC-LITERACY-GLOBAL-2025,accessibility_overlay,Plain-language and cognitive-access versions,Global,2025,population_need_proxy,Adults lacking basic literacy skills,739000000,estimated,persons,739000000,,,,,Adults age 15+ globally,15+,Adults lacking basic literacy skills under UIS reporting.,population_need_proxy,,,primary_official,UNESCO / UNESCO Institute for Statistics,Literacy,2025,https://www.unesco.org/en/literacy?hub=68243,Key facts: 739 million adults age 15+ lack basic literacy skills,person_overlay_not_additive,GLOBAL_PLAIN_COGNITIVE_ACCESS,GLOBAL_UIS2025_BASIC_LITERACY_GAP,"May overlap low measured literacy, dementia, disability, language mismatch, and offline populations; never sum.",plain language; easy-read; audio; pictorial support; assisted completion,Broad literacy-related need proxy.,context_only,Lack of basic literacy is not synonymous with cognitive disability or a preference for one plain-language standard.
AC-LITERACY-OECD-PIAAC2023,accessibility_overlay,Plain-language and cognitive-access versions,PIAAC Cycle 2 participating OECD countries,2023,population_rate_proxy,Adults at literacy Level 1 or below,26,average,percent_of_adults,,,,26,reported_average,Adults age 16-65 in participating OECD countries,16-65,Average share scoring at Level 1 or below on the PIAAC literacy scale.,direct_measured_skill_rate,,,primary_official,OECD,Adult literacy skills / Survey of Adult Skills 2023,2024,https://www.oecd.org/en/topics/literacy-skills.html,PIAAC Cycle 2: 26% of adults at Level 1 or below; 31 countries participated in Round 1,rate_not_person_count,GLOBAL_PLAIN_COGNITIVE_ACCESS,PIAAC2023_LOW_LITERACY_AVERAGE,Do not apply the 26% average to nonparticipants or add it to UNESCO's global count.,plain language; clear structure; worked examples; assisted completion,Measured functional-literacy rate in the participating-country frame.,context_only,"Cross-country average, not a global rate; country rates vary substantially."
AC-DEMENTIA-GLOBAL-2021,accessibility_overlay,Plain-language and cognitive-access versions,Global,2021,population_need_proxy,People living with dementia,57000000,estimated,persons,57000000,,,,,Global population,,People living with dementia.,population_need_proxy,,,primary_official,World Health Organization,Dementia fact sheet,2025,https://www.who.int/news-room/fact-sheets/detail/dementia%E2%80%AF,Key facts: 57 million in 2021,person_overlay_not_additive,GLOBAL_PLAIN_COGNITIVE_ACCESS,GLOBAL_WHO2021_DEMENTIA,"Overlaps literacy, visual, AT, ageing, and connectivity populations; never sum.",plain language; easy-read; consistent navigation; audio; supported decision-making,"Cognitive-access need context, not a plain-language user count.",context_only,"Dementia is heterogeneous; accessibility needs vary by stage, person, and task."
AC-OFFLINE-GLOBAL-ITU2025,accessibility_overlay,Low-bandwidth/offline bundles and print-ready service routes,Global,2025,population_access_gap,People remaining offline,2200000000,estimated,persons,2200000000,,,,,Global population,,People not using the Internet under ITU usage concepts.,direct_connectivity_context,,,primary_official,International Telecommunication Union,Facts and Figures 2025 press release,2025-11-17,https://www.itu.int/en/mediacentre/Pages/PR-2025-11-17-Facts-and-Figures.aspx,Six billion online; 2.2 billion remain offline,person_overlay_not_additive,GLOBAL_CONNECTIVITY_ACCESS,GLOBAL_ITU2025_OFFLINE,"Overlaps youth without home internet, remote-learning exclusion, disability, literacy, and language groups; use once as broad context.",low-bandwidth bundles; offline packages; downloadable media; print-ready forms; phone and face-to-face routes,Current broad offline-access context.,context_only,Internet nonuse is not the same as inability to use any digital delivery; no educational-resource-specific measure.
AC-HOMEINTERNET-YOUTH-GLOBAL-2020,accessibility_overlay,Low-bandwidth/offline bundles,Global,2020,population_access_gap,Children and young people without internet at home,2200000000,estimated,persons,2200000000,,,65,more_than,Children and young people age 25 or less,0-25,No internet connection at home.,direct_connectivity_context,,,primary_official_joint_report,UNICEF and ITU,How many children and young people have internet access at home?,2020,https://www.unicef.org/media/88381/file/How-many-children-and-young-people-have-internet-access-at-home-2020.pdf,Key messages: 2.2 billion age 25 or less; more than 65%,person_overlay_not_additive,GLOBAL_CONNECTIVITY_ACCESS,GLOBAL_UNICEF_ITU2020_NO_HOME_INTERNET_AGE0_25,Do not add school-age 1.3 billion and youth 760 million subgroups; ages 15-17 overlap and both sit within the age-0-25 total.,offline learning bundles; downloadable packages; broadcast; print,Historical age-specific home-connectivity need context.,context_only,Home internet differs from any internet use; source surveys span 2010-2020; pandemic-era snapshot.
