candidate_id,target_label,language_variety,language_tag,script_orthography,territory_community,modality,learner_stage_scope,population_low,population_base,population_high,population_unit,population_definition,population_reference_year,population_source_id,population_source_url,academic_language_overlap_low,academic_language_overlap_base,academic_language_overlap_high,overlap_definition,baseline_access_status,evidence_confidence,rankable,notes
"sa_in_bangla_beng","Indian Bangla/Bengali","Bengali (India standard)","bn-Beng-IN","Bengali script; Indian Bengali orthography","India; especially West Bengal, Tripura, and Assam","offline-first print+audio+low-data mobile","A1-A2-B-C-D","96177835","96177835","96177835","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi advanced-study bridge varies by jurisdiction; unmeasured","West Bengal rural all-school Std III: reading 36.3%, subtraction 40.9%","high-historical","yes","report_priority=10; separate country standard from Bangladesh Bangla"
"sa_in_telugu_telu","Telugu — India","Telugu","te-Telu-IN","Telugu script","India; Andhra Pradesh and Telangana","offline-first print+audio+low-data mobile","A1-A2-B-C","80912459","80912459","80912459","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi academic overlap unmeasured","Rural all-school Std III reading: Andhra Pradesh 15.7%, Telangana 6.2%; subtraction 44.1% and 30.9%","high-historical","yes","report_priority=11; state curriculum packs required"
"sa_in_tamil_taml","Indian Tamil","Tamil (India standard)","ta-Taml-IN","Tamil script; Indian Tamil orthography","India; especially Tamil Nadu","offline-first print+audio+low-data mobile","A1-A2-B-C","68888839","68888839","68888839","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English advanced-study overlap unmeasured","Tamil Nadu rural all-school Std III: reading 12.0%, subtraction 27.7%","high-historical","yes","report_priority=12; separate from Sri Lankan Tamil"
"sa_in_marathi_deva","Marathi — Devanagari","Marathi","mr-Deva-IN","Devanagari Marathi","India; especially Maharashtra","offline-first print+audio+low-data mobile","A1-A2-B-C-D","82801140","82801140","82801140","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi advanced-study overlap unmeasured","Maharashtra rural all-school Std III: reading 37.0%, subtraction 31.3%","high-historical","yes","report_priority=13"
"sa_pk_sindhi_arab","Pakistan Sindhi — Arabic-derived script","Sindhi (Pakistan standard)","sd-Arab-PK","Sindhi Arabic-derived right-to-left","Pakistan; especially Sindh","offline-first print+audio+radio+low-data mobile","A1-A2-D-B-C","34401564","34401564","34401564","persons_L1","Census mother-tongue count","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu/English formal-study bridge; target-group proficiency unmeasured","Sindh OOSC 47.5%; recurring flood disruption","high","yes","report_priority=14"
"sa_in_gujarati_gujr","Gujarati","Gujarati","gu-Gujr-IN","Gujarati script","India; especially Gujarat","offline-first print+audio+low-data mobile","A1-A2-B-C","55036204","55036204","55036204","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi academic overlap unmeasured","Gujarat rural all-school Std III: reading 25.8%, subtraction 19.1%; girls age 15-16 OOS 10.5%","high-historical","yes","report_priority=15"
"sa_in_kannada_knda","Kannada","Kannada","kn-Knda-IN","Kannada script","India; especially Karnataka","offline-first print+audio+low-data mobile","A1-A2-B-C","43506272","43506272","43506272","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi academic overlap unmeasured","Karnataka rural all-school Std III: reading 15.9%, subtraction 25.9%","high-historical","yes","report_priority=16"
"sa_pk_saraiki_arab","Pakistan Saraiki — Perso-Arabic","Saraiki","skr-Arab-PK","Saraiki Perso-Arabic right-to-left","Pakistan; especially South Punjab","offline-first print+audio+radio+low-data mobile","A1-A2-D-B-C","28849579","28849579","28849579","persons_L1","Census mother-tongue count","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu/English formal-study bridge; target-group proficiency unmeasured","Pakistan OOSC 38%; South Punjab included in Punjab's 10.96m OOSC","high","yes","report_priority=17"
"sa_pk_balochi_arab","Pakistan Balochi — Perso-Arabic","Balochi (Pakistan education pack)","bal-Arab-PK","Balochi Perso-Arabic right-to-left","Pakistan; especially Balochistan","offline-first print+audio+radio+low-data mobile","A1-A2-D-B-C","8117795","8117795","8117795","persons_L1","Census mother-tongue count; dialect split unavailable","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu/English formal-study bridge; target-group proficiency unmeasured","Balochistan OOSC 69.1%, highest provincial rate reported","high","yes","report_priority=18; dialect-aware lexicon required"
"sa_np_nepali_deva","Nepali — Nepal","Nepali (Nepal standard)","ne-Deva-NP","Devanagari","Nepal","print+audio+low-data mobile","A1-A2-B-C-D","13084457","13084457","13084457","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","High overlap with national school/assessment language; English advanced-study overlap unmeasured","MICS 2024-25: national reading 37.1%, numeracy 30.6%; Nepali-home reading 47.3%","high","yes","report_priority=19a"
"sa_in_nepali_deva","Nepali — India","Nepali (India jurisdiction pack)","ne-Deva-IN","Devanagari","India; Nepali-speaking communities","offline-first print+audio+low-data mobile","A1-A2-B-C","2925796","2925796","2925796","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi/English school and advanced-study overlap unmeasured","India rural foundational gap is contextual; no national Nepali-disaggregated learning rate","high-historical","yes","country pack separate from Nepal curriculum"
"sa_in_odia_orya","Odia","Odia (raw standard return)","or-Orya-IN","Odia script","India; especially Odisha","offline-first print+audio+low-data mobile","A1-A2-B-C","34059266","34059266","34059266","persons_L1","Raw Odia mother-tongue count; excludes separately returned Sambalpuri and others","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi advanced-study overlap unmeasured","Odisha rural all-school Std III: reading 40.0%, subtraction 37.7%; low open-text density","high-historical","yes","report_priority=20"
"sa_in_maithili_deva","Indian Maithili — Devanagari","Maithili (India)","mai-Deva-IN","Devanagari mainstream; optional Tirhuta access companion","India; especially Bihar and Jharkhand","offline-first print+audio+low-data mobile","A1-A2-D-B","13353347","13353347","13353347","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group Hindi proficiency unmeasured","Bihar rural all-school Std III: reading 26.1%, subtraction 37.4%; language attribution uncertain","high-historical","yes","report_priority=21a; separate from Nepal pack"
"sa_np_maithili_deva","Nepal Maithili — Devanagari","Maithili (Nepal)","mai-Deva-NP","Devanagari mainstream; optional Tirhuta access companion","Nepal; especially Madhesh/Terai","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","3222389","3222389","3222389","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group Nepali proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","high","yes","report_priority=21b; separate from India pack"
"sa_in_rajasthani_deva","Rajasthani — Devanagari","Rajasthani (Census return)","raj-Deva-IN","Devanagari","India; Rajasthan","offline-first print+audio+low-data mobile","A1-A2-D-B","25806344","25806344","25806344","persons_L1","Mother-tongue return inside Hindi umbrella; internal variety split and overlap uncertain","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group proficiency unmeasured","Rajasthan rural all-school Std III: reading 18.6%, subtraction 20.0%; girls age 15-16 OOS 12.7%","medium-historical","yes","report_priority=22a; kept separate from Marwari row"
"sa_in_marwari_deva","Marwari — Devanagari","Marwari","mwr-Deva-IN","Devanagari","India; Rajasthan and adjoining communities","offline-first print+audio+low-data mobile","A1-A2-D-B","7831749","7831749","7831749","persons_L1","Separate mother-tongue return inside Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group proficiency unmeasured","Rajasthan rural all-school Std III: reading 18.6%, subtraction 20.0%; language attribution uncertain","high-historical","yes","report_priority=22b; taxonomy may overlap community use of Rajasthani label"
"sa_in_chhattisgarhi_deva","Chhattisgarhi — Devanagari","Chhattisgarhi","hne-Deva-IN","Devanagari","India; Chhattisgarh","offline-first print+audio+low-data mobile","A1-A2-D-B","16245190","16245190","16245190","persons_L1","Mother-tongue return inside Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group proficiency unmeasured","Chhattisgarh rural all-school Std III: reading 25.0%, subtraction 23.3%; girls age 15-16 OOS 10.0%","high-historical","yes","report_priority=23"
"sa_in_magahi_deva","Indian Magahi — Devanagari","Magahi/Magadhi (India)","mag-Deva-IN","Devanagari","India; especially Bihar and Jharkhand","offline-first print+audio+low-data mobile","A1-A2-D-B","12706825","12706825","12706825","persons_L1","Mother-tongue return inside Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group proficiency unmeasured","Bihar/Jharkhand foundational gaps; open-text footprint about 283 articles per million across India+Nepal","high-historical","yes","report_priority=24a; separate from Nepal pack"
"sa_np_magahi_deva","Nepal Magahi — Devanagari","Magahi/Magadhi (Nepal)","mag-Deva-NP","Devanagari","Nepal; Terai communities","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","230117","230117","230117","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","high","yes","report_priority=24b; separate from India pack"
"sa_in_punjabi_guru","Indian Punjabi — Gurmukhi","Punjabi (India standard)","pa-Guru-IN","Gurmukhi","India; especially Punjab","accessible Unicode web+print+audio","B-C-D-A2","31144095","31144095","31144095","persons_L1","Raw Census mother-tongue count; script not enumerated","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi/English advanced-study overlap unmeasured","Punjab foundational indicators stronger than most ASER states; advanced and bridge need remains","high-historical","yes","report_priority=25; separate from Pakistan Shahmukhi product"
"sa_in_assamese_beng","Assamese","Assamese","as-Beng-IN","Assamese variant of Eastern Nagari script","India; Assam","offline-first print+audio+low-data mobile","A1-A2-B-D","14816414","14816414","14816414","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English/Hindi/Bangla school bridges vary; candidate-specific proficiency unmeasured","Assam rural all-school Std III: reading 18.2%, subtraction 29.2%; age 15-16 OOS 5.0%","high-historical","yes","report_priority=26; multilingual-state attribution risk"
"sa_in_santali_olck","Santali — Ol Chiki","Santali","sat-Olck-IN","Ol Chiki","India; Santali-speaking communities","offline-first print+audio+low-data mobile","A1-A2-D-B","","","6973345","persons_L1_ceiling","Raw Santali L1 total is an upper bound; census does not enumerate Ol Chiki use","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Regional school-language and script overlap unmeasured","Jharkhand rural all-school Std III: reading 19.6%, subtraction 31.7%; high script non-overlap","medium-historical","yes","report_priority=27a; Ol Chiki-led independent literacy path"
"sa_in_santali_beng","Santali — Bengali-script access layer","Santali","sat-Beng-IN","Bengali script","India; Santali learners schooled through Bengali script","print+audio+low-data mobile","A1-A2-D-B","","","6973345","persons_L1_ceiling","Raw Santali L1 total is an upper bound; script-specific population unknown","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Bengali-script schooling exposure unmeasured","Jharkhand/West Bengal contextual need; script-specific denominator absent","low-medium","no","companion access layer; rank after script-use denominator is measured"
"sa_in_santali_orya","Santali — Odia-script access layer","Santali","sat-Orya-IN","Odia script","India; Santali learners schooled through Odia script","print+audio+low-data mobile","A1-A2-D-B","","","6973345","persons_L1_ceiling","Raw Santali L1 total is an upper bound; script-specific population unknown","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Odia-script schooling exposure unmeasured","Odisha/Jharkhand contextual need; script-specific denominator absent","low-medium","no","companion access layer; rank after script-use denominator is measured"
"sa_in_santali_deva","Santali — Devanagari-script access layer","Santali","sat-Deva-IN","Devanagari","India; Santali learners schooled through Devanagari","print+audio+low-data mobile","A1-A2-D-B","","","6973345","persons_L1_ceiling","Raw Santali L1 total is an upper bound; script-specific population unknown","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Devanagari schooling exposure unmeasured","Jharkhand and adjoining-state contextual need; script-specific denominator absent","low-medium","no","companion access layer; rank after script-use denominator is measured"
"sa_in_malayalam_mlym","Malayalam","Malayalam","ml-Mlym-IN","Malayalam script","India; especially Kerala","accessible Unicode web+print+audio","A2-B-C-D","34776533","34776533","34776533","persons_L1","Raw Census mother-tongue count","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","English advanced-study overlap unmeasured","Kerala rural all-school Std III: reading 45.6%, subtraction 32.6%; stronger foundational access","high-historical","yes","report_priority=28; advanced STEM and academic bridge lead"
"sa_lk_sinhala_sinh","Sinhala","Sinhala","si-Sinh-LK","Sinhala script","Sri Lanka; Sinhalese communities","accessible Unicode web+print+audio","B-C-D","16144037","16144037","16144037","persons_ethnicity_proxy","Sinhalese ethnicity count used as Sinhala population proxy","2024","LKA_CENSUS_2024","https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf","","57.3","","National age-10+ English read/write ability; not candidate-specific","General literacy 97.4%; Sinhala read/write ability 85.2%; advanced English bridge is principal gap","medium-high","yes","report_priority=29; ethnicity is not an exact L1 measure"
"sa_lk_tamil_taml","Sri Lankan Tamil","Sri Lanka Tamil","ta-Taml-LK","Sri Lankan Tamil script/orthography","Sri Lanka; Sri Lanka Tamil communities","accessible Unicode web+print+audio","B-C-D","2681627","2681627","2681627","persons_ethnicity_proxy","Sri Lanka Tamil ethnicity count; L1 equivalence not enumerated","2024","LKA_CENSUS_2024","https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf","","57.3","","National age-10+ English read/write ability; not candidate-specific","General literacy 97.4%; Tamil read/write ability 45.3% nationally; district catch-up and advanced bridge need","medium-high","yes","report_priority=30a; separate from Indian Tamil and Malayaga Tamil rows"
"sa_lk_malayaga_tamil_taml","Malayaga Tamil","Indian Tamil/Malayaga Thamilar community standard","ta-Taml-LK","Sri Lankan Tamil script with Malayaga localization","Sri Lanka; Malayaga Thamilar communities","accessible Unicode web+print+audio","B-C-D-A2","600360","600360","600360","persons_ethnicity_proxy","Indian Tamil/Malayaga Thamilar ethnicity count; L1 equivalence not enumerated","2024","LKA_CENSUS_2024","https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf","","57.3","","National age-10+ English read/write ability; not candidate-specific","National literacy high; community-specific curriculum, vocational, public-service and English bridge need","medium","yes","report_priority=30b; exact community localization"
"sa_lk_moor_tamil_taml","Sri Lankan Tamil for Moor/Muslim communities","Tamil-serving Moor/Muslim community pack","ta-Taml-LK","Sri Lankan Tamil script; community terminology layer","Sri Lanka; Tamil-using Moor/Muslim communities","accessible Unicode web+print+audio","B-C-D-A2","","","2283246","persons_ethnicity_ceiling","Moor/Muslim ethnicity count is an upper bound; Tamil L1/use share unknown","2024","LKA_CENSUS_2024","https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf","","57.3","","National age-10+ English read/write ability; not candidate-specific","National literacy high; exact Tamil-use denominator unavailable","low-medium","no","community-language measure required before population ranking"
"sa_pk_hindko_arab","Pakistan Hindko — Arabic-derived script","Hindko (Census category)","","Hindko Arabic-derived right-to-left","Pakistan; especially Khyber Pakhtunkhwa and Punjab","offline-first print+audio+radio+low-data mobile","A1-A2-D-B","5590559","5590559","5590559","persons_L1","Census Hindko category; internal variety split unavailable","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu/English formal-study bridge; target-group proficiency unmeasured","Pakistan OOSC 38%; KP OOSC 29.8%","medium-high","yes","additional_queue; language tag left blank because census category does not resolve northern/southern varieties"
"sa_pk_brahvi_arab","Pakistan Brahvi — Perso-Arabic","Brahvi","brh-Arab-PK","Brahvi Perso-Arabic right-to-left","Pakistan; especially Balochistan","offline-first print+audio+radio+low-data mobile","A1-A2-D-B","2778670","2778670","2778670","persons_L1","Census mother-tongue count","2023","PBS_MT_2023","https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf","","","","Urdu/English formal-study bridge; target-group proficiency unmeasured","Balochistan OOSC 69.1%","high","yes","additional_queue"
"sa_np_tharu_deva","Nepal Tharu — Devanagari pack","Tharu (Census category)","","Devanagari; community-variety labeling required","Nepal; Tharu communities","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","1714091","1714091","1714091","persons_L1","Census mother-tongue category; internal variety and script split unavailable","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","medium-high","yes","additional_queue; language tag blank pending variety resolution"
"sa_np_bajjika_deva","Nepal Bajjika — Devanagari","Bajjika","","Devanagari","Nepal; Madhesh/Terai Bajjika communities","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","1133764","1133764","1133764","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","high","yes","additional_queue; language tag left blank rather than assigning an uncertain code"
"sa_np_awadhi_deva","Nepal Awadhi — Devanagari","Awadhi (Nepal)","awa-Deva-NP","Devanagari","Nepal; Awadhi-speaking Terai communities","print+audio+low-data mobile with Nepali bridge","A1-A2-D-B","864276","864276","864276","persons_L1","Census mother-tongue count","2021","NPL_LANG_2021","https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf","","","","Nepali school/assessment bridge; target-group proficiency unmeasured","MICS reading 21.2% for non-Nepali-home children versus 47.3% for Nepali-home children","high","yes","additional_queue; separate from India pack"
"sa_in_awadhi_deva","Indian Awadhi — Devanagari","Awadhi (India)","awa-Deva-IN","Devanagari","India; especially Uttar Pradesh","offline-first print+audio+low-data mobile","A1-A2-D-B","3850906","3850906","3850906","persons_L1","Mother-tongue return inside Hindi umbrella","2011","IND_C16_2011","https://censusindia.gov.in/nada/index.php/catalog/10191","","","","Hindi school bridge; target-group proficiency unmeasured","Uttar Pradesh age 15-16 OOS 13.0% overall and 15.0% for girls; language attribution uncertain","high-historical","yes","additional_queue; separate from Nepal pack"
