benchmark_profile_id,flores_code,language_code,script_code,profile_measurement_kind,profile_match_scope,aligned_sentences,tokenization_measurement_set_sha256,direct_measurement_row_hash,profile_row_hash,profile_set_hash
flores:apc_Arab,apc_Arab,apc,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,89e7752e9a44b2adccf4d9f72d9a1e4b48f04086b2d7aedf62a776cf3c8d7f7e,b07ab7c8535d3e6b621c0a7c35cea3fd192760bd726d79edfbfc9ab3ded5d022,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:arb_Arab,arb_Arab,arb,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,6af74b8b5460931d7b943d690692d2f7bebe249291f421d4b34c68c37147637f,11dc704f42b163317cecf549da95c372ba7175f406a655223af3e78d124f1097,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:arb_Latn,arb_Latn,arb,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,d77a9ae3414209097be45f9f138eef6c8e04fb61170c917ada2532736e65de4b,e48edd356b66ad106f8aa32a8ae0e962aab47c44e7ddafa550459f8cbef72313,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ars_Arab,ars_Arab,ars,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,e8848ef151b31dec72db3edee98fb958c7093f8bfaed83925f349e9f833bf56e,cb5627e792dc5e623af589c2e6501aec9d8bfda5473add648f021fed48d1fbdd,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ary_Arab,ary_Arab,ary,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,619d5bdf95b0527f7748f2136db095aadef62c1dbb59d3ad4a64d64bf3ddfa4a,1180f1cf49e0e911cdef39030d6396118f648f0e560fc1091c0c9320bb85ad99,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:arz_Arab,arz_Arab,arz,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,56deeb12dd2c6a8fbe83a142797cfabef91b46a16bde1bd363a90497262f71fa,82b895b098c5f18c214bb7431b19966ef8b9d6fb975d050b6c6ced5ee39ba647,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:asm_Beng,asm_Beng,asm,Beng,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,8fd313e48437b60dd95e6cfa63d526f89f5e4113cedce088b53fa47d414d3121,a191c447ed90d876fd0273880f651bbedd510f68ddd79f8620bb84c541906148,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ast_Latn,ast_Latn,ast,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b344db99500647891e53d86486387f605a35a3759fa273838158fb901955ffe6,765be5a724aaf260ca42510b363f5d01be5fa8d1317347f6365a8bbe20b125c3,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:awa_Deva,awa_Deva,awa,Deva,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,a488aa6616cb1a69aec642d1b941d0689d54e1220ce05ae0de8f7abb3c60bc5a,3717dabcbea2f6d03c2656cb449ec12a95ef2673ea75a47b4f5bd0f57974c356,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ayr_Latn,ayr_Latn,ayr,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,4f7638bf8d052055175bfc197d49dcc94693d002bfafb0dc88dc1533a84b91c5,e5935afb5227bb88e8870a9c418ac56992e59b5f01b99bb4e965610b3783c11a,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:azb_Arab,azb_Arab,azb,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,9dc59778ee79595ed018aa2d9e7ffa6f87522739f2863e0e8106b35e0b25dce1,123e213dabe3f9b5a70f489fe59831fc7f60c4b3f7f34e315a9c83c074a8712e,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:azj_Latn,azj_Latn,azj,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,160f30097231d7d52fbfef33f58906fdd63e9199e9cfaf37bbcdd28e8e8526ae,6d240d5c1809b34fb8f8ed2e7878e85be557f21d23b0d78355f419d759961cc8,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bak_Cyrl,bak_Cyrl,bak,Cyrl,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,aff9f66d71cedd5be2ee3e1f0d013f4a78ccfa0a757d9370e912e38d74c1909c,09886f04c188e751fae727e0064a0c0c4a074b5cac37cd06115def26cb649286,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bam_Latn,bam_Latn,bam,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,0f44985cc8323b51024325f0de84c42578d301937c3bd797fd6e81f447d8836b,aae44a02d75b6b68f764588618d5ae1b2ee9d007e21ba39eed57e27dcefd06d7,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ban_Latn,ban_Latn,ban,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,8ae4df88a33bded400916a0ef4b266241fb50494b92c2cf281f5f9f0540a3753,802f7b7abcea0a8cf2d965e740d2463ce37443e37457f059ad761ee22c10fb3a,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bel_Cyrl,bel_Cyrl,bel,Cyrl,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,81457f0db8d4c2b6574319cf724624eb5f288f8ad774d7c880c97d7beadf429a,25be7335489fcce1006a37421c16727274a49479ca77b89a209d0ae3e710a9a6,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bem_Latn,bem_Latn,bem,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,600ae5ac6421ec913ad96445bb45d068e397ec785eab263a49ff28a1b1b3c554,6d369b33233de6442142196e21d971a29c57fddb6a1da51ee8e674702469d20e,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ben_Beng,ben_Beng,ben,Beng,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,7f991744e0387e492b3583e49d33954368a663d350c6670265d57de1fbe0d91f,5438ec8ebad9ca57b7fd7d8f64451a8be02a91e53c888c0c05962bee65713c6d,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bho_Deva,bho_Deva,bho,Deva,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,d9ffbd5af6e6dddd9992d1fa998300a033778747baf768d25374e5f46e4a2898,fa9e78ee76296a8b1ea166f544434d44c4529bbfb477d7d18ba6c12adae9b57b,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bjn_Arab,bjn_Arab,bjn,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,80c17b3466617c694b11587f60ba22dc24f82b492c1bf466f33a7cff30839d8c,d754fa3b4590e815f6e7e23f885069137aeb8973e7aec728fefe0b4ef7372bbb,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bjn_Latn,bjn_Latn,bjn,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,bd52997d813c4b1ce8a5fc11de5d5e0d47a14dd05e9559a97b7cd9618d204830,1ef5c91f68edd0e2be66d40af7bf0754dc659447cff1e926f43683f2b9b6c246,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bod_Tibt,bod_Tibt,bod,Tibt,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,69ccef59756bf34205ffc3cd195504f27eba4ef3b16f0e8b9378874a40f69b0a,fc61a3dd757a64a16aae77f3b0b38b67a899aee3603fa531feaea5a3943ecf79,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bos_Latn,bos_Latn,bos,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,027dc6b9ff7d3535220722991dcd19fb2daa91ca5846f247039ce6cee1fd9068,004245ae4940de7bbe05e1d8712c095ffd1ffe47f1b1d6b24ccd77789e90a7f3,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bug_Latn,bug_Latn,bug,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,f16602cf7f13dd06f9ca84b69b3efd808547ecf663cc3b2860834fd92e087917,ec74a86abae1ffa68bb8e6ce8e43e00b6414d84c99056be6722422984990ccfe,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:bul_Cyrl,bul_Cyrl,bul,Cyrl,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,42129f65d4d159bbafe04fa7cbb6974add8a1c05531c82e08452fc010bd01033,387f75035eb1db1cd7734473f0c135c9ea5db48e9591ba21be97c52ba0758ae9,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:cat_Latn,cat_Latn,cat,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,f21485bfe0d000fd89b5e579f4b0e1f175e6de1d1f69c4722e6e7a719df74ed4,1fa2ee5a4e4778160763c6776632a068a17149e22bc9b5340c4c04ba9aee93a4,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ceb_Latn,ceb_Latn,ceb,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,36307fca51a0317326989774c4455ab16f95b8d3c65255d56aa588e948407d1f,a121612386307f2c3f15aaef787aeee3db6164761f153b2a5e827969b1af33f5,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ces_Latn,ces_Latn,ces,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,4d9a4e1a5a529fec03fac4cb546ece42a307ca68ac6c40f1bf21ce7937bd6969,d3e03978d32f5881830197fea065eb5b56de035f1ee7d6cde1c2bcfeb0fd4da4,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:cjk_Latn,cjk_Latn,cjk,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,32e41aa09e9aa3e9839c617174cef21841d0bf93ffb19bda0ce45f0e68814c06,cabfa8cdb97e123837e71edaefe8176d3e1addea65a1ffccc12bc39538cdd52a,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ckb_Arab,ckb_Arab,ckb,Arab,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b113080868325c0f07b0ecab341582d1bfee7fbf1b98ee66e1385202735d11b7,dab0d8fa8d90eb70f4c404060f680f4923f7e7d747e50261c379c830b7072bdb,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:crh_Latn,crh_Latn,crh,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,a84612b3dd16c36b2418e3e21f2626e7ecc9e57e2a15276e296e6340eaa8ae55,7820aedf536e46a0d6ebca3f63d1789aedb942142634f68f055f2b8aa88b268b,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:cym_Latn,cym_Latn,cym,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,a72698e52d9cee1fd2d79d7a624753c7ca095b0980f7c31f6806c301848ab27a,e3cd0f08a89fc75f6b3e6b94b2c92f137581e0383d4c7bcf11f69df6d2fa4e51,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:dan_Latn,dan_Latn,dan,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b1f04090b884aecc490d7a1934f4931026705de88ffe8d67551f7d7aeb93e579,9396231a5e4d0fd25bde964ac9fee2f83011cc923e3e5b64bc77ae7e8f86619f,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:deu_Latn,deu_Latn,deu,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,858caab88796733079445b001885dfd4935daecb8a1e77ac870b96d65d3f4eca,91e8e0a3020398848ef20711f72f10df0711e0f6f59092e9947a581679a59ee3,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:dik_Latn,dik_Latn,dik,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,1eb05994afa35c7149e05e53a80603ae9e4c06d7feffde9cc6f056723292bbb5,3fe8ea3192a71d93121874c32cfd05c25e4184a715a2e33f3fae0377a702f4ca,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:dyu_Latn,dyu_Latn,dyu,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,9c88d60e2256b207667644111b1c208c6c536e74ad7a44f9231a4af7f44a5f74,87eeee37cce01a1624ee2bd00526912674875f14b45eed0730bace47df0d784e,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:dzo_Tibt,dzo_Tibt,dzo,Tibt,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,2100ad81652c99eb949a16ab2072e8fd2103fdc3272ea793198c8bd950964ffb,6c615eb18c26d818a775fa8229c51a8484d16311ce07bc0acbc6af44af030dd3,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ell_Grek,ell_Grek,ell,Grek,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,e227f4848c53924a47b444292cf0225b1977edc222bef25375aab5e2ff6b8ff6,161d08c56701dfd0ba770f8a59421f49cb32babc7f8f4ba390e092c09d3bd2fb,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:epo_Latn,epo_Latn,epo,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,b12b0bd527dccdd3b6d99d92afc2fcf600d917f29ac531d055ff423f3aebd448,769c93736684d89f6bedae981376626e0f3e2e6541118a7b05fa24351f178a05,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:est_Latn,est_Latn,est,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,42b129811804d4baf32a60e8246a41c3701bcf28a2e381206fff5b5724dc2843,039f9ae148d494919465f89b58d07d485b1731a46911e2ddaa77c9b64df45d84,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:eus_Latn,eus_Latn,eus,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,33e68557aceca97158dd38e4456c35e25b3c03b47dbce7dfffa3edb292342ff9,86f23a6a5a424df3085533a244cf583c24e9256ce086121d739db3ef9614d2b2,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:ewe_Latn,ewe_Latn,ewe,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,c60e2c1103fc37979f2710c734279ab6d17f653ba722ee54d50092d38c721069,a809331f34a6450befa007411b33ed6d8f1aae30377e7e5dc747dea4ed53d2cb,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:fao_Latn,fao_Latn,fao,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,c1319cb80445e56142f7cec67d0ac5ed7794a4f8c5c6d9dd8ff6509d4000defc,ae3b038db634e52b4f0dc2443747e8e1a1d9c5303ba248caaf3dd08864b35f99,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:fij_Latn,fij_Latn,fij,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,4f2621f8441868d9ec87f746f10f923bd652730344681830f495b6977e905661,5cbc5b941518ce4cec0e80896b0d85e23eeedc1a232c6292147e225220869c00,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
flores:fin_Latn,fin_Latn,fin,Latn,DIRECT_ALIGNED_BENCHMARK,EXACT_LANGUAGE_VARIETY_SCRIPT,1012,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,008affdc0654c8a1446eaca0a313ecb84563841731c2321c1c0fc86581c928e5,4c69d11cd68fe69d0dbae0a9a96dea83995049e7f6fbeeae06e7aa2566ef0a87,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01
