factor_id,factor_registry_version,standard_compute_model_version,term_family,factor_code,factor_description,quantity_unit,coefficient_mean,coefficient_p05,coefficient_p50,coefficient_p95,coefficient_lower_bound,coefficient_upper_bound,coefficient_unit,strictly_positive_required,benchmark_source_id,registry_row_hash,registry_hash
F012,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,text.qa.frt,Disjoint hidden reasoning in independent audits,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC06,3cdbc5b94169cad6dd54797f3f505466c9d89fa6f17104161e9c874dc6ae668a,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F013,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.repair.target.fit,Accepted pre-repair target read,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,7461aac21c29a0caca9e90febc2a8efacef921e8cbc2e4806f172273489a7865,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F014,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.repair.reports.fit,Independent issue manifests read for repair,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,975fa0425ad19e4b15f0ff6a69bbb914a2d48779ad962e28368565f94f98488d,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F015,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.repair.context.fit,Repair specification and regression context,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,dfbf68961deae43889165485b9cfc5e7dc67f0f4ad1fe2339f467ac446241f75,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F016,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.repair.patch.fot,Visible repair patch or target re-emission,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,ffa32d72bbd552a41503b59f866cba9f6d42814741bae254393308d9aa2bbe05,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F017,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.repair.frt,Disjoint hidden reasoning for repairs,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC04,c8aeba27d8a59f31969161c129065d62f4c52a3acd7ef5c7fa3a683308d3aee7,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F018,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.deterministic_triage.fit,Validator issue evidence read by model triage,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC13,c7940c61f4d9200473e1d4a206e554ec240c097b42016f9feae955b7dd653b54,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F019,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.deterministic_triage.fot,Visible validator issue disposition,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC13,aa523861f79a450db43092b8e5a2c57eb4e48c588a509cb6a95f44eddbe69d43,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F020,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,text.deterministic_triage.frt,Disjoint hidden reasoning for validator issue triage,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC13,c6fa43b2e440e2cffe134206472fc55984d498d1475ffbeedb4ed4521c2ef809,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F021,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.structure.fit,"HTML, MathML, language-direction, and accessibility structure input",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC07,e67ce526487fb31121f014f1b7993f33ba8b5d9430221e10b43e2221778cc1af,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F022,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.structure.fot,Visible structure/accessibility annotations,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC07,8e1f73139887d96df8943a88f3aa60395f640751d972bc10634886a5ed0ee097,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F023,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.structure.frt,Disjoint hidden reasoning for structural accessibility,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC07,cbb3a98f8589271bacd5ecebfe7fc5d553142fec4406f37c0afc926c30ca9464,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F024,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,html.descriptions.generation.fot,"Formula verbalizations, diagram descriptions, and table summaries",fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,232c6a2292fab17e779077e408c4fd3bb97a99c3b87f7b8b022e6d2f482d87dd,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F025,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,html.descriptions.audit.fit,Description tokens read in an independent accessibility audit,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,2db9ba02ee83b4b826728afdfc06b136b859bd5a5660afbdb70bb861a13802d0,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F026,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,html.descriptions.audit.frt,"Disjoint hidden reasoning for formula, diagram, and table audit",fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,a6c99e094dda05a8fb171db0c01991ef26c07352eee709dbda6de837afbdf435,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F027,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.descriptions.repair.fit,Description and audit evidence read for repair,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,0a6cf34800d1bafe00260f10c598ccebacc5ba30adedfcbdd3b7e2e2dd78be29,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F028,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.descriptions.repair.fot,Visible description patches,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,116e05303d640a7c385d7e4b1f59f15dbf3fc76d22cc9d56707e7b40640ce012,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F029,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,html.descriptions.repair.frt,Disjoint hidden reasoning for description repair,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC08,ae3493bb20308825826185b3388707582672ea41a1522dbbcaed4af118b2e4ab,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F030,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,publication.triage.fit,"EPUB, PDF, render, and validator evidence read",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC12,4ae4dbad4c52d21fc474d088a48de2beacaa752fdd36c63e410494f8da039840,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F031,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,publication.triage.fot,Visible publication issue dispositions,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC14,c73e86d2e0e8d6ed8c49ec28f4df8fac5aec35d09ce4834597b821dc19a5ea74,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F032,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,required output formats,publication.triage.frt,Disjoint hidden reasoning for publication repairs,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC14,e92d2f2775e1dfd26892a398ad1e5eec2f1086550f87408c4e93c86836a0c96d,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F033,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,audio.script.target.fit,Accepted target read for narration adaptation,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,b6db7e24b7400600600208d2c0a805d61b58710385c82c5f2fd3a2d893c5e48d,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F034,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,audio.script.context.fit,"Pronunciation, navigation, math, and visual-description context",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,ee95caf66d67e3783cf802e834b6720497b3d678cef7261a53fa86d4326f6493,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F035,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,audio.script.adaptation.fot,Visible narration-script adaptation,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,f64e3a690fc86af9e0829aaa7f7a3747eb8769caca9e1ff3fd6bf42e6b6a8ab0,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F036,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,audio.script.frt,Disjoint hidden reasoning for narration adaptation,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,c09043edb3bfe2a6bad4be9c202be045c2886f24e051cb3f48e91db34df81a3e,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F037,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,audio.pronunciation.fit,Pronunciation contexts and alternatives,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,cf91991003b3217769e1ebc3930dde7179a39ac37ea66d3368ee8842997ccb66,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F038,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,audio.pronunciation.fot,Visible pronunciation lexicon entries,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,3b99629a262528618ddf80e5191dde2ab327838114c27be0fea65ff6f7546209,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F039,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,canon atoms,audio.pronunciation.frt,Disjoint hidden reasoning for pronunciation,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC16,618f70b948e97589ec1b0949a07efe9a2af5561a7eaf8b147a58fd12d61c34ce,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F040,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,audio.audit.script.fit,Narration script read by an independent audio audit,fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC17,e6bcfa88f5f2afad843ad0b72a304388ee091bb189e42b855b630611824b3fa4,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F041,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,audio.audit.report.fot,Visible audio issue manifest,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC17,e68679639cdb855d9a93cf3cafc82aee10b042545bcc2a4f85d93c3f17fa99a3,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F042,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,uniform QA passes,audio.audit.frt,Disjoint hidden reasoning for audio audit,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC17,94a65aa75ab988a669f51180c4a675abd475c50a2624d2effa435adfec5c6e79,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F043,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,captions.preparation.fit,"Transcript, timing, speaker, and visual context input",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC17,29c9cc9ce990f26a3b7114953d51ed3d1061139fa24218ed3d60cc6f543bbc66,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F044,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,captions.cues.fot,Visible transcript and timed-caption output,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC19,9b6d6f85483ea47254d3c400aff19da0e8111d00a596f4c6113148ce18373a28,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F045,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,captions.audit.frt,Disjoint hidden reasoning for caption generation and audit,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC18,f76e2fe49b8d1dc259b42dd73aa48861dec207aa98d7151e0fed4267017b429e,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F046,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,sign.preparation.fit,"Concept, source, named-language, and storyboard input",fresh_fit_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC20,6d5c02e4b91648a3ef988d5060e21b10f5bdc227121c9e54f0b7b3cedd44f55a,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F047,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,sign.annotation.fot,Visible textual sign translation representation and storyboard,fresh_fot_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC22,ddd1fc965ff35b2c76f80552de664045fec62cfca38e83a1f42081458fc99665,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
F048,standard-compute-closed-registry-2026-09-01-v2,interlanguage/standard-compute/2.0.0,modality,sign.audit.frt,Disjoint hidden reasoning for named sign-language preparation and audit,fresh_frt_token_event,1,1,1,1,1,1,fresh_equivalent_token_event_per_fresh_token_event,1,SRC23,450d66759b585010782e1a9688adeba1dc0cc5cb9a0a8a46e35aac7ad7ba1710,b98a23f60194467175e295b5cf4903adc5c66e0169e92496936adecc4055d52a
