removed_factor,edition_target_id,rank,score
schooling_language_gap,edition-target:lang:ky-Cyrl-KG,52,2350178.400000
schooling_language_gap,edition-target:lang:ti-Ethi-ET,53,2317811.284363
schooling_language_gap,edition-target:lang:gug-Latn-PY,54,1662775.061538
schooling_language_gap,edition-target:lang:min-Latn-ID,55,1470980.183262
schooling_language_gap,edition-target:lang:ka-Geor-GE,56,1466209.684615
schooling_language_gap,edition-target:lang:mai-Deva-NP,57,1412893.638462
schooling_language_gap,edition-target:lang:awa-Deva-IN,58,1392328.014232
schooling_language_gap,edition-target:lang:bjn-Latn-ID,59,1269285.500923
schooling_language_gap,edition-target:lang:hy-Armn-AM,60,1245507.438462
schooling_language_gap,edition-target:lang:brh-Arab-PK,61,1235601.861843
schooling_language_gap,edition-target:lang:bug-Latn-ID,62,1220600.577600
schooling_language_gap,edition-target:lang:ne-Deva-IN,63,1057846.578111
schooling_language_gap,edition-target:lang:bho-Deva-NP,64,798348.576923
schooling_language_gap,edition-target:lang:pov-Latn-GW,65,571641.161538
schooling_language_gap,edition-target:lang:hak-Hant-TW,66,523230.184615
schooling_language_gap,edition-target:lang:kek-GT,67,494315.838462
schooling_language_gap,edition-target:lang:quc-GT,68,462497.123077
schooling_language_gap,edition-target:lang:mfe-Latn-MU,69,439397.653846
schooling_language_gap,edition-target:lang:eu-Latn-ES,70,410756.030769
schooling_language_gap,edition-target:lang:awa-Deva-NP,71,378951.784615
schooling_language_gap,edition-target:lang:mam-GT,72,258973.361538
schooling_language_gap,edition-target:lang:sn-Latn-ZA,73,256865.216710
schooling_language_gap,edition-target:lang:yua-MX,74,251452.304944
schooling_language_gap,edition-target:lang:zgh-Tfng-MA,75,237988.592308
schooling_language_gap,edition-target:lang:ayr-BO,76,200533.892308
schooling_language_gap,edition-target:lang:ayr-PE,77,194847.484615
schooling_language_gap,edition-target:lang:tzh-MX,78,191210.920541
schooling_language_gap,edition-target:lang:cak-GT,79,180246.715385
schooling_language_gap,edition-target:lang:tzo-MX,80,178595.382606
schooling_language_gap,edition-target:regional:ru-Cyrl-EE,81,166269.000000
schooling_language_gap,edition-target:lang:tet-Latn-TL,82,158296.453846
schooling_language_gap,edition-target:lang:cy-Latn-GB,83,148335.453860
schooling_language_gap,edition-target:lang:swh-Latn-RW,84,145386.392308
schooling_language_gap,edition-target:lang:mag-Deva-NP,85,100897.453846
schooling_language_gap,edition-target:lang:mi-Latn-NZ,86,93764.561538
schooling_language_gap,edition-target:lang:mgm-Latn-TL,87,85841.123077
schooling_language_gap,edition-target:lang:ctu-MX,88,82669.584390
schooling_language_gap,edition-target:lang:bzj-BZ,89,79270.338462
schooling_language_gap,edition-target:lang:kjb-GT,90,72899.053846
schooling_language_gap,edition-target:regional:nah-huasteca-hidalguense-Latn-MX,91,63538.560886
schooling_language_gap,edition-target:lang:poh-GT,92,58347.830769
schooling_language_gap,edition-target:lang:acr-GT,93,54517.430769
schooling_language_gap,edition-target:lang:mkz-Latn-TL,94,54299.076923
schooling_language_gap,edition-target:lang:pap-CW,95,50444.123077
schooling_language_gap,edition-target:lang:ixl-GT,96,50421.761538
schooling_language_gap,edition-target:lang:pis-Latn-SB,97,44542.430769
schooling_language_gap,edition-target:lang:nav-US,98,44475.067809
schooling_language_gap,edition-target:regional:nah-sierra-noreste-puebla-Latn-MX,99,43729.861971
schooling_language_gap,edition-target:regional:nah-huasteca-potosina-Latn-MX,100,43242.052516
schooling_language_gap,edition-target:regional:nah-mexicano-guerrero-Latn-MX,101,40492.404011
schooling_language_gap,edition-target:lang:crs-Latn-SC,102,38287.776923
schooling_language_gap,edition-target:regional:chol-northwest-Latn-MX,103,38096.198285
schooling_language_gap,edition-target:lang:pap-AW,104,30409.061538
schooling_language_gap,edition-target:lang:kem-Latn-TL,105,30251.653846
schooling_language_gap,edition-target:lang:bfn-Latn-TL,106,28362.323077
schooling_language_gap,edition-target:lang:cri-Latn-ST,107,27494.607692
schooling_language_gap,edition-target:regional:tseltal-north-Latn-MX,108,27327.066197
schooling_language_gap,edition-target:lang:jiv-EC,109,25768.384615
schooling_language_gap,edition-target:lang:cac-GT,110,25690.338462
schooling_language_gap,edition-target:regional:tsotsil-north-high-Latn-MX,111,25217.769026
schooling_language_gap,edition-target:lang:agr-PE,112,24809.907692
schooling_language_gap,edition-target:lang:knj-GT,113,24242.538462
schooling_language_gap,edition-target:regional:nah-noroeste-central-Latn-MX,114,23056.542705
schooling_language_gap,edition-target:regional:tseltal-east-Latn-MX,115,22820.589628
schooling_language_gap,edition-target:lang:tkd-Latn-TL,116,20512.984615
schooling_language_gap,edition-target:regional:tsotsil-centre-Latn-MX,117,18534.487391
schooling_language_gap,edition-target:lang:iku-CA,118,18272.884615
schooling_language_gap,edition-target:lang:iu-Cans-CA,119,18272.884615
schooling_language_gap,edition-target:lang:sm-Latn-AS,120,17027.653846
schooling_language_gap,edition-target:lang:tca-BR,121,16514.657246
schooling_language_gap,edition-target:lang:mh-Latn-MH,122,15493.476923
schooling_language_gap,edition-target:lang:shp-PE,123,14974.338462
schooling_language_gap,edition-target:regional:pdt-Latn-CA,124,14556.923077
schooling_language_gap,edition-target:regional:eu-Latn-FR-64,125,14444.443368
schooling_language_gap,edition-target:lang:jac-GT,126,14279.815385
schooling_language_gap,edition-target:regional:tsotsil-northwest-Latn-MX,127,13400.641776
schooling_language_gap,edition-target:lang:kgk-BR,128,12282.573777
schooling_language_gap,edition-target:lang:chk-Latn-FM,129,12135.300000
schooling_language_gap,edition-target:lang:nzs-NZ,130,11579.676923
schooling_language_gap,edition-target:lang:ccr-GT,131,9448.846154
schooling_language_gap,edition-target:lang:gub-BR,132,9281.353024
schooling_language_gap,edition-target:regional:chol-southeast-Latn-MX,133,8827.630983
schooling_language_gap,edition-target:lang:kgp-BR,134,8731.690531
schooling_language_gap,edition-target:regional:nah-istmo-Latn-MX,135,8644.905286
schooling_language_gap,edition-target:lang:pon-Latn-FM,136,7798.915385
schooling_language_gap,edition-target:lang:gui-BO,137,7713.415385
schooling_language_gap,edition-target:lang:caa-GT,138,7306.084615
schooling_language_gap,edition-target:lang:haw-Latn-US,139,7033.823560
schooling_language_gap,edition-target:lang:dhv-Latn-NC,140,6971.538462
schooling_language_gap,edition-target:lang:ojs-CA,141,6710.653846
schooling_language_gap,edition-target:regional:nah-sierra-oeste-puebla-Latn-MX,142,6323.023156
schooling_language_gap,edition-target:regional:nah-mexicano-oriente-central-Latn-MX,143,6137.051886
schooling_language_gap,edition-target:lang:pau-Latn-PW,144,5436.484615
schooling_language_gap,edition-target:lang:crk-CA,145,5263.730769
schooling_language_gap,edition-target:lang:aoa-Latn-ST,146,4988.376923
schooling_language_gap,edition-target:lang:prl-PE,147,4902.053846
schooling_language_gap,edition-target:lang:na-Latn-NR,148,4829.215385
schooling_language_gap,edition-target:lang:poc-GT,149,4729.684615
schooling_language_gap,edition-target:lang:moe-CA,150,4709.076923
schooling_language_gap,edition-target:lang:agu-GT,151,4448.192308
schooling_language_gap,edition-target:lang:ch-Latn-MP,152,4200.023077
schooling_language_gap,edition-target:lang:nen-Latn-NC,153,4121.538462
schooling_language_gap,edition-target:lang:mic-CA,154,4051.384615
schooling_language_gap,edition-target:lang:acu-EC,155,4017.184615
schooling_language_gap,edition-target:lang:tcs-Latn-AU,156,3330.553846
schooling_language_gap,edition-target:lang:rop-Latn-AU,157,3245.930769
schooling_language_gap,edition-target:lang:rap-Latn-CL,158,3071.861538
schooling_language_gap,edition-target:lang:bla-CA,159,2928.923077
schooling_language_gap,edition-target:lang:chr-US,160,2880.859865
schooling_language_gap,edition-target:lang:pri-Latn-NC,161,2863.153846
schooling_language_gap,edition-target:lang:quv-GT,162,2862.276923
schooling_language_gap,edition-target:regional:gun-Latn-BR,163,2712.727376
schooling_language_gap,edition-target:regional:nah-oaxaca-Latn-MX,164,2638.649946
schooling_language_gap,edition-target:regional:inb-Latn-CO,165,2537.402067
schooling_language_gap,edition-target:lang:ane-Latn-NC,166,2455.384615
schooling_language_gap,edition-target:lang:cwd-CA,167,2240.538462
schooling_language_gap,edition-target:lang:zun-US,168,2237.633395
schooling_language_gap,edition-target:regional:nah-istmo-bajo-Latn-MX,169,2206.988885
schooling_language_gap,edition-target:lang:crl-CA,170,2137.500000
schooling_language_gap,edition-target:lang:csw-CA,171,2047.615385
schooling_language_gap,edition-target:lang:cho-US,172,2003.356573
schooling_language_gap,edition-target:lang:kos-Latn-FM,173,2002.015385
schooling_language_gap,edition-target:regional:gnh-Latn-BR,174,1996.577516
schooling_language_gap,edition-target:lang:hop-US,175,1960.585186
schooling_language_gap,edition-target:lang:yap-Latn-FM,176,1837.153846
schooling_language_gap,edition-target:lang:qum-GT,177,1821.807692
schooling_language_gap,edition-target:lang:mrl-Latn-FM,178,1626.253846
schooling_language_gap,edition-target:lang:ojw-CA,179,1591.615385
schooling_language_gap,edition-target:regional:rmf-Latn-FI,180,1534.615385
schooling_language_gap,edition-target:lang:evn-RU,181,1462.951207
schooling_language_gap,edition-target:lang:woe-Latn-FM,182,1294.338462
schooling_language_gap,edition-target:lang:dlg-RU,183,1274.996964
schooling_language_gap,edition-target:lang:eve-RU,184,1259.808743
schooling_language_gap,edition-target:regional:nhd-Latn-BR,185,1112.987116
schooling_language_gap,edition-target:lang:ciw-CA,186,894.461538
schooling_language_gap,edition-target:lang:mop-GT,187,881.746154
schooling_language_gap,edition-target:lang:alq-CA,188,857.192308
schooling_language_gap,edition-target:lang:pre-Latn-ST,189,768.623077
schooling_language_gap,edition-target:lang:ckt-RU,190,625.971707
schooling_language_gap,edition-target:lang:cod-PE,191,519.576923
schooling_language_gap,edition-target:lang:nsk-CA,192,453.807692
schooling_language_gap,edition-target:lang:crj-CA,193,392.423077
schooling_language_gap,edition-target:lang:pqm-CA,194,359.538462
schooling_language_gap,edition-target:lang:ikt-CA,195,346.384615
schooling_language_gap,edition-target:regional:jqr-Latn-PE,196,196.430769
schooling_language_gap,edition-target:lang:crm-CA,197,181.961538
schooling_language_gap,edition-target:lang:itz-GT,198,178.015385
schooling_language_gap,edition-target:regional:inuvialuktun-Latn-CA,199,155.653846
schooling_language_gap,edition-target:lang:itl-RU,200,123.404301
schooling_language_gap,edition-target:lang:zh-Hans-CX,201,103.038462
schooling_language_gap,edition-target:lang:otw-CA,202,96.461538
schooling_language_gap,edition-target:lang:nio-RU,203,79.738164
schooling_language_gap,edition-target:lang:ulk-Latn-AU,204,26.307692
learning_completion_gap,edition-target:lang:hi-Deva-IN,1,125295145.342238
learning_completion_gap,edition-target:lang:id-Latn-ID,2,96022171.326633
learning_completion_gap,edition-target:lang:ru-Cyrl-RU,3,56740562.952060
learning_completion_gap,edition-target:lang:bn-Beng-IN,4,37397548.916813
learning_completion_gap,edition-target:lang:pnb-Arab-PK,5,35892193.098747
learning_completion_gap,edition-target:lang:mr-Deva-IN,6,32196188.274750
learning_completion_gap,edition-target:lang:te-Telu-IN,7,31545507.602250
learning_completion_gap,edition-target:lang:ta-Taml-IN,8,26786563.934662
learning_completion_gap,edition-target:lang:jv-Latn-ID,9,26292751.835757
learning_completion_gap,edition-target:lang:th-Thai-TH,10,23741147.532661
learning_completion_gap,edition-target:lang:gu-Gujr-IN,11,21400139.972850
learning_completion_gap,edition-target:lang:ur-Arab-IN,12,19724078.481675
learning_completion_gap,edition-target:lang:bho-Deva-IN,13,19667185.722863
learning_completion_gap,edition-target:lang:ps-Arab-PK,14,18202604.171279
learning_completion_gap,edition-target:lang:uz-Latn-UZ,15,18028500.000000
learning_completion_gap,edition-target:lang:kn-Knda-IN,16,16916870.038800
learning_completion_gap,edition-target:lang:my-Mymr-MM,17,16454255.606250
learning_completion_gap,edition-target:lang:es-Latn-US,18,15922890.921335
learning_completion_gap,edition-target:lang:ary-Arab-MA,19,15300000.000000
learning_completion_gap,edition-target:lang:sd-Arab-PK,20,14351167.147820
learning_completion_gap,edition-target:lang:ml-Mlym-IN,21,13522420.150387
learning_completion_gap,edition-target:lang:yo-Latn-NG,22,13402575.750000
learning_completion_gap,edition-target:lang:or-Orya-IN,23,13243519.843275
learning_completion_gap,edition-target:lang:mg-Latn-MG,24,12813709.578750
learning_completion_gap,edition-target:lang:su-Latn-ID,25,12524427.995525
learning_completion_gap,edition-target:lang:pa-Guru-IN,26,12109992.039562
learning_completion_gap,edition-target:lang:om-Latn-ET,27,11686793.478303
learning_completion_gap,edition-target:lang:skr-Arab-PK,28,11645597.762811
learning_completion_gap,edition-target:lang:ig-Latn-NG,29,11168813.125000
learning_completion_gap,edition-target:lang:am-Ethi-ET,30,10141693.461765
learning_completion_gap,edition-target:lang:cmn-Hant-TW,31,9490586.400000
learning_completion_gap,edition-target:lang:ur-Arab-PK,32,9281657.185125
learning_completion_gap,edition-target:lang:nan-Hant-TW,33,8427977.550000
learning_completion_gap,edition-target:lang:kmr-Latn-001,34,7875000.000000
learning_completion_gap,edition-target:lang:km-Khmr-KH,35,6701910.300000
learning_completion_gap,edition-target:lang:zu-Latn-ZA,36,6503051.735317
learning_completion_gap,edition-target:lang:hne-Deva-IN,37,6316739.066625
learning_completion_gap,edition-target:lang:ne-Deva-NP,38,5888005.650000
learning_completion_gap,edition-target:lang:as-Beng-IN,39,5761177.378725
learning_completion_gap,edition-target:lang:kk-Cyrl-KZ,40,5701683.150000
learning_completion_gap,edition-target:lang:mai-Deva-IN,41,5192282.064113
learning_completion_gap,edition-target:lang:mag-Deva-IN,42,4940890.065938
learning_completion_gap,edition-target:lang:ca-Latn-ES,43,4500000.000000
learning_completion_gap,edition-target:lang:xh-Latn-ZA,44,4355301.398956
learning_completion_gap,edition-target:lang:rw-Latn-RW,45,3277825.215000
learning_completion_gap,edition-target:lang:mwr-Deva-IN,46,3045277.701788
learning_completion_gap,edition-target:lang:mad-Latn-ID,47,2992134.746518
learning_completion_gap,edition-target:lang:yue-Hant-HK,48,2848026.150000
learning_completion_gap,edition-target:lang:tk-Latn-TM,49,2834084.250000
learning_completion_gap,edition-target:lang:ckb-Arab-001,50,2627290.050000
learning_completion_gap,edition-target:lang:so-Latn-ET,51,2414228.769486
learning_completion_gap,edition-target:lang:ky-Cyrl-KG,52,2412025.200000
learning_completion_gap,edition-target:lang:ti-Ethi-ET,53,2027426.359796
learning_completion_gap,edition-target:lang:gug-Latn-PY,54,1706532.300000
learning_completion_gap,edition-target:lang:ka-Geor-GE,55,1688713.435000
learning_completion_gap,edition-target:lang:min-Latn-ID,56,1634490.351855
learning_completion_gap,edition-target:lang:awa-Deva-IN,57,1497376.661775
learning_completion_gap,edition-target:lang:mai-Deva-NP,58,1450075.050000
learning_completion_gap,edition-target:lang:hy-Armn-AM,59,1434518.655000
learning_completion_gap,edition-target:lang:bjn-Latn-ID,60,1410375.835525
learning_completion_gap,edition-target:lang:bug-Latn-ID,61,1356279.228135
learning_completion_gap,edition-target:lang:ne-Deva-IN,62,1137659.202150
learning_completion_gap,edition-target:lang:brh-Arab-PK,63,1121654.951554
learning_completion_gap,edition-target:lang:bho-Deva-NP,64,819357.750000
learning_completion_gap,edition-target:lang:pov-Latn-GW,65,586684.350000
learning_completion_gap,edition-target:lang:kek-GT,66,569330.435000
learning_completion_gap,edition-target:lang:hak-Hant-TW,67,536999.400000
learning_completion_gap,edition-target:lang:quc-GT,68,532683.090000
learning_completion_gap,edition-target:lang:mfe-Latn-MU,69,450960.750000
learning_completion_gap,edition-target:lang:eu-Latn-ES,70,421565.400000
learning_completion_gap,edition-target:lang:awa-Deva-NP,71,388924.200000
learning_completion_gap,edition-target:lang:mam-GT,72,298273.705000
learning_completion_gap,edition-target:lang:yua-MX,73,292425.816020
learning_completion_gap,edition-target:lang:sn-Latn-ZA,74,279625.806555
learning_completion_gap,edition-target:lang:zgh-Tfng-MA,75,274104.405000
learning_completion_gap,edition-target:lang:cy-Latn-GB,76,226872.947499
learning_completion_gap,edition-target:lang:tzh-MX,77,222368.251839
learning_completion_gap,edition-target:lang:tzo-MX,78,207697.044207
learning_completion_gap,edition-target:lang:cak-GT,79,207599.945000
learning_completion_gap,edition-target:lang:ayr-BO,80,205811.100000
learning_completion_gap,edition-target:lang:ayr-PE,81,199975.050000
learning_completion_gap,edition-target:regional:ru-Cyrl-EE,82,191501.050000
learning_completion_gap,edition-target:lang:swh-Latn-RW,83,167449.415000
learning_completion_gap,edition-target:lang:tet-Latn-TL,84,162462.150000
learning_completion_gap,edition-target:lang:mag-Deva-NP,85,103552.650000
learning_completion_gap,edition-target:lang:mi-Latn-NZ,86,96232.050000
learning_completion_gap,edition-target:lang:ctu-MX,87,96140.382092
learning_completion_gap,edition-target:lang:bzj-BZ,88,91299.960000
learning_completion_gap,edition-target:lang:mgm-Latn-TL,89,88100.100000
learning_completion_gap,edition-target:lang:kjb-GT,90,74817.450000
learning_completion_gap,edition-target:regional:nah-huasteca-hidalguense-Latn-MX,91,73892.007154
learning_completion_gap,edition-target:lang:poh-GT,92,59883.300000
learning_completion_gap,edition-target:lang:nav-US,93,59173.893512
learning_completion_gap,edition-target:lang:acr-GT,94,55952.100000
learning_completion_gap,edition-target:lang:mkz-Latn-TL,95,55728.000000
learning_completion_gap,edition-target:lang:pap-CW,96,51771.600000
learning_completion_gap,edition-target:lang:ixl-GT,97,51748.650000
learning_completion_gap,edition-target:lang:pis-Latn-SB,98,51301.940000
learning_completion_gap,edition-target:regional:nah-sierra-noreste-puebla-Latn-MX,99,50855.531327
learning_completion_gap,edition-target:regional:nah-huasteca-potosina-Latn-MX,100,50288.234567
learning_completion_gap,edition-target:regional:nah-mexicano-guerrero-Latn-MX,101,47090.537858
learning_completion_gap,edition-target:regional:chol-northwest-Latn-MX,102,44303.876527
learning_completion_gap,edition-target:lang:crs-Latn-SC,103,44098.115000
learning_completion_gap,edition-target:lang:pap-AW,104,35023.770000
learning_completion_gap,edition-target:regional:tseltal-north-Latn-MX,105,31779.941862
learning_completion_gap,edition-target:lang:kem-Latn-TL,106,31047.750000
learning_completion_gap,edition-target:regional:tsotsil-north-high-Latn-MX,107,29326.940102
learning_completion_gap,edition-target:lang:bfn-Latn-TL,108,29108.700000
learning_completion_gap,edition-target:lang:cri-Latn-ST,109,28218.150000
learning_completion_gap,edition-target:regional:nah-noroeste-central-Latn-MX,110,26813.547470
learning_completion_gap,edition-target:regional:tseltal-east-Latn-MX,111,26539.146442
learning_completion_gap,edition-target:lang:jiv-EC,112,26446.500000
learning_completion_gap,edition-target:lang:cac-GT,113,26366.400000
learning_completion_gap,edition-target:lang:agr-PE,114,25462.800000
learning_completion_gap,edition-target:lang:knj-GT,115,24880.500000
learning_completion_gap,edition-target:regional:tsotsil-centre-Latn-MX,116,21554.634788
learning_completion_gap,edition-target:lang:tkd-Latn-TL,117,21052.800000
learning_completion_gap,edition-target:lang:tca-BR,118,19557.734096
learning_completion_gap,edition-target:regional:eu-Latn-FR-64,119,19174.078570
learning_completion_gap,edition-target:lang:iku-CA,120,18753.750000
learning_completion_gap,edition-target:lang:iu-Cans-CA,121,18753.750000
learning_completion_gap,edition-target:lang:mh-Latn-MH,122,17844.680000
learning_completion_gap,edition-target:lang:sm-Latn-AS,123,17475.750000
learning_completion_gap,edition-target:regional:pdt-Latn-CA,124,16766.000000
learning_completion_gap,edition-target:regional:tsotsil-northwest-Latn-MX,125,15584.242138
learning_completion_gap,edition-target:lang:shp-PE,126,15368.400000
learning_completion_gap,edition-target:lang:jac-GT,127,14655.600000
learning_completion_gap,edition-target:lang:kgk-BR,128,14545.824862
learning_completion_gap,edition-target:lang:chk-Latn-FM,129,13976.885000
learning_completion_gap,edition-target:lang:nzs-NZ,130,11845.440000
learning_completion_gap,edition-target:lang:gub-BR,131,10991.583524
learning_completion_gap,edition-target:lang:kgp-BR,132,10340.637355
learning_completion_gap,edition-target:regional:chol-southeast-Latn-MX,133,10266.070913
learning_completion_gap,edition-target:regional:nah-istmo-Latn-MX,134,10053.570529
learning_completion_gap,edition-target:lang:ccr-GT,135,9697.500000
learning_completion_gap,edition-target:lang:haw-Latn-US,136,9358.473114
learning_completion_gap,edition-target:lang:dhv-Latn-NC,137,8029.500000
learning_completion_gap,edition-target:lang:pon-Latn-FM,138,8004.150000
learning_completion_gap,edition-target:lang:gui-BO,139,7916.400000
learning_completion_gap,edition-target:lang:caa-GT,140,7498.350000
learning_completion_gap,edition-target:regional:nah-sierra-oeste-puebla-Latn-MX,141,7353.343635
learning_completion_gap,edition-target:regional:nah-mexicano-oriente-central-Latn-MX,142,7137.068822
learning_completion_gap,edition-target:lang:ojs-CA,143,6887.250000
learning_completion_gap,edition-target:lang:pau-Latn-PW,144,6261.495000
learning_completion_gap,edition-target:lang:na-Latn-NR,145,5562.070000
learning_completion_gap,edition-target:lang:crk-CA,146,5402.250000
learning_completion_gap,edition-target:lang:aoa-Latn-ST,147,5119.650000
learning_completion_gap,edition-target:lang:prl-PE,148,5014.560000
learning_completion_gap,edition-target:lang:poc-GT,149,4854.150000
learning_completion_gap,edition-target:lang:moe-CA,150,4833.000000
learning_completion_gap,edition-target:lang:agu-GT,151,4565.250000
learning_completion_gap,edition-target:lang:ch-Latn-MP,152,4310.550000
learning_completion_gap,edition-target:lang:nen-Latn-NC,153,4230.000000
learning_completion_gap,edition-target:lang:mic-CA,154,4158.000000
learning_completion_gap,edition-target:lang:acu-EC,155,4122.900000
learning_completion_gap,edition-target:lang:chr-US,156,3832.972119
learning_completion_gap,edition-target:lang:tcs-Latn-AU,157,3418.200000
learning_completion_gap,edition-target:regional:inb-Latn-CO,158,3395.807686
learning_completion_gap,edition-target:lang:rop-Latn-AU,159,3331.350000
learning_completion_gap,edition-target:regional:gun-Latn-BR,160,3212.588667
learning_completion_gap,edition-target:lang:rap-Latn-CL,161,3152.700000
learning_completion_gap,edition-target:regional:nah-oaxaca-Latn-MX,162,3068.611218
learning_completion_gap,edition-target:lang:bla-CA,163,3006.000000
learning_completion_gap,edition-target:lang:zun-US,164,2977.161965
learning_completion_gap,edition-target:lang:pri-Latn-NC,165,2938.500000
learning_completion_gap,edition-target:lang:quv-GT,166,2937.600000
learning_completion_gap,edition-target:lang:cho-US,167,2665.457623
learning_completion_gap,edition-target:lang:hop-US,168,2608.550470
learning_completion_gap,edition-target:regional:nah-istmo-bajo-Latn-MX,169,2566.612089
learning_completion_gap,edition-target:lang:ane-Latn-NC,170,2520.000000
learning_completion_gap,edition-target:regional:gnh-Latn-BR,171,2364.477299
learning_completion_gap,edition-target:lang:cwd-CA,172,2299.500000
learning_completion_gap,edition-target:lang:crl-CA,173,2193.750000
learning_completion_gap,edition-target:lang:csw-CA,174,2101.500000
learning_completion_gap,edition-target:lang:kos-Latn-FM,175,2054.700000
learning_completion_gap,edition-target:lang:evn-RU,176,1981.921008
learning_completion_gap,edition-target:lang:yap-Latn-FM,177,1885.500000
learning_completion_gap,edition-target:lang:qum-GT,178,1869.750000
learning_completion_gap,edition-target:lang:dlg-RU,179,1727.291557
learning_completion_gap,edition-target:lang:eve-RU,180,1706.715440
learning_completion_gap,edition-target:lang:mrl-Latn-FM,181,1669.050000
learning_completion_gap,edition-target:lang:ojw-CA,182,1633.500000
learning_completion_gap,edition-target:regional:rmf-Latn-FI,183,1575.000000
learning_completion_gap,edition-target:lang:woe-Latn-FM,184,1328.400000
learning_completion_gap,edition-target:regional:nhd-Latn-BR,185,1318.071925
learning_completion_gap,edition-target:lang:ciw-CA,186,918.000000
learning_completion_gap,edition-target:lang:mop-GT,187,904.950000
learning_completion_gap,edition-target:lang:alq-CA,188,879.750000
learning_completion_gap,edition-target:lang:ckt-RU,189,848.029975
learning_completion_gap,edition-target:lang:pre-Latn-ST,190,788.850000
learning_completion_gap,edition-target:lang:cod-PE,191,533.250000
learning_completion_gap,edition-target:lang:nsk-CA,192,465.750000
learning_completion_gap,edition-target:lang:crj-CA,193,402.750000
learning_completion_gap,edition-target:lang:pqm-CA,194,369.000000
learning_completion_gap,edition-target:lang:ikt-CA,195,355.500000
learning_completion_gap,edition-target:regional:jqr-Latn-PE,196,201.600000
learning_completion_gap,edition-target:lang:crm-CA,197,186.750000
