authorization_id,source_lane,source_record_id,evidence_identity_id,edition_target_id,canonical_language_target_id,regional_stratum_id,authorization_status,authorization_tier,authorization_reason,population_low_persons,population_base_persons,population_high_persons,population_definition,source_ids,source_urls,score_row_present,score_order_lane,score_primary_order_eligible,score_population_atom_id,score_selected_source_record_id,score_authorization_ids,binding_outcome,row_sha256
auth:canonical:canonical:pop:036221d53ad09a48edd1d3e2,legacy_canonical_population,pop:036221d53ad09a48edd1d3e2,canonical:pop:036221d53ad09a48edd1d3e2,edition-target:lang:ciw-CA,lang:ciw-CA,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,,2040,,People reporting knowledge of Anishinaabemowin / Chippewa; mother-tongue count 765. Counts randomly rounded.,SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,true,person_need,true,auth:canonical:canonical:pop:036221d53ad09a48edd1d3e2,pop:036221d53ad09a48edd1d3e2,auth:canonical:canonical:pop:036221d53ad09a48edd1d3e2;auth:regional:AMERICAS_EUROPE_EMPIRICAL_NEED_INPUTS:ciw-script-unresolved-CA,ADMITTED_AND_SELECTED_FOR_SCORE,EE01E66AA09705A9FEC333E7AA1E76E6A7E65E2541FF4750FB892F55B1654CE7
auth:canonical:canonical:pop:04283d29e33f25b5fd2e9344,legacy_canonical_population,pop:04283d29e33f25b5fd2e9344,canonical:pop:04283d29e33f25b5fd2e9344,edition-target:lang:sme,lang:sme,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,20000,,25000,Peer-reviewed speaker estimate or range; not harmonized census count.,SRC_AMAR_SAMI_REVIEW_2025,https://www.tandfonline.com/doi/abs/10.1080/14790718.2025.2517902,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,7DE673DB891DF271E375A4BC5D7A614056AA38D610FEE7398A02E61306172790
auth:canonical:canonical:pop:048524fec04276d0618e84c3,legacy_canonical_population,pop:048524fec04276d0618e84c3,canonical:pop:048524fec04276d0618e84c3,edition-target:lang:ms-Latn-MY,lang:ms-Latn-MY,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,17600000,,18500000,Approximate ethnic-Malay planning range from Malaysian population data; not a direct language-use count and smaller than national exposure.,MYS_DOSM_POP,https://open.dosm.gov.my/data-catalogue/population_malaysia,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,FC86E33674798A2714660E174D98368AD45E68403AFDA1F4A27984AE1B9F12DC
auth:canonical:canonical:pop:04b6889e80d1ae18e50eb6fd,legacy_canonical_population,pop:04b6889e80d1ae18e50eb6fd,canonical:pop:04b6889e80d1ae18e50eb6fd,edition-target:lang:kem-Latn-TL,lang:kem-Latn-TL,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,,68995,,2015 census L1 count reproduced in an open peer-reviewed study.,TLS_CENSUS_LANGUAGE_STUDY,https://pmc.ncbi.nlm.nih.gov/articles/PMC9411783/,true,person_need,true,auth:canonical:canonical:pop:04b6889e80d1ae18e50eb6fd,pop:04b6889e80d1ae18e50eb6fd,auth:canonical:canonical:pop:04b6889e80d1ae18e50eb6fd,ADMITTED_AND_SELECTED_FOR_SCORE,CD1C69D2B6D0FA21493B53574B068A099008296FCAB7B44154716FA2ABFBF48D
auth:canonical:canonical:pop:05c20aff41345522bcbcdfc4,legacy_canonical_population,pop:05c20aff41345522bcbcdfc4,canonical:pop:05c20aff41345522bcbcdfc4,edition-target:lang:ta-Taml-LK:community:sri-lanka-tamil,lang:ta-Taml-LK:community:sri-lanka-tamil,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,2681627,2681627,2681627,Sri Lanka Tamil ethnicity count; L1 equivalence not enumerated,LKA_CENSUS_2024,https://www.statistics.gov.lk/Resource/en/Population/CPH_2024/CPH2024_Final_Eng.pdf,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,98C863EDA1DAD4753EA38E228132B7270A0E75BF5FCB55C88A3F8042CC964CDE
auth:canonical:canonical:pop:067a026b2b1f291099c85232,legacy_canonical_population,pop:067a026b2b1f291099c85232,canonical:pop:067a026b2b1f291099c85232,edition-target:lang:hil-Latn-PH,lang:hil-Latn-PH,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,8608191,,"2020 ethnicity proxy; the census also reports 1,933,512 home-language households, not persons.",PH_PSA_ETHNICITY_2020,https://psa.gov.ph/content/ethnicity-philippines-2020-census-population-and-housing,true,unranked_context,false,territory:PHL,,,EXCLUDED_WITH_EXPLICIT_REASON,89E3BE99412358E9DD4C49413F270275FC24613A5A7B402283C31246B34B24E6
auth:canonical:canonical:pop:07dba49c932795d75471c5e8,legacy_canonical_population,pop:07dba49c932795d75471c5e8,canonical:pop:07dba49c932795d75471c5e8,edition-target:lang:sid-Latn-ET,lang:sid-Latn-ET,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,2981471,,2007 Ethiopia mother-tongue count,SRC_ESS_CENSUS_2007,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download,true,unranked_context,false,territory:ETH,,,EXCLUDED_WITH_EXPLICIT_REASON,96355873B970E05C6897D18304C29C1948000A3E15992EE87D566519BD26B69C
auth:canonical:canonical:pop:07e3cc4eb493772ea61be502,legacy_canonical_population,pop:07e3cc4eb493772ea61be502,canonical:pop:07e3cc4eb493772ea61be502,edition-target:lang:unresolved-tag:multilingual-mainland-population-zh-hans-cn-capable-subset-unmeasured:mainland-china-people-offline-in-the,lang:unresolved-tag:multilingual-mainland-population-zh-hans-cn-capable-subset-unmeasured:mainland-china-people-offline-in-the,,EXCLUDE,none,target identity is unresolved/macro/context,,,,Approximate offline population derived from rounded NBS year-end population and CNNIC internet-user count,SRC_CNNIC_57_2025,https://www3.cnnic.cn/n4/2026/0304/c88-11549.html,true,unranked_context,false,territory:CHN,,,EXCLUDED_WITH_EXPLICIT_REASON,C59D867BA9EF5D1FDE9EAA6C97958E3F5E1C855E0091AE8293076190FD0F5D38
auth:canonical:canonical:pop:08314d40297a9bc50863eb49,legacy_canonical_population,pop:08314d40297a9bc50863eb49,canonical:pop:08314d40297a9bc50863eb49,edition-target:lang:zh-Hans-CN:written,lang:zh-Hans-CN:written,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,8059000,,Adult undergraduate and associate learners enrolled in 2025,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,true,stage_opportunity,true,CN-formal-education-2025,LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025,auth:canonical:llps:LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025,EXCLUDED_WITH_EXPLICIT_REASON,BABBFC92F1EEED031BDF7F5CFF6B8843955B40219D05C310C2955650C9DD19AA
auth:canonical:canonical:pop:086035c2c540a39c8767d8f5,legacy_canonical_population,pop:086035c2c540a39c8767d8f5,canonical:pop:086035c2c540a39c8767d8f5,edition-target:lang:cuk-PA,lang:cuk-PA,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,112319,,People identifying with the Guna people; not a speaker count.,SRC_AMAR_PAN_INEC_2023,https://www.inec.gob.pa/Publicaciones/Default3.aspx?ID_CATEGORIA=19&ID_PUBLICACION=1212&ID_SUBCATEGORIA=71,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,F01FAEF807DBA820159636E820CDC83CD4B4DD06000D9A9302A8EE25D03FC3AD
auth:canonical:canonical:pop:098f8cc1eee32013c992f2ab,legacy_canonical_population,pop:098f8cc1eee32013c992f2ab,canonical:pop:098f8cc1eee32013c992f2ab,edition-target:lang:st-Latn-ZA,lang:st-Latn-ZA,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,Share of South Africa population reporting Sesotho as household language,SRC_STATSSA_CENSUS_2022,https://www.statssa.gov.za/wp-content/uploads/2023/11/Mbalo-brief-November.pdf,true,unranked_context,false,territory:ZAF,,,EXCLUDED_WITH_EXPLICIT_REASON,6CD6EDCD2A572ED3F61CC48E2E3E8EE7EA48E64CF40939B6AD8030C62D074C36
auth:canonical:canonical:pop:0ba3c9b0647aa75ce1659d19,legacy_canonical_population,pop:0ba3c9b0647aa75ce1659d19,canonical:pop:0ba3c9b0647aa75ce1659d19,edition-target:lang:bzj-BZ,lang:bzj-BZ,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,"Share of population age 4+ reporting ability to speak Belize Kriol; multiple languages allowed, not a mother-tongue share.",SRC_AMAR_BLZ_SIB_2022,https://sib.org.bz/wp-content/uploads/CensusKeyFindingsReport_2022.pdf,true,person_need,true,nonadditive-multilanguage:a4babbc795027f17,bzj-Latn-BZ,auth:regional:AMERICAS_EUROPE_EMPIRICAL_NEED_INPUTS:bzj-Latn-BZ,EXCLUDED_WITH_EXPLICIT_REASON,E309C67B689F4CBC2BC305ACB2A7CE814586C2E91DE5062904D4B6BE415428F2
auth:canonical:canonical:pop:0ba8b556e1bc941de0d5d9f6,legacy_canonical_population,pop:0ba8b556e1bc941de0d5d9f6,canonical:pop:0ba8b556e1bc941de0d5d9f6,edition-target:lang:zun-US,lang:zun-US,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,,8109,,People age 5+ reporting Zuni at home in the 2017–2021 ACS.,SRC_AMAR_US_ACS_2017_2021,https://www.census.gov/library/stories/2025/06/native-american-language-use.html,true,person_need,true,auth:canonical:canonical:pop:0ba8b556e1bc941de0d5d9f6,pop:0ba8b556e1bc941de0d5d9f6,auth:canonical:canonical:pop:0ba8b556e1bc941de0d5d9f6,ADMITTED_AND_SELECTED_FOR_SCORE,A18180DD568F723047DD5DF27F8FC2D8E60D99AD57F75DBAFF7D6BC86C7F8B5C
auth:canonical:canonical:pop:0bc384a44a55e0b2b57a72bd,legacy_canonical_population,pop:0bc384a44a55e0b2b57a72bd,canonical:pop:0bc384a44a55e0b2b57a72bd,edition-target:lang:plg-AR,lang:plg-AR,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,Share of the self-identified Pilagá people who speak or understand the people's language; denominator count is not encoded here.,SRC_AMAR_ARG_INDEC_2022,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_poblacion_indigena.pdf,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,B0D635B509363BA92E4F9FCE47E42178891C343A25565C4B7F60FA0D835181AA
auth:canonical:canonical:pop:0d1a88a9d77adca9e17f7173,legacy_canonical_population,pop:0d1a88a9d77adca9e17f7173,canonical:pop:0d1a88a9d77adca9e17f7173,edition-target:lang:lo-Laoo-LA,lang:lo-Laoo-LA,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,3450000,,Rounded ethnic-Lao count derived from 53.2% of the 2015 census population; not a language-use census.,LAO_CENSUS_2015,https://lao.unfpa.org/en/publications/results-population-and-housing-census-2015-english-version,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,FED22BDB06C1BF26310AC549F0034C56EE27227353D8865A41DFB811DC80B8F0
auth:canonical:canonical:pop:0ea1c757685c2d2d888ffedf,legacy_canonical_population,pop:0ea1c757685c2d2d888ffedf,canonical:pop:0ea1c757685c2d2d888ffedf,edition-target:lang:mh-Latn-MH,lang:mh-Latn-MH,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,People aged 5+ reported speaking Marshallese,OIO_F4F04B63A55A,https://prdrse4all.spc.int/sites/default/files/marshall_islands_census_report_2021.pdf,true,person_need,true,mah-Latn-MH,mah-Latn-MH,auth:regional:OCEANIA_CENTRAL_ASIA_EMPIRICAL_INPUTS:mah-Latn-MH,EXCLUDED_WITH_EXPLICIT_REASON,AFC1D23353B39BA805D6008BB59D4011E15F58731B292BA56F5553868202C63A
auth:canonical:canonical:pop:0febc04682405966e45d0186,legacy_canonical_population,pop:0febc04682405966e45d0186,canonical:pop:0febc04682405966e45d0186,edition-target:lang:ja-Jpan-JP,lang:ja-Jpan-JP,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,92442,,Residence-status Student holders enrolled in university undergraduate programs,JPN-S007,https://www.studyinjapan.go.jp/ja/statistics/enrollment/data/2605291000.html,true,stage_opportunity,true,JA-direct-cohorts,LLPS-JA-JP-TERTIARY-OPPORTUNITY-2025,auth:canonical:llps:LLPS-JA-JP-PUPILS-NEEDING-INSTRUCTION-2025;auth:canonical:llps:LLPS-JA-JP-TERTIARY-OPPORTUNITY-2025,EXCLUDED_WITH_EXPLICIT_REASON,7516DBF6BDE8025FEF738E6C5A491779BA2EB778E87FD79450563B2F015CF959
auth:canonical:canonical:pop:122da67a31b6e9f10514b3b8,legacy_canonical_population,pop:122da67a31b6e9f10514b3b8,canonical:pop:122da67a31b6e9f10514b3b8,edition-target:lang:zh-Hans-CN:written,lang:zh-Hans-CN:written,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,5423500,,Web-based higher-education learners enrolled in 2025,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,true,stage_opportunity,true,CN-formal-education-2025,LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025,auth:canonical:llps:LLPS-ZH-HANS-CN-FORMAL-ENROLMENT-2025,EXCLUDED_WITH_EXPLICIT_REASON,0C1FD3EA5DD664749061A19289533B43437FE54F43F67F6F09C220A77730C719
auth:canonical:canonical:pop:124acde14997257ccf4fbab1,legacy_canonical_population,pop:124acde14997257ccf4fbab1,canonical:pop:124acde14997257ccf4fbab1,edition-target:lang:tca-CO,lang:tca-CO,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,4512,,Named-language speaker estimate in the national decennial language plan.,SRC_AMAR_COL_LANG_PLAN,https://dokumen.pub/plan-decenal-de-lenguas-nativas-de-colombia-9789587534948.html,true,unranked_context,false,territory:COL,,,EXCLUDED_WITH_EXPLICIT_REASON,9ED3928912BAFB9C4EABCB0A7544B99AF78432196C55E505BB3A3C50BB03BA3E
auth:canonical:canonical:pop:132d9d37cb993953ece8aff0,legacy_canonical_population,pop:132d9d37cb993953ece8aff0,canonical:pop:132d9d37cb993953ece8aff0,edition-target:lang:mtp-AR,lang:mtp-AR,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,,,Share of the self-identified Weenhayek people who speak or understand the people's language; denominator count is not encoded here.,SRC_AMAR_ARG_INDEC_2022,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_poblacion_indigena.pdf,true,unranked_context,false,world:unresolved-territory,,,EXCLUDED_WITH_EXPLICIT_REASON,086F3EC07387E592B58F659A9DDF4AFDBC1131D66B50D444CD9F28FCE51CDD96
auth:canonical:canonical:pop:13469bc5808556f0312a2d3e,legacy_canonical_population,pop:13469bc5808556f0312a2d3e,canonical:pop:13469bc5808556f0312a2d3e,edition-target:lang:pon-Latn-FM,lang:pon-Latn-FM,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,17787,17787,17787,People aged 5+ reporting the named home language,OIO_EA133B14931A,https://www.pacificweb.org/library/preview.php?file=fsm/states/2023FSMMunicipality.xlsx,true,person_need,true,auth:canonical:canonical:pop:13469bc5808556f0312a2d3e,pop:13469bc5808556f0312a2d3e,auth:canonical:canonical:pop:13469bc5808556f0312a2d3e,ADMITTED_AND_SELECTED_FOR_SCORE,29BC4426F5EABA0FE5BD92B3AC21C7D311060EE378D12EF653162B8E0085F9D1
auth:canonical:canonical:pop:13a2f93c14c2492f765ccdd3,legacy_canonical_population,pop:13a2f93c14c2492f765ccdd3,canonical:pop:13a2f93c14c2492f765ccdd3,edition-target:macro:AMAR_MEX_NAHUATL_LOCALITY_REQUIRED,macro:AMAR_MEX_NAHUATL_LOCALITY_REQUIRED,,EXCLUDE,none,target identity is unresolved/macro/context,,1651958,,People age 3+ reported under the census aggregate Náhuatl; not assignable to an INALI variety.,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,true,unranked_context,false,territory:MEX,,,EXCLUDED_WITH_EXPLICIT_REASON,C721E87B9E96B060F61029A9B0A279632D7DB7C046FE3BFC8C0907A1EACF93CC
auth:canonical:canonical:pop:141c2af19850479410aacb44,legacy_canonical_population,pop:141c2af19850479410aacb44,canonical:pop:141c2af19850479410aacb44,edition-target:lang:rap-Latn-CL,lang:rap-Latn-CL,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,7006,7006,7006,People age 5+ nationwide reporting that they speak or understand Rapa Nui; combined ability question,OIO_A7D1D42EC130,https://censo2024.ine.gob.cl/wp-content/uploads/2025/12/sintesis_resultados_censo2024.pdf,true,person_need,true,rap-Latn-CL-IP,rap-Latn-CL-IP,auth:regional:OCEANIA_CENTRAL_ASIA_EMPIRICAL_INPUTS:rap-Latn-CL-IP,EXCLUDED_WITH_EXPLICIT_REASON,F62885FD225A6B3C808B8A2E4ED5F0BB7BBE410EBBF9AAF6181439CC72FF048E
auth:canonical:canonical:pop:14603b503b0999e150581667,legacy_canonical_population,pop:14603b503b0999e150581667,canonical:pop:14603b503b0999e150581667,edition-target:lang:cac-GT,lang:cac-GT,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,,58592,,People age 4+ reporting Chuj as mother tongue.,SRC_AMAR_GTM_INE_2018,https://censo2018.ine.gob.gt/archivos/resultados_censo2018.pdf,true,person_need,true,auth:canonical:canonical:pop:14603b503b0999e150581667,pop:14603b503b0999e150581667,auth:canonical:canonical:pop:14603b503b0999e150581667,ADMITTED_AND_SELECTED_FOR_SCORE,9002CFE89775FEDE6E78D9EC5F54FCF482354C92B92EE544CF44353E5E1ABAAC
auth:canonical:canonical:pop:1575dbef18144b6e088d695f,legacy_canonical_population,pop:1575dbef18144b6e088d695f,canonical:pop:1575dbef18144b6e088d695f,edition-target:lang:bho-Deva-NP,lang:bho-Deva-NP,,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,1820795,1820795,1820795,Census mother-tongue count,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,true,person_need,true,auth:canonical:canonical:pop:1575dbef18144b6e088d695f,pop:1575dbef18144b6e088d695f,auth:canonical:canonical:pop:1575dbef18144b6e088d695f,ADMITTED_AND_SELECTED_FOR_SCORE,AB33067BF8DB129169DEFCCEEA088FDEB6307FDD360C5C60BDC0EAB09D08D28D
auth:canonical:canonical:pop:1599a45394c261baef7f6b5d,legacy_canonical_population,pop:1599a45394c261baef7f6b5d,canonical:pop:1599a45394c261baef7f6b5d,edition-target:lang:so-Latn-ET,lang:so-Latn-ET,,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,,4609274,,2007 Ethiopia mother-tongue count for Somali overall,SRC_ESS_CENSUS_2007,https://drs.ess.gov.et/bitstreams/61d74990-69a7-4f11-8e91-9234ca31d94f/download,true,person_need,true,so-Latn-ET,so-Latn-ET,auth:regional:AFRICA_EMPIRICAL_NEED_INPUTS:so-Latn-ET,EXCLUDED_WITH_EXPLICIT_REASON,315031D4A2C910B8E03BCE893A0B69810F6FC6D648F8008BBD44C2DC1DF4FCD9
