sentinel_id,target_label,expected_edition_target_id,expected_language_tag,script_or_mode,territory_or_community,sentinel_class,minimum_lane,why_required,preferred_evidence_action
S015,Telugu,edition-target:lang:te-Telu-IN,te-Telu-IN,Telugu,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
S016,Tamil — India,edition-target:lang:ta-Taml-IN,ta-Taml-IN,Tamil,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population and research tradition,Separate India and Sri Lanka strata
S017,Tamil — Sri Lanka,edition-target:lang:ta-Taml-LK,ta-Taml-LK,Tamil,Sri Lanka,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national-minority and diaspora-linked population,Use Sri Lanka-specific educational and population evidence
S018,Gujarati,edition-target:lang:gu-Gujr-IN,gu-Gujr-IN,Gujarati,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
S019,Kannada,edition-target:lang:kn-Knda-IN,kn-Knda-IN,Kannada,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
S020,Malayalam,edition-target:lang:ml-Mlym-IN,ml-Mlym-IN,Malayalam,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
S021,Odia,edition-target:lang:or-Orya-IN,or-Orya-IN,Odia,India,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large state-language population,Retain direct person measure and stage-specific scarcity
S022,Bhojpuri,edition-target:lang:bho-Deva-IN,bho-Deva-IN,Devanagari,India and transnational communities,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large language often hidden under Hindi aggregates,Do not credit Hindi without functional overlap evidence
S023,Maithili,edition-target:lang:mai-Deva-IN,mai-Deva-IN,Devanagari and Tirhuta context,India and Nepal,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large cross-border language often hidden by national standards,Keep territory and script arms explicit
S024,Nepali — Nepal,edition-target:lang:ne-Deva-NP,ne-Deva-NP,Devanagari,Nepal,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language and regional bridge,Use Nepal-specific evidence and do not erase other Nepal languages
S025,Sinhala,edition-target:lang:si-Sinh-LK,si-Sinh-LK,Sinhala,Sri Lanka,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with distinct script,Use stage and subject-specific evidence
S026,Thai,edition-target:lang:th-Thai-TH,th-Thai-TH,Thai,Thailand,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Official census home-language construct exceeds fifty million,Integrate official 2010 usual-home-language evidence and newer education context separately
S027,Vietnamese,edition-target:lang:vi-Latn-VN,vi-Latn-VN,Latin quốc ngữ,Viet Nam,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,At least eighty-six million identity-proxy and hundred-million territorial-scale screening case,Keep ethnicity proxy and territorial exposure separate until a direct language-user denominator is found
S028,Burmese,edition-target:lang:my-Mymr-MM,my-Mymr-MM,Myanmar,Myanmar,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language amid severe education disruption,Retain interval and displacement context without treating it as all Myanmar languages
S029,Filipino — national standard,edition-target:lang:fil-Latn-PH,fil-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national educational standard,Separate language knowledge from territorial exposure
S030,Tagalog,edition-target:lang:tl-Latn-PH,tl-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large home-language population related to but not identical with Filipino,Audit overlap with Filipino before aggregation
S031,Javanese,edition-target:lang:jv-Latn-ID,jv-Latn-ID,Latin with Javanese-script continuity context,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large regional-language population not replaced by Indonesian,Retain direct person evidence and bilingual curriculum role
S032,Sundanese,edition-target:lang:su-Latn-ID,su-Latn-ID,Latin with Sundanese-script context,Indonesia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large regional-language population not replaced by Indonesian,Retain direct person evidence and bilingual curriculum role
S033,Cebuano,edition-target:lang:ceb-Latn-PH,ceb-Latn-PH,Latin,Philippines,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large Philippine language hidden by national-language totals,Use exact home-language or knowledge evidence
S034,Ilocano,edition-target:lang:ilo-Latn-PH,ilo-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,Major Philippine regional language,Use exact regional and diaspora evidence
S035,Hiligaynon,edition-target:lang:hil-Latn-PH,hil-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,Major Philippine regional language,Use exact regional evidence
S036,Waray,edition-target:lang:war-Latn-PH,war-Latn-PH,Latin,Philippines,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,Major Philippine regional language,Use exact regional evidence
S037,Khmer,edition-target:lang:km-Khmr-KH,km-Khmr-KH,Khmer,Cambodia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with distinct script and limited academic-language substitution,Use direct population and stage-specific learning evidence
S038,Lao,edition-target:lang:lo-Laoo-LA,lo-Laoo-LA,Lao,Lao PDR,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with distinct script,Use direct population and stage-specific learning evidence
S039,Malay — Rumi Malaysia,edition-target:lang:ms-Latn-MY,ms-Latn-MY,Latin Rumi,Malaysia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language and regional bridge,Keep Jawi as a separate delivery arm and do not award blanket Indonesian overlap
S040,Malay — Jawi Malaysia,edition-target:lang:ms-Arab-MY,ms-Arab-MY,Jawi Perso-Arabic,Malaysia,SCRIPT_ACCESS,STRUCTURAL_OR_CONTEXT,Script-specific access intervention,Measure Jawi literacy rather than duplicate the full Malay population
S041,Tetum,edition-target:lang:tet-Latn-TL,tet-Latn-TL,Latin,Timor-Leste,REGIONAL_DEPTH,DIRECT_OR_EXPLICIT_CONTEXT,National language in a multilingual education system,Keep Portuguese and local-language bridge functions explicit
S042,Kiswahili — Tanzania,edition-target:lang:sw-Latn-TZ,sw-Latn-TZ,Latin,Tanzania,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and regional bridge language,Use Tanzania-specific direct population and education evidence
S043,Kiswahili — Kenya,edition-target:lang:sw-Latn-KE,sw-Latn-KE,Latin,Kenya,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and regional bridge language,Keep Kenya-specific curriculum and denominator separate
S044,Hausa,edition-target:lang:ha-Latn-NG,ha-Latn-NG,Latin with Ajami arm separate,Nigeria and cross-border communities,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large cross-border bridge language,Keep script and territory strata explicit
S045,Standard Yoruba,edition-target:lang:yo-Latn-NG,yo-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and diaspora-linked language,Retain direct population and stage-specific scarcity
S046,Standard Igbo,edition-target:lang:ig-Latn-NG,ig-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language,Retain direct population and stage-specific scarcity
S047,Nigerian Pidgin,edition-target:lang:pcm-Latn-NG,pcm-Latn-NG,Latin,Nigeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large bridge-language candidate often omitted from formal-language lists,Find direct use and educational-comprehension evidence without substituting Nigeria population
S048,Amharic,edition-target:lang:am-Ethi-ET,am-Ethi-ET,Ethiopic,Ethiopia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and academic language,Use exact language and stage evidence rather than national exposure ceilings
S049,Oromo,edition-target:lang:om-Latn-ET,om-Latn-ET,Latin,Ethiopia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language,Retain direct population and multilingual education context
S050,Somali,edition-target:lang:so-Latn-SO,so-Latn-SO,Latin,Somalia and diaspora,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large cross-border language with displaced populations,Separate resident-language and displacement portfolios
S051,Kinyarwanda,edition-target:lang:rw-Latn-RW,rw-Latn-RW,Latin,Rwanda,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with broad reach,Measure stage and subject scarcity rather than infer from official status
S052,Kirundi,edition-target:lang:rn-Latn-BI,rn-Latn-BI,Latin,Burundi,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with broad reach,Measure stage and subject scarcity
S053,Lingala — DRC,edition-target:lang:ln-Latn-CD,ln-Latn-CD,Latin,Democratic Republic of the Congo,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major regional bridge language,Do not substitute French exposure for Lingala educational comfort
S054,French — DRC exposure context,edition-target:regional:fr-Latn-CD-exposure,fr-Latn-CD,Latin,Democratic Republic of the Congo,LARGE_CONTEXT,MANDATORY_CONTEXT,Very large official-language exposure ceiling with unknown academic comfort,Keep as context until tested or directly reported proficiency evidence exists
S055,Zulu,edition-target:lang:zu-Latn-ZA,zu-Latn-ZA,Latin,South Africa,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Use exact language and stage evidence
S056,Xhosa,edition-target:lang:xh-Latn-ZA,xh-Latn-ZA,Latin,South Africa,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Use exact language and stage evidence
S057,Shona,edition-target:lang:sn-Latn-ZW,sn-Latn-ZW,Latin,Zimbabwe,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Use exact language and stage evidence
S058,Chichewa,edition-target:lang:ny-Latn-MW,ny-Latn-MW,Latin,Malawi,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national and regional language,Use exact language and stage evidence
S059,Egyptian Arabic,edition-target:lang:arz-Arab-EG,arz-Arab-EG,Arabic,Egypt,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large spoken variety whose educational relation to MSA is nontrivial,Keep spoken comprehension and written MSA access separate
S060,Moroccan Arabic,edition-target:lang:ary-Arab-MA,ary-Arab-MA,Arabic,Morocco,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large spoken variety,Keep Darija and MSA educational functions separate
S061,Algerian Arabic,edition-target:lang:arq-Arab-DZ,arq-Arab-DZ,Arabic,Algeria,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large spoken variety,Keep spoken and formal Arabic functions separate
S062,North Levantine Arabic,edition-target:lang:apc-Arab-001,apc-Arab-001,Arabic,Levant,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large cross-border spoken variety,Do not apply one refugee cohort count to all speakers
S063,Iraqi Arabic,edition-target:lang:acm-Arab-IQ,acm-Arab-IQ,Arabic,Iraq,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large spoken variety,Use exact territorial evidence and MSA overlap research
S064,Sudanese Arabic,edition-target:lang:apd-Arab-SD,apd-Arab-SD,Arabic,Sudan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large spoken variety amid displacement,Separate resident language need from displacement portfolio
S065,Modern Standard Arabic,edition-target:lang:ar-Arab-001,ar-Arab-001,Arabic,Arabic-using education systems,LARGE_BRIDGE,MANDATORY_CONTEXT,Major learned written bridge with no defensible native-speaker denominator,Model territory and stage-specific functional comprehension rather than family-wide population
S066,Tamazight — Morocco,edition-target:lang:zgh-Tfng-MA,zgh-Tfng-MA,Tifinagh,Morocco,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Official standardized Amazigh language with major access implications,Keep named varieties and Arabic/French overlap explicit
S067,Algerian Amazigh varieties,edition-target:lang:unresolved-algerian-amazigh-varieties,,Latin Tifinagh and Arabic arms must be separately identified,Algeria,UNRESOLVED_MACRO,MANDATORY_CONTEXT,Official Tamazight status does not make Kabyle Chaoui Mozabite Tuareg and other varieties one language,Create exact variety and script targets before population binding
S068,Spanish — Latin America,edition-target:lang:es-Latn-419,es-Latn-419,Latin,Latin America,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large educational language,Use country and stage-specific scarcity rather than assuming universal rich provision
S069,Spanish — Spain,edition-target:lang:es-Latn-ES,es-Latn-ES,Latin,Spain,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large educational language and negative-control candidate,Research actual open-material sufficiency rather than infer it
S070,Portuguese — Brazil,edition-target:lang:pt-Latn-BR,pt-Latn-BR,Latin,Brazil,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Very large educational language,Use stage subject accessibility and open-resource evidence
S071,Portuguese — Portugal,edition-target:lang:pt-Latn-PT,pt-Latn-PT,Latin,Portugal,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large educational standard and negative-control candidate,Research actual gaps rather than infer them from income
S072,French — France,edition-target:lang:fr-Latn-FR,fr-Latn-FR,Latin,France,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large educational and research language,Use actual stage and subject scarcity as a negative control or priority basis
S073,French — West and Central African education contexts,edition-target:regional:fr-Latn-Africa-exposure,fr-Latn-002,Latin,West and Central Africa,LARGE_CONTEXT,MANDATORY_CONTEXT,Large official-schooling bridge with highly variable comfortable comprehension,Keep country-specific exposure and local-language alternatives visible
S074,English — United States home-language stratum,edition-target:regional:en-Latn-US-home-2023,en-Latn-US,Latin,United States,LARGE_CONTEXT,MANDATORY_CONTEXT,Large direct official home-language measure but not proof of complete educational access,Use as context and stage-specific negative control
S075,English — India reported L1 L2 L3,edition-target:regional:en-Latn-IN-reported-L123-2011,en-Latn-IN,Latin,India,LARGE_CONTEXT,MANDATORY_CONTEXT,Large reported-language exposure measure but not tested academic proficiency,Keep outside direct comfortable-reader ranking
S076,English — Nigeria exposure ceiling,edition-target:regional:en-Latn-NG-exposure,en-Latn-NG,Latin,Nigeria,LARGE_CONTEXT,MANDATORY_CONTEXT,Large official-language territory where proficiency is unmeasured,Do not treat national population as English users
S077,English — Pakistan exposure ceiling,edition-target:regional:en-Latn-PK-exposure,en-Latn-PK,Latin,Pakistan,LARGE_CONTEXT,MANDATORY_CONTEXT,Large official-language territory where proficiency is unmeasured,Do not treat national population as English users
S078,English — Philippines exposure ceiling,edition-target:regional:en-Latn-PH-exposure,en-Latn-PH,Latin,Philippines,LARGE_CONTEXT,MANDATORY_CONTEXT,Large official-language territory where proficiency is unmeasured,Do not treat national population as English users
S079,German,edition-target:lang:de-Latn-DE,de-Latn-DE,Latin,Germany,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large educational and research language and negative-control candidate,Research subject and accessibility gaps rather than infer sufficiency
S080,Italian,edition-target:lang:it-Latn-IT,it-Latn-IT,Latin,Italy,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language silently absent in the current authority,Add exact candidate and direct/context evidence
S081,Polish,edition-target:lang:pl-Latn-PL,pl-Latn-PL,Latin,Poland,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language silently absent in the current authority,Add exact candidate and direct/context evidence
S082,Dutch,edition-target:lang:nl-Latn-NL,nl-Latn-NL,Latin,Netherlands,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language silently absent in the current authority,Add exact candidate and direct/context evidence
S083,Romanian,edition-target:lang:ro-Latn-RO,ro-Latn-RO,Latin,Romania,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language silently absent in the current authority,Add exact candidate and direct/context evidence
S084,Greek,edition-target:lang:el-Grek-GR,el-Grek-GR,Greek,Greece,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language silently absent in the current authority,Add exact candidate and direct/context evidence
S085,Serbian — Cyrillic,edition-target:lang:sr-Cyrl-RS,sr-Cyrl-RS,Cyrillic,Serbia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national standard with script-specific delivery,Model Latin arm as nonadditive script access
S086,Serbian — Latin,edition-target:lang:sr-Latn-RS,sr-Latn-RS,Latin,Serbia,SCRIPT_ACCESS,STRUCTURAL_OR_CONTEXT,Script-specific arm of Serbian,Do not duplicate Serbian population
S087,Croatian,edition-target:lang:hr-Latn-HR,hr-Latn-HR,Latin,Croatia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National standard absent from the current authority,Add exact candidate and research shared-production versus separate-reader needs
S088,Bosnian,edition-target:lang:bs-Latn-BA,bs-Latn-BA,Latin,Bosnia and Herzegovina,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National standard absent from the current authority,Add exact candidate and research shared-production versus separate-reader needs
S089,Hungarian,edition-target:lang:hu-Latn-HU,hu-Latn-HU,Latin,Hungary,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major non-Indo-European European language,Add exact candidate and evidence
S090,Czech,edition-target:lang:cs-Latn-CZ,cs-Latn-CZ,Latin,Czechia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Add exact candidate and evidence
S091,Slovak,edition-target:lang:sk-Latn-SK,sk-Latn-SK,Latin,Slovakia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Add exact candidate and evidence
S092,Danish,edition-target:lang:da-Latn-DK,da-Latn-DK,Latin,Denmark,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language and negative-control candidate,Research actual subject and accessibility gaps
S093,Swedish,edition-target:lang:sv-Latn-SE,sv-Latn-SE,Latin,Sweden,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language and negative-control candidate,Research actual subject and accessibility gaps
S094,Norwegian Bokmål,edition-target:lang:nb-Latn-NO,nb-Latn-NO,Latin,Norway,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major written standard,Keep Nynorsk as a separate production and access arm
S095,Norwegian Nynorsk,edition-target:lang:nn-Latn-NO,nn-Latn-NO,Latin,Norway,MINORITIZED_STANDARD,DIRECT_OR_EXPLICIT_CONTEXT,Official written standard with distinct educational-access implications,Do not treat Bokmål availability as complete coverage
S096,Finnish,edition-target:lang:fi-Latn-FI,fi-Latn-FI,Latin,Finland,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Major national language,Add exact candidate and evidence
S097,Standard Ukrainian — Ukraine,edition-target:lang:uk-Cyrl-UA,uk-Cyrl-UA,Cyrillic,Ukraine,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language currently represented only by a displacement cohort,Add resident-language candidate separately from displaced learner portfolio
S098,Turkish,edition-target:lang:tr-Latn-TR,tr-Latn-TR,Latin,Türkiye,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and regional language,Use direct population and stage-specific evidence
S099,Persian — Iran,edition-target:lang:fa-Arab-IR,fa-Arab-IR,Perso-Arabic,Iran,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national and academic language,Keep Dari and Tajik separate
S100,Dari,edition-target:lang:prs-Arab-AF,prs-Arab-AF,Perso-Arabic,Afghanistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national variety amid displacement,Separate resident-language and displacement portfolios
S101,Pashto — Afghanistan,edition-target:lang:ps-Arab-AF,ps-Arab-AF,Perso-Arabic,Afghanistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language amid displacement,Separate resident-language and displacement portfolios
S102,Sorani Kurdish,edition-target:lang:ckb-Arab-001,ckb-Arab-001,Perso-Arabic,Iraq Iran and diaspora,STATELESS_CROSS_BORDER,DIRECT_OR_EXPLICIT_CONTEXT,Large stateless cross-border language,Use territory-specific evidence and separate scripts
S103,Kurmanji Kurdish,edition-target:lang:kmr-Latn-001,kmr-Latn-001,Latin with Cyrillic and Arabic arms separately tagged,Türkiye Syria Iraq Caucasus and diaspora,STATELESS_CROSS_BORDER,DIRECT_OR_EXPLICIT_CONTEXT,Large stateless cross-border language,Use territory and script-specific evidence
S104,Kazakh,edition-target:lang:kk-Cyrl-KZ,kk-Cyrl-KZ,Cyrillic with Latin transition context,Kazakhstan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language with script transition,Keep current literacy and planned orthography distinct
S105,Uzbek,edition-target:lang:uz-Latn-UZ,uz-Latn-UZ,Latin with Cyrillic context,Uzbekistan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language,Retain direct population and script-specific delivery evidence
S106,Azerbaijani,edition-target:lang:az-Latn-AZ,az-Latn-AZ,Latin,Azerbaijan,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,Large national language and Turkic close-pair research case,Do not award pan-Turkic reach without comprehension evidence
S107,Georgian,edition-target:lang:ka-Geor-GE,ka-Geor-GE,Georgian,Georgia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with distinct script,Add exact evidence and subject-gap profile
S108,Armenian,edition-target:lang:hy-Armn-AM,hy-Armn-AM,Armenian,Armenia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language with distinct script,Add exact evidence and diaspora strata separately
S109,Mongolian — Cyrillic Mongolia,edition-target:lang:mn-Cyrl-MN,mn-Cyrl-MN,Cyrillic,Mongolia,LARGE_LANGUAGE,DIRECT_OR_EXPLICIT_CONTEXT,National language and education standard,Keep Inner Mongolian traditional-script population separate
S110,Uyghur,edition-target:lang:ug-Arab-CN,ug-Arab-CN,Perso-Arabic,Xinjiang China,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large minoritized language absent from the current authority,Add exact candidate with cautious primary evidence
S111,Tibetan,edition-target:lang:bo-Tibt-CN,bo-Tibt-CN,Tibetan,Tibetan-speaking regions of China,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large minoritized language and script absent from the current authority,Add exact variety-aware candidate and evidence
S112,Zhuang,edition-target:lang:za-Latn-CN,za-Latn-CN,Latin standardized Zhuang,Guangxi and neighboring China,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large minoritized language hidden by ethnicity or Mandarin totals,Add exact candidate and distinguish varieties from macro labels
S113,Nuosu Yi,edition-target:lang:ii-Yiii-CN,ii-Yiii-CN,Yi syllabary,Sichuan China,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Large standardized minority language with distinct script,Add exact candidate and direct/context evidence
S114,Inner Mongolian — traditional script,edition-target:lang:mn-Mong-CN,mn-Mong-CN,Traditional Mongolian vertical script,Inner Mongolia China,MINORITIZED_LARGE,DIRECT_OR_EXPLICIT_CONTEXT,Major script and curriculum stratum absent from the current authority,Add exact candidate without merging with Mongolia Cyrillic
S115,Wu Chinese,edition-target:lang:wuu-Hans-CN,wuu-Hans-CN,Simplified Han plus spoken/audio arm,Lower Yangtze China,SINITIC_VARIETY,DIRECT_OR_EXPLICIT_CONTEXT,Large Sinitic variety not functionally replaced by written-language population counts,Add exact evidence and separate written-standard overlap from spoken comprehension
