edition_target_id,edition_key,edition_role,edition_derivation_class,normalized_language_codes_json,language_code_status,language_names_json,normalized_script_codes_json,script_code_status,script_orthography_json,mode_json,mode_status,territory_community_json,production_intervention_scope,effective_order_l_target,target_kind,regional_stratum_id,disposition,registry_row_hash
edition-target:lang:acx-Arab-OM,lang:acx-Arab-OM,canonical_language_edition,CANONICAL_V2_EDITION,"[""acx-Arab-OM""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Omani Arabic — Oman""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Oman""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,5b52142b1d6234f597561508ebe07fed0bc9e5c8fc89a07511235a472130ecd0
edition-target:lang:aeb-Arab-TN,lang:aeb-Arab-TN,canonical_language_edition,CANONICAL_V2_EDITION,"[""aeb-Arab-TN""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Tunisian Arabic""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic"",""graded-vowel support in paired Modern Standard Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""TN""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,97a70de550558c712e3ea073891f47740d4429fd77ed9c478ff4a4880b70dc9e
edition-target:lang:aeb-Latn-TN,lang:aeb-Latn-TN,canonical_language_edition,CANONICAL_V2_EDITION,"[""aeb-Latn-TN""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Tunisian Arabic""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin romanization"",""optional learner/search aid, never the only edition""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""TN""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,7591ef4ed74fc10439ada1accb2832f016291578e322c6ab3fb4a11aac70b1d6
edition-target:lang:afb-Arab-AE,lang:afb-Arab-AE,canonical_language_edition,CANONICAL_V2_EDITION,"[""afb-Arab-AE""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Gulf Arabic — United Arab Emirates""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""United Arab Emirates""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,640d44c985b5cb97c7e4220e3364c274c41e8b8510423466d52102e893617752
edition-target:lang:afb-Arab-BH,lang:afb-Arab-BH,canonical_language_edition,CANONICAL_V2_EDITION,"[""afb-Arab-BH""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Gulf Arabic — Bahrain""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Bahrain""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,8a4695fe6bd5e7e94f58058c5652590e0dc428356656bb63e9411fe63d0ac461
edition-target:lang:afb-Arab-KW,lang:afb-Arab-KW,canonical_language_edition,CANONICAL_V2_EDITION,"[""afb-Arab-KW""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Gulf Arabic — Kuwait""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Kuwait""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,a2373026cdfe515f0d9314e4a5bf656883879a23f7966f68f82382edb002dfba
edition-target:lang:afb-Arab-QA,lang:afb-Arab-QA,canonical_language_edition,CANONICAL_V2_EDITION,"[""afb-Arab-QA""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Gulf Arabic — Qatar""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Qatar""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,42246b40c188c95e5e9ed20dc1bd44339a01d026c6da0ef0f02d78eaf1f8a5f0
edition-target:lang:agr-PE,lang:agr-PE,canonical_language_edition,CANONICAL_V2_EDITION,"[""agr-PE""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Awajún""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Official Latin Awajún alphabet""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Peru"",""Awajún communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,039228bcd6d2be95f3eb18e25cb92669a23d5c2dd20afa861fbf021379dff9e3
edition-target:lang:agu-GT,lang:agu-GT,canonical_language_edition,CANONICAL_V2_EDITION,"[""agu-GT""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Awakateko""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""ALMG-standard Latin orthography for Awakateko""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Guatemala"",""ALMG language communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,f723bff57f2d7b17e91ea6a29e38baaf626cd7a81ee38fc9f3483194bfc35bb3
edition-target:lang:aji-Latn-NC,lang:aji-Latn-NC,canonical_language_edition,CANONICAL_V2_EDITION,"[""aji-Latn-NC""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Ajië""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Ajië Latin orthography with diacritics""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""New Caledonia"",""Ajië-using communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,578c97892fb867914e880d83a179bc8c1312586804b9586d3b4bba5cc9ad1d56
edition-target:lang:ajp-Arab-JO,lang:ajp-Arab-JO,canonical_language_edition,CANONICAL_V2_EDITION,"[""ajp-Arab-JO""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""South Levantine Arabic — Jordan""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Jordan""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,ec799e66caf20beff8e931ffea9e0313674d61a721c0f456e877a2acf874aee6
edition-target:lang:ajp-Arab-PS,lang:ajp-Arab-PS,canonical_language_edition,CANONICAL_V2_EDITION,"[""ajp-Arab-PS""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""South Levantine/Palestinian Arabic""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Palestine-refugee communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,7e3be73c0cdd70c2643e604ce3a3f53b37e084e70e876f092a9275fc85e23715
edition-target:lang:akl-Latn-PH,lang:akl-Latn-PH,canonical_language_edition,CANONICAL_V2_EDITION,"[""akl-Latn-PH""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Aklanon""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Aklan, Philippines"",""Aklanon communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,cd11460e1fb0a0699a9e3b437dbc6e7c1d7e52859deacd1924c3474328c96a9e
edition-target:lang:alc-CL,lang:alc-CL,canonical_language_edition,CANONICAL_V2_EDITION,"[""alc-CL""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Kawésqar""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""community-approved Kawésqar orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Chile"",""Kawésqar communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,fe0b142b34657cb2d79b52c74d84610aaaaffa0c8e38d20d1ff7beb8e429ecd4
edition-target:lang:ale-US,lang:ale-US,canonical_language_edition,CANONICAL_V2_EDITION,"[""ale-US""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Unangam Tunuu""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Eastern or Western Unangam variety must be resolved""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""United States"",""Unangam Tunuu communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,02dd56702144b647d507c4e2e7c1c7f5d6646f81ca00affc60e7b02642eb0053
edition-target:lang:alq-CA,lang:alq-CA,canonical_language_edition,CANONICAL_V2_EDITION,"[""alq-CA""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Anicinabemowin / Algonquin""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Community Latin orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Canada"",""Anicinabemowin / Algonquin communities, including urban/reclamation learners""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,07fd5ca7144bc9d8771fd8453598e8095ba86247e6bdd73de3196e09573304b0
edition-target:lang:am-Ethi-ET,lang:am-Ethi-ET,canonical_language_edition,CANONICAL_V2_EDITION,"[""am-Ethi-ET""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Amharic"",""Standard Amharic""]","[""Ethi""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Ethiopic"",""Ethiopic"",""normalized and font-embedded""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Ethiopia""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,8e63a90cc75496cdd910b986b1b5cd33fa63b577ceac3afecfe144131d12ae6b
edition-target:lang:ane-Latn-NC,lang:ane-Latn-NC,canonical_language_edition,CANONICAL_V2_EDITION,"[""ane-Latn-NC""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Xârâcùù""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Xârâcùù Latin orthography with diacritics""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""New Caledonia"",""Xârâcùù-using communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,a775feb96815e9ad27e835b33b2ed96d7bea72433095a2187858912c73e195dd
edition-target:lang:anu-Latn-ET,lang:anu-Latn-ET,canonical_language_edition,CANONICAL_V2_EDITION,"[""anu-Latn-ET""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Anuak""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Ethiopia educational orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Ethiopia""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,fc30b5e00f8ac641d415dfda27c875e925b086a95318e2641058e2effc08dcd9
edition-target:lang:any-Latn-CI,lang:any-Latn-CI,canonical_language_edition,CANONICAL_V2_EDITION,"[""any-Latn-CI""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Anyin""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""Anyin standard""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Côte d'Ivoire""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,76c33bdd58c6a67add76093b5dc0a79f6bc5063a357a8a716a8009273854ee88
edition-target:lang:aoa-Latn-ST,lang:aoa-Latn-ST,canonical_language_edition,CANONICAL_V2_EDITION,"[""aoa-Latn-ST""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Angolar""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""community orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""São Tomé and Príncipe, São Tomé""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,224bcc867aee8d8e6b8da4855c5bf740fde3a78673fa98fd88ea1fcb031db308
edition-target:lang:aoc-VE,lang:aoc-VE,canonical_language_edition,CANONICAL_V2_EDITION,"[""aoc-VE""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Pemón — Taurepán""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""community-approved Pemón — Taurepán orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Venezuela"",""Pemón — Taurepán communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,725bf48dd6cb0f29d8edd62eef16ecbd5dd09f0fb89f707ce021282c4071c901
edition-target:lang:apc-Arab-LB,lang:apc-Arab-LB,canonical_language_edition,CANONICAL_V2_EDITION,"[""apc-Arab-LB""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""North Levantine Arabic — Lebanon""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Lebanon""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,d36cc3bfa3b0de135c6c147be218cdfbf6965354c39e58d2413e4002edd2d2a4
edition-target:lang:apc-Arab-SY,lang:apc-Arab-SY,canonical_language_edition,CANONICAL_V2_EDITION,"[""apc-Arab-SY""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""North Levantine Arabic""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Syrian refugees worldwide""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,5c32cb882e13ad97023e1a8d1ba02cf5a2619f71c01ba7af0a2e1a54eeebe250
edition-target:lang:apd-Arab-SD,lang:apd-Arab-SD,canonical_language_edition,CANONICAL_V2_EDITION,"[""apd-Arab-SD""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Sudanese Arabic""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic"",""graded-vowel support in paired Modern Standard Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""SD""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,acfd36d45b96443e6308b1bbf590949671463b7963826da7e7c352cb11d319b2
edition-target:lang:apd-Latn-SD,lang:apd-Latn-SD,canonical_language_edition,CANONICAL_V2_EDITION,"[""apd-Latn-SD""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Sudanese Arabic""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin romanization"",""optional learner/search aid, never the only edition""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""SD""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,3896f32c09112d2b0157f296991b62f9f20ec51b09a60c34f8c6a218007070ec
edition-target:lang:aqt-PY,lang:aqt-PY,canonical_language_edition,CANONICAL_V2_EDITION,"[""aqt-PY""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Angaité""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""community-approved Angaité orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Paraguay"",""Angaité people""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,4ec2fae85c7c93f603133f8a75a7afc12c59695d090db75ffdd317a53ee0dcf0
edition-target:lang:arb-Arab-001,lang:arb-Arab-001,canonical_language_edition,CANONICAL_V2_EDITION,"[""arb-Arab-001""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Modern Standard Arabic""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Arabic-speaking world""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,cab415e46ed6812464f1b2c65b85ab1517bce127fa52c918f65c386b58831bd5
edition-target:lang:arn-AR,lang:arn-AR,canonical_language_edition,CANONICAL_V2_EDITION,"[""arn-AR""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Argentina Mapuche""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""community-approved Argentina Mapuche orthography""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Argentina"",""people self-identifying as Argentina Mapuche""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,c4576693f8d5ac296fe511996d5df376c220783c4e88cec2c968b0ada904adc9
edition-target:lang:arn-CL:variety:chezungun-williche-mapudungun,lang:arn-CL:variety:chezungun-williche-mapudungun,canonical_language_edition,CANONICAL_V2_EDITION,"[""arn-CL""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Chezungun / Williche Mapudungun""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""support Wirilzugun, Raguileo, Unificado, and Azümchefe reversibly"",""local variety layer required""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Chile"",""Chezungun / Williche Mapudungun communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,ff135dbb5c756d615a45373f65b4207f18a3641cc964ace5d5f3290321906a88
edition-target:lang:arn-CL:variety:mapuzugun-exact-regional-variety-required,lang:arn-CL:variety:mapuzugun-exact-regional-variety-required,canonical_language_edition,CANONICAL_V2_EDITION,"[""arn-CL""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Mapuzugun — exact regional variety required""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin"",""support Wirilzugun, Raguileo, Unificado, and Azümchefe reversibly"",""local variety layer required""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""Chile"",""Mapuzugun — exact regional variety required communities""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,0714849f533cc58869450273075c79cc5f1ff0547079452364f37c85a193fa91
edition-target:lang:arq-Arab-DZ,lang:arq-Arab-DZ,canonical_language_edition,CANONICAL_V2_EDITION,"[""arq-Arab-DZ""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Algerian Darja""]","[""Arab""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Arabic"",""graded-vowel support in paired Modern Standard Arabic""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""DZ""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,d01b2bf73a24b6e5268c4448122e642eafbbe68d3406051ac16cedaf82b6e384
edition-target:lang:arq-Latn-DZ,lang:arq-Latn-DZ,canonical_language_edition,CANONICAL_V2_EDITION,"[""arq-Latn-DZ""]",SUCCESSOR_V3_EXPLICIT_TAG,"[""Algerian Darja""]","[""Latn""]",SUCCESSOR_V3_DERIVED_FROM_EXPLICIT_TAG_OR_ORTHOGRAPHY,"[""Latin romanization"",""optional learner/search aid, never the only edition""]","[""written_or_multimodal""]",SUCCESSOR_V3_EXPLICIT_MODE,"[""DZ""]",canonical_language_edition,true,canonical_language_edition,,CANONICAL_V2_EDITION,a5ce13c75d63b31887f5c8477524faee985b8f302d0ddeabb61bea215f5d99da
