flores_code,language_code,script_code,is_reference_source,aligned_sentences,unicode_normalization,reference_tokenizer,working_tokenizer,source_reference_tokens,source_working_tokens,target_reference_tokens,target_working_tokens,target_expansion_reference_E,target_tokenizer_fragmentation_P,target_codepoint_length_expansion_L,working_token_fragmentation_relative_F,combined_target_working_per_source_reference_R,E_block_p05,E_block_p95,P_block_p05,P_block_p95,R_block_p05,R_block_p95,target_utf8_bytes,source_unicode_codepoints,target_unicode_codepoints
arz_Arab,arz,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,80244,37772,2.952100655,0.470714321,0.862116,1.611843484,1.389596056,2.782662428,3.069779085,0.450099603,0.487436267,1.321623094,1.474115699,207511,131966,113770
asm_Beng,asm,Beng,false,1012,NFC,cl100k_base,o200k_base,27182,26873,170087,53633,6.257339416,0.315326862,0.966923298,2.040603641,1.973107203,6.017593511,6.512965941,0.307908622,0.324060238,1.895170402,2.063582547,341061,131966,127601
ast_Latn,ast,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,43184,38260,1.588698403,0.885976288,1.035554613,1.359222485,1.407549113,1.503207174,1.661785212,0.876180051,0.895052165,1.346185253,1.480042509,142408,131966,136658
awa_Deva,awa,Deva,false,1012,NFC,cl100k_base,o200k_base,27182,26873,129236,45835,4.75446987,0.35466124,0.972424715,1.734042906,1.686226179,4.392666903,5.197998316,0.344684097,0.364000462,1.56794979,1.835309789,331943,131966,128327
ayr_Latn,ayr,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,59162,52120,2.176513869,0.880970893,1.050422078,1.825404671,1.917445368,2.035702038,2.274611376,0.875376661,0.892126302,1.790458693,1.993625544,142892,131966,138620
azb_Arab,azb,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,90275,49934,3.321131631,0.553132096,0.887531637,2.069812979,1.837024502,3.073491937,3.605502797,0.533992812,0.583787946,1.698985746,2.007066598,216123,131966,117124
azj_Latn,azj,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,71731,46078,2.638915459,0.642372196,1.089576103,1.555803137,1.695165919,2.383582442,2.827066854,0.622704295,0.666772727,1.545040195,1.777929973,167603,131966,143787
bak_Cyrl,bak,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,115687,46908,4.25601501,0.405473389,1.009676735,1.709161726,1.725700831,3.791690143,4.722228791,0.383172382,0.42481102,1.611687905,1.835369128,246235,131966,133243
bam_Latn,bam,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,69553,54775,2.558788904,0.787528935,0.958587818,2.102175995,2.0151203,2.344029046,2.780767933,0.772565991,0.808924684,1.838998892,2.151238858,138691,131966,126501
ban_Latn,ban,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,48689,42254,1.791222132,0.867834624,1.10374642,1.408371124,1.554484585,1.661714073,1.954251231,0.845267798,0.88354666,1.419007632,1.699267439,147055,131966,145657
bel_Cyrl,bel,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,95089,53357,3.498234126,0.561126944,1.121569192,1.750184865,1.962953425,3.244583777,3.756921811,0.545975187,0.576901946,1.828849369,2.098594018,271930,131966,148009
bem_Latn,bem,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,60183,52000,2.214075491,0.864031371,1.218283497,1.570267254,1.913030682,2.08957751,2.319458911,0.849156949,0.877016142,1.804702996,2.02504227,162173,131966,160772
ben_Beng,ben,Beng,false,1012,NFC,cl100k_base,o200k_base,27182,26873,159888,46011,5.882127879,0.287770189,0.988065108,1.71314728,1.692701052,5.542980189,6.303104089,0.278459798,0.297826978,1.611287599,1.775625278,349740,131966,130391
bho_Deva,bho,Deva,false,1012,NFC,cl100k_base,o200k_base,27182,26873,127653,47598,4.696232801,0.372870203,0.976403013,1.793404213,1.751085277,4.451401929,5.028981301,0.355833684,0.385255562,1.649635031,1.870784208,330238,131966,128852
bjn_Arab,bjn,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,102638,68270,3.775954676,0.665153257,0.926367398,2.711222953,2.511588551,3.52323313,4.143318657,0.657906645,0.674807775,2.339687058,2.792551346,224537,131966,122249
bjn_Latn,bjn,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,46479,38913,1.709918328,0.837216808,1.047254596,1.366976445,1.431572364,1.561984979,1.84487821,0.814683297,0.867693008,1.341054275,1.52357821,139442,131966,138202
bod_Tibt,bod,Tibt,false,1012,NFC,cl100k_base,o200k_base,27182,26873,304041,217631,11.185380031,0.715794909,1.123274177,7.127768314,8.006438084,9.98726357,12.355678743,0.711020087,0.722148987,7.228143501,8.819758517,440125,131966,148234
bos_Latn,bos,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50903,40292,1.872673092,0.791544703,1.001659518,1.47984863,1.482304466,1.769832464,1.973896337,0.766408259,0.80743182,1.401393744,1.545663658,136880,131966,132185
bug_Latn,bug,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,53384,46732,1.963946729,0.875393376,1.056234182,1.627693923,1.719225958,1.804451496,2.113925004,0.853962098,0.892694911,1.588085412,1.854018562,144629,131966,139387
bul_Cyrl,bul,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,71509,46038,2.630748289,0.643807073,1.044405377,1.621682915,1.693694357,2.4582738,2.777163752,0.632550922,0.65516644,1.60642406,1.777300838,251591,131966,137826
cat_Latn,cat,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,46482,39849,1.710028695,0.8572996,1.104799721,1.326943597,1.466006916,1.634008461,1.771518267,0.843600696,0.869719253,1.414057354,1.512758351,149840,131966,145796
ceb_Latn,ceb,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,52471,45021,1.930358325,0.858016809,1.202468818,1.377399452,1.656279891,1.801881375,2.026719474,0.844161859,0.876548464,1.554009248,1.737058561,159750,131966,158685
ces_Latn,ces,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,57116,42911,2.10124347,0.751295609,0.964316566,1.637071318,1.578654992,1.962287897,2.236448303,0.734150606,0.770825601,1.504537536,1.64439789,143426,131966,127257
cjk_Latn,cjk,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,53310,46525,1.96122434,0.872725567,1.055438522,1.62170566,1.711610625,1.858300673,2.062084972,0.86381902,0.885110899,1.611286919,1.806801719,140808,131966,139282
ckb_Arab,ckb,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,130360,74443,4.795820764,0.571057073,0.974387342,2.810676256,2.738687367,4.59900199,5.065653691,0.563944405,0.576731803,2.628507274,2.889705865,237379,131966,128586
crh_Latn,crh,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,57362,46301,2.110293577,0.807171995,1.018868496,1.671825052,1.703369877,1.980370215,2.29472637,0.789856475,0.819838236,1.601205473,1.814587879,148794,131966,134456
cym_Latn,cym,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,58030,46739,2.134868663,0.805428227,1.070525741,1.606204704,1.719483482,1.996417507,2.294866537,0.784188068,0.819972925,1.634443286,1.793264672,142824,131966,141273
dan_Latn,dan,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,44244,37486,1.627694798,0.847256125,1.026468939,1.343513023,1.379074387,1.532229406,1.717693401,0.830883391,0.868713933,1.314245242,1.442092698,139375,131966,135459
deu_Latn,deu,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,43103,35224,1.58571849,0.817205299,1.165519907,1.111827902,1.295857553,1.509952965,1.65228281,0.801819832,0.833456439,1.259418436,1.336534849,157369,131966,153809
dik_Latn,dik,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,60856,49931,2.238834523,0.820477849,0.847998727,2.16617558,1.836914134,1.767584239,3.200755386,0.795358082,0.856411248,1.481895983,2.522740635,127492,131966,111907
dyu_Latn,dyu,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,56060,49939,2.062394231,0.890813414,1.006744161,1.82490102,1.837208447,1.96341605,2.148951496,0.878574252,0.905928211,1.752051886,1.927652753,142582,131966,132856
dzo_Tibt,dzo,Tibt,false,1012,NFC,cl100k_base,o200k_base,27182,26873,330047,241756,12.142116106,0.732489615,1.238258339,7.182648137,8.893973953,10.758143912,13.434657473,0.727028485,0.738865131,7.906477986,9.805439892,479181,131966,163408
ell_Grek,ell,Grek,false,1012,NFC,cl100k_base,o200k_base,27182,26873,139449,57519,5.130196454,0.412473377,1.195618568,1.769853291,2.116069458,4.859924676,5.437406758,0.390453058,0.43219135,2.027845589,2.222764803,288474,131966,157781
eng_Latn,eng,Latn,true,1012,NFC,cl100k_base,o200k_base,27182,26873,27182,26873,1,0.988632183,1,0.988632183,0.988632183,1,1,0.978163602,0.997243375,0.978163602,0.997243375,133107,131966,131966
epo_Latn,epo,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50712,41007,1.865646384,0.808625177,0.994892624,1.516353224,1.508608638,1.770075395,1.956842716,0.793957731,0.828784549,1.435591782,1.563532534,134753,131966,131292
est_Latn,est,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50885,40184,1.87201089,0.78970227,0.981002683,1.506959435,1.478331249,1.777301681,1.986324426,0.770500347,0.807605417,1.404518458,1.558193784,134490,131966,129459
eus_Latn,eus,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,51142,43098,1.881465676,0.842712448,1.05971235,1.496193325,1.585534545,1.80590702,1.984349125,0.833101132,0.854858108,1.516687568,1.673859207,141304,131966,139846
ewe_Latn,ewe,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,74272,62857,2.732396439,0.846308165,0.965089493,2.396098427,2.312449415,2.34343765,3.218424461,0.822058556,0.910682605,1.941711674,2.698163505,141033,131966,127359
fao_Latn,fao,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,56479,44469,2.077808844,0.787354592,1.017671218,1.607564708,1.635972335,1.979012215,2.177797796,0.775658806,0.802792671,1.555018493,1.70775699,145687,131966,134298
fij_Latn,fij,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,58777,49776,2.162350085,0.846861868,1.175886213,1.557303599,1.831211831,1.989295617,2.318023506,0.83809938,0.859708917,1.668893715,1.964059452,156335,131966,155177
fin_Latn,fin,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,54197,41958,1.993856228,0.774175692,1.061947774,1.45355079,1.543595026,1.886953572,2.088724176,0.75450685,0.793626883,1.474443516,1.613855304,146841,131966,140141
fon_Latn,fon,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,97632,75876,3.591788684,0.777163225,1.000879014,2.788954547,2.791406078,3.24645719,4.242173734,0.76806363,0.789161859,2.495350773,3.262859694,164785,131966,132082
fra_Latn,fra,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,43710,36808,1.608049444,0.84209563,1.194913841,1.133246066,1.35413141,1.541729041,1.663699174,0.820741376,0.856436624,1.284943675,1.410530703,165037,131966,157688
fur_Latn,fur,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50268,46556,1.849312045,0.926155805,1.095266963,1.563774991,1.712751085,1.777288677,1.933148966,0.918120322,0.932019975,1.645698663,1.775405074,150507,131966,144538
fuv_Latn,fuv,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50364,43017,1.852843794,0.854121992,0.925708137,1.709561112,1.582554632,1.712102689,1.985761498,0.8409873,0.866876244,1.465738697,1.692979396,126154,131966,122162
gaz_Latn,gaz,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,62907,50501,2.314288868,0.802788243,1.18529015,1.567450715,1.857883894,2.151601054,2.43208087,0.790193613,0.817187381,1.729031346,1.923404101,159834,131966,156418
gla_Latn,gla,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,65564,53453,2.412037378,0.815279727,1.232408348,1.595644153,1.966485174,2.252715198,2.587020538,0.801292314,0.829890218,1.881528819,2.07633829,170174,131966,162636
gle_Latn,gle,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,63171,49672,2.324001177,0.786310174,1.155464286,1.581516445,1.82738577,2.185902957,2.518811628,0.769488575,0.809612193,1.719800797,1.944976842,163253,131966,152482
glg_Latn,glg,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,42448,35880,1.561621661,0.845269506,1.107429186,1.19194183,1.319991171,1.504563591,1.638921439,0.819164682,0.861614087,1.272230919,1.387160514,150748,131966,146143
grn_Latn,grn,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,58917,47785,2.167500552,0.811056232,1.007623176,1.744664942,1.75796483,1.972731245,2.345079578,0.798962717,0.828394925,1.58988757,1.876892818,144002,131966,132972
guj_Gujr,guj,Gujr,false,1012,NFC,cl100k_base,o200k_base,27182,26873,208278,48135,7.662350085,0.231109383,0.958034645,1.848410187,1.770840998,7.058415666,8.188242557,0.221395859,0.239093859,1.663097651,1.867049837,332079,131966,126428
hat_Latn,hat,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,47250,37945,1.738282687,0.803068783,0.919070064,1.518883726,1.395960562,1.661185336,1.863306722,0.781769412,0.823600589,1.325979548,1.472160552,125687,131966,121286
hau_Latn,hau,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,54202,41660,1.994040174,0.768606324,1.061402179,1.443969043,1.532631889,1.906831079,2.123539826,0.748015568,0.782123814,1.45970568,1.628997227,142720,131966,140069
heb_Hebr,heb,Hebr,false,1012,NFC,cl100k_base,o200k_base,27182,26873,99031,39861,3.643256567,0.402510325,0.773335556,1.896264013,1.466448385,3.440637518,3.86668368,0.386654125,0.42259104,1.388473426,1.538588164,184092,131966,102054
hin_Deva,hin,Deva,false,1012,NFC,cl100k_base,o200k_base,27182,26873,129589,42263,4.767456405,0.326131076,0.994203052,1.563881426,1.554815687,4.500446001,5.054657353,0.313028338,0.340387013,1.479623568,1.613222219,338471,131966,131201
hne_Deva,hne,Deva,false,1012,NFC,cl100k_base,o200k_base,27182,26873,127021,46466,4.672982121,0.365813527,0.962604004,1.77584974,1.709440071,4.391521069,4.911931768,0.348900241,0.382413653,1.611489088,1.784695049,327307,131966,127031
hrv_Latn,hrv,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50074,39758,1.842174969,0.793984902,0.976872831,1.497287125,1.462659113,1.708870818,1.914500782,0.771695192,0.812629457,1.35856302,1.522235755,133638,131966,128914
hun_Latn,hun,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,58412,48209,2.148922081,0.825326988,1.050535744,1.68824659,1.773563388,2.036228225,2.310705101,0.808113617,0.837768176,1.685520032,1.863422207,153611,131966,138635
hye_Armn,hye,Armn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,268572,48032,9.88050916,0.178842173,1.106012155,1.597678396,1.767051725,9.223188403,10.617764214,0.168443428,0.19130128,1.674779555,1.866300103,270666,131966,145956
ibo_Latn,ibo,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,66966,44689,2.463615628,0.667338649,1.018815452,1.613703367,1.644065926,2.291620495,2.703963443,0.641379318,0.691308321,1.517757869,1.74691097,161920,131966,134449
ilo_Latn,ilo,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,55701,49533,2.049186962,0.889265902,1.210008639,1.505999241,1.822272092,1.956508143,2.151799622,0.881257432,0.89936616,1.725422984,1.903291943,161065,131966,159680
ind_Latn,ind,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,42162,33570,1.551099993,0.796214601,1.079111286,1.144468117,1.235008461,1.500899648,1.614200117,0.779800882,0.81893042,1.190494419,1.28841922,143546,131966,142406
isl_Latn,isl,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,58147,43227,2.139172982,0.743408946,0.983473016,1.617004541,1.590280333,2.025346219,2.232442823,0.730519299,0.761591293,1.503904258,1.674845315,144462,131966,129785
ita_Latn,ita,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,44594,39479,1.640570966,0.885298471,1.183168392,1.227547133,1.452394967,1.578102,1.721302548,0.869323406,0.900649074,1.400213205,1.501717827,158270,131966,156138
jav_Latn,jav,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,46981,36826,1.728386432,0.78384879,1.037600594,1.305698571,1.354793613,1.639008806,1.84152511,0.762293885,0.808549922,1.294379697,1.422496977,138198,131966,136928
jpn_Jpan,jpn,Jpan,false,1012,NFC,cl100k_base,o200k_base,27182,26873,61583,44559,2.265580163,0.723560073,0.431497507,3.799056363,1.639283349,2.105835237,2.412244457,0.711098284,0.739775672,1.554410374,1.737577492,168120,131966,56943
kab_Latn,kab,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,66971,57481,2.463799573,0.858296875,0.989459406,2.137198818,2.114671474,2.33072558,2.620876501,0.837403318,0.877850543,2.023788862,2.24374383,140688,131966,130575
kac_Latn,kac,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,64704,57478,2.380398793,0.888322206,1.287808981,1.641983507,2.114561107,2.226404035,2.516604762,0.879124216,0.898672969,1.957286258,2.248777207,170978,131966,169947
kam_Latn,kam,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,59051,48927,2.172430285,0.828554978,0.972667202,1.850558878,1.799977927,2.005665808,2.413871656,0.813470889,0.84544261,1.693652869,1.968997197,134687,131966,128359
kan_Knda,kan,Knda,false,1012,NFC,cl100k_base,o200k_base,27182,26873,240792,52957,8.858509308,0.219928403,1.046686268,1.861338841,1.948237804,8.55284303,9.25427814,0.21311172,0.228596615,1.875739429,2.04253295,376452,131966,138127
kas_Arab,kas,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,124820,69943,4.592009418,0.560350905,0.955071761,2.694181463,2.573136635,4.137055181,5.132462582,0.511092627,0.594814479,2.195770778,3.014336674,228930,131966,126037
kas_Deva,kas,Deva,false,1012,NFC,cl100k_base,o200k_base,27182,26873,131113,59353,4.82352292,0.452685851,0.979002167,2.23037359,2.183540578,4.509482274,5.129542682,0.4346359,0.476390985,2.057861572,2.364743216,326597,131966,129195
kat_Geor,kat,Geor,false,1012,NFC,cl100k_base,o200k_base,27182,26873,265053,47980,9.751048488,0.1810204,1.090674871,1.618391275,1.765138695,9.281053897,10.336615424,0.171358855,0.193046502,1.659110499,1.855433649,390594,131966,143932
kaz_Cyrl,kaz,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,102824,42609,3.782797439,0.414387692,1.026302229,1.527371425,1.567544699,3.574553661,3.970265492,0.398001749,0.434244123,1.438888693,1.626082791,251025,131966,135437
kbp_Latn,kbp,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,127747,104749,4.699690972,0.819972289,1.08313505,3.557835529,3.853616364,4.170126974,5.122877371,0.808264893,0.827893936,3.452959784,4.199758951,181706,131966,142937
kea_Latn,kea,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,46924,41598,1.726289456,0.886497315,0.991353834,1.543698038,1.530350968,1.635153002,1.809213401,0.879825709,0.901806122,1.44324177,1.593082601,135004,131966,130825
khk_Cyrl,khk,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,101863,50793,3.747443161,0.498640331,1.038661473,1.79907154,1.868626297,3.488549425,3.960661923,0.48120073,0.513734761,1.75779036,1.995402934,253040,131966,137068
khm_Khmr,khm,Khmr,false,1012,NFC,cl100k_base,o200k_base,27182,26873,236895,89642,8.715142374,0.378403934,1.16101117,2.840493053,3.297844162,8.058652953,9.264866081,0.373439194,0.387826784,3.092128996,3.487155041,436173,131966,153214
kik_Latn,kik,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,88619,69832,3.260208962,0.788002573,1.16411803,2.206866471,2.56905305,2.674185935,3.892268877,0.768735917,0.835132955,2.227129891,3.013799287,171835,131966,153624
kin_Latn,kin,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,57937,46030,2.131447281,0.794483663,1.105458982,1.531852445,1.693400044,1.982158961,2.238014961,0.783032037,0.807036582,1.603951854,1.77434872,150182,131966,145883
kir_Cyrl,kir,Cyrl,false,1012,NFC,cl100k_base,o200k_base,27182,26873,95275,44975,3.505076889,0.472054579,1.027158511,1.610839591,1.654587595,3.182935091,3.697436163,0.452824027,0.492619602,1.578896235,1.725768143,251229,131966,135550
kmb_Latn,kmb,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,57992,49272,2.133470679,0.849634432,1.104564812,1.641071786,1.812670149,2.001990762,2.289860837,0.841405776,0.861732099,1.707336475,1.940703218,147569,131966,145765
kmr_Latn,kmr,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,59845,54197,2.201640792,0.905622859,0.987921131,2.018234215,1.993856228,2.076316478,2.327615181,0.893781414,0.916364152,1.872456976,2.106956396,145742,131966,130372
knc_Arab,knc,Arab,false,1012,NFC,cl100k_base,o200k_base,27182,26873,98501,74241,3.62375837,0.753708084,0.879173423,3.106617995,2.731255978,2.239789831,4.978681056,0.597892726,0.826810322,1.389457747,3.982282206,212407,131966,116021
knc_Latn,knc,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,64837,57107,2.385291737,0.880777951,1.053180365,1.994826754,2.100912368,2.069887283,2.893229682,0.810838622,0.920127842,1.799805858,2.66380529,147605,131966,138984
kon_Latn,kon,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,54141,47266,1.991796041,0.873016753,1.136110816,1.530547273,1.738871312,1.897692,2.065084155,0.861166833,0.88036674,1.665136253,1.811612675,151121,131966,149928
kor_Hang,kor,Hang,false,1012,NFC,cl100k_base,o200k_base,27182,26873,64338,39566,2.366934,0.614970935,0.499863601,2.911985612,1.455595615,2.258834169,2.528301818,0.595803729,0.631081249,1.386385525,1.551774674,158810,131966,65965
lao_Laoo,lao,Laoo,false,1012,NFC,cl100k_base,o200k_base,27182,26873,259443,221164,9.544661909,0.852456994,0.985776639,8.253810729,8.136413803,9.031298939,10.443254616,0.849123728,0.857035481,7.692528231,8.893024255,361749,131966,130089
lij_Latn,lij,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,53780,48625,1.978515194,0.904146523,1.106451662,1.616760763,1.788867633,1.906838256,2.077579584,0.88743314,0.923839564,1.70081068,1.867517737,155447,131966,146014
lim_Latn,lim,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,49239,43140,1.811456111,0.876134771,1.04350363,1.520914389,1.587079685,1.630493034,1.938481893,0.870565123,0.886877798,1.423290038,1.687541262,143287,131966,137707
lin_Latn,lin,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,50850,43452,1.870723273,0.854513274,1.077527545,1.483542464,1.598557869,1.776327131,1.972483698,0.843972346,0.870681126,1.541916198,1.672469224,143398,131966,142197
lit_Latn,lit,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,59503,45032,2.189058936,0.756802178,0.98759529,1.67749339,1.656684571,2.09141977,2.295922343,0.738304428,0.775910602,1.576349615,1.743218354,140215,131966,130329
lmo_Latn,lmo,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,55426,49557,2.039069973,0.894111067,1.073662913,1.698070229,1.823155029,1.908860685,2.250957249,0.87770208,0.915449402,1.738405871,1.981809221,154175,131966,141687
ltg_Latn,ltg,Latn,false,1012,NFC,cl100k_base,o200k_base,27182,26873,59714,50671,2.196821426,0.848561476,0.984276253,1.893917512,1.864138033,2.127201899,2.287807162,0.840063437,0.858337223,1.795792159,1.927774107,138942,131966,129891
