"source_id","publisher","title","reference_year","source_type","territory_or_scope","url","locator","construct_and_limits","accessed_date"
"CA_MB_LANGUAGE_SURVEY_2021","Manitoba Education","Manitoba School Survey on Indigenous Languages Teaching","2021","official school survey","participating Manitoba public-system schools","https://www.edu.gov.mb.ca/iid/docs/indigenous_languages_report.pdf","pp. 1–5, 8, 10, 12 and 19: offerings, modes, barriers and dialect-teacher example","Presence/exposure survey excluding First Nations, independent, virtual and other schools; it did not analyse each language’s unique needs and reports no learning/completion outcomes.","2026-09-01"
"CA_MB_OPEN_PORTAL","Manitoba Education","Public online-learning Indigenous language resources","current page accessed 2026-09-01","official functional resource portal","Manitoba","https://www.edu.gov.mb.ca/k12/mylearning/onlinelearning/index.html","Cree and Anishinaabemowin resource listings","Demonstrates some online supply; does not establish exact-variety compatibility, complete stage/subject sequences, accessibility or adaptation licences.","2026-09-01"
"CA_MB_POSTSECONDARY_2021_22","Manitoba Education","Manitoba Aboriginal Languages Strategy / ALTEP final report","2021/22","official postsecondary consultation report","Manitoba postsecondary institutions","https://www.edu.gov.mb.ca/iee/docs/mals_report_en.pdf","pp. 23–32: courses, enrolments, Oji-Cree absence and teacher-training gaps","Institutional course/enrolment evidence, not province-complete learner tracking or exact Census-variety outcome data.","2026-09-01"
"CA_NU_EDU_AR_2022_23","Government of Nunavut","Department of Education Annual Report 2022–23","2022/23","official administrative report","Nunavut","https://www.assembly.nu.ca/sites/default/files/2024-11/EDU%20Annual%20Report%202022-23%20EN.pdf","pp. 21–24: curriculum status, delivery models, resources and bilingual teachers","Territory-level Inuktut curriculum implementation; broad Inuktut and program designations are not exact-variety classroom dosage or outcomes.","2026-09-01"
"CA_NU_EDU_AR_2023_24","Government of Nunavut","Department of Education Annual Report 2023–24","2023/24","official administrative report","Nunavut","https://www.assembly.nu.ca/sites/default/files/2025-09/TD-463-6(2)-EN-Education%20Annual%20Report%202023-24.pdf","pp. 4 and 22: enrolment, attendance, graduates, teachers and Inuktut allowance","Territory-wide endpoints, not a causal language-program effect. Inuktut allowance is not an independent proficiency test.","2026-09-01"
"CA_NU_LANGUAGE_2021","Statistics Canada","Languages in Nunavut, 2021 Census","2021","official census analysis","Nunavut","https://www150.statcan.gc.ca/n1/pub/89-657-x/89-657-x2024007-eng.htm","Inuktitut and Inuinnaqtun mother-tongue transmission and home-use sections","Territorial use/transmission evidence; not disaggregated across all regional Inuktitut varieties/scripts.","2026-09-01"
"CA_NWT_INUVIALUKTUN_RESOURCES","Government of the Northwest Territories","Inuvialuktun resources","current page accessed 2026-09-01","official language taxonomy and resource portal","Inuvialuit Settlement Region, Northwest Territories","https://www.ece.gov.nt.ca/en/services/indigenous-language-resources/inuvialuktun-resources","Sallirmiutun, Uummarmiutun and Kangiryuarmiutun taxonomy/resources","Direct functional resources and Latin orthography infrastructure. Administrative taxonomy differs from Statistics Canada/ISO groupings and supplies no exact subvariety person counts.","2026-09-01"
"CA_NWT_OUR_LANGUAGES_2020","Government of the Northwest Territories","Our Languages Curriculum","2020","official curriculum diagnosis and framework","Northwest Territories","https://www.ece.gov.nt.ca/sites/ece/files/resources/our_languages_curriculum_2020_low_res.pdf","p. 10: historic Inuvialuktun/Gwich’in second-language endpoint diagnosis","Historic system diagnosis: after 8–9 years, pupils often could not sustain rudimentary conversation. It is not a current exact-dialect causal effect estimate.","2026-09-01"
"CA_OAG_NUNAVUT_EDU_2019","Office of the Auditor General of Canada","Support for High School Students and Adult Learners—Nunavut","2019","official audit","Nunavut","https://publications.gc.ca/collections/collection_2019/bvg-oag/FA3-155-2019-eng.pdf","pp. 10, 12–13 and paragraphs 28–29: progression, graduation, English exam and remote adult access","Territory-level historical progression/audit evidence, not exact-language causal analysis.","2026-09-01"
"CA_STATCAN_ALGONQUIAN_2021","Statistics Canada","Algonquian languages, 2021 Census","2021","official census analytical table","Canada, private households","https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm","Table 2 and Charts 1–2: knowledge, mother tongue and age by named language","Published rounded long-form Census counts. Knowledge means able to conduct a conversation; mother tongue means first learned in childhood and still understood. Random rounding and 63 incompletely enumerated reserves/settlements apply.","2026-09-01"
"CA_STATCAN_INUKTUT_2021","Statistics Canada","Inuktut languages, 2021 Census","2021","official census analytical table","Canada, private households","https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025004-eng.htm","Table 2 and Charts 1–2: named language knowledge, mother tongue, home use and geography","Published rounded counts and percentages; named Inuktitut, Inuinnaqtun and Inuvialuktun categories are separate. Regional varieties/scripts within Inuktitut are not individually counted.","2026-09-01"
"CA_STATCAN_SILENT_2021","Statistics Canada","Silent speakers of Indigenous languages, 2021 Census","2021","official census analytical table","Canada, private households","https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022026001-eng.htm","Annex Table A.1 by exact language","Silent speakers report the language as mother tongue still understood but cannot conduct a conversation. Counts may differ slightly through independent random rounding.","2026-09-01"
"COE_ROMANI_HETEROGENEITY_2017","Council of Europe","Thematic report on languages spoken by Roma, Boyash, Sinti, Kaale and Yenish","2017","intergovernmental thematic report","Europe","https://rm.coe.int/thematic-report-on-languages-spoken-by-roma-boyash-sinti-kaale-and-yen/1680a7b338","pp. 7–10: heterogeneity, oral transmission and homogeneous-standard education obstacles","Direct cross-row mechanism evidence; no exact-variety person counts and no macro Romani allocation.","2026-09-01"
"COMMON_VOICE_26_2026","Mozilla Common Voice","Common Voice Corpus 26 full-release language inventory","2026-06-12 release","open speech-corpus inventory JSON","global language locales","https://raw.githubusercontent.com/common-voice/cv-dataset/main/datasets/scripted-speech/cv-corpus-26.0-2026-06-12.json","locale entry counts/hours and absence audit","Snapshot-specific inventory. Missing locale is not proof of all speech-resource absence; generic locale without variant metadata cannot be allocated.","2026-09-01"
"CO_ENTIC_2024","DANE Colombia","ENTIC Hogares 2024","2024","official household ICT survey","Colombia and departments","https://www.dane.gov.co/files/operaciones/ENTIC/bol-ENTICHogares-2024.pdf","national/urban/rural and La Guajira/Vichada connected-household shares","Territorial household context, not Wayúu or Spanish-standard cross-tab.","2026-09-01"
"CO_MCUL_INGA_PLAN_2022","Colombia Ministry of Culture","Plan Decenal de Lenguas Nativas de Colombia 2022–2032","2018 census cited","official plan citing census counts","Colombia","https://mng.mincultura.gov.co/areas/poblaciones/APP-de-lenguas-nativas/Documents/PLAN%20DECENAL%20DE%20LENGUAS%20NATIVAS%202022.pdf","p. 14: Inga people and speaker counts","Directly reports separate Inga ethnic and speaker constructs; it does not establish age distribution or learning outcomes.","2026-09-01"
"CO_MEN_INDIG_EDU_2024","Colombia Ministry of Education","2024 management report","2024","official administrative report","Colombia Indigenous students","https://www.mineducacion.gov.co/1780/articles-385377_recurso_29.pdf","p. 35 Indigenous learners receiving own pedagogical proposals","Program reach, not proof of first-language medium, exact language or outcome.","2026-09-01"
"CO_WAYUU_LANGUAGE_2018","DANE Colombia","Registro estadístico del pueblo Wayúu","2018","official census-based Indigenous statistical report","Colombia Wayúu population","https://www.dane.gov.co/files/investigaciones/poblacion/informes-estadisticas-sociodemograficas/2021-09-24-Registro-Estadistico-Pueblo-Wayuu.pdf","p. 25 Wayuunaiki speaking/understanding constructs","Exact Indigenous-language subgroup evidence, not Colombian Spanish standard population or national outcome.","2026-09-01"
"CW_CENSUS_LANGUAGE_2023","Central Bureau of Statistics Curaçao","Languages spoken in Curaçao: Census 2023 results","2023","official census result","Curaçao","https://senso.cbs.cw/talen-gesproken-in-curacao-resultaten-census-2023","147,498 person responses and first/second/third home-language shares","Person-level ranked home languages, not speaker ability. Earlier household-question censuses are not directly comparable; percentages are not converted into persons.","2026-09-01"
"DE_BUNDESTAG_SATER_2009","German Bundestag","Bedrohte Sprachen: Dokumentation","2009","official parliamentary documentation","Saterland, Lower Saxony","https://www.bundestag.de/resource/blob/494390/a797ab9b3124735878175a94acc65e56/Bedrohte-Sprachen.pdf","Sater Frisian section: approximately 1,000 speakers","Old approximate speaker estimate; current total is unknown. It cannot form an interval with the different 2003 user/understander constructs.","2026-09-01"
"DE_COE_SATER_FRISIAN_2024","Council of Europe","Evaluation of Germany under the European Charter for Regional or Minority Languages","2024","intergovernmental monitoring report","Germany / Lower Saxony","https://rm.coe.int/germany-eval-iria-7-en/1680b09963","Sater Frisian education and media findings","Reports six schools offering Sater Frisian and gaps in trained preschool staff, hours, schools and levels. It does not supply a current speaker count.","2026-09-01"
"DE_SH_LOW_GERMAN_POLICY_2026","Land Schleswig-Holstein","Niederdeutsch in Schule und Unterricht","2026 update","official curriculum and school-program page","Schleswig-Holstein","https://www.schleswig-holstein.de/DE/fachinhalte/S/schule_und_unterricht/niederdeutsch","model schools, weekly hours, stages and online materials","Direct functional provision evidence for one state. It does not establish coverage across the wider northern-Germany speaker construct or open adaptation rights.","2026-09-01"
"DE_SH_LOW_GERMAN_SPEAKERS","Land Schleswig-Holstein","Podcast transcript on Low German","2016 survey discussed","official-government discussion of representative survey","eight northern German states","https://www.schleswig-holstein.de/DE/landesregierung/ministerien-behoerden/LVB/Podcast/_documents/Material/Downloads/podcast06_Transkript","survey discussion: extrapolated 2.5 million good/very-good speakers","Source-stated extrapolation from self-rated ability in a regional sample; local dialects are unresolved and Plautdietsch is not merged.","2026-09-01"
"DE_SH_NORTH_FRISIAN_SCHOOLS_2026","Land Schleswig-Holstein","Friesisch an Schulen","2026 update","official administrative page","Schleswig-Holstein","https://www.schleswig-holstein.de/DE/fachinhalte/S/schule_und_unterricht/friesisch","participating schools, pupils, teachers and named teaching varieties","Administrative participation snapshot. It names Frasch, Fering, Öömrang and Sölring materials but does not allocate the umbrella speaker estimate among varieties or establish complete/open ladders.","2026-09-01"
"DE_SH_NORTH_FRISIAN_SPEAKERS_2025","Land Schleswig-Holstein","New workbooks for North Frisian teaching","2025","official state-government release","North Frisia, Schleswig-Holstein","https://www.schleswig-holstein.de/DE/landesregierung/ministerien-behoerden/I/_startseite/Artikel2025/II/250507_mb_arbeitsbuch_fering","speaker estimate and textbook announcement","Reports an approximate source-stated 8,000–10,000 North Frisian speakers and five new mainly primary-school textbooks. The total is not disaggregated among nine varieties.","2026-09-01"
"DO_CENSUS_POP_2022","ONE Dominican Republic","Censo Nacional 2022, boletín censal 26","2022","official census result","Dominican Republic","https://www.one.gob.do/media/0hqd0f5b/bolet%C3%ADn-censal-26.pdf","territory population 10,760,028","Territory population ceiling, not Dominican Spanish speaker count.","2026-09-01"
"DO_ENHOGAR_2024","ONE Dominican Republic","ENHOGAR 2024 general report","2024","official household sample survey","Dominican Republic","https://www.one.gob.do/media/3njbmpu5/informe-general-enhogar-2024.pdf","sample n=10,583 households; internet urban/rural and computer shares","Sample shares, not national person counts or exact-language cross-tab.","2026-09-01"
"ECML_QUALIROM_2013","European Centre for Modern Languages / Council of Europe","QualiRom: Quality education in Romani for Europe","2013","intergovernmental exact-variety teaching-resource record","six Romani teaching varieties across Europe","https://www.ecml.at/en/Resources/ECMLresources/ID/147","exact variety packages, A1–B2 levels and adaptable units","Direct functional/open teaching resources. Aggregate 39 sets/~16,000 pages cannot be allocated by variety; presence does not establish learner reach or outcome.","2026-09-01"
"EC_EDU_ASSESS_ACCESS_2023","Ecuador Ministry of Education","National education indicators and assessment report","2023","official administrative/assessment report","Ecuador","https://educacion.gob.ec/wp-content/plugins/download-monitor/download.php?id=22212","pp. 16–17, 40 and 55: Grade 10 Language and Literature, pedagogical internet definitions/results","National, not EIB or exact-language cross-tab.","2026-09-01"
"EC_SEIBE_2022","Ecuador Ministry of Education","Intercultural bilingual and ethnoeducation service autonomy","2022","official administrative release","Ecuador EIB","https://educacion.gob.ec/la-secretaria-de-educacion-intercultural-bilingue-y-la-etnoeducacion-cuenta-con-autonomia/","EIB students, teachers and centres","Program totals, not exact language, instruction dosage or outcome.","2026-09-01"
"EE_CENSUS_MOTHER_TONGUE_2021","Statistics Estonia","RL21434: Population by mother tongue, sex, age group and place of residence, 31 December 2021","2021","official census table / PxWeb API","Estonia","https://andmed.stat.ee/en/stat/rahvaloendus__rel2021__rahvastiku-demograafilised-ja-etno-kultuurilised-naitajad__rahvus-emakeel/RL21434","Whole country; age groups total; males and females; mother tongue=Russian: 379,210","Exact table cell for reported mother tongue; not a count of all Russian users, school pupils or persons lacking Estonian.","2026-09-01"
"EE_EDUCATION_TRANSITION","Estonian Ministry of Education and Research","Transition to Estonian-language education","2024–2030 policy","official education policy and implementation page","Estonia","https://www.hm.ee/en/node/234","transition timetable, prior Russian-medium exposure and Estonian-support requirements","Direct evidence of a staged language-of-instruction transition and support need; no Russian-mother-tongue learning outcome is supplied on this page.","2026-09-01"
"ES_CENSUS_POP_2021","INE Spain","Censo de Población y Viviendas 2021","2021","official census release","Spain","https://www.ine.es/prensa/censo_2021_pr.pdf","resident population 47,400,798","Territory population ceiling, not a Peninsular Spanish speaker count and not allocable to co-official-language populations.","2026-09-01"
"ES_PISA_2022","OECD","PISA 2022 country note: Spain","2022","international representative learner assessment","Spain 15-year-old students","https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/spain_f1a3afc1-en.html","reading Level 2+ and Level 5+ shares","National outcome, not standard-variety speaker or co-official-language causal result.","2026-09-01"
"ES_PROCOMUN_OER","Spain Ministry of Education","Procomún open educational resources","current page accessed 2026-09-01","official OER portal description","Spain","https://educagob.educacionfpydeportes.gob.es/ensenanzas/idiomas/recursos-educativos.html","structured, downloadable, reusable OER repository description","Functional/open repository evidence, not an audited complete Spanish-standard stage/subject ladder or co-official-language equivalence.","2026-09-01"
"EUROSTAT_INTERNET_2025","Eurostat","Digital economy and society statistics - households and individuals","2025","official household survey synthesis","European Union and member states","https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/108644.pdf","household internet-access section and country chart","EU household internet access was 94.7%; country values used in rows are national context only. No cross-tab by minority language, disability or target row was supplied.","2026-09-01"
"EU_UKRAINE_EDUCATION_2024","European Commission","How countries are addressing the integration of children from Ukraine in EU education systems","2023/24","official policy synthesis","European Union / displaced children from Ukraine","https://education.ec.europa.eu/news/how-countries-are-addressing-the-integration-of-children-from-ukraine-in-eu-education-systems","enrolment estimate, integration-class and Ukrainian-program continuity findings","The 700,000 count is a learner cohort, not a Ukrainian-speaker count. Nationality, displacement and language must not be equated.","2026-09-01"
"FI_KALO_COE_2024","Council of Europe","Sixth evaluation report on Finland under the European Charter for Regional or Minority Languages","2024","intergovernmental monitoring report","Finland","https://rm.coe.int/finlandecrml6-en/1680aff869","p. 13: language nests/clubs, school instruction, materials and teacher-training gaps","Current delivery and scarcity evidence, not a learning-score endpoint or current speaker census.","2026-09-01"
"FI_KALO_STATE_REPORT_2018","Government of Finland","Fifth report on application of the European Charter for Regional or Minority Languages, Annex 2","2018 report citing 2009 study and 2015 registry","official state report","Finland","https://rm.coe.int/5th-sr-finland-annexe-2-report-of-the-government-on-the-application-of/1680924c34","pp. 13 and 37–38: Finnish Roma ethnicity, fluent Kalo estimate, registry undercount and decline","Ethnicity, fluent-speaker estimate and mother-tongue registry are distinct constructs/years and are not combined.","2026-09-01"
"FLORES_YIDDISH","Meta AI","FLORES-200 README and language inventory","current repository snapshot accessed 2026-09-01","open multilingual benchmark inventory","Eastern Yiddish ydd_Hebr benchmark","https://github.com/facebookresearch/flores/blob/main/flores200/README.md","ydd_Hebr 3,001-sentence benchmark inventory","Exact benchmark label, not Contemporary Hasidic Yiddish or educational coverage; sentences are not people.","2026-09-01"
"GOOGLE_ROMANI_2024","Google","Google Translate 2024 language expansion","2024","vendor functional-system description","generic Romani translation system","https://blog.google/intl/en-in/google-translate-new-languages-2024/","Romani output described as closest to Southern Vlax with Northern Vlax and Balkan elements","Proves a mixed generic system, not exact Finnish Kalo, Arlije, Gurbet, Lovara or Kalderaš support.","2026-09-01"
"GT_CENSUS_INTERNET_2018","Guatemala Instituto Nacional de Estadística","Censo 2018 detailed results","2018","official census tables","Guatemala age 7+","https://censo2018.ine.gob.gt/archivos/resultados_censo2018.pdf","internet-used/not-used/undeclared counts","Use, not access quality/device adequacy or language-specific cross-tab.","2026-09-01"
