structural_id,structural_lane,target_or_intervention,edition_target_id,language_tag,territory_or_community,evidence_status,commissioning_band,source_record_id,source_url,allocation_denominator_base_persons,context_value,context_unit,rank_use,nonadditivity_rule,row_sha256
SL-CSL-CN-2025-HEARING-PROXY,NAMED_SIGN_LANGUAGE,Chinese Sign Language (CSL),edition-target:lang:csl-CN,csl-CN,China,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-CSL-CN-2025-HEARING-PROXY,https://www.nda.gov.cn/sjj/zhuanti/sjbz/0520/20250520203734249576249_pc.html,,27800000,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Never treat the hearing-impaired count as CSL users; it may include oral-language users and people needing captions or other supports.,d6aee819fd04b1384bafb773ea877079c3fffbd7edd3b6b4a76d92db222f0f85
SL-ISLINDIA-IN-2011-HEARING-PROXY,NAMED_SIGN_LANGUAGE,Indian Sign Language (ISL-India),edition-target:lang:ins-IN,ins-IN,India,PROXY_NOT_A_SIGN_LANGUAGE_USER_COUNT,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-ISLINDIA-IN-2011-HEARING-PROXY,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2110150&lang=2&reg=48,,19,percent,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not multiply this disability rate into an ISL-user count; hearing disability and ISL use are not equivalent.,78cbf6bf8418dc09ac9b19fd490ee0fd6b83453b4cdf8c5bf8b3ceb128b75855
SL-AUSLAN-AU-2021-HOME,NAMED_SIGN_LANGUAGE,Auslan,edition-target:lang:asf-AU,asf-AU,Australia,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-AUSLAN-AU-2021-HOME,https://www.abs.gov.au/census/find-census-data/quickstats/2021/AUS,16242,16242,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not add to broader Auslan ability estimates; one-response home use omits users selecting another language or using Auslan only outside home.,45af4c4ee9d66bb63c457ac88b522d2e4c7d28df4b3e1d2144d4faa4a817a112
SL-NZSL-NZ-2023-CANUSE,NAMED_SIGN_LANGUAGE,New Zealand Sign Language (NZSL),edition-target:lang:nzs-NZ,nzs-NZ,New Zealand,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-NZSL-NZ-2023-CANUSE,https://tools.summaries.stats.govt.nz/ethnic-group/pacific-peoples-not-further-defined,24678,24678,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not sum with other language responses; a person may report up to six languages.,efbd968cb9840e1e714aca942d1e6a34db7008b852d393c44fc2cecc4ccbd836
SL-LSQ-CA-2021-KNOW,NAMED_SIGN_LANGUAGE,Quebec Sign Language (LSQ),,fcs-CA,Canada,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-LSQ-CA-2021-KNOW,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1%2C4,,6195,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not add to ASL or other language knowledge; multiple languages may be reported.,c02fdcb4d297d73257320e0aeb3df179bd9e2e31493ffafed6e95c959f0b1177
SL-IRSL-IE-2011-HOME,NAMED_SIGN_LANGUAGE,Irish Sign Language (IrSL),edition-target:lang:isg-IE,isg-IE,Ireland,DIRECT_NAMED_SIGN_LANGUAGE_PERSON_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-IRSL-IE-2011-HOME,https://www.cso.ie/en/media/csoie/census/documents/census2011profile8/Profile_8_Full_document.pdf,2590,2590,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Do not add the disability/hearing-impaired subgroups; they are nested within the 2,590 total.",64ef426fb9a2acfaa7433c1fa017f71836ea4a788f3d908a0fc9417a267962b2
SL-SPAIN-SIGN-2020-USE,NAMED_SIGN_LANGUAGE,"Spanish sign language(s), undifferentiated",,und-sign-ES,Spain,QUALIFIED_OR_UNDIFFERENTIATED_SIGN_MEASURE,NAMED_SIGN_LANGUAGE_MINIMUM_SERVICE,SL-SPAIN-SIGN-2020-USE,https://www.ine.es/jaxi/Tabla.htm?L=0&tpx=51816,,27300,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Do not assign the full count to one named language and do not add its age strata.,faacc63c04a2cba404923c859c23874232c4b69b36eeffcb4f80de773edd6af8
SL-HSL-US-HI-GAP,NAMED_SIGN_LANGUAGE,Hawaiʻi Sign Language,,hps-US-HI,"Hawaiʻi, United States",MEASUREMENT_GAP_NO_PERSON_DENOMINATOR,ENDANGERED_NAMED_SIGN_LANGUAGE_PRESTIGE_AND_DOCUMENTATION,SL-HSL-US-HI-GAP,https://manoa.hawaii.edu/news/article.php?aId=5600,,,persons,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Do not substitute ASL, Deaf-population, or hearing-loss counts for Hawaiʻi Sign Language users.",a22c3da771c042ff3cae417b3963527cd70aa47ee9dc6d0af8f0f42c8ed673c1
A11Y_SEMANTIC_RESPONSIVE_HTML,ACCESSIBILITY_AND_DELIVERY,Semantic responsive HTML canonical content layer,,,"Global; instantiate and test by language, locale, device, and assistive-technology stack",high_standard_low_population_specificity,UNIVERSAL_OPEN_PACKAGE_BASELINE,,,,,not_estimated_nonexclusive_access_overlay,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,Global overlay; overlaps every population-specific intervention and must not be added to disability or connectivity estimates.,608465fb17272f1236d4aa7fb084c6b92a8c439411d6aefbd822febe261b92be
A11Y_REFLOWABLE_EPUB33,ACCESSIBILITY_AND_DELIVERY,Downloadable born-accessible reflowable EPUB 3.3,,,Global; instantiate and test by language and reading-system ecosystem,high_standard_low_population_specificity,UNIVERSAL_OPEN_PACKAGE_BASELINE,WIPO_MARRAKESH_2013,https://www.wipo.int/wipolex/en/text/301016,,,not_estimated_print_disability_overlay,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Overlaps blindness, low vision, dyslexia, motor disability, cognitive conditions, offline use, HTML, audio, braille, and MathML; no additive count is valid.",c76a606643fda7d1ae2362c10452a0d8516ed1c17f58a5ca3d2ef747871b6af8
A11Y_SYNCHRONIZED_TEXT_AUDIO,ACCESSIBILITY_AND_DELIVERY,Navigable full text synchronized with narration,,,Global; instantiate by written/spoken language pair and learner community,medium_due_to_high_meta_analysis_heterogeneity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,YANG_DYSLEXIA_2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8870220/,,7.10,percent_primary_school_children_pooled_dyslexia_prevalence,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"The dyslexia percentage is a bounded school-stage proxy and overlaps print disability, low literacy, language learning, and visual disability; the intervention also serves people outside that measure.",0e70a2a7bede8b3146cec7ad3a5053232f109cbcf931535b3539cb047bf76b83
A11Y_PRERECORDED_CAPTIONS,ACCESSIBILITY_AND_DELIVERY,Localized closed captions for prerecorded instructional media,,,"Global; instantiate by media language, learner language, and subject",high_measure_medium_intervention_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,WHO_HEARING_2026,https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss,,430000000,persons_disabling_hearing_loss_rehabilitation_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Repeated hearing-loss proxy intentionally overlaps live captions, transcripts, sign-language users, and other accommodations; it must not be summed across rows.",d99b6ea3bcfdc6812fd76e02e3c1ff6f4a9c394f1909b62aca07924cc277a91d
A11Y_LIVE_CAPTIONS,ACCESSIBILITY_AND_DELIVERY,Localized live captions for synchronous instruction,,,"Global; instantiate by session language, learner language, and subject",high_measure_medium_intervention_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,WHO_HEARING_2026,https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss,,430000000,persons_disabling_hearing_loss_rehabilitation_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"The same hearing-loss proxy is repeated, not added; it overlaps prerecorded captions, transcripts, named sign-language users, and users outside clinical thresholds.",8e8ff2c753d51d4bdbacd3976d8d70ace26e7e7064c90bc20e61341c4bc79aef
A11Y_DOWNLOADABLE_TRANSCRIPT,ACCESSIBILITY_AND_DELIVERY,Downloadable full transcript for instructional audio or video,,,"Global; instantiate by media language, learner language, and subject",high_measure_medium_intervention_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,WHO_HEARING_2026,https://www.who.int/news-room/fact-sheets/detail/deafness-and-hearing-loss,,430000000,persons_disabling_hearing_loss_rehabilitation_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Repeated nonadditive hearing-loss proxy; transcripts also overlap low-bandwidth, search, translation, second-language, and cognitive-access cohorts.",8d1bfa8c1487bd0bd24c47addd0982c80294ccfb19cf4a8622b9a37d2390f616
A11Y_NAMED_SIGN_LANGUAGE_VIDEO,ACCESSIBILITY_AND_DELIVERY,"Instructional video in one named national or regional sign language, paired with text and captions",,,Named Deaf community and territory must be specified before implementation,high_language_distinction_low_population_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,UN_SIGN_LANG_ND,https://www.un.org/en/observances/sign-languages-day,,,persons_named_sign_language_users_not_estimated,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Must be measured separately for each named sign language and community; hearing-loss proxies, captions, International Sign, and other sign languages are not substitutes or additive denominators.",9948ccaf3ad967ef1bcb1fb993fbd637432499ea26e2aed78728e43e0b6c336f
A11Y_LOCALIZED_PLAIN_LANGUAGE,ACCESSIBILITY_AND_DELIVERY,Localized plain-language version alongside the precise source,,,"Global; instantiate by language, literacy context, subject, and community",medium_due_to_coarse_self_or_proxy_literacy_measure,CONDITIONAL_PARALLEL_ACCESS_ROUTE,UNESCO_LITERACY_2025,https://www.unesco.org/en/literacy?hub=68243,,739000000,persons_adults_15plus_lacking_basic_literacy_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Literacy proxy overlaps cognitive disability, dementia, language impairment, limited instructional-language proficiency, digital skill gaps, and stress; it is not a plain-language-demand count.",6c252d3ce447901b56f1f51674063ea7d8aa21bf6885ff92770c36b15d270f29
A11Y_LOCALIZED_EASY_READ,ACCESSIBILITY_AND_DELIVERY,Localized Easy Read version with supportive images and reduced memory load,,,"Global; instantiate by language, cognitive-access context, subject, and community",medium_low_due_to_dated_heterogeneous_meta_analysis,CONDITIONAL_PARALLEL_ACCESS_ROUTE,MAULIK_ID_2011,https://pubmed.ncbi.nlm.nih.gov/21236634/,,10.37,persons_per_1000_population_intellectual_disability_meta_analysis,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"The dated intellectual-disability rate is not an Easy Read uptake measure and overlaps plain language, dementia, literacy, language impairment, and supported-interaction needs.",f34686f91bf821629eb6bf52caf6771b3bef88057f7769dd1d8f8c9cfb96fe3a
A11Y_DECLARED_CODE_BRAILLE,ACCESSIBILITY_AND_DELIVERY,Navigable eBraille and embossable braille in a declared language and specialist code,,,"Global; instantiate by language, country convention, subject code, and available hardware",high_code_evidence_low_population_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,,,,,persons_braille_readers_not_estimated,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Overlaps blindness, deafblindness, print disability, tactile graphics, audio, and structured e-text; no impairment estimate may be treated as braille demand.",5b7defbabc2fc8651c312ba9b2109f3bbc0bcfe7cc5c3437a2e6775dd69d76a5
A11Y_TACTILE_GRAPHICS,ACCESSIBILITY_AND_DELIVERY,Tactile graphics for spatial instructional diagrams,,,"Global; instantiate by curriculum, diagram type, braille convention, and production method",high_functional_rationale_low_population_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,,,,,persons_tactile_graphics_users_not_estimated,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Overlaps blindness, braille, text descriptions, audio descriptions, MathML, and other formats; no impairment estimate may be treated as tactile-graphic demand.",dc29a9a307984ddb8d615376fcf2c26791924debc01dde206a48dd153133d4ab
A11Y_NATIVE_MATHML,ACCESSIBILITY_AND_DELIVERY,Native MathML for mathematical expressions,,,"Global; instantiate by language, locale, subject, browser, reading system, and assistive-technology stack",high_standard_medium_interoperability_uncertainty,UNIVERSAL_OPEN_PACKAGE_BASELINE,,,,,not_estimated_subject_specific_access_overlay,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Overlaps blind, low-vision, print-disabled, braille, audio, tactile, and STEM cohorts; it is a technical layer, not an additive population.",b58b4eda35ff2b9ec28489e4b5e4a2d7bbac3feeef2bd303542748706470abf9
A11Y_TEXT_IMAGE_DESCRIPTIONS,ACCESSIBILITY_AND_DELIVERY,Concise and extended text descriptions for meaningful instructional images,,,"Global; instantiate by language, curriculum, image type, and delivery format",high_measure_medium_intervention_specificity,UNIVERSAL_OPEN_PACKAGE_BASELINE,IAPB_VISION_2020,https://www.iapb.org/wp-content/uploads/2021/05/Vision-Atlas_Global-Snapshot_18052021.pdf,,43000000,persons_blind_GBD_2020_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Blindness proxy is repeated and nonadditive; descriptions also serve low-vision, print-disabled, low-bandwidth, and search users and overlap tactile and audio descriptions.",97fbc613cdc6e68cb19bd110e17699633ef4e0d06a6eb095c729ccb391c5cf27
A11Y_AUDIO_DESCRIPTION,ACCESSIBILITY_AND_DELIVERY,Localized audio description for instructional video and essential visuals,,,"Global; instantiate by media language, learner language, subject, and playback system",high_measure_medium_intervention_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,IAPB_VISION_2020,https://www.iapb.org/wp-content/uploads/2021/05/Vision-Atlas_Global-Snapshot_18052021.pdf,,43000000,persons_blind_GBD_2020_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Blindness proxy is repeated and nonadditive; overlaps low vision, text descriptions, tactile graphics, captions, transcripts, and synchronized narration.",ca48410fde9a6bc4fc152ba0c6eab6ee213a7300945a8b82e1e863fad786ffed
A11Y_OFFLINE_DOWNLOAD_PACKAGE,ACCESSIBILITY_AND_DELIVERY,Self-contained downloadable offline accessible learning package,,,"Global; especially rural, low-income, displaced, home-learning, community-education, and field-based settings",high_current_constraint_measure_medium_local_transferability,UNIVERSAL_OPEN_PACKAGE_BASELINE,ITU_FF_2025,https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/,,2200000000,persons_not_using_internet_previous_3_months,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Offline status cross-cuts every language, disability, age, and format cohort; the 2.2-billion estimate must not be added to any accessibility population.",2175031fb665b75f1067074640f3e00977256ea79e302074fc1b5d80a4fe7424
A11Y_LOW_BITRATE_MEDIA_VARIANT,ACCESSIBILITY_AND_DELIVERY,Optional downloadable low-bitrate media variant preserving accessibility content,,,Global; especially rural and low-income settings with intermittent or expensive connectivity,high_constraint_evidence_low_population_specificity,UNIVERSAL_OPEN_PACKAGE_BASELINE,,,,,not_estimated_affordability_coverage_constraint,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Cross-cuts all media and disability cohorts; must not be added to offline, hearing-loss, sign-language, or vision estimates.",28f607a0309430e08af0d71881c0ff18242812b320775414fb304e2710d54ce7
A11Y_LARGE_PRINT_OUTPUT,ACCESSIBILITY_AND_DELIVERY,"Reflowed large-print output with user-controlled size, spacing, and contrast",,,"Global; instantiate by language, print standard, device, and low-vision user setting",high_measure_medium_intervention_specificity,CONDITIONAL_PARALLEL_ACCESS_ROUTE,IAPB_VISION_2020,https://www.iapb.org/wp-content/uploads/2021/05/Vision-Atlas_Global-Snapshot_18052021.pdf,,1106000000,persons_vision_loss_VLEG_GBD_2020_proxy,SEPARATE_STRUCTURAL_LANE_NOT_IN_PERSON_LANGUAGE_TOP100,"Vision-loss proxy overlaps blindness and every vision-specific row, and includes people who may not use large print; it must not be summed with WHO's broader 2.2-billion vision-impairment measure.",d7dc6b6174ac6038cea5cac7a18b618f251070add71235b67b13e5914d9f9ec2
