import_row_id,record_kind,target_id,target_name,language_tag,script_orthography,territory,language_mode,exactness,measure_id,measure_class,source_low,source_base,source_high,source_unit,normalization_multiplier,bound_semantics,population_definition,reference_year,endpoint_type,stage_ids,stage_identity_status,additivity_class,overlap_group,evidence_source_id,evidence_url,authority_path,authority_locator,evidence_class,disposition,quarantine_reason,package_id,component_target_ids,notes
REG-TR-TR-RESIDENT-2024,LANGUAGE_EVIDENCE,lang:tr-Latn-TR,,,,,,,regional:tr-tr-resident-ceiling-2024,territorial_exposure_ceiling,,85664944,,persons,1,UPPER_BOUND,Registered population of Turkiye; a territorial ceiling and not a Turkish-user count,2024,territorial_exposure,,NOT_STAGE_SPECIFIC,alternative_construct,TR_TR_CONTEXT,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 64,audited_official_administrative_count,ADMIT_CONTEXT,,,,Not the upper bound of an 80m-to-85.7m interval.
REG-AR-APC-LB,LANGUAGE_EVIDENCE,lang:apc-Arab-LB,North Levantine Arabic — Lebanon,apc-Arab-LB,Arabic,Lebanon,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_LEVANTINE,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 45,audited_variety_inclusion,INCLUSION_ONLY,,,,No direct comparable person denominator in the audited evidence.
REG-AR-AJP-JO,LANGUAGE_EVIDENCE,lang:ajp-Arab-JO,South Levantine Arabic — Jordan,ajp-Arab-JO,Arabic,Jordan,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_LEVANTINE,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 45,audited_variety_inclusion,INCLUSION_ONLY,,,,No direct comparable person denominator in the audited evidence.
REG-AR-ACM-IQ,LANGUAGE_EVIDENCE,lang:acm-Arab-IQ,Mesopotamian Arabic — Iraq target,acm-Arab-IQ,Arabic,Iraq,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_IRAQ,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 46,audited_variety_inclusion,INCLUSION_ONLY,,,,Not exhaustive of all Iraqi Arabic varieties or minority languages.
REG-AR-ACW-SA,LANGUAGE_EVIDENCE,lang:acw-Arab-SA,Hijazi Arabic — Saudi Arabia,acw-Arab-SA,Arabic,Saudi Arabia,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,No national or migrant-adjusted person denominator is assigned.
REG-AR-ARS-SA,LANGUAGE_EVIDENCE,lang:ars-Arab-SA,Najdi Arabic — Saudi Arabia,ars-Arab-SA,Arabic,Saudi Arabia,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,Kept distinct from Hijazi Arabic and MSA.
REG-AR-AFB-KW,LANGUAGE_EVIDENCE,lang:afb-Arab-KW,Gulf Arabic — Kuwait,afb-Arab-KW,Arabic,Kuwait,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,Territorial population is not inherited.
REG-AR-AFB-BH,LANGUAGE_EVIDENCE,lang:afb-Arab-BH,Gulf Arabic — Bahrain,afb-Arab-BH,Arabic,Bahrain,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,Citizen and migrant populations remain separate evidence needs.
REG-AR-AFB-QA,LANGUAGE_EVIDENCE,lang:afb-Arab-QA,Gulf Arabic — Qatar,afb-Arab-QA,Arabic,Qatar,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,Citizen and migrant populations remain separate evidence needs.
REG-AR-AFB-AE,LANGUAGE_EVIDENCE,lang:afb-Arab-AE,Gulf Arabic — United Arab Emirates,afb-Arab-AE,Arabic,United Arab Emirates,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,Citizen and migrant populations remain separate evidence needs.
REG-AR-ACX-OM,LANGUAGE_EVIDENCE,lang:acx-Arab-OM,Omani Arabic — Oman,acx-Arab-OM,Arabic,Oman,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_variety_inclusion,INCLUSION_ONLY,,,,No territorial count is inherited.
REG-AR-ACQ-YE,LANGUAGE_EVIDENCE,lang:acq-Arab-YE,Ta'izzi-Adeni Arabic — Yemen,acq-Arab-YE,Arabic,Yemen,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_YEMEN,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 48,audited_variety_inclusion,INCLUSION_ONLY,,,,Yemen residents are not assigned as speakers.
REG-AR-AYN-YE,LANGUAGE_EVIDENCE,lang:ayn-Arab-YE,Sanaani Arabic — Yemen,ayn-Arab-YE,Arabic,Yemen,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,AR_YEMEN,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 48,audited_variety_inclusion,INCLUSION_ONLY,,,,Mehri Soqotri and other language communities remain separate.
REG-SIGN-BFI-GB,LANGUAGE_EVIDENCE,lang:bfi-GB,British Sign Language,bfi-GB,Visual-manual; no ordinary script,United Kingdom,signed,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,SIGN_BSL_GB,SRC_SIGNED_ACCESS_REGISTER,,structured/SIGNED_ACCESSIBILITY_EMPIRICAL_INPUTS.csv,BSL rows,audited_signed_language_register,INCLUSION_ONLY,,,,Territory cells retain their source definitions.
REG-SIGN-FSL-FR,LANGUAGE_EVIDENCE,lang:fsl-FR,French Sign Language,fsl-FR,Visual-manual; no ordinary script,Metropolitan France,signed,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,SIGN_LSF_FR,SRC_SIGNED_ACCESS_REGISTER,,structured/SIGNED_ACCESSIBILITY_EMPIRICAL_INPUTS.csv,LSF row,audited_signed_language_register,INCLUSION_ONLY,,,,The historical generic-sign wording is context-only.
REG-SIGN-GSG-DE,LANGUAGE_EVIDENCE,lang:gsg-DE,German Sign Language,gsg-DE,Visual-manual; no ordinary script,Germany,signed,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,SIGN_DGS_DE,SRC_SIGNED_ACCESS_REGISTER,,structured/SIGNED_ACCESSIBILITY_EMPIRICAL_INPUTS.csv,DGS row,audited_signed_language_register,INCLUSION_ONLY,,,,Interpreter-dependence proxy is not a DGS-user count.
REG-SIGN-ISG-IE,LANGUAGE_EVIDENCE,lang:isg-IE,Irish Sign Language,isg-IE,Visual-manual; no ordinary script,Ireland,signed,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,SIGN_IRSL_IE,SRC_SIGNED_ACCESS_REGISTER,,structured/SIGNED_ACCESSIBILITY_EMPIRICAL_INPUTS.csv,IrSL row,audited_signed_language_register,INCLUSION_ONLY,,,,Home-use measure remains endpoint-specific.
REG-WAP-GPE-GH,LANGUAGE_EVIDENCE,lang:gpe-Latn-GH,Ghanaian Pidgin English,gpe-Latn-GH,Latin,Ghana,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,WAP_CLUSTER,SRC_AUDIT_LARGE_COHORT_EQUAL_INCLUSION,,agent_reports/LARGE_COHORT_EQUAL_INCLUSION_AUDIT.md,lines 193-210,peer_reviewed_cluster_audit,INCLUSION_ONLY,,,,No constituent inherits the six-variety 106-143m package range.
REG-WAP-FPE-GQ,LANGUAGE_EVIDENCE,lang:fpe-Latn-GQ,Pichi,fpe-Latn-GQ,Latin,Equatorial Guinea,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,WAP_CLUSTER,SRC_AUDIT_LARGE_COHORT_EQUAL_INCLUSION,,agent_reports/LARGE_COHORT_EQUAL_INCLUSION_AUDIT.md,lines 193-210,peer_reviewed_cluster_audit,INCLUSION_ONLY,,,,Pichi remains its own exact target within a parallel bridge package.
REG-WAP-AKU-GM,LANGUAGE_EVIDENCE,lang:kri-Latn-GM:variety:aku,Aku — Gambia,kri-Latn-GM,Latin,Gambia; Aku community,written_or_multimodal,exact,,,,,,,,NONE,,n.d.,language_inclusion,,NOT_STAGE_SPECIFIC,nonadditive_inclusion,WAP_CLUSTER,SRC_AUDIT_LARGE_COHORT_EQUAL_INCLUSION,,agent_reports/LARGE_COHORT_EQUAL_INCLUSION_AUDIT.md,lines 193-210,peer_reviewed_cluster_audit,INCLUSION_ONLY,,,,Community-variety identity is explicit; no separate ISO code or package-total inheritance is asserted.
PKG-ZH-HANT-TERRITORIES,PACKAGE_PROFILE,,,,,,,,,,,,,,,NONE,,n.d.,package_context,,NOT_STAGE_SPECIFIC,context_only_no_inheritance,ZH_HANT_TERRITORIES,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 56,audited_package_design,INCLUSION_ONLY,,package:zh-hant-territories-parallel-v2,lang:zh-Hant-TW:written;lang:zh-Hant-HK:written;lang:zh-Hant-MO:written,Three disjoint ceilings may be displayed as context but no component inherits the sum.
PKG-AR-LEVANTINE,PACKAGE_PROFILE,,,,,,,,,,,,,,,NONE,,n.d.,package_context,,NOT_STAGE_SPECIFIC,context_only_no_inheritance,AR_LEVANTINE,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 45,audited_package_design,INCLUSION_ONLY,,package:arabic-levantine-parallel-v2,lang:apc-Arab-LB;lang:apc-Arab-SY;lang:ajp-Arab-JO;lang:ajp-Arab-PS,No aggregate denominator or mutual academic equivalence is asserted.
PKG-AR-GULF,PACKAGE_PROFILE,,,,,,,,,,,,,,,NONE,,n.d.,package_context,,NOT_STAGE_SPECIFIC,context_only_no_inheritance,AR_GULF,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 47,audited_package_design,INCLUSION_ONLY,,package:arabic-gulf-parallel-v2,lang:acw-Arab-SA;lang:ars-Arab-SA;lang:afb-Arab-KW;lang:afb-Arab-BH;lang:afb-Arab-QA;lang:afb-Arab-AE;lang:acx-Arab-OM,No country resident count or shared Gulf total is inherited.
PKG-AR-YEMEN,PACKAGE_PROFILE,,,,,,,,,,,,,,,NONE,,n.d.,package_context,,NOT_STAGE_SPECIFIC,context_only_no_inheritance,AR_YEMEN,SRC_AUDIT_GLOBAL_LARGE_LANGUAGE_CONTROLS,,agent_reports/GLOBAL_LARGE_LANGUAGE_CONTROLS.md,line 48,audited_package_design,INCLUSION_ONLY,,package:arabic-yemeni-parallel-v2,lang:acq-Arab-YE;lang:ayn-Arab-YE,No Yemen territorial ceiling is inherited.
PKG-WAP-SIX,PACKAGE_PROFILE,,,,,,,,,,,,,,,NONE,,n.d.,package_context,,NOT_STAGE_SPECIFIC,context_only_no_inheritance,WAP_CLUSTER,SRC_AUDIT_LARGE_COHORT_EQUAL_INCLUSION,,agent_reports/LARGE_COHORT_EQUAL_INCLUSION_AUDIT.md,lines 193-210,peer_reviewed_cluster_audit,INCLUSION_ONLY,,package:west-african-pidgin-six-v2,lang:pcm-Latn-NG;lang:wes-Latn-CM;lang:kri-Latn-SL;lang:gpe-Latn-GH;lang:fpe-Latn-GQ;lang:kri-Latn-GM:variety:aku,The 106-143m cluster range is stored once as package context and inherited by no child.
