compute_estimate_id,candidate_id,standard_compute_model_version,reference_hardware_id,hardware_normalization_version,model_runtime_version,tokenizer_version,qa_target_version,standard_compute_mean,standard_compute_p05,standard_compute_p50,standard_compute_p95,standard_compute_lower_bound,standard_compute_upper_bound,standard_compute_scenario_low,standard_compute_scenario_base,standard_compute_scenario_high,standard_compute_unit,energy_mean,energy_p05,energy_p50,energy_p95,energy_lower_bound,energy_upper_bound,energy_unit,estimate_status,uncertainty_method,draw_set_id,benchmark_source_ids_json,compute_input_set_hash,estimate_row_hash,generated_at_utc
EST:STD-ENV-100K-NAMED-SIGN,STD-ENV-100K-NAMED-SIGN,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1046619.564174,2265126.480382,6116455.300745,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,449c7b1f78046399f0a07198847d8f188eb0a06f563573df2c4e4f3abdf4151f,2026-09-01T00:00:00Z
EST:STD-ENV-100K-COMPLETE-ACCESS,STD-ENV-100K-COMPLETE-ACCESS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1461118.541308,3423668.474827,9819193.803785,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,7b909a242fd16bfcc9f06f991e6b327a3eb5b96515ef574878f7f3112d1c789a,2026-09-01T00:00:00Z
EST:STD-ENV-400K-TEXT,STD-ENV-400K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,3083218.747098,6299384.591927,16177395.03978,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,7b4ffd4b73d878ed9e8f83781f3d0a8021e676d9984061a1a2f61d786fec4ef6,2026-09-01T00:00:00Z
EST:STD-ENV-400K-ACCESSIBLE-PUBLICATION,STD-ENV-400K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,3157618.747098,6706384.591927,19473395.03978,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,887742954f9c83c623034efe9f2d6684fb5524982e915a3c46eae87a1792f7f7,2026-09-01T00:00:00Z
EST:STD-ENV-400K-AUDIO,STD-ENV-400K-AUDIO,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,4390999.778234,8455711.572507,21476029.42954,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,f46c23d3491a4c5fa37d81556c236ea1448ae9d0a81546811bc2d8b54f5ce51b,2026-09-01T00:00:00Z
EST:STD-ENV-400K-CAPTIONS,STD-ENV-400K-CAPTIONS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,3359033.624498,8370225.589127,22393714.66218,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,38b92c6ccd5025fe51f892efb8b413f8a0cbb157652c138531a0baf247c605e8,2026-09-01T00:00:00Z
EST:STD-ENV-400K-NAMED-SIGN,STD-ENV-400K-NAMED-SIGN,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,4186478.256698,9060505.921527,24465821.20298,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,36f103d860170fa8d7ca5a199395f4d5f76d941733112c29b197e0470d52054b,2026-09-01T00:00:00Z
EST:STD-ENV-400K-COMPLETE-ACCESS,STD-ENV-400K-COMPLETE-ACCESS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,5844474.165234,13694673.899307,39276775.21514,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,COMMON_ENVELOPE_SENSITIVITY_ONLY,common_cross_language_envelope_sensitivity,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,2599ae1318749ff20cd862103a25907a1c29afb0ed0d47ea678a95af332b9cbd,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-TEXT,STD-MF-ace_Arab-025K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,273994.751754,495495.631275,1040333.087426,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,08ba54f2e7ac6446cf33e28677683a8457e8f89f0ce75543c74d5adf36d96811,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-ACCESSIBLE-PUBLICATION,STD-MF-ace_Arab-025K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,278644.751754,520933.131275,1246333.087426,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,ee449d2601c5c6d52e6c9046d50d8d7cc35a2f135601a2b415b7afde61c5fe1d,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-AUDIO,STD-MF-ace_Arab-025K-AUDIO,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,413584.16612,693746.633762,1389370.229666,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,345aba22fd741e2bbf2eb5a291ead1201ea4efbd6c1ba1bbf0d6d2043f280e3f,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-CAPTIONS,STD-MF-ace_Arab-025K-CAPTIONS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,303701.522091,689479.7016,1453224.645026,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,4dd1e2e02e6e5c7b474d87d934224dc14a890edc522d4d64160c652f97d6f63a,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-NAMED-SIGN,STD-MF-ace_Arab-025K-NAMED-SIGN,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,392821.833104,754141.058375,1590855.164226,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,77106ce3e9de281733013bdbca0b328b81b5f1dc151aff4304e1366dcc29f01c,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-025K-COMPLETE-ACCESS,STD-MF-ace_Arab-025K-COMPLETE-ACCESS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,566768.017807,1171813.631187,2558783.864066,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,b12426a745e518333219d763b6038a5cc35e8d05b4b5482abc610932e87b74c3,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-TEXT,STD-MF-ace_Arab-100K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1095979.007014,1981982.525102,4161332.349705,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,13b80f7e6e6585b27d0777762c728d2996f4846881a06652f6451782ef00d0d8,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-ACCESSIBLE-PUBLICATION,STD-MF-ace_Arab-100K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1114579.007014,2083732.525102,4985332.349705,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,a5ed06fe0e7f27d141423e452fff0e8ed85e45ef0745bd2058a0a35d70858bd1,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-AUDIO,STD-MF-ace_Arab-100K-AUDIO,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1654336.664478,2774986.535047,5557480.918665,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,3ccad34bd767871bfce36fafec59139d6e17e78298ba93699e09b30c2ec528a2,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-CAPTIONS,STD-MF-ace_Arab-100K-CAPTIONS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1214806.088364,2757918.806402,5812898.580105,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,5a3b22a7f198aa55b48cb1b8ac45247d949c312165326bb3ab8a61d98fb1f3ec,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-NAMED-SIGN,STD-MF-ace_Arab-100K-NAMED-SIGN,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,1571287.332414,3016564.233502,6363420.656905,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,b5ab1a6c62f701610b06065faac811f98036c128c06a4d7cd19e129722a02c76,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-100K-COMPLETE-ACCESS,STD-MF-ace_Arab-100K-COMPLETE-ACCESS,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,2267072.071228,4687254.524747,10235135.456265,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,29276aa34da554e499cb41b15d7145200bb3c438f2536e44b9d32140b3edafe3,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-400K-TEXT,STD-MF-ace_Arab-400K-TEXT,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,4383916.028058,7927930.100407,16645329.39882,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,3d16e6b0a50a650d7600576e2479ec59a109e4756d074bf456b640172350bca2,2026-09-01T00:00:00Z
EST:STD-MF-ace_Arab-400K-ACCESSIBLE-PUBLICATION,STD-MF-ace_Arab-400K-ACCESSIBLE-PUBLICATION,interlanguage/standard-compute/2.0.0,NOT_APPLICABLE_TOKEN_TRAFFIC,NOT_APPLICABLE,VENDOR_NEUTRAL_PLANNING_MODEL,tiktoken-0.11.0:cl100k_base+o200k_base,independent_context_plus_deterministic_qa_v2,,,,,,,4458316.028058,8334930.100407,19941329.39882,fresh_equivalent_token_events,,,,,,,NOT_INFERABLE_FROM_TOKEN_EVENTS,MEASURED_REPRESENTATION_WITH_DECLARED_PROCESS_SCENARIOS,coupled_process_cases_plus_target_block_variation,,"[""SRC24"",""SRC25""]",1fcee977fc1335cbb1cfb71cd4a23152265a918171fc4f319185cfb8c7aef723,aa6d1d82542247960e1df1be0e1658df914872bdf51a212ef12562eaf054b020,2026-09-01T00:00:00Z
