intervention_id,observation_id,source_target_name,resolved_edition_name,language_subtag,script_subtag,region_subtag,bcp47_target_profile,profile_tag_status,territory_community,variety_scope,orthography_or_educational_standard,orthography_authority,orthography_status,alternative_scripts_or_profiles,source_population_exact,population_reference_year,population_measure,population_observation_scope_class,population_is_global_audience,population_is_diaspora_subset,population_is_multiple_response,population_is_direct_literacy_floor,observation_overlap_caveat,population_source_id,population_source_locator,profile_source_ids,resolution_status,ranking_treatment,negative_control_status,negative_control_basis,openalex_math_open_access,openalex_math_open_access_books,ai_support_resource_levels,uncertainty,notes
OBS-GRG-US-026,GRG-US-026,Jamaican Creole English,Jamaican Creole in Cassidy/JLU orthography,jam,Latn,JM,jam-Latn-JM,single_valid_bcp47,Jamaica standard reference; United States diaspora observation,Jamaican Creole only,Cassidy/Jamaican Language Unit spelling system,Jamaican Language Unit and scholarly literature,institutional_de_facto_standard,English-influenced informal spellings remain common,72000,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 255,TP-S001-IANA;TP-S002-CLDR;TP-JAM-CASSIDY,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The orthography is not universally accepted as an official national standard.,
OBS-GRG-PL-006,GRG-PL-006,Ukrainian,Standard Ukrainian (2026 state-language standard),uk,Cyrl,UA,uk-Cyrl-UA,single_valid_bcp47,Ukraine standard; Poland minority/diaspora observation,national standard register,approved Ukrainian state-language orthography,National Commission on State Language Standards,official_language_authority,,55104,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_minority_or_diaspora_subset_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; ukraiński Ukrainian row,TP-S001-IANA;TP-S002-CLDR;TP-EU-UK-MOVA,resolved_single_profile,"deprioritize_generic_translation; retain for non-overlap, subgroup, or accessibility-format tests",negative_control_richly_served_relative_to_observed_set,"Current local OpenAlex discovery fields: math OA=4441; math OA books=1506; AI support=High. Counts are discovery indicators, not a complete corpus census.",4441,1506,High,The Poland count is a multiple-response subset and cannot be treated as global reach.,
OBS-GRG-US-023,GRG-US-023,Hawaiian,Standard ʻŌlelo Hawaiʻi with ʻokina and kahakō,haw,Latn,US,haw-Latn-US,single_valid_bcp47,Hawaiian-language readers in Hawaiʻi and the United States,main institutional standard; Niʻihau remains distinct,University/public-institution Hawaiian writing standard,University of Hawaiʻi and Hawaiian-language education institutions,official_institutional_standard,Niʻihau convention requires a separate profile,32730,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 246,TP-S001-IANA;TP-S002-CLDR;TP-HAW-UH,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,"The ACS estimate is home use, not reading proficiency; Niʻihau orthography is not represented separately.",
OBS-GRG-US-017,GRG-US-017,Marshallese,Standard Marshallese under the 2010 Orthography Act,mh,Latn,MH,mh-Latn-MH,single_valid_bcp47,Republic of the Marshall Islands standard; United States diaspora observation,national standard Marshallese,Marshallese Language Orthography Act 2010,Nitijeļā of the Republic of the Marshall Islands,statutory_orthography,,27160,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 234,TP-S001-IANA;TP-S002-CLDR;TP-MH-ACT,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The US estimate is a diaspora subset and not global Marshallese reach.,
OBS-GRG-US-021,GRG-US-021,Chamorro,Separate Guam CHamoru and CNMI Chamorro editions,ch,Latn,GU;MP,ch-Latn-GU|ch-Latn-MP,multiple_valid_localized_bcp47_profiles,Guam and Northern Mariana communities; United States-state diaspora observation,same language identifier with two official territorial orthographies,2024 Guam Utugrafihan CHamoru and separate CNMI standard,Guam Kumisión and CNMI institutions,multiple_official_territorial_standards,Do not merge GU and MP spelling rules,19690,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 231,TP-S001-IANA;TP-S002-CLDR;TP-CH-GUAM;TP-CH-CNMI,requires_territorial_profile_split,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The national ACS row does not distinguish Guam-origin and CNMI-origin speakers.,
OBS-GRG-PL-007,GRG-PL-007,Byelorussian,Official-standard Belarusian,be,Cyrl,BY,be-Cyrl-BY,single_valid_bcp47,Belarus standard; Poland minority/diaspora observation,official orthography; source census label retained as Byelorussian,Law 420-Z orthography and punctuation,National Center of Legal Information / Republic of Belarus,statutory_orthography,Taraškievica requires an explicit alternative edition,17325,2021-03-31,census_languages_used_at_home_multiple_response_persons,poland_minority_or_diaspora_subset_multiple_response_home_use_count_not_literacy,false,false,true,false,Multiple language responses were allowed; rows overlap and must not be summed.,GRG-S006,Table 7.5 printed page 120 PDF page 122; białoruski Byelorussian row,TP-S001-IANA;TP-S002-CLDR;TP-EU-BE-LAW,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,2,0,Low,The Poland census row does not reveal official-versus-Taraškievica preference.,
OBS-GRG-US-001,GRG-US-001,Central Yupik,Standard Central Alaskan Yup'ik,esu,Latn,US,esu-Latn-US,single_valid_bcp47,Yukon-Kuskokwim Central Yup'ik communities,Central Alaskan Yup'ik; Cup'ik/Cup'ig localizations explicit,UAF Central Yup'ik orthography and regional standardization curriculum,University of Alaska Fairbanks with Alaska language institutions,institutional_education_standard,Cup'ik and Cup'ig naming/spelling profiles remain separate adaptations,16120,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 462,TP-S001-IANA;TP-S002-CLDR;TP-YUP-UAF,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS row aggregates regional dialects and is not a literacy measure.,
OBS-GRG-US-018,GRG-US-018,Chuukese,Chuuk State standard Chuukese,chk,Latn,FM,chk-Latn-FM,single_valid_bcp47,Chuuk State standard; United States diaspora observation,Chuukese vernacular language-arts register,FSM/Chuuk vernacular curriculum orthography,Federated States of Micronesia and Chuuk education authorities,official_education_standard,Island/community lexical variation remains,14700,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 239,TP-S001-IANA;TP-S002-CLDR;TP-FSM-CURR,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The US estimate is a diaspora subset; it does not measure the FSM-wide audience.,
OBS-GRG-US-002,GRG-US-002,Western Apache,Western Apache using a declared community dictionary standard,apw,Latn,US,apw-Latn-US,base_tag_valid_requires_localizations,"White Mountain, San Carlos, Dilzhę́’é, and related Western Apache communities",Western Apache aggregate with community-specific dialect adaptation,White Mountain Apache dictionary spelling as one explicit baseline,Western Apache community language-resource institutions,community_institutional_standard,San Carlos and Dilzhę́’é lexical/phonological localization required,12730,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 487,TP-S001-IANA;TP-S002-CLDR;TP-APW-DILZHEE,requires_community_localization,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS row does not separate Western Apache communities or dialects.,
OBS-GRG-US-004,GRG-US-004,Eastern Keres,Pueblo-specific Eastern Keres profiles only,kee,,US,,no_single_profile,Eastern Keres-speaking Pueblos,aggregate label rejected as an edition target,"No single cross-Pueblo written standard; community policies differ, including oral-only maintenance",Pueblo-specific authorities,no_single_cross_community_standard,Scholarly Latin transcriptions do not constitute a shared community standard,12540,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 522,TP-S001-IANA;TP-KERES-MIT;TP-KERES-UNM,requires_pueblo_profile_split,not rankable as one edition; split into community profiles first,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,"The ACS aggregate cannot identify a permissible script, orthography, or Pueblo edition.",
OBS-GRG-US-016,GRG-US-016,Chippewa,Southwestern Ojibwe/Chippewa with declared Double-Vowel profile,ciw,Latn,US,ciw-Latn-US,base_tag_valid_requires_localizations,United States Chippewa/Southwestern Ojibwe communities,ciw variety; not the whole Ojibwe macrolanguage,Double Vowel as US de facto baseline,Ojibwe People's Dictionary consortium,de_facto_institutional_standard,Community-specific spelling and dialect localization remains,10750,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 473,TP-S001-IANA;TP-S002-CLDR;TP-OJ-UMN,requires_community_localization,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS English label Chippewa may not resolve every respondent to the ciw variety.,
OBS-GRG-US-005,GRG-US-005,Lakota,Lakota with declared community orthography,lkt,Latn,US,lkt-Latn-US,base_tag_valid_requires_localizations,Lakota communities in the United States,Lakota language; orthographic audience explicit,LLC teaching standard or Rosebud/Albert White Hat system as separate editions,community language authorities and teaching institutions,multiple_live_standards,Do not silently impose one contested system,10590,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 511,TP-S001-IANA;TP-S002-CLDR;TP-LKT-LLC,requires_orthographic_audience_split,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS row does not distinguish orthographic communities.,
OBS-GRG-US-007,GRG-US-007,Cherokee,Cherokee syllabary edition,chr,Cher,US,chr-Cher-US,single_valid_bcp47,Cherokee Nation and other Cherokee communities in the United States,Cherokee in the Cherokee syllabary,Cherokee Nation syllabary print and education standard,Cherokee Nation Language Department,official_tribal_standard,Dialect/local lexical adaptation may remain; Latin transliteration is not the primary edition,10440,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 527,TP-S001-IANA;TP-S002-CLDR;TP-CHR-NATION,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS count does not separate Cherokee communities or literacy in the syllabary.,
OBS-GRG-US-008,GRG-US-008,Zuni,Zuni/Shiwi school-literacy profile,zun,Latn,US,zun-Latn-US,single_valid_bcp47,Zuni Pueblo and Zuni school community,community school standard,Zuni public-school practical orthography,Zuni Public School District and community institutions,official_community_education_standard,,8109,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 529,TP-S001-IANA;TP-S002-CLDR;TP-ZUN-SCHOOL,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The bounded authority proves school written use but not a statutory universal orthography.,
OBS-GRG-AU-001,GRG-AU-001,Kriol,Australian Kriol practical written standard,rop,Latn,AU,rop-Latn-AU,single_valid_bcp47,Kriol-speaking communities in northern Australia,"Australian Kriol, not Torres Strait Creole",community/institutional practical Kriol orthography,Northern Territory education and Indigenous-language institutions,official_education_and_community_standard,East-side and west-side lexical/local adaptations remain,7478,2021,census_language_used_at_home_persons,australia_national_direct_home_use_floor_not_literacy,false,false,false,false,ABS reports one main language used at home and applies small random perturbations; this is not L1 or literacy.,GRG-S002,"Language used at home, top responses other than English; Australia column; Kriol row",TP-S001-IANA;TP-S002-CLDR;TP-AU-NT-CURR,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,"The ABS count is national home use, not literacy or the full speaker population.",
OBS-GRG-US-019,GRG-US-019,Pohnpeian,Pohnpei State standard Pohnpeian,pon,Latn,FM,pon-Latn-FM,single_valid_bcp47,Pohnpei State standard; United States diaspora observation,Pohnpeian vernacular language-arts register,FSM/Pohnpei curriculum and standard spelling,Federated States of Micronesia and Pohnpei education authorities,official_education_standard,,7412,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 238,TP-S001-IANA;TP-S002-CLDR;TP-FSM-CURR,resolved_single_profile,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The US estimate is a diaspora subset and not FSM-wide reach.,
OBS-GRG-US-006,GRG-US-006,Choctaw,Separate Oklahoma and Mississippi Choctaw editions,cho,Latn,US,cho-Latn-US,base_tag_valid_requires_localizations,Choctaw Nation of Oklahoma and Mississippi Band communities,Choctaw with territorial/community spelling profile,Choctaw Nation instructional system versus Mississippi Choctaw system,respective tribal language authorities,multiple_official_community_standards,Parallel Oklahoma and Mississippi profiles,7260,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 520,TP-S001-IANA;TP-S002-CLDR;TP-CHO-NATION;TP-CHO-MULTI,requires_community_profile_split,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS aggregate cannot select an Oklahoma or Mississippi orthography.,
OBS-GRG-US-009,GRG-US-009,Hopi,Hopi with declared mesa/community profile,hop,Latn,US,hop-Latn-US,base_tag_valid_requires_localizations,Hopi communities in Arizona,"Third Mesa dictionary profile is one baseline, not pan-Hopi",Hopi Dictionary Project orthography,Hopi Dictionary Project and community education authorities,community_institutional_standard,Other mesa/community practices require localization,7105,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 535,TP-S001-IANA;TP-S002-CLDR;TP-HOP-DICT,requires_community_localization,rank shared core and localized profiles separately; do not multiply one population observation,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,The ACS aggregate does not identify a mesa or orthographic profile.,
OBS-GRG-US-010,GRG-US-010,Tohono O'odham,Tohono O'odham in official Alvarez-Hale orthography,ood,Latn,US,ood-Latn-US,single_valid_bcp47,Tohono O'odham Nation and related communities,Nation official baseline with dialect-aware extensions,Alvarez-Hale orthography recognized in 1974,Tohono O'odham Nation,official_tribal_orthography,Modified versions add consonants/symbols for dialects,6343,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_national_acs_home_language_estimate_age5plus_direct_audience_floor_not_literacy,false,false,false,false,ACS five-year sample estimate with a published 90% margin of error; not an enumerated count or literacy measure.,GRG-S001,Nation worksheet row 538,TP-S001-IANA;TP-S002-CLDR;TP-OOD-NATION,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,,A final edition must document which dialect extensions are included.,
OBS-GRG-US-024,GRG-US-024,Fijian,Standard Fijian / Vosa Vakaviti school register,fj,Latn,FJ,fj-Latn-FJ,single_valid_bcp47,Fiji national standard; United States diaspora observation,"national educational standard, not every communal variety",established Latin Standard Fijian school orthography,Fiji Ministry of Education,official_education_standard,Communal/dialect varieties require localization,6229,2017-2021,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,us_acs_diaspora_or_subpopulation_subset_estimate_age5plus_not_global_not_literacy,false,true,false,false,"ACS five-year sample estimate for the United States only; it is a diaspora/subpopulation subset, not global reach.",GRG-S001,Nation worksheet row 247,TP-S001-IANA;TP-S002-CLDR;TP-FJ-EDU,resolved_explicit_profile_with_variant_caveat,rankable target profile; population remains only the cited observed audience,not_negative_control,No richly-served negative-control determination in this bounded lane.,,,Low,The bounded source establishes educational use more strongly than detailed orthographic codification; the US count is diaspora-only.,
