target_id,target_label,country_language_stratum,script,priority_stage_order,p0_material_classes,p1_p2_material_classes,outsized_local_utility,delivery_profile,evidence_keys,evidence_confidence,boundary_note
hi-Deva-IN,"Standard Hindi","Hindi-language school/public strata in India","Deva","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research","foundation/catch-up; mathematics/science; health; teacher education","computing/data; finance; TVET; degree spines; research methods; advanced material","massive foundation programme and large higher-education population","offline/print/mobile; solutions; bilingual academic terminology","C5|G14|G27","medium-high","Do not use broad Hindi census grouping as proof of standard-Hindi comprehension"
mr-Deva-IN,"Marathi","Maharashtra Marathi-language strata","Deva","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate","foundation/catch-up; mathematics/science; health","industry/TVET; finance/management; computing; degree spines; research methods","large exact language with independent school and academic pathway","offline/print/mobile; worked solutions; bilingual terminology","C5|G12|G14","medium","Independent target; Hindi is not a coverage proxy"
te-Telu-IN,"Telugu","Telugu-language strata in Andhra Pradesh and Telangana","Telu","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate","foundation/catch-up; mathematics/science; health","computing/data; agriculture; industry TVET; degree spines; research methods","large exact language and major higher-education/workforce community","offline/print/mobile; code/data local; bilingual academic terms","C5|G12|G14","medium","Independent target; do not infer English proficiency from IT-sector visibility"
ta-Taml-IN,"Tamil","Tamil-language strata in India","Taml","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research","foundation/catch-up; mathematics/science; health","industry/TVET; computing/data; degree and advanced research spines","large school and research-language community with international diaspora","offline/print/mobile; MathML; bilingual metadata","C5|G14|G15","medium","India and Sri Lanka locale profiles should be distinguished"
gu-Gujr-IN,"Gujarati","Gujarati-language strata in India","Gujr","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate","foundation/catch-up; mathematics/science; health","enterprise finance/management; TVET; computing; first-year and methods","large exact language with strong enterprise relevance","offline/print/mobile; practical worked cases; bilingual terms","C5|G10|G19","medium","Independent target; Hindi is not coverage"
kn-Knda-IN,"Kannada","Kannada-language strata in Karnataka","Knda","primary|lower-secondary|upper-secondary|undergraduate|vocational-adult|postgraduate","foundation/catch-up; mathematics/science; health","computing/data; industry/TVET; degree spines; research methods","large exact language and major technology/higher-education region","offline/source/print; local code/data; bilingual academic terms","C5|G14|G18","medium","Do not infer English comfort from regional industry profile"
ml-Mlym-IN,"Malayalam","Malayalam-language strata in Kerala","Mlym","upper-secondary|undergraduate|postgraduate|research|vocational-adult|primary","accessible STEM and health; research methods; finance/digital safety","advanced science; health professional; computing/data; specialist research","strong school outcomes shift marginal value toward advanced/open/accessibility while retaining exact gap audit","searchable source; MathML; EPUB/PDF; bilingual metadata","G14|G15|G27","medium-low","Do not assume high literacy eliminates advanced-language burden"
or-Orya-IN,"Odia","Odia-language strata in Odisha","Orya","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate","foundation/catch-up; mathematics/science; health; climate/disaster","agriculture; TVET; finance; first-year STEM; research methods","large exact language; coastal/cyclone and agricultural applications","offline/print/mobile; audio; practical local examples","C5|G8|G9","medium","Independent target; Hindi is not coverage"
ur-Arab-PK,"Urdu","Pakistan national instructional/public-language users","Arab","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research","literacy/numeracy recovery; mathematics/science; health; teacher education","TVET; finance; computing/data; degree spines; research methods; climate/disaster","77% learning poverty; national bridge and later academic language","offline/print/mobile; worked solutions; local-language bridges; bilingual terminology","C3|C13|G3","high","Urdu is national but not the home language of most early learners"
pnb-Arab-PK,"Punjabi; Shahmukhi","Punjabi home-language users in Pakistan Punjab","Arab","early-childhood|primary|lower-secondary|vocational-adult","foundation; Urdu bridge; health","agriculture; climate/disaster; enterprise finance; secondary scaffold","home-language mismatch in a very large provincial population","audio/print; bilingual Punjabi-Urdu; offline; locale-tagged","C13|G3|G8","high-medium","Do not merge with Gurmukhi Punjabi output"
sd-Arab-PK,"Sindhi","Sindhi home-language and provincial school strata","Arab","early-childhood|primary|lower-secondary|upper-secondary|vocational-adult","foundation; Urdu/English bridge; mathematics/science; health","delta/climate/disaster; agriculture; TVET; finance; first-year scaffold","home-language instruction plus climate-vulnerable livelihoods","offline/print/audio; full solutions; bilingual bridge","C13|G3|G8|G9","high-medium","Use the accepted Sindhi Arabic orthography; script variants are separate"
ps-Arab-PK,"Pashto","Pashto home-language users in Pakistan","Arab","early-childhood|primary|lower-secondary|vocational-adult|upper-secondary","foundation; Urdu bridge; health; teacher education","agriculture; climate/disaster; TVET; finance; secondary STEM","home-language mismatch and rural/conflict-affected strata","small offline modules; audio; print; non-tracking; bilingual bridge","C13|G3|G7","high-medium","Pakistan locale; Afghan Pashto requires a separate curriculum/context profile"
skr-Arab-PK,"Saraiki","Saraiki home-language users in Pakistan","Arab","early-childhood|primary|lower-secondary|vocational-adult","foundation; Urdu bridge; health","agriculture/water; climate; TVET; finance; secondary scaffold","home-language mismatch and rural livelihood relevance","audio/print; bilingual bridge; offline","C13|G3|G8","medium-high","Independent target; not a generic Punjabi or Urdu edition"
fil-Latn-PH,"Filipino; formal national register","Philippines national instructional/public-language users","Latn","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research|early-childhood","foundation recovery; mathematics/science; health; teacher education","TVET; disaster/climate; computing/data; finance; degree spines; research methods","91% learning poverty and severe secondary proficiency gaps","offline/mobile/print; full solutions; low-cost practicals; regional-language bridges","C2|C11|G4","high","Formal Filipino and vernacular Tagalog should be register-tagged"
ceb-Latn-PH,"Cebuano","Cebuano-language strata in the Philippines","Latn","early-childhood|primary|lower-secondary|vocational-adult","foundation; Filipino/English bridge; health","disaster; maritime/agriculture livelihoods; TVET; secondary scaffold","large home-language stratum in a high-learning-poverty system","audio/print; bilingual bridge; offline; regional terminology","C2|G1|G3|C11","medium-high","Do not treat census Bisaya and Cebuano labels as automatically identical"
hil-Latn-PH,"Hiligaynon","Hiligaynon-language strata in the Philippines","Latn","early-childhood|primary|lower-secondary|vocational-adult","foundation; Filipino/English bridge; health","agriculture/disaster; TVET; secondary scaffold; finance","large home-language stratum and transition burden","audio/print; offline; bilingual bridge","C2|G1|G3|C11","medium","Separate from Cebuano/Bisaya"
ilo-Latn-PH,"Ilocano","Ilocano-language strata in the Philippines","Latn","early-childhood|primary|lower-secondary|vocational-adult","foundation; Filipino/English bridge; health","agriculture/climate; TVET; secondary scaffold; finance","large home-language stratum and transition burden","audio/print; offline; bilingual bridge","C2|G1|G3|C11","medium","Independent target"
my-Mymr-MM,"Burmese","Myanmar national instructional/public-language users","Mymr","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|health-professional|research","portable catch-up; mathematics/science; health; teacher education","livelihood TVET; agriculture; finance; first-year and research continuity","conflict/displacement and disrupted educational continuity","small offline/non-tracking units; printable; audio; mirrorable","G3|G5|G7|G24","medium","National language does not cover all minority-language entrants"
shn-Mymr-MM,"Shan","Shan-language strata in Myanmar","Mymr","early-childhood|primary|lower-secondary|vocational-adult","foundation; Burmese bridge; health","agriculture; livelihoods; secondary catch-up; teacher support","minority-language and conflict/displacement access","small offline/audio/print; non-tracking; bilingual bridge","G1|G3|G7|G24","medium-low","Verify Shan orthography and locale; population basis remains uncertain"
ksw-Mymr-MM,"S'gaw Karen","S'gaw Karen-language strata in Myanmar and displacement settings","Mymr","early-childhood|primary|lower-secondary|vocational-adult","foundation; Burmese/host-language bridge; health","livelihoods; agriculture; portable secondary; teacher support","displacement and educational interruption","mirrorable non-tracking offline package; audio/print","G1|G3|G7|G24","medium-low","Do not merge S'gaw with Pwo Karen languages"
rhg-Rohg,"Rohingya; Hanifi core","Rohingya displaced and host-community strata","Rohg","early-childhood|primary|lower-secondary|vocational-adult|health","foundation; host-language bridge; health; safety","accelerated secondary; livelihoods; finance; tertiary re-entry","displacement; limited formal continuity; health-information barriers","offline/non-tracking; audio; Hanifi plus separately tagged access scripts","G1|G6|G7|G16|G24","medium","Hanifi Latin and Arabic-derived access editions must be separately tagged"
vi-Latn-VN,"Vietnamese","Viet Nam national and research-language users","Latn","upper-secondary|vocational-adult|undergraduate|postgraduate|research|accessibility","secondary STEM; first-year quantitative bridge; research methods","computing/data; professional health; advanced STEM; open science","stronger foundation shifts value toward advanced/open access and professional capacity","offline/source/print; local code/data; bilingual metadata","G14|G15|G27","medium","Do not use national outcomes to erase ethnic-minority early-language needs"
th-Thai-TH,"Standard Thai","Thailand national instructional/public-language users","Thai","lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research","mathematics/science progression; health; digital/financial capability","TVET; computing/data; degree and research methods; open science","moderate national foundation gap and tertiary English bridge","offline/source/print; worked solutions; bilingual academic terms","G14|G15|G27","medium","National Thai is not evidence of coverage for Isan Pattani Malay Northern Thai or Northern Khmer"
tts-Thai-TH,"Isan language; Thai-script contemporary literacy","Isan home-language users in northeast Thailand","Thai","early-childhood|primary|lower-secondary|vocational-adult","oral/foundation scaffold; Standard Thai bridge; health","agriculture/climate; TVET; finance; secondary scaffold","home-language versus national instructional-language transition; rural livelihoods","audio/print; Thai-Lao interoperability notes; offline","G1|G2|G3|G8","medium-low","Do not claim full Lao or Standard Thai equivalence"
mfa-Arab-TH,"Pattani Malay; Jawi core","Pattani Malay-language strata in southern Thailand","Arab","early-childhood|primary|lower-secondary|vocational-adult","foundation; Thai bridge; health","maritime livelihoods; TVET; finance; secondary catch-up","language-of-instruction transition and regional access","audio/print; Jawi plus separately tagged Latin access; offline","G1|G2|G3|G7","medium-low","Malay varieties and scripts require explicit locale tags"
km-Khmr-KH,"Khmer","Cambodia national instructional/public-language users","Khmr","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate","foundation recovery; mathematics/science; health; teacher education","TVET; climate/agriculture; first-year STEM; research methods","weak foundational learning plus low STEM/research participation","offline/print/mobile; full solutions; low-cost practicals","C8|G4|G12","high-medium","National Khmer does not cover Indigenous minority languages"
lo-Laoo-LA,"Lao","Lao PDR national instructional/public-language users","Laoo","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate","foundation recovery; mathematics/science; health; teacher education","agriculture/climate; TVET; first-year quantitative and research methods","foundation and rural-connectivity gaps","offline/print/audio; low-cost practicals; full solutions","G4|G5|G8","medium","National Lao does not automatically cover Khmu Hmong or other minority entrants"
sw-Latn-TZ-KE,"Kiswahili","Tanzania national-medium and East African bridge-language strata","Latn","primary|lower-secondary|upper-secondary|vocational-adult|teacher-education|undergraduate|postgraduate","foundation/catch-up; mathematics/science; health; teacher education","agriculture/climate; TVET; finance; computing; university and research methods where medium use is evidenced","cross-border bridge; learning poverty; English tertiary barrier; rural livelihoods","offline/print/mobile/audio; bilingual English search terms; full solutions","C4|G3|G8|G14|G20","medium-high","Country roles differ; do not award blanket East African comprehension"
ha-Latn-NG-NE,"Hausa; Latin core","Northern Nigeria and Niger Hausa-language strata","Latn","early-childhood|primary|lower-secondary|vocational-adult|teacher-education","foundation; national-language bridge; health","agriculture/climate; finance; TVET; secondary STEM; public information","large cross-border adult/health/agriculture reach in high-learning-poverty region","audio/radio/print/offline; Ajami separately tagged; practical modules","C14|G7|G8|G20","medium-high","Latin and Ajami editions require separate script QA"
yo-Latn-NG,"Yoruba","Yoruba-language strata in Nigeria","Latn","early-childhood|primary|lower-secondary|vocational-adult|upper-secondary","foundation; English bridge; health","enterprise finance; TVET; secondary STEM; computing","large home-language stratum in high-learning-poverty setting","audio/print/offline; bilingual glossary; practical cases","C14|G3|G10|G19","medium","Independent target; do not infer English coverage"
ig-Latn-NG,"Igbo","Igbo-language strata in Nigeria","Latn","early-childhood|primary|lower-secondary|vocational-adult|upper-secondary","foundation; English bridge; health","enterprise finance; TVET; secondary STEM; computing","large home-language stratum in high-learning-poverty setting","audio/print/offline; bilingual glossary; practical cases","C14|G3|G10|G19","medium","Dialect/standard choice requires explicit locale metadata"
pcm-Latn-NG,"Nigerian Pidgin","Nigerian Pidgin oral/public-information strata","Latn","vocational-adult|health|financial-digital|lower-secondary-support","health; digital/financial safety; adult functional literacy","livelihood/TVET explainers; disaster/public information; bridge content","wide oral reach for actionable public and adult material","audio-first; captions/transcripts; short mobile/offline modules","G6|G7|G10|G16","medium-low","Supplement not substitute for exact school/home languages"
am-Ethi-ET,"Amharic","Ethiopia federal/national public and school-language strata","Ethi","primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|teacher-education","foundation/catch-up; mathematics/science; health; teacher education","drought/agriculture; TVET; finance; first-year and research methods","large national bridge amid low connectivity and incomplete learning measurement","offline/print/audio; low-cost practicals; full solutions","G5|G7|G8|G20","medium","National role does not cover Oromo Somali Tigrinya or other exact languages"
om-Latn-ET,"Oromo","Oromo-language strata in Ethiopia and Kenya","Latn","early-childhood|primary|lower-secondary|vocational-adult|teacher-education","foundation; Amharic/English bridge; health","agriculture/drought; TVET; finance; secondary STEM; teacher support","large regional language; rural and pastoralist relevance","audio/print/offline; practical field modules; bilingual bridge","C15|G3|G7|G8","medium","Country and dialect profiles require tagging"
so-Latn-SO,"Somali","Somali-language strata in Somalia and Horn displacement settings","Latn","early-childhood|primary|lower-secondary|vocational-adult|health|teacher-education","foundation/catch-up; health; teacher education","drought/pastoralism; agriculture/livestock; TVET; finance; portable secondary","conflict/displacement and recurrent drought","non-tracking offline; audio/print; radio-compatible; mirrorable","C15|G7|G8|G24","medium","Somalia Kenya Ethiopia and diaspora curriculum contexts differ"
ti-Ethi-ET-ER,"Tigrinya","Tigrinya-language strata in Ethiopia and Eritrea","Ethi","early-childhood|primary|lower-secondary|vocational-adult|health","foundation; national/host-language bridge; health","agriculture/drought; TVET; portable secondary; teacher support","conflict/displacement and rural access","offline/non-tracking; audio/print; mirrorable","G3|G7|G8|G24","medium-low","Ethiopia and Eritrea locale/curriculum profiles should be separate"
ar-Arab-MENA,"Modern Standard Arabic","Arabic-medium school public tertiary and research strata across MENA","Arab","early-childhood-bridge|primary|lower-secondary|upper-secondary|vocational-adult|undergraduate|postgraduate|research","language-rich MSA bridge; literacy/numeracy; mathematics/science; health","TVET; computing/data; finance; degree spines; research methods; advanced open science","more than half of MENA children in learning poverty; MSA/home-variety distance","offline/print/audio; vocalized early text; colloquial scaffolds; bilingual research terms","C16|G14|G15","high","MSA is a shared formal register not proof that one edition fully serves every country or colloquial community"
ary-Arab-MA,"Moroccan Arabic; Darija","Moroccan Darija home-language strata","Arab","early-childhood|primary|vocational-adult|health|lower-secondary-support","oral/foundation scaffold; MSA/French bridge; health","finance; TVET; climate/water; secondary support","distance between home variety and formal school/academic languages","audio-first; Arabic-script and separately tagged Latin access; offline","C16|G1|G6|G16","medium","Supplement to MSA not automatic substitute; regional variety must be tagged"
fa-Arab-IR,"Iranian Persian","Iran national and research-language users","Arab","upper-secondary|undergraduate|postgraduate|research|vocational-adult","accessible STEM; research methods; open science; health","advanced mathematics/science; computing/data; professional and specialist research","large non-English research and tertiary population","searchable source; MathML; bilingual metadata; offline code/data","G14|G15|G27","medium","Do not treat Persian as automatic Dari or Tajik coverage"
prs-Arab-AF,"Dari","Dari-language strata in Afghanistan and displacement settings","Arab","early-childhood|primary|lower-secondary|vocational-adult|health|upper-secondary","portable foundation/catch-up; health; safety","TVET; agriculture/water; finance; secondary/tertiary re-entry","conflict/displacement and academic-language interruption","small offline/non-tracking units; audio/print; mirrorable","G3|G6|G7|G24","medium","Separate from Iranian Persian and Tajik; preserve locale terminology"
ps-Arab-AF,"Afghan Pashto","Pashto-language strata in Afghanistan","Arab","early-childhood|primary|lower-secondary|vocational-adult|health|upper-secondary","portable foundation/catch-up; health; safety","TVET; agriculture/water; finance; secondary/tertiary re-entry","conflict/displacement and academic-language interruption","small offline/non-tracking units; audio/print; mirrorable","G3|G6|G7|G24","medium","Separate curriculum/context profile from Pakistan Pashto"
ku-Latn-TR,"Kurmanji Kurdish; Latin script","Kurmanji-language strata in Türkiye and diaspora","Latn","early-childhood|primary-support|vocational-adult|health|secondary-support","home-language literacy; Turkish/host-language bridge; health","TVET; finance; secondary STEM terminology; tertiary re-entry","minority/displacement and host-language barriers","audio/print/offline; bilingual bridge; locale-tagged","G1|G6|G16|G24","medium-low","Do not merge with Sorani or other Kurdish languages/scripts"
ckb-Arab-IQ,"Sorani Kurdish","Sorani-language strata in Iraq and Iran","Arab","early-childhood|primary|lower-secondary|vocational-adult|undergraduate","foundation; Arabic/Persian bridge; health","TVET; finance; secondary STEM; first-year and research methods","distinct school/public language with regional academic-language bridges","offline/print/audio; bilingual terminology","G1|G3|G6|G14","medium-low","Independent from Kurmanji; country locale matters"
ht-Latn-HT,"Haitian Creole; Kreyòl","Haiti Kreyòl-speaking population","Latn","early-childhood|primary|lower-secondary|vocational-adult|health|upper-secondary|undergraduate","complete foundation/catch-up; French bridge; mathematics/science; health","disaster/hurricane; agriculture; TVET; finance/management; teacher education; first-year bridge","home-language/national academic-language divide and disaster exposure","offline/mobile/audio/print; full solutions; French bridge; mirrorable","G1|G3|G6|G8|G24","medium-high","Kreyòl is not simplified French and French is not automatic coverage"
quy-Latn-PE,"Ayacucho Quechua","Ayacucho Quechua-language strata in Peru","Latn","early-childhood|primary|vocational-adult|health|teacher-education","community-language literacy/numeracy; Spanish bridge; health","agriculture/climate; finance; secondary support; teacher/community-worker material","Indigenous language and rural health/agriculture access","audio/print/offline; culturally grounded examples; bilingual bridge","G1|G8|G9|G21","medium-low","One exact Quechua variety; never label as all Quechua"
gn-Latn-PY,"Paraguayan Guaraní","Guaraní-language strata in Paraguay","Latn","early-childhood|primary|lower-secondary|vocational-adult|health","foundation; Spanish bridge; health","agriculture/climate; finance; secondary STEM terminology; teacher support","large bilingual population with distinct home/public language roles","audio/print/offline; bilingual glossary; local examples","G1|G3|G8|G21","medium","Paraguayan standard does not cover all Guaraní varieties"
ins-IN,"Indian Sign Language","Deaf and hard-of-hearing ISL-using strata in India","signed-video","primary|lower-secondary|upper-secondary|vocational-adult|health|undergraduate","video-native mathematics/science; health; digital/financial safety","TVET; tertiary STEM terminology; teacher/family support","documented demand and existing secondary/senior-secondary precedent","downloadable video; captions; transcripts; diagrams; low-bandwidth chapters","G22|G23","high-medium","Video-native sign language is not a word-for-word Hindi or English derivative"
csl-CN,"Chinese Sign Language","Deaf and hard-of-hearing CSL-using strata in China","signed-video","primary|lower-secondary|upper-secondary|vocational-adult|health|undergraduate","video-native mathematics/science; health; digital/financial safety","TVET; tertiary STEM/research terminology; teacher/family support","education and employment access barriers associated with hearing loss","downloadable video; Hans captions; transcripts; clear diagrams","G23","medium-low","Regional CSL varieties and written-Chinese literacy profiles require tagging"
bzs-BR,"Brazilian Sign Language; Libras","Deaf and hard-of-hearing Libras-using strata in Brazil","signed-video","primary|lower-secondary|upper-secondary|vocational-adult|health|undergraduate","video-native mathematics/science; health; digital/financial safety","TVET; tertiary STEM terminology; teacher/family support","education and employment access barriers associated with hearing loss","downloadable video; Portuguese captions; transcripts; clear diagrams","G23","medium-low","Libras is independent from Portuguese and other sign languages"
es-Latn-419,"Spanish; Latin America regional profile","Spanish-language learners and researchers in Latin America","Latn","research|postgraduate|undergraduate|vocational-adult|accessibility","research methods; open science; accessible advanced STEM","frontier monographs; climate/agriculture; computing/data; professional updates","large existing ecosystem shifts marginal value toward open advanced and specialist gaps","source/HTML/MathML/EPUB; bilingual metadata; offline code/data","G14|G15|G27","medium","Negative control for generic foundation; country and Indigenous-language strata remain separate"
fr-Latn-FR,"French","French-language advanced education and research stratum","Latn","research|postgraduate|accessibility","open science; reproducibility; accessible advanced reference","frontier monographs and specialist updates","resource-rich control; use only field-specific verified gaps","source/HTML/MathML; open data/code","G14|G27","medium","Do not use metropolitan French coverage as proof for African home-language access"
de-Latn-DE,"German","German-language advanced education and research stratum","Latn","research|postgraduate|accessibility","open science; reproducibility; accessible advanced reference","frontier monographs and specialist updates","resource-rich control; use only field-specific verified gaps","source/HTML/MathML; open data/code","G14|G27","medium","Negative control for generic school translation"
ru-Cyrl-RU,"Russian","Russian-language advanced education and research stratum","Cyrl","research|postgraduate|undergraduate|accessibility","open science; current methods; accessible advanced STEM","frontier monographs; computing/data; specialist professional updates","large scientific-language ecosystem with current/open/accessibility gaps to audit","source/HTML/MathML; bilingual metadata; offline code/data","G14|G15|G27","medium","Do not treat Russian as automatic coverage of Ukrainian Central Asian or minority languages"
