bridge_id,bridge_name,bridge_class,code_status,communities_potentially_served,communities_explicitly_not_served,scripts_or_modalities,zero_study_evidence,learned_or_exposure_evidence,shared_source_parallel_standard_reuse,script_conversion_role,speculative_construction,evidence_grade,math_worked_examples_modifier,math_definition_theorem_modifier,math_proof_modifier,math_word_problem_modifier,unique_gain_rule,double_count_rule,uncertainty_and_evidence_gap,current_evidence_disposition,source_ids,source_urls_or_dois
IL011,"Dutch–Afrikaans written receptive pair","natural-language receptive pair","established natural standards; asymmetric written evidence","Dutch readers of Afrikaans and Afrikaans readers of Dutch, separately; literate standard users","Other West Germanic communities; Low German, Frisian, Yiddish and English speakers by inference; spoken reach without testing","Dutch and Afrikaans Latin orthographies","A newspaper-article cloze study found written comprehension in both directions and an asymmetry: Dutch participants understood Afrikaans more easily than South African participants understood Dutch.","No fixed training burden or mathematical transfer estimate; English exposure may contribute and must be modelled.","High potential for aligned terminology/false-friend support, but a Dutch edition cannot be treated as an Afrikaans edition or vice versa.","Not primarily script conversion.","No.","B","Possible positive for written examples; no math-specific test.","No automatic credit; false friends and technical terms remain.","No direct evidence.","No direct evidence.","Count only directional readers whose functional access crosses the endpoint beyond own-language and English routes.","Separate directions; subtract English and second-language overlap; never extend to Germanic family totals.","Newspaper cloze rather than education; sample/domain and English exposure limit generalization.","Evidence-backed natural-pair aid.","S09;S23;S24","https://doi.org/10.1093/llc/fql036; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL012,"Indonesian–Standard Malay pluricentric bridge","shared-source parallel natural standards","established national standards with high mutual intelligibility; cross-standard technical reach unmeasured","Bahasa Indonesia; Malaysian Standard Malay; Brunei Standard Malay; Singapore Standard Malay, each as a labelled output; Jawi-literate strata only when a Jawi arm is supplied","Other Malayic languages and local Malay varieties; hundreds of Indonesian regional languages; colloquial Brunei Malay; readers lacking learned standard proficiency","Rumi/Latin national standards; Jawi as separate Malaysian/Bruneian/community arm","Peer-reviewed description reports high mutual intelligibility among the formal standards, while Indonesian is lexically most divergent and informal/local varieties may diverge sharply. No representative mathematical comprehension test was located.","MABBIM provides institutional terminology coordination; cross-border exposure and national schooling are learned components, not inherited comprehension estimates.","Very high: one semantic source with separately labelled Indonesian, Malaysian/Bruneian/Singapore term layers, controlled variant mapping and optional Jawi output.","Rumi↔Jawi conversion is a separate literacy and QA arm; it cannot be assumed to serve all Malay-standard users.","No for standards; yes for a fictitious single 'Pan-Malay' register or blanket Malayic-family reach.","B-","Possible positive for formal symbol-dense material; terminology layer required.","No automatic credit; national lexical differences can carry mathematical definitions.","No direct evidence.","No direct evidence; colloquial/local forms and false friends matter.","Count readers of each labelled standard who gain access beyond their strongest existing language; cross-standard spillover only for independently bounded comprehension.","Use complete profiles across Indonesian, Standard Malay, English and local languages; do not add national-standard populations or count the same bilingual twice.","No representative technical transfer study; national L2 proficiency and Rumi/Jawi literacy distributions needed.","Strong shared-source parallel-standard case, not one interlanguage.","S10;S11;S23;S24","https://doi.org/10.1017/S002510031100017X; https://dbp.gov.my/majlis-bahasa-brunei-darussalam-indonesia-malaysia-mabbim/; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL013,"Bosnian–Croatian–Montenegrin–Serbian (BCMS) parallel standards","shared-source pluricentric natural standards","four named standards; high everyday mutual intelligibility; technical endpoint unmeasured","Bosnian, Croatian, Montenegrin and Serbian readers through labelled standard outputs; Serbian Latin/Cyrillic literacy treated separately","Slovenian, Macedonian, Bulgarian and other South Slavic communities; diaspora readers lacking standard literacy; anyone served only by erased/merged labels","Bosnian/Croatian/Montenegrin Latin; Serbian Latin and Cyrillic","Uppsala University states speakers in Croatia, Serbia, Montenegro and Bosnia-Herzegovina communicate without problems and that grammar is largely common while pronunciation/vocabulary differ; this is institutional description, not a mathematical test.","Historical common schooling/media contributes; direction-specific training burden not measured.","Very high: common semantic source, labelled lexical variants, dual Serbian scripts, identical formulas and standard-specific metadata.","Serbian Latin↔Cyrillic is a separate delivery/QA arm; script literacy cannot be inferred from language identity.","No for standards; yes for any neutralized code that erases named standards.","B-/C+","Possible positive for aligned examples.","No automatic credit; terminology preference and exact wording must be standard-specific.","No direct evidence, although grammar reuse is promising.","No direct evidence.","Count each reader once under the labelled output that produces access; cross-standard spillover only when needed and bounded.","Union by full language/script profile; no four-way addition; subtract English/German and existing BCMS-standard access.","No representative technical comprehension measure; script and national terminology distributions needed.","Deployable shared-source parallel standards.","S12;S23","https://www.uu.se/en/study/subject/serbian-croatian-bosnian; https://doi.org/10.3389/fpsyg.2015.00348"
IL014,"Iranian Persian–Afghan Dari–Tajik parallel registers","shared-source related natural registers plus digraphia","three principal labelled standards/registers; formal mutual intelligibility reported; cross-script reading blocked","Iranian Persian and Afghan Dari readers in Perso-Arabic script; Tajik readers in Tajik Cyrillic; each territory/community separately; Bukharan and other communities only with direct evidence","All Iranic peoples; Kurdish, Pashto, Balochi and other non-Persian languages; Bukharan/Aimaq/Hazara communities by automatic inference; Tajik readers of Perso-Arabic without literacy","Perso-Arabic for Iranian Persian/Dari; Tajik Cyrillic; transliteration as infrastructure","ParsText reports that formal registers maintain high mutual intelligibility but Tajikistan's Persian speakers cannot read Iranian/Afghan texts because of script; it supplies 2,813 aligned sentences, not an educational-comprehension test.","Script learning/transliteration and regional terminology exposure are required; no fixed burden or mathematical transfer estimate.","High: one semantic source with register-specific wording, both scripts and auditable transliteration; standard labels remain explicit.","Central: transliteration can lower production cost but is not comprehension evidence; omitted vowels, names, morphology and technical terms require audit.","No for standards; yes for treating all Iranic or all Persian-speaking communities as one accessible script/register.","B-","Possible positive after script/terminology mapping.","No automatic credit; technical definitions and object marking must be validated.","No direct evidence; discourse and referents remain.","No direct evidence.","Count exact register×script readers crossing the endpoint; transliterated spillover only if independently tested.","Do not add umbrella Persian totals; subtract Persian/Dari/Tajik bilingualism, Russian/English proficiency and both-script literacy overlap.","No population-level technical endpoint; script and community variation; corpus is news/blog, not mathematics.","Strong shared-source, dual-script parallel-register case.","S13;S14;S23","https://aclanthology.org/2024.cawl-1.1/; https://doi.org/10.1017/S002510031300011X; https://doi.org/10.3389/fpsyg.2015.00348"
IL015,"Hindi–Urdu / Hindustani parallel registers","shared grammar with divergent formal lexicons and scripts","two named formal standards plus colloquial common core","Hindi readers in Devanagari and Urdu readers in Nastaliq/Perso-Arabic through separately labelled outputs; a common-core explanation only as an additional tested layer","Other Indo-Aryan languages; all Indians/Pakistanis; monoliterate readers of the other script; technical readers inferred from colloquial Hindustani","Devanagari; Perso-Arabic Nastaliq; Romanization only as optional navigation","Computational work reports shared grammar/basic vocabulary but 245 of 260 (about 94%; summarized by authors as 92%) school-mathematics lexical entries differed; thus everyday mutual intelligibility is not a technical bridge. Separate script is an additional barrier.","Colloquial exposure is widespread but formal Sanskritized Hindi and Perso-Arabic Urdu require distinct learned lexicons; no common technical acquisition-time estimate.","Very high grammar/semantic-source reuse with separate Hindi/Urdu terminology and scripts; shared grammar does not justify one technical vocabulary.","Central: transliteration helps alignment/search but cannot translate divergent technical lexicons; Nastaliq layout is its own QA arm.","No for standards; yes for a single technical 'Hindustani' edition presumed to serve both.","B","Formula structure can be shared, but technical word divergence limits direct spillover.","No automatic credit; the reported mathematics lexicon divergence directly affects definitions.","Grammar reuse helps production, not necessarily reader access; proof lexicon remains distinct.","No automatic credit; ordinary Hindustani helps narrative but formal math terms may not.","Count readers of each labelled standard separately; a common-core layer receives only independently tested added readers.","Full profiles across Hindi, Urdu, English and both scripts; do not sum broad Hindi grouping with Urdu or count bilinguals twice.","Lexicon study is computational/corpus-based rather than learner comprehension; population proficiency and exact regional varieties remain unresolved.","Strong shared-source parallel standards; reject one-script/one-lexicon substitution.","S15;S16;S23;S24","https://research.chalmers.se/publication/170274; https://aclanthology.org/C16-1039/; https://doi.org/10.3389/fpsyg.2015.00348; https://doi.org/10.1177/09567976261435965"
IL016,"Modern Standard Arabic (MSA)","learned supranational standard / diglossic bridge","established formal standard; not a zero-study bridge for home-variety speakers","Readers with measured MSA literacy/proficiency in a named territory, age/stage and endpoint","Pre-school/early-grade home-variety speakers without sufficient MSA; non-Arabic languages in Arab-majority states; all Arabic umbrella speakers by default","Arabic script; accessible audio/plain-language or home-variety scaffolds are separate modalities","World Bank reports children start school learning to read/write MSA, which differs from home speech and has limited pre-school exposure; this directly rejects zero-study treatment for early learners.","MSA is acquired through schooling/media; proficiency varies by stage and setting. No single technical-proficient population total is available.","High for a formal MSA edition; home-variety oral/plain-language scaffolds and regional terminology may share source but remain separate products.","Not chiefly conversion, but unvocalized/vocalized Arabic, screen-reader math and typography are distinct delivery choices.","No.","B","Positive for readers already proficient in MSA; no bridge bonus for early learners.","No bonus beyond measured MSA proficiency; formal definitions depend on register literacy.","No bonus beyond measured MSA proficiency.","Potentially negative for early learners because diglossia compounds narrative language.","Count only MSA-proficient strata newly accessing the material; younger/home-variety-only learners require separate access deltas.","One learner once across home variety, MSA, English/French and other languages; never use an Arabic umbrella total as technical reach.","Territory/stage proficiency distributions and technical-reading endpoints are missing; home varieties heterogeneous.","Established learned-standard target with stage-specific bounds, not an interlanguage multiplier.","S17;S23","https://www.worldbank.org/en/region/mena/publication/advancing-arabic-language-teaching-and-learning-path-to-reducing-learning-poverty-in-the-middle-east-and-north-africa; https://doi.org/10.3389/fpsyg.2015.00348"
IL017,"Kiswahili","learned regional lingua franca / natural language","established L1/L2 standard; technical L2 proficiency unmeasured","Named L1 and proficient L2 Kiswahili readers in Tanzania, Kenya, Uganda, Rwanda, Burundi, eastern/central DRC and other evidenced settings","Other Bantu languages by genealogical inference; all East/Central Africans; local-language-only learners; Ajami readers without a supplied/tested arm","standard Latin; Ajami only for separately evidenced communities","Institutional evidence establishes wide bridge use, not zero-study intelligibility with neighboring Bantu languages; family relationship provides no population credit.","L2 reach is acquired through schooling, trade, media and policy, with large setting-specific variation; technical literacy is not equivalent to reported use.","High for one standard Kiswahili semantic edition plus regional glossary/level variants; it cannot replace local-language editions.","Ajami conversion is a separate community/script intervention, not automatic reach.","No.","B-/C+","Positive only for readers already technically proficient; formal notation may reduce prose burden.","No automatic bridge bonus; terminology familiarity is required.","No automatic bridge bonus.","No automatic bridge bonus; local context and narrative language remain.","Count exact L1/proficient-L2 strata where the Kiswahili edition adds access beyond local language and English/French/Arabic routes.","Territory-specific union; separate L1/L2/academic proficiency; do not use a headline global speaker/user count as technical reach.","Technical-reading proficiency, stage distribution, regional terminology and accessibility evidence are incomplete.","Established learned natural-language bridge with territory-specific bounds.","S18;S23","https://www.unesco.org/en/articles/kiswahili-bridge-cultural-diversity-dialogue-and-digital-innovation; https://doi.org/10.3389/fpsyg.2015.00348"
IL018,"Russian in post-Soviet Central Asia","existing learned academic lingua franca / overlap control","established natural language; changing learned reach","Russian-proficient readers in each named country, cohort, stage and subject where current evidence supports technical use","National-language-only and younger cohorts without sufficient Russian; all residents of Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan or Turkmenistan; non-Russian minorities by default","Cyrillic; national-language Latin/Cyrillic/Perso-Arabic scripts remain separate","Higher-education literature documents continuing Russian use; this is evidence of acquired institutional access, not inherited comprehension or a current cross-country proficient population.","Schooling, media, migration and institutional history create acquired proficiency that changes by cohort/country.","Existing Russian resources are baseline overlap; parallel national-language editions may share formulas/semantic source but Russian is not an interlanguage to construct.","Cyrillic literacy cannot be transferred automatically to countries/communities shifting scripts.","No.","B-/C+","Positive only for already proficient readers; no extra bridge bonus.","No bonus beyond measured technical proficiency.","No bonus beyond measured technical proficiency.","No bonus beyond measured proficiency and context fit.","Count only current Russian-proficient strata for whom a new Russian package adds access; often Russian instead reduces the marginal gain of another target as baseline overlap.","Country×cohort×stage profiles; subtract national-language, English and other academic-language access; never use regional population.","No harmonized current proficiency denominator; cohort and policy change; publication access source is chapter-level.","Existing overlap/control layer, not a constructed bridge recommendation.","S19","https://academic.oup.com/book/33520/chapter-abstract/287857725"
IL019,"Esperanto","learned international auxiliary language","stable learned code; no zero-study natural-language coverage","Actual Esperanto learners/users who meet the educational endpoint","Any natural-language family or global population; readers inferred from European cognates; people not trained in Esperanto","Latin alphabet with Esperanto diacritics","No zero-study natural-language coverage is established. The acquisition review concerns instructed Esperanto, not immediate comprehension.","Maxwell's review says limited experiments support relative ease but are challengeable because many learning variables were uncontrolled; no technical-learning population or burden is established here.","A semantic source can generate an Esperanto edition for its learned community; it does not substitute for natural editions.","Unicode/diacritic handling is a rendering arm, not a major language bridge.","No for the code; yes for global reach inferred from design.","B-/C for learning; D for zero-study reach","Regular morphology may aid production after learning; no math-specific comprehension result.","No credit absent proficiency.","No credit absent proficiency.","No credit absent proficiency.","Count only actual proficient users lacking equivalent access, net of their other languages; include acquisition cost for any training-based intervention.","No global/family multiplier; complete profile includes native languages, English/other L2s and Esperanto proficiency.","Old heterogeneous acquisition experiments, no current census, no technical endpoint.","Learned-community target/control only.","S20;S23","https://doi.org/10.1017/S0272263100006951; https://doi.org/10.3389/fpsyg.2015.00348"
IL020,"International Sign","learned/adaptive signed contact practice","contact practice, not universal standardized sign language","Deaf signers with prior international contact or tested comprehension of a specified International Sign presentation; conference/expository endpoint only unless separately tested","All Deaf people; users of any national or village sign language by default; children needing a first/national sign language; non-signers","video/visual-gestural modality; captions, national sign-language versions and written text are separate modalities","International Sign is a contact phenomenon; WFD guidance states it is not known by every deaf person. Empirical work is conference/expository and reports variation by sign source and signer experience; it is not zero-study universal comprehension.","Acquired through international contact and adaptation. A study cited in the literature tested 32 Deaf participants in five countries; population reach and educational learning transfer remain unmeasured.","Can provide an additional international summary and reusable diagrams, but national/natural sign-language editions remain separate language products.","No script conversion: sign-language structure is independent of surrounding spoken/written languages; video production is a distinct modality cost.","No for the contact practice; yes for treating it as a unified universal language or standardized replacement.","B-/C for conference use; D for universal education","Spatial depiction may help diagrams for experienced users; this is not a universal math notation bridge.","No automatic credit; technical lexicon, quantifiers and fingerspelling require language/contact proficiency.","No automatic credit; referent tracking and discourse structure must be understood.","No automatic credit; contextual language and numeracy signs vary.","Count only tested signers crossing a specified expository/educational endpoint beyond their national sign, written and interpreted access.","One signer once across national/village sign languages, International Sign experience, captions and written-language proficiency; never use global Deaf population.","Sparse population-representative evidence, strong experience effects, no school-math endpoint, high modality/production heterogeneity.","Additional contact-layer summary only; never substitute for named sign-language editions.","S21;S22;S27;S23","https://wfdeaf.org/wfd-statement-on-standardized-sign-language/; https://doi.org/10.2307/j.ctv2rr3fnt; https://doi.org/10.1146/annurev-linguistics-011724-121636; https://doi.org/10.3389/fpsyg.2015.00348"
