portfolio_member_id,candidate_id,candidate_label,portfolio_lane,expectation_group,profile_scope,stages_to_investigate,stage_labels,hypothesis_ids_json,current_route_count,current_route_ids_json,stages_with_routes,stages_without_routes,readiness_status,high_reach_evidence_cell_ids_json,typed_population_summaries_json,evidence_band,initial_package_hypotheses_json,top10_program_ids_json,selection_status,ordinal_rank,possible_outranker,exclusion_allowed,funding_rank,outside_portfolio_possible_outranker_entities,next_evidence_action,row_sha256
P100-011,hypothesis-candidate:011,Standard Kiswahili,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin; national standards and L1/L2 learning routes separately,F|S|V|U,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"[""H01"",""H02"",""H10""]",1,"[""SW-S-TZ""]",S,P|F|V|U|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-SW-GLOBAL-USERS"",""PACKAGE-PKG-KISWAHILI-MULTISTANDARD""]","[{""cell_id"":""LANG-LLPS-SW-GLOBAL-USERS"",""label"":""Kiswahili cross-border user community"",""measure_class"":""cross_border_mixed_l1_l2_lower_bound"",""population_base"":null,""population_high"":null,""population_low"":200000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""bridge_package_context_only""},{""cell_id"":""PACKAGE-PKG-KISWAHILI-MULTISTANDARD"",""label"":""Kiswahili multi-standard parallel package"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":null,""population_high"":null,""population_low"":200000000,""population_unit"":""mixed L1/L2 users"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; bridge_package_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods""]","[""T10-DRC-MULTILINGUAL-DISPLACEMENT"",""T10-SWAHILI-MULTISTANDARD""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",D10FD7E33A10A76A17A9B3CF674FAD2365553FBE3324DD0E5966D1E65B056600
P100-012,hypothesis-candidate:012,Modern Standard Arabic,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,"Learned written register; country, schooling and vernacular profiles separately",S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H04"",""H06""]",14,"[""AI_MSA1_FULL-F"",""AI_MSA1_FULL-S"",""AI_MSA1_SMALL-F"",""AI_MSA1_SMALL-S"",""AI_MSA2_FULL-F"",""AI_MSA2_FULL-P"",""AI_MSA2_SMALL-F"",""AI_MSA2_SMALL-P"",""AI_MSA3_FULL-R"",""AI_MSA3_FULL-U"",""AI_MSA3_FULL-V"",""AI_MSA3_SMALL-R"",""AI_MSA3_SMALL-U"",""AI_MSA3_SMALL-V""]",P|F|S|V|U|R,,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-AR-UMBRELLA-SPEAKERS"",""LANG-LLPS-ARB-MSA-EDU-EXPOSURE-2025""]","[{""cell_id"":""LANG-LLPS-AR-UMBRELLA-SPEAKERS"",""label"":""Arabic umbrella speaker context"",""measure_class"":""macrolanguage_speaker_estimate"",""population_base"":450000000,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_macrolanguage""},{""cell_id"":""LANG-LLPS-ARB-MSA-EDU-EXPOSURE-2025"",""label"":""Modern Standard Arabic written/educational register"",""measure_class"":""territorial_educational_exposure_ceiling"",""population_base"":503356133,""population_high"":503356133,""population_low"":503356133,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_requires_literacy_and_education_exposure_adjustment""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-ARABIC-REGISTER-INTERFACES""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",F0301236025417F4C0DF7751AF6E754371BE6DEBAF4AC701220EB0E11E7DEC14
P100-013,hypothesis-candidate:013,Brazilian Portuguese,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Brazil; independent provision and disadvantaged learners,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H07"",""H09""]",6,"[""PTBR-S"",""PTBR_BUSINESS_DATA-V"",""PTBR_REPRODUCIBLE_DATA-R"",""PTBR_REPRODUCIBLE_DATA-U"",""PTBR_SCIENCE_REENTRY-F"",""PTBR_SCIENCE_REENTRY-S""]",F|S|V|U|R,P,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,"[""LANG-LLPS-PT-GLOBAL-SPEAKERS""]","[{""cell_id"":""LANG-LLPS-PT-GLOBAL-SPEAKERS"",""label"":""Portuguese speakers; common core with regional overlays"",""measure_class"":""institutional_speaker_estimate"",""population_base"":265000000,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""package_context_only_until_country_variety_split""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",404FEBB0BF014011C24C8DC81A77E0FA2D17CDC09E1B098594974FD1039775E0
P100-014,hypothesis-candidate:014,"Spanish, Latin American educational profiles",HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,"Country-specific terminology and underserved routes, not a continent-wide count",F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H07"",""H11""]",5,"[""ES419_BUSINESS_DATA-V"",""ES419_REPRODUCIBLE_DATA-R"",""ES419_REPRODUCIBLE_DATA-U"",""ES419_SCIENCE_REENTRY-F"",""ES419_SCIENCE_REENTRY-S""]",F|S|V|U|R,P,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-ES-GLOBAL-NATIVE"",""LANG-LLPS-ES-GLOBAL-POTENTIAL"",""LANG-LLPS-ES-US-HOME-2023""]","[{""cell_id"":""LANG-LLPS-ES-GLOBAL-NATIVE"",""label"":""Spanish native-domain users; common written core with regional overlays"",""measure_class"":""institutional_native_speaker_estimate"",""population_base"":520000000,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""package_context_only_until_country_variety_split""},{""cell_id"":""LANG-LLPS-ES-GLOBAL-POTENTIAL"",""label"":""Spanish potential users"",""measure_class"":""mixed_native_limited_and_learner_estimate"",""population_base"":null,""population_high"":null,""population_low"":630000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_mixed_definition""},{""cell_id"":""LANG-LLPS-ES-US-HOME-2023"",""label"":""Spanish home-language users age 5+"",""measure_class"":""home_language"",""population_base"":43369734,""population_high"":43504081,""population_low"":43235387,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",C74EBDFCA833BF1912F1C175D3C2C2C0125C45928306989EDE53E012BC1C36C2
P100-015,hypothesis-candidate:015,"English, underserved learner profiles",HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Territory and capability cells; targeted open/offline/accessible gaps,F|S|V|U|R,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H05"",""H08"",""H09""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,"[""LANG-LLPS-EN-AU-HOME-2021"",""LANG-LLPS-EN-CA-KNOWLEDGE-2021"",""LANG-LLPS-EN-GLOBAL-MIXED"",""LANG-LLPS-EN-US-HOME-2023""]","[{""cell_id"":""LANG-LLPS-EN-AU-HOME-2021"",""label"":""English-only home-language users"",""measure_class"":""home_language"",""population_base"":18303662,""population_high"":18303662,""population_low"":18303662,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure_partial_global_coverage""},{""cell_id"":""LANG-LLPS-EN-CA-KNOWLEDGE-2021"",""label"":""English knowledge in private households"",""measure_class"":""reported_ability"",""population_base"":31628570,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure_partial_global_coverage""},{""cell_id"":""LANG-LLPS-EN-GLOBAL-MIXED"",""label"":""English users of varying proficiency"",""measure_class"":""mixed_l1_l2_ability_estimate"",""population_base"":null,""population_high"":null,""population_low"":1500000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_global_mixed_definition""},{""cell_id"":""LANG-LLPS-EN-US-HOME-2023"",""label"":""English-only home-language users age 5+"",""measure_class"":""home_language"",""population_base"":245472067,""population_high"":245693454,""population_low"":245250680,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""eligible_direct_typed_measure_partial_global_coverage""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_NO_CURRENT_ROUTE,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",CD163CFBC3C32CF531C4A2F3368B7801287A5A68654A0D2DDF3532B35F67C58B
P100-016,hypothesis-candidate:016,"French, underserved learner profiles",HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,African and other contexts separately; French ability cannot cover all residents,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H02"",""H05"",""H10""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,"[""LANG-LLPS-FR-GLOBAL-FRANCOPHONES""]","[{""cell_id"":""LANG-LLPS-FR-GLOBAL-FRANCOPHONES"",""label"":""Francophones under OIF method"",""measure_class"":""institutional_country_modeled_speaker_estimate"",""population_base"":396000000,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""provisionally_rankable_only_after_country_rows_imported""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_NO_CURRENT_ROUTE,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",993568EFC5CC2763ED5FAF1628017CD6BF0472FE596C839EBD803509D8F0C43E
P100-017,hypothesis-candidate:017,Turkish,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin; Türkiye and diaspora separately,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H05"",""H10""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,"[""LANG-LLPS-TR-TR-EXPOSURE-2024""]","[{""cell_id"":""LANG-LLPS-TR-TR-EXPOSURE-2024"",""label"":""Turkish of Turkiye, population/exposure context"",""measure_class"":""territorial_exposure_ceiling"",""population_base"":null,""population_high"":85664944,""population_low"":80000000,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""partially_identified_language_population_interval""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_NO_CURRENT_ROUTE,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",63315CB941B85BC299A96B4792FB0C254747EF5A2E3718CDCF8F5DFDACF024AB
P100-018,hypothesis-candidate:018,Iranian Persian,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Perso-Arabic; distinguish Dari and Tajik,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H05"",""H06""]",16,"[""AI_PES1_FULL-F"",""AI_PES1_FULL-S"",""AI_PES1_SMALL-F"",""AI_PES1_SMALL-S"",""AI_PES2_FULL-S"",""AI_PES2_FULL-U"",""AI_PES2_FULL-V"",""AI_PES2_SMALL-S"",""AI_PES2_SMALL-U"",""AI_PES2_SMALL-V"",""AI_PES3_FULL-R"",""AI_PES3_FULL-U"",""AI_PES3_SMALL-R"",""AI_PES3_SMALL-U"",""AI_PES_P_EARLY_SCIENCE_FULL-P"",""AI_PES_P_EARLY_SCIENCE_SMALL-P""]",P|F|S|V|U|R,,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,"[""LANG-LLPS-PERSIAN-BRIDGE-GLOBAL"",""LANG-LLPS-PES-IR-EXPOSURE-2024"",""PACKAGE-PKG-PERSIAN-PARALLEL""]","[{""cell_id"":""LANG-LLPS-PERSIAN-BRIDGE-GLOBAL"",""label"":""Iranian Persian-Dari-Tajik parallel-standard community"",""measure_class"":""cross_standard_speaker_estimate"",""population_base"":110000000,""population_high"":null,""population_low"":null,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""parallel_package_context_only""},{""cell_id"":""LANG-LLPS-PES-IR-EXPOSURE-2024"",""label"":""Iranian Persian national educational exposure ceiling"",""measure_class"":""territorial_education_exposure_ceiling"",""population_base"":91567738,""population_high"":91567738,""population_low"":91567738,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_not_a_direct_language_count""},{""cell_id"":""PACKAGE-PKG-PERSIAN-PARALLEL"",""label"":""Iranian Persian-Dari-Tajik parallel-standard package"",""measure_class"":""parallel_or_common_core_package_population_context"",""population_base"":110000000,""population_high"":null,""population_low"":null,""population_unit"":""mixed cross-standard speakers"",""role"":""PARALLEL_COMMON_CORE_PACKAGE_CONTEXT_ONLY"",""source_rankability"":""not_a_language_rank_row; bridge_package_context""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",0E28E013AFE72F2CF7869729840CC8EB95F488B1E09BF040D687E748E37643A7
P100-019,hypothesis-candidate:019,Thai,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Thai script; standard versus other Thai-area languages,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H04"",""H05""]",2,"[""TH-S"",""TH_PRACTICAL_DIGITAL_ENTRY-V""]",S|V,P|F|U|R,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,"[""LANG-LLPS-TH-TH-EXPOSURE-2024""]","[{""cell_id"":""LANG-LLPS-TH-TH-EXPOSURE-2024"",""label"":""Thai official-language territorial exposure"",""measure_class"":""territorial_official_language_exposure_ceiling"",""population_base"":65951210,""population_high"":65951210,""population_low"":65951210,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_not_a_direct_language_count""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",40D9266F8336BD92B31D4318EBE8E3D1BE010A4B2CCC03C7F940A26FC0952397
P100-020,hypothesis-candidate:020,Burmese,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Myanmar script; distinguish other Myanmar languages,F|S|V|U,foundational/primary; secondary; vocational/technical/practical; university/taught tertiary,"[""H01"",""H04"",""H10""]",1,"[""MY_INTERRUPTED_SCIENCE_RESTART-S""]",S,P|F|V|U|R,ROUTE_HYPOTHESES_EXIST_NOT_GLOBALLY_COMPARABLE,[],[],ROUTES_PRESENT_WITHOUT_HIGH_REACH_POPULATION_CELL,"[""foundational literacy/numeracy, complete worked practice and downloadable answer-supported self-study"",""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",4D3666A4FB112A3D0492D267003E55E842D39C42CA164BDEDFF97A84788BD2DF
P100-021,hypothesis-candidate:021,Filipino,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin standard; Tagalog and other Philippine language access separately,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H02"",""H04""]",3,"[""FIL-S"",""PH_FIL_ALS-V"",""PH_FIL_FOUNDATION-F""]",F|S|V,P|U|R,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,"[""LANG-LLPS-FIL-PH-EXPOSURE-2024""]","[{""cell_id"":""LANG-LLPS-FIL-PH-EXPOSURE-2024"",""label"":""Filipino national education-language exposure"",""measure_class"":""territorial_educational_exposure_ceiling"",""population_base"":112729484,""population_high"":112729484,""population_low"":112729484,""population_unit"":""persons"",""role"":""LANGUAGE_POPULATION_BASIS_ONLY"",""source_rankability"":""context_only_not_a_direct_language_count""}]",SOURCE_BOUND_POPULATION_OR_PACKAGE_CONTEXT_AND_ROUTES_PRESENT,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]","[""T10-PH-MULTILINGUAL""]",CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",EC0A1212C7E3264D113E9CCACE652C00ADF5F45DA2AE7C62E5FE63376B551F4D
P100-022,hypothesis-candidate:022,"Standard Malay, Malaysia",HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Latin profile; Jawi and other regional standards separately,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H01"",""H05"",""H06""]",1,"[""MS-S""]",S,P|F|V|U|R,CONDITIONAL_THRESHOLD_ROUTE_EXISTS_NO_WINNER,[],[],ROUTES_PRESENT_WITHOUT_HIGH_REACH_POPULATION_CELL,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",3289B961CF734AA602EBDA4AC11E48EFDAC016E24E803145B1152D1E30210341
P100-023,hypothesis-candidate:023,Gujarati,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Gujarati script,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H02"",""H07"",""H11""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,[],[],PROSPECTIVE_PROFILE_NO_CURRENT_ROUTE_OR_HIGH_REACH_CELL_NOT_ZERO_NEED,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",F67EA77BEBF4BDDEE6B7074B24A524596CAEDA0381AB99152E5F4F8F15720036
P100-024,hypothesis-candidate:024,Kannada,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Kannada script,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H02"",""H07"",""H11""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,[],[],PROSPECTIVE_PROFILE_NO_CURRENT_ROUTE_OR_HIGH_REACH_CELL_NOT_ZERO_NEED,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",4629C2C64C445798C02897448A00E786B353AA647303562838F209BA620F60CF
P100-025,hypothesis-candidate:025,Odia,HIGH_REACH_AND_MAJOR_EDUCATIONAL_LANGUAGE,A. Broad-reach and major educational-language candidates,Odia script; standard versus census-group scope,S|V|U|R,secondary; vocational/technical/practical; university/taught tertiary; postgraduate/research,"[""H02"",""H04"",""H07""]",0,[],,P|F|S|V|U|R,IDENTITY_RETAINED_NO_ROUTE_YET_NOT_LOW_PRIORITY,[],[],PROSPECTIVE_PROFILE_NO_CURRENT_ROUTE_OR_HIGH_REACH_CELL_NOT_ZERO_NEED,"[""algebra, statistics, general science and computing with exercises, solutions and prerequisite repair"",""financial capability, accounting/business, health/safety and locally relevant technical or agricultural modules"",""open college mathematics, statistics, sciences, computing, business and social-science methods"",""Open Logic and source-faithful advanced/research mathematics or science with terminology and citation apparatus""]",[],CONDITIONAL_TOP100_RESEARCH_AND_PRODUCTION_CANDIDATE_NOT_ORDINAL_RANK,,true,false,,10525,"For at least one exact language/script/community and one stage-subject package, bind an exact audience, current supply, common endpoint, incremental effect, standardized physical compute and portfolio overlap.",0DFAA32B3781D2729E5C80069F73EA4E5FD9802AD1E8B0A3EB953F6FDCC97DBB
