proxy_position,row_id,reach_position,reach_row_id,language_code,iso639_3,language_name,script_code,edition_profile,plausibly_helped_low,plausibly_helped_point,plausibly_helped_high,compute_profile,compute_binding,compute_scenario_low,compute_scenario_point,compute_scenario_high,compute_unit,conditional_reach_per_million_fecu_low,conditional_reach_per_million_fecu_point,conditional_reach_per_million_fecu_high,physical_compute_status,allocation_status
21,COMMON100K:fa-Arab,21,CLDR48-EDITION:fa-Arab,fa,fas,Persian,Arab,"Persian, Arabic-script profile",62445912,79907297,88316362,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,15440288.586993475,50739748.19850995,114576835.7605931,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
22,COMMON100K:wuu-Hans,22,CLDR48-EDITION:wuu-Hans,wuu,wuu,Wu Chinese,Hans,"Wu Chinese, Simplified-script profile",59473680,76103957,84112776,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,14705378.672834534,48324693.23909465,109123332.33472137,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
23,COMMON100K:ta-Taml,20,CLDR48-EDITION:ta-Taml,ta,tam,Tamil,Taml,"Tamil, Tamil-script profile",63425696,81161052,89702056,tam_Taml,DIRECT_ISO6393_SCRIPT_PROFILE,923064.463228,1684247.627246,3666118.645785,fresh_equivalent_token_events,17300502.82822178,48188313.10020048,97178539.0657416,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
24,COMMON100K:ko-Kore,24,CLDR48-EDITION:ko-Kore,ko,kor,Korean,Kore,"Korean, Korean-script profile",55495102,71012872,78485930,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,13721641.058659513,45091942.53101838,101823368.93731432,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
25,COMMON100K:arz-Arab,27,CLDR48-EDITION:arz-Arab,arz,arz,Egyptian Arabic,Arab,"Egyptian Arabic, Arabic-script profile",49838656,63774747,70486099,arz_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,752075.565256,1415868.589407,3240816.176505,fresh_equivalent_token_events,15378427.31140265,45042843.29572592,93722096.89595105,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
26,COMMON100K:it-Latn,28,CLDR48-EDITION:it-Latn,it,ita,Italian,Latn,"Italian, Latin-script profile",49332723,63127344,69770566,ita_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,777695.941442,1445572.47431,3260689.708665,fresh_equivalent_token_events,15129536.204841133,43669442.46785822,89714453.01698728,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
27,COMMON100K:yue-Hans,25,CLDR48-EDITION:yue-Hans,yue,yue,Cantonese,Hans,"Cantonese, Simplified-script profile",51543856,65956762,72897739,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,12744661.516456597,41881400.34156141,94573554.43062276,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
28,COMMON100K:fil-Latn,26,CLDR48-EDITION:fil-Latn,fil,fil,Filipino,Latn,"Filipino, Latin-script profile",51238823,65566434,72466335,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,12669239.484850166,41633548.82889132,94013874.38793187,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
29,COMMON100K:gu-Gujr,29,CLDR48-EDITION:gu-Gujr,gu,guj,Gujarati,Gujr,"Gujarati, Gujarati-script profile",45938328,58783794,64969921,guj_Gujr,DIRECT_ISO6393_SCRIPT_PROFILE,863396.270838,1596197.446973,3523728.755865,fresh_equivalent_token_events,13036851.353424653,36827395.076640755,75249249.0347927,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
30,COMMON100K:ps-Arab,30,CLDR48-EDITION:ps-Arab,ps,pus,Pashto,Arab,"Pashto, Arabic-script profile",40644017,52009065,57482252,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,10049582.618229177,33024854.565408923,74574341.57617389,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
31,COMMON100K:th-Thai,31,CLDR48-EDITION:th-Thai,th,tha,Thai,Thai,"Thai, Thai-script profile",39155760,50104656,55377432,tha_Thai,DIRECT_ISO6393_SCRIPT_PROFILE,906105.508344,1677043.521282,3625169.345625,fresh_equivalent_token_events,10801084.381686814,29876777.414636187,61115876.12043977,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
32,COMMON100K:pcm-Latn,33,CLDR48-EDITION:pcm-Latn,pcm,pcm,Nigerian Pidgin,Latn,"Nigerian Pidgin, Latin-script profile",34801809,44533235,49219701,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,8605046.465002013,28277832.12796035,63854958.129530974,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
33,COMMON100K:apc-Arab,36,CLDR48-EDITION:apc-Arab,apc,apc,Levantine Arabic,Arab,"Levantine Arabic, Arabic-script profile",30577770,39128052,43245703,apc_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,733911.173538,1387835.221781,3176451.838425,fresh_equivalent_token_events,9626391.821876815,28193586.231214985,58924982.42195089,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
34,COMMON100K:kn-Knda,32,CLDR48-EDITION:kn-Knda,kn,kan,Kannada,Knda,"Kannada, Kannada-script profile",36496467,46701760,51616432,kan_Knda,DIRECT_ISO6393_SCRIPT_PROFILE,932717.490466,1680106.136211,3650076.597225,fresh_equivalent_token_events,9998822.224099826,27796910.5602593,55339834.97426604,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
35,COMMON100K:or-Orya,35,CLDR48-EDITION:or-Orya,or,ori,Odia,Orya,"Odia, Odia-script profile",31564512,40390712,44641238,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,7804596.95083993,25647401.844146144,57915109.71065076,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
36,COMMON100K:ha-Latn,38,CLDR48-EDITION:ha-Latn,ha,hau,Hausa,Latn,"Hausa, Latin-script profile",29312587,37509094,41456373,hau_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,797090.488292,1483524.538416,3352330.876665,fresh_equivalent_token_events,8743942.07446523,25283770.526673924,52009619.496065535,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
37,COMMON100K:zh-Hant,42,CLDR48-EDITION:zh-Hant,zh,zho,Chinese,Hant,Traditional Written Chinese profile,27354937,35004038,38687697,zho_Hant,DIRECT_ISO6393_SCRIPT_PROFILE,753737.968352,1421541.38767,3261082.153305,fresh_equivalent_token_events,8388300.482487588,24624002.018945027,51327780.507844366,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
38,COMMON100K:ml-Mlym,34,CLDR48-EDITION:ml-Mlym,ml,mal,Malayalam,Mlym,"Malayalam, Malayalam-script profile",32145812,41134557,45463363,mal_Mlym,DIRECT_ISO6393_SCRIPT_PROFILE,909830.940826,1673545.875955,3659052.434745,fresh_equivalent_token_events,8785283.2320071,24579282.582574427,49969022.77111569,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
39,COMMON100K:pl-Latn,39,CLDR48-EDITION:pl-Latn,pl,pol,Polish,Latn,"Polish, Latin-script profile",29050351,37173530,41085496,pol_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,827928.334086,1524800.235406,3405045.937305,fresh_equivalent_token_events,8531559.202103613,24379278.76506526,49624459.39884007,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
40,COMMON100K:hsn-Hans,40,CLDR48-EDITION:hsn-Hans,hsn,hsn,Xiang Chinese,Hans,"Xiang Chinese, Simplified-script profile",28745612,36783579,40654508,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,7107599.691870024,23356934.927982833,52742943.44284379,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
41,COMMON100K:arq-Arab,43,CLDR48-EDITION:arq-Arab,arq,arq,Algerian Arabic,Arab,"Algerian Arabic, Arabic-script profile",27320072,34959424,38638388,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,6755122.671559989,22198628.12935526,50127339.2118447,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
42,COMMON100K:nl-Latn,50,CLDR48-EDITION:nl-Latn,nl,nld,Dutch,Latn,"Dutch, Latin-script profile",22998429,29429344,32526349,nld_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,702836.274236,1341774.188994,3108455.024745,fresh_equivalent_token_events,7398668.733155198,21933157.04042925,46278699.879793376,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
43,COMMON100K:om-Latn,44,CLDR48-EDITION:om-Latn,om,orm,Oromo,Latn,"Oromo, Latin-script profile",26785102,34274863,37881787,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,6622846.73994442,21763943.762963537,49145766.3011161,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
44,COMMON100K:sd-Arab,45,CLDR48-EDITION:sd-Arab,sd,snd,Sindhi,Arab,"Sindhi, Arabic-script profile",26498220,33907762,37476054,snd_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,847681.300332,1558297.586458,3445009.156425,fresh_equivalent_token_events,7691770.557584839,21759490.80244173,44210075.160702795,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
45,COMMON100K:su-Latn,49,CLDR48-EDITION:su-Latn,su,sun,Sundanese,Latn,"Sundanese, Latin-script profile",23651208,30264657,33449566,sun_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,757327.810262,1406245.714222,3195904.161945,fresh_equivalent_token_events,7400474.7331365775,21521599.457278207,44167882.8464361,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
46,COMMON100K:ms-Latn,47,CLDR48-EDITION:ms-Latn,ms,msa,Malay,Latn,"Malay, Latin-script profile",25758711,32961469,36430177,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,6369062.7413522815,20929961.343993295,47262526.58435292,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
47,COMMON100K:ary-Arab,52,CLDR48-EDITION:ary-Arab,ary,ary,Moroccan Arabic,Arab,"Moroccan Arabic, Arabic-script profile",22769048,29135824,32201940,ary_Arab,DIRECT_ISO6393_SCRIPT_PROFILE,767095.382816,1452150.136236,3285070.061385,fresh_equivalent_token_events,6931069.223650125,20063919.888835043,41979055.95753552,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
48,COMMON100K:bho-Deva,48,CLDR48-EDITION:bho-Deva,bho,bho,Bhojpuri,Deva,"Bhojpuri, Devanagari-script profile",24247311,31027445,34292626,bho_Deva,DIRECT_ISO6393_SCRIPT_PROFILE,859007.456718,1586852.99094,3526417.502985,fresh_equivalent_token_events,6875904.789910844,19552816.283013307,39921220.39431584,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
49,COMMON100K:pa-Guru,37,CLDR48-EDITION:pa-Guru,pa,pan,Punjabi,Guru,"Punjabi, Gurmukhi-script profile",30063866,38470449,42518896,pan_Guru,DIRECT_ISO6393_SCRIPT_PROFILE,1107318.465178,1983722.647167,4167417.234585,fresh_equivalent_token_events,7214028.33162536,19393058.326445248,38398073.66814311,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
50,COMMON100K:hak-Hans,51,CLDR48-EDITION:hak-Hans,hak,hak,Hakka Chinese,Hans,"Hakka Chinese, Simplified-script profile",22798244,29173183,32243231,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,5637061.824586571,18524465.41357857,41830610.98777896,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
51,COMMON100K:uz-Latn,54,CLDR48-EDITION:uz-Latn,uz,uzb,Uzbek,Latn,"Uzbek, Latin-script profile",22093051,28270802,31245887,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,5462696.792820718,17951469.123651266,40536711.2267719,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
52,COMMON100K:ig-Latn,56,CLDR48-EDITION:ig-Latn,ig,ibo,Igbo,Latn,"Igbo, Latin-script profile",21543977,27568193,30469339,ibo_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,816015.501906,1536232.837917,3437228.771625,fresh_equivalent_token_events,6267833.313234711,17945322.036847036,37339166.87713842,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
53,COMMON100K:apd-Arab,55,CLDR48-EDITION:apd-Arab,apd,apd,Sudanese Arabic,Arab,"Sudanese Arabic, Arabic-script profile",21549537,27575308,30477202,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,5328308.283752724,17509842.49181094,39539461.1928922,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
54,COMMON100K:skr-Arab,57,CLDR48-EDITION:skr-Arab,skr,skr,Saraiki,Arab,"Saraiki, Arabic-script profile",21198576,27126210,29980843,,COMMON_LANGUAGE_BLIND_ENVELOPE,770804.686774,1574846.147982,4044348.759945,fresh_equivalent_token_events,5241530.159305125,17224673.048068468,38895512.07255488,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
55,COMMON100K:ceb-Latn,58,CLDR48-EDITION:ceb-Latn,ceb,ceb,Cebuano,Latn,"Cebuano, Latin-script profile",19870536,25426818,28102615,ceb_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,827833.45146,1542010.043362,3430135.037145,fresh_equivalent_token_events,5792931.119277106,16489398.437744701,33947184.606320396,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
56,COMMON100K:yo-Latn,53,CLDR48-EDITION:yo-Latn,yo,yor,Yoruba,Latn,"Yoruba, Latin-script profile",22233271,28450231,31444198,yor_Latn,DIRECT_ISO6393_SCRIPT_PROFILE,955849.652744,1753626.29665,3788350.112505,fresh_equivalent_token_events,5868853.284338739,16223656.690338898,32896594.050886292,NOT_INFERABLE_FROM_TOKEN_EVENTS,CONDITIONAL_COMMON_PACKAGE_PROXY_NOT_FINAL_ALLOCATION_ORDER
