id,source_indonesian,jv_academic,jv_conversation,definition_or_rule,decision,canon_refs,review_status
T054,pangkat,pangkat,pangkat,Power in exact bounded formula readings,Provisional school loan retained consistently; C34 rambang is an attested mathematical alternative but not certified prosody,C34,pronunciation_review_pending
T055,pembulatan,pambunderan,mbunderake,Rounding to the nearest specified place,Provisional mathematical derivation; C31 attests physical round only and C32 bulet does not support rounding,C31 C32,compound_review_pending
T056,terdekat,sing paling cedhak,sing paling cedhak,Nearest value in rounding,Keep explicit target place; C33 supports near with cedhak and cédhak variants,C33,native_review_pending
T057,frasa dan kalimat,frasa lan ukara,frasa lan ukara,Scoped language analogy for expression and equation,Preserve reference to Indonesian source examples while explicitly labeling Javanese equivalents; no universal grammatical claim,,native_review_pending
T058,menambah,tambah,nambahi,Adding in the whole-number addition draft,Ordinary tambah/ditambahi/tambahan attested; composed instructions and register remain provisional,C35,native_review_pending
T059,simpanan,simpenan,simpenan,Provisional carry wording with explicit next-place value,C36 attests storage/keeping not arithmetic carry or a standardized classroom noun,C36,compound_review_pending
T060,mengurangi,nyuda,nyuda,Subtract or reduce by an explicit quantity,C38 gives reduction and numeric pasudan senses; preserve operand direction and distinguish inequality,C37 C38,native_review_pending
T061,meminjam,nyilih,nyilih,Subtraction regrouping analogy with explicit next-place values,C39 attests ordinary borrowing only; full arithmetic instruction remains provisional,C39,compound_review_pending
T062,luas,jembar,jembar,Measured area defined by the source and expressed in square units,C40 attests broad or expansive not a mathematical definition; distinguish width and retain explicit source formula,C40,compound_review_pending
T063,panjang,dawa,dawa,Length in the rectangle area formula,Ordinary long sense attested; composed mathematical explanation remains provisional,C41,native_review_pending
T064,lebar,amba,amba,Width distinct from length and area,Use second homonym for broad or wide not archaic self or servant sense,C42,native_review_pending
T065,mengganti,ngganti,ngganti,Replace a variable with the exact given value during evaluation,C43 attests ordinary replacement; complete substitution explanation and register remain provisional,C43,compound_review_pending
T066,sisa,turahan,turahan,Source-defined arithmetic remainder with exact divisor bound,C44 includes directly division-related gèncèl usage; C45 turahan is ordinary leftover vocabulary and full math construction remains provisional,C44 C45,compound_review_pending
T067,pembagi,wilangan kanggo mara,wilangan kanggo mara,Explicit divisor role distinct from the dividend,C22 pamara means a way of dividing not the divisor; avoid that semantic conflation,C22,compound_review_pending
T068,hasil bagi,asil paran,asil paran,Quotient from the source-defined division,C22 paran supports division arithmetic; full quotient label is a provisional compound,C22,compound_review_pending
