term_id	english	bn-Beng-IN	usage_note	status
T023	proper fraction	প্রকৃত ভগ্নাংশ	প্রাথমিক ধনাত্মক ভগ্নাংশের মডেলে লব হরের চেয়ে ছোটো; TR01।	provisional_West_Bengal_review
T024	improper fraction	অপ্রকৃত ভগ্নাংশ	প্রাথমিক ধনাত্মক ভগ্নাংশের মডেলে লব হরের সমান বা বড়ো; TR01।	provisional_West_Bengal_review
T025	mixed number	মিশ্র ভগ্নাংশ	পূর্ণসংখ্যা অংশ ও প্রকৃত ভগ্নাংশ অংশ মিলে; ঋণাত্মক চিহ্ন পুরো মানে প্রযোজ্য হতে পারে।	provisional_West_Bengal_review
T026	quotient	ভাগফল	ভাগের ফল; অপ্রকৃত থেকে মিশ্র ভগ্নাংশে রূপান্তরের সময় পূর্ণসংখ্যা ভাগফল ও ভাগশেষ আলাদা করো।	provisional_West_Bengal_review
T027	remainder	ভাগশেষ	ভাগফল-এর সঙ্গে গুলিয়ে ফেলো না; মিশ্র ভগ্নাংশের ভগ্নাংশ অংশে লব হয়।	provisional_West_Bengal_review
T028	divisor	ভাজক	যে সংখ্যা দিয়ে ভাগ করা হয়; শূন্য নয়।	provisional_West_Bengal_review
T029	whole-number part	পূর্ণসংখ্যা অংশ	মিশ্র ভগ্নাংশের প্রথম অংশ; প্রাথমিক ধনাত্মক মডেলে অঋণাত্মক।	provisional_West_Bengal_review
T030	whole number	অঋণাত্মক পূর্ণসংখ্যা	শূন্য ও ধনাত্মক পূর্ণসংখ্যা; সাধারণ পূর্ণসংখ্যা বললে ঋণাত্মক সংখ্যাও অন্তর্ভুক্ত হয়।	provisional_West_Bengal_review
T031	fraction circle	ভগ্নাংশের বৃত্ত	একই মাপের বৃত্তের সমান অংশ; দুই ভিন্ন মাপের সমগ্রের ভগ্নাংশ সরাসরি তুলনা নয়।	provisional_West_Bengal_review
T032	number line	সংখ্যারেখা	বাঁ থেকে ডানে গেলে মান বাড়ে; TR06-এ অবস্থান দেখানোর নির্দেশ।	provisional_West_Bengal_review
T033	reciprocal	গুণাত্মক বিপরীত	শূন্য নয় এমন ভগ্নাংশের লব ও হর বদলাও; গুণফল 1। সরাসরি স্থানীয় পদসাক্ষ্য অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
T034	opposite	বিপরীত সংখ্যা	যোগ করলে 0 হয়; শূন্যের বিপরীত শূন্য। গুণাত্মক বিপরীতের সঙ্গে গুলিয়ে ফেলো না।	provisional_West_Bengal_review
T035	absolute value	পরম মান	সংখ্যারেখায় শূন্য থেকে দূরত্ব; কখনও ঋণাত্মক নয়।	provisional_West_Bengal_review
T036	factor tree	গুণনীয়ক-বৃক্ষ	গুণনীয়কে ভেঙে মৌলিক গুণনীয়ক পর্যন্ত দেখানো; সম্পাদকীয় পদ।	provisional_West_Bengal_review
T037	complex fraction	জটিল ভগ্নাংশ	প্রধান ভগ্নাংশ-রেখার লব বা হর অথবা উভয়েই ভগ্নাংশ থাকে; সরাসরি স্থানীয় পদসাক্ষ্য অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
T038	fraction bar	ভগ্নাংশ-রেখা	লব ও হর আলাদা করে; প্রত্যেকটিকে একত্রে ধরা রাশি হিসেবে আগে সরল করো।	provisional_West_Bengal_review
T039	grouping symbol	রাশিকে একত্রে ধরার চিহ্ন	সহজ ব্যাখ্যামূলক সম্পাদকীয় রূপ; বন্ধনী ও ভগ্নাংশ-রেখার কাজ প্রসঙ্গসহ বোঝাও।	provisional_West_Bengal_review
T040	like terms	সদৃশ পদ	WB11, পঠন সেতু পৃ.189-এ 8x ও 6x-এর উদাহরণ; একই চলাংশ ও একই ঘাতবিশিষ্ট পদ।	provisional_West_Bengal_review
T041	addition property of equality	সমতার যোগের ধর্ম	দুই পক্ষে একই সংখ্যা যোগ করলেও সমতা সত্য থাকে। WB পৃ.227-এ নিয়মের প্রত্যক্ষ সাক্ষ্য আছে; এই আনুষ্ঠানিক নাম সম্পাদকীয়।	provisional_West_Bengal_review
T042	subtraction property of equality	সমতার বিয়োগের ধর্ম	দুই পক্ষ থেকে একই সংখ্যা বিয়োগ করলেও সমতা সত্য থাকে। WB পৃ.227-এ নিয়মের প্রত্যক্ষ সাক্ষ্য আছে; এই আনুষ্ঠানিক নাম সম্পাদকীয়।	provisional_West_Bengal_review
T043	division property of equality	সমতার ভাগের ধর্ম	দুই পক্ষকে একই অশূন্য সংখ্যা দিয়ে ভাগ করো। WB10-এ উভয় পক্ষকে 6 দিয়ে ভাগের ধাপ; অশূন্য শর্ত হারাবে না। নাম সম্পাদকীয়।	provisional_West_Bengal_review
T044	multiplication property of equality	সমতার গুণের ধর্ম	দুই পক্ষকে একই রাশি দিয়ে গুণ করলেও সমতা সত্য থাকে। শূন্য দিয়ে গুণের উল্টো ধাপে ভাগ করা যায় না। WB পৃ.227-এর নিয়মের সাক্ষ্য; নাম সম্পাদকীয়।	provisional_West_Bengal_review
T045	decimal number	দশমিক সংখ্যা	TR08-এর 13.49; দশমিক বিন্দুর ডান দিকে অঙ্কগুলি স্থানীয় মান অনুযায়ী থাকে। দশমিক ভগ্নাংশের সংক্ষিপ্ত সমার্থক ব্যবহার প্রসঙ্গনির্ভর।	provisional_West_Bengal_review
T046	decimal point	দশমিক বিন্দু	TR08-এ দশমিক চিহ্ন; বিন্দু কথাটি ব্যাখ্যামূলক সম্পাদকীয় নাম। TR09 মেনে ডান দিকের অঙ্কগুলি আলাদা করে পড়ো, শূন্য বাদ দিও না।	provisional_West_Bengal_review
T047	tenths	দশাংশ	TR08-এর স্থানীয় মানের ছক: এক দশাংশের লব1 ও হর10।	provisional_West_Bengal_review
T048	hundredths	শতাংশ	TR08-এর স্থানীয় মানের ছক: এক শতাংশের লব1 ও হর100। এখানে স্থানীয় মান, শতকরা হারের আলাদা প্রসঙ্গ নয়।	provisional_West_Bengal_review
T049	thousandths	সহস্রাংশ	TR08-এর স্থানীয় মানের ছক: এক সহস্রাংশের লব1 ও হর1000।	provisional_West_Bengal_review
T050	place value	স্থানীয় মান	TR08 ও TR10-এর ছকে অঙ্কের অবস্থান অনুযায়ী মান; অঙ্ক ও তার মান আলাদা করো।	provisional_West_Bengal_review
T051	round a decimal	নির্দিষ্ট স্থান পর্যন্ত আসন্নমান নির্ণয় করা	TR11-এ আসন্ন মান কথাটির সাক্ষ্য আছে; দশমিকের জন্য নির্দিষ্ট স্থানের নিকটতম মান ও মাঝামাঝি হলে বাছাইয়ের নিয়ম আলাদা করে বোঝাতে হবে।	provisional_West_Bengal_review
T052	equivalent decimals	সমতুল দশমিক সংখ্যা	একই মানের দশমিক রূপ; TR02-এর সমতুল ভগ্নাংশের ধারণার সঙ্গে সামঞ্জস্যপূর্ণ সম্পাদকীয় নাম।	provisional_West_Bengal_review
T053	product	গুণফল	WB04 ও TR05-এ গুণফল শব্দটির সাক্ষ্য আছে; গুণনীয়কের সঙ্গে ফলটি গুলিয়ে ফেলো না।	provisional_West_Bengal_review
T054	dividend	ভাজ্য	যে সংখ্যাকে ভাগ করা হয়; ভাজক ও ভাগফল থেকে আলাদা। সরাসরি স্থানীয় পদসাক্ষ্য এখনও অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
T055	power of ten	দশের ঘাত	10, 100, 1000 ইত্যাদি; সূচক বা শূন্যের সংখ্যা অনুযায়ী মান। সরাসরি স্থানীয় পদসাক্ষ্য অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
T056	placeholder zero	স্থানধারক শূন্য	দশমিক ঘর সারিবদ্ধ বা পূর্ণ করতে লেখা শূন্য; সংখ্যার মান বদলায় না। সরাসরি স্থানীয় পদসাক্ষ্য অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
T057	long division	দীর্ঘ ভাগের পদ্ধতি	ভাজ্য, ভাজক ও ভাগফল ধাপে ধাপে সাজিয়ে ভাগ করা; সরাসরি স্থানীয় পদসাক্ষ্য অনুপস্থিত, সম্পাদকীয় পরিভাষা।	provisional_West_Bengal_review
