"profile_id","lane","region","target_profile","tag","script_or_orthography","likely_reader_cohort","local_status","sequence_state","g_id","g_src","g_use","g_audit","g_tech","g_harm","R","S","A","N","V","P","F","D","confidence","evidence_ids","decision_caveat"
"GAP-SA-AS-IN","regional_depth","South Asia","Assamese educational standard","as-Beng-IN","Bengali-Assamese script; Assamese standard","Assamese-first readers not comfortably served by English, Hindi or Bengali","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3","A3-4","N3","V2","P3","F2-3","D2","low","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043","Script similarity with Bengali does not establish terminology or comprehension overlap"
"GAP-SA-PA-GURU-IN","regional_depth","South Asia","Eastern Punjabi in Gurmukhi","pa-Guru-IN","Gurmukhi; Indian Punjabi educational standard","Punjabi-first Gurmukhi readers in India","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3","S2-3","A4","N2-3","V2","P3","F3","D2","medium","MIR-E003;MIR-E004;MIR-E005;MIR-E006;MIR-E007;MIR-E043;MIR-E069","Do not merge with Shahmukhi Western Punjabi"
"GAP-SA-PNB-ARAB-PK","high_reach_underserved","South Asia","Western Punjabi in Shahmukhi","pnb-Arab-PK","Arabic-derived Shahmukhi; Pakistani regional register","Punjabi-first Shahmukhi readers in Pakistan not comfortably served by Urdu or English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R4","S3-4","A2-3","N3-4","V2","P4","F2","D2","low","MIR-E003;MIR-E004;MIR-E042;MIR-E043;MIR-E069","Large plausible cohort but literacy, orthographic practice and Urdu overlap require direct evidence"
"GAP-SA-NE-NP","regional_depth","South Asia","Nepali national educational standard","ne-Deva-NP","Devanagari; Nepal educational register","Nepali-first readers not comfortably served by English or Hindi","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S2-3","A4","N3","V1","P3","F3","D1","low","MIR-E003;MIR-E004;MIR-E043;MIR-E069","Do not infer advanced-open-material abundance from official status"
"GAP-SA-SI-LK","regional_depth","South Asia","Sinhala national educational standard","si-Sinh-LK","Sinhala script; Sri Lankan educational register","Sinhala-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S2-3","A4","N3","V1","P3","F3","D1","low","MIR-E003;MIR-E004;MIR-E043;MIR-E069","Target-specific open-material, terminology and model-check evidence is still indirect"
"GAP-SA-UR-PK","high_reach_underserved","South Asia","Pakistani Urdu educational standard","ur-Arab-PK","Perso-Arabic Nastaliq; Pakistani higher-education register","Urdu-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","partial","partial","R4-5","S2-3","A3","N3-4","V1","P3","F3","D1","medium","MIR-A018;MIR-E003;MIR-E004;MIR-E042;MIR-E043;MIR-E069","Nastaliq rendering and semantic extraction require technical tests; Urdu is not covered by Persian or Arabic"
"GAP-SA-PS-AF","regional_depth","South Asia / West Asia","Afghan Pashto standard profile","ps-Arab-AF","Arabic-derived Pashto script; regional standard must be fixed","Pashto-first readers in Afghanistan and displaced communities","missing","target-resolution-first","partial","unknown","unknown","unknown","partial","partial","R3-4","S3-4","A2-3","N4","V3","P4","F1-2","D3","low","MIR-A018;MIR-E003;MIR-E042;MIR-E043;MIR-E069","Resolve regional standard, safe evidence acquisition and source floor before fixing the edition surface"
"GAP-SA-HI-IN","local_comparator","South Asia","Hindi national educational standard","hi-Deva-IN","Devanagari; active local Open Logic profile","Hindi-first readers","partially_covered","evidence-ready","pass","partial","unknown","unknown","pass","partial","R4-5","S2","A4","N2-3","V1","P2","F3","D1","medium","MIR-A030;MIR-E005;MIR-E006;MIR-E007","Existing partial local coverage prevents treating Hindi as a missing-language candidate"
"GAP-SEA-VI-VN","high_reach_underserved","Mainland Southeast Asia","Vietnamese national educational standard","vi-Latn-VN","Vietnamese Latin orthography","Vietnamese-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R4-5","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E013;MIR-E043","Large official language with plausible major marginal gain; advanced-open-material audit remains necessary"
"GAP-SEA-TH-TH","high_reach_underserved","Mainland Southeast Asia","Thai national educational standard","th-Thai-TH","Thai script","Thai-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R4","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E003;MIR-E004;MIR-E013;MIR-E043","Official status does not establish open advanced mathematics availability"
"GAP-SEA-MY-MM","high_reach_underserved","Mainland Southeast Asia","Burmese national educational standard","my-Mymr-MM","Myanmar script","Burmese-first readers and displaced cohorts not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S3","A3","N4","V2","P4","F2-3","D2","medium","MIR-E003;MIR-E004;MIR-E012;MIR-E013;MIR-E043","Conflict and educational disruption raise safe-evidence and distribution constraints"
"GAP-SEA-KM-KH","regional_depth","Mainland Southeast Asia","Khmer national educational standard","km-Khmr-KH","Khmer script","Khmer-first readers not comfortably served by English or French","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S3","A3-4","N4","V1","P4","F2-3","D1","low","MIR-E003;MIR-E004;MIR-E043","Target-specific advanced-material evidence is indirect"
"GAP-SEA-LO-LA","regional_depth","Mainland Southeast Asia","Lao national educational standard","lo-Laoo-LA","Lao script","Lao-first readers not comfortably served by English or Thai","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S3-4","A3","N3-4","V2","P4","F2","D2","low","MIR-E003;MIR-E004;MIR-E043","Thai overlap and Lao technical terminology require direct audit"
"GAP-SEA-FIL-PH","high_reach_underserved","Philippines","Filipino national standard","fil-Latn-PH","Latin script; Filipino educational register","Filipino-first readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S2-3","A4","N2-3","V1","P3","F3","D2","medium","MIR-E008;MIR-E009;MIR-E010;MIR-E043;MIR-E069","Tagalog/Filipino relationship and English overlap must be handled explicitly"
"GAP-SEA-CEB-PH","high_reach_underserved","Philippines","Cebuano","ceb-Latn-PH","Latin script; exact regional educational register","Cebuano-first readers not comfortably served by Filipino or English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R3-4","S3-4","A3-4","N3-4","V2","P4","F2-3","D2","medium","MIR-E008;MIR-E009;MIR-E010;MIR-E042;MIR-E069","Census labels Bisaya/Binisaya and Cebuano require careful mapping"
"GAP-SEA-ILO-PH","regional_depth","Philippines","Ilocano","ilo-Latn-PH","Latin script; regional standard","Ilocano-first readers not comfortably served by Filipino or English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S3-4","A3-4","N3-4","V2","P4","F2-3","D2","medium","MIR-E008;MIR-E009;MIR-E010;MIR-E042","Official education use supports identity, not advanced terminology"
"GAP-SEA-HIL-PH","regional_depth","Philippines","Hiligaynon","hil-Latn-PH","Latin script; regional standard","Hiligaynon-first readers not comfortably served by Filipino or English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S3-4","A3-4","N3-4","V2","P4","F2","D2","medium","MIR-E008;MIR-E009;MIR-E010;MIR-E042","Separate from Cebuano/Bisaya labels"
"GAP-SEA-WAR-PH","regional_depth","Philippines","Waray","war-Latn-PH","Latin script; regional standard","Waray-first readers not comfortably served by Filipino or English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S3-4","A3","N3-4","V2","P4","F2","D2","medium","MIR-E008;MIR-E009;MIR-E010;MIR-E042","Exact regional terminology and model-comparison route are unverified"
"GAP-SEA-MDH-PH","regional_depth","Philippines","Maguindanaon","mdh-Latn-PH","Latin orthography; exact education profile to confirm","Maguindanaon-first readers not comfortably served by Filipino or English","missing","community-route-first","pass","unknown","unknown","unknown","pass","partial","R2","S4","A2-3","N4","V3","P4","F1-2","D2","low","MIR-E008;MIR-E010;MIR-E042","Community and education authority route precedes source acquisition"
"GAP-SEA-JV-ID","high_reach_underserved","Maritime Southeast Asia","Javanese Latin-script educational profile","jv-Latn-ID","Latin script; register choice unresolved","Javanese-first readers whose comfortable academic language is not Indonesian or English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R4-5","S3","A3","N2-3","V2","P4","F2-3","D3","low","MIR-E003;MIR-E004;MIR-E042;MIR-E043;MIR-E069","Speech-level/register choice and Indonesian overlap are material risks"
"GAP-SEA-SU-ID","high_reach_underserved","Maritime Southeast Asia","Sundanese Latin-script educational profile","su-Latn-ID","Latin script; register choice unresolved","Sundanese-first readers whose comfortable academic language is not Indonesian or English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R4","S3","A3","N2-3","V2","P4","F2-3","D3","low","MIR-E003;MIR-E004;MIR-E042;MIR-E043;MIR-E069","Indonesian bilingualism and politeness/register design require direct evidence"
"GAP-SEA-MS-MY","high_reach_underserved","Maritime Southeast Asia","Malaysian Malay national standard","ms-Latn-MY","Rumi; Malaysian educational terminology","Malaysian Malay-first readers not comfortably served by English","dormant","evidence-ready","pass","partial","unknown","unknown","pass","partial","R4","S2-3","A4","N2-3","V1","P3","F3","D1","low","MIR-A024;MIR-E003;MIR-E004;MIR-E043;MIR-E069","Audit direct comprehension of the Indonesian surface before assuming a separate edition or adaptation"
"GAP-SEA-TET-TL","regional_depth","Timor-Leste","Tetum national educational standard","tet-Latn-TL","Latin script; Tetum Prasa educational register","Tetum-first learners and adults not fluent in Portuguese or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3-4","A3-4","N4","V2","P4","F2-3","D2","medium","MIR-E004;MIR-E011;MIR-E042;MIR-E069","Official status coexists with a severe functional access gap; terminology maturity must be audited"
"GAP-SEA-DDG-TL","endangered_prestige","Timor-Leste","Fataluku","ddg-Latn-TL","Latin orthography; community/education standard to verify","Fataluku-first community readers","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R1-2","S4","A1-2","N4","V3","P4","F1","D3","low","MIR-E011;MIR-E042;MIR-E069","Exact community governance and written intervention type come before any edition proposal"
"GAP-SEA-BKX-TL","endangered_prestige","Timor-Leste","Baikeno","bkx-Latn-TL","Latin orthography; exact community standard to verify","Baikeno-first community readers","missing","community-route-first","pass","unknown","unknown","unknown","partial","partial","R1-2","S4","A1-2","N4","V3","P4","F1","D3","low","MIR-E011;MIR-E042;MIR-E069","Do not treat Timor-Leste's local languages as one residual category"
"GAP-SEA-KSW-MM","regional_depth","Myanmar / refugee diaspora","S'gaw Karen","ksw-Mymr-MM","S'gaw Karen script; exact regional profile","S'gaw Karen readers in Myanmar, Thailand and displaced communities","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R2-3","S4","A2-3","N4","V3","P4","F2","D2","medium","MIR-E012;MIR-E013;MIR-E042;MIR-E043","Provider evidence is a locator only, not linguistic authority or proof of the exact reader profile"
"GAP-SEA-RHG","endangered_prestige","Myanmar / Bangladesh / global diaspora","Rohingya exact script profile unresolved","rhg-Rohg;rhg-Arab;rhg-Mymr;rhg-Latn","Hanifi Rohingya and competing Arabic, Myanmar and Latin practices","Rohingya readers in refugee and displaced settings","missing","hold-flattening-risk","partial","unknown","unknown","unknown","partial","veto","R2-3","S4","A1-2","N4","V4","P4","F1","D4","medium","MIR-E001;MIR-E003;MIR-E042;MIR-E062;MIR-E069","Choose no script or standard until community literacy and governance evidence resolves the conflict"
"GAP-SEA-MFA-TH","regional_depth","Southern Thailand","Pattani Malay","mfa-Thai-TH","Jawi/Thai/Latin practices require exact target resolution","Pattani Malay-first readers not comfortably served by Thai or Standard Malay","missing","target-resolution-first","partial","partial","unknown","unknown","partial","partial","R2","S4","A2","N4","V3","P4","F1-2","D3","low","MIR-E013;MIR-E042;MIR-E069","LearnBig supplies a source route, not a settled orthography or advanced register"
"GAP-CA-KK-KZ","regional_depth","Central Asia","Kazakh national standard in Kazakhstan","kk-Cyrl-KZ","Cyrillic current educational standard; Latin-transition risk must be tracked","Kazakh-first readers not comfortably served by Russian or English","researched_only","target-resolution-first","pass","partial","unknown","unknown","partial","partial","R3-4","S3","A3","N3","V2","P4","F2-3","D2","medium","MIR-A031;MIR-E014;MIR-E042;MIR-E043;MIR-E069","Do not mix current Cyrillic users with a future Latin projection or count Russian as universal coverage"
"GAP-CA-KY-KG","regional_depth","Central Asia","Kyrgyz national standard","ky-Cyrl-KG","Cyrillic; Kyrgyz educational register","Kyrgyz-first readers not comfortably served by Russian or English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3","S3-4","A3","N3-4","V2","P4","F2","D1","medium","MIR-A031;MIR-E014;MIR-E043","Local microdraft evidence is not a complete source floor or reviewed edition"
"GAP-CA-UZ-UZ","high_reach_underserved","Central Asia","Uzbek national Latin-script standard","uz-Latn-UZ","Latin standard; Cyrillic legacy overlap to audit","Uzbek-first readers not comfortably served by Russian or English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S3","A3-4","N3-4","V1","P4","F2-3","D2","medium","MIR-A031;MIR-E014;MIR-E043;MIR-E069","Script generation and terminology must follow the present reader cohort, not a pan-Turkic design"
"GAP-CA-TG-TJ","regional_depth","Central Asia","Tajik national standard","tg-Cyrl-TJ","Cyrillic; Tajik educational terminology","Tajik-first readers not comfortably served by Russian, Persian or English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3","S3-4","A3","N3-4","V2","P4","F2","D2","medium","MIR-A018;MIR-E014;MIR-E043;MIR-E069","Persian relation supplies no script or terminology inheritance"
"GAP-CA-TK-TM","regional_depth","Central Asia","Turkmen national Latin-script standard","tk-Latn-TM","Latin script; national educational register","Turkmen-first readers not comfortably served by Russian, Turkish or English","researched_only","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R2-3","S4","A3","N4","V2","P4","F1-2","D2","low","MIR-A031;MIR-E014;MIR-E043","Source and independent-review access may be the principal constraint"
"GAP-CA-AZ-AZ","regional_depth","Caucasus","Azerbaijani national standard in Azerbaijan","az-Latn-AZ","Latin script; Azerbaijani educational register","Azerbaijani-first readers not comfortably served by Russian, Turkish or English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3-4","S2-3","A4","N2-3","V1","P3","F3","D1","medium","MIR-A031;MIR-E014;MIR-E043;MIR-E064","Turkish proximity and Russian bilingualism require cohort-specific overlap evidence"
"GAP-CA-UG-CN","regional_depth","Central Asia / displaced diaspora","Uyghur standard profile","ug-Arab-CN","Arabic-derived Uyghur script; diaspora script variants to audit","Uyghur-first readers in Xinjiang and displaced communities","researched_only","community-route-first","pass","partial","unknown","unknown","partial","partial","R3","S4","A2-3","N4","V4","P4","F1-2","D2","medium","MIR-A031;MIR-E014;MIR-E042;MIR-E043","Safety, community governance, fonts and distribution are gating constraints"
"GAP-CA-KHK-MN","regional_depth","Mongolia","Khalkha Mongolian national standard","khk-Cyrl-MN","Cyrillic; Mongolian educational register","Khalkha Mongolian readers not comfortably served by Russian, Chinese or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S3","A3-4","N4","V1","P4","F2-3","D2","low","MIR-E003;MIR-E014;MIR-E042;MIR-E043;MIR-E069","Keep traditional-script audiences and Inner Mongolian profiles separate"
"GAP-CA-KA-GE","regional_depth","Caucasus","Georgian national educational standard","ka-Geor-GE","Georgian script","Georgian-first readers not comfortably served by Russian or English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R2-3","S2-3","A4","N3-4","V1","P3","F3","D1","medium","MIR-E043;MIR-E064;MIR-E069","National dominance does not imply abundant open advanced mathematics"
"GAP-CA-HY-AM","regional_depth","Caucasus / diaspora","Eastern Armenian national standard","hy-Armn-AM","Armenian script; Eastern Armenian","Eastern Armenian-first readers in Armenia and diaspora","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S2-3","A4","N3","V2","P3","F3","D2","medium","MIR-E043;MIR-E064;MIR-E069","Western Armenian diaspora must be audited as a separate language-standard profile"
"GAP-WA-KMR-TR","high_reach_underserved","Stateless West Asia / diaspora","Kurmanji Kurdish in Latin script","kmr-Latn-TR","Latin orthography; country-specific register","Kurmanji-first readers in Turkey and displaced diaspora not comfortably served by Turkish or English","missing","community-route-first","pass","partial","unknown","unknown","pass","partial","R3-4","S3-4","A3","N4","V3","P4","F2","D3","medium","MIR-E001;MIR-E003;MIR-E042;MIR-E063;MIR-E069","Do not collapse Kurdish or transfer Sorani terminology; political labels and safe evidence acquisition require care"
"GAP-WA-CKB-IQ","regional_depth","Stateless West Asia / diaspora","Central Kurdish Sorani in Iraq","ckb-Arab-IQ","Arabic-derived Sorani script","Sorani-first readers in Iraq and diaspora","missing","source-acquisition-first","pass","partial","unknown","unknown","partial","partial","R3","S3","A3","N3-4","V2","P4","F2-3","D2","medium","MIR-A018;MIR-E042;MIR-E063;MIR-E069","Separate from Kurmanji and Iranian regional profiles"
"GAP-WA-PRS-AF","regional_depth","Afghanistan / displaced diaspora","Dari national standard","prs-Arab-AF","Perso-Arabic script; Afghan terminology","Dari-first readers not comfortably served by English or Iranian Persian","researched_only","source-acquisition-first","pass","partial","unknown","unknown","partial","partial","R3-4","S3","A3","N3","V3","P4","F2","D2","medium","MIR-A018;MIR-E003;MIR-E042;MIR-E069","Iranian Persian is not automatic Dari coverage; displacement raises offline-access priority"
"GAP-WA-BAL","regional_depth","Pakistan / Iran / Afghanistan diaspora","Balochi exact variety and script unresolved","bal-Arab","Macro-label spans distinct varieties and orthographic practices","Balochi-first readers in several states and displaced settings","missing","hold-flattening-risk","fail","unknown","unknown","unknown","partial","veto","RU-R3","S4","A1-2","N4","V4","P4","F1","D4","low","MIR-E001;MIR-E003;MIR-E042;MIR-E069","No recommendation beyond target-resolution research until an exact variety, script, region and community authority are fixed"
"GAP-AF-HA-NG","high_reach_underserved","West Africa","Hausa Latin-script educational profile in Nigeria","ha-Latn-NG","Boko Latin orthography; Ajami users require a separate access audit","Hausa-first readers not comfortably served by English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4-5","S3","A3-4","N4","V1","P4","F2-3","D2","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E043;MIR-E069","Large cross-border opportunity, but script, country and first/second-language cohorts cannot be merged"
"GAP-AF-SW-TZ","high_reach_underserved","East Africa","Tanzanian Swahili educational standard","sw-Latn-TZ","Latin script; Tanzanian terminology","Swahili-first and Swahili-strong readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S2-3","A4","N3","V1","P3","F3","D1","medium","MIR-E015;MIR-E016;MIR-E017;MIR-E043;MIR-E069","Treat Tanzania separately from Kenyan and second-language regional cohorts"
"GAP-AF-SW-KE","high_reach_underserved","East Africa","Kenyan Swahili educational standard","sw-Latn-KE","Latin script; Kenyan terminology","Swahili-strong Kenyan readers not comfortably served by English","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3-4","S2-3","A4","N2-3","V1","P3","F3","D1","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043;MIR-E069","English and local-language overlap may reduce marginal reach relative to Tanzania"
"GAP-AF-AM-ET","high_reach_underserved","Horn of Africa","Amharic Ethiopian educational standard","am-Ethi-ET","Ethiopic script","Amharic-first readers not comfortably served by English","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R4","S3","A3-4","N4","V1","P4","F2-3","D1","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E043","Recovered school sources are not yet an advanced-math source floor"
"GAP-AF-SO-SO","regional_depth","Horn of Africa / diaspora","Somali Latin-script standard","so-Latn-SO","Latin script; national/educational register","Somali-first readers in Somalia and diaspora not comfortably served by English, Arabic or Italian","partially_covered","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3-4","S3-4","A3","N4","V3","P4","F2","D2","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E043","Existing local material is only a tiny elementary reader, not advanced coverage"
"GAP-AF-GAZ-ET","regional_depth","Horn of Africa","West Central Oromo educational profile","gaz-Latn-ET","Qubee Latin orthography; exact regional standard","West Central Oromo readers not comfortably served by Amharic or English","partially_covered","target-resolution-first","pass","partial","unknown","unknown","pass","partial","R3-4","S3-4","A3","N4","V3","P4","F2","D3","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E042;MIR-E069","Replace the macro-label Oromo with exact variety profiles; the local draft is elementary"
"GAP-AF-TI-ET","regional_depth","Horn of Africa","Ethiopian Tigrinya educational standard","ti-Ethi-ET","Ethiopic script; Ethiopian terminology","Tigrinya-first readers in Ethiopia","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R3","S3-4","A3","N4","V3","P4","F2","D2","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E043","Eritrean sources are evidence only, not authority for this profile"
"GAP-AF-TI-ER","regional_depth","Horn of Africa / diaspora","Eritrean Tigrinya educational standard","ti-Ethi-ER","Ethiopic script; Eritrean terminology","Tigrinya-first readers in Eritrea and diaspora","researched_only","source-acquisition-first","pass","partial","unknown","unknown","pass","partial","R2-3","S4","A2-3","N4","V3","P4","F1-2","D2","medium","MIR-A017;MIR-E015;MIR-E016;MIR-E017;MIR-E043","Do not transfer Ethiopian institutional terminology without review"
"GAP-AF-YO-NG","high_reach_underserved","West Africa","Yoruba Nigerian educational standard","yo-Latn-NG","Latin script with diacritics; Nigerian register","Yoruba-first readers not comfortably served by English","missing","source-acquisition-first","pass","unknown","unknown","unknown","pass","partial","R4","S3","A3-4","N3-4","V2","P4","F2-3","D2","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Diacritics and cross-border varieties require exact technical and cohort audits"
"GAP-AF-IG-NG","high_reach_underserved","West Africa","Igbo Nigerian educational standard","ig-Latn-NG","Latin script; standard and dialect accommodation to audit","Igbo-first readers not comfortably served by English","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R3-4","S3-4","A3","N3-4","V2","P4","F2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Standardization and dialect accommodation are material harm risks"
"GAP-AF-RW-RW","regional_depth","Great Lakes Africa","Kinyarwanda national standard","rw-Latn-RW","Latin script; Rwandan educational register","Kinyarwanda-first readers not comfortably served by English or French","missing","source-acquisition-first","pass","partial","unknown","unknown","pass","pass","R3","S3","A4","N3-4","V1","P4","F3","D1","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","Audit current national-language higher-education material before final rank"
"GAP-AF-LN-CD","high_reach_underserved","Central Africa","Lingala profile for Democratic Republic of Congo","ln-Latn-CD","Latin script; DRC educational/scientific register unresolved","Lingala-strong readers not comfortably served by French","missing","target-resolution-first","partial","unknown","unknown","unknown","pass","partial","R3-4","S4","A2-3","N3-4","V2","P4","F1-2","D3","low","MIR-E015;MIR-E016;MIR-E017;MIR-E043","First/second-language use and regional standards require a declared cohort profile"
