source_id,title,authority,reference_date_or_year,source_type,territory,measure_definition,url,source_locator,local_witness_path,local_witness_sha256,local_witness_bytes,pdf_pages,accessed_date,source_tier,confidence,limitations,provenance_table
PM-S011,"Zimbabwe 2022 Population and Housing Census Report, Volume 1",Zimbabwe National Statistics Agency (ZIMSTAT),2022,official census report,Zimbabwe,Population by reported mother tongue,https://www.zimstat.co.zw/wp-content/uploads/Demography/Census/2022_PHC_Report_27012023_Final.pdf,"Table 2.17, printed p. 123",private_local_witness_omitted; verify by registered URL and SHA-256,BDEBD23BE87E1AA5C1EC73874EFF733A524A93BAD6FCCF7DA7E9C854666BB1ED,,,2026-08-25,1,high,"Census labels do not resolve every dialect or orthographic choice. Sign Language is a census mother-tongue category, not a complete sign-language-use measure.",ACE-A074
PM-S012,2018 Malawi Population and Housing Census Main Report,National Statistical Office of Malawi,2018,official census report,Malawi,Population by tribe; retained only as an explicitly ineligible language-population proxy,https://cms.nsomalawi.mw/api/download/270/2018-Malawi-Population-and-Housing-Census-Main-Report.pdf,"Section 3.4, Table 3.5, printed p. 20",private_local_witness_omitted; verify by registered URL and SHA-256,1A44AD127E84AF4B016401861936E4099263BADF3090A9795ABE41E7C34D0CB2,,,2026-08-25,1,low,Tribe is not language. These rows must never enter strict language-reach arithmetic until replaced or calibrated by a direct language-use source.,ACE-A074
PM-S013,"2022 Housing and Population Census, Volume II: Demographic and Fertility Characteristics",Statistics Mauritius,2022,official census report,Mauritius,Resident population by language usually spoken at home,https://statsmauritius.govmu.org/Documents/Census_and_Surveys/Census2022/HPC_TR_Vol2_Demography_Yr22.pdf,"Table D9, printed p. 165, Republic of Mauritius row",private_local_witness_omitted; verify by registered URL and SHA-256,F21D1DC6543694352C92ACC1E41D632C1AF7822C4A44D0D19122F6046BABE1D5,,,2026-08-25,1,high,Chinese languages is an aggregate. Home language is not necessarily L1. The published table excludes Agalega and St Brandon as documented in the report.,ACE-A074
PM-S014,Place and ethnic group summaries: Total New Zealand population language comparator,Stats NZ,2023,official census summary table,New Zealand,Persons who reported speaking each language; multiple-response census measure,https://tools.summaries.stats.govt.nz/ethnic-group/pacific-peoples-not-elsewhere-classified,"Table 'Percentage of population that speak each language', Total New Zealand population, 2023 column",,,,,2026-08-25,1,high,"Multiple responses are permitted and figures use fixed random rounding; rows are not L1 counts and must not be summed. Northern Chinese is a census category, not a single unqualified language target.",ACE-A074
PM-S015,Welsh language in Wales (Census 2021),Welsh Government / Office for National Statistics,2021,official census bulletin,Wales,Usual residents aged 3 and over reported able to speak Welsh,https://www.gov.wales/welsh-language-wales-census-2021-html,Main points; Ability to speak Welsh,private_local_witness_omitted; verify by registered URL and SHA-256,,,,2026-08-25,1,high,"Self-assessed ability, sometimes proxy-reported for children. Published count is an estimate rounded to the nearest hundred (538,300).",ACE-A074
PM-S016,Census of Population 2022 Summary Results: Education and Irish Language,Central Statistics Office Ireland,2022,official census release,Ireland,Population aged 3 and over reporting ability to speak Irish; and daily use outside education,https://www.cso.ie/en/releasesandpublications/ep/p-cpsr/censusofpopulation2022-summaryresults/educationandirishlanguage/,Table 6.2 and Figure 6.4 text,,,,,2026-08-25,1,high,Ability and daily-use measures are not interchangeable; cells are separated and must not be summed.,ACE-A074
PM-S017,"Population of the Basque Country aged 2 and over by province and overall level of Basque, 01/01/2021",Eustat - Basque Statistics Institute,2021,official census statistical table,Basque Country (Spain),Persons aged 2 and over classified as Basque speakers who understand and speak Basque well,https://www.eustat.eus/elementos/tbl0000488_i.html,"Basque Country total row, Basque speakers total",,,,,2026-08-25,1,high,"Knowledge measure, not home use or L1. Territorial scope is the Basque Autonomous Community, not all Basque-speaking territories.",ACE-A074
PM-S018,"Scotland's Census 2022: Ethnic group, national identity, language and religion",National Records of Scotland,2022,official census report,Scotland,Population aged 3 and over reporting ability to use British Sign Language,https://www.scotlandscensus.gov.uk/2022-reports/scotland-s-census-2022-ethnic-group-national-identity-language-and-religion/,Section 'British Sign Language',,,,,2026-08-25,1,high,Published count is rounded to the nearest hundred; ability to use BSL includes second-language users and is not the same as main-language population.,ACE-A074
PM-S019,"Rohingya refugee population dashboard, Joint Government of Bangladesh - UNHCR",Government of Bangladesh and UNHCR,2026-07-31,official operational population dashboard,Bangladesh,"Rohingya refugee individuals in Bangladesh (registered, post-2017 FDMN and biometrically identified new arrivals)",https://data.unhcr.org/en/documents/details/123674,"Dashboard headline, 31 July 2026",private_local_witness_omitted; verify by registered URL and SHA-256,407D9E6C5BE718FB63AC318EB3A64A3C35981461E3BE6BBFB773F1592DD11D21,,,2026-08-25,1,medium,"This is a displacement population, not a direct language-use census. Treat as a Rohingya-language planning proxy only; literacy, script preference and variety require separate evidence.",ACE-A074
PM-S020,Population and Housing Census 2007: National Statistical Report,Central Statistical Agency of Ethiopia (now Ethiopian Statistical Service),2007,official census statistical report,Ethiopia,Population by mother tongue used with family members or guardians during childhood,https://ess.gov.et/wp-content/uploads/2007/09/Population-and-Housing-Census-2007-National_Statistical.pdf,"Table 3.2, printed pp. 91-93, Urban + Rural both sexes",private_local_witness_omitted; verify by registered URL and SHA-256,E21590781EC9843018369A590EAADE3B9407AE87E492B2A52451675E69FF396F,,,2026-08-25,1,high,"The observation is old but remains the latest Ethiopian national census. Several census labels, especially Guragiegna, aggregate distinct languages; counts are not current projections.",ACE-A074
TH-S001,The 2010 Population and Housing Census (Whole Kingdom),National Statistical Office Thailand,2010-09-01,official national census report,Thailand,Population by usual languages spoken at home,https://catalogapi.nso.go.th/api/doc/department/D10/SD10_04/SD10_04_165_2.pdf,"Table 7, PDF pp. 98-99; census day described on PDF pp. 49-50",private_local_witness_omitted; verify by registered URL and SHA-256,9A3A58232A25398D0FAAA8812A075D3019C34F99237227FD1BFE2D316F7BAAD8,,,2026-08-25,1,high,"The table mixes mutually exclusive Thai-only/Thai-plus-other/other-only strata with named other-language categories that can overlap the Thai-plus-other stratum. English labels contain several typographic or country-name substitutions. Counts are 2010 observations, not current projections; the report warns that independently rounded totals may differ slightly.",ACE-A068
ZA-S001,Census 2022 in Brief,Statistics South Africa,2024-06,official national census report,South Africa,Population aged 1 year and older by language most often spoken in the household,https://www.statssa.gov.za/publications/Census2022inBrief/Census2022inBriefJune2024.pdf,"Table 3.8 (1)-(2), printed pp. 26-27; PDF pp. 34-35",private_local_witness_omitted; verify by registered URL and SHA-256,78FE83B5CDEC6DF3DBD491B456F1A5612064DB3125E516419E8C86FAA1CF612B,1235449,91,2026-08-25,1,high,"The measure is language most often spoken with other household members, not mother tongue, proficiency, literacy, or academic-language comfort. The table excludes Not applicable (638,736) and Unspecified (258,967). Census label 'Sign language' does not identify a signed-language variety.",ACE-A089
ZA-S002,Census 2022 Statistical Release (P0301.4),Statistics South Africa,2023,official national census statistical release,South Africa,Percentage distribution by language most often spoken in the household,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,"Table 2.8, printed p. 22; PDF p. 34",private_local_witness_omitted; verify by registered URL and SHA-256,A56ED6A19E880256F655FA14EB68EF8C211A111E35E2338B99E6CC1E1ADA85FC,3587195,113,2026-08-25,1,high,"Publishes mostly one-decimal percentage shares, with Sign language printed at 0.02%; used only as an official cross-check on Table 3.8 counts.",ACE-A089
ZA-S003,Cultural Dynamics in South Africa (Report 03-01-84),Statistics South Africa,2025-03-05,official Census 2022 thematic report,South Africa,Language most often spoken in the household; official and non-official language profiles,https://www.statssa.gov.za/publications/03-01-84/03-01-84.pdf,"Figure 2.1, printed p. 5 / PDF p. 16; Table 2.4, printed pp. 11-12 / PDF pp. 22-23",private_local_witness_omitted; verify by registered URL and SHA-256,2DA5D165128648EA46630126280845B9373094A58F08980FF3C59C5E97FFBEBE,3159594,80,2026-08-25,1,high,"The report notes potential under-enumeration. Its Table 2.4 nonofficial-category counts differ from ZA-S001: 1,252,633 total versus 1,247,275. Preserve both as source-specific observations; do not treat this report as an identical exact-count corroboration.",ACE-A089
ZA-S004,The Status of the Language of Learning and Teaching (LoLT) in Schools: A Quantitative Overview: 2008-2016,South Africa Department of Basic Education,2023-05,official education report using Annual School Survey and EMIS data,South Africa,Aggregated learner-level home-language and school LoLT correspondence in 2016,https://www.education.gov.za/Portals/0/Documents/Reports/The%20Status%20of%20LoLT%20In%20Schools%202023.pdf?ver=2023-06-26-112813-890,"Methodology and data-quality caution, printed pp. 16-17 / PDF pp. 18-19; Figure 9 and Table 7, printed pp. 31-32 / PDF pp. 33-34; Figure 11 and Table 8, printed p. 34 / PDF p. 36",private_local_witness_omitted; verify by registered URL and SHA-256,CC5D59232986B1DB3F4A2A9EA9DDCDD7F1FFA8BA6D28088B8BD9D5E976DDAA1B,2529298,73,2026-08-25,1,medium,"The report itself cautions that principal-reported data were not always sufficiently verified, that year-to-year discrepancies distort trends, and that exact values should not be over-read. The home-language/LoLT correspondence is aggregated from EMIS school records; it is not a direct test of each learner's classroom language or comprehension.",ACE-A089
ALG-S001,"Population and Housing Census 2022, National Report (Volume I)",Bangladesh Bureau of Statistics,2022,official national census report,Bangladesh,Population by self-reported ethnic category,https://file.portal.gov.bd/uploads/34bdd5b8-5c48-4624-a299-4a1b43862f9a/659/d2c/7e3/659d2c7e3f35e896330676.pdf,"Table P29, printed pp. 365-372",private_local_witness_omitted; verify by registered URL and SHA-256,B38231AB13516002D4171A965C1257A878CD91019076CB2C57FB32199CBE41CC,,,2026-08-25,1,high,"Ethnicity, not language. The official PDF host repeatedly timed out from the local environment; the local witness is an explicit selected-row transcription with the official URL, not primary PDF bytes. No national language table was identified.",ACE-A110
ALG-S002,Bangladesh Multiple Indicator Cluster Survey 2019 Round 6,Bangladesh Bureau of Statistics / UNICEF,2019,authoritative primary survey metadata,Bangladesh,Language category of the household head in the survey household file,https://microdata.worldbank.org/catalog/4147/variable/F4/V755?name=HC1B,Variable HC1B in hh.sav,private_local_witness_omitted; verify by registered URL and SHA-256,DFF31A1D629F32AAD81EE43D7A60A46ED05DBC15007CBC0AAEB81828C867A4C0,,,2026-08-25,1,high,"Metadata frequencies are cases in the data file and explicitly cannot be interpreted as national population summary statistics. This is household-head language, not the language of all persons.",ACE-A110
ALG-S003,Results of the Survey on the Socio-economic Situation of 53 Ethnic Minority Groups in 2019,General Statistics Office of Vietnam / Committee for Ethnic Minority Affairs,2019-04-01,official national statistical report,Vietnam,Population by ethnic group,https://www.gso.gov.vn/wp-content/uploads/2020/07/02-Bao-cao-53-dan-toc-thieu-so-2019_ban-in.pdf,Biểu 2.1 and Biểu 2.2; selected national totals,private_local_witness_omitted; verify by registered URL and SHA-256,9BC5C6E334BE1CAEC6C0354A34311066BF86041F637A93AE9AC65DE4289CB0B1,,,2026-08-25,1,high,"Ethnicity, not language. The official GSO host timed out from the local environment; the local witness is an explicit selected-row transcription with official URLs, not primary PDF bytes. Kinh is not converted to Vietnamese speakers.",ACE-A110
ALG-S004,Myanmar Poverty and Living Conditions Survey 2014-2015,World Bank,2014-2015,authoritative primary survey metadata,Myanmar,Individual survey response to the literal mother-tongue question,https://microdata.worldbank.org/catalog/4036/variable/F2/V4155?name=q1_10,Variable q1_10 in 02_world_bank_mplcs-hh_member.dta,private_local_witness_omitted; verify by registered URL and SHA-256,CE640FFFD65446BAAE8A5BF8EE2A29F33A32F824A6F8A14D34A18E6E6DA737CF,,,2026-08-25,1,high,Metadata frequencies are sample cases and explicitly cannot be interpreted as population summary statistics. Several source labels are broad ethnolinguistic umbrellas; Myanmar is preserved as the source label and is not silently renamed Burmese.,ACE-A110
ALG-S005,Census stock-taking ceremony,United Nations Population Fund Myanmar,2018-03-29,authoritative census-program status statement,Myanmar,Status of the unreleased 2014 census ethnicity dataset,https://myanmar.unfpa.org/en/news/census-stock-taking-ceremony,Paragraph stating that ethnic data were the last dataset not yet released,private_local_witness_omitted; verify by registered URL and SHA-256,E749AF37922DC50E95CE3E608F8087F158CA6775B9D6792B921936AA2066A4CB,,,2026-08-25,2,high,Coverage-gap evidence only; it supplies no population observation. The statement is dated 2018 and does not by itself prove the status after that date.,ACE-A110
ALG-S006,The 2014 Population and Housing Census of Myanmar: Questions and Answers about Myanmar's Census,Department of Population Myanmar / United Nations Population Fund,2014,official census methodology and dissemination booklet,Myanmar,Ethnicity question design and contested 135-category coding,https://myanmar.unfpa.org/sites/default/files/pub-pdf/Census_Q%26A_ENG_0.pdf,"Questions 32-34, PDF pp. 18-20",private_local_witness_omitted; verify by registered URL and SHA-256,4E643A73B43ED8A3605FEA74FEABB50BA32534300060147DF64421C1B4CF9B2D,,,2026-08-25,1,high,Coverage and methodology evidence only; it supplies no released language or ethnicity counts. It documents that ethnicity and language are different constructs and that the 135-category list was contested.,ACE-A110
ALG-S007,"National composition, religion and language proficiency in the Republic of Kazakhstan",Bureau of National Statistics of the Agency for Strategic Planning and Reforms of the Republic of Kazakhstan,2021,official national census statistical collection,Kazakhstan,Native language by nationality and population language proficiency,https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf,"Table 6, printed p. 243; Table 8, printed p. 366",private_local_witness_omitted; verify by registered URL and SHA-256,7526D0EC8C1C23DCB37760A5CE5F6A2D43BEE9255DAF6D6C2CDB0C4D08496204,,,2026-08-25,1,high,"Table 6 counts language-of-own-nationality only within each nationality and omits cross-nationality native speakers. Table 8 proficiency is not mother tongue or academic comfort; its 17,194,712-person universe appears to be age 5+ from the age table, so the age interpretation is retained as a caveat.",ACE-A110
ALG-S008,"Population and Housing Census of the Kyrgyz Republic 2022: Book II (Part One), Population of Kyrgyzstan",National Statistical Committee of the Kyrgyz Republic,2022,official national census statistical collection,Kyrgyzstan,Native language by ethnic group,https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf,"Table 3.8, printed pp. 118-119",private_local_witness_omitted; verify by registered URL and SHA-256,C9390DD29B4415572139E4A249057B0A35F130BA9F17E548727C0F35E71BF46D,,,2026-08-25,1,high,"National Kyrgyz, Uzbek, and Russian native-language totals in the observation file are exact sums of mutually exclusive own-ethnicity and cross-ethnicity cells. Other named groups are nationality-scoped own-language counts and therefore lower bounds on total speakers.",ACE-A110
ALG-S009,Results of the Complete Population and Housing Census of Turkmenistan - 2022: National Composition and Language Proficiency,State Committee of Turkmenistan on Statistics,2022,official national census tables,Turkmenistan,Population by mother tongue,https://stat.gov.tm/population-census-pdfs/results/en/4.pdf,"Table 4.9, PDF section pp. 8-10",private_local_witness_omitted; verify by registered URL and SHA-256,2AE148462D99088ACBBE5BEE055E50E7B3017BD6B3D655959B6144DA6780F1A1,,,2026-08-25,1,high,Direct mother-tongue totals. Published category labels such as Baloch are retained as-is and do not establish a narrower variety.,ACE-A110
ALG-S010,Mongolia's Social and Economic Overview 2019-2023,National Statistics Office of Mongolia,2020,official statistical report reproducing 2020 census results,Mongolia,Population of Mongolian citizens by ethnicity,https://downloads.1212.mn/C_ubG0KK_FNA1_1-A-i-Z-CNeJTieAJpcV-g__q-.pdf,"Table 1.1.5, printed p. 20",private_local_witness_omitted; verify by registered URL and SHA-256,25EA36866A10E5FDD2F23ED98409B5B68B68AB08E3B9CAF9390693EDEBFAEDA8,,,2026-08-25,1,high,"Ethnicity of Mongolian citizens, not language and not the complete resident population. Khalkh and Kazakh ethnic counts are not converted to speaker counts.",ACE-A110
ALG-S011,General Population Census of the Kingdom of Cambodia 2019: National Report on Final Census Results,National Institute of Statistics Cambodia,2019,official national census report,Cambodia,Population by mother tongue,https://nis.gov.kh/nis/Census2019/Final%20General%20Population%20Census%202019-English.pdf,"Table 2.7.1, PDF p. 53 / printed p. 25",private_local_witness_omitted; verify by registered URL and SHA-256,8A10064A917F4492136ABC770901DDFC868490E0558BD12AC1E4DED86D9D36B5,,,2026-08-25,1,high,"The table covers all persons in census households and excludes migrants working abroad. Published total-category counts sum to the stated universe, but multiple male/female subtotals do not sum to their published category totals; only the total-category column is staged.",ACE-A110
ALG-S012,Cambodia 2019 General Population Census 10 percent microdata,National Institute of Statistics Cambodia,2019,official census microdata metadata,Cambodia,Detailed mother-tongue category cases and supplied weights,https://microdata.nis.gov.kh/index.php/catalog/39/variable/F5/V149?name=p09_m_to,Variable p09_m_to in Person file; weighted variable V247,private_local_witness_omitted; verify by registered URL and SHA-256,DB004C3D0302FD6741D0FE5C99769BAD04C258B461537E9F326E4EE44C466AA6,,,2026-08-25,1,high,"The metadata explicitly warns that displayed figures are cases in the data file and cannot be interpreted as population summary statistics. Weighted values are staged as weighted microdata cases, not official census population estimates. Several category spellings do not uniquely identify a standard linguistic variety.",ACE-A110
ALG-S013,"Resident Population Aged 5 Years and Over by Language Most / Second Most Frequently Spoken at Home, Type of Dwelling and Ethnic Group (All Ethnic Groups)",Singapore Department of Statistics,2020,official census Table Builder API output,Singapore,Language most and second most frequently spoken at home,https://tablebuilder.singstat.gov.sg/api/table/tabledata/17441,"Resource 17441; top-level language rows, Total dwelling column",private_local_witness_omitted; verify by registered URL and SHA-256,CFB331EBB435720C413B35777FA2571DE8007ECC13CE168891A06E435954F0F4,,,2026-08-25,1,high,"Excludes persons unable to speak, people in one-person households, and households comprising only unrelated persons. Top-level rows are language most frequently spoken at home; nested rows partition second-most/only combinations and are not added to the top-level totals.",ACE-A110
ALG-S014,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,2015,official national census workbook,Timor-Leste,Population by mother tongue,https://www.laohamutuk.org/DVD/DGS/Cens15/Census2015v2data.zip,"Workbook 4_2015 V2 Language.xls, sheet 2.12, Table 12",private_local_witness_omitted; verify by registered URL and SHA-256,6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2,,,2026-08-25,1,high,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,ACE-A110
ALG-S015,Timor-Leste Population and Housing Census 2022 Final Main Report,National Institute of Statistics Timor-Leste / United Nations Population Fund,2022,official national census report,Timor-Leste,Mother-tongue question design and current-report coverage gap,https://timor-leste.unfpa.org/sites/default/files/pub-pdf/final-main-report_tlphc-census_2022.pdf,"Question E58, PDF p. 176; main text does not tabulate mother-tongue counts",private_local_witness_omitted; verify by registered URL and SHA-256,BD4177C7B2B06D5AD52237A2811337926C3F0F430808384364E4BB83593A650E,,,2026-08-25,1,high,"The questionnaire collected one or two childhood languages, but the final main report does not publish a mother-tongue count table. It is retained only to explain why the direct observations use 2015.",ACE-A110
ALG-S016,Results of Population and Housing Census 2015,Lao Statistics Bureau,2015,official national census report,Lao PDR,Population of Lao citizens by ethnicity,https://lao.unfpa.org/sites/default/files/pub-pdf/PHC-ENG-FNAL-WEB_0.pdf,"Table 3.4, printed p. 37; detailed Table P2.7, printed pp. 120-121",private_local_witness_omitted; verify by registered URL and SHA-256,8EF06BE581E3357FA454F104D4EBF834B785C1A1126D2702DB9A59E13980500A,,,2026-08-25,1,high,"Ethnicity of Lao citizens, not language and not the complete resident population. No ethnicity row is converted into a speaker count.",ACE-A110
ALG-S017,Population and Housing Census publications,Agency on Statistics under the President of the Republic of Tajikistan,2020,official census publication index,Tajikistan,Availability of national composition and language-proficiency volume,https://www.stat.tj/en/population-and-housing-census/,Volume III listing,private_local_witness_omitted; verify by registered URL and SHA-256,68E92A36EEA3F0F640635401B3931084A58078644D1DBB089A64B9DE42235B87,,,2026-08-25,1,medium,"Coverage-gap evidence only. The official page names Volume III on national composition, language proficiency, and citizenship, but its disclosure block contains no downloadable file or table; no count is staged.",ACE-A110
ALG-S018,Проведена конференция посвящённая предварительным результатам переписи населения и сельского хозяйства,National Statistics Committee of the Republic of Uzbekistan,2026-06-30,official preliminary national census release,Uzbekistan,Preliminary national population and Uzbek mother-tongue results,https://stat.uz/ru/press-tsentr/novosti-goskomstata/68978-a-oli-va-ishlo-kh-zhaligini-r-jkhatga-olish-tadbirining-dastlabki-natizhalariga-ba-ishlangan-konferentsiya-tkazildi-3,Paragraphs reporting the exact preliminary population total and 35.7 million / 91.3 percent Uzbek mother tongue,private_local_witness_omitted; verify by registered URL and SHA-256,407366E390DE51D15021FD8C2CF5437A003566B6D90023999D485554D8FE62AF,,,2026-08-25,1,high,"Preliminary release. The mother-tongue count is rounded to 0.1 million; its separately published 91.3 percent does not arithmetically reproduce 35.7 million against the exact preliminary population total, so the percentage is not used to narrow the count range. Post-enumeration coverage was reported as 97.3 percent.",ACE-A110
ALG-S019,Launching of Report on the Key Findings Population and Housing Census of Malaysia 2020,Department of Statistics Malaysia,2020,official national census findings release,Malaysia,Named Sabah and Sarawak Bumiputera populations by ethnicity,https://www.dosm.gov.my/portal-main/release-content/launching-of-report-on-the-key-findings-population-and-housing-census-of-malaysia-2020-,"Population by Ethnic Group paragraph naming Kadazan/Dusun, Bajau, Murut, Iban, Bidayuh, and Melanau",private_local_witness_omitted; verify by registered URL and SHA-256,20BDEA6CBBFB7D3519DBE7BC2FA464FEA4705F4E207C6DDE1E75FD9576298138,,,2026-08-25,1,high,Ethnicity rather than language. Named-group counts are published to 0.1 thousand persons and are nested within the broad Bumiputera aggregate; no row is converted to a speaker count.,ACE-A110
