intervention_id,target_type,target_name,variety_or_register,script,territory_scope,curriculum_source,curriculum_work,curriculum_unit,adaptation_depth,formats,existing_local_status,source_ids,evidence_status,overlap_rule,notes,rankability_status,profile_tag_status,profile_resolution_status,profile_ranking_treatment,profile_negative_control_status,profile_source_ids,resolved_edition_name
NAT-023,natural_language,Maithili Nepal profile,mai-Deva-NP,Deva,Nepal,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E010;ACE-E013,official 2021 mother-tongue literacy and attainment observations registered,Keep separate from Indian Maithili and from Hindi or Nepali coverage.,Exact Nepal count and attainment can enter the population model without causal interpretation.,requires_exact_population_join,,,,,,
NAT-024,natural_language,Bhojpuri Nepal profile,bho-Deva-NP,Deva,Nepal,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E010;ACE-E013,official 2021 mother-tongue literacy and attainment observations registered,Keep separate from Indian Bhojpuri and from Hindi umbrella counts.,Census label may conceal regional variation.,requires_exact_population_join,,,,,,
NAT-025,natural_language,Bajjika Nepal profile,Bajjika-Deva-NP unresolved ISO,Deva,Nepal,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E010;ACE-E013,official census label and education observations; exact ISO target unresolved,Do not assign a possibly wrong ISO code or merge with Maithili; population credit waits for target resolution.,Very low recorded attainment makes this important but not causally identified.,discovery_only_target_resolution_required,,,,,,
NAT-026,natural_language,Avadhi Nepal profile,awa-Deva-NP,Deva,Nepal,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E010;ACE-E013,official 2021 mother-tongue and education observations registered,Keep Nepal profile separate from cross-border Awadhi and Hindi census umbrellas.,Cross-border standardization requires audit.,requires_exact_population_join,,,,,,
NAT-027,natural_language,Sinhala,si-Sinh-LK,Sinh,Sri Lanka,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only; English comfort is not assumed from official bilingualism.,Large official-language candidate.,requires_exact_population_join,,,,,,
NAT-028,natural_language,Vietnamese,vi-Latn-VN,Latn,Vietnam,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only; no regional bridge deduction.,Large official language with likely high absolute marginal gain.,requires_exact_population_join,,,,,,
NAT-029,natural_language,Thai,th-Thai-TH,Thai,Thailand,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Do not credit Lao readers or subtract English without direct evidence.,Official status does not establish open advanced-material abundance.,requires_exact_population_join,,,,,,
NAT-030,natural_language,Burmese,my-Mymr-MM,Mymr,Myanmar and displaced cohorts,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Separate resident and displaced cells; do not treat Burmese as coverage for minority languages.,Offline delivery and robust fonts are part of practical access.,requires_exact_population_join,,,,,,
NAT-031,natural_language,Khmer,km-Khmr-KH,Khmr,Cambodia,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Deduct French or English access only with cohort evidence.,Target-specific advanced-material evidence remains incomplete.,requires_exact_population_join,,,,,,
NAT-032,natural_language,Lao,lo-Laoo-LA,Laoo,Laos,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Thai overlap and primary population evidence pending,No Thai cross-language credit without directional comprehension evidence.,Compact FR-2 provides a conservative first serious-mathematics target.,requires_exact_population_join,,,,,,
NAT-033,natural_language,Filipino,fil-Latn-PH,Latn,Philippines,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; household-language and deficit crosswalk pending,Separate Filipino standard from Tagalog census responses; deduct English access only where measured.,National standard may be a bridge but not blanket Philippine-language coverage.,requires_exact_population_join,,,,,,
NAT-034,natural_language,Cebuano,ceb-Latn-PH,Latn,Philippines,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Bisaya and Cebuano response mapping pending,Do not merge Cebuano and Bisaya household labels without source-defined mapping.,Regional terminology and bilingual overlap remain variables.,requires_exact_population_join,,,,,,
NAT-035,natural_language,Ilocano,ilo-Latn-PH,Latn,Philippines,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; household-to-reader conversion prohibited,Count exact language-speaking household evidence only in its original measure.,Official regional use is not proof of advanced open terminology.,requires_exact_population_join,,,,,,
NAT-036,natural_language,Hiligaynon,hil-Latn-PH,Latn,Philippines,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; household-to-reader conversion prohibited,Keep distinct from Cebuano and generic Bisaya labels.,No family-wide Visayan reach.,requires_exact_population_join,,,,,,
NAT-037,natural_language,Waray,war-Latn-PH,Latn,Philippines,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; household-to-reader conversion prohibited,Own-language cell only.,FR-1 limits compute while retaining proof and formal vocabulary.,requires_exact_population_join,,,,,,
NAT-038,natural_language,Javanese,jv-Latn-ID,Latn,Indonesia,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; register and Indonesian-overlap evidence pending,Indonesian edition overlap is explicitly unknown; choose speech level before population credit.,Large daily-home-language population does not imply one academic register.,requires_exact_population_join,,,,,,
NAT-039,natural_language,Sundanese,su-Latn-ID,Latn,Indonesia,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; register and Indonesian-overlap evidence pending,Indonesian overlap and politeness-level design are explicit uncertainty terms.,No Indonesian-Malay package credit.,requires_exact_population_join,,,,,,
NAT-040,natural_language,Malaysian Malay,ms-Latn-MY,Latn Rumi,Malaysia,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,unstarted; Indonesian Open Logic baseline complete 722 of 722,ACE-A011;ACE-A021;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,local Indonesian completion known; cross-standard comprehension untested,Zero credit from id-ID until directional technical-text evidence; localized output claims only ms-Latn-MY.,MABBIM-aligned shared terminology is compute reuse not comprehension proof.,requires_exact_population_join,,,,,,
NAT-041,natural_language,Tetum Prasa,tet-Latn-TL,Latn,Timor-Leste,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; primary population and terminology evidence pending,Do not count Portuguese or Indonesian as comfortable coverage without evidence.,Official status coexists with a plausible functional-access gap.,requires_exact_population_join,,,,,,
NAT-042,natural_language,S'gaw Karen,ksw-Mymr-MM,Mymr,Myanmar Thailand and displaced cohorts,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; cross-border cells and education evidence pending,Keep resident refugee and diaspora cells disjoint; Burmese is not automatic coverage.,Offline and robust-font package is required.,requires_exact_population_join,,,,,,
NAT-043,natural_language,Rohingya Hanifi profile,rhg-Rohg,Rohg,Myanmar Bangladesh and diaspora,Open Logic Project,Terminology and structure,D0,D0,AX-HTML;AX-OFFLINE,missing,ACE-A021,candidate only; competing script literacy unresolved,No population credit until Hanifi versus Arabic Myanmar and Latin literacy cells are resolved.,D0 is target-resolution infrastructure not an educational edition.,discovery_only_target_resolution_required,,,,,,
NAT-044,natural_language,Fataluku,ddg-Latn-TL,Latn,Timor-Leste,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact community standard and population pending,Own-community cell only; no Tetum coverage deduction without evidence.,Regional-depth and prestige-domain candidate.,requires_exact_population_join,,,,,,
NAT-045,natural_language,Baikeno,bkx-Latn-TL,Latn,Timor-Leste,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact community standard and population pending,Own-community cell only.,Do not collapse Timor-Leste local languages into a residual category.,requires_exact_population_join,,,,,,
NAT-046,natural_language,Uzbek,uz-Latn-UZ,Latn,Uzbekistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and Russian-overlap evidence pending,Latin and Cyrillic literacy must be separate modifiers; Turkish gives zero coverage credit.,Large Central Asian official-language candidate.,requires_exact_population_join,,,,,,
NAT-047,natural_language,Kazakh,kk-Cyrl-KZ,Cyrl,Kazakhstan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,researched only,ACE-A021,candidate seed; current Cyrillic population and Russian-overlap evidence pending,Do not mix current Cyrillic users with future Latin projection.,Russian bilingualism is cohort-specific rather than universal.,requires_exact_population_join,,,,,,
NAT-048,natural_language,Kyrgyz,ky-Cyrl-KG,Cyrl,Kyrgyzstan,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,researched only,ACE-A021,candidate seed; current primary population and Russian-overlap evidence pending,Own-language cell only; no Kazakh or Russian automatic coverage.,Compact FR-2 is appropriate before a larger STEM portfolio.,requires_exact_population_join,,,,,,
NAT-049,natural_language,Tajik,tg-Cyrl-TJ,Cyrl,Tajikistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing; Iranian Persian complete,ACE-A009;ACE-A021,local Persian baseline known; Tajik comprehension and population evidence pending,Iranian Persian gives zero Tajik credit without script-adjusted comprehension evidence.,Shared Persianate semantics can reduce adaptation compute.,requires_exact_population_join,,,,,,
NAT-050,natural_language,Mongolian,mn-Cyrl-MN,Cyrl,Mongolia,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and material evidence pending,Keep Cyrillic Mongolia distinct from traditional-script communities.,No Central Asian or Russian automatic coverage.,requires_exact_population_join,,,,,,
NAT-051,natural_language,Georgian,ka-Geor-GE,Geor,Georgia,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only.,Distinct script and mature standard favor defensible production.,requires_exact_population_join,,,,,,
NAT-052,natural_language,Armenian,hy-Armn-AM,Armn,Armenia and separately tagged diaspora,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Eastern and Western Armenian separation pending,Do not merge Eastern and Western Armenian or duplicate diaspora residents.,Current row is Eastern Armenian-oriented until target is resolved.,discovery_only_target_resolution_required,,,,,,
NAT-053,natural_language,Azerbaijani,az-Latn-AZ,Latn,Azerbaijan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing; Turkish complete,ACE-A008;ACE-A021,candidate seed; Turkish overlap untested for target corpus,Turkish edition yields zero Azerbaijani reach credit without directional technical comprehension.,Oghuz reuse can lower compute but requires named Azerbaijani output.,requires_exact_population_join,,,,,,
NAT-054,natural_language,Uyghur,ug-Arab-CN,Arab,Xinjiang and diaspora,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact current population and distribution evidence pending,No Uzbek or Turkish blanket coverage; script and terminology differ.,Offline distribution and font reliability matter.,requires_exact_population_join,,,,,,
NAT-055,natural_language,Turkmen,tk-Latn-TM,Latn,Turkmenistan,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing; Turkish complete,ACE-A008;ACE-A021,candidate seed; Turkish overlap untested for target corpus,Oghuz relationship is compute reuse only until directional evidence exists.,Named national output required.,requires_exact_population_join,,,,,,
NAT-056,natural_language,Kurmanji Kurdish,kmr-Latn-TR,Latn,Turkey Syria and separately modeled diaspora,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; territory-specific population and deficit evidence pending,Do not merge with Sorani Zazaki or Turkish; diaspora cells must be residence-deduplicated.,Stateless cross-border access case.,requires_exact_population_join,,,,,,
NAT-057,natural_language,Sorani Kurdish,ckb-Arab-IQ,Arab,Iraq Iran and diaspora,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; territory-specific population and deficit evidence pending,Do not merge with Kurmanji or Persian.,Arabic-derived script does not imply Arabic coverage.,requires_exact_population_join,,,,,,
NAT-058,natural_language,Dari,prs-Arab-AF,Arab,Afghanistan and displaced cohorts,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing; Iranian Persian complete,ACE-A009;ACE-A021,local Persian baseline known; Dari comprehension and population evidence pending,Iranian Persian yields zero credit until directional register comprehension is measured.,Shared source and term graph can reduce compute.,requires_exact_population_join,,,,,,
NAT-059,natural_language,Zazaki,diq-Latn-TR,Latn,Turkey and diaspora,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact variety and population evidence pending,Do not include under Kurdish without exact source classification and community profile.,Prestige-domain candidate with flattening risk.,discovery_only_target_resolution_required,,,,,,
NAT-060,natural_language,Tatar,tt-Cyrl-RU,Cyrl,Russian Federation,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,No Kipchak-family or Russian blanket credit.,Named output required even if terminology tooling is reused.,requires_exact_population_join,,,,,,
NAT-061,natural_language,Bashkir,ba-Cyrl-RU,Cyrl,Russian Federation,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,Do not merge with Tatar or Kazakh.,Kipchak reuse lowers compute only.,requires_exact_population_join,,,,,,
NAT-062,natural_language,Sakha,sah-Cyrl-RU,Cyrl,Sakha Republic,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,Explicitly excluded from pan-Turkic coverage.,Distinct Siberian Turkic profile.,requires_exact_population_join,,,,,,
NAT-063,natural_language,Tanzanian Swahili,sw-Latn-TZ,Latn,Tanzania,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; country-specific L1 L2 and education evidence pending,Keep Tanzanian and Kenyan educational profiles distinct; no East Africa blanket reach.,Cross-border standard is evaluated through named localized outputs.,requires_exact_population_join,,,,,,
NAT-064,natural_language,Kenyan Swahili,sw-Latn-KE,Latn,Kenya,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; country-specific L1 L2 and education evidence pending,Deduct English and local-language access only with cohort evidence.,Shared Swahili source may save adaptation compute.,requires_exact_population_join,,,,,,
NAT-065,natural_language,Amharic,am-Ethi-ET,Ethi,Ethiopia,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population and material evidence pending,Do not treat national status as coverage for Oromo Tigrinya Somali or other Ethiopian languages.,Large official educational language with potential material scarcity.,requires_exact_population_join,,,,,,
NAT-066,natural_language,Oromo,om-Latn-ET,Latn,Ethiopia and neighboring cells,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact variety and territory cells pending,Do not collapse Oromo varieties or subtract Amharic access without evidence.,Large underserved-language candidate.,discovery_only_target_resolution_required,,,,,,
NAT-067,natural_language,Somali,so-Latn-SO,Latn,Somalia and separately modeled neighboring or diaspora cells,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact country and displaced population cells pending,Deduplicate Somalia neighboring-country and diaspora residents; Arabic or English overlap is not assumed.,Offline distribution is part of the intervention.,requires_exact_population_join,,,,,,
NAT-068,natural_language,Tigrinya,ti-Ethi-ET,Ethi,Ethiopia and separately Eritrea,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; Ethiopia and Eritrea profiles pending,Keep territory standards and populations separate; no Amharic credit.,Distinct script rendering and terminology profile.,discovery_only_target_resolution_required,,,,,,
NAT-069,natural_language,Hausa,ha-Latn-NG,Latn,Nigeria and separately tagged cross-border cells,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; L1 and L2 populations must remain separate,Do not count regional L2 users as newly comfortable without present-comfort evidence.,Large bridge language may still add major marginal access.,requires_exact_population_join,,,,,,
NAT-070,natural_language,Yoruba,yo-Latn-NG,Latn,Nigeria and diaspora,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current population and English-overlap evidence pending,Deduplicate resident and diaspora cells; own-language output only.,Tone marks and educational orthography are production requirements.,requires_exact_population_join,,,,,,
