intervention_id,target_type,target_name,variety_or_register,script,territory_scope,curriculum_work,curriculum_unit,formats,raw_existing_local_status,reconciliation_state,verified_covered_units,declared_total_units,residual_units,residual_deficit_fraction,deficit_effect,registered_source_ids,evidence_status,overlap_rule,notes
NAT-011,natural_language,Assamese,as-Beng-IN,Beng,Assam India,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Shared script with Bengali gives zero comprehension credit.,Compact FR-2 is a lower-compute first serious-mathematics edition.
NAT-012,natural_language,Pakistani Urdu,ur-Arab-PK,Arab Nastaliq,Pakistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Do not treat Arabic Persian or Hindi editions as Urdu coverage; Hindi-Urdu reuse is compute-only until tested.,Nastaliq rendering is a production constraint not a reason to erase the candidate.
NAT-013,natural_language,Indian Urdu,ur-Arab-IN,Arab Nastaliq,India,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-E019;ACE-A021,official 2011 mother-tongue count and English-or-Hindi subsidiary-language union registered; academic comfort remains unknown,Keep India and Pakistan registers separate; C-17 reports 23172258 of 50772631 Urdu-category speakers with English or Hindi as a subsidiary language but this is only an overlap bound.,Sensitivity non-overlap is 0.543607303/0.771803651/0.908721461; use a shared term graph with locale-specific outputs.
NAT-014,natural_language,Eastern Punjabi,pa-Guru-IN,Guru,Punjab India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-E019;ACE-A021,official 2011 mother-tongue count and English-or-Hindi subsidiary-language union registered; academic comfort remains unknown,Do not merge with pnb-Arab-PK; C-17 reports 17571723 of 33124726 Punjabi-category speakers with English or Hindi as a subsidiary language and supplies only an overlap bound.,Sensitivity non-overlap is 0.469528503/0.734764251/0.893905701; synchronized two-script architecture is IL-011.
NAT-015,natural_language,Western Punjabi,pnb-Arab-PK,Arab Shahmukhi,Pakistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 Punjabi census label is a population ceiling; exact pnb mapping pending,Count only resolved Shahmukhi cells and never add the same bilingual reader to both Punjabi outputs.,Literacy and census-label decomposition remain uncertain.
NAT-016,natural_language,Afghan Pashto,ps-Arab-AF,Arab,Afghanistan and displaced cohorts,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact variety population and deficit evidence pending,Keep Afghanistan and Pakistan cells separate; deduct Dari or Urdu access only with evidence.,Regional standard and safe offline distribution must be fixed.
NAT-017,natural_language,Pakistani Pashto,ps-Arab-PK,Arab,Pakistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 Pashto umbrella count registered; exact variety mapping pending,Do not merge umbrella census count with Afghan Pashto or multiple Pakistani varieties.,Population ceiling is not commission-ready variety reach.
NAT-018,natural_language,Sindhi,sd-Arab-PK,Arab,Pakistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Own-language cell only; Urdu bilingualism is an explicit overlap variable.,Arabic-derived script does not imply Arabic or Urdu coverage.
NAT-019,natural_language,Saraiki,skr-Arab-PK,Arab,Pakistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Exclude from Punjabi two-script package unless a source defines tested overlap.,Separate named output preserves identity and prevents false Punjabi aggregation.
NAT-020,natural_language,Balochi Pakistan profile,bal-Arab-PK,Arab,Pakistan,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 Balochi umbrella count registered; exact variety mapping pending,No cross-border or dialect aggregation without exact cells.,Use D0 terminology work before freezing one regional surface.
NAT-021,natural_language,Brahui,brh-Arab-PK,Arab,Pakistan,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Do not include in Balochi or Dravidian reuse reach.,Shared regional vocabulary may reduce compute but never creates coverage credit.
NAT-022,natural_language,Nepali,ne-Deva-NP,Deva,Nepal,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E010;ACE-E013,official 2021 mother-tongue and education observations registered,National-instruction status lowers basic mismatch but does not prove open advanced-material sufficiency.,Use as a Nepal negative-control comparator while measuring advanced-material scarcity.
NAT-023,natural_language,Maithili Nepal profile,mai-Deva-NP,Deva,Nepal,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E010;ACE-E013,official 2021 mother-tongue literacy and attainment observations registered,Keep separate from Indian Maithili and from Hindi or Nepali coverage.,Exact Nepal count and attainment can enter the population model without causal interpretation.
NAT-024,natural_language,Bhojpuri Nepal profile,bho-Deva-NP,Deva,Nepal,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E010;ACE-E013,official 2021 mother-tongue literacy and attainment observations registered,Keep separate from Indian Bhojpuri and from Hindi umbrella counts.,Census label may conceal regional variation.
NAT-025,natural_language,Bajjika Nepal profile,Bajjika-Deva-NP unresolved ISO,Deva,Nepal,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E010;ACE-E013,official census label and education observations; exact ISO target unresolved,Do not assign a possibly wrong ISO code or merge with Maithili; population credit waits for target resolution.,Very low recorded attainment makes this important but not causally identified.
NAT-026,natural_language,Avadhi Nepal profile,awa-Deva-NP,Deva,Nepal,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E010;ACE-E013,official 2021 mother-tongue and education observations registered,Keep Nepal profile separate from cross-border Awadhi and Hindi census umbrellas.,Cross-border standardization requires audit.
NAT-027,natural_language,Sinhala,si-Sinh-LK,Sinh,Sri Lanka,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only; English comfort is not assumed from official bilingualism.,Large official-language candidate.
NAT-028,natural_language,Vietnamese,vi-Latn-VN,Latn,Vietnam,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only; no regional bridge deduction.,Large official language with likely high absolute marginal gain.
NAT-029,natural_language,Thai,th-Thai-TH,Thai,Thailand,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Do not credit Lao readers or subtract English without direct evidence.,Official status does not establish open advanced-material abundance.
NAT-030,natural_language,Burmese,my-Mymr-MM,Mymr,Myanmar and displaced cohorts,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Separate resident and displaced cells; do not treat Burmese as coverage for minority languages.,Offline delivery and robust fonts are part of practical access.
NAT-031,natural_language,Khmer,km-Khmr-KH,Khmr,Cambodia,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Deduct French or English access only with cohort evidence.,Target-specific advanced-material evidence remains incomplete.
NAT-032,natural_language,Lao,lo-Laoo-LA,Laoo,Laos,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; Thai overlap and primary population evidence pending,No Thai cross-language credit without directional comprehension evidence.,Compact FR-2 provides a conservative first serious-mathematics target.
NAT-033,natural_language,Filipino,fil-Latn-PH,Latn,Philippines,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; household-language and deficit crosswalk pending,Separate Filipino standard from Tagalog census responses; deduct English access only where measured.,National standard may be a bridge but not blanket Philippine-language coverage.
NAT-034,natural_language,Cebuano,ceb-Latn-PH,Latn,Philippines,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; Bisaya and Cebuano response mapping pending,Do not merge Cebuano and Bisaya household labels without source-defined mapping.,Regional terminology and bilingual overlap remain variables.
NAT-035,natural_language,Ilocano,ilo-Latn-PH,Latn,Philippines,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; household-to-reader conversion prohibited,Count exact language-speaking household evidence only in its original measure.,Official regional use is not proof of advanced open terminology.
NAT-036,natural_language,Hiligaynon,hil-Latn-PH,Latn,Philippines,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; household-to-reader conversion prohibited,Keep distinct from Cebuano and generic Bisaya labels.,No family-wide Visayan reach.
NAT-037,natural_language,Waray,war-Latn-PH,Latn,Philippines,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; household-to-reader conversion prohibited,Own-language cell only.,FR-1 limits compute while retaining proof and formal vocabulary.
NAT-038,natural_language,Javanese,jv-Latn-ID,Latn,Indonesia,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; register and Indonesian-overlap evidence pending,Indonesian edition overlap is explicitly unknown; choose speech level before population credit.,Large daily-home-language population does not imply one academic register.
NAT-039,natural_language,Sundanese,su-Latn-ID,Latn,Indonesia,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; register and Indonesian-overlap evidence pending,Indonesian overlap and politeness-level design are explicit uncertainty terms.,No Indonesian-Malay package credit.
NAT-040,natural_language,Malaysian Malay,ms-Latn-MY,Latn Rumi,Malaysia,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,unstarted; Indonesian Open Logic baseline complete 722 of 722,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A011;ACE-A021;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,local Indonesian completion known; cross-standard comprehension untested,Zero credit from id-ID until directional technical-text evidence; localized output claims only ms-Latn-MY.,MABBIM-aligned shared terminology is compute reuse not comprehension proof.
NAT-041,natural_language,Tetum Prasa,tet-Latn-TL,Latn,Timor-Leste,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; primary population and terminology evidence pending,Do not count Portuguese or Indonesian as comfortable coverage without evidence.,Official status coexists with a plausible functional-access gap.
NAT-042,natural_language,S'gaw Karen,ksw-Mymr-MM,Mymr,Myanmar Thailand and displaced cohorts,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; cross-border cells and education evidence pending,Keep resident refugee and diaspora cells disjoint; Burmese is not automatic coverage.,Offline and robust-font package is required.
NAT-043,natural_language,Rohingya Hanifi profile,rhg-Rohg,Rohg,Myanmar Bangladesh and diaspora,Terminology and structure,D0,AX-HTML;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate only; competing script literacy unresolved,No population credit until Hanifi versus Arabic Myanmar and Latin literacy cells are resolved.,D0 is target-resolution infrastructure not an educational edition.
NAT-044,natural_language,Fataluku,ddg-Latn-TL,Latn,Timor-Leste,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact community standard and population pending,Own-community cell only; no Tetum coverage deduction without evidence.,Regional-depth and prestige-domain candidate.
NAT-045,natural_language,Baikeno,bkx-Latn-TL,Latn,Timor-Leste,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact community standard and population pending,Own-community cell only.,Do not collapse Timor-Leste local languages into a residual category.
NAT-046,natural_language,Uzbek,uz-Latn-UZ,Latn,Uzbekistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and Russian-overlap evidence pending,Latin and Cyrillic literacy must be separate modifiers; Turkish gives zero coverage credit.,Large Central Asian official-language candidate.
NAT-047,natural_language,Kazakh,kk-Cyrl-KZ,Cyrl,Kazakhstan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,researched only,researched,,,,,Research without delivered target bytes does not reduce the content deficit; D=1 for the missing comparator.,ACE-A021,candidate seed; current Cyrillic population and Russian-overlap evidence pending,Do not mix current Cyrillic users with future Latin projection.,Russian bilingualism is cohort-specific rather than universal.
NAT-048,natural_language,Kyrgyz,ky-Cyrl-KG,Cyrl,Kyrgyzstan,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,researched only,researched,,,,,Research without delivered target bytes does not reduce the content deficit; D=1 for the missing comparator.,ACE-A021,candidate seed; current primary population and Russian-overlap evidence pending,Own-language cell only; no Kazakh or Russian automatic coverage.,Compact FR-2 is appropriate before a larger STEM portfolio.
NAT-049,natural_language,Tajik,tg-Cyrl-TJ,Cyrl,Tajikistan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing; Iranian Persian complete,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A009;ACE-A021,local Persian baseline known; Tajik comprehension and population evidence pending,Iranian Persian gives zero Tajik credit without script-adjusted comprehension evidence.,Shared Persianate semantics can reduce adaptation compute.
NAT-050,natural_language,Mongolian,mn-Cyrl-MN,Cyrl,Mongolia,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and material evidence pending,Keep Cyrillic Mongolia distinct from traditional-script communities.,No Central Asian or Russian automatic coverage.
NAT-051,natural_language,Georgian,ka-Geor-GE,Geor,Georgia,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and deficit evidence pending,Own-language cell only.,Distinct script and mature standard favor defensible production.
NAT-052,natural_language,Armenian,hy-Armn-AM,Armn,Armenia and separately tagged diaspora,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; Eastern and Western Armenian separation pending,Do not merge Eastern and Western Armenian or duplicate diaspora residents.,Current row is Eastern Armenian-oriented until target is resolved.
NAT-053,natural_language,Azerbaijani,az-Latn-AZ,Latn,Azerbaijan,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing; Turkish complete,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A008;ACE-A021,candidate seed; Turkish overlap untested for target corpus,Turkish edition yields zero Azerbaijani reach credit without directional technical comprehension.,Oghuz reuse can lower compute but requires named Azerbaijani output.
NAT-054,natural_language,Uyghur,ug-Arab-CN,Arab,Xinjiang and diaspora,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact current population and distribution evidence pending,No Uzbek or Turkish blanket coverage; script and terminology differ.,Offline distribution and font reliability matter.
NAT-055,natural_language,Turkmen,tk-Latn-TM,Latn,Turkmenistan,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing; Turkish complete,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A008;ACE-A021,candidate seed; Turkish overlap untested for target corpus,Oghuz relationship is compute reuse only until directional evidence exists.,Named national output required.
NAT-056,natural_language,Kurmanji Kurdish,kmr-Latn-TR,Latn,Turkey Syria and separately modeled diaspora,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; territory-specific population and deficit evidence pending,Do not merge with Sorani Zazaki or Turkish; diaspora cells must be residence-deduplicated.,Stateless cross-border access case.
NAT-057,natural_language,Sorani Kurdish,ckb-Arab-IQ,Arab,Iraq Iran and diaspora,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; territory-specific population and deficit evidence pending,Do not merge with Kurmanji or Persian.,Arabic-derived script does not imply Arabic coverage.
NAT-058,natural_language,Dari,prs-Arab-AF,Arab,Afghanistan and displaced cohorts,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing; Iranian Persian complete,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A009;ACE-A021,local Persian baseline known; Dari comprehension and population evidence pending,Iranian Persian yields zero credit until directional register comprehension is measured.,Shared source and term graph can reduce compute.
NAT-059,natural_language,Zazaki,diq-Latn-TR,Latn,Turkey and diaspora,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact variety and population evidence pending,Do not include under Kurdish without exact source classification and community profile.,Prestige-domain candidate with flattening risk.
NAT-060,natural_language,Tatar,tt-Cyrl-RU,Cyrl,Russian Federation,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,No Kipchak-family or Russian blanket credit.,Named output required even if terminology tooling is reused.
NAT-061,natural_language,Bashkir,ba-Cyrl-RU,Cyrl,Russian Federation,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,Do not merge with Tatar or Kazakh.,Kipchak reuse lowers compute only.
NAT-062,natural_language,Sakha,sah-Cyrl-RU,Cyrl,Sakha Republic,Formal-reasoning foundation,FR-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current population and Russian-overlap evidence pending,Explicitly excluded from pan-Turkic coverage.,Distinct Siberian Turkic profile.
NAT-063,natural_language,Tanzanian Swahili,sw-Latn-TZ,Latn,Tanzania,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; country-specific L1 L2 and education evidence pending,Keep Tanzanian and Kenyan educational profiles distinct; no East Africa blanket reach.,Cross-border standard is evaluated through named localized outputs.
NAT-064,natural_language,Kenyan Swahili,sw-Latn-KE,Latn,Kenya,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; country-specific L1 L2 and education evidence pending,Deduct English and local-language access only with cohort evidence.,Shared Swahili source may save adaptation compute.
NAT-065,natural_language,Amharic,am-Ethi-ET,Ethi,Ethiopia,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population and material evidence pending,Do not treat national status as coverage for Oromo Tigrinya Somali or other Ethiopian languages.,Large official educational language with potential material scarcity.
NAT-066,natural_language,Oromo,om-Latn-ET,Latn,Ethiopia and neighboring cells,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact variety and territory cells pending,Do not collapse Oromo varieties or subtract Amharic access without evidence.,Large underserved-language candidate.
NAT-067,natural_language,Somali,so-Latn-SO,Latn,Somalia and separately modeled neighboring or diaspora cells,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; exact country and displaced population cells pending,Deduplicate Somalia neighboring-country and diaspora residents; Arabic or English overlap is not assumed.,Offline distribution is part of the intervention.
NAT-068,natural_language,Tigrinya,ti-Ethi-ET,Ethi,Ethiopia and separately Eritrea,Formal-reasoning core,FR-2,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; Ethiopia and Eritrea profiles pending,Keep territory standards and populations separate; no Amharic credit.,Distinct script rendering and terminology profile.
