observation_id,region,subregion,language_label,edition_profile,iso_639_3_or_other_id,territory,modality,script_or_profile,orthography_evidence_status,learner_stratum,measure_type,count_unit,population_low,population_base,population_high,reference_date_or_year,source_id,source_locator,source_observation_transcribed_exactly,negative_control,source_candidate_flag_superseded,target_mapping_status,observation_use,gross_population_only,rank_ready_marginal_access,overlap_group_id,alternative_measure_role,academic_lingua_franca_overlap_status,existing_edition_overlap_status,portfolio_overlap_status,common_year_status,caveats,provenance_table
POP-IN-011,Asia,South Asia,Malayalam,C-16 Malayalam census language category,mal,India,written_text_candidate,Malayalam,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,34838819,34838819,34838819,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-011-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,"Count is a 2011 census category, not a current speaker estimate. India C-16 census-language category can include multiple named mother-tongue components.",ACE-A078
POP-IN-012,Asia,South Asia,Manipuri,C-16 Manipuri census language category including Meithai,mni,India,written_text_candidate,Meitei Mayek; Bengali,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,1761079,1761079,1761079,2011,PM-S001,"Statement 1, printed p. 7",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-012-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Source footnote says Manipuri includes Meithai; script choice cannot be inferred from total. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-013,Asia,South Asia,Marathi,C-16 Marathi census language category,mar,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,83026680,83026680,83026680,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-013-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Category total includes minor grouped labels. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-014,Asia,South Asia,Nepali,C-16 Nepali census language category including Gorkhali,nep,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,diaspora_regional_language_population,census_mother_tongue_persons,persons,2926168,2926168,2926168,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-014-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Source footnote says Nepali includes Gorkhali. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-015,Asia,South Asia,Odia,C-16 Odia census language category,ory,India,written_text_candidate,Odia,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,37521324,37521324,37521324,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-015-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,ORGI category groups several named mother tongues; ISO 639-3 edition identifier corrected to ory. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-016,Asia,South Asia,Punjabi,C-16 Punjabi census language category,pan,India,written_text_candidate,Gurmukhi,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,33124726,33124726,33124726,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-016-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,India cell should not be merged with Pakistan's Shahmukhi Punjabi without script-aware treatment. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-017,Asia,South Asia,Sanskrit,C-16 Sanskrit census language category,san,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,small_prestige_language_population,census_mother_tongue_persons,persons,24821,24821,24821,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-017-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Mother-tongue return is not a proxy for the much larger learned-language readership. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-018,Asia,South Asia,Santali,C-16 Santali census language category,sat,India,written_text_candidate,Ol Chiki; Bengali; Devanagari; Latin,provisional_uncited_by_population_source,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,7368192,7368192,7368192,2011,PM-S001,"Statement 1, printed p. 7",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-018-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Multiple scripts and grouped Karmali/Mahili entries require edition-specific scoping. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-019,Asia,South Asia,Sindhi,C-16 Sindhi census language category,snd,India,written_text_candidate,Devanagari; Perso-Arabic,provisional_uncited_by_population_source,diaspora_regional_language_population,census_mother_tongue_persons,persons,2772264,2772264,2772264,2011,PM-S001,"Statement 1, printed p. 7",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-019-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Category includes Kachchhi and Bhatia; script and variety must be resolved. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-020,Asia,South Asia,Tamil,C-16 Tamil census language category,tam,India,written_text_candidate,Tamil,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,69026881,69026881,69026881,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-020-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Count is the ORGI category total. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-021,Asia,South Asia,Telugu,C-16 Telugu census language category,tel,India,written_text_candidate,Telugu,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,81127740,81127740,81127740,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-021-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Count is the ORGI category total. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-022,Asia,South Asia,Urdu,C-16 Urdu census language category,urd,India,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,50772631,50772631,50772631,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-022-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,India territory cell is separate from Pakistan Urdu. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-023,Asia,South Asia,Bhojpuri,Bhojpuri mother-tongue row grouped under Hindi,bho,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,50579447,50579447,50579447,2011,PM-S001,"Statement 1, printed p. 6",true,false,false,source_named_language_observation_nested_in_parent,gross_upper_bound_pending_intervention_edges,true,false,HIER-POP-IN-006,same_name_child_preferred_over_parent_for_bhojpuri,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Exact named Bhojpuri child of the printed Hindi umbrella; never sum with POP-IN-006. Exact named C-16 mother-tongue row; parent-child nonadditivity remains mandatory.,ACE-A078
POP-IN-024,Asia,South Asia,Chhattisgarhi,Chhattisgarhi mother-tongue row grouped under Hindi,hne,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,16245190,16245190,16245190,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; never sum with POP-IN-006. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-025,Asia,South Asia,Magahi,Magadhi/Magahi mother-tongue row grouped under Hindi,mag,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,12706825,12706825,12706825,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; never sum with POP-IN-006. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-026,Asia,South Asia,Rajasthani,Rajasthani mother-tongue aggregate grouped under Hindi,raj:ORGI,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_umbrella,census_mother_tongue_persons,persons,25806344,25806344,25806344,2011,PM-S001,"Statement 1, printed p. 6",true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Source aggregate is not one language edition; child of Hindi umbrella. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-027,Asia,South Asia,Haryanvi,Haryanvi mother-tongue row grouped under Hindi,bgc,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,9806519,9806519,9806519,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; internal variety remains possible. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-028,Asia,South Asia,Marwari,Marwari mother-tongue row grouped under Hindi,mwr,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,7831749,7831749,7831749,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; do not add to parent. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-029,Asia,South Asia,Awadhi,Awadhi mother-tongue row grouped under Hindi,awa,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,3850906,3850906,3850906,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; do not add to parent. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-030,Asia,South Asia,Garhwali,Garhwali mother-tongue row grouped under Hindi,gbm,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,2482089,2482089,2482089,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,HIER-POP-IN-006,standalone_observation,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,source_year_observation_no_projection,Child of the Hindi census umbrella; do not add to parent. India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.,ACE-A078
POP-IN-031,Asia,South Asia,Gondi,C-16 non-scheduled Gondi language category,gon:ORGI,India,written_text_candidate,Devanagari; Telugu; Gunjala Gondi; Masaram Gondi,provisional_uncited_by_population_source,Indigenous_or_tribal_language_umbrella,census_mother_tongue_persons,persons,2984453,2984453,2984453,2011,PM-S001,"Statement 1 Part B, printed p. 8",true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,ORGI Gondi category groups named entries and is not a single unqualified production target. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-032,Asia,South Asia,Bhili/Bhilodi,C-16 non-scheduled Bhili/Bhilodi language category,bhi:ORGI,India,written_text_candidate,Devanagari; Gujarati,provisional_uncited_by_population_source,Indigenous_or_tribal_language_umbrella,census_mother_tongue_persons,persons,10413637,10413637,10413637,2011,PM-S001,"Statement 1 Part B, printed p. 8",true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,"Groups Barel, Bhilali, Wagdi, Vasava and other varieties; not one edition target. India C-16 census-language category can include multiple named mother-tongue components.",ACE-A078
POP-IN-033,Asia,South Asia,Garo,C-16 non-scheduled Garo language category,grt:ORGI,India,written_text_candidate,Latin,provisional_uncited_by_population_source,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,1145323,1145323,1145323,2011,PM-S001,"Statement 1 Part B, printed p. 8",true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,ORGI category includes Garo and Others; ISO mapping is to Garo/Achik but source is a census category. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-PK-001,Asia,South Asia,Urdu,Pakistan 2023 mother-tongue category,urd,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,22249307,22249307,22249307,2023,PM-S003,"Table 11, national all-localities all-sexes row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Mother tongue is not total Urdu knowledge.,ACE-A078
POP-PK-002,Asia,South Asia,Punjabi,Pakistan 2023 census Punjabi category; exact production variety unresolved,und:PK-Punjabi,Pakistan,written_text_candidate,Perso-Arabic,production_profile_unresolved,regional_language_population,census_mother_tongue_persons,persons,88915544,88915544,88915544,2023,PM-S003,"Table 11, national row",true,false,false,source_observation_not_candidate_ready,context_or_sensitivity_only,true,false,,standalone_observation,unmeasured,pending_profile_mapping,known_overlap_group_requires_deduplication,source_year_observation_no_projection,The census source says Punjabi and does not establish that all respondents use Western Punjabi pnb or a standardized written register.,ACE-A078
POP-PK-003,Asia,South Asia,Sindhi,Pakistan 2023 Sindhi category,snd,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,34401564,34401564,34401564,2023,PM-S003,"Table 11, national row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Census category does not encode script proficiency.,ACE-A078
POP-PK-004,Asia,South Asia,Pashto,PBS source label Pushto,pus,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_umbrella,census_mother_tongue_persons,persons,43633946,43633946,43633946,2023,PM-S003,"Table 11, national row",true,false,false,source_observation_not_candidate_ready,context_or_sensitivity_only,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,PBS Pushto is a broad category; exact variety is unresolved.,ACE-A078
POP-PK-005,Asia,South Asia,Balochi,Pakistan 2023 Balochi category,bal,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_umbrella,census_mother_tongue_persons,persons,8117795,8117795,8117795,2023,PM-S003,"Table 11, national row",true,false,false,source_observation_not_candidate_ready,context_or_sensitivity_only,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Balochi is a census aggregate spanning varieties.,ACE-A078
POP-PK-006,Asia,South Asia,Kashmiri,Pakistan 2023 Kashmiri category,kas,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,274080,274080,274080,2023,PM-S003,"Table 11, national row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Small national total does not represent all Kashmiri speakers.,ACE-A078
POP-PK-007,Asia,South Asia,Saraiki,Pakistan 2023 Saraiki category,skr,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,28849579,28849579,28849579,2023,PM-S003,"Table 11, national row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Use the source category as observed; do not infer mutual intelligibility.,ACE-A078
POP-PK-008,Asia,South Asia,Hindko,Pakistan 2023 Hindko category,hnd+hno,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_umbrella,census_mother_tongue_persons,persons,5590559,5590559,5590559,2023,PM-S003,"Table 11, national row",true,false,false,source_observation_not_candidate_ready,context_or_sensitivity_only,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,PBS Hindko category spans varieties and ISO codes.,ACE-A078
POP-PK-009,Asia,South Asia,Brahui,Pakistan 2023 Brahvi category,brh,Pakistan,written_text_candidate,Perso-Arabic,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,2778670,2778670,2778670,2023,PM-S003,"Table 11, national row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,PBS spells category BRAHVI.,ACE-A078
POP-PK-010,Asia,South Asia,Shina,Pakistan 2023 Shina category,scl,Pakistan,written_text_candidate,Perso-Arabic; Latin,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,116951,116951,116951,2023,PM-S003,"Table 11, national row",true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,,standalone_observation,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,National census category only.,ACE-A078
