gross_ceiling_display_order,portfolio_position,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,deduplication_rule,evidence_caveat
20,18,NAT-014,natural_language_edition,Eastern Punjabi,pa-Guru-IN,1,India,high_reach_underserved,31144095,31144095,31144095,31144095,31144095,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-016,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
21,23,NAT-058,natural_language_edition,Dari,prs-Arab-AF,1,Afghanistan,high_reach_underserved,0,30083114,30083114,,,source_point_without_interval_model_low_zero_high_point,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-AF-PRS-001,ASSEC-S018,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
22,26,NAT-019,natural_language_edition,Saraiki,skr-Arab-PK,1,Pakistan,high_reach_underserved,28849579,28849579,28849579,28849579,28849579,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-007,PM-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
23,24,NAT-012,natural_language_edition,Pakistani Urdu,ur-Arab-PK,1,Pakistan,high_reach_underserved,22249307,22249307,22249307,22249307,22249307,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-001,PM-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
24,21,NAT-065,natural_language_edition,Amharic,am-Ethi-ET,1,Ethiopia,high_reach_underserved,21634396,21634396,21634396,21634396,21634396,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-002,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
25,22,NAT-034,natural_language_edition,Cebuano,ceb-Latn-PH,1,Philippines,high_reach_underserved,0,20697364,20697364,,,source_point_without_interval_model_low_zero_high_point,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-CEB-001,ASSEC-S008,,,high,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
26,29,EXP-001,natural_language_edition,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,1,Afghanistan,high_reach_underserved,0,18753110,18753110,,,source_point_without_interval_model_low_zero_high_point,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-AF-PS-001,ASSEC-S018,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
27,27,NAT-027,natural_language_edition,Sinhala,si-Sinh-LK,1,Sri Lanka,high_reach_underserved,0,14948168,14948168,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LK-SI-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
28,32,NAT-031,natural_language_edition,Khmer,km-Khmr-KH,1,Cambodia,high_reach_underserved,14893134,14893134,14893134,14893134,14893134,source_interval_or_exact_bounds,census_mother_tongue_persons,2019,ALG-KH-L001,ALG-S011,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
29,25,NAT-011,natural_language_edition,Assamese,as-Beng-IN,1,India,high_reach_underserved,14816414,14816414,14816414,14816414,14816414,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-001,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
30,31,NAT-073,natural_language_edition,isiZulu,zu-Latn-ZA,1,South Africa,high_reach_underserved,14613202,14613202,14613202,14613202,14613202,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-ZUL-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
31,35,NAT-047,natural_language_edition,Kazakh,kk-Cyrl-KZ,1,Kazakhstan,high_reach_underserved,13380107,13380107,13380107,13380107,13380107,source_interval_or_exact_bounds,census_native_language_of_own_nationality_persons,2021,ALG-KZ-L001,ALG-S007,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
32,28,EXP-004,natural_language_edition,India Maithili Devanagari edition,mai-Deva-IN,1,India,high_reach_underserved,13353347,13353347,13353347,13353347,13353347,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-010,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
33,30,NAT-022,natural_language_edition,Nepali,ne-Deva-NP,1,Nepal,high_reach_underserved,13084457,13084457,13084457,13084457,13084457,source_interval_or_exact_bounds,census_mother_tongue_persons,2021,POP-NP-001,PM-S004,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
34,34,NAT-075,natural_language_edition,Shona,sn-Latn-ZW,1,Zimbabwe,high_reach_underserved,11251734,11251734,11251734,11251734,11251734,source_interval_or_exact_bounds,census_mother_tongue_persons,2022,POP-ZW-001,PM-S011,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
35,38,NAT-049,natural_language_edition,Tajik,tg-Cyrl-TJ,1,Tajikistan,high_reach_underserved,0,10394100,10394100,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-TJ-TG-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
36,37,NAT-074,natural_language_edition,isiXhosa,xh-Latn-ZA,1,South Africa,regional_depth,9786928,9786928,9786928,9786928,9786928,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-XHO-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
37,41,EXP-018,natural_language_edition,Mali Bamanankan Latin-script edition,bm-Latn-ML,1,Mali,regional_depth,9551561,9551561,9551561,9551561,9551561,source_interval_or_exact_bounds,census_mother_tongue_persons_age_3_plus,2022,POP-ML-AFG-001,AFG-S008,,,medium,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
38,44,NAT-081,natural_language_edition,Wolof,wo-Latn-SN,1,Senegal,regional_depth,8786892,8786892,8786892,8786892,8786892,source_interval_or_exact_bounds,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-001,AFG-S009,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
39,40,EXP-005,natural_language_edition,Indonesia Madurese Latin-script edition,mad-Latn-ID,1,Indonesia,regional_depth,7743533,7743533,7743533,7743533,7743533,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-005,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
40,43,NAT-035,natural_language_edition,Ilocano,ilo-Latn-PH,1,Philippines,regional_depth,0,7098503,7098503,,,source_point_without_interval_model_low_zero_high_point,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-ILO-001,ASSEC-S008,,,high,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
41,33,NAT-055,natural_language_edition,Turkmen,tk-Latn-TM,1,Turkmenistan,regional_depth,6297965,6297965,6297965,6297965,6297965,source_interval_or_exact_bounds,census_mother_tongue_persons,2022,ALG-TM-L001,ALG-S009,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
42,46,NAT-036,natural_language_edition,Hiligaynon,hil-Latn-PH,1,Philippines,regional_depth,0,6073883,6073883,,,source_point_without_interval_model_low_zero_high_point,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-HIL-001,ASSEC-S008,,,high,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
43,47,EXP-019,natural_language_edition,South Africa Sepedi Latin-script edition,nso-Latn-ZA,1,South Africa,regional_depth,5972255,5972255,5972255,5972255,5972255,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-NSO-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
44,42,NAT-048,natural_language_edition,Kyrgyz,ky-Cyrl-KG,1,Kyrgyzstan,regional_depth,5527168,5527168,5527168,5527168,5527168,source_interval_or_exact_bounds,census_native_language_persons,2022,ALG-KG-L001,ALG-S008,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
45,36,NAT-032,natural_language_edition,Lao,lo-Laoo-LA,1,Laos,regional_depth,0,5487956,5487956,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LA-LO-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
46,49,EXP-020,natural_language_edition,South Africa Setswana Latin-script edition,tn-Latn-ZA,1,South Africa,regional_depth,4972787,4972787,4972787,4972787,4972787,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-TSN-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
47,50,EXP-021,natural_language_edition,South Africa Sesotho Latin-script edition,st-Latn-ZA,1,South Africa,regional_depth,4678964,4678964,4678964,4678964,4678964,source_interval_or_exact_bounds,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-SOT-2022,ZA-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
48,39,EXP-013,natural_language_edition,Ethiopia Somali Latin-script edition,so-Latn-ET,1,Ethiopia,regional_depth,4609274,4609274,4609274,4609274,4609274,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-003,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
49,53,EXP-014,natural_language_edition,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,1,Ethiopia,regional_depth,4324933,4324933,4324933,4324933,4324933,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-004,PM-S020,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
50,56,OBS-POP-SN-AFG-002,natural_language_edition,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,1,Senegal,regional_depth,4314509,4314509,4314509,4314509,4314509,source_interval_or_exact_bounds,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-002,AFG-S009,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
51,52,EXP-006,natural_language_edition,Indonesia Minangkabau Latin-script edition,min-Latn-ID,1,Indonesia,regional_depth,4232226,4232226,4232226,4232226,4232226,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-006,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
52,55,EXP-007,natural_language_edition,Indonesia Banjar Latin-script edition,bjn-Latn-ID,1,Indonesia,regional_depth,3651626,3651626,3651626,3651626,3651626,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-007,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
