exposure_position,wave,allocation_lane,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,population_context,population_denominator_classes,population_source_ids,direct_reader_reach_claim,shared_core_compute_reuse,education_stages,needs_profile_ids,named_output_profile_ids,why_now,first_bounded_package,follow_on_package,prerequisite_route,existing_supply_state,delivery_formats,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,package_evidence_status,recommendation_status,ordering_basis,evidence_confidence,source_urls,uncertainty
21,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-004,natural_language,Indian Tamil,ta-Taml-IN,India,GLB-014,"Tamil, India: 69,026,881 [mother_tongue_or_first_language; 2011] | Tamil, India: 68,888,839 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-020;PM-S001;POP-IN-COMP-020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Shared formula, layout and QA only unless measured Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",first-year tertiary,HRN-009,ta-Taml-IN,Undergraduate-to-research continuity is a higher marginal gap than generic school translation.,"Tamil-English first-year STEM, computing and management with worked problems, offline simulations and research methods.","Health, climate/agriculture, cyber-finance and SME professional modules, then accessible school practice where needed.",Secondary diagnostic -> Tamil-English first-year bridge -> reproducible methods -> postgraduate/frontier navigation.,Tamil has comparatively strong school/vocational and computing-tutorial supply.,Offline semantic course graph plus simulations and print.,"Full solutions, bilingual terminology, research datasets and reproducible notebooks.","Tamil font/TTS testing, semantic math, captions and reflow.",Sri Lankan Tamil remains a separate profile and curriculum.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 3 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",medium-high,https://scertbooks-staging.tnschools.gov.in/ ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf ; https://spoken-tutorial.org/,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Strong supply does not imply open-license or research-frontier closure. State proxy is rural and does not describe all Indian Tamil speakers; advanced work is not useless, only lower marginal priority for the first broad-access package Sri Lankan Tamil is a distinct locale and population cell."
22,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-065,natural_language,Amharic,am-Ethi-ET,Ethiopia,GLB-048,"Amharic: 56,900,000 [education_cohort; 2018 estimate] | Amharic: 21,634,396 [mother_tongue_or_first_language; 2007]",education_cohort;mother_tongue_or_first_language,SUP-032;SUPSRC-UNICEF-AMHARIC-LOI;POP-ET-002;PM-S020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,am-Ethi-ET,Use exact old L1 and broad school estimate in separate views.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Primary/official supply exists; tertiary/professional discontinuity.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Broad estimate is not an exact written-reader count.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|large_national_mother_tongue|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Broad estimate is not an exact written-reader count.
23,wave_03_mixed_allocation_lanes,regional_depth,NAT-035,natural_language,Ilocano,ilo-Latn-PH,Philippines,,"Iloko: 7,098,503 [CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract; 2010-12-31]",CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,ASSEC-PH-ILO-001;ASSEC-S008,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,ilo-Latn-PH,Official regional use is not proof of advanced open terminology.,"Produce the registered FR-2 Formal-reasoning core for this exact named output: FR-1 plus first-order-logic; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-2 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> FR-1 -> FR-2.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Count exact language-speaking household evidence only in its original measure.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view other_source_defined_person_count|national_main_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
24,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-046,natural_language,Uzbek,uz-Latn-UZ,Uzbekistan,,"Uzbekistan Uzbek Latin-script edition: 35,700,000 (interval 35,650,000–35,749,999) [preliminary_census_mother_tongue_persons_rounded; 2026]",preliminary_census_mother_tongue_persons_rounded,ALG-UZ-L001;ALG-S018,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,uz-Latn-UZ,Large Central Asian official-language candidate.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Latin and Cyrillic literacy must be separate modifiers; Turkish gives zero coverage credit.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|unspecified_source_stratum|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.
25,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-038,natural_language,Javanese,jv-Latn-ID,Indonesia,GLB-040,"Javanese: 68,044,660 [home_or_usual_language_use; 2010]",home_or_usual_language_use,POP-ID-001;PM-S005,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",primary_to_secondary,,jv-Latn-ID,"No Javanese-specific large-scale mathematics assessment located; Indonesia PISA gives only a national proxy and BPS 2010 counted 68,044,660 age-5+ daily home users",Oral/bilingual Javanese-to-Bahasa number-sense through prealgebra/algebra scaffold with audio and deliberate terminology transfer,"After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Advanced Indonesian bridge supply exists; Javanese scientific supply limited.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Explicit subset/overlap edge with Indonesian is mandatory.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view home_or_usual_language_use|large_regional_home_language|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,https://www.bps.go.id/id/publication/2012/05/23/55eca38b7fe0830834605b35/kewarganegaraan-suku-bangsa-agama-dan-bahasa-sehari-hari-penduduk-indonesia.html ; https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Outcome evidence is not Javanese-specific; register, dialect and script choices require explicit profiles rather than a single pan-Javanese claim Explicit subset/overlap edge with Indonesian is mandatory."
26,wave_03_mixed_allocation_lanes,regional_depth,EXP-004,natural_language,India Maithili Devanagari edition,mai-Deva-IN,India,,"Maithili: 13,353,347 [census_same_name_mother_tongue_component_persons; 2011]",census_same_name_mother_tongue_component_persons,POP-IN-COMP-010;PM-S001,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,mai-Deva-IN,requested large underserved priority,"Produce the registered SB-1 Secondary data bridge for this exact named output: MV-1 plus Introductory Statistics 2e; adaptation D3; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded SB-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> MV-1 -> SB-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Nested in parent POP-IN-010; never sum parent and component. Nepal Maithili is a distinct territory observation and profile.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S001;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
27,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-030,natural_language,Burmese,my-Mymr-MM,Myanmar and displaced cohorts,GLB-047,"Burmese: 36,817,344 [functional_language_ability_or_estimate; 2026-03-17 CLDR release; component estimate year not stated]",functional_language_ability_or_estimate,ASSEC-MM-MY-001;ASSEC-S006,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,my-Mymr-MM,Keep territory and Burmese functional reach separate; displaced populations explicit.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Supply disrupted and uneven.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Territory includes non-Burmese L1 communities.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view functional_language_ability_or_estimate|functional_literate_language_users_L1_or_later_language|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Territory includes non-Burmese L1 communities.
28,wave_03_mixed_allocation_lanes,endangered_prestige,NAT-044,natural_language,Fataluku,ddg-Latn-TL,Timor-Leste,,"Fataluku: 41,500 [census_mother_tongue_persons; 2015]",census_mother_tongue_persons,ALG-TL-L009;ALG-S014,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,ddg-Latn-TL,Regional-depth and prestige-domain candidate.,"Produce the registered FR-1 Formal-reasoning foundation for this exact named output: methods plus sets-functions-relations plus propositional; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> FR-1.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Own-community cell only; no Tetum coverage deduction without evidence.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle endangered_prestige; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
29,wave_03_mixed_allocation_lanes,high_reach_underserved,NAT-064,natural_language,Kenyan Swahili,sw-Latn-KE,Kenya,GLB-036,"Standard Kiswahili with country layers: 47,564,296 [territory_all_residents_ceiling; 2019]",territory_all_residents_ceiling,SUP-023;SUPSRC-KE-CENSUS-2019,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High standard-core reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary through first-year tertiary,,sw-Latn-KE,Genuine learned regional bridge; country and DRC-variety layers are mandatory.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Tanzania primary supply; DRC/Uganda gaps stronger.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view territory_all_residents_ceiling|Kenya residents|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.
30,wave_03_mixed_allocation_lanes,regional_depth,NAT-014,natural_language,Eastern Punjabi,pa-Guru-IN,Punjab India,GLB-020,"Punjabi, India: 33,124,726 [mother_tongue_or_first_language; 2011] | Punjabi, India: 31,144,095 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-016;PM-S001;POP-IN-COMP-016,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High semantic and transliteration assistance Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary through first-year tertiary,,pa-Guru-IN,Separate Gurmukhi population and edition; share semantics with Pakistan output.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Supply inventory incomplete.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",No cross-script population credit.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-E011;ACE-E019;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. No cross-script population credit.
31,wave_04_mixed_allocation_lanes,high_reach_underserved,NAT-040,natural_language,Malaysian Malay formal reasoning via Indonesian source reuse,ms-Latn-MY,Malaysia,GLB-054,"Malaysian Malay: 32,400,000 (interval 32,350,000–32,449,999) [territory_all_residents_ceiling; 2020]",territory_all_residents_ceiling,SUP-041;SUPSRC-MY-DOSM-PHC-2020,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,IL-IDMS Indonesian–Malaysian Malay production architecture: reuse the completed Indonesian semantic/formula source for the 210-unit FR-2 Malaysian output. Locale-delta token savings are unmeasured. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,upper-secondary through undergraduate formal reasoning,,ms-Latn-MY,Malaysian Malay is a separately named output inside the Indonesian–Malaysian shared-source architecture and must not disappear behind the completed Indonesian edition.,"Produce the registered FR-2 Formal-reasoning core, 210 source units covering FR-1 plus first-order logic, as a Malaysian Malay locale adaptation of the completed 722/722 Indonesian Open Logic corpus. NAT-040 owns this bounded shared-source action; IL-IDMS is its architecture alias, not another commission. Retain diagnostics, complete worked answers, editable source and offline HTML/MathML/PDF.","After the FR-2 component, scope the remaining non-FR-2 Open Logic modules and separate Malaysian Jawi derivatives individually; neither is included in this first action's reader estimate.",Diagnostic entry -> FR-1 -> FR-2.,Malaysian educational supply exists; the verified reusable source asset is Indonesian Open Logic 722/722. Exact Malaysian terminology/curriculum deltas are distinct from Indonesian readership.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.","One ms-Latn-MY FR-2 commission, canonically NAT-040. IL-IDMS is an exact first-action alias retained in architecture/disposition data. Do not count Indonesian beneficiaries, the architecture itself, additional Open Logic units or Jawi derivatives as this action's new audience.",registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view territory_all_residents_ceiling|Malaysia residents|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A011;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The rounded 32.4M Malaysia territory population and 20.6M Bumiputera count are not Malay-reader counts. Indonesian contributes zero direct Malaysian demographic reach without directed evidence.
32,wave_04_mixed_allocation_lanes,high_reach_underserved,NAT-121,existing_program_nonduplicative_extension,Bahasa Indonesia Evidence-to-Practice and Research Core,id-Latn-ID,Indonesia,GLB-039,"Bahasa Indonesia: 248,501,794 [functional_language_ability_or_estimate; 2022]",functional_language_ability_or_estimate,POP-ID-018;PM-S021,"248,501,794 is age-5+ ability to speak Indonesian, not written academic comfort or the number newly helped.","Reuse the established terminology, build, QA and offline infrastructure; Malaysian Malay localization is a separate later output. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",undergraduate; professional/continuing; postgraduate and active researcher,HRN-010,id-Latn-ID,The language choice is strongly supported by a 248.5M functional-language census measure and by the already completed 722-module Open Logic corpus and 40-course program infrastructure.,Add six nonduplicative courses: research design/open science; applied statistics and causal reasoning in R/Python; reproducible data/AI/cybersecurity; evidence appraisal; public health/One Health; climate-smart agriculture/disaster risk.,"Maintained professional updates for MSME finance/management, health CPD, renewable energy/water, agriculture/aquaculture and quarterly frontier briefs.",Use completed Indonesian Open Logic and the relevant available exact-course prerequisites -> statistics/programming entry diagnostic and prerequisite repair -> evidence-to-practice core -> maintained professional updates; completion of the whole 40-course program is not required.,"Indonesian program, not pilot: Open Logic 722/722 and a 40-course mathematics program with public and active-production roles.","Download-once offline HTML/PWA/local server, EPUB, tagged PDF and source package.","Complete exercises/answers, diagnostics, executable notebooks, maintenance cadence and evidence-update dates.","Semantic MathML, screen-reader navigation, captions/audio, low-bandwidth mode and print.",Do not duplicate the completed Open Logic corpus or already covered 40-course roles; commission only exact residual or new-domain packages.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 3 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view functional_language_ability_or_estimate|population_age_5_plus|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high current-state; medium marginal population,https://sensus.bps.go.id/topik/tabular/sp2022/196 ; https://github.com/KokunoYumeto/program-matematika-indonesia,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. This is an Indonesian program, not a pilot; page universes are not interchangeable. BPS 248,501,794 is an age-5+ spoken/understood-language criterion, not written or academic proficiency. Page universes are not interchangeable: 19,745 teaching-package, 20,763 selected-corpus working, 27,705 rendered-universe, and 26,031 public-artifact reconstruction pages are not a final translated-page total. Oral ability is not written academic comfort; overlaps Javanese and other home languages."
33,wave_04_mixed_allocation_lanes,regional_depth,NAT-049,natural_language,Tajik,tg-Cyrl-TJ,Tajikistan,,"Tajik: 10,394,100 [derived_cldr_territory_functional_language_users; 2026-03-17 CLDR release; component estimate year not stated]",derived_cldr_territory_functional_language_users,ASSEC-TJ-TG-001;ASSEC-S006,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High semantic reuse with script/locale deltas Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary through first-year tertiary,,tg-Cyrl-TJ,Shared Persianate semantics can reduce adaptation compute.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,missing; Iranian Persian complete,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Iranian Persian gives zero Tajik credit without script-adjusted comprehension evidence.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view territory_all_residents_ceiling|functional_literate_language_users_L1_or_later_language|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A009;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
