portfolio_id,adaptation_depth,scenario,source_token_measure,source_tokens_before_depth,depth_multiplier,effective_source_tokens,editable_units,uncached_input_tokens,cached_input_tokens,output_tokens,gross_tokens,api_equivalent_usd,source_ids,caveat
FR-1,D3,base,measured source closure,50330,1,50330,87,1219004,705353,226570,2150927,9.69,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-1,D3,high,measured source closure,50330,1,50330,87,5558508,3654000,833964,10046472,40.37,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D2,low,measured source closure,120083,0.6,72050,210,348671,297675,106487,752834,3.64,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D2,base,measured source closure,120083,0.7,84058,210,1713387,1702575,316750,3732712,13.87,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D2,high,measured source closure,120083,0.8,96066,210,7890501,8820000,1210143,17920644,59.29,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D3,low,measured source closure,120083,1,120083,210,451583,297675,163478,912737,5.19,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D3,base,measured source closure,120083,1,120083,210,1957402,1702575,413072,4073049,16.77,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-2,D3,high,measured source closure,120083,1,120083,210,8436888,8820000,1407683,18664571,65.43,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D2,low,measured source closure,157048,0.6,94229,276,424257,391230,132803,948290,4.51,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D2,base,measured source closure,157048,0.7,109934,276,2031350,2237670,385936,4654956,16.74,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D2,high,measured source closure,157048,0.8,125638,276,9256265,11592000,1453373,22301637,70.73,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D3,low,measured source closure,157048,1,157048,276,558848,391230,207337,1157416,6.54,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D3,base,measured source closure,157048,1,157048,276,2350477,2237670,511907,5100054,20.54,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-3,D3,high,measured source closure,157048,1,157048,276,9970842,11592000,1711720,23274562,78.75,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D2,low,measured source closure,318916,0.6,191350,642,787983,910035,248037,1946054,8.48,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D2,base,measured source closure,318916,0.7,223241,642,3590127,5205015,688891,9484033,30.22,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D2,high,measured source closure,318916,0.8,255133,642,16045276,26964000,2518469,45527745,125.34,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D3,low,measured source closure,318916,1,318916,642,1061296,910035,399394,2370725,12.6,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D3,base,measured source closure,318916,1,318916,642,4238182,5205015,944702,10387898,37.93,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-4,D3,high,measured source closure,318916,1,318916,642,17496339,26964000,3043084,47503423,141.63,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D2,low,measured source closure,367220,0.6,220332,722,884097,1023435,282424,2189956,9.59,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D2,base,measured source closure,367220,0.7,257054,722,3992119,5853615,779298,10625032,33.9,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D2,high,measured source closure,367220,0.8,293776,722,17764404,30324000,2836308,50924712,139.91,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D3,low,measured source closure,367220,1,367220,722,1198809,1023435,456707,2678950,14.34,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D3,base,measured source closure,367220,1,367220,722,4738329,5853615,1073854,11665798,42.77,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-5,D3,high,measured source closure,367220,1,367220,722,19435255,30324000,3440385,53199640,158.68,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
