population_cell_id,region,subregion,language_name,variety_name,iso_639_3_or_other_id,territory,source_reported_script,source_reported_orthography,modality,learner_stratum,measure_type,count_unit,population_low,population_base,population_high,reference_year,source_id,source_locator,confidence,source_observation_transcribed_exactly,negative_control,producer_strict_reach_flag_superseded,target_mapping_status,observation_use,gross_population_only,rank_ready_marginal_access,requires_intervention_edge,orthography_evidence_status,academic_lingua_franca_overlap_status,existing_edition_overlap_status,portfolio_overlap_status,overlap_group_id,alternative_measure_role,hierarchy_parent_cell_id,overlap_source_id,c17_nonoverlap_low,c17_nonoverlap_base,c17_nonoverlap_high,corrected_written_population_low,corrected_written_population_base,corrected_written_population_high,common_year_status,overlap_notes,caveats,audit_notes
POP-IN-011,Asia,South Asia,Malayalam,C-16 Malayalam census language category,mal,India,Malayalam,standard Malayalam orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,34838819,34838819,34838819,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.761950972,0.880975486,0.952390194,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,"Count is a 2011 census category, not a current speaker estimate.",India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-012,Asia,South Asia,Manipuri,C-16 Manipuri census language category including Meithai,mni,India,Meitei Mayek; Bengali,script transition and edition audience must be explicit,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,1761079,1761079,1761079,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.602113250,0.801056625,0.920422650,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Source footnote says Manipuri includes Meithai; script choice cannot be inferred from total.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-013,Asia,South Asia,Marathi,C-16 Marathi census language category,mar,India,Devanagari,standard Marathi Devanagari,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,83026680,83026680,83026680,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.554904905,0.777452453,0.910980981,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Category total includes minor grouped labels.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-014,Asia,South Asia,Nepali,C-16 Nepali census language category including Gorkhali,nep,India,Devanagari,standard Nepali orthography,written_text_candidate,diaspora_regional_language_population,census_mother_tongue_persons,persons,2926168,2926168,2926168,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.438690807,0.719345403,0.887738161,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Source footnote says Nepali includes Gorkhali.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-015,Asia,South Asia,Odia,C-16 Odia census language category,ory,India,Odia,standard Odia orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,37521324,37521324,37521324,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.735945139,0.867972569,0.947189028,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,ORGI category groups several named mother tongues; ISO 639-3 edition identifier corrected to ory.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-016,Asia,South Asia,Punjabi,C-16 Punjabi census language category,pan,India,Gurmukhi,Indian Punjabi Gurmukhi standard,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,33124726,33124726,33124726,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.469528503,0.734764251,0.893905701,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,India cell should not be merged with Pakistan's Shahmukhi Punjabi without script-aware treatment.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-017,Asia,South Asia,Sanskrit,C-16 Sanskrit census language category,san,India,Devanagari,modern census return; historically multi-script,written_text_candidate,small_prestige_language_population,census_mother_tongue_persons,persons,24821,24821,24821,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.338825994,0.669412997,0.867765199,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Mother-tongue return is not a proxy for the much larger learned-language readership.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-018,Asia,South Asia,Santali,C-16 Santali census language category,sat,India,Ol Chiki; Bengali; Devanagari; Latin,script choice is territory and education-system specific,written_text_candidate,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,7368192,7368192,7368192,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.692145509,0.846072754,0.938429102,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Multiple scripts and grouped Karmali/Mahili entries require edition-specific scoping.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-019,Asia,South Asia,Sindhi,C-16 Sindhi census language category,snd,India,Devanagari; Perso-Arabic,Indian Sindhi uses multiple scripts,written_text_candidate,diaspora_regional_language_population,census_mother_tongue_persons,persons,2772264,2772264,2772264,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.386711367,0.693355683,0.877342273,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Category includes Kachchhi and Bhatia; script and variety must be resolved.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-020,Asia,South Asia,Tamil,C-16 Tamil census language category,tam,India,Tamil,standard Indian Tamil orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,69026881,69026881,69026881,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.797287538,0.898643769,0.959457508,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Count is the ORGI category total.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-021,Asia,South Asia,Telugu,C-16 Telugu census language category,tel,India,Telugu,standard Telugu orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,81127740,81127740,81127740,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.828934789,0.914467394,0.965786958,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Count is the ORGI category total.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-022,Asia,South Asia,Urdu,C-16 Urdu census language category,urd,India,Perso-Arabic,Nastaliq Urdu standard,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,50772631,50772631,50772631,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.543607303,0.771803651,0.908721461,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,India territory cell is separate from Pakistan Urdu.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-023,Asia,South Asia,Bhojpuri,Bhojpuri mother-tongue row grouped under Hindi,bho,India,Devanagari,modern Devanagari; Kaithi heritage,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,50579447,50579447,50579447,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,false,source_named_language_observation_nested_in_parent,gross_upper_bound_pending_intervention_edges,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,same_name_child_preferred_over_parent_for_bhojpuri,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Exact named Bhojpuri child of the printed Hindi umbrella; never sum with POP-IN-006.,Exact named C-16 mother-tongue row; parent-child nonadditivity remains mandatory.
POP-IN-024,Asia,South Asia,Chhattisgarhi,Chhattisgarhi mother-tongue row grouped under Hindi,hne,India,Devanagari,standardized Devanagari usage,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,16245190,16245190,16245190,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; never sum with POP-IN-006.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-025,Asia,South Asia,Magahi,Magadhi/Magahi mother-tongue row grouped under Hindi,mag,India,Devanagari,modern Devanagari,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,12706825,12706825,12706825,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; never sum with POP-IN-006.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-026,Asia,South Asia,Rajasthani,Rajasthani mother-tongue aggregate grouped under Hindi,raj:ORGI,India,Devanagari,aggregate of multiple Rajasthani varieties,written_text_candidate,regional_language_umbrella,census_mother_tongue_persons,persons,25806344,25806344,25806344,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Source aggregate is not one language edition; child of Hindi umbrella.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-027,Asia,South Asia,Haryanvi,Haryanvi mother-tongue row grouped under Hindi,bgc,India,Devanagari,modern Devanagari,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,9806519,9806519,9806519,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; internal variety remains possible.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-028,Asia,South Asia,Marwari,Marwari mother-tongue row grouped under Hindi,mwr,India,Devanagari,modern Devanagari; Mahajani heritage,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,7831749,7831749,7831749,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; do not add to parent.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-029,Asia,South Asia,Awadhi,Awadhi mother-tongue row grouped under Hindi,awa,India,Devanagari,modern Devanagari,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,3850906,3850906,3850906,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; do not add to parent.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-030,Asia,South Asia,Garhwali,Garhwali mother-tongue row grouped under Hindi,gbm,India,Devanagari,modern Devanagari,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,2482089,2482089,2482089,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,known_overlap_group_requires_deduplication,HIER-POP-IN-006,standalone_observation,POP-IN-006,,,,,,,,source_year_observation_no_projection,No variety-specific C-17 factor; parent Hindi overlap must not be inherited.,Child of the Hindi census umbrella; do not add to parent.,India C-16 census-language category can include multiple named mother-tongue components. Overlaps hierarchy parent POP-IN-006; never sum parent and child without set accounting.
POP-IN-031,Asia,South Asia,Gondi,C-16 non-scheduled Gondi language category,gon:ORGI,India,Devanagari; Telugu; Gunjala Gondi; Masaram Gondi,multiple varieties and scripts,written_text_candidate,Indigenous_or_tribal_language_umbrella,census_mother_tongue_persons,persons,2984453,2984453,2984453,2011,PM-S001,"Statement 1 Part B, printed p. 8",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,,,,,,,,source_year_observation_no_projection,No C-17 factor joined in this agent table.,ORGI Gondi category groups named entries and is not a single unqualified production target.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-032,Asia,South Asia,Bhili/Bhilodi,C-16 non-scheduled Bhili/Bhilodi language category,bhi:ORGI,India,Devanagari; Gujarati,large census umbrella,written_text_candidate,Indigenous_or_tribal_language_umbrella,census_mother_tongue_persons,persons,10413637,10413637,10413637,2011,PM-S001,"Statement 1 Part B, printed p. 8",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,,,,,,,,source_year_observation_no_projection,No C-17 factor joined in this agent table.,"Groups Barel, Bhilali, Wagdi, Vasava and other varieties; not one edition target.",India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-033,Asia,South Asia,Garo,C-16 non-scheduled Garo language category,grt:ORGI,India,Latin,standard Garo Latin with variety caveat,written_text_candidate,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,1145323,1145323,1145323,2011,PM-S001,"Statement 1 Part B, printed p. 8",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,,,,,,,,source_year_observation_no_projection,No C-17 factor joined in this agent table.,ORGI category includes Garo and Others; ISO mapping is to Garo/Achik but source is a census category.,India C-16 census-language category can include multiple named mother-tongue components.
POP-PK-001,Asia,South Asia,Urdu,Pakistan 2023 mother-tongue category,urd,Pakistan,Perso-Arabic,Nastaliq Urdu,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,22249307,22249307,22249307,2023,PM-S003,"Table 11, national all-localities all-sexes row",high,true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,,,,,,,,source_year_observation_no_projection,Separate territory cell from India Urdu.,Mother tongue is not total Urdu knowledge.,
POP-PK-002,Asia,South Asia,Punjabi,Pakistan 2023 census Punjabi category; exact production variety unresolved,und:PK-Punjabi,Pakistan,Perso-Arabic,Shahmukhi reported for Pakistani Punjabi but literacy and pnb attribution unmeasured,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,88915544,88915544,88915544,2023,PM-S003,"Table 11, national row",high,true,false,false,source_observation_not_candidate_ready,context_or_sensitivity_only,true,false,true,production_profile_unresolved,unmeasured,pending_profile_mapping,known_overlap_group_requires_deduplication,,standalone_observation,,,,,,,,,source_year_observation_no_projection,Retain as an unresolved high-priority population ceiling; do not join automatically to pnb or credit Shahmukhi reading.,The census source says Punjabi and does not establish that all respondents use Western Punjabi pnb or a standardized written register.,
POP-PK-003,Asia,South Asia,Sindhi,Pakistan 2023 Sindhi category,snd,Pakistan,Perso-Arabic,Sindhi Arabic script,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,34401564,34401564,34401564,2023,PM-S003,"Table 11, national row",high,true,false,true,source_named_language_observation,gross_upper_bound_pending_intervention_edges,true,false,true,provisional_uncited_by_population_source,unmeasured,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,,,,,,,,source_year_observation_no_projection,Separate territory cell from India Sindhi.,Census category does not encode script proficiency.,
