"source_key","entity","authority_or_authors","registered_date","title","version_identity","license_identity","url","local_evidence_workspace_relative","registered_bytes","recomputed_bytes","bytes_status","registered_sha256","recomputed_sha256","hash_status","supporting_evidence_workspace_relative","supporting_evidence_sha256","apa_reference_draft","manuscript_source_statement","missing_or_bounded_evidence"
"ASSEC-S002","Unicode CLDR","Unicode Consortium CLDR Technical Committee","2025-10-29 CLDR 48 release","CLDR 48 Territory-Language Information chart","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_48_territory_language_information.html","476732","476732","PASS","7FE267322DAED97533C2A5EE5E847FA0F847F2C2B903906F371F4990BE733C9A","7FE267322DAED97533C2A5EE5E847FA0F847F2C2B903906F371F4990BE733C9A","PASS","","","Unicode Consortium CLDR Technical Committee. (2025, October 29). *CLDR 48 Territory-Language Information chart* [authoritative secondary dataset chart and measure definition]. https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html","ASSEC-S002: Approximate literate functional language population comfortable using the language with computers; may include L1 and later-language users Registered locator: Introduction immediately before Territory Code table; target territory rows used only as human-readable corroboration of XML Limitation: Chart counts are visibly rounded and are not used as arithmetic inputs. Chart version 48 supplies the measure definition for the release-48-2 XML; the pinned 48.2 XML supplies all staged values.","No publication metadata beyond the registered fields is inferred. Chart counts are visibly rounded and are not used as arithmetic inputs. Chart version 48 supplies the measure definition for the release-48-2 XML; the pinned 48.2 XML supplies all staged values."
"ASSEC-S003","Unicode CLDR","Unicode Consortium CLDR Technical Committee","accessed 2026-08-25; page publication date not stated","Requesting Additions or Updates to CLDR Language and Population Data","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://cldr.unicode.org/index/requesting-additionsupdates-to-cldr-languagepopulation-data","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_language_population_methodology.html","5191","5191","PASS","A8B1EBB525CF85B182596ABC272260A3AB8228EDA35D93E0493DA71442018883","A8B1EBB525CF85B182596ABC272260A3AB8228EDA35D93E0493DA71442018883","PASS","","","Unicode Consortium CLDR Technical Committee. (n.d.). *Requesting Additions or Updates to CLDR Language and Population Data* [official methodology page]. Retrieved August 25, 2026, from https://cldr.unicode.org/index/requesting-additionsupdates-to-cldr-languagepopulation-data","ASSEC-S003: CLDR inclusion purpose and requirements for reliable population and literacy sources Registered locator: Paragraphs on computer-interface usefulness and reliable sources for population updates Limitation: Methodology support only; it provides no observation. Its language-name resource list mentions Wikipedia, but this package does not use that link or Wikipedia evidence.","No publication metadata beyond the registered fields is inferred. Methodology support only; it provides no observation. Its language-name resource list mentions Wikipedia, but this package does not use that link or Wikipedia evidence."
"ASSEC-S004","Unicode CLDR","Unicode Consortium CLDR Technical Committee","2026-03-17","CLDR Releases and Downloads","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://cldr.unicode.org/index/downloads","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_releases_downloads.html","80418","80418","PASS","11CBD48F07E7F8022867CE804375ED88950C25E38893D78943A8E0D0B78B7828","11CBD48F07E7F8022867CE804375ED88950C25E38893D78943A8E0D0B78B7828","PASS","","","Unicode Consortium CLDR Technical Committee. (2026, March 17). *CLDR Releases and Downloads* [official release metadata]. https://cldr.unicode.org/index/downloads","ASSEC-S004: Identifies CLDR 48.2 as a stable release and gives its release date and GitHub tag Registered locator: Release table row 48.2 Limitation: Release metadata only; not population evidence by itself.","No publication metadata beyond the registered fields is inferred. Release metadata only; not population evidence by itself."
"ASSEC-S005","Unicode CLDR","Unicode Consortium CLDR Technical Committee","2026-03-17","Unicode CLDR 48.2 likely-subtag mappings","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/likelySubtags.xml","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_48_2_likelySubtags.xml","919361","919361","PASS","B0049BC6420715B1E3010F43D95745DCA227C5AA60357D1D89A1BDCB06287312","B0049BC6420715B1E3010F43D95745DCA227C5AA60357D1D89A1BDCB06287312","PASS","","","Unicode Consortium CLDR Technical Committee. (2026, March 17). *Unicode CLDR 48.2 likely-subtag mappings* [authoritative profile-mapping XML]. https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/likelySubtags.xml","ASSEC-S005: Likely language-script-territory mappings used only to check candidate profile alignment Registered locator: likelySubtag elements from bn my lo mn si ta ms tg and Philippine language codes Limitation: Profile support only; not population evidence. Tamil defaults to ta-Taml-IN and therefore supports script but not a Sri Lanka-specific likely profile.","No publication metadata beyond the registered fields is inferred. Profile support only; not population evidence. Tamil defaults to ta-Taml-IN and therefore supports script but not a Sri Lanka-specific likely profile."
"ASSEC-S006","Unicode CLDR","Arithmetic derivation from ASSEC-S001 through ASSEC-S005","2026-03-17 release; component years not stated","Transparent CLDR 48.2 target person-count derivations and exclusion audit","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_target_derivations.md","3740","3740","PASS","C953259BCD31245CED999D553C6289E48BBB7BB727F9411DBB95AF340466AAE5","C953259BCD31245CED999D553C6289E48BBB7BB727F9411DBB95AF340466AAE5","PASS","","","*Transparent CLDR 48.2 target person-count derivations and exclusion audit*. (2026, March 17). [transparent secondary derivation witness]. https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","ASSEC-S006: Nearest-person arithmetic from pinned territory population times pinned language population percentage; no invented confidence interval Registered locator: cldr_target_derivations.md formulas table and exclusion audit Limitation: Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.","No publication metadata beyond the registered fields is inferred. Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence."
"FLORES-SONAR-MAPPING","FLORES-200 / SONAR","Paul-Ambroise Duquenne; Holger Schwenk; Benoit Sagot (paper); Meta AI / facebookresearch (repository)","2023 paper; repository snapshot retrieved 2026-08-25","SONAR: Sentence-Level Multimodal and Language-Agnostic Representations / supported-language mapping","README states sonar-space ~=0.5.0; repository commit not registered","README: code MIT; models may be MIT or non-commercial; exact linked license files not preserved","https://github.com/facebookresearch/SONAR/blob/main/README.md","01_methodology/research_department/ai_compute_educational_access_20260825/sources/SONAR_README_20260825.md","58239","58239","PASS","D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386","D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386","PASS","","","Duquenne, P.-A., Schwenk, H., & Sagot, B. (2023). *SONAR: Sentence-level multimodal and language-agnostic representations*. arXiv. https://arxiv.org/abs/2308.11466","The preserved official SONAR README states that its text encoders/decoders cover the 202 NLLB-200 model languages and comprise all 204 FLORES-200 language-script profiles; the mapping table beginning at local line 273 provides exact codes, scripts, families, subgroupings, NLLB resource levels, and occasional benchmark varieties. Use this only as benchmark/model-support context, not as evidence of current translation quality, terminology, or educational usability.","The local README registers the three-author 2023 SONAR paper citation, but not the full author/publication metadata for the linked No Language Left Behind/FLORES paper. The preserved snapshot has no repository commit identifier. It states sonar-space ~=0.5.0 as current, code under MIT, and warns that some models use a non-commercial license; the linked license files were not preserved in this bounded evidence set."
"FORMALISM-SCORING","Recovered local formalism","no author printed","no date printed","Marginal-intelligibility opportunity heuristic for OpenLogic","exact local byte identity only","not stated in the artifact","","01_methodology/research_department/marginal_intelligibility_reach_20260816/SCORING_MODEL.md","8257","8257","PASS","4F8377EED3F4E44C346A568230EAD8E972F6C98AED1BAC8378CBB6B1C956F1C7","4F8377EED3F4E44C346A568230EAD8E972F6C98AED1BAC8378CBB6B1C956F1C7","PASS","","","*Marginal-intelligibility opportunity heuristic for OpenLogic*. (n.d.). [Unpublished internal methodology artifact].","The manuscript may cite this recovered local formalism only by exact title, workspace-relative path, and SHA-256. No author or publication date is printed in the artifact; n.d. is therefore required.","Author, publication date, publisher, and license are not printed; do not infer them from directory naming or file timestamps."
"FORMALISM-CROSSWALK","Recovered local formalism","no author printed","no date printed","Crosswalk to earlier local marginal-intelligibility research","exact local byte identity only","not stated in the artifact","","01_methodology/research_department/marginal_intelligibility_reach_20260816/FORMALISM_CROSSWALK.md","4649","4649","PASS","81B8208CAFDF73D0182AB29539C94D2F9A3E3E73927D3768BA7F8AD53809B50C","81B8208CAFDF73D0182AB29539C94D2F9A3E3E73927D3768BA7F8AD53809B50C","PASS","","","*Crosswalk to earlier local marginal-intelligibility research*. (n.d.). [Unpublished internal methodology artifact].","The manuscript may cite this recovered local formalism only by exact title, workspace-relative path, and SHA-256. No author or publication date is printed in the artifact; n.d. is therefore required.","Author, publication date, publisher, and license are not printed; do not infer them from directory naming or file timestamps."
"WIKIMEDIA-SITE-STATS","Wikimedia project statistics","Numberof bot (poster/calculator named in dataset metadata)","last update 2026-08-24 21:45:18 UTC","Wikipedia Site Statistics","988-row snapshot; last update 2026-08-24 21:45:18 UTC","CC0-1.0","https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab","01_methodology/research_department/ai_compute_educational_access_20260825/sources/Wikimedia_statistics_20260824.tab","49104","49104","PASS","53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9","53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9","PASS","","","Numberof bot. (2026, August 24). *Wikipedia site statistics* [Data set]. Wikimedia Commons. https://commons.wikimedia.org/wiki/Data:Wikipedia_statistics/data.tab","The dataset metadata identifies MediaWiki API:Siteinfo as the calculation source and Numberof bot as the poster. Numberof bot is therefore the locally evidenced creator/author field for the dataset reference; Wikimedia Commons is the hosting platform and MediaWiki Siteinfo is the upstream data source, not a substitute author.","No natural-person creator name is present. Do not cite Wikimedia Commons or MediaWiki Siteinfo as the dataset author."
"DBE-CAPS-FOUNDATION","South African language standards","Department of Basic Education","no publication date registered; accessed 2026-08-25","Curriculum Assessment Policy Statements: Foundation phase","preserved official HTML witness","not registered","https://www.education.gov.za/Curriculum/CurriculumAssessmentPolicyStatements/CAPSFoundation/tabid/571/Default.aspx","01_methodology/research_department/ai_compute_educational_access_20260825/source_witnesses/south_africa_language_profiles/DBE_CAPS_Foundation_language_and_mathematics.html","108156","108156","PASS","F9712DFB78E2782E47E6F15BC6933B3743A674537E8A4D03BBDFD4A554E46994","F9712DFB78E2782E47E6F15BC6933B3743A674537E8A4D03BBDFD4A554E46994","PASS","","","Department of Basic Education. (n.d.). *Curriculum Assessment Policy Statements: Foundation phase*. Retrieved August 25, 2026, from https://www.education.gov.za/Curriculum/CurriculumAssessmentPolicyStatements/CAPSFoundation/tabid/571/Default.aspx","The official CAPS Foundation page lists Home Language and Mathematics documents under the named African official-language standards. It supports standard/profile identity and curriculum availability, not audience size, resource abundance, or mutual intelligibility.","The page does not print a publication date in the registered evidence; n.d. plus retrieval date is required."
