intervention_id,target_name,target_profile,target_profile_ready,profile_tag_status,profile_resolution_status,profile_ranking_treatment,resolved_edition_name,territory,observation_id,source_population_low_reported,source_population_high_reported,population_interval_status,population_low,population_base,population_high,population_unit,population_measure,population_role,population_reference_year,population_source_id,population_source_locator,reach_band,content_deficit_FR2,comprehension_exact_target_conditional_on_standard_literacy,practical_access_low,practical_access_base,practical_access_high,practical_access_status,practical_access_source_id,academic_nonoverlap_low,academic_nonoverlap_base,academic_nonoverlap_high,academic_nonoverlap_status,academic_nonoverlap_source_id,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,gross_ceiling_per_million_base_tokens,conservative_access_per_million_high_tokens,neutral_access_per_million_base_tokens,optimistic_access_per_million_low_tokens,openalex_math_open_access,openalex_math_open_access_books,scarcity_relative_percentile,scarcity_band,scarcity_adjusted_access_base,ai_support_resource_levels,internet_percent_context,electricity_percent_context,tertiary_enrollment_percent_context,fr2_units,fr2_source_tokens,fr2_gross_tokens_low,fr2_gross_tokens_base,fr2_gross_tokens_high,fr2_api_equivalent_usd_base,recommended_openstax_next_product,recommended_openstax_depth,foundational_numeracy_pre_algebra_source_gap,curriculum_selection_basis,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,explicit_negative_control,resource_abundance_control_candidate,recommendation_eligibility,interpretation,gross_ceiling_rank,conservative_efficiency_rank,neutral_efficiency_rank,optimistic_efficiency_rank,scarcity_adjusted_rank,rank_best_across_views,rank_worst_across_views
EXP-006,Minangkabau,min-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Minangkabau Latin-script edition,Indonesia,POP-ID-006,4232226,4232226,source_interval_or_exact_bounds,4232226,4232226,4232226,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,2031468,4232226,1039080.551,0.000,498758.665,4636851.579,,,,S_unknown,,Low,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",51,51,46,51,60,46,60
EXP-007,Banjar,bjn-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Banjar Latin-script edition,Indonesia,POP-ID-007,3651626,3651626,source_interval_or_exact_bounds,3651626,3651626,3651626,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1752780,3651626,896533.776,0.000,430336.213,4000742.821,,,,S_unknown,,Low,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",52,52,47,52,61,47,61
EXP-015,Sidama,sid-Latn-ET,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Ethiopia Sidama Latin-script edition,Ethiopia,POP-ET-005,2981471,2981471,source_interval_or_exact_bounds,2981471,2981471,2981471,persons,census_mother_tongue_persons,standalone_observation,2007,PM-S020,"Table 3.2, printed pp. 91-93",R3_1m_to_9m,1.000000,1.000000,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,901299,2981471,731999.787,0.000,221283.532,3266517.080,,,,S_unknown,,,21.94129944,56.6,,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",56,56,62,55,63,55,63
EXP-022,Xitsonga,ts-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa Xitsonga Latin-script edition,South Africa,ZA-TSO-2022,2784279,2784279,source_interval_or_exact_bounds,2784279,2784279,2784279,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1268935,2784279,683585.933,0.000,311544.294,3050472.370,,,,S_unknown,,Low,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",57,57,56,56,64,56,64
EXP-008,Sasak,sas-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Sasak Latin-script edition,Indonesia,POP-ID-012,2691127,2691127,source_interval_or_exact_bounds,2691127,2691127,2691127,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1291741,2691127,660715.597,0.000,317143.486,2948414.494,,,,S_unknown,,,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",60,60,55,59,67,55,67
EXP-009,Acehnese,ace-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Acehnese Latin-script edition,Indonesia,POP-ID-013,2550055,2550055,source_interval_or_exact_bounds,2550055,2550055,2550055,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1224026,2550055,626080.118,0.000,300518.457,2793855.185,,,,S_unknown,,Low,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",61,61,57,60,68,57,68
EXP-010,Betawi,bew-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Betawi Latin-script edition,Indonesia,POP-ID-014,2244648,2244648,source_interval_or_exact_bounds,2244648,2244648,2244648,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1077431,2244648,551097.716,0.000,264526.904,2459249.488,,,,S_unknown,,,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",63,63,61,62,70,61,70
EXP-023,siSwati,ss-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa siSwati Latin-script edition,South Africa,ZA-SSW-2022,1692719,1692719,source_interval_or_exact_bounds,1692719,1692719,1692719,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,771457,1692719,415590.139,0.000,189405.209,1854552.845,,,,S_unknown,,Low,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",65,65,64,64,72,64,72
EXP-016,Wolaytta,wal-Latn-ET,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Ethiopia Wolaytta Latin-script edition,Ethiopia,POP-ET-006,1627955,1627955,source_interval_or_exact_bounds,1627955,1627955,1627955,persons,census_mother_tongue_persons,standalone_observation,2007,PM-S020,"Table 3.2, printed pp. 91-93",R3_1m_to_9m,1.000000,1.000000,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,492131,1627955,399689.520,0.000,120826.140,1783597.027,,,,S_unknown,,,21.94129944,56.6,,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",66,66,69,65,73,65,73
EXP-024,Tshivenda,ve-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa Tshivenda Latin-script edition,South Africa,ZA-VEN-2022,1480565,1480565,source_interval_or_exact_bounds,1480565,1480565,1480565,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,674768,1480565,363502.870,0.000,165666.436,1622115.681,,,,S_unknown,,,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",68,68,66,67,75,66,75
