portfolio_position,portfolio_lane,admission_lane,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,population_base,population_measure,population_years,population_observation_ids,population_source_ids,marginal_access_base_sensitivity,gross_tokens_base,informative_rank_best,informative_rank_worst,recommended_openstax_next_product,recommended_openstax_depth,needs_evidence_stage,needs_first_package,needs_first_package_short,needs_assignment_status,needs_observed_evidence,needs_source,needs_caveat
11,high_reach_underserved,optimistic,NAT-029,natural_language_edition,Thai,th-Thai-TH,1,Thailand,64080191,derived_union_of_mutually_exclusive_census_strata_persons,2010-09-01,TH-2010-003,TH-S001,29188527,4073049,10,21,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
12,high_reach_underserved,scarcity,NAT-010,natural_language_edition,Odia,or-Orya-IN,1,India,34059266,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-015,PM-S001,23106806,4073049,6,19,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
13,high_reach_underserved,base,NAT-008,natural_language_edition,Kannada,kn-Knda-IN,1,India,43506272,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-007,PM-S001,31535081,4073049,10,13,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
14,high_reach_underserved,optimistic,NAT-013,natural_language_edition,Indian Urdu,ur-Arab-IN,1,India,50725762,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-022,PM-S001,30600888,4073049,7,12,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
15,high_reach_underserved,scarcity,NAT-030,natural_language_edition,Burmese,my-Mymr-MM,1,Myanmar,36817344,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MM-MY-001,ASSEC-S006,17217151,4073049,8,18,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
16,high_reach_underserved,base,NAT-009,natural_language_edition,Malayalam,ml-Mlym-IN,1,India,34776533,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-011,PM-S001,23946869,4073049,12,17,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
17,high_reach_underserved,optimistic,EXP-003,natural_language_edition,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,1,Uzbekistan,35700000,preliminary_census_mother_tongue_persons_rounded,2026,ALG-UZ-L001,ALG-S018,17850000,4073049,15,19,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
18,high_reach_underserved,scarcity,NAT-014,natural_language_edition,Eastern Punjabi,pa-Guru-IN,1,India,31144095,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-016,PM-S001,17886376,4073049,10,22,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
19,high_reach_underserved,base,NAT-039,natural_language_edition,Sundanese,su-Latn-ID,1,Indonesia,32412752,daily_language_at_home_age5plus_persons,2010,POP-ID-003,PM-S005,15558121,4073049,14,19,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
20,high_reach_underserved,optimistic,NAT-018,natural_language_edition,Sindhi,sd-Arab-PK,1,Pakistan,34401564,census_mother_tongue_persons,2023,POP-PK-003,PM-S003,10124380,4073049,15,21,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
21,high_reach_underserved,scarcity,NAT-065,natural_language_edition,Amharic,am-Ethi-ET,1,Ethiopia,21634396,census_mother_tongue_persons,2007,POP-ET-002,PM-S020,6540078,4073049,16,28,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
22,high_reach_underserved,base,NAT-034,natural_language_edition,Cebuano,ceb-Latn-PH,1,Philippines,20697364,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-CEB-001,ASSEC-S008,10190347,4073049,20,25,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
23,high_reach_underserved,optimistic,NAT-058,natural_language_edition,Dari,prs-Arab-AF,1,Afghanistan,30083114,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-AF-PRS-001,ASSEC-S018,5605988,4073049,20,29,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
24,high_reach_underserved,scarcity,NAT-012,natural_language_edition,Pakistani Urdu,ur-Arab-PK,1,Pakistan,22249307,census_mother_tongue_persons,2023,POP-PK-001,PM-S003,6547971,4073049,18,27,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
25,high_reach_underserved,base,NAT-011,natural_language_edition,Assamese,as-Beng-IN,1,India,14816414,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-001,PM-S001,10118381,4073049,22,30,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
26,high_reach_underserved,optimistic,NAT-019,natural_language_edition,Saraiki,skr-Arab-PK,1,Pakistan,28849579,census_mother_tongue_persons,2023,POP-PK-007,PM-S003,8490431,4073049,21,23,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
27,high_reach_underserved,scarcity,NAT-027,natural_language_edition,Sinhala,si-Sinh-LK,1,Sri Lanka,14948168,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LK-SI-001,ASSEC-S006,6931465,4073049,20,27,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
28,high_reach_underserved,base,EXP-004,natural_language_edition,India Maithili Devanagari edition,mai-Deva-IN,1,India,13353347,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-010,PM-S001,7644770,4073049,24,32,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
29,high_reach_underserved,optimistic,EXP-001,natural_language_edition,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,1,Afghanistan,18753110,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-AF-PS-001,ASSEC-S018,3494642,4073049,26,36,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
30,high_reach_underserved,scarcity,NAT-022,natural_language_edition,Nepali,ne-Deva-NP,1,Nepal,13084457,census_mother_tongue_persons,2021,POP-NP-001,PM-S004,5502014,4073049,22,34,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
31,high_reach_underserved,base,NAT-073,natural_language_edition,isiZulu,zu-Latn-ZA,1,South Africa,14613202,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-ZUL-2022,ZA-S001,6659967,4073049,26,29,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
32,high_reach_underserved,optimistic,NAT-031,natural_language_edition,Khmer,km-Khmr-KH,1,Cambodia,14893134,census_mother_tongue_persons,2019,ALG-KH-L001,ALG-S011,5356316,4073049,28,31,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
34,high_reach_underserved,base,NAT-075,natural_language_edition,Shona,sn-Latn-ZW,1,Zimbabwe,11251734,census_mother_tongue_persons,2022,POP-ZW-001,PM-S011,5244996,4073049,32,33,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
35,high_reach_underserved,optimistic,NAT-047,natural_language_edition,Kazakh,kk-Cyrl-KZ,1,Kazakhstan,13380107,census_native_language_of_own_nationality_persons,2021,ALG-KZ-L001,ALG-S007,3345027,4073049,27,37,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
38,high_reach_underserved,optimistic,NAT-049,natural_language_edition,Tajik,tg-Cyrl-TJ,1,Tajikistan,10394100,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-TJ-TG-001,ASSEC-S006,2598525,4073049,35,41,SB-1,D3,secondary_data_or_undergraduate_candidate,Audit local algebra/statistics and tertiary supply before choosing a secondary-data or undergraduate bridge.,Secondary-data/UG candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
33,regional_depth,scarcity,NAT-055,natural_language_edition,Turkmen,tk-Latn-TM,1,Turkmenistan,6297965,census_mother_tongue_persons,2022,ALG-TM-L001,ALG-S009,3145834,4073049,23,41,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
36,regional_depth,scarcity,NAT-032,natural_language_edition,Lao,lo-Laoo-LA,1,Laos,5487956,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LA-LO-001,ASSEC-S006,2075545,4073049,24,45,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
37,regional_depth,base,NAT-074,natural_language_edition,isiXhosa,xh-Latn-ZA,1,South Africa,9786928,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-XHO-2022,ZA-S001,4460393,4073049,33,36,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
39,regional_depth,scarcity,EXP-013,natural_language_edition,Ethiopia Somali Latin-script edition,so-Latn-ET,1,Ethiopia,4609274,census_mother_tongue_persons,2007,POP-ET-003,PM-S020,1393384,4073049,26,51,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
40,regional_depth,base,EXP-005,natural_language_edition,Indonesia Madurese Latin-script edition,mad-Latn-ID,1,Indonesia,7743533,daily_language_at_home_age5plus_persons,2010,POP-ID-005,PM-S005,3716896,4073049,34,39,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
41,regional_depth,optimistic,EXP-018,natural_language_edition,Mali Bamanankan Latin-script edition,bm-Latn-ML,1,Mali,9551561,census_mother_tongue_persons_age_3_plus,2022,POP-ML-AFG-001,AFG-S008,1701611,4073049,37,48,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
42,regional_depth,scarcity,NAT-048,natural_language_edition,Kyrgyz,ky-Cyrl-KG,1,Kyrgyzstan,5527168,census_native_language_persons,2022,ALG-KG-L001,ALG-S008,1381792,4073049,28,52,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
43,regional_depth,base,NAT-035,natural_language_edition,Ilocano,ilo-Latn-PH,1,Philippines,7098503,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-ILO-001,ASSEC-S008,3494948,4073049,35,40,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
44,regional_depth,optimistic,NAT-081,natural_language_edition,Wolof,wo-Latn-SN,1,Senegal,8786892,census_principal_language_commonly_spoken_persons_age_3_plus,2023,POP-SN-AFG-001,AFG-S009,2212539,4073049,38,43,MV-1,D2,foundational_or_secondary_readiness_unresolved,Diagnose foundational readiness first; commission a numeracy-to-algebra recovery path only if the local corpus audit confirms the gap.,Foundational-readiness audit before algebra assignment,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
45,regional_depth,scarcity,NAT-005,natural_language_edition,Sri Lankan Tamil,ta-Taml-LK,1,Sri Lanka,3297390,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LK-TA-001,ASSEC-S006,1529000,4073049,29,53,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
46,regional_depth,base,NAT-036,natural_language_edition,Hiligaynon,hil-Latn-PH,1,Philippines,6073883,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-HIL-001,ASSEC-S008,2990476,4073049,39,42,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
47,regional_depth,optimistic,EXP-019,natural_language_edition,South Africa Sepedi Latin-script edition,nso-Latn-ZA,1,South Africa,5972255,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-NSO-2022,ZA-S001,2721855,4073049,40,43,MV-1,D3,secondary_bridge_candidate,"Audit local secondary supply, then commission a complete algebra/functions/trigonometry bridge only where it is the binding gap.",Secondary bridge candidate; local needs audit required,territory_proxy_only_not_a_content_commission,,,The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
