curriculum_unit_id,source_project,work_title,unit_title,level,domain,prerequisites,source_format,license,estimated_source_tokens,accessibility_formats,source_id,notes
ACE-CURR-OLP10,Open Logic Project,Open Logic Text,model-theory,advanced-undergraduate-to-graduate,model theory,first-order logic,LaTeX and PDF,CC BY 4.0,15100,print screen HTML and modular PDFs,ACE-A013,"27 units."
ACE-CURR-OLP11,Open Logic Project,Open Logic Text,methods,undergraduate,proof and formal methods,propositional logic,LaTeX and PDF,CC BY 4.0,14043,print screen HTML and modular PDFs,ACE-A013,"19 units."
ACE-CURR-OLP12,Open Logic Project,Open Logic Text,intuitionistic,advanced-undergraduate,intuitionistic logic,propositional and first-order logic,LaTeX and PDF,CC BY 4.0,10126,print screen HTML and modular PDFs,ACE-A013,"26 units."
ACE-CURR-OLP13,Open Logic Project,Open Logic Text,history,undergraduate,history of logic,none,LaTeX and PDF,CC BY 4.0,9059,print screen HTML and modular PDFs,ACE-A013,"20 units."
ACE-CURR-OLP14,Open Logic Project,Open Logic Text,second-order,advanced-undergraduate-to-graduate,second-order logic,first-order logic,LaTeX and PDF,CC BY 4.0,7540,print screen HTML and modular PDFs,ACE-A013,"20 units."
ACE-CURR-OLP15,Open Logic Project,Open Logic Text,many-valued,advanced-undergraduate,many-valued logic,propositional logic,LaTeX and PDF,CC BY 4.0,7534,print screen HTML and modular PDFs,ACE-A013,"25 units."
ACE-CURR-OLP16,Open Logic Project,Open Logic Text,applied-modal,advanced-undergraduate,applied modal logic,modal logic,LaTeX and PDF,CC BY 4.0,5811,print screen HTML and modular PDFs,ACE-A013,"16 units."
ACE-CURR-OLP17,Open Logic Project,Open Logic Text,counterfactuals,advanced-undergraduate,counterfactual logic,propositional and modal logic,LaTeX and PDF,CC BY 4.0,4519,print screen HTML and modular PDFs,ACE-A013,"13 units."
ACE-CURR-OLP18,Open Logic Project,Open Logic Text,propositional,undergraduate,propositional logic,none,LaTeX and PDF,CC BY 4.0,4095,print screen HTML and modular PDFs,ACE-A013,"10 units; compact entry point for a minimum viable formal-reasoning edition."
ACE-CURR-OLP19,Open Logic Project,Open Logic Text,reference,undergraduate,reference material,none,LaTeX and PDF,CC BY 4.0,215,print screen HTML and modular PDFs,ACE-A013,"3 units."
ACE-CURR-OLP20,Open Logic Project,Open Logic Text,front matter and corpus root,all levels,editorial and navigation,none,LaTeX and PDF,CC BY 4.0,514,print screen HTML and modular PDFs,ACE-A013,"2 closure units outside the 18 top-level subject folders; included to reconcile exactly to 367220 source alpha tokens."
