portfolio_exposure_position,intervention_id,intervention_name,target_profile,territory,population_observation_id,population_measure_class,source_population_measure,learner_or_age_stratum,source_year,population_low,population_base,population_high,content_deficit_D_ex_ante,target_identity_C_conditional_on_standard_literacy,target_readable_N_low,target_readable_N_base_sensitivity,target_readable_N_high,practical_access_P_low,practical_access_P_base,practical_access_P_high,practical_access_evidence_status,academic_nonoverlap_U_low,academic_nonoverlap_U_base,academic_nonoverlap_U_high,academic_nonoverlap_evidence_status,factor_evidence_class,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,base_midpoint_sensitivity_per_million_tokens,base_midpoint_sensitivity_rank_low,base_midpoint_sensitivity_rank_high,conservative_score_per_million_tokens,conservative_rank_low,conservative_rank_high,optimistic_sensitivity_per_million_tokens,optimistic_sensitivity_rank_low,optimistic_sensitivity_rank_high,bibliographic_scarcity_proxy_per_million_tokens,bibliographic_scarcity_proxy_rank_low,bibliographic_scarcity_proxy_rank_high,direct_evidence_rank_status,interpretation
11,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,ASSEC-VN-VI-001,published_or_derived_speaker_estimate,peer_reviewed_published_lower_bound_speakers,Vietnam_total_Vietnamese_speakers_L1_L2_unspecified,2016 publication; population estimate vintage not stated,89000000,89000000,89000000,1.000000,1.000000,0,85555700,89000000,0.000000,0.961300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,42777849,89000000,10502660.047,9,9,0.000,1,137,97508920.971,7,7,1750446.901,18,18,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
12,NAT-007,Gujarati,gu-Gujr-IN,India,POP-IN-COMP-005,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,55036204,55036204,55036204,1.000000,1.000000,0,43017673,55036204,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.584924,0.792462,0.916985,India_C17_category_proxy_sensitivity,contains_proxy,0,34089878,50467358,8369621.382,10,10,0.000,1,137,55292332.841,14,14,6534180.168,6,6,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
13,NAT-008,Kannada,kn-Knda-IN,India,POP-IN-COMP-007,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,43506272,43506272,43506272,1.000000,1.000000,0,34005590,43506272,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.854699,0.927350,0.970940,India_C17_category_proxy_sensitivity,contains_proxy,0,31535081,42241972,7742377.025,13,13,0.000,1,137,46280551.791,16,16,3056202.614,15,15,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
14,NAT-029,Thai,th-Thai-TH,Thailand,TH-2010-003,derived_union_of_census_language_strata,derived_union_of_mutually_exclusive_census_strata_persons,usual_home_language_population,2010-09-01,64080191,64080191,64080191,1.000000,1.000000,0,58377054,64080191,0.000000,0.911000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,29188527,64080191,7166259.723,15,15,0.000,1,137,70206632.360,12,12,1068654.219,21,21,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
15,NAT-010,Odia,or-Orya-IN,India,POP-IN-COMP-015,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,34059266,34059266,34059266,1.000000,1.000000,0,26621574,34059266,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.735945,0.867973,0.947189,India_C17_category_proxy_sensitivity,contains_proxy,0,23106806,32260563,5673097.967,17,17,0.000,1,137,35344861.663,22,22,5225223.905,8,8,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
16,NAT-013,Indian Urdu,ur-Arab-IN,India,POP-IN-COMP-022,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,50725762,50725762,50725762,1.000000,1.000000,0,39648524,50725762,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.543607,0.771804,0.908721,India_C17_category_proxy_sensitivity,contains_proxy,0,30600888,46095589,7513017.398,14,14,0.000,1,137,50502597.134,15,15,5140489.103,9,9,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
17,NAT-125,Bhojpuri (India),bho-Deva-IN,India,POP-IN-023,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2011,50579447,50579447,50579447,1.000000,1.000000,0,39534160,50579447,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,19767088,50579447,4853142.695,18,18,0.000,1,137,55415138.205,13,13,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
18,NAT-030,Burmese,my-Mymr-MM,Myanmar,ASSEC-MM-MY-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,36817344,36817344,1.000000,1.000000,0,34434305,36817344,0.000000,0.935274,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,17217151,36817344,4227091.547,21,21,0.000,1,137,40337297.601,17,17,3893375.454,12,12,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
19,NAT-009,Malayalam,ml-Mlym-IN,India,POP-IN-COMP-011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,34776533,34776533,34776533,1.000000,1.000000,0,27182208,34776533,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.761951,0.880975,0.952390,India_C17_category_proxy_sensitivity,contains_proxy,0,23946869,33120829,5879347.143,16,16,0.000,1,137,36287374.129,20,20,3197541.694,14,14,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
20,EXP-003,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,Uzbekistan,ALG-UZ-L001,mother_tongue_or_first_language,preliminary_census_mother_tongue_persons_rounded,direct_language_population,2026,35650000,35700000,35749999,1.000000,1.000000,0,35700000,35749999,0.000000,1.000000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,17850000,35749999,4382466.305,20,20,0.000,1,137,39167908.171,18,18,1014459.684,22,22,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
21,NAT-014,Eastern Punjabi,pa-Guru-IN,India,POP-IN-COMP-016,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,31144095,31144095,31144095,1.000000,1.000000,0,24343003,31144095,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.469529,0.734764,0.893906,India_C17_category_proxy_sensitivity,contains_proxy,0,17886376,27839884,4391397.206,19,19,0.000,1,137,30501539.874,25,25,3428372.701,13,13,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
22,NAT-039,Sundanese,su-Latn-ID,Indonesia,POP-ID-003,home_or_usual_language_use,daily_language_at_home_age5plus_persons,large_regional_home_language,2010,32412752,32412752,32412752,1.000000,1.000000,0,31116242,32412752,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,15558121,32412752,3819772.608,22,22,0.000,1,137,35511600.823,21,21,2613530.552,16,16,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
23,NAT-018,Sindhi,sd-Arab-PK,Pakistan,POP-PK-003,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2023,34401564,34401564,34401564,1.000000,1.000000,0,20248761,34401564,0.000000,0.588600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,10124380,34401564,2485700.516,24,24,0.000,1,137,37690554.891,19,19,2289462.022,17,17,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
24,NAT-065,Amharic,am-Ethi-ET,Ethiopia,POP-ET-002,mother_tongue_or_first_language,census_mother_tongue_persons,large_national_mother_tongue,2007,21634396,21634396,21634396,1.000000,1.000000,0,13080156,21634396,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,6540078,21634396,1605695.880,31,31,0.000,1,137,23702770.897,27,27,1478930.894,19,19,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
25,NAT-034,Cebuano,ceb-Latn-PH,Philippines,ASSEC-PH-CEB-001,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,2010-12-31,0,20697364,20697364,1.000000,1.000000,0,20380694,20697364,0.000000,0.984700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,10190347,20697364,2501896.491,23,23,0.000,1,137,22676153.153,28,28,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
26,NAT-058,Dari,prs-Arab-AF,Afghanistan,ASSEC-AF-PRS-001,published_or_derived_speaker_estimate,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,total_language_speakers_L1_plus_L2_nonexclusive,2020 estimate; republished in official report 2023,0,30083114,30083114,1.000000,1.000000,0,11211977,30083114,0.000000,0.372700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,5605988,30083114,1376361.541,32,32,0.000,1,137,32959235.793,23,23,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
27,NAT-012,Pakistani Urdu,ur-Arab-PK,Pakistan,POP-PK-001,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,2023,22249307,22249307,22249307,1.000000,1.000000,0,13095942,22249307,0.000000,0.588600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,6547971,22249307,1607633.741,30,30,0.000,1,137,24376470.988,26,26,1099960.742,20,20,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
28,NAT-011,Assamese,as-Beng-IN,India,POP-IN-COMP-001,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,14816414,14816414,14816414,1.000000,1.000000,0,11580880,14816414,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.747428,0.873714,0.949486,India_C17_category_proxy_sensitivity,contains_proxy,0,10118381,14067972,2484227.663,25,25,0.000,1,137,15412952.472,33,33,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
29,NAT-019,Saraiki,skr-Arab-PK,Pakistan,POP-PK-007,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2023,28849579,28849579,28849579,1.000000,1.000000,0,16980862,28849579,0.000000,0.588600,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,8490431,28849579,2084539.371,26,26,0.000,1,137,31607767.626,24,24,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
30,NAT-027,Sinhala,si-Sinh-LK,Sri Lanka,ASSEC-LK-SI-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,14948168,14948168,1.000000,1.000000,0,13862931,14948168,0.000000,0.927400,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,6931465,14948168,1701787.776,28,28,0.000,1,137,16377300.361,30,30,925534.409,23,23,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
31,EXP-004,India Maithili Devanagari edition,mai-Deva-IN,India,POP-IN-COMP-010,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,13353347,13353347,13353347,1.000000,1.000000,0,10437310,13353347,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.464892,0.732446,0.892978,India_C17_category_proxy_sensitivity,contains_proxy,0,7644770,11924251,1876915.795,27,27,0.000,1,137,13064279.195,35,35,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
32,EXP-001,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,Afghanistan,ASSEC-AF-PS-001,published_or_derived_speaker_estimate,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,total_language_speakers_L1_plus_L2_nonexclusive,2020 estimate; republished in official report 2023,0,18753110,18753110,1.000000,1.000000,0,6989284,18753110,0.000000,0.372700,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,3494642,18753110,857991.642,39,39,0.000,1,137,20546017.089,29,29,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
33,NAT-022,Nepali,ne-Deva-NP,Nepal,POP-NP-001,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,2021,13084457,13084457,13084457,1.000000,1.000000,11004028,11004028,11004028,0.841000,0.841000,0.841000,direct_language_specific_literacy_rate,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,5502014,11004028,1350834.228,33,33,0.000,1,137,12056077.490,37,37,782061.547,24,24,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
34,NAT-073,isiZulu,zu-Latn-ZA,South Africa,ZA-ZUL-2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2022,14613202,14613202,14613202,1.000000,1.000000,0,13319934,14613202,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,6659967,14613202,1635130.586,29,29,0.000,1,137,16010309.651,32,32,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
35,NAT-031,Khmer,km-Khmr-KH,Cambodia,ALG-KH-L001,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2019,14893134,14893134,14893134,1.000000,1.000000,0,10712631,14893134,0.000000,0.719300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,5356316,14893134,1315062.991,34,34,0.000,1,137,16317004.789,31,31,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
36,NAT-055,Turkmen,tk-Latn-TM,Turkmenistan,ALG-TM-L001,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,2022,6297965,6297965,6297965,1.000000,1.000000,0,6291667,6297965,0.000000,0.999000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,3145834,6297965,772353.586,41,41,0.000,1,137,6900087.320,44,44,602978.015,25,25,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
37,NAT-075,Shona,sn-Latn-ZW,Zimbabwe,POP-ZW-001,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,2022,11251734,11251734,11251734,1.000000,1.000000,0,10489992,11251734,0.000000,0.932300,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,5244996,11251734,1287732.114,35,35,0.000,1,137,12327465.634,36,36,,38,137,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
