portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,population_low,population_base,population_high,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,marginal_access_high_optimistic_sensitivity,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,base_marginal_access_per_million_tokens,conservative_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens_sensitivity,base_efficiency_rank_low,base_efficiency_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,informative_rank_views_available,conservative_view_treatment,admission_lane,admission_lane_rank_low,admission_lane_rank_high,population_observation_ids,population_source_ids,sensitivity_label_note,evidence_caveat
11,NAT-015,Western Punjabi,pnb-Arab-PK,Pakistan,88915544,88915544,88915544,0,26167845,88915544,88915544,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,6424632.996,0.000,97416390.483,,,14,14,1,135,6,6,36,135,6,14,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,6,6,POP-PK-002,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
12,NAT-010,Odia,or-Orya-IN,India,34059266,34059266,34059266,0,23106806,32260563,32260563,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,5673097.967,0.000,35344861.663,5208936.352,5208936.352,16,16,1,135,20,20,7,7,7,20,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,7,7,POP-IN-COMP-015,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
13,NAT-008,Kannada,kn-Knda-IN,India,43506272,43506272,43506272,0,31535081,42241972,42241972,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,7742377.025,0.000,46280551.791,2885792.928,2885792.928,11,11,1,135,14,14,14,14,11,14,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,11,11,POP-IN-COMP-007,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
14,NAT-029,Thai,th-Thai-TH,Thailand,64080191,64080191,64080191,0,29188527,64080191,64080191,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,7166259.723,0.000,70206632.360,977219.768,977219.768,13,13,1,135,11,11,21,21,11,21,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,11,11,TH-2010-003,TH-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
15,NAT-013,Indian Urdu,ur-Arab-IN,India,50725762,50725762,50725762,0,30600888,46095589,46095589,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,7513017.398,0.000,50502597.134,5054209.758,5054209.758,12,12,1,135,13,13,8,8,8,13,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,8,8,POP-IN-COMP-022,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
16,NAT-009,Malayalam,ml-Mlym-IN,India,34776533,34776533,34776533,0,23946869,33120829,33120829,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,5879347.143,0.000,36287374.129,3100020.893,3100020.893,15,15,1,135,18,18,13,13,13,18,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,15,15,POP-IN-COMP-011,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
17,NAT-030,Burmese,my-Mymr-MM,Myanmar,0,36817344,36817344,0,17217151,36817344,36817344,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,4227091.547,0.000,40337297.601,3881239.582,3881239.582,19,19,1,135,15,15,9,9,9,19,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,15,15,ASSEC-MM-MY-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
18,NAT-014,Eastern Punjabi,pa-Guru-IN,India,31144095,31144095,31144095,0,17886376,27839884,27839884,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,4391397.206,0.000,30501539.874,3393351.271,3393351.271,17,17,1,135,23,23,12,12,12,23,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,12,12,POP-IN-COMP-016,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
19,EXP-003,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,Uzbekistan,35650000,35700000,35749999,0,17850000,35749999,35749999,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,4382466.305,0.000,39167908.171,1014459.684,1014459.684,18,18,1,135,16,16,20,20,16,20,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,18,18,ALG-UZ-L001,ALG-S018,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
20,NAT-018,Sindhi,sd-Arab-PK,Pakistan,34401564,34401564,34401564,0,10124380,34401564,34401564,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,2485700.516,0.000,37690554.891,2282325.599,2282325.599,22,22,1,135,17,17,16,16,16,22,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,17,17,POP-PK-003,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
21,NAT-039,Sundanese,su-Latn-ID,Indonesia,32412752,32412752,32412752,0,15558121,32412752,32412752,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,3819772.608,0.000,35511600.823,2569664.151,2569664.151,20,20,1,135,19,19,15,15,15,20,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,15,15,POP-ID-003,PM-S005,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
22,NAT-034,Cebuano,ceb-Latn-PH,Philippines,0,20697364,20697364,0,10190347,20697364,20697364,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,2501896.491,0.000,22676153.153,,,21,21,1,135,26,26,36,135,21,26,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,21,21,ASSEC-PH-CEB-001,ASSEC-S008,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
23,NAT-058,Dari,prs-Arab-AF,Afghanistan,0,30083114,30083114,0,5605988,30083114,30083114,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1376361.541,0.000,32959235.793,,,30,30,1,135,21,21,36,135,21,30,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,21,21,ASSEC-AF-PRS-001,ASSEC-S018,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
24,NAT-065,Amharic,am-Ethi-ET,Ethiopia,21634396,21634396,21634396,0,6540078,21634396,21634396,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1605695.880,0.000,23702770.897,1474321.080,1474321.080,29,29,1,135,25,25,18,18,18,29,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,18,18,POP-ET-002,PM-S020,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
25,NAT-011,Assamese,as-Beng-IN,India,14816414,14816414,14816414,0,10118381,14067972,14067972,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,2484227.663,0.000,15412952.472,,,23,23,1,135,31,31,36,135,23,31,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,23,23,POP-IN-COMP-001,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
26,NAT-019,Saraiki,skr-Arab-PK,Pakistan,28849579,28849579,28849579,0,8490431,28849579,28849579,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,2084539.371,0.000,31607767.626,,,24,24,1,135,22,22,36,135,22,24,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,22,22,POP-PK-007,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
27,NAT-012,Pakistani Urdu,ur-Arab-PK,Pakistan,22249307,22249307,22249307,0,6547971,22249307,22249307,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1607633.741,0.000,24376470.988,1081498.651,1081498.651,28,28,1,135,24,24,19,19,19,28,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,19,19,POP-PK-001,PM-S003,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
28,EXP-004,India Maithili Devanagari edition,mai-Deva-IN,India,13353347,13353347,13353347,0,7644770,11924251,11924251,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,1876915.795,0.000,13064279.195,,,25,25,1,135,33,33,36,135,25,33,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,25,25,POP-IN-COMP-010,PM-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
29,EXP-001,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,Afghanistan,0,18753110,18753110,0,3494642,18753110,18753110,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,857991.642,0.000,20546017.089,,,37,37,1,135,27,27,36,135,27,37,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,27,27,ASSEC-AF-PS-001,ASSEC-S018,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
30,NAT-027,Sinhala,si-Sinh-LK,Sri Lanka,0,14948168,14948168,0,6931465,14948168,14948168,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1701787.776,0.000,16377300.361,897306.907,897306.907,26,26,1,135,28,28,22,22,22,28,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,22,22,ASSEC-LK-SI-001,ASSEC-S006,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
31,NAT-073,isiZulu,zu-Latn-ZA,South Africa,14613202,14613202,14613202,0,6659967,14613202,14613202,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1635130.586,0.000,16010309.651,,,27,27,1,135,30,30,36,135,27,30,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,27,27,ZA-ZUL-2022,ZA-S001,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
32,NAT-031,Khmer,km-Khmr-KH,Cambodia,14893134,14893134,14893134,0,5356316,14893134,14893134,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1315062.991,0.000,16317004.789,,,32,32,1,135,29,29,36,135,29,32,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,29,29,ALG-KH-L001,ALG-S011,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
33,NAT-022,Nepali,ne-Deva-NP,Nepal,13084457,13084457,13084457,0,5502014,11004028,11004028,direct_language_specific_literacy_rate;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1350834.228,0.000,12056077.490,761378.761,761378.761,31,31,1,135,35,35,23,23,23,35,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,23,23,POP-NP-001,PM-S004,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
34,NAT-075,Shona,sn-Latn-ZW,Zimbabwe,11251734,11251734,11251734,0,5244996,11251734,11251734,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,1287732.114,0.000,12327465.634,,,33,33,1,135,34,34,36,135,33,34,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,33,33,POP-ZW-001,PM-S011,base=neutral factor sensitivity; optimistic=high-bound factor sensitivity; scarcity=base sensitivity weighted by the disclosed scarcity proxy; none is an observed harmed-population count,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
