exposure_position,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,named_output_profile_ids,population_source_ids,matched_matrix_row_ids,matched_interlanguage_intervention_ids,matched_mechanism_classes,matched_edge_roles,profile_match_basis,comprehension_evidence_statuses,rankable_matrix_rows,current_cross_language_demographic_reach_credit,demographic_reach_credit_basis,shared_core_compute_reuse,current_direct_component_completion_overlap,forward_component_deficit_D,forward_next_nonduplicative_actions,double_count_rules,exclusions,interlanguage_source_ids,matrix_confidence,crosswalk_note
11,GLB-024,pluricentric_standard,Latin American Spanish localized core,es-419 with country overlays,Americas,GLB-024,es-419,SUP-009;SUPSRC-US-ACS-B16001-2024;SUP-008;SUPSRC-ES-CERVANTES-2025,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",`es-ES` does not dictate Latin American curricula or professional terminology; global Spanish totals are nonadditive models.,`es-ES` does not dictate Latin American curricula or professional terminology; global Spanish totals are nonadditive models.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
12,GLB-025,national_pluricentric_standard,Brazilian Portuguese,pt-BR,Americas,GLB-025,pt-BR,SUP-010;SUPSRC-UN-PORTUGUESE-2026;SUP-011;SUPSRC-BR-IBGE-CENSUS-2022,EDGE-ROM-002,IL-ROM,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",pt-BR output is subtracted from residual bridge scenarios; no additive bridge credit,European and African Portuguese profiles not automatically included,ACE-A010,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
13,IL-PDT,shared_core_compute_architecture,Persian–Dari–Tajik shared-source package,fa-Arab-IR; prs-Arab-AF; tg-Cyrl-TJ,Iran Afghanistan Tajikistan and displaced cells separate,GLB-034,fa-Arab-IR; prs-Arab-AF; tg-Cyrl-TJ,SUP-038;SUPSRC-IR-CENSUS-2016,EDGE-PDT-001;EDGE-PDT-002;EDGE-PDT-003,IL-PDT,pluricentric_shared_core,coverage_candidate,exact_intervention_id+exact_profile_tag,baseline_only;architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic reuse with script/locale deltas Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Existing fa-IR coverage is baseline and not added to adaptation reach | Zero fa-IR reach pending technical-text evidence; named Dari output claims only exact cells | Zero fa-IR reach; named Tajik output only; transliteration is not additive,Dari Tajik Kurdish Pashto Balochi and Pamiri languages | Pashto Hazaragi and other languages | Pamiri Uzbek Russian and other languages,ACE-A009;ACE-A009;ACE-A021,medium;low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
14,NAT-028,natural_language_locale_output,Vietnamese TVET–university and research-method spine,vi-Latn-VN,Vietnam,GLB-041,vi-Latn-VN,ASSEC-VN-VI-001;ASSEC-S007,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single locale output with strong reuse of open labs, code and data assets across subjects. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Vietnamese material does not replace exact oral/home-language overlays for minoritized early-years learners.,Vietnamese material does not replace exact oral/home-language overlays for minoritized early-years learners.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
15,IL-AR,learned_written_standard_with_locale_scaffolds,Modern Standard Arabic core with named spoken-language scaffolds,"arb-Arab core; Egyptian, Levantine, Iraqi, Gulf, Maghrebi, Yemeni, Sudanese and Hassaniya layers","Arabic-using countries, separately localized",GLB-031;GLB-032;GLB-033,arb-Arab;arz-Arab-EG;apc-Arab,SUP-020;SUPSRC-UNESCO-ARABIC;SUP-037;SUPSRC-EG-CENSUS-2017,EDGE-AR-001;EDGE-AR-002;EDGE-AR-003;EDGE-AR-004;EDGE-AR-005;EDGE-AR-006;EDGE-AR-007;EDGE-AR-008,IL-AR,pluricentric_shared_core;accessibility_derivative,coverage_candidate,exact_intervention_id;exact_intervention_id+exact_profile_tag,baseline_only;inference_only,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"High formal-register, RTL, terminology and source reuse; every spoken scaffold remains a named output. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Existing MSA coverage is baseline and cannot be claimed again by scaffolds | Credit only measured increase from dialect glossary plain-language or audio scaffold beyond MSA | Credit only residual scaffold gain and deduplicate country cells | Credit only residual scaffold gain | Credit only residual scaffold gain; country cells and migrant status remain separate | Credit only residual scaffold gain after MSA; no non-Arabic reach,Amazigh Kurdish Nubian Modern South Arabian and signed languages | Non-Arabic Egypt languages | Kurdish Armenian and other non-Arabic communities | Kurdish Turkmen Neo-Aramaic and other communities | Non-Arabic migrant and local languages | Standard Moroccan Amazigh Tachelhit Tarifit and other Amazigh languages | Non-Arabic communities | Nubian Beja Fur and other non-Arabic languages,ACE-A009;ACE-E001;ACE-A009,medium;low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
16,NAT-027,natural_language,Sinhala,si-Sinh-LK,Sri Lanka,,si-Sinh-LK,ASSEC-LK-SI-001;ASSEC-S006,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Own-language cell only; English comfort is not assumed from official bilingualism.,Own-language cell only; English comfort is not assumed from official bilingualism.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
17,GLB-044,national_standard,"Korean, Republic of Korea",ko-Kore-KR,Eastern Asia,GLB-044,ko-Kore-KR,SUP-029;SUPSRC-KR-CENSUS-2020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No inference about DPRK follows from ROK supply; do not pool the territories.,No inference about DPRK follows from ROK supply; do not pool the territories.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
18,EXP-028,natural_language,Peru Shipibo-Konibo Latin-script edition,shp-Latn-PE,Peru,,shp-Latn-PE,POP-PE-005;PM-S007,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
19,SHC-SWAHILI,learned_lingua_franca_shared_core_with_named_outputs,Kiswahili DRC grades 1–3 and Uganda P4 package,swc-Latn-CD; swh-Latn-UG,Named Kiswahili-using DRC regions (grades 1–3); Uganda (P4 Kiswahili L2),GLB-036,swh-Latn-UG;swc-Latn-CD,SUP-024;SUPSRC-UG-CENSUS-2024,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"High standard-core reuse, but every country/DRC regional surface is separately rendered and audited. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not use East African Standard Kiswahili as blanket coverage for DRC varieties or non-Kiswahili L1 communities. Tanzania/Kenya outputs are follow-on context only and add no current first-package audience.,Do not use East African Standard Kiswahili as blanket coverage for DRC varieties or non-Kiswahili L1 communities. Tanzania/Kenya outputs are follow-on context only and add no current first-package audience.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
20,NAT-047,natural_language,Kazakh,kk-Cyrl-KZ,Kazakhstan,,kk-Cyrl-KZ,ALG-KZ-L001;ALG-S007,EDGE-TUR-005,IL-TURKIC,natural_intercomprehension_reuse,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No cross-language credit; script projection is not additive,Oghuz and other Kipchak languages,ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
21,NAT-004,natural_language,Indian Tamil,ta-Taml-IN,India,GLB-014,ta-Taml-IN,POP-IN-020;PM-S001;POP-IN-COMP-020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Shared formula, layout and QA only unless measured Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Sri Lankan Tamil remains a separate profile and curriculum.,Sri Lankan Tamil remains a separate profile and curriculum.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
22,NAT-065,natural_language,Amharic,am-Ethi-ET,Ethiopia,GLB-048,am-Ethi-ET,SUP-032;SUPSRC-UNICEF-AMHARIC-LOI;POP-ET-002;PM-S020,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Broad estimate is not an exact written-reader count.,Broad estimate is not an exact written-reader count.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
23,NAT-035,natural_language,Ilocano,ilo-Latn-PH,Philippines,,ilo-Latn-PH,ASSEC-PH-ILO-001;ASSEC-S008,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Count exact language-speaking household evidence only in its original measure.,Count exact language-speaking household evidence only in its original measure.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
24,NAT-046,natural_language,Uzbek,uz-Latn-UZ,Uzbekistan,,uz-Latn-UZ,ALG-UZ-L001;ALG-S018,EDGE-TUR-009,IL-TURKIC,natural_intercomprehension_reuse,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",No cross-language credit; legacy Cyrillic is a script-access cell,Uyghur and all other Karluk profiles,ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
25,NAT-038,natural_language,Javanese,jv-Latn-ID,Indonesia,GLB-040,jv-Latn-ID,POP-ID-001;PM-S005,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Explicit subset/overlap edge with Indonesian is mandatory.,Explicit subset/overlap edge with Indonesian is mandatory.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
26,EXP-004,natural_language,India Maithili Devanagari edition,mai-Deva-IN,India,,mai-Deva-IN,POP-IN-COMP-010;PM-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Nested in parent POP-IN-010; never sum parent and component. Nepal Maithili is a distinct territory observation and profile.,Nested in parent POP-IN-010; never sum parent and component. Nepal Maithili is a distinct territory observation and profile.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
27,NAT-030,natural_language,Burmese,my-Mymr-MM,Myanmar and displaced cohorts,GLB-047,my-Mymr-MM,ASSEC-MM-MY-001;ASSEC-S006,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Territory includes non-Burmese L1 communities.,Territory includes non-Burmese L1 communities.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
28,NAT-044,natural_language,Fataluku,ddg-Latn-TL,Timor-Leste,,ddg-Latn-TL,ALG-TL-L009;ALG-S014,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Own-community cell only; no Tetum coverage deduction without evidence.,Own-community cell only; no Tetum coverage deduction without evidence.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
29,NAT-064,natural_language,Kenyan Swahili,sw-Latn-KE,Kenya,GLB-036,sw-Latn-KE,SUP-023;SUPSRC-KE-CENSUS-2019,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High standard-core reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
30,NAT-014,natural_language,Eastern Punjabi,pa-Guru-IN,Punjab India,GLB-020,pa-Guru-IN,POP-IN-016;PM-S001;POP-IN-COMP-016,EDGE-PNJ-001,IL-PUNJABI,dual_script_register,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic and transliteration assistance Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Claims only India Gurmukhi cell; apply nonoverlap sensitivity 0.469528503/0.734764251/0.893905701 and never add a dual-script population,Western Punjabi Saraiki Hindko,ACE-E011;ACE-E012;ACE-E019,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
