portfolio_position,top100,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,region,subregion,observation_id,observation_language_label,observation_edition_profile,observation_territory,modality,script_or_profile,learner_stratum,population_measure,count_unit,population_low,population_base,population_high,source_reported_low,source_reported_high,population_interval_status,reference_date_or_year,source_id,source_locator,source_observation_transcribed_exactly,source_title,source_authority,source_type,source_tier,source_confidence,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,source_limitations,local_witness_sha256,target_mapping_status,overlap_group_id,alternative_measure_role,existing_edition_overlap_status,access_factor_status,evidence_caveat,observation_caveats,aggregation_rule
30,true,NAT-022,Nepali,ne-Deva-NP,Nepal,high_reach_underserved,Asia,South Asia,POP-NP-001,Nepali,Nepal 2021 mother tongue,Nepal,written_text_candidate,Devanagari,national_language_population,census_mother_tongue_persons,persons,13084457,13084457,13084457,13084457,13084457,source_interval_or_exact_bounds,2021,PM-S004,"Annex 1, printed p. 123",true,Languages in Nepal: National Population and Housing Census 2021 Thematic Report,"National Statistics Office, Nepal",official census thematic report,1,high,0,5502014,11004028,Some census labels aggregate varieties; the Sign Language entry is a census mother-tongue response category rather than a full sign-language-use census.,1E41F6C52A47B93A88907007C13D2C38FDCA4303EAC203F8A5C5CF09C64086AF,source_named_language_observation,,standalone_observation,pending_central_coverage_join,direct_language_specific_literacy_rate;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Mother tongue only, not total Nepali knowledge.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
31,true,NAT-073,isiZulu,zu-Latn-ZA,South Africa,high_reach_underserved,Africa,Southern Africa,ZA-ZUL-2022,isiZulu,Census category: IsiZulu; edition variety/standard unresolved,South Africa,written_text_candidate,Latin,resident population aged 1 year and older,census_language_most_often_spoken_in_household_persons_age_1_plus,persons,14613202,14613202,14613202,14613202,14613202,source_interval_or_exact_bounds,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",true,Census 2022 in Brief,Statistics South Africa,official national census report,1,high,0,6659967,14613202,"The measure is language most often spoken with other household members, not mother tongue, proficiency, literacy, or academic-language comfort. The table excludes Not applicable (638,736) and Unspecified (258,967). Census label 'Sign language' does not identify a signed-language variety.",78FE83B5CDEC6DF3DBD491B456F1A5612064DB3125E516419E8C86FAA1CF612B,gross_named_spoken_language_observation,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,mutually_exclusive_census_response_category,known_english_control_else_pending,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
32,true,NAT-031,Khmer,km-Khmr-KH,Cambodia,high_reach_underserved,Asia,Southeast Asia,ALG-KH-L001,Khmer,national mother-tongue category,Cambodia,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,14893134,14893134,14893134,14893134,14893134,source_interval_or_exact_bounds,2019,ALG-S011,"Table 2.7.1, PDF p. 53 / printed p. 25",true,General Population Census of the Kingdom of Cambodia 2019: National Report on Final Census Results,National Institute of Statistics Cambodia,official national census report,1,high,0,5356316,14893134,"The table covers all persons in census households and excludes migrants working abroad. Published total-category counts sum to the stated universe, but multiple male/female subtotals do not sum to their published category totals; only the total-category column is staged.",8A10064A917F4492136ABC770901DDFC868490E0558BD12AC1E4DED86D9D36B5,source_named_language_observation,KH-MT-2019,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive top-level mother-tongue category Excludes migrants working abroad. The published total-category column is used because the sex subtotals are internally inconsistent.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
33,true,NAT-055,Turkmen,tk-Latn-TM,Turkmenistan,regional_depth,Asia,Central Asia,ALG-TM-L001,Turkmen,national mother-tongue category,Turkmenistan,written_text_candidate,,direct_language_population,census_mother_tongue_persons,persons,6297965,6297965,6297965,6297965,6297965,source_interval_or_exact_bounds,2022,ALG-S009,Table 4.9,true,Results of the Complete Population and Housing Census of Turkmenistan - 2022: National Composition and Language Proficiency,State Committee of Turkmenistan on Statistics,official national census tables,1,high,0,3145834,6297965,Direct mother-tongue totals. Published category labels such as Baloch are retained as-is and do not establish a narrower variety.,2AE148462D99088ACBBE5BEE055E50E7B3017BD6B3D655959B6144DA6780F1A1,source_named_language_observation,TM-MT-2022,direct_language_population_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mutually exclusive mother-tongue categories Direct national census mother-tongue count.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
34,true,NAT-075,Shona,sn-Latn-ZW,Zimbabwe,high_reach_underserved,Africa,Southern Africa,POP-ZW-001,Shona,ZIMSTAT mother-tongue category,Zimbabwe,written_text_candidate,Latin,national_language_population,census_mother_tongue_persons,persons,11251734,11251734,11251734,11251734,11251734,source_interval_or_exact_bounds,2022,PM-S011,"Table 2.17, printed p. 123",true,"Zimbabwe 2022 Population and Housing Census Report, Volume 1",Zimbabwe National Statistics Agency (ZIMSTAT),official census report,1,high,0,5244996,11251734,"Census labels do not resolve every dialect or orthographic choice. Sign Language is a census mother-tongue category, not a complete sign-language-use measure.",BDEBD23BE87E1AA5C1EC73874EFF733A524A93BAD6FCCF7DA7E9C854666BB1ED,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Mother tongue count covers census-report population universe of Table 2.17.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
35,true,NAT-047,Kazakh,kk-Cyrl-KZ,Kazakhstan,high_reach_underserved,Asia,Central Asia,ALG-KZ-L001,Kazakh,nationality-scoped native-language lower bound,Kazakhstan,written_text_candidate,,direct_language_population,census_native_language_of_own_nationality_persons,persons,13380107,13380107,13380107,13380107,13380107,source_interval_or_exact_bounds,2021,ALG-S007,"Table 6, printed p. 243",true,"National composition, religion and language proficiency in the Republic of Kazakhstan",Bureau of National Statistics of the Agency for Strategic Planning and Reforms of the Republic of Kazakhstan,official national census statistical collection,1,high,0,3345027,13380107,"Table 6 counts language-of-own-nationality only within each nationality and omits cross-nationality native speakers. Table 8 proficiency is not mother tongue or academic comfort; its 17,194,712-person universe appears to be age 5+ from the age table, so the age interpretation is retained as a caveat.",7526D0EC8C1C23DCB37760A5CE5F6A2D43BEE9255DAF6D6C2CDB0C4D08496204,source_named_language_lower_bound,KZ-KAZAKH-NATIVE-2021,direct_language_population_lower_bound,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Subset of all Kazakh native-language speakers Counts only Kazakhs reporting the language of their nationality as native; cross-nationality Kazakh native speakers are excluded.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
36,true,NAT-032,Lao,lo-Laoo-LA,Laos,regional_depth,Asia,Southeast Asia,ASSEC-LA-LO-001,Lao,NAT-032 lo-Laoo-LA Lao,Laos,written_text_candidate,lo-Laoo-LA,functional_literate_language_users_L1_or_later_language,derived_cldr_territory_functional_language_users,persons,0,5487956,5487956,,,source_point_without_interval_model_low_zero_high_point,2026-03-17 CLDR release; component estimate year not stated,ASSEC-S006,cldr_target_derivations.md row lo-Laoo-LA; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LA'] and languagePopulation[@type='lo'],false,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,2,medium,0,2075545,5487956,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",c953259bcd31245ced999d553c6289e48bbb7bb727f9411dbb95af340466aae5,exact_named_language_and_territory_match_to_NAT-032; Thai overlap unresolved,ASSEC-LA-LO-FUNCTIONAL,standalone_secondary_estimate_replaces_ethnicity_proxy_only,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Derived from 7953560 times 69 percent = 5487956.4, rounded half up to a person. No input rounding rule or interval is published. Master ALG-LA-E001 is ethnicity only and is not used as language evidence.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
37,true,NAT-074,isiXhosa,xh-Latn-ZA,South Africa,regional_depth,Africa,Southern Africa,ZA-XHO-2022,isiXhosa,Census category: IsiXhosa; edition variety/standard unresolved,South Africa,written_text_candidate,Latin,resident population aged 1 year and older,census_language_most_often_spoken_in_household_persons_age_1_plus,persons,9786928,9786928,9786928,9786928,9786928,source_interval_or_exact_bounds,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",true,Census 2022 in Brief,Statistics South Africa,official national census report,1,high,0,4460393,9786928,"The measure is language most often spoken with other household members, not mother tongue, proficiency, literacy, or academic-language comfort. The table excludes Not applicable (638,736) and Unspecified (258,967). Census label 'Sign language' does not identify a signed-language variety.",78FE83B5CDEC6DF3DBD491B456F1A5612064DB3125E516419E8C86FAA1CF612B,gross_named_spoken_language_observation,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,mutually_exclusive_census_response_category,known_english_control_else_pending,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
38,true,NAT-049,Tajik,tg-Cyrl-TJ,Tajikistan,high_reach_underserved,Asia,Central Asia,ASSEC-TJ-TG-001,Tajik,NAT-049 tg-Cyrl-TJ Tajik,Tajikistan,written_text_candidate,tg-Cyrl-TJ,functional_literate_language_users_L1_or_later_language,derived_cldr_territory_functional_language_users,persons,0,10394100,10394100,,,source_point_without_interval_model_low_zero_high_point,2026-03-17 CLDR release; component estimate year not stated,ASSEC-S006,cldr_target_derivations.md row tg-Cyrl-TJ; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='TJ'] and languagePopulation[@type='tg'],false,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,2,medium,0,2598525,10394100,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",c953259bcd31245ced999d553c6289e48bbb7bb727f9411dbb95af340466aae5,exact_named_language_and_territory_match_to_NAT-049; source does not establish orthography,ASSEC-TJ-TG-FUNCTIONAL,standalone_secondary_estimate_replaces_ethnicity_or_undownloadable_table_only,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","CLDR records Tajik at 100 percent of its 10394100 territory population. Treat as a broad functional-user ceiling, not an exact census count; no component year, percentage rounding rule, or confidence interval is published.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
39,true,EXP-013,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,regional_depth,Africa,Horn of Africa,POP-ET-003,Somali,Ethiopia 2007 source label Somaligna,Ethiopia,written_text_candidate,Latin,cross_border_mother_tongue,census_mother_tongue_persons,persons,4609274,4609274,4609274,4609274,4609274,source_interval_or_exact_bounds,2007,PM-S020,"Table 3.2, printed pp. 91-93",true,Population and Housing Census 2007: National Statistical Report,Central Statistical Agency of Ethiopia (now Ethiopian Statistical Service),official census statistical report,1,high,0,1393384,4609274,"The observation is old but remains the latest Ethiopian national census. Several census labels, especially Guragiegna, aggregate distinct languages; counts are not current projections.",E21590781EC9843018369A590EAADE3B9407AE87E492B2A52451675E69FF396F,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Old census observation; not projected.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
40,true,EXP-005,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,regional_depth,Asia,Southeast Asia,POP-ID-005,Madurese,BPS source label Madura,Indonesia,written_text_candidate,Latin,regional_home_language,daily_language_at_home_age5plus_persons,persons,7743533,7743533,7743533,7743533,7743533,source_interval_or_exact_bounds,2010,PM-S005,"Table L4.1, printed p. 47",true,"Kewarganegaraan, Suku Bangsa, Agama, dan Bahasa Sehari-hari Penduduk Indonesia: Hasil Sensus Penduduk 2010",BPS-Statistics Indonesia,official census publication,1,high,0,3716896,7743533,"Home-use counts are not L1 totals. Several rows are broad language groups, including Batak and regional clusters; only individually named cells are retained here.",,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Count is 2010 and not projected.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
41,true,EXP-018,Mali Bamanankan Latin-script edition,bm-Latn-ML,Mali,regional_depth,Africa,Western Africa,POP-ML-AFG-001,Bambara/Bamanankan,Bambara/Bamanankan mother-tongue census category,Mali,written_text_candidate,not asserted by population source,resident_population_age_3_plus,census_mother_tongue_persons_age_3_plus,persons,9551561,9551561,9551561,9551561,9551561,source_interval_or_exact_bounds,2022,AFG-S008,"Tableau 3.01, printed p.25, Ensemble cell for Bambara/Bamanankan",true,RGPH5 2022: Caractéristiques culturelles de la population,"Institut National de la Statistique (INSTAT) and Bureau Central du Recensement (BCR), Mali",official census thematic report,1,medium,0,1701611,9551561,"Table 3.01 and Annex A03 publish materially different counts, and some printed sex subtotals do not exactly add to the printed ensemble cells. These observations preserve the Table 3.01 ensemble cells verbatim and do not repair or combine them. Peulh/Fulfulde and Malinké/Maninkakan remain source aggregates unless separately resolved.",3FB30D8041A0F90171B7A5C1ACC7D234EA02C13736131D2F4FA90A4144B2C915,exact_source_language_label_editorial_iso_mapping_pending_central_review,MLI_RGPH5_MOTHER_TONGUE_EXCLUSIVE,mutually_exclusive_mother_tongue_category,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Exact published Table 3.01 Ensemble cell for the language category; not inferred from ethnicity. Table 3.01 conflicts with Annex A03 and has small internal addition discrepancies, so this value is preserved verbatim and not repaired. ISO mapping is editorial; the census table does not establish script or orthography.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
42,true,NAT-048,Kyrgyz,ky-Cyrl-KG,Kyrgyzstan,regional_depth,Asia,Central Asia,ALG-KG-L001,Kyrgyz,national native-language total,Kyrgyzstan,written_text_candidate,,direct_language_population,census_native_language_persons,persons,5527168,5527168,5527168,5527168,5527168,source_interval_or_exact_bounds,2022,ALG-S008,"Table 3.8, printed p. 118",false,"Population and Housing Census of the Kyrgyz Republic 2022: Book II (Part One), Population of Kyrgyzstan",National Statistical Committee of the Kyrgyz Republic,official national census statistical collection,1,high,0,1381792,5527168,"National Kyrgyz, Uzbek, and Russian native-language totals in the observation file are exact sums of mutually exclusive own-ethnicity and cross-ethnicity cells. Other named groups are nationality-scoped own-language counts and therefore lower bounds on total speakers.",C9390DD29B4415572139E4A249057B0A35F130BA9F17E548727C0F35E71BF46D,source_named_language_observation,KG-NATIVE-2022,direct_language_population_observation,pending_central_coverage_join,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",5360056+167112 Mutually exclusive native-language categories Exact sum of Kyrgyz-ethnicity persons reporting their own-group language and all other ethnicities reporting Kyrgyz as native.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
43,true,NAT-035,Ilocano,ilo-Latn-PH,Philippines,regional_depth,Asia,Southeast Asia,ASSEC-PH-ILO-001,Iloko,NAT-035 ilo-Latn-PH Ilocano,Philippines,written_text_candidate,ilo-Latn-PH,national_main_language_population,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,persons,0,7098503,7098503,,,source_point_without_interval_model_low_zero_high_point,2010-12-31,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Iloko')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),true,CLEAR Global Language Use Data Platform Philippines national API snapshot,CLEAR Global; underlying source IPUMS International Philippines Census 2010 extract,curated authoritative secondary API from weighted census microdata,2,high,0,3494948,7098503,"Exact API point values are weighted estimates, not exact headcounts; no variance or confidence interval is exposed. The platform normalizes the metric as main language. API content is mutable, so the local byte witness is controlling.",b51008415bc8f36f8fd664c5d00a64f2dd0365f3e963fd3930aaa2540452cfb8,exact_Iloko_alias_and_Philippines_match_to_NAT-035_Ilocano; API Glottocode ilok1237 crosschecked to hid ilo,ASSEC-PH-ILO-MAINLANG-2010,person_estimate_alternative_to_POP-PH-004_household_count_never_convert_or_sum,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","The API exposes an exact weighted point value and reliability score 0.883 but no interval, so low/high are blank. CLEAR/Glottolog labels the language Iloko; the candidate and master use Ilocano. Master POP-PH-004 is a 2020 household count, not persons.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
44,true,NAT-081,Wolof,wo-Latn-SN,Senegal,regional_depth,Africa,Western Africa,POP-SN-AFG-001,Wolof,Wolof principal-language census category,Senegal,written_text_candidate,not asserted by population source,resident_population_age_3_plus,census_principal_language_commonly_spoken_persons_age_3_plus,persons,8786892,8786892,8786892,8786892,8786892,source_interval_or_exact_bounds,2023,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Wolof",true,"RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal",official census report,1,high,0,2212539,8786892,"Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table.",5DCA370935549249A1883522A7E6CDDBD6282140571A7F1B874AC9EAB2BF16B2,exact_source_language_label_editorial_iso_mapping_pending_central_review,SEN_RGPH5_PRINCIPAL_LANGUAGE_EXCLUSIVE,mutually_exclusive_principal_language_category,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Exact principal-language category for residents age 3+, not all speakers, literacy, or academic reading comfort. The categories in Tableau I-32 are mutually exclusive and must not be combined with another measure as if independent. ISO mapping is editorial; script and orthography are not established by this table.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
45,true,NAT-005,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,regional_depth,Asia,South Asia,ASSEC-LK-TA-001,Tamil,NAT-005 ta-Taml-LK Sri Lankan Tamil,Sri Lanka,written_text_candidate,ta-Taml-LK,functional_literate_language_users_L1_or_later_language,derived_cldr_territory_functional_language_users,persons,0,3297390,3297390,,,source_point_without_interval_model_low_zero_high_point,2026-03-17 CLDR release; component estimate year not stated,ASSEC-S006,cldr_target_derivations.md row ta-Taml-LK; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LK'] and languagePopulation[@type='ta'],false,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,2,medium,0,1529000,3297390,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",c953259bcd31245ced999d553c6289e48bbb7bb727f9411dbb95af340466aae5,language_and_country_match_to_NAT-005; source does not separate Sri Lankan Tamil subvarieties and likelySubtag is generic ta-Taml-IN,ASSEC-LK-TA-FUNCTIONAL,standalone_secondary_estimate_replaces_no_master_population_count,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Derived from territory population 21982600 times 15 percent. No percentage rounding rule or interval is published. The territory row is Sri Lanka-specific, but the language label is Tamil rather than a separately enumerated Sri Lankan Tamil variety.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
46,true,NAT-036,Hiligaynon,hil-Latn-PH,Philippines,regional_depth,Asia,Southeast Asia,ASSEC-PH-HIL-001,Hiligaynon,NAT-036 hil-Latn-PH Hiligaynon,Philippines,written_text_candidate,hil-Latn-PH,national_main_language_population,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,persons,0,6073883,6073883,,,source_point_without_interval_model_low_zero_high_point,2010-12-31,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Hiligaynon')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),true,CLEAR Global Language Use Data Platform Philippines national API snapshot,CLEAR Global; underlying source IPUMS International Philippines Census 2010 extract,curated authoritative secondary API from weighted census microdata,2,high,0,2990476,6073883,"Exact API point values are weighted estimates, not exact headcounts; no variance or confidence interval is exposed. The platform normalizes the metric as main language. API content is mutable, so the local byte witness is controlling.",b51008415bc8f36f8fd664c5d00a64f2dd0365f3e963fd3930aaa2540452cfb8,exact_Hiligaynon_and_Philippines_match_to_NAT-036; API Glottocode hili1240 crosschecked to hid hil,ASSEC-PH-HIL-MAINLANG-2010,person_estimate_alternative_to_POP-PH-003_household_count_never_convert_or_sum,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","The API exposes an exact weighted point value and reliability score 0.883 but no interval, so low/high are blank. Master POP-PH-003 is a 2020 household count, a different unit and measure; never convert or sum them.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
47,true,EXP-019,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,regional_depth,Africa,Southern Africa,ZA-NSO-2022,Sepedi,Census category: Sepedi; edition variety/standard unresolved,South Africa,written_text_candidate,Latin,resident population aged 1 year and older,census_language_most_often_spoken_in_household_persons_age_1_plus,persons,5972255,5972255,5972255,5972255,5972255,source_interval_or_exact_bounds,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",true,Census 2022 in Brief,Statistics South Africa,official national census report,1,high,0,2721855,5972255,"The measure is language most often spoken with other household members, not mother tongue, proficiency, literacy, or academic-language comfort. The table excludes Not applicable (638,736) and Unspecified (258,967). Census label 'Sign language' does not identify a signed-language variety.",78FE83B5CDEC6DF3DBD491B456F1A5612064DB3125E516419E8C86FAA1CF612B,gross_named_spoken_language_observation,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,mutually_exclusive_census_response_category,known_english_control_else_pending,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
