portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,first_product_id,first_product,first_product_depth,first_product_gross_tokens_low,first_product_gross_tokens_base,first_product_gross_tokens_high,first_product_source_ids,next_portfolio_id,next_portfolio_name,next_portfolio_exact_content,next_depth_id,next_depth_name,next_gross_tokens_low,next_gross_tokens_base,next_gross_tokens_high,next_portfolio_source_ids,population_source_ids,profile_authority_source_ids,mapping_caveat
11,NAT-015,Western Punjabi,pnb-Arab-PK,Pakistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S003,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
12,NAT-010,Odia,or-Orya-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
13,NAT-008,Kannada,kn-Knda-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
14,NAT-029,Thai,th-Thai-TH,Thailand,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,TH-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
15,NAT-013,Indian Urdu,ur-Arab-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
16,NAT-009,Malayalam,ml-Mlym-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
17,NAT-030,Burmese,my-Mymr-MM,Myanmar,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
18,NAT-014,Eastern Punjabi,pa-Guru-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
19,EXP-003,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,Uzbekistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,ALG-S018,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
20,NAT-018,Sindhi,sd-Arab-PK,Pakistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S003,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
21,NAT-039,Sundanese,su-Latn-ID,Indonesia,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
22,NAT-034,Cebuano,ceb-Latn-PH,Philippines,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,ASSEC-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
23,NAT-058,Dari,prs-Arab-AF,Afghanistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ASSEC-S018,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
24,NAT-065,Amharic,am-Ethi-ET,Ethiopia,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
25,NAT-011,Assamese,as-Beng-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
26,NAT-019,Saraiki,skr-Arab-PK,Pakistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S003,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
27,NAT-012,Pakistani Urdu,ur-Arab-PK,Pakistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S003,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
28,EXP-004,India Maithili Devanagari edition,mai-Deva-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
29,EXP-001,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,Afghanistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ASSEC-S018,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
30,NAT-027,Sinhala,si-Sinh-LK,Sri Lanka,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
31,NAT-073,isiZulu,zu-Latn-ZA,South Africa,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
32,NAT-031,Khmer,km-Khmr-KH,Cambodia,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ALG-S011,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
33,NAT-022,Nepali,ne-Deva-NP,Nepal,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S004,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
34,NAT-075,Shona,sn-Latn-ZW,Zimbabwe,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S011,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
35,NAT-047,Kazakh,kk-Cyrl-KZ,Kazakhstan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,ALG-S007,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
36,NAT-055,Turkmen,tk-Latn-TM,Turkmenistan,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ALG-S009,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
37,NAT-074,isiXhosa,xh-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
38,NAT-049,Tajik,tg-Cyrl-TJ,Tajikistan,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
39,NAT-032,Lao,lo-Laoo-LA,Laos,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
40,EXP-005,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
41,EXP-018,Mali Bamanankan Latin-script edition,bm-Latn-ML,Mali,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,AFG-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
42,EXP-013,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
43,NAT-035,Ilocano,ilo-Latn-PH,Philippines,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
44,NAT-081,Wolof,wo-Latn-SN,Senegal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,AFG-S009,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
45,NAT-048,Kyrgyz,ky-Cyrl-KG,Kyrgyzstan,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ALG-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
46,NAT-036,Hiligaynon,hil-Latn-PH,Philippines,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S008,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
47,EXP-019,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
48,NAT-005,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
49,EXP-020,South Africa Setswana Latin-script edition,tn-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
50,EXP-021,South Africa Sesotho Latin-script edition,st-Latn-ZA,South Africa,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ZA-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
51,NAT-050,Mongolian,mn-Cyrl-MN,Mongolia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
52,EXP-006,Indonesia Minangkabau Latin-script edition,min-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
53,EXP-014,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,Ethiopia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,PM-S020,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
54,NAT-105,Maori,mi-Latn-NZ,New Zealand,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S014,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
55,EXP-007,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
56,OBS-POP-SN-AFG-002,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,Senegal,regional_depth,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D2,Course-ready core,1087145,4356012,18630029,ACE-E002;ACE-E003,AFG-S009,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
57,EXP-037,Ireland Irish Latin-script daily-use edition,ga-Latn-IE,Ireland,small_population_prestige_domain_screen,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,PM-S016,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
