curation_id,intervention_id,target_name,target_profile,target_type,candidate_rankability_status,observation_id,population_language_label,population_profile,territory,reference_year,measure_type,count_unit,exact_source_population,source_id,source_locator,join_suggestion_status,target_mapping_status,observation_use,overlap_group_id,automatic_curation_status,automatic_curation_reason,manual_disposition,manual_notes
CUR-0011,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,ALG-BD-L001,Bangla,direct sample language category,Bangladesh,2019,survey_household_head_language_cases,sample_cases,60026,ALG-S002,Variable HC1B in hh.sav,same_language_other_territory_review,sample_case_not_population,context_or_sensitivity_only,BD-MICS-HEAD-2019,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0012,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,ASSEC-BD-BN-001,Bangla,NAT-001 bn-Beng-BD Bangladesh Bangla,Bangladesh,2026-03-17 CLDR release; component estimate year not stated,derived_cldr_territory_functional_language_users,persons,165323060,ASSEC-S006,cldr_target_derivations.md row bn-Beng-BD; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='BD'] and languagePopulation[@type='bn'],same_language_other_territory_review,exact_language_and_territory_match_to_NAT-001; population source does not establish orthography,gross_upper_bound_pending_intervention_edges,ASSEC-BD-BN-FUNCTIONAL,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0013,NAT-003,Telugu,te-Telu-IN,natural_language,requires_exact_population_join,POP-IN-021,Telugu,C-16 Telugu census language category,India,2011,census_mother_tongue_persons,persons,81127740,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-021-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0014,NAT-003,Telugu,te-Telu-IN,natural_language,requires_exact_population_join,POP-MU-010,Telugu,Statistics Mauritius source label Telugu,Mauritius,2022,language_usually_spoken_at_home_persons,persons,362,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0015,NAT-003,Telugu,te-Telu-IN,natural_language,requires_exact_population_join,POP-IN-COMP-021,Telugu,C-16 same-name mother-tongue component: Telugu; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,80912459,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-021-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0016,NAT-004,Indian Tamil,ta-Taml-IN,natural_language,requires_exact_population_join,POP-IN-020,Tamil,C-16 Tamil census language category,India,2011,census_mother_tongue_persons,persons,69026881,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-020-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0017,NAT-004,Indian Tamil,ta-Taml-IN,natural_language,requires_exact_population_join,POP-MU-009,Tamil,Statistics Mauritius source label Tamil,Mauritius,2022,language_usually_spoken_at_home_persons,persons,1035,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0018,NAT-004,Indian Tamil,ta-Taml-IN,natural_language,requires_exact_population_join,POP-IN-COMP-020,Tamil,C-16 same-name mother-tongue component: Tamil; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,68888839,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-020-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0019,NAT-004,Indian Tamil,ta-Taml-IN,natural_language,requires_exact_population_join,ALG-SG-L008,Tamil,most-frequently-spoken-at-home category,Singapore,2020,census_home_language_most_frequent_persons,persons,89946,ALG-S013,Resource 17441 row 6.1 Total,same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,SG-HOME-MOST-2020,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0020,NAT-004,Indian Tamil,ta-Taml-IN,natural_language,requires_exact_population_join,ASSEC-LK-TA-001,Tamil,NAT-005 ta-Taml-LK Sri Lankan Tamil,Sri Lanka,2026-03-17 CLDR release; component estimate year not stated,derived_cldr_territory_functional_language_users,persons,3297390,ASSEC-S006,cldr_target_derivations.md row ta-Taml-LK; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LK'] and languagePopulation[@type='ta'],same_language_other_territory_review,language_and_country_match_to_NAT-005; source does not separate Sri Lankan Tamil subvarieties and likelySubtag is generic ta-Taml-IN,gross_upper_bound_pending_intervention_edges,ASSEC-LK-TA-FUNCTIONAL,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0021,NAT-005,Sri Lankan Tamil,ta-Taml-LK,natural_language,requires_exact_population_join,POP-IN-020,Tamil,C-16 Tamil census language category,India,2011,census_mother_tongue_persons,persons,69026881,PM-S001,"Statement 1, printed p. 7",same_language_other_territory_review,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-020-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0022,NAT-005,Sri Lankan Tamil,ta-Taml-LK,natural_language,requires_exact_population_join,POP-MU-009,Tamil,Statistics Mauritius source label Tamil,Mauritius,2022,language_usually_spoken_at_home_persons,persons,1035,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0023,NAT-005,Sri Lankan Tamil,ta-Taml-LK,natural_language,requires_exact_population_join,POP-IN-COMP-020,Tamil,C-16 same-name mother-tongue component: Tamil; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,68888839,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",same_language_other_territory_review,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-020-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0024,NAT-005,Sri Lankan Tamil,ta-Taml-LK,natural_language,requires_exact_population_join,ALG-SG-L008,Tamil,most-frequently-spoken-at-home category,Singapore,2020,census_home_language_most_frequent_persons,persons,89946,ALG-S013,Resource 17441 row 6.1 Total,same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,SG-HOME-MOST-2020,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0025,NAT-005,Sri Lankan Tamil,ta-Taml-LK,natural_language,requires_exact_population_join,ASSEC-LK-TA-001,Tamil,NAT-005 ta-Taml-LK Sri Lankan Tamil,Sri Lanka,2026-03-17 CLDR release; component estimate year not stated,derived_cldr_territory_functional_language_users,persons,3297390,ASSEC-S006,cldr_target_derivations.md row ta-Taml-LK; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LK'] and languagePopulation[@type='ta'],code_only_profile_join_review,language_and_country_match_to_NAT-005; source does not separate Sri Lankan Tamil subvarieties and likelySubtag is generic ta-Taml-IN,gross_upper_bound_pending_intervention_edges,ASSEC-LK-TA-FUNCTIONAL,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0026,NAT-006,Marathi,mr-Deva-IN,natural_language,requires_exact_population_join,POP-IN-013,Marathi,C-16 Marathi census language category,India,2011,census_mother_tongue_persons,persons,83026680,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-013-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0027,NAT-006,Marathi,mr-Deva-IN,natural_language,requires_exact_population_join,POP-MU-008,Marathi,Statistics Mauritius source label Marathi,Mauritius,2022,language_usually_spoken_at_home_persons,persons,364,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0028,NAT-006,Marathi,mr-Deva-IN,natural_language,requires_exact_population_join,POP-IN-COMP-013,Marathi,C-16 same-name mother-tongue component: Marathi; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,82801140,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-013-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0029,NAT-007,Gujarati,gu-Gujr-IN,natural_language,requires_exact_population_join,POP-IN-005,Gujarati,C-16 Gujarati census language category,India,2011,census_mother_tongue_persons,persons,55492554,PM-S001,"Statement 1, printed p. 5",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-005-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0030,NAT-007,Gujarati,gu-Gujr-IN,natural_language,requires_exact_population_join,POP-IN-COMP-005,Gujarati,C-16 same-name mother-tongue component: Gujarati; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,55036204,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-005-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0031,NAT-008,Kannada,kn-Knda-IN,natural_language,requires_exact_population_join,POP-IN-007,Kannada,C-16 Kannada census language category,India,2011,census_mother_tongue_persons,persons,43706512,PM-S001,"Statement 1, printed p. 6",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-007-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0032,NAT-008,Kannada,kn-Knda-IN,natural_language,requires_exact_population_join,POP-IN-COMP-007,Kannada,C-16 same-name mother-tongue component: Kannada; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,43506272,PM-S001,"Statement 1, printed p. 6; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-007-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0033,NAT-009,Malayalam,ml-Mlym-IN,natural_language,requires_exact_population_join,POP-IN-011,Malayalam,C-16 Malayalam census language category,India,2011,census_mother_tongue_persons,persons,34838819,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-011-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0034,NAT-009,Malayalam,ml-Mlym-IN,natural_language,requires_exact_population_join,POP-IN-COMP-011,Malayalam,C-16 same-name mother-tongue component: Malayalam; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,34776533,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-011-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0035,NAT-010,Odia,or-Orya-IN,natural_language,requires_exact_population_join,POP-IN-015,Odia,C-16 Odia census language category,India,2011,census_mother_tongue_persons,persons,37521324,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-015-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0036,NAT-010,Odia,or-Orya-IN,natural_language,requires_exact_population_join,POP-IN-COMP-015,Odia,C-16 same-name mother-tongue component: Odia; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,34059266,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-015-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0037,NAT-011,Assamese,as-Beng-IN,natural_language,requires_exact_population_join,POP-IN-001,Assamese,C-16 Assamese census language category,India,2011,census_mother_tongue_persons,persons,15311351,PM-S001,"Statement 1, printed p. 5",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-001-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0038,NAT-011,Assamese,as-Beng-IN,natural_language,requires_exact_population_join,POP-IN-COMP-001,Assamese,C-16 same-name mother-tongue component: Assamese; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,14816414,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-001-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0039,NAT-012,Pakistani Urdu,ur-Arab-PK,natural_language,requires_exact_population_join,POP-IN-022,Urdu,C-16 Urdu census language category,India,2011,census_mother_tongue_persons,persons,50772631,PM-S001,"Statement 1, printed p. 7",same_language_other_territory_review,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-022-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0040,NAT-012,Pakistani Urdu,ur-Arab-PK,natural_language,requires_exact_population_join,POP-PK-001,Urdu,Pakistan 2023 mother-tongue category,Pakistan,2023,census_mother_tongue_persons,persons,22249307,PM-S003,"Table 11, national all-localities all-sexes row",strong_join_suggestion,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0041,NAT-012,Pakistani Urdu,ur-Arab-PK,natural_language,requires_exact_population_join,POP-MU-011,Urdu,Statistics Mauritius source label Urdu,Mauritius,2022,language_usually_spoken_at_home_persons,persons,413,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0042,NAT-012,Pakistani Urdu,ur-Arab-PK,natural_language,requires_exact_population_join,POP-IN-COMP-022,Urdu,C-16 same-name mother-tongue component: Urdu; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,50725762,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",same_language_other_territory_review,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-022-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0043,NAT-013,Indian Urdu,ur-Arab-IN,natural_language,requires_exact_population_join,POP-IN-022,Urdu,C-16 Urdu census language category,India,2011,census_mother_tongue_persons,persons,50772631,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-022-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0044,NAT-013,Indian Urdu,ur-Arab-IN,natural_language,requires_exact_population_join,POP-PK-001,Urdu,Pakistan 2023 mother-tongue category,Pakistan,2023,census_mother_tongue_persons,persons,22249307,PM-S003,"Table 11, national all-localities all-sexes row",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0045,NAT-013,Indian Urdu,ur-Arab-IN,natural_language,requires_exact_population_join,POP-MU-011,Urdu,Statistics Mauritius source label Urdu,Mauritius,2022,language_usually_spoken_at_home_persons,persons,413,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0046,NAT-013,Indian Urdu,ur-Arab-IN,natural_language,requires_exact_population_join,POP-IN-COMP-022,Urdu,C-16 same-name mother-tongue component: Urdu; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,50725762,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-022-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0047,NAT-014,Eastern Punjabi,pa-Guru-IN,natural_language,requires_exact_population_join,POP-IN-016,Punjabi,C-16 Punjabi census language category,India,2011,census_mother_tongue_persons,persons,33124726,PM-S001,"Statement 1, printed p. 7",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-016-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0048,NAT-014,Eastern Punjabi,pa-Guru-IN,natural_language,requires_exact_population_join,POP-PK-002,Punjabi,Pakistan 2023 census Punjabi category; exact production variety unresolved,Pakistan,2023,census_mother_tongue_persons,persons,88915544,PM-S003,"Table 11, national row",name_only_join_review,source_observation_not_candidate_ready,context_or_sensitivity_only,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0049,NAT-014,Eastern Punjabi,pa-Guru-IN,natural_language,requires_exact_population_join,POP-IN-COMP-016,Punjabi,C-16 same-name mother-tongue component: Punjabi; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,31144095,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-016-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0050,NAT-015,Western Punjabi,pnb-Arab-PK,natural_language,requires_exact_population_join,POP-IN-016,Punjabi,C-16 Punjabi census language category,India,2011,census_mother_tongue_persons,persons,33124726,PM-S001,"Statement 1, printed p. 7",name_only_join_review,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-016-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0051,NAT-015,Western Punjabi,pnb-Arab-PK,natural_language,requires_exact_population_join,POP-PK-002,Punjabi,Pakistan 2023 census Punjabi category; exact production variety unresolved,Pakistan,2023,census_mother_tongue_persons,persons,88915544,PM-S003,"Table 11, national row",name_only_join_review,source_observation_not_candidate_ready,context_or_sensitivity_only,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0052,NAT-015,Western Punjabi,pnb-Arab-PK,natural_language,requires_exact_population_join,POP-IN-COMP-016,Punjabi,C-16 same-name mother-tongue component: Punjabi; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,31144095,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",name_only_join_review,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-016-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
