region,subregion,source_id,population_measure,source_confidence,source_tier,cardinal_rows,top100_rows,reference_dates_or_years,observation_ids,source_title,source_authority,source_type,source_limitations,population_aggregation
Americas,North America (Central American Indigenous diaspora),GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,4,0,2017-2021,GRG-US-031 || GRG-US-032 || GRG-US-033 || GRG-US-034,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,North America (European nonterritorial diaspora),GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,2,2,2017-2021,GRG-US-029 || GRG-US-030,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,North America (Pacific diaspora),GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,8,2,2017-2021,GRG-US-017 || GRG-US-018 || GRG-US-019 || GRG-US-020 || GRG-US-021 || GRG-US-022 || GRG-US-023 || GRG-US-024,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,North America,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,13,2,2017-2021,GRG-US-001 || GRG-US-002 || GRG-US-003 || GRG-US-005 || GRG-US-006 || GRG-US-007 || GRG-US-008 || GRG-US-009 || GRG-US-010 || GRG-US-013 || GRG-US-014 || GRG-US-015 || GRG-US-016,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,South America,PM-S007,census_language_learned_in_childhood_age3plus_persons,high,1,3,3,2017,POP-PE-003 || POP-PE-004 || POP-PE-005,"Peru: Perfil Sociodemográfico, Censos Nacionales 2017",Instituto Nacional de Estadística e Informática (INEI),official census report,Quechua and Aimara are aggregate census labels spanning varieties. The total column is used from a health-insurance cross-tabulation; it remains the national count for the stated age and language universe.,not summed across rows
Asia,Central Asia,ALG-S007,census_native_language_of_own_nationality_persons,high,1,1,1,2021,ALG-KZ-L001,"National composition, religion and language proficiency in the Republic of Kazakhstan",Bureau of National Statistics of the Agency for Strategic Planning and Reforms of the Republic of Kazakhstan,official national census statistical collection,"Table 6 counts language-of-own-nationality only within each nationality and omits cross-nationality native speakers. Table 8 proficiency is not mother tongue or academic comfort; its 17,194,712-person universe appears to be age 5+ from the age table, so the age interpretation is retained as a caveat.",not summed across rows
Asia,Central Asia,ALG-S008,census_native_language_persons,high,1,1,1,2022,ALG-KG-L001,"Population and Housing Census of the Kyrgyz Republic 2022: Book II (Part One), Population of Kyrgyzstan",National Statistical Committee of the Kyrgyz Republic,official national census statistical collection,"National Kyrgyz, Uzbek, and Russian native-language totals in the observation file are exact sums of mutually exclusive own-ethnicity and cross-ethnicity cells. Other named groups are nationality-scoped own-language counts and therefore lower bounds on total speakers.",not summed across rows
Asia,Central Asia,ALG-S009,census_mother_tongue_persons,high,1,1,1,2022,ALG-TM-L001,Results of the Complete Population and Housing Census of Turkmenistan - 2022: National Composition and Language Proficiency,State Committee of Turkmenistan on Statistics,official national census tables,Direct mother-tongue totals. Published category labels such as Baloch are retained as-is and do not establish a narrower variety.,not summed across rows
Asia,Central Asia,ALG-S018,preliminary_census_mother_tongue_persons_rounded,high,1,1,1,2026,ALG-UZ-L001,Проведена конференция посвящённая предварительным результатам переписи населения и сельского хозяйства,National Statistics Committee of the Republic of Uzbekistan,official preliminary national census release,"Preliminary release. The mother-tongue count is rounded to 0.1 million; its separately published 91.3 percent does not arithmetically reproduce 35.7 million against the exact preliminary population total, so the percentage is not used to narrow the count range. Post-enumeration coverage was reported as 97.3 percent.",not summed across rows
Asia,Central Asia,ASSEC-S006,derived_cldr_territory_functional_language_users,medium,2,1,1,2026-03-17 CLDR release; component estimate year not stated,ASSEC-TJ-TG-001,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",not summed across rows
Asia,East Asia,ASSEC-S006,derived_cldr_territory_functional_language_users,medium,2,1,1,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MN-MN-001,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",not summed across rows
Asia,South Asia,ASSEC-S006,derived_cldr_territory_functional_language_users,medium,2,3,3,2026-03-17 CLDR release; component estimate year not stated,ASSEC-BD-BN-001 || ASSEC-LK-SI-001 || ASSEC-LK-TA-001,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",not summed across rows
Asia,South Asia,ASSEC-S018,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,medium,2,2,2,2020 estimate; republished in official report 2023,ASSEC-AF-PRS-001 || ASSEC-AF-PS-001,Transparent Afghanistan Dari and Pashto person-count derivation,Arithmetic derivation from ASSEC-S015 through ASSEC-S017,transparent secondary derivation witness,Derived point counts inherit the source shares' unknown rounding and uncertainty. No numerical low/high interval is invented. Dari and Pashto totals overlap and must never be summed; displaced cohorts outside Afghanistan are excluded.,not summed across rows
Asia,South Asia,PM-S001,census_same_name_mother_tongue_component_persons,high,1,12,12,2011,POP-IN-COMP-001 || POP-IN-COMP-002 || POP-IN-COMP-005 || POP-IN-COMP-007 || POP-IN-COMP-010 || POP-IN-COMP-011 || POP-IN-COMP-013 || POP-IN-COMP-015 || POP-IN-COMP-016 || POP-IN-COMP-020 || POP-IN-COMP-021 || POP-IN-COMP-022,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",not summed across rows
Asia,South Asia,PM-S003,census_mother_tongue_persons,high,1,5,5,2023,POP-PK-001 || POP-PK-002 || POP-PK-003 || POP-PK-007 || POP-PK-009,"Table 11: Population by Mother Tongue, Sex and Rural/Urban, Census 2023",Pakistan Bureau of Statistics,official census table,"Several labels are census aggregates (for example Pushto, Balochi, Kohistani); they are not automatically single edition targets.",not summed across rows
Asia,South Asia,PM-S004,census_mother_tongue_persons,high,1,4,4,2021,POP-NP-001 || POP-NP-002 || POP-NP-003 || POP-NP-007,Languages in Nepal: National Population and Housing Census 2021 Thematic Report,"National Statistics Office, Nepal",official census thematic report,Some census labels aggregate varieties; the Sign Language entry is a census mother-tongue response category rather than a full sign-language-use census.,not summed across rows
Asia,Southeast Asia,ALG-S011,census_mother_tongue_persons,high,1,1,1,2019,ALG-KH-L001,General Population Census of the Kingdom of Cambodia 2019: National Report on Final Census Results,National Institute of Statistics Cambodia,official national census report,"The table covers all persons in census households and excludes migrants working abroad. Published total-category counts sum to the stated universe, but multiple male/female subtotals do not sum to their published category totals; only the total-category column is staged.",not summed across rows
Asia,Southeast Asia,ALG-S014,census_mother_tongue_persons,high,1,7,7,2015,ALG-TL-L001 || ALG-TL-L003 || ALG-TL-L006 || ALG-TL-L007 || ALG-TL-L008 || ALG-TL-L009 || ALG-TL-L010,Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables,General Directorate of Statistics Timor-Leste,official national census workbook,The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.,not summed across rows
Asia,Southeast Asia,ASSEC-S006,derived_cldr_territory_functional_language_users,medium,2,2,2,2026-03-17 CLDR release; component estimate year not stated,ASSEC-LA-LO-001 || ASSEC-MM-MY-001,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",not summed across rows
Asia,Southeast Asia,ASSEC-S007,peer_reviewed_published_lower_bound_speakers,medium,2,1,1,2016 publication; population estimate vintage not stated,ASSEC-VN-VI-001,Consonants vowels and tones across Vietnamese dialects,International Journal of Speech-Language Pathology; PubMed record by U.S. National Library of Medicine,peer-reviewed scholarly secondary estimate,Rounded lower bound rather than a point estimate; L1 versus L2 and source year of the population estimate are not stated. The article is about dialect phonetics rather than population estimation.,not summed across rows
Asia,Southeast Asia,ASSEC-S008,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,high,2,4,4,2010-12-31,ASSEC-PH-CEB-001 || ASSEC-PH-HIL-001 || ASSEC-PH-ILO-001 || ASSEC-PH-WAR-001,CLEAR Global Language Use Data Platform Philippines national API snapshot,CLEAR Global; underlying source IPUMS International Philippines Census 2010 extract,curated authoritative secondary API from weighted census microdata,"Exact API point values are weighted estimates, not exact headcounts; no variance or confidence interval is exposed. The platform normalizes the metric as main language. API content is mutable, so the local byte witness is controlling.",not summed across rows
Asia,Southeast Asia,PM-S005,daily_language_at_home_age5plus_persons,high,1,9,9,2010,POP-ID-001 || POP-ID-003 || POP-ID-005 || POP-ID-006 || POP-ID-007 || POP-ID-012 || POP-ID-013 || POP-ID-014 || POP-ID-017,"Kewarganegaraan, Suku Bangsa, Agama, dan Bahasa Sehari-hari Penduduk Indonesia: Hasil Sensus Penduduk 2010",BPS-Statistics Indonesia,official census publication,"Home-use counts are not L1 totals. Several rows are broad language groups, including Batak and regional clusters; only individually named cells are retained here.",not summed across rows
Asia,Southeast Asia,PM-S021,official_long_form_census_able_to_speak_indonesian_persons_age5plus,high,1,1,1,2022,POP-ID-018,"Jumlah Penduduk Berumur 5 Tahun ke Atas Menurut Wilayah, Jenis Kelamin, dan Kemampuan Berbahasa Indonesia, di INDONESIA",BPS-Statistics Indonesia,official Long Form Population Census 2020 table released for 2022,"This is an official long-form census point estimate of oral functional ability, not written literacy, home language, mother tongue, academic reading comfort, or proof of demand for a particular curriculum. The model therefore treats it as a gross Bahasa Indonesia reach ceiling and applies written-access and academic-language non-overlap factors separately.",not summed across rows
Asia,Southeast Asia,TH-S001,derived_union_of_mutually_exclusive_census_strata_persons,high,1,1,1,2010-09-01,TH-2010-003,The 2010 Population and Housing Census (Whole Kingdom),National Statistical Office Thailand,official national census report,"The table mixes mutually exclusive Thai-only/Thai-plus-other/other-only strata with named other-language categories that can overlap the Thai-plus-other stratum. English labels contain several typographic or country-name substitutions. Counts are 2010 observations, not current projections; the report warns that independently rounded totals may differ slightly.",not summed across rows
Europe,Central Europe,GRG-S006,census_languages_used_at_home_multiple_response_persons,high,1,4,4,2021-03-31,GRG-PL-002 || GRG-PL-004 || GRG-PL-007 || GRG-PL-010,Size and demographic-social structure in the light of the 2021 Census results,Statistics Poland,official national census publication,"Multiple language responses were allowed, so rows overlap and must not be summed. The table measures language used at home, not L1 or academic-language comfort. Official bilingual labels are retained exactly. The population source does not report scripts or orthographies.",not summed across rows
Europe,Northern Europe,PM-S016,self_reported_daily_use_outside_education_persons,high,1,1,1,2022,POP-EU-003,Census of Population 2022 Summary Results: Education and Irish Language,Central Statistics Office Ireland,official census release,Ability and daily-use measures are not interchangeable; cells are separated and must not be summed.,not summed across rows
Oceania,Australia,GRG-S002,census_language_used_at_home_persons,high,1,5,0,2021,GRG-AU-001 || GRG-AU-002 || GRG-AU-003 || GRG-AU-004 || GRG-AU-005,"2021 Lingiari, Census All persons QuickStats",Australian Bureau of Statistics,official national census QuickStats,"National values are the Australia comparison column, not the Lingiari local counts. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",not summed across rows
Oceania,Australia,GRG-S003,census_language_used_at_home_persons,high,1,1,0,2021,GRG-AU-006,"2021 Alice Springs, Census All persons QuickStats",Australian Bureau of Statistics,official national census QuickStats,"National value is the Australia comparison column, not the Alice Springs local count. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",not summed across rows
Oceania,Australia,GRG-S004,census_language_used_at_home_persons,high,1,3,0,2021,GRG-AU-007 || GRG-AU-008 || GRG-AU-009,"2021 Katherine, Census All persons QuickStats",Australian Bureau of Statistics,official national census QuickStats,"National values are the Australia comparison column, not the Katherine local counts. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",not summed across rows
Oceania,Australia,GRG-S005,census_language_used_at_home_persons,high,1,1,0,2021,GRG-AU-010,"2021 Barkly, Census All persons QuickStats",Australian Bureau of Statistics,official national census QuickStats,"National value is the Australia comparison column, not the Barkly local count. ABS applied small random changes to cells for privacy. Language used at home permits one main-language response and is not an L1 or educational-access measure.",not summed across rows
Oceania,Polynesia,PM-S014,census_languages_spoken_multiple_response_persons,high,1,2,2,2023,POP-NZ-002 || POP-NZ-003,Place and ethnic group summaries: Total New Zealand population language comparator,Stats NZ,official census summary table,"Multiple responses are permitted and figures use fixed random rounding; rows are not L1 counts and must not be summed. Northern Chinese is a census category, not a single unqualified language target.",not summed across rows
