census_language_category,census_language_code,total_speakers,speaking_any_subsidiary_language,speaking_english_as_first_or_second_subsidiary,speaking_hindi_as_first_or_second_subsidiary,speaking_english_or_hindi_union,not_reporting_english_or_hindi,english_or_hindi_overlap_share,nonoverlap_low,nonoverlap_base,nonoverlap_high,reference_year,source_id,source_sha256,source_locator,limitations
Tulu,117000,1846427,1528941,289277,177953,411479,1434948,0.222851486,0.777148514,0.888574257,0.955429703,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Manipuri,012000,1761079,780041,589290,442350,700710,1060369,0.397886750,0.602113250,0.801056625,0.920422650,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bodo,003000,1482929,1002618,70575,223714,268112,1214817,0.180798946,0.819201054,0.909600527,0.963840211,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Khasi,055000,1431344,319363,254117,105607,296823,1134521,0.207373629,0.792626371,0.896313185,0.958525274,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Ho,048000,1421418,808474,39119,522634,531011,890407,0.373578356,0.626421644,0.813210822,0.925284329,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Garo,043000,1145323,300668,121112,113497,188684,956639,0.164743046,0.835256954,0.917628477,0.967051391,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Mundari,092000,1128228,771535,23227,634646,640826,487402,0.567993349,0.432006651,0.716003326,0.886401330,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tripuri,116000,1011294,720190,36567,38883,72090,939204,0.071284908,0.928715092,0.964357546,0.985743018,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kui,070000,941488,626552,24795,14360,37512,903976,0.039843312,0.960156688,0.980078344,0.992031338,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lushai/Mizo,082000,830846,193485,156321,44897,178667,652179,0.215042258,0.784957742,0.892478871,0.956991548,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Halabi,045000,766297,443412,6945,391961,393501,372796,0.513509775,0.486490225,0.743245113,0.897298045,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Korku,067000,727133,558991,1489,545522,545744,181389,0.750542198,0.249457802,0.624728901,0.849891560,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Miri/Mishing,087000,629954,459853,43405,45104,83864,546090,0.133127181,0.866872819,0.933436410,0.973374564,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Karbi/Mikir,052000,528503,349930,47426,65764,104733,423770,0.198169168,0.801830832,0.900915416,0.960366166,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Munda,091000,505922,371509,11485,153897,160797,345125,0.317829626,0.682170374,0.841085187,0.936434075,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Savara,106000,409549,277579,7551,13097,19994,389555,0.048819555,0.951180445,0.975590222,0.990236089,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Koya,069000,407423,282122,11977,6107,17369,390054,0.042631368,0.957368632,0.978684316,0.991473726,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Nissi/Dafla,094000,406532,256725,107833,242590,249072,157460,0.612675017,0.387324983,0.693662492,0.877464997,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kharia,054000,297614,234751,7917,167948,171004,126610,0.574583185,0.425416815,0.712708408,0.885083363,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Ao,027000,260008,186577,93261,33227,107433,152575,0.413191133,0.586808867,0.793404434,0.917361773,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
English,040000,259678,197817,0,154573,154573,105105,0.595248731,0.404751269,0.702375634,0.880950254,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Adi,023000,248834,164428,77962,153349,157038,91796,0.631095429,0.368904571,0.684452285,0.873780914,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Konyak,066000,244477,120470,45304,15382,51921,192556,0.212375806,0.787624194,0.893812097,0.957524839,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Mao,084000,240205,111937,82984,15856,90485,149720,0.376699070,0.623300930,0.811650465,0.924660186,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Malto,083000,234991,137754,1544,97611,98109,136882,0.417501096,0.582498904,0.791249452,0.916499781,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bhotia,031000,229954,166419,71557,96497,131229,98725,0.570675005,0.429324995,0.714662498,0.885864999,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Thado,114000,229340,143854,59815,13949,68360,160980,0.298072730,0.701927270,0.850963635,0.940385454,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kisan,060000,206100,166175,7104,41608,47276,158824,0.229383794,0.770616206,0.885308103,0.954123241,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tangkhul,112000,187276,115897,58839,17545,66218,121058,0.353585083,0.646414917,0.823207459,0.929282983,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tibetan,115000,182685,111966,43055,52622,72245,110440,0.395462134,0.604537866,0.802268933,0.920907573,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lotha,081000,179467,115643,80093,19396,87705,91762,0.488697086,0.511302914,0.755651457,0.902260583,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Khond/Kondh,058000,155548,101882,1292,1403,2508,153040,0.016123640,0.983876360,0.991938180,0.996775272,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Angami,026000,152796,104979,74155,17477,80408,72388,0.526244143,0.473755857,0.736877929,0.894751171,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Rabha,102000,139986,105208,3419,11493,13995,125991,0.099974283,0.900025717,0.950012858,0.980005143,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Dimasa,039000,137184,94715,11799,51951,57450,79734,0.418780616,0.581219384,0.790609692,0.916243877,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kolami,063000,128451,99409,297,10971,11153,117298,0.086826883,0.913173117,0.956586558,0.982634623,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kabui,051000,122931,75920,32301,10123,37711,85220,0.306765584,0.693234416,0.846617208,0.938646883,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Coorgi/Kodagu,037000,113857,102347,42216,9391,48156,65701,0.422951597,0.577048403,0.788524201,0.915409681,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Lahnda,075000,108791,77526,14267,67653,70067,38724,0.644051438,0.355948562,0.677974281,0.871189712,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Hmar,047000,98988,51612,21159,16222,28570,70418,0.288620843,0.711379157,0.855689579,0.942275831,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Chakru/Chokri,035000,91216,49082,25475,2402,26695,64521,0.292656990,0.707343010,0.853671505,0.941468602,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kuki,071000,83968,55730,23584,19672,34842,49126,0.414943788,0.585056212,0.792528106,0.917011242,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kinnauri,059000,83561,67671,20842,67066,67560,16001,0.808511148,0.191488852,0.595744426,0.838297770,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Yimchungre,120000,83259,48061,18900,5560,21695,61564,0.260572431,0.739427569,0.869713785,0.947885514,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bishnupuriya,033000,79646,64751,8718,17043,23984,55662,0.301132511,0.698867489,0.849433744,0.939773498,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
