intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,lane_basis,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,api_equivalent_usd_base,gross_people_per_million_base_tokens,base_marginal_access_per_million_tokens,conservative_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,recommended_first_product,recommended_openstax_next_product,recommended_openstax_depth,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,profile_resolution_status,profile_ranking_treatment,deduplication_rule,evidence_caveat,base_efficiency_rank_low,base_efficiency_rank_high,gross_efficiency_rank_low,gross_efficiency_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,informative_rank_views_available,conservative_view_treatment,admission_lane,admission_lane_rank_low,admission_lane_rank_high,portfolio_position
NAT-029,natural_language_edition,Thai,th-Thai-TH,1,Thailand,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,64080191,64080191,64080191,64080191,64080191,source_interval_or_exact_bounds,derived_union_of_mutually_exclusive_census_strata_persons,2010-09-01,TH-2010-003,TH-S001,,,high,1,0,29188527,64080191,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,15732732.653,7166259.723,0.000,70206632.360,862602.684,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",12,12,10,10,1,134,10,10,21,21,10,21,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,10,10,11
NAT-010,natural_language_edition,Odia,or-Orya-IN,1,India,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,34059266,34059266,34059266,34059266,34059266,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-015,PM-S001,,,high,1,0,23106806,32260563,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,8362105.636,5673097.967,0.000,35344861.663,5200341.562,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",15,15,18,18,1,134,19,19,6,6,6,19,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,6,6,12
NAT-008,natural_language_edition,Kannada,kn-Knda-IN,1,India,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,43506272,43506272,43506272,43506272,43506272,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-007,PM-S001,,,high,1,0,31535081,42241972,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,10681499.781,7742377.025,0.000,46280551.791,2795857.600,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",10,10,13,13,1,134,13,13,13,13,10,13,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,10,10,13
NAT-013,natural_language_edition,Indian Urdu,ur-Arab-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,50725762,50725762,50725762,50725762,50725762,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-022,PM-S001,,,high,1,0,30600888,46095589,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,12454002.395,7513017.398,0.000,50502597.134,5008680.721,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",11,11,12,12,1,134,12,12,7,7,7,12,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,12,12,14
NAT-030,natural_language_edition,Burmese,my-Mymr-MM,1,Myanmar,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,0,36817344,36817344,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MM-MY-001,ASSEC-S006,,,medium,2,0,17217151,36817344,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,9039258.796,4227091.547,0.000,40337297.601,3874835.535,FR-2 Formal Reasoning Core,MV-1,D3,1612429,5474018,21073801,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",18,18,14,14,1,134,14,14,8,8,8,18,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,8,8,15
NAT-009,natural_language_edition,Malayalam,ml-Mlym-IN,1,India,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,34776533,34776533,34776533,34776533,34776533,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-011,PM-S001,,,high,1,0,23946869,33120829,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,8538206.390,5879347.143,0.000,36287374.129,3048553.062,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",14,14,16,16,1,134,17,17,12,12,12,17,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,14,14,16
EXP-003,natural_language_edition,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,1,Uzbekistan,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,35650000,35700000,35749999,35650000,35749999,source_interval_or_exact_bounds,preliminary_census_mother_tongue_persons_rounded,2026,ALG-UZ-L001,ALG-S018,,,high,1,0,17850000,35749999,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,8764932.609,4382466.305,0.000,39167908.171,1014459.684,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",17,17,15,15,1,134,15,15,19,19,15,19,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,15,15,17
NAT-014,natural_language_edition,Eastern Punjabi,pa-Guru-IN,1,India,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,31144095,31144095,31144095,31144095,31144095,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-016,PM-S001,,,high,1,0,17886376,27839884,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,7646383.581,4391397.206,0.000,30501539.874,3374872.239,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",16,16,20,20,1,134,22,22,10,10,10,22,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,10,10,18
NAT-039,natural_language_edition,Sundanese,su-Latn-ID,1,Indonesia,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,32412752,32412752,32412752,32412752,32412752,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-003,PM-S005,,,high,1,0,15558121,32412752,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,7957859.579,3819772.608,0.000,35511600.823,2546516.381,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",19,19,19,19,1,134,18,18,14,14,14,19,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,19,19,19
NAT-018,natural_language_edition,Sindhi,sd-Arab-PK,1,Pakistan,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,34401564,34401564,34401564,34401564,34401564,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-003,PM-S003,,,high,1,0,10124380,34401564,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,8446145.382,2485700.516,0.000,37690554.891,2278559.624,FR-2 Formal Reasoning Core,MV-1,D2,1087145,4356012,18630029,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",21,21,17,17,1,134,16,16,15,15,15,21,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,16,16,20
NAT-065,natural_language_edition,Amharic,am-Ethi-ET,1,Ethiopia,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,21634396,21634396,21634396,21634396,21634396,source_interval_or_exact_bounds,census_mother_tongue_persons,2007,POP-ET-002,PM-S020,,,high,1,0,6540078,21634396,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,5311597.283,1605695.880,0.000,23702770.897,1471888.504,FR-2 Formal Reasoning Core,MV-1,D2,1087145,4356012,18630029,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",28,28,24,24,1,134,24,24,16,16,16,28,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,16,16,21
NAT-034,natural_language_edition,Cebuano,ceb-Latn-PH,1,Philippines,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,0,20697364,20697364,,,source_point_without_interval_model_low_zero_high_point,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,2010-12-31,ASSEC-PH-CEB-001,ASSEC-S008,,,high,2,0,10190347,20697364,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,5081540.635,2501896.491,0.000,22676153.153,,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",20,20,25,25,1,134,25,25,35,134,20,25,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,20,20,22
NAT-058,natural_language_edition,Dari,prs-Arab-AF,1,Afghanistan,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,0,30083114,30083114,,,source_point_without_interval_model_low_zero_high_point,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-AF-PRS-001,ASSEC-S018,,,medium,2,0,5605988,30083114,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,7385895.431,1376361.541,0.000,32959235.793,,FR-2 Formal Reasoning Core,MV-1,D2,1087145,4356012,18630029,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",29,29,21,21,1,134,20,20,35,134,20,29,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,20,20,23
NAT-012,natural_language_edition,Pakistani Urdu,ur-Arab-PK,1,Pakistan,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,22249307,22249307,22249307,22249307,22249307,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-001,PM-S003,,,high,1,0,6547971,22249307,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,5462567.968,1607633.741,0.000,24376470.988,1071756.318,FR-2 Formal Reasoning Core,MV-1,D2,1087145,4356012,18630029,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",27,27,23,23,1,134,23,23,18,18,18,27,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,18,18,24
NAT-011,natural_language_edition,Assamese,as-Beng-IN,1,India,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,14816414,14816414,14816414,14816414,14816414,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-001,PM-S001,,,high,1,0,10118381,14067972,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,3637671.435,2484227.663,0.000,15412952.472,,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",22,22,29,29,1,134,30,30,35,134,22,30,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,22,22,25
NAT-019,natural_language_edition,Saraiki,skr-Arab-PK,1,Pakistan,high_reach_underserved,R4_10m_to_49m; vitality is not inferred from population band,28849579,28849579,28849579,28849579,28849579,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-007,PM-S003,,,high,1,0,8490431,28849579,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,7083042.458,2084539.371,0.000,31607767.626,,FR-2 Formal Reasoning Core,MV-1,D2,1087145,4356012,18630029,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",23,23,22,22,1,134,21,21,35,134,21,23,2,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,21,21,26
