portfolio_id,portfolio_label,adaptation_depth,scenario,language_or_localized_output_count,editable_units_per_output,source_tokens_per_output,uncached_input_tokens_total,cached_input_tokens_total,output_tokens_total,gross_tokens_total,api_equivalent_usd_total,assumption,source_ids
FR-5,complete tracked Open Logic closure,D3,base,10,722,367220,47383290,58536150,10738540,116657980,427.70,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,high,10,722,367220,194352550,303240000,34403850,531996400,1586.80,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,low,100,722,367220,119880900,102343500,45670700,267895000,1434.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,base,100,722,367220,473832900,585361500,107385400,1166579800,4277.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
FR-5,complete tracked Open Logic closure,D3,high,100,722,367220,1943525500,3032400000,344038500,5319964000,15868.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A013
MV-1,scoped Algebra and Trigonometry bridge,D2,low,1,94,394473,652075,133245,301826,1087145,8.70,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,base,1,94,394473,2763601,762105,830305,4356012,27.97,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,high,1,94,394473,11666400,3948000,3015629,18630029,108.56,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,low,10,94,394473,6520750,1332450,3018260,10871450,87.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,base,10,94,394473,27636010,7621050,8303050,43560120,279.70,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,high,10,94,394473,116664000,39480000,30156290,186300290,1085.60,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,low,100,94,394473,65207500,13324500,30182600,108714500,870.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,base,100,94,394473,276360100,76210500,83030500,435601200,2797.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,scoped Algebra and Trigonometry bridge,D2,high,100,94,394473,1166640000,394800000,301562900,1863002900,10856.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,low,1,94,394473,990142,133245,489042,1612429,13.79,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,base,1,94,394473,3565191,762105,1146722,5474018,37.50,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,high,1,94,394473,13461261,3948000,3664540,21073801,128.72,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,low,10,94,394473,9901420,1332450,4890420,16124290,137.90,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,base,10,94,394473,35651910,7621050,11467220,54740180,375.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,high,10,94,394473,134612610,39480000,36645400,210738010,1287.20,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,low,100,94,394473,99014200,13324500,48904200,161242900,1379.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,base,100,94,394473,356519100,76210500,114672200,547401800,3750.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
MV-1,complete Algebra and Trigonometry bridge,D3,high,100,94,394473,1346126100,394800000,366454000,2107380100,12872.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030
SB-1,Algebra and Trigonometry plus Statistics,D3,low,1,196,754031,1803879,277830,915658,2997367,25.64,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,base,1,196,908127,7264950,1589070,2520105,11374125,80.10,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,high,1,196,1062223,29723573,8232000,9156784,47112357,305.32,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,low,10,196,754031,18038790,2778300,9156580,29973670,256.40,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,base,10,196,908127,72649500,15890700,25201050,113741250,801.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,high,10,196,1062223,297235730,82320000,91567840,471123570,3053.20,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,low,100,196,754031,180387900,27783000,91565800,299736700,2564.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,base,100,196,908127,726495000,158907000,252010500,1137412500,8010.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
SB-1,Algebra and Trigonometry plus Statistics,D3,high,100,196,1062223,2972357300,823200000,915678400,4711235700,30532.00,"Linear independent-output scaling. No interlanguage/shared-core reuse, cross-output prompt-cache gain, weekly-plan conversion, or non-model program cost is credited.",ACE-A030;curriculum complexity prior
