model_row_id,intervention_id,mechanism_class,token_scenario,reuse_assumption_scenario,expected_new_named_outputs,named_outputs_with_exact_population,population_coverage_fraction_of_named_outputs,exact_named_output_population_low,exact_named_output_population_base,exact_named_output_population_high,population_evidence_status,all_selected_links_usable_as_package_population_total,all_planned_matrix_rows_rankable_under_current_evidence,included_target_profiles,included_population_observation_ids,included_population_source_ids,population_years,base_marginal_access_sensitivity_sum,marginal_access_low_sum,marginal_access_high_sum,marginal_score_joined_output_count,marginal_score_territory_proxy_derived_output_count,marginal_score_missing_observation_ids,single_output_gross_tokens,named_outputs_no_reuse_gross_tokens,named_outputs_shared_core_gross_tokens,named_output_compute_savings_fraction,derivative_increment_gross_tokens,constructed_surface_gross_tokens,total_modeled_gross_tokens,gross_observed_people_per_million_tokens,base_marginal_sensitivity_per_million_tokens,rankable_as_observed_population_gross_sum,exclusions_and_nonadditivity,interpretation
IL-ROM-low-reuse_base,IL-ROM,pluricentric_shared_core,low,reuse_base,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,912737,4563685,2738211,0.4,0,0,2738211,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-low-reuse_conservative,IL-ROM,pluricentric_shared_core,low,reuse_conservative,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,912737,4563685,3833495,0.1600000876484683,0,0,3833495,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-base-reuse_optimistic,IL-ROM,pluricentric_shared_core,base,reuse_optimistic,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,4073049,20365245,7331488,0.6400000098206529,0,0,7331488,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-base-reuse_base,IL-ROM,pluricentric_shared_core,base,reuse_base,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,4073049,20365245,12219147,0.4,0,0,12219147,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-base-reuse_conservative,IL-ROM,pluricentric_shared_core,base,reuse_conservative,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,4073049,20365245,17106806,0.15999999017934718,0,0,17106806,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-high-reuse_optimistic,IL-ROM,pluricentric_shared_core,high,reuse_optimistic,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,18664571,93322855,33596228,0.6399999978569022,0,0,33596228,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-high-reuse_base,IL-ROM,pluricentric_shared_core,high,reuse_base,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,18664571,93322855,55993713,0.4,0,0,55993713,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-high-reuse_conservative,IL-ROM,pluricentric_shared_core,high,reuse_conservative,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,18664571,93322855,78391198,0.16000000214309773,0,0,78391198,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-TURKIC-low-reuse_optimistic,IL-TURKIC,natural_intercomprehension_reuse,low,reuse_optimistic,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,912737,8214633,2373116,0.7111111354579078,0,0,2373116,10725376.256,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-low-reuse_base,IL-TURKIC,natural_intercomprehension_reuse,low,reuse_base,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,912737,8214633,4563685,0.4444444444444444,0,0,4563685,5577195.183,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-low-reuse_conservative,IL-TURKIC,natural_intercomprehension_reuse,low,reuse_conservative,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,912737,8214633,6754254,0.177777753430981,0,0,6754254,3768375.012,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-base-reuse_optimistic,IL-TURKIC,natural_intercomprehension_reuse,base,reuse_optimistic,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,4073049,36657441,10589927,0.7111111220229476,0,0,10589927,2403469.070,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-base-reuse_base,IL-TURKIC,natural_intercomprehension_reuse,base,reuse_base,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,4073049,36657441,20365245,0.4444444444444444,0,0,20365245,1249803.869,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-base-reuse_conservative,IL-TURKIC,natural_intercomprehension_reuse,base,reuse_conservative,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,4073049,36657441,30140563,0.17777776686594138,0,0,30140563,844462.063,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-high-reuse_optimistic,IL-TURKIC,natural_intercomprehension_reuse,high,reuse_optimistic,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,18664571,167981139,48527885,0.7111111087298914,0,0,48527885,524493.536,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-high-reuse_base,IL-TURKIC,natural_intercomprehension_reuse,high,reuse_base,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,18664571,167981139,93322855,0.4444444444444444,0,0,93322855,272736.641,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-TURKIC-high-reuse_conservative,IL-TURKIC,natural_intercomprehension_reuse,high,reuse_conservative,10,4,0.400000,25452562,25452562,25452562,component_population_subtotal_nonadditive_not_rankable,false,false,tk-Latn-TM;kk-Cyrl-KZ;ky-Cyrl-KG;ug-Arab-CN,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,ALG-S009;ALG-S007;ALG-S008,2022;2021,,,,3,0,ALG-KZ-L004,18664571,167981139,138117825,0.17777778015899748,0,0,138117825,184281.515,,false,tr-Latn-TR:no eligible exact person observation;az-Latn-AZ:no eligible exact person observation;gag-Latn:no eligible exact person observation;tt-Cyrl-RU:no eligible exact person observation;ba-Cyrl-RU:no eligible exact person observation;uz-Latn-UZ:no eligible exact person observation;ug-Arab-CN:ALG-KG-L006 not added because only one population edge is admitted per named output,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-low-reuse_optimistic,IL-GERM,natural_intercomprehension_reuse,low,reuse_optimistic,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,912737,9127370,2555664,0.7199999561757658,0,0,2555664,2490737.437,1135153.587,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-low-reuse_base,IL-GERM,natural_intercomprehension_reuse,low,reuse_base,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,912737,9127370,5020054,0.4499999452197073,0,0,5020054,1268011.858,577896.404,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-low-reuse_conservative,IL-GERM,natural_intercomprehension_reuse,low,reuse_conservative,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,912737,9127370,7484443,0.18000004382423418,0,0,7484443,850495.889,387613.501,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-base-reuse_optimistic,IL-GERM,natural_intercomprehension_reuse,base,reuse_optimistic,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,4073049,40730490,11404537,0.7200000049103263,0,0,11404537,558154.005,254378.688,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-base-reuse_base,IL-GERM,natural_intercomprehension_reuse,base,reuse_base,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,4073049,40730490,22401770,0.44999998772418404,0,0,22401770,284151.118,129501.872,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-base-reuse_conservative,IL-GERM,natural_intercomprehension_reuse,base,reuse_conservative,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,4073049,40730490,33399002,0.17999999508967357,0,0,33399002,190589.168,86861.013,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-high-reuse_optimistic,IL-GERM,natural_intercomprehension_reuse,high,reuse_optimistic,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,18664571,186645710,52260799,0.7199999989284511,0,0,52260799,121802.347,55511.420,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-high-reuse_base,IL-GERM,natural_intercomprehension_reuse,high,reuse_base,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,18664571,186645710,102655141,0.44999999732112783,0,0,102655141,62008.468,28260.359,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-GERM-high-reuse_conservative,IL-GERM,natural_intercomprehension_reuse,high,reuse_conservative,10,1,0.100000,6365488,6365488,6365488,component_population_subtotal_nonadditive_not_rankable,false,false,af-Latn,ZA-AFR-2022,ZA-S001,2022,2901071,0,6365488,1,1,,18664571,186645710,153049482,0.1800000010715489,0,0,153049482,41591.046,18955.119,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-IDMS-low-reuse_optimistic,IL-IDMS,pluricentric_shared_core,low,reuse_optimistic,3,1,0.333333,42682566,42682566,42682566,component_population_subtotal_nonadditive_not_rankable,false,false,id-Latn-ID,POP-ID-002,PM-S005,2010,20487632,0,42682566,1,1,,912737,2738211,1277832,0.533333260292943,45637,0,1323469,32250521.924,15480250.523,false,ms-Latn-MY:no eligible exact person observation;ms-Latn-BN:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-IDMS-low-reuse_base,IL-IDMS,pluricentric_shared_core,low,reuse_base,3,1,0.333333,42682566,42682566,42682566,component_population_subtotal_nonadditive_not_rankable,false,false,id-Latn-ID,POP-ID-002,PM-S005,2010,20487632,0,42682566,1,1,,912737,2738211,1825474,0.33333333333333337,136911,0,1962385,21750352.760,10440169.325,false,ms-Latn-MY:no eligible exact person observation;ms-Latn-BN:no eligible exact person observation,"The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
