gross_screen_order_descriptive,intervention_id,intervention_name,target_profile,territory,source_year,population_measure_class,source_population_measure,learner_or_age_stratum,source_population_ceiling,source_population_low,source_population_high,population_source_id,population_source_locator,FR2_D3_base_gross_tokens,gross_ceiling_per_million_base_tokens,within_measure_class_rank_low,within_measure_class_rank_high,cross_measure_rank_status,interpretation
11,NAT-038,Javanese,jv-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,large_regional_home_language,68044660,68044660,68044660,PM-S005,"Table L4.1, printed p. 47",4073049,16706074.491,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
12,NAT-029,Thai,th-Thai-TH,Thailand,2010-09-01,derived_union_of_census_language_strata,derived_union_of_mutually_exclusive_census_strata_persons,usual_home_language_population,64080191,64080191,64080191,TH-S001,"Derived from Table 7, PDF p. 98: 59,866,190 only Thai + 4,214,001 Thai and other languages",4073049,15732732.653,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
13,NAT-007,Gujarati,gu-Gujr-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,55036204,55036204,55036204,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",4073049,13512286.250,6,6,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
14,NAT-013,Indian Urdu,ur-Arab-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,50725762,50725762,50725762,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,12454002.395,7,7,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
15,NAT-125,Bhojpuri (India),bho-Deva-IN,India,2011,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,50579447,50579447,50579447,PM-S001,"Statement 1, printed p. 6",4073049,12418079.674,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
16,NAT-008,Kannada,kn-Knda-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,43506272,43506272,43506272,PM-S001,"Statement 1, printed p. 6; Statement 1 same-name mother-tongue component",4073049,10681499.781,8,8,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
17,NAT-030,Burmese,my-Mymr-MM,Myanmar,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,36817344,0,36817344,ASSEC-S006,cldr_target_derivations.md row my-Mymr-MM; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='MM'] and languagePopulation[@type='my'],4073049,9039258.796,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
18,EXP-003,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,Uzbekistan,2026,mother_tongue_or_first_language,preliminary_census_mother_tongue_persons_rounded,direct_language_population,35700000,35650000,35749999,ALG-S018,Preliminary-results paragraph published 2026-06-30,4073049,8764932.609,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
19,NAT-009,Malayalam,ml-Mlym-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,34776533,34776533,34776533,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,8538206.390,9,9,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
20,NAT-018,Sindhi,sd-Arab-PK,Pakistan,2023,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,34401564,34401564,34401564,PM-S003,"Table 11, national row",4073049,8446145.382,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
21,NAT-010,Odia,or-Orya-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,34059266,34059266,34059266,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,8362105.636,10,10,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
22,NAT-039,Sundanese,su-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,large_regional_home_language,32412752,32412752,32412752,PM-S005,"Table L4.1, printed p. 47",4073049,7957859.579,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
23,NAT-014,Eastern Punjabi,pa-Guru-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,31144095,31144095,31144095,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,7646383.581,11,11,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
24,NAT-058,Dari,prs-Arab-AF,Afghanistan,2020 estimate; republished in official report 2023,published_or_derived_speaker_estimate,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,total_language_speakers_L1_plus_L2_nonexclusive,30083114,0,30083114,ASSEC-S018,afghanistan_language_derivation.md; CIA page captured 2023-01-02 language field; Netherlands COI report printed p.72 section 3.1.1.2 and footnotes 502-504; World Bank JSON indicator SP.POP.TOTL AFG 2020,4073049,7385895.431,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
25,NAT-019,Saraiki,skr-Arab-PK,Pakistan,2023,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,28849579,28849579,28849579,PM-S003,"Table 11, national row",4073049,7083042.458,4,4,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
26,NAT-012,Pakistani Urdu,ur-Arab-PK,Pakistan,2023,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,22249307,22249307,22249307,PM-S003,"Table 11, national all-localities all-sexes row",4073049,5462567.968,5,5,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
27,NAT-065,Amharic,am-Ethi-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,large_national_mother_tongue,21634396,21634396,21634396,PM-S020,"Table 3.2, printed pp. 91-93",4073049,5311597.283,6,6,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
28,NAT-034,Cebuano,ceb-Latn-PH,Philippines,2010-12-31,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,20697364,0,20697364,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Cebuano')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),4073049,5081540.635,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
29,EXP-001,Afghanistan Pashto Arabic-script edition,ps-Arab-AF,Afghanistan,2020 estimate; republished in official report 2023,published_or_derived_speaker_estimate,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,total_language_speakers_L1_plus_L2_nonexclusive,18753110,0,18753110,ASSEC-S018,afghanistan_language_derivation.md; CIA page captured 2023-01-02 language field; Netherlands COI report printed p.72 section 3.1.1.2 and footnotes 502-504; World Bank JSON indicator SP.POP.TOTL AFG 2020,4073049,4604194.548,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
30,NAT-027,Sinhala,si-Sinh-LK,Sri Lanka,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,14948168,0,14948168,ASSEC-S006,cldr_target_derivations.md row si-Sinh-LK; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LK'] and languagePopulation[@type='si'],4073049,3670019.192,4,4,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
31,NAT-031,Khmer,km-Khmr-KH,Cambodia,2019,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,14893134,14893134,14893134,ALG-S011,"Table 2.7.1, PDF p. 53 / printed p. 25",4073049,3656507.447,7,7,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
32,NAT-011,Assamese,as-Beng-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,14816414,14816414,14816414,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",4073049,3637671.435,12,12,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
33,NAT-073,isiZulu,zu-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,14613202,14613202,14613202,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,3587779.573,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
34,NAT-047,Kazakh,kk-Cyrl-KZ,Kazakhstan,2021,mother_tongue_or_first_language,census_native_language_of_own_nationality_persons,direct_language_population,13380107,13380107,13380107,ALG-S007,"Table 6, printed p. 243",4073049,3285034.626,8,8,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
35,EXP-004,India Maithili Devanagari edition,mai-Deva-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,13353347,13353347,13353347,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,3278464.610,13,13,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
36,NAT-022,Nepali,ne-Deva-NP,Nepal,2021,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,13084457,13084457,13084457,PM-S004,"Annex 1, printed p. 123",4073049,3212447.727,9,9,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
37,NAT-075,Shona,sn-Latn-ZW,Zimbabwe,2022,mother_tongue_or_first_language,census_mother_tongue_persons,national_language_population,11251734,11251734,11251734,PM-S011,"Table 2.17, printed p. 123",4073049,2762484.321,10,10,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
38,NAT-049,Tajik,tg-Cyrl-TJ,Tajikistan,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,10394100,0,10394100,ASSEC-S006,cldr_target_derivations.md row tg-Cyrl-TJ; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='TJ'] and languagePopulation[@type='tg'],4073049,2551921.177,5,5,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
39,NAT-074,isiXhosa,xh-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,9786928,9786928,9786928,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,2402850.543,4,4,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
40,EXP-018,Mali Bamanankan Latin-script edition,bm-Latn-ML,Mali,2022,mother_tongue_or_first_language,census_mother_tongue_persons_age_3_plus,resident_population_age_3_plus,9551561,9551561,9551561,AFG-S008,"Tableau 3.01, printed p.25, Ensemble cell for Bambara/Bamanankan",4073049,2345064.103,11,11,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
41,NAT-081,Wolof,wo-Latn-SN,Senegal,2023,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,8786892,8786892,8786892,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Wolof",4073049,2157325.384,5,5,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
42,EXP-005,Indonesia Madurese Latin-script edition,mad-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,7743533,7743533,7743533,PM-S005,"Table L4.1, printed p. 47",4073049,1901163.723,6,6,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
43,NAT-035,Ilocano,ilo-Latn-PH,Philippines,2010-12-31,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,7098503,0,7098503,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Iloko')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),4073049,1742798.331,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
44,NAT-055,Turkmen,tk-Latn-TM,Turkmenistan,2022,mother_tongue_or_first_language,census_mother_tongue_persons,direct_language_population,6297965,6297965,6297965,ALG-S009,Table 4.9,4073049,1546253.188,12,12,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
45,NAT-036,Hiligaynon,hil-Latn-PH,Philippines,2010-12-31,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,6073883,0,6073883,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Hiligaynon')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),4073049,1491237.400,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
46,EXP-019,South Africa Sepedi Latin-script edition,nso-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,5972255,5972255,5972255,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,1466286.067,7,7,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
47,NAT-048,Kyrgyz,ky-Cyrl-KG,Kyrgyzstan,2022,mother_tongue_or_first_language,census_native_language_persons,direct_language_population,5527168,5527168,5527168,ALG-S008,"Table 3.8, printed p. 118",4073049,1357009.945,13,13,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
48,NAT-032,Lao,lo-Laoo-LA,Laos,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,5487956,0,5487956,ASSEC-S006,cldr_target_derivations.md row lo-Laoo-LA; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LA'] and languagePopulation[@type='lo'],4073049,1347382.759,6,6,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
49,EXP-020,South Africa Setswana Latin-script edition,tn-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,4972787,4972787,4972787,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,1220900.362,8,8,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
50,EXP-021,South Africa Sesotho Latin-script edition,st-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,4678964,4678964,4678964,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,1148762.021,9,9,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
51,EXP-013,Ethiopia Somali Latin-script edition,so-Latn-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,cross_border_mother_tongue,4609274,4609274,4609274,PM-S020,"Table 3.2, printed pp. 91-93",4073049,1131651.988,14,14,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
52,EXP-014,Ethiopia Tigrinya Ethiopic-script edition,ti-Ethi-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,cross_border_mother_tongue,4324933,4324933,4324933,PM-S020,"Table 3.2, printed pp. 91-93",4073049,1061841.633,15,15,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
53,OBS-POP-SN-AFG-002,"Senegal Pulaar, official Latin orthography",fuc-Latn-SN,Senegal,2023,home_or_usual_language_use,census_principal_language_commonly_spoken_persons_age_3_plus,resident_population_age_3_plus,4314509,4314509,4314509,AFG-S009,"Tableau I-32, printed p.57, Ensemble effectif for Pulaar",4073049,1059282.371,10,10,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
54,EXP-006,Indonesia Minangkabau Latin-script edition,min-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,4232226,4232226,4232226,PM-S005,"Table L4.1, printed p. 47",4073049,1039080.551,11,11,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
55,EXP-007,Indonesia Banjar Latin-script edition,bjn-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,3651626,3651626,3651626,PM-S005,"Table L4.1, printed p. 47",4073049,896533.776,12,12,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
56,NAT-005,Sri Lankan Tamil,ta-Taml-LK,Sri Lanka,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,3297390,0,3297390,ASSEC-S006,cldr_target_derivations.md row ta-Taml-LK; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='LK'] and languagePopulation[@type='ta'],4073049,809563.057,7,7,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
57,NAT-023,Maithili Nepal profile,mai-Deva-NP,Nepal,2021,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,3222389,3222389,3222389,PM-S004,"Annex 1, printed p. 123",4073049,791149.088,16,16,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
58,NAT-050,Mongolian,mn-Cyrl-MN,Mongolia,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,3051962,0,3051962,ASSEC-S006,cldr_target_derivations.md row mn-Cyrl-MN; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='MN'] and languagePopulation[@type='mn'],4073049,749306.478,8,8,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
59,EXP-015,Ethiopia Sidama Latin-script edition,sid-Latn-ET,Ethiopia,2007,mother_tongue_or_first_language,census_mother_tongue_persons,regional_mother_tongue,2981471,2981471,2981471,PM-S020,"Table 3.2, printed pp. 91-93",4073049,731999.787,17,17,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
60,EXP-022,South Africa Xitsonga Latin-script edition,ts-Latn-ZA,South Africa,2022,home_or_usual_language_use,census_language_most_often_spoken_in_household_persons_age_1_plus,resident population aged 1 year and older,2784279,2784279,2784279,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",4073049,683585.933,13,13,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
61,NAT-021,Brahui,brh-Arab-PK,Pakistan,2023,mother_tongue_or_first_language,census_mother_tongue_persons,regional_language_population,2778670,2778670,2778670,PM-S003,"Table 11, national row",4073049,682208.832,18,18,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
62,NAT-037,Waray,war-Latn-PH,Philippines,2010-12-31,survey_weighted_main_language_estimate,CLEAR_normalized_main_language_weighted_persons_from_IPUMS_2010_census_extract,national_main_language_population,2694135,0,2694135,ASSEC-S008,clear_ludp_phl_national_2010.json JSON $.data[?(@.language_name=='Waray (Philippines)')].individuals_value_weighted; dataset Philippines Census 2010 (IPUMS extract),4073049,661454.110,4,4,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
63,EXP-008,Indonesia Sasak Latin-script edition,sas-Latn-ID,Indonesia,2010,home_or_usual_language_use,daily_language_at_home_age5plus_persons,regional_home_language,2691127,2691127,2691127,PM-S005,"Table L4.1, printed p. 47",4073049,660715.597,14,14,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
