wikimedia_code,wikipedia_articles,wikipedia_activeusers,wikipedia_edits,wikipedia_pages,wikibooks_articles,wikibooks_activeusers,wikibooks_edits,wikibooks_pages,wikiversity_articles,wikiversity_activeusers,wikiversity_edits,wikiversity_pages,wikisource_articles,wikisource_activeusers,wikisource_edits,wikisource_pages,wikipedia_articles_per_active_user,possible_automation_skew,source_date,source_id,source_sha256,limitations
ban,38760,74,268172,79245,0,0,0,0,0,0,0,0,5186,8,123470,36449,523.784,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bar,27232,64,853140,110909,0,0,0,0,0,0,0,0,0,0,0,0,425.500,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bat-smg,17276,30,362879,30091,0,0,0,0,0,0,0,0,0,0,0,0,575.867,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bbc,1484,29,18581,3346,0,0,0,0,0,0,0,0,0,0,0,0,51.172,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bcl,22429,68,309254,51707,0,0,0,0,0,0,0,0,137,3,10264,2469,329.838,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bdr,242,11,5775,1370,0,0,0,0,0,0,0,0,0,0,0,0,22.000,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
be,265832,355,5177664,737021,187,7,8217,1141,0,0,0,0,30284,22,296094,124848,748.823,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
be-tarask,91174,170,2679303,266770,0,0,0,0,0,0,0,0,0,0,0,0,536.318,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
beta,0,0,0,0,0,0,0,0,1138,41,383803,21069,0,0,0,0,,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bew,3340,34,34926,8069,0,0,0,0,0,0,0,0,0,0,0,0,98.235,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bg,311787,1595,12978586,706951,317,6,16420,2010,0,0,0,0,2336,11,18784,4042,195.478,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bh,9191,43,801316,82202,0,0,0,0,0,0,0,0,0,0,0,0,213.744,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bi,1489,21,44256,3487,0,0,3255,55,0,0,0,0,0,0,0,0,70.905,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bjn,12314,33,113182,36953,0,0,0,0,0,0,0,0,0,0,0,0,373.152,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
blk,3127,24,34013,9447,0,0,0,0,0,0,0,0,0,0,0,0,130.292,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bm,930,14,42541,3273,0,0,3999,55,0,0,0,0,0,0,0,0,66.429,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bn,190793,1908,9119048,1424758,4155,23,107171,29256,0,0,0,0,38826,45,1994934,614394,99.996,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bo,8113,37,162040,22814,0,0,3515,78,0,0,0,0,0,0,0,0,219.270,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bol,473,28,10469,1241,0,0,0,0,0,0,0,0,0,0,0,0,16.893,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bpy,25097,23,895715,63431,0,0,0,0,0,0,0,0,0,0,0,0,1091.174,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
br,91571,113,2193460,161841,0,0,0,0,0,0,0,0,10540,7,208804,65525,810.363,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bs,98657,303,3909240,387681,33,7,7200,735,0,0,0,0,646,8,12179,3342,325.601,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
btm,1235,21,12527,2801,0,0,0,0,0,0,0,0,0,0,0,0,58.810,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bug,15960,23,210713,20529,0,0,0,0,0,0,0,0,0,0,0,0,693.913,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
bxr,2919,22,74755,11250,0,0,0,0,0,0,0,0,0,0,0,0,132.682,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ca,802227,1477,38192975,2016672,2270,11,76680,7945,0,0,0,0,10508,10,185528,56816,543.146,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cbk-zam,2856,19,118445,8724,0,0,0,0,0,0,0,0,0,0,0,0,150.316,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cdo,16756,32,105476,33661,0,0,0,0,0,0,0,0,0,0,0,0,523.625,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ce,866915,56,24142787,1894472,0,0,0,0,0,0,0,0,0,0,0,0,15480.625,yes,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ceb,6115638,228,37003963,11235477,0,0,0,0,0,0,0,0,0,0,0,0,26822.974,yes,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ch,583,12,24694,2603,0,0,3320,61,0,0,0,0,0,0,0,0,48.583,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cho,6,0,4223,202,0,0,0,0,0,0,0,0,0,0,0,0,,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
chr,1034,24,51760,4045,0,0,0,0,0,0,0,0,0,0,0,0,43.083,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
chy,718,14,27405,2303,0,0,0,0,0,0,0,0,0,0,0,0,51.286,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ckb,83978,237,1648393,262871,0,0,0,0,0,0,0,0,0,0,0,0,354.338,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
co,9411,48,405014,18903,4,0,4613,251,0,0,0,0,0,0,0,0,196.062,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cr,0,7,41058,1279,0,0,0,0,0,0,0,0,0,0,0,0,0.000,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
crh,29724,53,244376,58465,0,0,0,0,0,0,0,0,0,0,0,0,560.830,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cs,597354,3926,26119305,1661362,1579,12,55413,5574,4558,15,149152,14401,62433,28,336097,91880,152.153,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
csb,5765,31,210815,10085,0,0,0,0,0,0,0,0,0,0,0,0,185.968,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cu,1489,25,87568,6120,0,0,0,0,0,0,0,0,0,0,0,0,59.560,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cv,59154,44,875088,123604,36,4,7323,632,0,0,0,0,0,0,0,0,1344.409,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
cy,284540,173,15402839,552252,25,4,5173,678,0,0,0,0,16608,27,170893,85153,1644.740,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
da,315516,1521,12311600,988470,1340,7,42527,4281,0,0,0,0,3975,21,481179,121897,207.440,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
dag,14510,60,146304,25354,0,0,0,0,0,0,0,0,0,0,0,0,241.833,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
de,3146191,33047,267545976,8609843,34336,89,1086389,75810,78207,59,1113340,150202,653029,143,5020505,711865,95.204,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
dga,3478,26,63978,7253,0,0,0,0,0,0,0,0,0,0,0,0,133.769,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
