universe_profile_id,recall_code,display_name,profile_tag,profile_kind,region,threshold_band,denominator_classes_available,candidate_ids,disposition,disposition_basis,source_basis,population_identity_warning,existing_supply_state,next_nonduplicative_action
GLB-011,bn,"Bengali, India",bn-Beng-IN,regional_standard,South Asia,>=90M exact L1,L1;functional,NAT-002,ranked_in_typed_view,Separate Indian curriculum and terminology layer; share semantic core with Bangladesh.,India C-16/C-17,Do not use one locale-neutral Bangla edition.,School supply substantial; vocational/tertiary discontinuities remain.,Prioritize secondary/TVET and Bengali-English first-year bridges.
GLB-012,te,Telugu,te-Telu-IN,regional_standard,South Asia,>=80M exact L1,L1;functional,NAT-003,ranked_in_typed_view,Exact C-16/C-17 profile with state curriculum overlays.,India C-16/C-17,Andhra Pradesh and Telangana require separate curriculum crosswalks.,School supply substantial; TVET/tertiary transition thin.,"Applied secondary/TVET/first-year STEM, coding, finance and entrepreneurship."
GLB-013,mr,Marathi,mr-Deva-IN,regional_standard,South Asia,>=80M exact L1,L1;functional,NAT-006,ranked_in_typed_view,Exact C-16/C-17 profile.,India C-16/C-17,Functional total is not additive to L1.,Strong grade 1-12 provision; vocational/tertiary residual.,"Secondary/TVET and first-year applied science, computing, finance and agriculture."
GLB-014,ta,"Tamil, India",ta-Taml-IN,regional_standard,South Asia,>=50M exact L1,L1;functional,NAT-004,ranked_in_typed_view,Keep Indian and Sri Lankan outputs separate with reusable source.,India C-16/C-17,Sri Lankan Tamil is a distinct locale and population cell.,Comparatively strong school/vocational supply; tertiary/research continuity residual.,"Tamil-English first-year STEM, management and research methods."
GLB-015,gu,Gujarati,gu-Gujr-IN,regional_standard,South Asia,>=50M exact L1,L1;functional,NAT-007,ranked_in_typed_view,Exact C-16/C-17 profile.,India C-16/C-17,Functional total is not additive to L1.,Supply audit incomplete beyond school baseline.,"Audit microenterprise, applied science, finance and first-year transition."
GLB-016,kn,Kannada,kn-Knda-IN,regional_standard,South Asia,>=50M functional; L1 below threshold,L1;functional,NAT-008,ranked_in_typed_view,Qualifies only in functional view; label denominator explicitly.,India C-16/C-17,C-17 L2/L3 total cannot be compared as L1.,School supply exists; advanced open continuity unresolved.,Audit TVET/tertiary and professional residual before selecting package.
GLB-017,ml,Malayalam,ml-Mlym-IN,regional_standard,South Asia,40-50M watch,L1;functional,NAT-009,ranked_in_typed_view,Material watch-band profile; neither verified measure exceeds 50M.,India C-16/C-17,Do not inflate using Kerala territory without language evidence.,Local supply exists; residual not yet inventoried.,Audit exact advanced/open/accessibility gaps.
GLB-018,or,Odia,ory-Orya-IN,regional_standard,South Asia,40-50M watch,L1;functional,NAT-010,ranked_in_typed_view,Use ISO 639-3 `ory` in research tables; keep `or` as tooling alias.,India C-16/C-17; IANA,Below 50M on verified measures.,Supply inventory incomplete.,Audit secondary/TVET/tertiary discontinuity.
GLB-019,pa-Arab,"Punjabi, Pakistan",pa-Arab-PK; Aran when Nastaliq asserted,census_label_to_profile_resolution,South Asia,>=80M exact source label,L1,NAT-015,unresolved_no_comparable_count,"The census says Punjabi, not specifically `pnb`; retain conservative locale profile pending variety evidence.",Pakistan 2023 Census Table 11,Do not equate every Punjabi return with one Western Punjabi variety or standardized readership.,Written/scientific supply and readership unresolved.,"Resolve variety and orthography, then commission a separate Pakistan output."
GLB-020,pa,"Punjabi, India",pa-Guru-IN,regional_standard,South Asia,40-50M watch,L1;functional,NAT-014,ranked_in_typed_view,Separate Gurmukhi population and edition; share semantics with Pakistan output.,India C-16/C-17,No cross-script population credit.,Supply inventory incomplete.,Audit exact secondary/tertiary residual and synchronized dual-script production.
GLB-021,lah,Lahnda-labelled recall universe,und-Arab-PK-Lahnda; resolve Saraiki/Hindko/Punjabi labels,invalid_aggregation,South Asia,>=50M recall,database-derived only,NAT-019,unresolved_no_comparable_count,Lahnda is not accepted as one educational edition or additive population.,Pinned CLDR recall; Pakistan census named categories,"Overlaps Punjabi, Saraiki, Hindko and classification conventions.",No coherent single supply inventory.,Resolve named outputs and never rank the macro-label.
GLB-022,ps,"Pashto, Pakistan and Afghanistan profiles",ps-Arab-PK; ps-Arab-AF,cross_border_standard_profiles,South/Central Asia,>=50M combined mixed diagnostic,L1;derived functional,NAT-016;NAT-017,unresolved_no_comparable_count,Pakistan exact L1 and Afghanistan derived L1/L2 must remain separate.,Pakistan Census 2023; Afghanistan derived source,Mixed denominator and dialect/orthography profiles cannot form one rank.,Supply and displaced-cohort access unresolved.,Resolve each profile; reuse a shared semantic source without blanket reach.
GLB-023,sd,"Sindhi, Pakistan",sd-Arab-PK,regional_standard,South Asia,40-50M watch,L1,NAT-018,ranked_in_typed_view,Exact census profile below 50M retained as major regional target.,Pakistan 2023 Census Table 11,Shared RTL tooling is not intelligibility.,Supply inventory incomplete.,Audit school-to-tertiary and professional residual.
GLB-024,es,Latin American Spanish localized core,es-419 with country overlays,pluricentric_standard,Americas,>=250M,L1;home;functional,,supply_rich_negative_control,"Spanish remains explicit; need is mastery, open/offline/accessibility and country overlays, not absence of all textbooks.",Cervantes 2025 diagnostic; national censuses; UNESCO ERCE,Headline global totals are models and do not equal unique underserved readers.,Very high supply; substantial mastery and licensing/access residuals.,Country-specific grades 3-9 recovery and exact professional/frontier gaps.
GLB-025,pt,Brazilian Portuguese,pt-BR,national_pluricentric_standard,Americas,>=200M territory proxy,territory;institutional speaker estimate,,supply_rich_negative_control,Explicit large profile; focus on no-login/offline/reuse/accessibility and exact residuals.,Brazil Census 2022; UN Portuguese estimate,Brazil population is not a Portuguese-reader count; global Portuguese totals lack disclosed proficiency method.,"Extensive school/health supply, often authenticated or DRM constrained.",Build lawful offline teacher-independent bundles and exact research residuals.
GLB-026,fr,Global/French regional localized standards,fr-Latn with country overlays,learned_lingua_franca,Global,>=250M institutional functional model,functional model;school,,supply_rich_negative_control,"Keep French as learned-language overlap and localization architecture, not unique reach.",OIF 2026 methods 1 and 2,Modeled Francophone totals include heterogeneous competence and schooling.,High global supply with regional licensing/access/comfort gaps.,Audit country/stage-specific residuals and local-language bridges.
GLB-027,ru,Russian learned standard,ru-Cyrl-RU; localized successor-state overlays,learned_lingua_franca,Europe/Central Asia,>=100M functional,functional;daily-use,,supply_rich_negative_control,Rosstat direct functional/daily-use evidence; global learned-standard reach remains separate.,Rosstat 2021 language table; UNESCO diagnostic,Knowledge may mean speaking only; no automatic written competence or ex-Soviet community coverage.,Strong university/research infrastructure; reuse and accessibility vary.,Open no-login professional/research-methods stack and exact frontier gaps.
GLB-028,de,"German, Germany",de-Latn-DE,national_standard,Europe,>=50M home-language,home,,supply_rich_negative_control,Explicit supply-rich control with measurable home-language denominator.,Destatis Microcensus 2024,Home use is not a literacy test and does not cover all Germanic minorities.,Very high educational and scientific supply.,Only exact open/accessibility/frontier residuals; do not use for Germanic minority coverage.
GLB-029,it,"Italian, Italy",it-Latn-IT,national_standard,Europe,>=50M derived L1,mother-tongue;habitual-use,,supply_rich_negative_control,Explicit supply-rich profile; direct L1 threshold is derived from rounded official quantities.,Istat 2015/2024,No direct Italian literacy census in located source.,High mainstream supply.,Audit only exact open/accessibility/professional/frontier residuals.
GLB-030,pl,Polish,pl-Latn-PL,national_standard,Europe,40-50M watch,harmonized survey;territory,,supply_rich_negative_control,Near-threshold supply-rich control retained rather than silently omitted.,EU Eurobarometer; national source audit pending,Rounded survey shares are not exact population cells.,High mainstream supply.,Exact residual audit only.
GLB-031,ar,Modern Standard Arabic plus locale scaffolds,arb-Arab; country spoken-language layers,learned_written_standard,MENA/Global,>=250M umbrella,institutional speaker estimate;school,IL-AR,forward_residual_audit,MSA is a learned formal standard; existing exact corpus is credited while country/diglossia residuals remain.,UNESCO/UN Arabic estimates; World Bank diglossia reviews,Nobody's ordinary home language can be presumed to be MSA; Arabic umbrella varieties are not one comfort population.,Substantial but fragmented formal/professional supply.,"Country-specific MSA-literacy plus local-spoken scaffolds, emergency and research pathways."
GLB-032,arz,Egyptian Arabic scaffold,arz-Arab-EG; Saidi and other profiles separate,spoken_scaffold,North Africa,>=50M recall,territory proxy;spoken estimate unresolved,,shared_core_only,Named spoken scaffold under MSA; zero independent written reach until modality is specified.,Pinned CLDR recall; World Bank Arabic-learning evidence,Egypt territory is not Egyptian-Arabic reader population; regional varieties remain.,Large media supply; educational written convention unresolved.,Specify oral/audio/plain-language functions and exact orthography before reach credit.
GLB-033,apc,Levantine Arabic profiles,apc-Arab with SY/LB/JO/PS locale layers,spoken_scaffold,West Asia,40-50M watch,spoken estimate unresolved,,shared_core_only,"Country-specific oral scaffolds under MSA, not one replacement written edition.",Pinned CLDR recall; national education evidence required,Conflict/displacement and country varieties prevent one additive comfort count.,Formal MSA supply exists; emergency/local oral access varies.,Build country-specific emergency and spoken-to-MSA bridges.
GLB-034,fa,Iranian Persian,fa-Arab-IR,national_standard,West/Central Asia,>=50M recall,L1/functional unresolved,,ranked_in_typed_view,Large standard-language profile requiring its own authoritative denominator and supply audit.,Pinned CLDR recall; Iran census/language source pending,Do not merge Dari and Tajik populations or scripts.,National supply substantial; open/advanced accessibility unknown.,Resolve denominator and exact tertiary/professional/frontier residual.
GLB-035,tr,"Turkish, Turkey",tr-Latn-TR,national_standard,West Asia/Europe,>=50M territory/official proxy,territory;literacy proxy,,ranked_in_typed_view,Strong territory and statutory-language proxy; no current nationwide use count located.,TurkStat 2024 population/literacy; Constitution,Territory and language-neutral literacy are not Turkish reader counts.,Strong mainstream supply.,Rank only in territory/proxy view; audit exact open/accessibility/frontier residual.
GLB-036,sw,Standard Kiswahili with country layers,swh-Latn-TZ; swh-Latn-KE; swh-Latn-UG; swc-Latn-CD,learned_lingua_franca,Eastern/Central Africa,>=100M gross regional functional estimate,territory;institutional speaker estimate,NAT-063;NAT-064,ranked_in_typed_view,Genuine learned regional bridge; country and DRC-variety layers are mandatory.,UNESCO/AU >200M diagnostic; Tanzania/Kenya/Uganda censuses,Global headline is not a deduplicated written-reader count; DRC Congo Swahili is distinct.,Tanzania primary supply; DRC/Uganda gaps stronger.,DRC early-grade/local variety and Uganda L2 first; later bilingual STEM/TVET/research.
GLB-037,ha,Hausa Boko country outputs,ha-Latn-NG; ha-Latn-NE,cross_border_standard,West Africa,40-50M watch L1; >=50M gross functional estimates,speaker estimate;literacy shares unjoined,NAT-069,unresolved_no_comparable_count,Nigeria/Niger orthographies and written readership must be separated.,Cambridge/Newman estimate; Nigeria/Niger official evidence,60M and 94M source universes differ; optional Ajami has separate unknown readership.,Early readers exist; advanced STEM/TVET/professional supply thinner.,"Resolve denominator; foundational/functional boko, country bridges, optional Ajami/audio."
GLB-038,pcm,Nigerian Pidgin / Naijá,pcm-Latn-NG,oral_lingua_franca,West Africa,40-50M watch; >50M oral estimate,oral estimate;territory,NAT-072,unresolved_no_comparable_count,Separate oral/audio access from written-reader reach.,Peer-reviewed 80-112M oral estimate; NLA orthography,Nigeria territory and oral users do not establish standardized written readership.,Strong oral reach; educational written uptake uncertain.,Audio/basic-phone practical modules first; measure orthography uptake before text rank.
GLB-039,id,Bahasa Indonesia,id-Latn-ID,national_standard,Southeast Asia,>=200M functional,functional oral,NAT-121;CMP-ID-ID,forward_residual_audit,Official 248.5M functional oral ceiling; completed Indonesian program is credited exactly.,BPS 2022 long-form census; public program receipts,Oral ability is not written academic comfort; overlaps Javanese and other home languages.,Open Logic 722/722 and broad 40-course program; remaining roles/access/professional needs exact.,No duplicate logic/basic math; finish exact program roles then evidence-to-practice/research core.
GLB-040,jv,Javanese,jv-Latn-ID,regional_language,Southeast Asia,>=50M home-language,home/daily-use,NAT-038,ranked_in_typed_view,Large home-language population nested within Bahasa Indonesia functional reach.,Indonesia census/home-language evidence,Explicit subset/overlap edge with Indonesian is mandatory.,Advanced Indonesian bridge supply exists; Javanese scientific supply limited.,Bilingual/audio terminology transfer before duplicating the full advanced corpus.
GLB-041,vi,Vietnamese,vi-Latn-VN,national_standard,Southeast Asia,>=50M speaker/territory,speaker estimate;territory,NAT-028,ranked_in_typed_view,Replace rounded speaker estimate with official territory/standard evidence in typed views.,Peer-reviewed 89M lower bound; Vietnam official population evidence,Territory and language reach are distinct; minority-language early grades remain separate.,National digital supply exists but is fragmented.,"Coherent TVET-university data, green industry, health, MSME and research-method packages."
GLB-042,th,Thai,th-Thai-TH,national_standard,Southeast Asia,>=50M home/functional,derived home-language union,NAT-029,ranked_in_typed_view,Retain direct Thai census union with derivation explicit.,Thailand census language union,Derived union assumptions and minority-language overlap must remain visible.,National supply substantial; open/self-study residual unquantified.,Audit exact secondary/TVET/tertiary/open/accessibility gaps.
GLB-043,ja,"Japanese, Japan",ja-Jpan-JP,national_standard,Eastern Asia,>=100M territory ceiling,territory,NAT-123,forward_residual_audit,Not a language-wide negative control; strong school supply and stage-specific residuals coexist.,Japan 2020 Census; OECD PISA; MEXT/JMOOC/J-STAGE supply audit,Territory is not Japanese-language or underserved-reader count.,Strong school and research supply; open/accessibility/nonattendance/frontier gaps remain.,"Accessible grades 5-9 bridge, research methods, then exact advanced algebraic-geometry gaps."
GLB-044,ko,"Korean, Republic of Korea",ko-Kore-KR,national_standard,Eastern Asia,>=50M territory ceiling,territory,,forward_residual_audit,Large profile absent from old candidate universe; ROK evidence cannot stand for DPRK.,ROK census/territory; K-MOOC/KOCW/NIA supply evidence,Territory is not a Korean reader count and excludes DPRK conditions.,Strong digital course supply with portability/accessibility gaps.,Offline life-capability and research reproducibility packages; exact advanced residual audit.
GLB-045,ko,"Korean, DPRK",ko-Kore-KP,national_standard_locale,Eastern Asia,regional constituent,territory only,,unresolved_no_comparable_count,Separate locale and educational-supply evidence required.,UN territory estimate; no current comparable supply audit,Do not infer DPRK access from ROK platforms or combine populations silently.,Unresolved.,Obtain authoritative current supply/connectivity/access evidence before ranking.
GLB-046,fil,"Filipino, Philippines",fil-Latn-PH,learned_national_standard,Southeast Asia,>=50M functional recall; >100M territory ceiling,territory;functional unresolved,NAT-033,unresolved_no_comparable_count,"Old data used Tagalog-speaking households, not persons or Filipino functional reach.",Philippines 2020 territory; pinned CLDR; PSA language source pending,Filipino is not every learner's L1 and Tagalog household counts are not national competence.,DepEd/TESDA/UPOU/STARBOOKS exist; home Internet gaps large.,Resolve functional denominator; Filipino-English STEM-Kabuhayan with replaceable home-language tracks.
GLB-047,my,Burmese,my-Mymr-MM,national_standard,Southeast Asia,>=50M territory; functional below threshold,territory;functional estimate,NAT-030,ranked_in_typed_view,Keep territory and Burmese functional reach separate; displaced populations explicit.,Myanmar territory and CLDR functional evidence,Territory includes non-Burmese L1 communities.,Supply disrupted and uneven.,Emergency/offline foundational and transition packages with exact minority-language overlays.
GLB-048,am,Amharic,am-Ethi-ET,national_federal_working_standard,Horn of Africa,>=50M broad school/speaker estimate; L1 below,L1;school estimate,NAT-065,ranked_in_typed_view,Use exact old L1 and broad school estimate in separate views.,Ethiopia 2007 census; UNICEF LOI estimate,Broad estimate is not an exact written-reader count.,Primary/official supply exists; tertiary/professional discontinuity.,"Secondary-tertiary STEM, professional/research bridge and offline delivery."
GLB-049,om,Oromo exact variety profiles,gaz/hae/gax/orc; locale outputs unresolved,macrolanguage_resolution,Horn of Africa,large regional; exact L1 below 50M in old census,L1;territory,NAT-066,unresolved_no_comparable_count,Replace macro-target with exact variety/standard outputs.,Ethiopia 2007 census; Oromia projection,Oromia territory and Oromo macrolanguage are not one edition population.,Supply varies by variety and region.,Resolve exact profiles and secondary/agriculture/health need.
GLB-050,yo,Standard Yoruba,yo-Latn-NG,regional_standard,West Africa,near/above 50M range,speaker range;literacy shares unjoined,NAT-070,unresolved_no_comparable_count,Retain range for recall but do not invent a joined written-reader denominator.,Nigeria government approximation; NLSS literacy,Nigeria territory and unjoined literacy percentages cannot be multiplied without matching strata.,School/cultural supply exists; advanced practical supply thin.,"Resolve population/literacy join; STEM, health, finance and agriculture sequence."
GLB-051,ig,Standard Igbo,ig-Latn-NG,regional_standard,West Africa,material 25-33M,speaker range;literacy shares unjoined,NAT-071,unresolved_no_comparable_count,Below 50M but retained because the current candidate is unresolved and regionally important.,Nigeria government approximation; NLSS,Continuum and standardized literacy require evidence.,Supply inventory incomplete.,Resolve standard/profile and exact foundational-to-tertiary residual.
GLB-052,bho,"Bhojpuri, India",bho-Deva-IN,regional_language_variety_set,South Asia,>=50M exact named L1 return,L1,NAT-125,ranked_in_typed_view,"The exact 50,579,447 Indian Bhojpuri mother-tongue return is independently enumerated even though the printed census nests it inside the Hindi umbrella; this is a gross L1 opportunity view, not marginal reach.",India Census 2011 C-16 Statement 1/workbook; ORGI Linguistic Survey of India—Bihar; Bihar SCERT/BSTBPC; IANA/Unicode CLDR,"The 50,579,447 count is a 2011 India mother-tongue return nested within the 528,347,193 Census Hindi umbrella; it is not a current, all-variety, literacy, academic-comfort, India-plus-Nepal, or diaspora count. Devanagari is a production default, not proof of one transregional standard.",Official evidence shows Hindi-medium schooling and some Bhojpuri subject provision; no continuous open Bhojpuri-medium mathematics/STEM sequence has yet been evidenced.,"Declare a versioned Devanagari editorial register, inventory exact current supply, and commission the missing teacher-independent phone/offline foundational-numeracy-through-algebra sequence with Bhojpuri-to-Hindi bridge terms; keep Nepal and Mauritius outputs separate."
GLB-053,cmn,"Putonghua, Mainland spoken standard",cmn-Hans-CN for aligned text/audio; cmn-CN for speech-only metadata,learned_spoken_standard,Eastern Asia,>=1B derived functional sensitivity,functional communication prevalence,NAT-122,forward_residual_audit,"The spoken learned standard is a separate modality profile from Standard Written Chinese; it is relevant to narration, lectures, audio worked examples and spoken scaffolding.",PRC 2020 census denominator; MOE/State Language Commission 2020 Putonghua prevalence survey,"The 1,139,587,786 sensitivity is 80.72% of the mainland census denominator, not an official speaker count, L1 count, home-language count, literacy measure or academic-comfort count. It is wholly nonadditive with zh-Hans-CN and all Sinitic profiles.","Large broadcast and platform supply exists; no-account open/offline mathematical audio, transcript and speech-access coverage remains an exact format audit.","Register spoken/audio outputs separately, preserve text/audio alignment, and award no direct written-reader or Sinitic-variety reach from this profile."
GLB-054,ms,Malaysian Malay,ms-Latn-MY,national_pluricentric_standard,Southeast Asia,regional constituent of >=250M architecture,territory ceiling; direct language count unresolved,NAT-040,forward_residual_audit,Malaysian Malay is a separately named output inside the Indonesian–Malaysian shared-source architecture and must not disappear behind the completed Indonesian edition.,Malaysia PHC 2020; Dewan Bahasa dan Pustaka/MABBIM,The rounded 32.4M Malaysia territory population and 20.6M Bumiputera count are not Malay-reader counts. Indonesian contributes zero direct Malaysian demographic reach without directed evidence.,Malay-medium supply exists; the exact open/offline/teacher-independent advanced-mathematics and accessibility residual is not yet inventoried.,"Reuse the completed Indonesian semantic and terminology assets, but produce and audit an explicit ms-Latn-MY locale output; keep Brunei Rumi/Jawi derivatives separate."
