supplement_id,universe_profile_id,display_name,profile_tag,denominator_class,measure_type,learner_stratum,count_unit,population_low,population_base,population_high,reference_date_or_year,source_id,source_authority,source_url,source_locator,source_value_status,derivation_method,source_transcribed_exactly,source_series_id,overlap_group_id,nonadditivity_group_id,nonadditivity_rule,supersedes_observation_ids,typed_view_eligibility,population_use,rank_ready_marginal_access,uncertainty,notes
SUP-009,GLB-024,"Spanish spoken at home, United States",es-US,home_or_usual_language_use,acs_spanish_spoken_at_home_age5plus,United States residents age 5+,persons,44724507,44867699,45010891,2024,SUPSRC-US-ACS-B16001-2024,"United States Census Bureau, ACS 1-year B16001",https://data.census.gov/table/ACSDT1Y2024.B16001?g=010XX00US,"B16001 Spanish spoken at home; published 90% margin of error 143,192",published_estimate_with_margin,none,true,ES-US-ACS-2024,ES-GLOBAL-US-NONADDITIVE,ES-GLOBAL-US-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,typed_home_language_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Home use is not L1, literacy, academic comfort, or an es-419 curriculum profile.",Country observation; no addition to SUP-008 without a global overlap model.
SUP-010,GLB-025,"Portuguese speakers, global institutional estimate",pt; locale outputs required,published_or_derived_speaker_estimate,un_global_portuguese_speaker_estimate,Unspecified global speaker universe,persons,265000000,,,2026,SUPSRC-UN-PORTUGUESE-2026,"United Nations, Secretary-General message for World Portuguese Language Day",https://www.un.org/sg/en/content/sg/statements/2026-05-05/secretary-generals-message-world-portuguese-language-day,Statement: Portuguese unites more than 265 million speakers,published_rounded_lower_bound,none,true,PT-UN-2026,PT-GLOBAL-BR-NONADDITIVE,PT-GLOBAL-BR-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"No disclosed L1/L2, age, proficiency, literacy, or census method.","Gross threshold evidence only; never substitute for pt-BR, pt-PT, or PALOP locale populations."
SUP-011,GLB-025,Brazil territory population,pt-BR,territory_all_residents_ceiling,official_census_territory_population,Brazil residents,persons,,203080756,,2022,SUPSRC-BR-IBGE-CENSUS-2022,"Instituto Brasileiro de Geografia e Estatística, 2022 Census",https://ftp.ibge.gov.br/Censos/Censo_Demografico_2022/Populacao_e_domicilios_Primeiros_resultados/Resultados_da_2a_apuracao_20231027/POP2022_Municipios_Primeiros_Resultados_20231222.pdf,"Brazil total population, second apportionment",published_exact_census_total,none,true,PT-BR-2022,PT-GLOBAL-BR-NONADDITIVE,PT-GLOBAL-BR-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory population is not a Portuguese-language or literacy count.,Country ceiling and non-additive alternative to global SUP-010.
SUP-012,GLB-026,"Francophones, continuing OIF method",fr; locale outputs required,functional_language_ability_or_estimate,oif_method_1_french_competence_estimate,Modeled global French-competence population,persons,,348000000,,2025,SUPSRC-OIF-FRENCH-2025,"Organisation internationale de la Francophonie, 2026 report",https://www.francophonie.org/sites/default/files/2026-03/La_langue_francaise_dans_le_monde_Edition_2026.pdf,2025 estimate under continuing method 1,published_rounded_institutional_model,none,true,FR-OIF-2025,FR-OIF-2025-ALTERNATIVES,FR-OIF-2025-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Heterogeneous source model; not L1, uniform literacy, locale fit, or unique access.",Preferred continuity series; do not add to SUP-013.
SUP-013,GLB-026,"Francophones, broadened OIF method",fr; locale outputs required,functional_language_ability_or_estimate,oif_method_2_including_schooled_literate_children_6_9,Modeled global French-competence and schooling population,persons,,396000000,,2025,SUPSRC-OIF-FRENCH-2025,"Organisation internationale de la Francophonie, 2026 report",https://www.francophonie.org/sites/default/files/2026-03/La_langue_francaise_dans_le_monde_Edition_2026.pdf,2025 estimate under method 2,published_rounded_institutional_model,none,true,FR-OIF-2025,FR-OIF-2025-ALTERNATIVES,FR-OIF-2025-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Method 2 adds pupils age 6–9 in 30 Global-South countries; not comparable to the older time series.,Sensitivity alternative to SUP-012; never add them.
SUP-014,GLB-027,"Russian knowledge, Russian Federation",ru-Cyrl-RU,functional_language_ability_or_estimate,census_reports_knowledge_of_russian,Respondents answering language-knowledge question,persons,,134319233,,2021-10-01,SUPSRC-RU-ROSSTAT-CENSUS-2021,"Rosstat, 2020 Census Volume 5 Table 4",https://rosstat.gov.ru/storage/mediabank/Tom5_tab4_VPN-2020.xlsx,Russian knowledge row; census reference date 1 October 2021,published_exact_census_cell,none,true,RU-ROSSTAT-2021,RU-ROSSTAT-2021-ALTERNATIVES,RU-ROSSTAT-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_functional_knowledge_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Knowledge means speak/read/write or only speak; written competence cannot be isolated.,Alternative to daily-use SUP-015; never add them.
SUP-015,GLB-027,"Russian daily use, Russian Federation",ru-Cyrl-RU,home_or_usual_language_use,census_reports_daily_use_of_russian,Respondents answering language-use question,persons,,132317159,,2021-10-01,SUPSRC-RU-ROSSTAT-CENSUS-2021,"Rosstat, 2020 Census Volume 5 Table 4",https://rosstat.gov.ru/storage/mediabank/Tom5_tab4_VPN-2020.xlsx,Russian daily-use row; census reference date 1 October 2021,published_exact_census_cell,none,true,RU-ROSSTAT-2021,RU-ROSSTAT-2021-ALTERNATIVES,RU-ROSSTAT-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_daily_use_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Daily use does not isolate literacy, academic comfort, or exclusive Russian reliance.",Alternative to knowledge SUP-014; never add them.
SUP-016,GLB-028,"Only German at home, Germany",de-Latn-DE,home_or_usual_language_use,microcensus_only_german_used_at_home,Germany private-household population,persons,,63433000,,2024,SUPSRC-DE-DESTATIS-MICROCENSUS-2024,"German Federal Statistical Office, Microcensus table 12211-47",https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Migration-Integration/Publikationen/Downloads-Migration/statistischer-bericht-migrationshintergrund-end-2010220247005.xlsx?__blob=publicationFile&v=3,"Table 12211-47, only German at home",published_rounded_survey_estimate,none,true,DE-MICROCENSUS-2024,DE-MICROCENSUS-2024-ALTERNATIVES,DE-MICROCENSUS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_home_language_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Annual 1% survey; communal accommodation excluded; home use is not literacy or academic need.,Negative-control same-country measure.
SUP-017,GLB-028,"Any German at home, Germany",de-Latn-DE,home_or_usual_language_use,derived_any_german_used_at_home,Germany private-household population,persons,,77847000,,2024,SUPSRC-DE-DESTATIS-MICROCENSUS-2024,"German Federal Statistical Office, Microcensus table 12211-47",https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Migration-Integration/Publikationen/Downloads-Migration/statistischer-bericht-migrationshintergrund-end-2010220247005.xlsx?__blob=publicationFile&v=3,Only German + predominantly German + German with another language,derived_sum_of_published_rounded_cells,"63,433,000 + 3,810,000 + 10,604,000",false,DE-MICROCENSUS-2024,DE-MICROCENSUS-2024-ALTERNATIVES,DE-MICROCENSUS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Derived from cells published in thousands; not a proficiency or literacy test.,Alternative to SUP-016; never add them.
SUP-018,GLB-029,Italian used in at least one social context,it-Latn-IT,home_or_usual_language_use,survey_speaks_italian_in_at_least_one_context,Italy resident population age 6+,persons,,47611000,,2024,SUPSRC-IT-ISTAT-LANGUAGE-2024,"Italian National Institute of Statistics, language-use survey",https://www.istat.it/comunicato-stampa/luso-della-lingua-italiana-dei-dialetti-e-delle-lingue-straniere-anno-2024/,"Italian used in at least one of family, friends, or strangers contexts",published_survey_estimate,none,true,IT-ISTAT-2024,IT-ISTAT-2024,,no_internal_alternative_row_registered,,typed_habitual_use_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Below 50 million on this measure; not literacy or academic comfort.,Retains Italian as a supply-rich watch profile rather than manufacturing a threshold crossing.
SUP-019,GLB-030,Poland territory population,pl-Latn-PL,territory_all_residents_ceiling,official_population_balance_territory_population,Poland residents,persons,,37489000,,2024-12-31,SUPSRC-PL-STAT-POPULATION-2024,"Statistics Poland, Demographic situation in Poland up to 2024",https://stat.gov.pl/files/gfx/portalinformacyjny/pl/defaultaktualnosci/5468/40/5/1/sytuacja_demograficzna_polski_do_2024.pdf,Population at end of 2024,published_rounded_official_total,none,true,PL-STAT-2024,PL-STAT-2024,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory only and below 50 million; not a Polish-language count.,Negative-control watch profile.
SUP-020,GLB-031,"Arabic forms, UNESCO gross global estimate",arb-Arab plus spoken-language scaffolds,published_or_derived_speaker_estimate,unesco_arabic_used_daily_gross_estimate,Unspecified global users across Arabic forms,persons,400000000,,,current UNESCO page,SUPSRC-UNESCO-ARABIC,"UNESCO, World Arabic Language Day",https://www.unesco.org/en/world-arabic-language-day,Arabic used daily by more than 400 million people,published_rounded_lower_bound,none,true,AR-UNESCO-GROSS,AR-UNESCO-GROSS,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Arabic is internally diverse; the figure does not measure MSA literacy, one spoken variety, or academic comfort.",Gross recall evidence only. It must not be credited as direct reach for one MSA-only edition.
SUP-037,GLB-032,Egypt territory population,arz-Arab-EG scaffold ceiling,territory_all_residents_ceiling,official_census_territory_population,Egypt residents,persons,,94798827,,2017,SUPSRC-EG-CENSUS-2017,"Central Agency for Public Mobilization and Statistics, 2017 Census",https://www.capmas.gov.eg/Admin/Pages%20Files/201710914947book.pdf,"Final census results, national total",published_exact_census_total,none,true,ARZ-EG-TERRITORY-2017,ARZ-EG-TERRITORY-2017,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Territory population is not an Egyptian Arabic oral-use, MSA literacy, or comfortable-reader count.",A locale scaffold ceiling only; no direct reach is assigned to an Egyptian-Arabic written edition.
SUP-038,GLB-034,Iran territory population,fa-Arab-IR,territory_all_residents_ceiling,official_census_territory_population,Iran residents,persons,,79926270,,2016,SUPSRC-IR-CENSUS-2016,"Statistical Centre of Iran, 2016 National Population and Housing Census",https://irandataportal.syr.edu/wp-content/uploads/Iran_Census_2016_Selected_Results.pdf,"Selected results: total population 79,926,270; mirror identifies Statistical Centre of Iran",mirrored_primary_source_document,none,true,FA-IR-TERRITORY-2016,FA-IR-TERRITORY-2016,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory includes non-Persian language populations and does not measure Persian literacy or academic comfort; cited URL is a mirror of the official selected-results document.,Country ceiling only while an exact Persian-use census measure remains unresolved.
SUP-021,GLB-035,Türkiye territory population,tr-Latn-TR,territory_all_residents_ceiling,administrative_register_territory_population,Residents of Türkiye,persons,,85664944,,2024-12-31,SUPSRC-TR-TUIK-ABPRS-2024,"Turkish Statistical Institute, Address Based Population Registration System 2024",https://veriportali.tuik.gov.tr/en/press/53783,National resident population as of 31 December 2024,published_exact_administrative_total,none,true,TR-TUIK-2024,TR-TUIK-2024,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory population is not a Turkish reader or academic-comfort count.,Strong official-language/territory proxy only.
SUP-022,GLB-036,Tanzania territory population,swh-Latn-TZ,territory_all_residents_ceiling,official_census_territory_population,Tanzania residents,persons,,61741120,,2022,SUPSRC-TZ-CENSUS-2022,"Tanzania National Bureau of Statistics, 2022 Census",https://sensa.nbs.go.tz/dissemination/results,2022 national census population,published_exact_census_total,none,true,SWAHILI-COUNTRY-TERRITORY,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory does not equal comfortable Standard Kiswahili readership.,"Country ceiling; keep separate from Kenya, Uganda, DRC, and global users."
SUP-023,GLB-036,Kenya territory population,swh-Latn-KE,territory_all_residents_ceiling,official_census_territory_population,Kenya residents,persons,,47564296,,2019,SUPSRC-KE-CENSUS-2019,"Kenya National Bureau of Statistics, 2019 Census",https://www.knbs.or.ke/2019-kenya-population-and-housing-census-results/,2019 national census population,published_exact_census_total,none,true,SWAHILI-COUNTRY-TERRITORY,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory does not equal comfortable Standard Kiswahili readership.,Country ceiling; not additive to the UNESCO global gross count.
SUP-024,GLB-036,Uganda territory population,swh-Latn-UG,territory_all_residents_ceiling,official_census_territory_population,Uganda residents,persons,,45905417,,2024,SUPSRC-UG-CENSUS-2024,"Uganda Bureau of Statistics, 2024 Census",https://statistics.ubos.org/nphc/index,2024 national census population,published_exact_census_total,none,true,SWAHILI-COUNTRY-TERRITORY,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Kiswahili is being expanded largely as an L2; territory is not current functional reach.,Country ceiling; not additive to the UNESCO global gross count.
SUP-025,GLB-036,Kiswahili gross global users,swh/swc; locale outputs required,published_or_derived_speaker_estimate,unesco_kiswahili_global_user_estimate,Unspecified L1/L2 global user universe,persons,200000000,,,2025,SUPSRC-UNESCO-SWAHILI-2025,UNESCO,https://www.unesco.org/en/articles/kiswahili-bridge-cultural-diversity-dialogue-and-digital-innovation,More than 200 million speakers/users,published_rounded_lower_bound,none,true,SWAHILI-GLOBAL-GROSS,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,SWAHILI-GLOBAL-COUNTRY-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"No synchronized proficiency, literacy, age, or locale definition; includes very different L1/L2 situations.",Gross shared-core sensitivity only; do not allocate it to any one country edition.
SUP-026,GLB-037,Hausa L1 estimate,ha-Latn-NG; ha-Latn-NE,published_or_derived_speaker_estimate,literature_estimated_first_language_speakers,Unspecified global L1 universe,persons,,58000000,,2022,SUPSRC-NEWMAN-HAUSA-2022,"Paul Newman, A History of the Hausa Language",https://assets.cambridge.org/97810091/24300/excerpt/9781009124300_excerpt.pdf,Introductory speaker estimate near 60 million L1,published_rounded_literature_estimate,none,true,HAUSA-GLOBAL-ESTIMATES,HAUSA-GLOBAL-ESTIMATES-ALTERNATIVES,HAUSA-GLOBAL-ESTIMATES-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Rounded literature estimate; does not define literacy, script, or country locale.",Alternative to total-user SUP-027; never add them.
SUP-027,GLB-037,Hausa total-user estimate,ha-Latn-NG; ha-Latn-NE,published_or_derived_speaker_estimate,literature_estimated_l1_l2_users,Unspecified global L1/L2 universe,persons,,94000000,,2022,SUPSRC-WORLDBANK-HAUSA-2022,Paul Newman / World Bank cross-border education synthesis,https://documents1.worldbank.org/curated/en/099150306212220991/pdf/P176149083852a0500af9a09c2327c00d37.pdf,Broad Hausa user universe reported in cross-border synthesis,published_rounded_literature_estimate,none,true,HAUSA-GLOBAL-ESTIMATES,HAUSA-GLOBAL-ESTIMATES-ALTERNATIVES,HAUSA-GLOBAL-ESTIMATES-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Rounded heterogeneous estimate; written boko/Ajami proficiency and locale not established.,Alternative to L1 SUP-026; never add them.
SUP-028,GLB-038,Nigerian Pidgin oral-use estimate,pcm-Latn-NG,published_or_derived_speaker_estimate,literature_estimated_oral_users,Nigeria oral L1/L2 user universe,persons,80000000,,112000000,2024,SUPSRC-YAKPO-PCM-2024,"Kofi Yakpo, language-use synthesis",https://journals.sagepub.com/doi/10.1177/00020397241263364,Published range 80–112 million oral users,published_literature_interval,published interval only; no point estimate,true,PCM-NG-ORAL-2024,PCM-NG-ORAL-2024,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Oral use does not establish written orthography uptake or educational reading.,Audio-first sensitivity; written reader reach stays unresolved.
SUP-029,GLB-044,Republic of Korea territory population,ko-Kore-KR,territory_all_residents_ceiling,official_census_territory_population,Republic of Korea census population,persons,,51829136,,2020,SUPSRC-KR-CENSUS-2020,"Statistics Korea, 2020 Population and Housing Census",https://sri.kostat.go.kr/boardDownload.es?bid=203&list_no=391020&seq=17,National total population,published_exact_census_total,none,true,KO-KR-2020,KO-KR-2020,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Territory includes non-Korean home-language populations and does not measure literacy or academic comfort.,ROK only; no inference about DPRK.
SUP-030,GLB-046,Philippines territory population,fil-Latn-PH,territory_all_residents_ceiling,official_census_territory_population,Philippines residents,persons,,109035343,,2020-05-01,SUPSRC-PH-CENSUS-2020,"Philippine Statistics Authority, 2020 Census of Population and Housing",https://psa.gov.ph/content/2020-census-population-and-housing-2020-cph-population-counts-declared-official-president,Official national population count,published_exact_census_total,none,true,FIL-PH-2020,FIL-PH-2020,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Territory is not Filipino L1, functional literacy, or comfortable-reader reach; Filipino is not every learner's home language.",Use only as a ceiling while functional Filipino reach remains unresolved.
