candidate_id,existing_intervention_id,observation_id,region,subregion,target_name,resolved_edition_name,language_subtag,script_subtag,region_subtag,target_profile,territory,population_low,population_base,population_high,population_interval_status,count_unit,population_measure,population_reference_year,population_source_id,population_source_locator,profile_source_ids,population_profile_fit,overlap_group_id,additivity_rule,existing_score_overlap_status,negative_control_status,gross_rankability,marginal_rankability,population_confidence,profile_confidence,combined_confidence,priority_basis,uncertainty
EXP-013,,POP-ET-003,Africa,Horn of Africa,Ethiopian Somali,Ethiopia Somali Latin-script edition,so,Latn,ET,so-Latn-ET,Ethiopia,4609274,4609274,4609274,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,named Ethiopian census mother-tongue cell; Ethiopia territorial edition kept separate from Somalia,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,large exact Ethiopia residual,"Old census observation; not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-014,NAT-068,POP-ET-004,Africa,Horn of Africa,Ethiopian Tigrinya,Ethiopia Tigrinya Ethiopic-script edition,ti,Ethi,ET,ti-Ethi-ET,Ethiopia,4324933,4324933,4324933,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,named Ethiopian census mother-tongue cell; Eritrea is excluded,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,large exact Ethiopia residual,"Old census observation; not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-015,,POP-ET-005,Africa,Horn of Africa,Sidama,Ethiopia Sidama Latin-script edition,sid,Latn,ET,sid-Latn-ET,Ethiopia,2981471,2981471,2981471,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,named Ethiopian census mother-tongue cell; no present-day projection,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,large exact Ethiopia residual,"Old census observation; not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-016,,POP-ET-006,Africa,Horn of Africa,Wolaytta,Ethiopia Wolaytta Latin-script edition,wal,Latn,ET,wal-Latn-ET,Ethiopia,1627955,1627955,1627955,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,named Ethiopian census mother-tongue cell; no present-day projection,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact Ethiopia regional-language residual,"Old census observation; not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-017,,POP-ET-009,Africa,Horn of Africa,Hadiyya,Ethiopia Hadiyya Latin-script edition,hdy,Latn,ET,hdy-Latn-ET,Ethiopia,1253894,1253894,1253894,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,named Ethiopian census mother-tongue cell; no present-day projection,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact Ethiopia regional-language residual,"Old census observation; not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-018,NAT-082,POP-ML-AFG-001,Africa,Western Africa,Bambara,Mali Bamanankan Latin-script edition,bm,Latn,ML,bm-Latn-ML,Mali,9551561,9551561,9551561,exact_point_reported,persons,census_mother_tongue_persons_age_3_plus,2022,AFG-S008,"Tableau 3.01, printed p.25, Ensemble cell for Bambara/Bamanankan",AFG-S008;TP-S001-IANA;TP-S002-CLDR,exact Bambara/Bamanankan mother-tongue category; ISO mapping is editorial and source does not measure script,MLI_RGPH5_MOTHER_TONGUE_EXCLUSIVE,"Table 3.01 categories are intended as exclusive, but printed inconsistencies and a conflicting annex prohibit repaired totals; preserve the cell verbatim.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_language_rankable_script_audience_unmeasured,not_rank_ready_marginal_access_edges_unmeasured,medium,medium_low,medium_low,requested large underserved priority,"Exact published Table 3.01 Ensemble cell for the language category; not inferred from ethnicity. Table 3.01 conflicts with Annex A03 and has small internal addition discrepancies, so this value is preserved verbatim and not repaired. ISO mapping is editorial; the census table does not establish script or orthography. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-019,,ZA-NSO-2022,Africa,Southern Africa,Sepedi,South Africa Sepedi Latin-script edition,nso,Latn,ZA,nso-Latn-ZA,South Africa,5972255,5972255,5972255,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,large exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-020,,ZA-TSN-2022,Africa,Southern Africa,Setswana,South Africa Setswana Latin-script edition,tn,Latn,ZA,tn-Latn-ZA,South Africa,4972787,4972787,4972787,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,large exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-021,,ZA-SOT-2022,Africa,Southern Africa,Sesotho,South Africa Sesotho Latin-script edition,st,Latn,ZA,st-Latn-ZA,South Africa,4678964,4678964,4678964,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,large exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-022,,ZA-TSO-2022,Africa,Southern Africa,Xitsonga,South Africa Xitsonga Latin-script edition,ts,Latn,ZA,ts-Latn-ZA,South Africa,2784279,2784279,2784279,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact Tsonga household-language category mapped to the South African Xitsonga edition,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-023,,ZA-SSW-2022,Africa,Southern Africa,siSwati,South Africa siSwati Latin-script edition,ss,Latn,ZA,ss-Latn-ZA,South Africa,1692719,1692719,1692719,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-024,,ZA-VEN-2022,Africa,Southern Africa,Tshivenda,South Africa Tshivenda Latin-script edition,ve,Latn,ZA,ve-Latn-ZA,South Africa,1480565,1480565,1480565,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-025,,ZA-NBL-2022,Africa,Southern Africa,isiNdebele,South Africa isiNdebele Latin-script edition,nr,Latn,ZA,nr-Latn-ZA,South Africa,1044377,1044377,1044377,exact_point_reported,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",ZA-S001;TP-S001-IANA;TP-S002-CLDR,exact household-language category; edition is not a literacy count,ZA-CENSUS-2022-HOUSEHOLD-LANGUAGE,"Mutually exclusive within the coded Table 3.8 household-language denominator; additive only inside that table, never with another South Africa language measure.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,exact South Africa residual,"No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-026,,POP-PE-003,Americas,South America,Ashaninka,Peru Ashaninka Latin-script edition,cni,Latn,PE,cni-Latn-PE,Peru,73567,73567,73567,exact_point_reported,persons,census_language_learned_in_childhood_age3plus_persons,2017,PM-S007,"Cuadro 4, printed p. 618",PM-S007;TP-S001-IANA;TP-S002-CLDR,exact childhood-language census category; current proficiency and Spanish overlap unmeasured,,Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,Americas balance; exact Indigenous-language cell,"Language learned in childhood, not current proficiency. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-027,,POP-PE-004,Americas,South America,Awajun,Peru Awajun Latin-script edition,agr,Latn,PE,agr-Latn-PE,Peru,56584,56584,56584,exact_point_reported,persons,census_language_learned_in_childhood_age3plus_persons,2017,PM-S007,"Cuadro 4, printed p. 618",PM-S007;TP-S001-IANA;TP-S002-CLDR,exact childhood-language census category; current proficiency and Spanish overlap unmeasured,,Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,Americas balance; exact Indigenous-language cell,"Language learned in childhood, not current proficiency. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-028,,POP-PE-005,Americas,South America,Shipibo-Konibo,Peru Shipibo-Konibo Latin-script edition,shp,Latn,PE,shp-Latn-PE,Peru,34152,34152,34152,exact_point_reported,persons,census_language_learned_in_childhood_age3plus_persons,2017,PM-S007,"Cuadro 4, printed p. 618",PM-S007;TP-S001-IANA;TP-S002-CLDR,exact childhood-language census category; current proficiency and Spanish overlap unmeasured,,Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,Americas balance; exact Indigenous-language cell,"Language learned in childhood. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-029,,POP-MU-004,Africa,Indian Ocean,Mauritian Creole,Mauritius Mauritian Creole Latin-script edition,mfe,Latn,MU,mfe-Latn-MU,Mauritius,1045558,1045558,1045558,exact_point_reported,persons,language_usually_spoken_at_home_persons,2022,PM-S013,"Table D9, printed p. 165",PM-S013;TP-S001-IANA;TP-S002-CLDR,exact home-language census cell; French and English educational overlap unmeasured,,Separate home-language cell; do not sum with learned-language populations or infer French/English non-overlap.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,Indian Ocean balance; exact national creole cell,"Home-language count. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
